"company_name","ban","cgdc","rd","substance_abuse","lcsw","lpc","mft","lmsw","plpc","psychiatric_nurse_practitioner","psychiatrist","psychologist","alcohol_and_substance_abuse","anger_management","child_adolescent","compulsive_gambling","domestic_violence","eating_disorder","faith_based","family_marriage","general_mental_health","post_traumatic_stress","sexual_assault","suicide_prevention","traumatic_brain_injury","telehealth","website","phone_number","zip_code","country","tricare","military_culture","admin_notes","location_1","suite_no"
"Southeast Missouri Behavioral Health","No","Yes","No","No","No","No","No","No","No","No","No","No","Yes","No","No","Yes","No","No","No","No","No","No","No","No","No","No","https://semobh.org/","5734338455","65584","United States","No","Not yet, but I would like to work with the military community",,"881 Old Rt. 66
St. Robert, Missouri 65584
(37.82628, -92.171528)",
"Open Arms Wellness","No","No","No","No","No","Yes","No","No","No","No","No","No","Yes","Yes","Yes","No","No","No","No","No","Yes","Yes","Yes","Yes","No","Yes","https://www.psychologytoday.com/us/therapists/brittni-nicole-collins-clayton-mo/812765","3145289098","63144","United States","No","Not yet, but I would like to work with the military community",,"8949 Manchester Rd
Brentwood, Missouri 63144
(38.612791, -90.352591)",
"Ozarks Healthcare Mountain Grove","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","www.ozarkshealthcare.com","4179266563","65711","United States",,"Not yet, but I would like to work with the military community",,"500 E 19th Street
Mountain Grove, Missouri 65711
(37.145913, -92.258843)",
"Missouri Ozarks Community Health","No","No","No","No","No","No","No","Yes","No","No","No","No","Yes","Yes","Yes","No","No","No","No","No","Yes","Yes","Yes","Yes","No","No","https://mo-ozarks.org/cpt-clinic/ava-clinic/","4176835793","65608","United States","No","Not yet, but I would like to work with the military community",,"504 W Broadway Ave
Ava, Missouri 65608
(36.959288, -92.66604)",
"Mefford, Vuagniaux & Associates, P. C.","No","No","No","No","No","Yes","No","No","No","No","No","No","No","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","http://meffordvuagniaux.com","6608262380","65301","United States","Yes","Not yet, but I would like to work with the military community",,"121 East Broadway Blvd
Sedalia, Missouri 65301
(38.70458, -93.227532)",
"Southeast Missouri Behavioral Health","No","Yes","No","No","No","No","No","No","No","No","No","No","Yes","No","No","Yes","No","No","No","No","No","No","No","No","No","No","https://semobh.org/","5739965017","63935","United States","No","Not yet, but I would like to work with the military community",,"104A Washington St
Doniphan, Missouri 63935
(36.617564, -90.825842)",
"Kathryn Stinson, LPC","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","Yes","Yes","No","No","No","https://www.kathrynstinson.com/","3148276803","63143","United States","No","Yes, I have training in military culture",,"2104 Bellevue Ave
St. Louis, Missouri 63143
(38.620395, -90.313597)",
"Allcare Counseling, LLC","No","No","No","No","Yes","No","No","No","No","No","No","No","No","Yes","Yes","No","No","No","Yes","Yes","Yes","Yes","No","No","No","Yes",,"5736360025","65109","United States","Yes","Not yet, but I would like to work with the military community",,"1001 Southwest Blvd
Jefferson City, Missouri 65109
(38.573356, -92.199344)","Suite F"
"Associates In Caring","No","No","No","No","No","Yes","No","No","No","No","No","No","Yes","Yes","Yes","No","No","No","No","Yes","Yes","Yes","No","No","No","Yes","http://www.associatesincaring.org","4172349023","65804","United States","No","Yes, I have served in the military",,"2200 E Sunshine
Springfield, Missouri 65804
(37.180826, -93.251532)","Suite 310"
"Preferred Family Healthcare","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","http://pfh.org/","6362241500","63383","United States","Yes","Not yet, but I would like to work with the military community",,"1206 E Veterans Pkwy
Warrenton, Missouri 63383
(38.818313, -91.13048)","Suite A"
"Happy Brain Counseling LLC","No","No","No","No","No","Yes","No","No","Yes","No","No","No","Yes","Yes","Yes","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","http://www.happy-brain.com","3145029072","63122","United States","No","Not yet, but I would like to work with the military community",,"12203 Big Bend Rd
Kirkwood, Missouri 63122
(38.56762, -90.435113)","Suite 101"
"Calm Day Counseling, LLC","No","No","Yes","No","No","Yes","No","No","No","No","No","No","Yes","Yes","Yes","No","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","No","No","http://www.compassionatecounselingalliance.com","8168460086","64093","United States","No","Not yet, but I would like to work with the military community",,"598 SE DD Hwy
Warrensburg, Missouri 64093
(38.742221, -93.633194)","Suite 1"
"Kirksville VA Clinic","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","Yes","https://www.va.gov/columbia-missouri-health-care/locations/kirksville-va-clinic/","6606278387","63501","United States","Yes","Yes, I have training in military culture",,"506 Rosewood Drive
Kirksville, Missouri 63501
(40.208939, -92.580685)",
"Salicia Mazero, MA, LPC, ATR, CEDS","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","Yes","www.Creatingyourjourneyllc.com","3143295374","63122","United States","No","Not yet, but I would like to work with the military community",,"140 Prospect Ave
Kirkwood, Missouri 63122
(38.567432, -90.408691)","Suite S"
"Clear Path Counseling, LLC","No","No","No","No","No","Yes","No","No","No","No","No","No","Yes","Yes","Yes","No","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","No","No",,"4172680045","65802","United States","Yes","Not yet, but I would like to work with the military community",,"1330 E Cherry Street
Springfield, Missouri 65802
(37.203478, -93.272454)","Suite 206"
"North Central Missouri Mental Health Center","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","http://www.ncmmh.org/index.html","6603594487","64628","United States","No","Not yet, but I would like to work with the military community",,"1102 W Helm St
Brookfield, Missouri 64628
(39.781233, -93.095943)",
"Felix Vincenz","No","No","No","No","No","No","No","No","No","No","No","Yes","Yes","Yes","No","No","Yes","No","No","Yes","No","Yes","No","No","No","Yes","http://www.creativechangestl.com/","3149627788","63139","United States","No","Yes, I have training in military culture",,"8772 Big Bend Blvd.
Webster Groves, Missouri 63139
(38.58203, -90.359898)",
"Community Counseling Center of Ste. Genevieve County","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","Yes","No","No","No","No","No","http://www.cccntr.com","5738837407","63670","United States","Yes","Not yet, but I would like to work with the military community",,"820 Park Drive
Ste. Genevieve, Missouri 63670
(37.970531, -90.052123)",
"Bonnie Rudden, LPC","No","No","No","No","No","Yes","No","No","No","No","No","No","No","Yes","Yes","No","Yes","No","No","Yes","Yes","No","No","No","No","Yes",,"3144124281","63131","United States","No","Not yet, but I would like to work with the military community",,"13422 Clayton Rd
St. Louis, Missouri 63131
(38.626711, -90.481269)","Suite 202"
"Preferred Family Healthcare","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","http://pfh.org/","6607271111","63445","United States","Yes","Not yet, but I would like to work with the military community",,"137 West Cedar St
Kahoka, Missouri 63445
(40.417672, -91.720221)",
"Preferred Family Healthcare","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","Yes","No","No","No","No","No","http://pfh.org/","6606651962","63501","United States","Yes","Not yet, but I would like to work with the military community",,"1101 S. Jamison St
Kirksville, Missouri 63501
(40.187523, -92.556777)",
"Ozarks Healthcare Thayer","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","www.ozarkshealthcare.com","4172647136","65791","United States",,"Not yet, but I would like to work with the military community",,"1375 Nettleton Ave
Thayer, Missouri 65791
(36.512498, -91.54458)",
"St. Charles County VA Clinic","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","Yes","https://www.va.gov/st-louis-health-care/locations/st-charles-county-va-clinic/","3146524100","63368","United States","Yes","Yes, I have training in military culture",,"844 Waterbury Falls Drive
O'Fallon, Missouri 63368
(38.720875, -90.696998)",
"BJC Behavioral Health","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","Yes","No","No","No","No","No","www.bjcbehavioralhealth.org","5737565353","63640","United States",,"Not yet, but I would like to work with the military community",,"1085 Maple Street
Farmington, Missouri 63640
(37.787908, -90.437997)",
"Columbia Psychology Healing Center LLC","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","Yes","No","No","No","Yes","No","Yes","Yes","Yes","Yes","No","Yes","http://columbiapsychology.com","5738187010","65202","United States","No","Yes, I have training in military culture",,"1900 N. Providence Rd
Columbia, Missouri 65202
(38.972392, -92.333447)","Suite 327"
"Focused Concentration LLC","No","No","No","No","No","Yes","No","No","No","No","No","No","Yes","Yes","No","No","Yes","No","No","Yes","Yes","Yes","Yes","Yes","No","Yes","http://www.focusedconcentration.com","8162244400","64111","United States","No","Not yet, but I would like to work with the military community",,"4049 Pennsylvania Street
Kansas City, Missouri 64111
(39.053549, -94.591505)","Suite 200"
"Lafayette House","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","Yes","Yes","No","No","No","Yes",,"4177821772","64804","United States","No","Not yet, but I would like to work with the military community",,"1809 S. Connor Ave
Joplin, Missouri 64804
(37.072017, -94.523117)",
"Southeast Missouri Behavioral Health","No","Yes","No","No","No","Yes","No","No","No","No","No","No","Yes","Yes","Yes","Yes","No","No","No","Yes","Yes","Yes","No","No","No","No","http://semobh.org/","5737565749","63640","United States","No","Not yet, but I would like to work with the military community",,"5536 Highway 32 East
Farmington, Missouri 63640
(37.77916, -90.385667)",
"Jay Musgrave, PhD, LPC","No","No","No","No","No","Yes","No","No","No","No","No","No","Yes","Yes","Yes","No","Yes","No","Yes","Yes","Yes","Yes","No","Yes","No","Yes",,"5736514206","63845","United States","No","Yes, I have training in military culture",,"202 E Chestnut
East Prairie, Missouri 63845
(36.779836, -89.384227)",
"Compass Health Network","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","Yes","No","No","No","No","No","https://compasshealthnetwork.org/","8448538937","64772","United States","Yes","Not yet, but I would like to work with the military community",,"320 N Mac Boulevard
Nevada, Missouri 64772
(37.838415, -94.328703)",
"A New Direction Counseling/Jama Anthony-Petter, LCSW","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","Yes","No","No","No","Yes","Yes","Yes","No","No","No","No","No",,"3149713051","63122","United States","No","Not yet, but I would like to work with the military community",,"11042 Manchester Rd
Kirkwood, Missouri 63122
(38.598959, -90.413185)",
"Ozark Center","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","Yes","No","No","No","No","No","https://www.freemanhealth.com/ozark-center","4173471111","64759","United States","Yes","Not yet, but I would like to work with the military community",,"307 W. 11th
Lamar, Missouri 64759
(37.494272, -94.280211)",
"Melissa M Williams ME.d, LPC","No","No","No","No","No","Yes","No","No","No","No","No","No","No","Yes","Yes","No","No","No","Yes","Yes","Yes","Yes","No","No","No","No",,"5738748818","65202","United States","No","Yes, I have served in the military",,"1804 Heriford Rd
Columbia, Missouri 65202
(38.968195, -92.311148)",
"Rohrbach Services for Families","No","No","No","Yes","No","Yes","No","No","No","No","No","No","Yes","Yes","Yes","No","Yes","No","No","Yes","Yes","Yes","No","Yes","No","No","http://rohrbachservices.com/","4176191595","65613","United States","No","Not yet, but I would like to work with the military community",,"302 W. Jackson
Bolivar, Missouri 65613
(37.612632, -93.413168)",
"Carol Dyer","No","No","No","No","Yes","No","No","No","No","No","No","Yes","Yes","No","No","No","No","Yes","No","No","Yes","Yes","No","No","No","Yes","https://www.psychologytoday.com/us/therapists/carol-dyer-clayton-mo/159064?utm_source=PT_Psych_Today&amp;utm_medium=House_Link&amp;utm_campaign=PT_HomeTopB_Therapist","3146452055","63105","United States","No","Not yet, but I would like to work with the military community",,"225 S Meramec Ave
Clayton, Missouri 63105
(38.64662, -90.340176)","Suite 512"
"Mission Missouri","No","No","No","Yes","No","No","No","No","No","No","No","No","Yes","Yes","No","No","No","No","Yes","No","No","No","No","No","No","Yes","http://www.missionmissouri.org","5734810505","63801","United States","No","Yes, I have training in military culture",,"509 Ruth Street
Sikeston, Missouri 63801
(36.871395, -89.595376)",
"Vet Center-Columbia MO","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","Yes","No","No","No","No","Yes","https://www.va.gov/find-locations/facility/vc_0443V","5738146206","65202","United States","Yes","Yes, I have training in military culture",,"4040 Rangeline Street
Columbia, Missouri 65202
(38.991281, -92.325198)","Suite 105"
"Compass Health Network","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","Yes","No","No","No","No","No","https://compasshealthnetwork.org/","8448538937","64744","United States","Yes","Not yet, but I would like to work with the military community",,"107 W. Broadway Street
El Dorado, Missouri 64744
(37.878155, -94.022192)",
"Jefferson City VA Clinic","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","Yes","https://www.va.gov/columbia-missouri-health-care/locations/jefferson-city-va-clinic/","5736350233","65109","United States","Yes","Yes, I have training in military culture",,"3430 West Edgewood Drive
Jefferson City, Missouri 65109
(38.569302, -92.250262)",
"MO DHSS Brain Injury Service Coordinator","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","https://health.mo.gov/living/families/shcn/ahi.php","8165392144","64477","United States","No","Not yet, but I would like to work with the military community",,"106 Bush St
Plattsburg, Missouri 64477
(39.563809, -94.473778)",
"Gilley Counseling, LLC","No","No","No","No","No","Yes","No","No","No","No","No","No","Yes","Yes","Yes","No","No","No","No","Yes","Yes","Yes","No","No","No","Yes","https://www.compassionatecounselingalliance.com/marty-gilley","8165144455","64093","United States","No","Not yet, but I would like to work with the military community",,"598 SE DD Hwy
Warrensburg, Missouri 64093
(38.742187, -93.634078)","Suite 1"
"Franklin County VA Clinic","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","Yes","https://www.va.gov/st-louis-health-care/locations/franklin-county-va-clinic/","3146524100","63090","United States","Yes","Yes, I have training in military culture",,"1627 A Roy Drive
Washingtn, Missouri 63090
(38.540903, -90.99195)",
"Raymond T. Fezzi, LCSW","No","No","No","No","Yes","No","No","No","No","No","No","No","Yes","Yes","No","No","No","No","No","No","Yes","Yes","Yes","No","No","No","https://therapists.psychologytoday.com/rms/prof_detail.php?profid=53848&sid=1481239150.055_1233&zipcode=63123&ref=6&tr=ResultsName","3148949696","63123","United States","Yes","Yes, I have training in military culture",,"6220 S. Lindbergh Blvd
St. Louis, Missouri 63123
(38.515877, -90.340992)","Suite 201"
"Ryan Liberati, PhD LPC","No","No","No","No","No","Yes","No","No","No","No","No","No","No","Yes","Yes","No","No","No","No","Yes","Yes","No","No","No","No","No",,"3142520683","63118","United States","No","Not yet, but I would like to work with the military community",,"3115 South Grand Blvd
St. Louis, Missouri 63118
(38.602473, -90.242316)","Suite 450"
"Janice Hager-Klein","No","No","No","No","No","Yes","No","No","No","No","No","No","Yes","Yes","No","No","No","No","No","No","Yes","No","No","No","No","Yes","www.jhagerklein.com","3143132367","63366","United States","Yes","Yes, I have served in the military",,"801 S Woodlawn Ave
O'Fallon, Missouri 63366
(38.800264, -90.705921)","Suite 25"
"ThinkWell Counseling","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","Yes","No","No","No","No","Yes","Yes","No","No","No","No","Yes","thinkwellcounseling.com","3143285701","63146","United States","No","Not yet, but I would like to work with the military community",,"2055 Craigshire Road
St. Louis, Missouri 63146
(38.69572, -90.448701)","Suite 407"
"Compass Health Network","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","Yes","No","No","No","No","No","https://compasshealthnetwork.org/","8448538937","65203","United States","Yes","Not yet, but I would like to work with the military community",,"1000 W. Nifong
Columbia, Missouri 65203
(38.907725, -92.355443)","Suite 220B"
"COMTREA","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","Yes","No","No","No","No","No","https://www.comtrea.org/","6363760079","63049","United States","Yes","Not yet, but I would like to work with the military community",,"1817 Gravois Road
High Ridge, Missouri 63049
(38.482053, -90.505128)",
"Preferred Family Healthcare","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","http://pfh.org/","6602584188","64628","United States","Yes","Not yet, but I would like to work with the military community",,"1 Center Drive
Brookfield, Missouri 64628
(39.775597, -93.074725)","Suite 3"
"Compass Health Network","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","Yes","No","No","No","No","No","https://compasshealthnetwork.org/","8448538937","65536","United States","Yes","Not yet, but I would like to work with the military community",,"860 Lynn St
Lebanon, Missouri 65536
(37.695801, -92.667123)",
"Community Counseling Center","No","Yes","No","Yes","Yes","Yes","No","No","No","No","No","No","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","http://www.cccntr.com/","573334110","63703","United States","Yes","Yes, I have served in the military",,"402 South Silver Springs Road
Cape Girardeau, Missouri 63703
(37.292892, -89.566254)",
"T.A.V.E.R.N. Health and Wellness, LLC","No","No","No","No","No","Yes","No","No","No","No","No","No","No","Yes","Yes","No","No","No","No","No","Yes","Yes","Yes","No","No","Yes","http://TAVERNHW.com","3143859550","63122","United States","Yes","Yes, I have served in the military",,"11042 Manchester Rd
Kirkwood, Missouri 63122
(38.598766, -90.413245)",
"Burrell Behavioral Health-Murney Clinic","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","https://www.burrellcenter.com/","4177615000","65807","United States","Yes","Not yet, but I would like to work with the military community",,"1322 S. Campbell Ave
Springfield, Missouri 65807
(37.190839, -93.294271)",
"ReDiscover","No","No","No","No","No","Yes","No","No","No","No","No","No","No","Yes","Yes","No","No","No","Yes","Yes","Yes","Yes","No","Yes","No","No","https://www.rediscovermh.org/","8449944325","64138","United States","Yes","Yes, I have training in military culture",,"8800 Blue Ridge Blvd
Kansas City, Missouri 64138
(38.962863, -94.498603)",
"Finding Freedom Nutrition and Counseling, LLC","No","No","Yes","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","Yes","No","Yes","Yes","Yes","No","No","No","Yes","http://www.findingfreedomstl.com","3142469395","63017","United States","No","Not yet, but I would like to work with the military community",,"14323 S Outer Forty Rd
Chesterfield, Missouri 63017
(38.641014, -90.513954)","Suite 512s"
"Tri-County Mental Health Services","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","Yes","No","No","No","No","No","https://www.tri-countymhs.org/","8164680400","64085","United States","Yes","Not yet, but I would like to work with the military community",,"108 West North Main
Richmond, Missouri 64085
(39.279149, -93.977189)",
"Ozark Center-Carl Junction Clinic (Children's Services)","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","Yes","No","No","No","No","No","https://www.freemanhealth.com/ozark-center","4173471111","64834","United States","Yes","Not yet, but I would like to work with the military community",,"106 South Main Street
Carl Junction, Missouri 64834
(37.090391, -94.513519)",
"Psychological Services of St. Louis","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","Yes","http://www.drbrittanymurphy.com","3142669854","63117","United States","No","Not yet, but I would like to work with the military community",,"7110 Oakland Avenue
Richmond Heights, Missouri 63117
(38.632854, -90.308604)","Suite 105"
"Mexico VA Clinic","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","Yes","https://www.va.gov/columbia-missouri-health-care/locations/mexico-va-clinic/","5735819630","65265","United States","Yes","Yes, I have training in military culture",,"3460 South Clark Street
Mexico, Missouri 65265
(39.139159, -91.893915)",
"New Horizons","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","www.mo-newhorizons.com","5736368108","65109","United States","No","Not yet, but I would like to work with the military community",,"2013 William Street
Jefferson City, Missouri 65109
(38.582564, -92.203412)",
