"venue","location","region","phone","email","location_1","address_2"
"Eldon","Division Office","Jefferson City","573-751-4231","JCDocketing@labor.mo.gov","3315 W. Truman Blvd
Jefferson City, MO 65109
(38.59116, -92.242899)",
"Lebanon","Laclede County Library","Springfield","417-888-4100","SGFDocketing@labor.mo.gov","915 South Jefferson
Lebanon, MO 65536
(37.672087, -92.655764)",
"Trenton","Grundy County Courthouse","St. Joseph","816-387-2275","STJoeDocketing@labor.mo.gov","700 Main St.
Trenton, MO 64683
(40.07366, -93.61864)",
"Boonville","5900 Tower Bldg.","Jefferson City","573-751-4231","JCDocketing@labor.mo.gov","5900-B N Tower Dr
Columbia, MO 65202
(39.01633, -92.313245)",
"Warrenton","Division Office","St. Charles","636-949-1999","STCDocketing@labor.mo.gov","3737 Harry S. Truman Blvd
St. Charles, MO 63301
(38.797923, -90.562994)",
"Hannibal","Marion County Circuit Courthouse (Backup)","St. Louis","314-340-6865","STLDocketing@labor.mo.gov","100 South Main St.
Palmyra, MO 63461
(39.799194, -91.523688)","Room 102"
"Sedalia","Sedalia City Hall","Jefferson City","573-751-4231","JCDocketing@labor.mo.gov","200 S. Osage Ave
Sedalia, MO 65301
(38.70983, -93.22971)",
"Bethany","Harrison County Courthouse","St. Joseph","816-387-2275","STJoeDocketing@labor.mo.gov","1515 Main
Bethany, MO 64424
(40.269035, -94.035087)",
"Festus","Crystal City City Hall","Cape Girardeau","573-290-5757","CGDocketing@labor.mo.gov","130 Mississippi Ave.
Crystal City, MO 63019
(38.22105, -90.37739)",
"Clinton","Division Office - Gateway Bldg","Kansas City","816-889-2481","KCDocketing@labor.mo.gov","1411 Genessee St.
Kansas City, MO 64102
(39.09769, -94.60597)","#210"
"Ironton","Iron County Courthouse","Cape Girardeau","573-290-5757","CGDocketing@labor.mo.gov","250 S. Main St
Ironton, MO 63650
(37.597254, -90.627685)",
"Poplar Bluff","Butler County Courthouse","Cape Girardeau","573-290-5757","CGDocketing@labor.mo.gov","100 N. Main St
Poplar Bluff, MO 63901
(36.756466, -90.39242)",
"Hermann","Gasconade County Courthouse","Jefferson City","573-751-4231","JCDocketing@labor.mo.gov","119 East 1st St.
Hermann, MO 65041
(38.707361, -91.436331)","Div 4 Courtroom, 1st Floor"
"Jefferson City","Division Office","Jefferson City","573-751-4231","JCDocketing@labor.mo.gov","3315 W. Truman Blvd
Jefferson City, MO 65109
(38.59142, -92.242976)",
"Columiba","5900 Tower Bldg.","Jefferson City","573-751-4231","JCDocketing@labor.mo.gov","5900-B N Tower Dr
Columbia, MO 65202
(39.0165, -92.31325)",
"Chillicothe","City Hall","St. Joseph","816-387-2275","STJoeDocketing@labor.mo.gov","715 N. Washington
Chillicothe, MO 64601
(39.734857, -93.553322)",
"Moberly","5900 Tower Bldg.","Jefferson City","573-751-4231","JCDocketing@labor.mo.gov","5900-B N Tower Dr
Columbia, MO 65202
(39.016565, -92.313261)",
