"business_name","zip_code","license_number","license_type","city"
"AUSTIN EASTCIDERS INC.","787441088","253281","22S","AUSTIN"
"AVALINE LTD.","954823015","281629","22S","UKIAH"
"AVERY BREWING COMPANY LLC","803013242","251112","22S","BOULDER"
"BACCHUS TECHNOLOGIES LLC","080541012","160505","22S","MT. LAUREL"
"BACCO WINE & SPIRIT, LLC","176021937","278375","22S","LANCASTER"
"BADGER MOUNTAIN INC.","993387337","111954","22S","KENNEWICK"
"BALEARIC BEVERAGE DISTRIBUTORS INC.","220791432","214564","22S","LORTON"
"BARGETTO'S SANTA CRUZ WINERY","950732530","61594","22S","SOQUEL"
"BARRA FAMILY WINES, LLC","954706105","275333","22S","REDWOOD VALLEY"
"BARREL 27 WINE COMPANY","934469781","275993","22S","PASO ROBLES"
"BEAR REPUBLIC BREWING CO., INC.","954254439","175745","22S","CLOVERDALE"
"BELL'S BREWERY INC","490539558","282210","22S","GALESBURG"
"BENOVIA WINERY LLC","954013952","206203","22S","SANTA ROSA"
"BENTONVILLE BREWING LLC","727123624","274088","22S","BENTONVILLE"
"BERNARDUS, LLC","939249336","272554","22S","CARMEL VALLEY"
"BETTER DRINKS LLC","198011120","274935","22S","WILMINGTON"
"BEVAN CELLARS, LLC","954048225","273158","22S","SANTA ROSA"
"BEVERAGE BROTHERS INC.","952403169","248031","22S","LODI"
"BIG MUDDY BREWING LLC","629663938","207771","22S","MURPHYSBORO"
"BIG SKY BREWING COMPANY","598088680","179099","22S","MISSOULA"
"BINDING BRAUEREI USA INC.","068511543","175052","22S","NORWALK"
"BLACKBIRD VINEYARDS LLC","945620000","206394","22S","OAKVILLE"
"BLAKE FARMS HARD APPLE CIDER, LLC","480052323","281336","22S","ARMADA"
"BLISS WORLDWIDE LLC","945101026","226943","22S","BENICIA"
"BLUE ROCK VINEYARD LLC","954259753","199923","22S","CLOVERDALE"
"BOEDECKER CELLARS LLC","972116156","192213","22S","PORTLAND"
"BOGLE VINEYARDS INC.","956125009","197205","22S","CLARKSBURG"
"BOOTSTRAP BREWING COMPANY LLC","805015865","275332","22S","LONGMONT"
"BOSTON BEER CORPORATION","022102300","190046","22S","BOSTON"
"BOTTLE DIPLOMACY LLC","956886902","258809","22S","VACAVILLE"
"BOURGMONT WINERY LLC","660130000","273020","22S","BUCYRUS"
"BOUTIQUE BEVERAGE COMPANY, LLC","294928950","277654","22S","CHARLESTON"
"BREW HUB LLC","338153205","245379","22S","LAKELAND"
"BREWDOG BREWING COMPANY LLC","431107539","269667","22S","CANAL WINCHESTER"
"BROADBENT SELECTIONS INC.","954769590","103336","22S","SONOMA"
"BROC CELLARS LLC","947101417","282417","22S","BERKELEY"
"BROOKLYN BREWERY CORPORATION, THE","112491913","244539","22S","BROOKLYN"
"BROWN ESTATE VINEYARDS LLC","945749642","198324","22S","ST. HELENA"
"BRUERY LLC, THE","928706806","276179","22S","PLACENTIA"
"BRULIAM WINES LLC","954927861","285981","22S","WINDSOR"
"BUCKLER FAMILY VINEYARDS LLC","949546919","285279","22S","PETALUMA"
"BUEHLER VINEYARDS INC.","945749529","33454","22S","ST HELENA"
"C & L IMPORTS LLC","21237","282644","22S","BALTIMORE"
"C. MONDAVI & FAMILY","945749502","123618","22S","ST HELENA"
"CABERNET CORPORATION","949495763","248155","22S","NOVATO"
"CAIN CELLARS, INC","94574","276991","22S","SAINT HELENA"
"CALIFORNIA BREWING CO., LLC","956185474","230383","22S","DAVIS"
"CALIFORNIA CIDER COMPANY INC","954722612","284104","22S","SEBASTOPOL"
"CALINI GROUP LLC","662243332","255842","22S","LEAWOOD"
"CALIPASO WINERY LLC","934469533","244291","22S","PASO ROBLES"
"CALLIOPE VINEYARD LLC","970049701","279624","22S","BEAVERCREEK"
"CALLUNA VINEYARDS LLC","954037416","188464","22S","SANTA ROSA"
"CAMO BREWING COMPANY INC.","891031200","192485","22S","LAS VEGAS"
"CAMPBELL & MCGILL SELECTIONS LLC","060733220","262635","22S","SOUTH GLASTONBURY"
"CANAL STREET BREWING COMPANY LLC","495034037","268507","22S","GRAND RAPIDS"
"CAPE CLASSICS INC.","100188004","121275","22S","NEW YORK"
"CARACCIOLI CELLARS INC.","93926","242443","22S","GONZALES"
"CARDWELL HILL CELLARS LLC","973709739","189827","22S","PHILOMATH"
"CARNEROS WINE COMPANY INC.","945599706","224703","22S","NAPA"
"CASCADE BREWING COMPANY LLC","972252149","280157","22S","PORTLAND"
"CASPAR WINE LLC","94558","271559","22S","NAPA"
"CASPARIAN PRODUCTION LLC","971159028","285584","22S","DUNDEE"
"CASTORO CELLARS","934519567","262260","22S","SAN MIGUEL"
"CELLIER WINES DISTRIBUTING INC.","119710000","267382","22S","SOUTHOLD"
"CHALICE VINEYARDS, LLC","974249591","259487","22S","COTTAGE GROVE"
"CHAPPELLET WINERY INC.","945749628","96254","22S","ST HELENA"
"CHARBAUT AMERICA INC.","100165070","164173","22S","NEW YORK"
"CHARLES REININGER LLC","993627291","211078","22S","WALLA WALLA"
"CHATEAU BARNABY, LLC","972022331","268093","22S","PORTLAND"
"CHLOE WINES LLC","981338413","155697","22S","SEATTLE"
"CHRISTOPHER MICHAEL WINES LLC","971012304","235402","22S","AMITY"
"CIPCO, INC.","934462635","279348","22S","PASO ROBLES"
"CIV USA INC.","331661006","244845","22S","MIAMI"
"CLEMENZA VINI IMPORTS LLC","802104921","263462","22S","DENVER"
"CLINE CELLARS INC.","954769216","169747","22S","SONOMA"
"CLINE SISTERS IMPORTS LLC","954769216","225754","22S","SONOMA"
"CLIPPER CITY BREWING COMPANY, L.P.","212274624","264653","22S","BALTIMORE"
"CLOS DU VAL WINE COMPANY LTD","945640000","273393","22S","NAPA"
"COMPASS BRANDS LLC","980010000","269606","22S","AUBURN"
"CONTINENTAL VINEYARDS LLC","934465977","258805","22S","PASO ROBLES"
"COOP ALE WORKS LLC","731794600","235781","22S","OKLAHOMA CITY"
"COPA FINA WINE IMPORTS LLC","945101227","286260","22S","BENICIA"
"COPPER CANE LLC","945730000","221080","22S","RUTHERFORD"
"CORE BREWING & DISTILLING CO., LLC","727641819","216343","22S","SPRINGDALE"
"CORK ALLIANCE INC.","331221915","253698","22S","DORAL"
"CORNERSTONE US WINE IMPORTERS INC.","92660","267908","22S","NEWPORT BEACH"
"CORTONA LLC","802312742","267110","22S","DENVER"
"COUP DE FOUDRE LLC","945749631","185463","22S","ST. HELENA"
"COURAGEOUS INC.","956698604","234700","22S","PLYMOUTH"
"CREW WINE COMPANY LLC","956980493","206393","22S","ZAMORA"
"CRIBARI VINEYARDS INC.","937223943","226944","22S","FRESNO"
"CRISTIE KERR WINES, LLC","945599713","281448","22S","NAPA"
"CRISTOM VINEYARDS","973049779","135563","22S","SALEM"
"CROCKER & STARR WINE CO., LLC","945741417","211122","22S","ST. HELENA"
"CROOK & MARKER LLC","334071994","279837","22S","WEST PALM BEACH"
"CROOKED STAVE LLC","80211","258808","22S","DENVER"
"CROWN IMPORTS LLC","606035564","278085","22S","CHICAGO"
"CROWN POINT WINERY LLC","934609484","262293","22S","SANTA YNEZ"
"CRUSE WINE COMPANY LLC","949541106","258970","22S","PETALUMA"
"CULT OF 8","939239577","219727","22S","CARMEL"
"CUNAT PREMIUM VINEYARDS LLC","945581347","233304","22S","NAPA"
"CYNTHIA HURLEY FRENCH WINES, LLC","02465","279369","22S","WEST NEWTON"
"D & D VINEYARDS INC.","97128","275995","22S","MCMINNVILLE"
"D & V INTERNATIONAL INC.","334582713","197865","22S","JUPITER"
"D. MYERS LLC","803012457","179100","22S","BOULDER"
"D'AQUINO ITALIAN IMPORTING CO., INC.","910102901","136434","22S","DUARTE"
"DANA ESTATES INC","945741605","279637","22S","ST. HELENA"
"DANGEROUS WINE GROUP LLC","200061631","268094","22S","WASHINGTON"
"DAOU VINEYARDS LLC","934468712","186603","22S","PASO ROBLES"
"DARIOUSH KHALEDI WINERY LLC","945581117","125856","22S","NAPA"
"DASHE WINE CELLARS LLC","945017574","178214","22S","ALAMEDA"
"DAVID HILL VINEYARDS LLC","971167536","235932","22S","FOREST GROVE"
"DAVID JAMES LLC","945742233","271558","22S","ST. HELENA"
"DEFIANCE BREWERY LLC","676019310","223162","22S","HAYS"
"DEGRAZIA IMPORTS LLC","606544486","190592","22S","CHICAGO"
"DEL DOTTO VINEYARDS","945749775","273080","22S","ST. HELENA"
"DEL WINE LLC","33126","270139","22S","DORAL"
"DELEGAT USA INC.","941050922","181770","22S","SAN FRANCISCO"
"DELICATO VINEYARDS","95242","276397","22S","MANTECA"
"DELILLE CELLARS, LLC","980725004","280900","22S","WOODINVILLE"
"DEMEINE ESTATES LLC","945991214","277927","22S","YOUNTVILLE"
"DENNER FAMILY LLC","934469684","264055","22S","PASO ROBLES"
"DESCHUTES BREWERY INC.","977023118","194568","22S","BEND"
"DESTIHL BREWERY LLC","617616459","238203","22S","NORMAL"
"DIAGEO BEER COMPANY USA","100072439","138601","22S","NEW YORK"
"DIAMOND IMPORTERS INC.","606141793","214334","22S","CHICAGO"
"DIAMOND MOUNTAIN VINEYARD COMANY, INC","945153669","272407","22S","CALISTOGA"
"DISTAFF WINE COMPANY LLC","971323577","281630","22S","NEWBERG"
"DIVERGENT VINE LLC","95684","260939","22S","SOMERSET"
"DIVOT ENTERPRISES LLC","945620000","188677","22S","OAKVILLE"
"DK54VINES LLC","658020000","237643","22S","SPRINGFIELD"
"DO VALLE LLC","064050000","273456","22S","BRANFORD"
"DOMAINE DEMARIA SOTER LLC","971110000","148291","22S","CARLTON"
"DOMAINE SAINT GEORGE WINERY","954489570","285026","22S","HEALDSBURG"
"DOMAINE SERENE VINEYARDS & WINERY INC","971147227","285025","22S","DAYTON"
"DONATI FAMILY VINEYARD INC.","934658798","206200","22S","TEMPLETON"
"DONELAN FAMILY WINE CELLARS LLC","954037417","191421","22S","SANTA ROSA"
"DOSSEY VINEYARDS, LLC","420039280","267183","22S","PADUCAH"
"DRAKE MAKES WINE, INC","931033680","269607","22S","SANTA BARBARA"
"DREW, JASON J. AND MOLLY N.","95432","280503","22S","ELK"
"DREYER WINE LLC","940623607","113711","22S","WOODSIDE"
"DRY CREEK VINEYARD INC.","954489713","140962","22S","HEALDSBURG"
"DUCKHORN WINE COMPANY","945749410","246707","22S","ST. HELENA"
"DUMOL WINERY LLC","954927759","247630","22S","WINDSOR"
"DUNHAM CELLARS LLC","993627400","208524","22S","WALLA WALLA"
"EAGLE EYE IMPORTS - ILLINOIS LLC","483042376","271562","22S","BLOOMFIELD HILLS"
"EBERLE WINERY LTD.","934467302","50406","22S","PASO ROBLES"
"ECLIPSE ASSETS LLC","945150000","240010","22S","CALISTOGA"
"EL SEGUNDO BREWING CO.","902453801","273967","22S","EL SEGUNDO"
"EMERSON BROWN LLC","945740000","252772","22S","ST. HELENA"
"EMPYREAN BREWING CO.","685081331","205446","22S","LINCOLN"
"ENOS VINEYARDS INC.","954720000","208932","22S","SEBASTOPOL"
"EQUILIBRIUM BREWERY LLC","10940","282630","22S","MIDDLETOWN"
"ERIK MILLER WINES INC.","954489714","272510","22S","HEALDSBURG"
"ESSER WINES LLC","954031088","241788","22S","SANTA ROSA"
"ETHYL AMBROSIA LLC","787371937","272422","22S","AUSTIN"
"EVAKI INC","93401","270322","22S","SAN LUIS OBISPO"
"EVESHAM WOOD VINEYARD & WINERY LLC","973049703","200787","22S","SALEM"
"EXCEL BOTTLING COMPANY","622301805","254105","22S","BREESE"
"EXPERIENCE WINES LLC","954032049","272500","22S","SANTA ROSA"
"F & F FINE WINES INTERNATIONAL INC.","069020000","218466","22S","STAMFORD"
"F & R WINE IMPORTS LLC","631192945","247894","22S","WEBSTER GROVES"
"F.B. MCDONALD IMPORTS INC.","816112469","231749","22S","ASPEN"
"F.L. NAVARRO LIMITED","112013807","246631","22S","BROOKLYN"
"FABLEIST WINE COMPANY, THE","934465988","258537","22S","PASO ROBLES"
"FAMILY & FARMERS LLC","945583033","274154","22S","NAPA"
"FASEL SHENSTONE LLC","981337009","225752","22S","SEATTLE"
"FELIX SOLIS AVANTIS USA INC.","945587533","225530","22S","NAPA"
"FERMENTED SCIENCES II, INC.","930037935","273648","22S","VENTURA"
"FIELDS & IVY BREWING COMPANY LLC","660464908","267381","22S","LAWRENCE"
"FIERI ENTERPRISES LLC","954484406","240881","22S","HEALDSBURG"
"FIGGINS ESTATE, LLC","993629525","263822","22S","WALLA WALLA"
"FIOR DI SOLE LLC","945587541","251392","22S","NAPA"
"FIRESTONE WALKER INC.","934463993","254448","22S","PASO ROBLES"
"FISHER VINEYARDS","954049692","163439","22S","SANTA ROSA"
"FITVINE LLC","952429497","253047","22S","LODI"
"FIVE GRAPES LLC","201660000","228050","22S","STERLING"
"FIVE STAR BREWING COMPANY INC.","891131354","192486","22S","LAS VEGAS"
"FLANEUR WINES LLC","971119673","273237","22S","CARLTON"
"FLOOPLE LLC","934465910","283665","22S","PASO ROBLES"
"FLORA SPRINGS WINE COMPANY","945741611","78217","22S","ST HELENA"
"FN CELLARS LLC","945620000","240123","22S","OAKVILLE"
"FORKING PATHS VINEYARDS INC","144563000","283247","22S","GENEVA"
"FORMAN, RICHARD","945749613","186802","22S","ST. HELENA"
"FORT ROSS VINEYARD & WINERY LLC","954030000","253507","22S","SANTA ROSA"
"FORTH DRY CREEK ESTATE LLC","954484435","190047","22S","HEALDSBURG"
"FRANCIS COPPOLA WINERY, LLC","954419325","168435","22S","GEYSERVILLE"
"FREE STATE BREWING CO., INC.","660442236","186627","22S","LAWRENCE"
"FREEMAN FAMILY WINERY LLC","954723031","198561","22S","SEBASTOPOL"
"FREIXENET MIONETTO USA INC.","106011719","265418","22S","WHITE PLAINS"
"FRESH GRAPES, LLC","945587541","271428","22S","NAPA"
"FREY VINEYARDS LTD.","954706135","68293","22S","REDWOOD VALLEY"
"FRIAS FAMILY VINEYARD, INC.","94515","276993","22S","CALISTOGA"
"FROST WINES LLC","148370000","258213","22S","DUNDEE"
"FRUIT OF THE VINES, INC.","111015960","180822","22S","LONG ISLAND CITY"
"FUTURE PROOF BRANDS LLC","787212465","266606","22S","AUSTIN"
"GALLICA WINES, LLC","945749706","282418","22S","ST. HELENA"
"GAMBLE FAMILY VINEYARDS LLC","945629849","270573","22S","OAKVILLE"
"GAMBRINUS COMPANY, THE","782323735","178896","22S","SAN ANTONIO"
"GANDONA INC.","945740000","229270","22S","ST. HELENA"
"GC WINE COMPANY, LLC","971012416","280029","22S","AMITY"
"GELOSO BEVERAGE GROUP, LLC","146261033","259556","22S","ROCHESTER"
"GENESEO PARTNERS LP","934469407","282419","22S","PASO ROBLES"
"GJS SALES, INC","532041549","268920","22S","MILWAUKEE"
"GLOBAL VINEYARD, THE","947101459","131800","22S","BERKELEY"
"GOLDRIDGEPINOT.COM LLC","954726470","280901","22S","SEBASTOPOL"
"GOLDSCHMIDT VINEYARDS LLC","954483820","152096","22S","HEALDSBURG"
"GOOSE RIDGE LLC","993208568","177705","22S","BENTON CITY"
"GORDON BROTHERS CELLARS, INC.","993019711","186887","22S","PASCO"
"GRAPE EXPECTATIONS, INC.","948012112","260247","22S","RICHMOND"
"GRAPES & BARLEY LLC","207051273","251828","22S","BELTSVILLE"
"GRAPES OF SPAIN INC.","220791522","179928","22S","LORTON"
"GRAZIANO, GREGORY","954709695","224078","22S","REDWOOD VALLEY"
"GREAT DIVIDE BREWING COMPANY","802052512","163809","22S","DENVER"
"GREG & GREG INC.","954722628","271012","22S","SEBASTOPOL"
"GRGICH HILLS CELLAR","945730450","49258","22S","RUTHERFORD"
"GRIEB OPTIMAL WINECRAFTING LLC","989519682","279345","22S","WAPATO"
"GROTH VINEYARDS & WINERY LLC","945620390","115472","22S","OAKVILLE"
"GROUNDED WINE PROJECT, LLC","93401","279838","22S","SAN LUIS OBISPO"
"GUARACHI WINE PARTNERS INC.","913641224","100554","22S","WOODLAND HILLS"
"GV LIQUID GROUP, INC, THE","897060838","271279","22S","CARSON CITY"
"HAHN ESTATE","939600000","239576","22S","SOLEDAD"
"HALL WINES LLC","945742200","145075","22S","ST. HELENA"
"HALTER WINERY LLC","934468798","267184","22S","PASO ROBLES"
"HAMMLER WINE CORP.","939249372","238006","22S","CARMEL VALLEY"
"HANATORO WINERY LLC","974013238","244360","22S","EUGENE"
"HAND PICKED SELECTIONS INC","201864349","285958","22S","WARRENTON"
"HAROZA SELECT WINES LLC","554101510","265755","22S","MINNEAPOLIS"
"HARPOON DISTRIBUTING COMPANY INC.","022102324","259278","22S","BOSTON"
"HARRIS, RENNICK & MARILYN","945620323","167887","22S","OAKVILLE"
"HARROW CELLARS","954037416","279834","22S","SANTA ROSA"
"HAYKIN FAMILY CIDERY LLC","800100000","273386","22S","AURORA"
"HBC, LLC","804038058","272893","22S","GOLDEN"
"HEINEKEN USA INC","106011841","269608","22S","WHITE PLAINS"
"HEMISPHERES LLC","934465980","258991","22S","PASO ROBLES"
"HENDRY PREMIUM IMPORTS INC.","60152","178620","22S","MARENGO"
"HENDRY, GEORGE O.","945589706","212179","22S","NAPA"
"HENRIOT INC","10018","186141","22S","NEW YORK"
"HERITAGE ROAD VINTNERS LLC","945587516","233932","22S","NAPA"
"HESS COLLECTION WINERY","945589708","67069","22S","NAPA"
"HIDALGO IMPORTS LLC","331663317","248032","22S","MIAMI"
"HIRSCH WINERY LLC","954219659","180216","22S","CAZADERO"
"HOFBRAUHAUS OF AMERICA LLC","890525972","253618","22S","HENDERSON"
"HOOPES, SPENCER W.","945620000","238889","22S","OAKVILLE"
"HOP BUTCHER FOR THE WORLD LLC","606386129","281631","22S","BEDFORD PARK"
"HOPE WINE LLC","945586221","212487","22S","NAPA"
"HOPEWELL VIEWS HUNTING CLUB INC.","623703342","207186","22S","ROCKPORT"
"HOURGLASS WINE COMPANY INC.","945159649","219180","22S","CALISTOGA"
"HQ WINERY LLC","94558","269551","22S","NAPA"
"HUNEEUS WINES LLC","945730505","269850","22S","RUTHERFORD"
"IDEAL WINE & SPIRITS COMPANY INC.","021556903","142927","22S","MEDFORD"
"INDIAN PEAKS BREWING CO.","805015809","172001","22S","LONGMONT"
"INDIGENOUS SELECTIONS LLC","33308","175171","22S","FORT LAUDERDALE"
"INDIGO WINE GROUP LLC","342855532","169750","22S","VENICE"
"INFINITE MONKEY THEOREM, THE","802052314","236136","22S","DENVER"
"INNOVINO INTERNATIONAL INC.","333212954","246706","22S","TAMARAC"
"INTERCONTINENTAL PACKAGING COMPANY","185170000","280750","22S","TAYLOR"
"IWK USA IMPORTERS","331392482","284557","22S","MIAMI BEACH"
"J AND D BUCHER ENTERPRISES, INC.","954927861","284356","22S","WINDSOR"
"J. LOHR WINERY CORPORATION","951262739","40974","22S","SAN JOSE"
"J. PEDRONCELLI WINERY","954419638","163212","22S","GEYSERVILLE"
"J.W. THOMAS, LLC","945599715","280614","22S","NAPA"
"JACK POUST & COMPANY INC.","101700499","205162","22S","NEW YORK"
"JACKALOPE CELLARS LLC","972062248","265683","22S","PORTLAND"
"JACKSON FAMILY ENTERPRISES INC.","954031069","199573","22S","SANTA ROSA"
"JAM CELLARS INC.","945586202","244414","22S","NAPA"
"JARVIS","945589615","211123","22S","NAPA"
"JAX VINEYARDS LLC","941071812","191420","22S","SAN FRANCISCO"
"JFC INTERNATIONAL INC.","601335477","121476","22S","HANOVER PARK"
"JOLLY FOX BREWERY, LLC, THE","667625205","268509","22S","PITTSBURG"
"JOSEPH PHELPS VINEYARDS LLC","945749544","166421","22S","ST. HELENA"
"JOSEPH VICTORI WINES INC.","117433317","111759","22S","HUNTINGTON"
"JUSTIN VINEYARDS & WINERY LLC","934469792","197210","22S","PASO ROBLES"
"JVW CORPORATION","954489003","174317","22S","HEALDSBURG"
"KAMEN WINES LLC","954762805","177539","22S","SONOMA"
"KANSAS TERRITORY BREWING CO.","669682337","239882","22S","WASHINGTON"
"KC PUMPKIN PATCH LLC","660619600","268510","22S","OLATHE"
"KERMIT LYNCH WINE MERCHANT","947021317","66956","22S","BERKELEY"
"KERWIN ESTATE LLC","945151804","258989","22S","CALISTOGA"
"KEVIN WHITE WINES LLC","980728281","271014","22S","WOODINVILLE"
"KIMBERTON WINES LLC","94558","279841","22S","NAPA"
"KING ESTATE WINERY LIMITED PARTNERSHIP","974059715","118009","22S","EUGENE"
"KINSELLA ESTATES WINERY LLC","954484838","230354","22S","HEALDSBURG"
"KISMET WINE INC.","954769292","257110","22S","SONOMA"
"KITFOX VINEYARDS LLC","954729782","200051","22S","SEBASTOPOL"
"KLEIN FOODS INC.","954489523","49912","22S","HEALDSBURG"
"KLINKER BRICK WINERY INC.","952409331","235883","22S","LODI"
"KNIGHTS BRIDGE WINERY, LLC","945151701","271998","22S","CALISTOGA"
"KREBS BREWING CO., INC.","745018846","252815","22S","MCALESTER"
"KRUTZ FAMILY CELLARS LLC","954031917","273873","22S","SANTA ROSA"
"LA GRANJA WINERY INC.","934467613","229630","22S","PASO ROBLES"
"LABATT USA OPERATING CO LLC","142033079","246636","22S","BUFFALO"
"LAGOSTA WINE CO., LLC","954030000","273391","22S","SANTA ROSA"
"LAGUNITAS BREWING COMPANY, THE","949541113","235216","22S","PETALUMA"
"LAIRD FAMILY ESTATE LLC","945581326","184824","22S","NAPA"
"LAND OF RICHES, LLC","945592101","278372","22S","NAPA"
"LANGDON SHIVERICK INC.","900142004","176087","22S","LOS ANGELES"
"LANGE WINERY LLC","971159771","235269","22S","DUNDEE"
"LANGMAN ESTATE WINERY LLC","956678881","256956","22S","PLACERVILLE"
"LAUREATE IMPORTS & MARKETING COMPANY INC","30144","284540","22S","KENNESAW"
"LAURENT-PERRIER US, INC.","111011636","110242","22S","LONG ISLAND CITY"
"LAWRENCE BEER COMPANY LLC","660443166","267383","22S","LAWRENCE"
"LAZY MAGNOLIA BREWING CO., LLC","395568000","220604","22S","KILN"
"LCF WINE COMPANY LLC","952209187","256778","22S","ACAMPO"
"LDF SALES & DISTRIBUTING INC.","672264536","258777","22S","WICHITA"
"LDM WINES, INC","10013","268809","22S","NEW YORK"
"LE CEP II INC.","97111","269540","22S","CARLTON"
"LEELANAU WINE CELLARS LTD.","496740000","277925","22S","OMENA"
"LEFGROUP LLC","288032396","281449","22S","ASHEVILLE"
"LEONARD WINE COMPANY LLC","945584732","234957","22S","NAPA"
"LEONARDINI FAMILY WINERY LLC","945749775","210624","22S","ST. HELENA"
"LEONETTI CELLAR LLC","993629052","226937","22S","WALLA WALLA"
"LF WINES LLC","954927706","248869","22S","WINDSOR"
"LIME VENTURES","945208552","273079","22S","CONCORD"
"LIMERICK LANE CELLARS INC.","954489537","247766","22S","HEALDSBURG"
"LIMITLESS BREWING LLC","662151260","279463","22S","LENEXA"
"LINCOLN SQUARE WINE COMPANY LLC","93446","243510","22S","PASO ROBLES"
"LLAURADOR WINES LLC","949301637","247846","22S","FAIRFAX"
"LMR WINE ESTATES LLC","945749807","272423","22S","ST. HELENA"
"LO-FI WINES LLC","934549548","268004","22S","SANTA MARIA"
"LOEST AND MCNAMEE INC.","191394526","162345","22S","PHILADELPHIA"
"LOOSEN BROS. USA LTD.","970458496","155765","22S","OREGON CITY"
"LOVERBOY INC","100382784","285585","22S","NEW YORK"
"LOWDEN SCHOOLHOUSE CORPORATION","993600111","183251","22S","LOWDEN"
"LUJON WINE CELLARS INC.","97005","274822","22S","BEAVERTON"
"MAINE BEER COMPANY LLC","040327009","257328","22S","FREEPORT"
"MAISONS MARQUES & DOMAINES USA INC.","946074104","75623","22S","OAKLAND"
"MANCAN WINE LLC","945035106","260625","22S","AMERICAN CANYON"
"MARK RYAN WINERY LLC","993628661","282420","22S","WALLA WALLA"
"MARKET VINEYARDS LLC","993527754","195243","22S","RICHLAND"
"MARQUEE SELECTIONS LLC","662151704","283796","22S","LENEXA"
"MARTIN RAY WINERY INC.","954013705","127358","22S","SANTA ROSA"
"MARY MICHELLE WINERY & VINEYARD LLC","620161175","148361","22S","CARROLLTON"
"MARZ COMMUNITY BREWING CO","606091321","271715","22S","CHICAGO"
"MASCOT WINE LLC, THE","945620000","249839","22S","OAKVILLE"
"MASSANOIS LLC","10016","224079","22S","NEW YORK"
"MASSICAN LLC","945151310","253282","22S","CALISTOGA"
"MATTHIASSON FAMILY VINEYARDS","945586214","246604","22S","NAPA"
"MAURITSON FAMILY WINERY","954488230","197327","22S","HEALDSBURG"
"MAYACAMAS VINEYARDS","945589566","251113","22S","NAPA"
"MAYSARA WINERY LLC","971288551","269541","22S","MCMINNVILLE"
"MCBRIDE SISTERS COLLECTIONS INC.","934017938","264165","22S","SAN LUIS OBISPO"
