"applicant","award_fiscal_year","project_number","category","eligible_mitigation_action","old_vehicle_type","new_vehicle_type","new_fuel_type","est_lifetime_nox_reduction","funding_requested","actual_funding_awarded","maximum_vw_cost_share","vehicle_cost","address","city","zip","county","state","point"
"Junction Hill C-12","2019","SB40-B2","State Clean Diesel","EMA 2","School Bus","School Bus","diesel","0.109","22000.00","22000.00","0.25","93562.00","8004 CR 3010","West Plains","65775","Howell","MO","POINT (-91.8681 36.7125)"
"Gideon School District 37","2019","SB28-B1","State Clean Diesel","EMA 2","School Bus","School Bus","diesel","0.065","22000.00","22000.00","0.25","100441.00","400 Main Street","Gideon","63848","New Madrid","MO","POINT (-89.898993 36.45122)"
"Bi State Development Agency","2020","TS01-BSDA-9916","Category 3: Transit and Shuttle Buses","2. Class 4-8 School Bus, Shuttle Bus, or Transit Bus","Bus","Bus","all-electric","5.787","500000.00","0.00","0.5",,"211 N Broadway, Suite 700","St. Louis","63102","Saint Louis City","MO","POINT (-90.188556 38.631639)"
"Ozarks Coca Cola/Dr. Pepper Bottling Company","2020","NG17-OZAR-2/10-0248","Category 4: Nongovernment Trucks","1. Class 8 Local Frieght and Port Drayage Trucks","long haul combination",,"diesel","7.931","22850.00","22850.00","0.25","110804.00","1777 N. Packer Rd.","Springfield","65604","Greene","MO","POINT (-93.582453 37.305448)"
"Ozarks Coca Cola/Dr. Pepper Bottling Company","2020","NG17-OZAR-1/10-7981","Category 4: Nongovernment Trucks","1. Class 8 Local Frieght and Port Drayage Trucks","long haul combination",,"diesel","2.632","22850.00","22850.00","0.25","110804.00","1777 N. Packer Rd.","Springfield","65604","Greene","MO","POINT (-93.582453 37.305448)"
"City of St. Louis","2019","R-GT2-STLC-T1","Category 2: Government Trucks",,,,"diesel","0.405","16660.00","43010.00","0.5","138944.00","1900 Hampton Ave","St. Louis","63139","Saint Louis City","MO","POINT (-90.292627 38.610541)"
"St Louis, City of","2020","GT21-STLO-67514","Category 2: Government Trucks","1. Class 8 Local Frieght and Port Drayage Trucks","Short Haul Single Unit",,"diesel","0.432",,"22006.84",,"81241.00","1122 Clark Ave","St. Louis","63102","Saint Louis City","MO","POINT (-90.188556 38.631639)"
"SYSCO St. Louis LLC","2020","NG24-SYSC-3/10-1870","Category 4: Nongovernment Trucks","1. Class 8 Local Frieght and Port Drayage Trucks","refuse hauler",,"diesel","4.664","20330.00","20330.00","0.25","90115.91","2753 Elm Point Industiral Drive","St. Charles","63301","Saint Charles","MO","POINT (-90.496858 38.821144)"
"Fair Play R-II School District","2019","SB21-B1","Category 1: FDD","EMA 2","School Bus","School Bus","diesel","0.194","100000.00","86001.00","1","86001.00","301 North Walnut","Fair Play","65649","Polk","MO","POINT (-93.625877 37.631947)"
"Ridgeway R-V","2020","SB16-RIDG-6949","Category 1: school Bus","EMA 22","School Bus","School Bus","Diesel","1.12","72000.00","62542.40","0.8","78178.00","305 Mail Street","Ridgeway","64484","Buchanan","MO","POINT (-95.028137 39.560817)"
"Republic Services INC","2020","NG20-REPU-30/30-0233","Category 4: Nongovernment Trucks","1. Class 8 Local Frieght and Port Drayage Trucks","refuse hauler",,"diesel","1.586","23805.00","23805.00","0.25","258654.02","7180 N Market St","St. Louis","63133","St. Louis","MO","POINT (-90.304234 38.67882)"
"Metropolitan St. Louis Sewer District","2019","R-GT4-STLO-T5","Category 2: Government Trucks",,,,"diesel","2.025","75000.00","64000.00","0.5","398538.00","2350 Market Street","St. Louis","63103","Saint Louis City","MO","POINT (-90.215039 38.630287)"
"Steelville R-3","2019","SB78-B2","Category 1: School Buses","EMA 2","School Bus","School Bus","Diesel","0.579","22000.00","20498.50","0.25","81994.00","17154 MO-19","Steelville","65565","Crawford","MO","POINT (-91.287463 37.936919)"
"FedEx Freight Corporation","2020","NG27-FEDE-30/35-3542","Category 4: Nongovernment Trucks","6. Class 4-7 Local Frieght","Short Haul Single Unit",,"diesel","0.91","13519.80","13519.80","0.25","101275.86","4100 N Norfleet Rd","Kansas City","64161","Clay","MO","POINT (-94.458005 39.163411)"
"FedEx Freight Corporation","2020","NG27-FEDE-6/35-4343","Category 4: Nongovernment Trucks","1. Class 8 Local Frieght and Port Drayage Trucks","Short Haul Single Unit",,"diesel","1.7","26719.28","25318.97","0.25","101275.86","4107 N Norfleet Rd","Kansas City","64161","Clay","MO","POINT (-94.458005 39.163411)"
"R+L Carriers, Inc","2020","NG18-R+LC-21/33-8369","Category 4: Nongovernment Trucks","1. Class 8 Local Frieght and Port Drayage Trucks","short haul combination",,"CNG","1.87","25367.63","25251.75","0.25","101007.00","4055 N Pleasant Ave","Kansas City","64161","Clay","MO","POINT (-94.458005 39.163411)"
"Francis Energy (100kW)","2021","EV15-FRAN-ROC02","Category 8: EV Infrastructure",,"EV charging station",,"all-electric",,"257871.75",,,,"110 Chestnut St","Tarkio","64491","Atchison","MO","POINT (-95.335884 40.441639)"
"City of Columbia Utilities Department","2019","R-GT7-COMU-T2","Category 2: Government Trucks",,,,"diesel","1.44","45000.00",,"0.5","271897.00",,"Columbia","65205","Boone","MO","POINT (-92.328594 38.951551)"
"R+L Carriers, Inc","2020","NG18-R+LC-18/33-5077","Category 4: Nongovernment Trucks","1. Class 8 Local Frieght and Port Drayage Trucks","Short Haul Single Unit",,"CNG","3.904","26303.63","26259.50","0.25","105038.00","4055 N Pleasant Ave","Kansas City","64161","Clay","MO","POINT (-94.458005 39.163411)"
"Callaway County Road and Bridge","2020","GT16-CALL-8440","Category 2: Government Trucks","6. Class 4-7 Local Frieght","Short Haul Single Unit",,"diesel","0.603",,"27609.30",,"55218.60","10 E 5th St","Fulton","65251","Callaway","MO","POINT (-91.973506 38.853923)"
"Lafayette County Commision","2019","R-GT3-LAFA-T1","Category 2: Government Trucks",,,,"diesel","0.15","6000.00","25000.00","0.5","140536.00","530 Texas Prairie Rd","Odessa","64076","Lafayette","MO","POINT (-93.949838 38.982938)"
"Liberty Public School District #53","2019","SB47-B3","Category 1: School Buses","EMA 2","School Bus","School Bus","diesel","0.363","22000.00","22000.00","0.25","92770.00","801 Kent Street","Liberty","64068","Clay","MO","POINT (-94.412372 39.252954)"
"McDonald County R-1 Schools","2019","SB54-B3","Category 1: School Buses","EMA 2","School Bus","School Bus","diesel","0.688","22000.00","21142.50","0.25","84570.00","100 Mustang Dr.","Anderson","64831","McDonald","MO","POINT (-94.471872 36.664965)"
"Waste Management of Missouri, INC","2020","NG25-WAST-10/12-0538","Category 4: Nongovernment Trucks","1. Class 8 Local Frieght and Port Drayage Trucks","LONG HAUL COMBINATION",,"CNG","5.1775","55000.00","55000.00","0.25","345115.20","7320 Hall Street","St. Louis","63147","Saint Louis City","MO","POINT (-90.221068 38.695471)"
"Republic Services Inc","2020","NG07-REPU-2195","Category 4: Nongovernment Trucks","1. Class 8 Local Frieght and Port Drayage Trucks","Refuse Hauler",,"diesel","2.758","35929.60","0.00","0.25",,"7184 N Market St","St. Louis","63133","St. Louis","MO","POINT (-90.304234 38.67882)"
"City of Columbia","2019","TS02-COMO-B3","Category 3: Transit and Shuttle Buses","EMA 2","Transit Bus","Transit Bus",,"2.687","98000.00","98000.00",,"490000.00","126 North Tenth Street","Columbia","65205","Boone","MO","POINT (-92.328594 38.951551)"
"Callaway County Road and Bridge","2020","GT16-CALL-6242","Category 2: Government Trucks","1. Class 8 Local Frieght and Port Drayage Trucks","Short Haul Single Unit",,"diesel","1.344",,"80000.00",,"167154.00","10 E 5th St","Fulton","65251","Callaway","MO","POINT (-91.973506 38.853923)"
"Iron County Commission","2020","GT08-IRON-4459","Category 2: Government Trucks","1. Class 8 Local Frieght and Port Drayage Trucks","Short Haul Single Unit",,"diesel","0.942",,"56400.00",,"137400.00","250 S Main Stret PO Box 42","Ironton","63650","Iron","MO","POINT (-90.645997 37.607301)"
"Ozarks Coca Cola/Dr. Pepper Bottling Company","2020","NG17-OZAR-6/10-6432","Category 4: Nongovernment Trucks","1. Class 8 Local Frieght and Port Drayage Trucks","long haul combination",,"diesel","4.356","22850.00","22850.00","0.25","110804.00","1777 N. Packer Rd.","Springfield","65604","Greene","MO","POINT (-93.582453 37.305448)"
"City of St. Louis","2019","R-GT2-STLC-T6","Category 2: Government Trucks",,,,"diesel","1.17","43010.00","43010.00","0.5","138944.00","1900 Hampton Ave","St. Louis","63139","Saint Louis City","MO","POINT (-90.292627 38.610541)"
"Blue Springs School District","2020","SB49-BLUE-2127","Category 1: school Bus","EMA 2","School Bus","School Bus","Diesel","0.136","36000.00","36000.00","0.4","97082.00","200 SE US 40 HWY","Blue Springs","64014","Jackson","MO","POINT (-94.258857 39.015376)"
"Webb City R-VII","2020","SB32-WEBB-7524","Category 1: school Bus","EMA 46","School Bus","School Bus","Diesel","1.178","36000.00","36000.00","0.4","99575.00","411 North Madison Street","Webb City","64870","Gasconade","MO","POINT (-94.473676 37.163925)"
"Fowler Bus Company, Inc.","2020","SB02-FOWL-7941","Category 1: school Bus","EMA 2","School Bus","School Bus","Diesel","0.712","18000.00","18000.00","0.2","93807.00","1213 East Main Street","Richmond","64085","Ray","MO","POINT (-93.961337 39.325505)"
"Ozarks Coca Cola/Dr Pepper Bottling Company","2020","NG03-OZAR-0263","Category 4: Nongovernment Trucks","1. Class 8 Local Frieght and Port Drayage Trucks","Short Haul Combination",,"diesel","2.535","32387.50","30815.25","0.25",,"1777 N Packer Rd","Springfield","65803","Greene","MO","POINT (-93.290325 37.268836)"
"Rolla Municipal Utilities","2019","GT51-ROLL-T1","Category 2 - Medium (Class 4-7)","EMA 6","2006 Bucket Truck","Short Haul Single Unit","Diesel","1.032","30000.00","30000.00",,"151232.00","102 W 9th Street","Rolla","65402","Phelps","MO","POINT (-91.78 37.95)"
"Department of Corrections","2020","DOC-8480-F0738M","Category 2: Government Trucks","1. Class 8 Local Frieght and Port Drayage Trucks","Long Haul Combination",,"diesel","0.384","106500.00","106500.00","0.83","128676.53","2735 Plaza Drive","Jefferson City","65102","Cole","MO","POINT (-92.187689 38.577896)"
"Dunklin R-V School District","2019","SB16-B1","Category 1: School Buses","EMA 2","School Bus","School Bus","diesel","0.05","22000.00","22000.00","0.25","99120.00","497 Joachim","Herculaneum","63048","Jefferson","MO","POINT (-90.393505 38.257997)"
"Mexico 59 School District","2019","SB55-B1","Category 1: School Buses","EMA 2","School Bus","School Bus","diesel","0.073","22000.00","22000.00","0.25","94069.00","2101 Lakeview","Mexico","65265","Audrain","MO","POINT (-91.881761 39.186525)"
"New Haven School District","2019","SB61-B2","State Clean Diesel","EMA 3","Bus",,"diesel","0.681","22000.00","21311.00","0.25","85244.00","100 Park Dr.","Franklin","63068","Franklin","MO","POINT (-91.233697 38.557584)"
"Gasconade County R-II","2020","D-GASC-3949","Category 7: DERA Option",,"School Bus","School Bus","Diesel","1.207","22500.00","15357.13","0.25","61428.50","402 E. Lincoln","Owensville","65066","Gasconade","MO","POINT (-91.488156 38.343261)"
"Sullivan C-2","2019","SB79-B2","Category 7: DERA Option","10. Diesel Emissions Reduction Act Option:","School Bus","School Bus","Diesel",,"22000.00","21110.00","0.25","84440.00","138 Taylor Street","Sullivan","63080","Franklin","MO","POINT (-91.146205 38.237839)"
"Republic Services Inc","2020","NG07-REPU-8535","Category 4: Nongovernment Trucks","1. Class 8 Local Frieght and Port Drayage Trucks","Refuse Hauler",,"diesel","4.94","30726.75","0.00","0.25",,"7208 N Market St","St. Louis","63133","St. Louis","MO","POINT (-90.304234 38.67882)"
"FedEx Freight Corporation","2020","NG27-FEDE-21/35-3448","Category 4: Nongovernment Trucks","1. Class 8 Local Frieght and Port Drayage Trucks","Short Haul Single Unit",,"diesel","1.22","18945.86","18945.86","0.25","101275.86","4090 N Norfleet Rd","Kansas City","64161","Clay","MO","POINT (-94.458005 39.163411)"
"Waste Management of Missouri, INC","2020","NG25-WAST-8/12-9524","Category 4: Nongovernment Trucks","1. Class 8 Local Frieght and Port Drayage Trucks","short haul combination",,"CNG","1.5715","30000.00","30000.00","0.25","345115.20","7320 Hall Street","St. Louis","63147","Saint Louis City","MO","POINT (-90.221068 38.695471)"
"Gainesville R-V","2020","SB15-GAIN-4217","Category 1: school Bus","EMA 20","School Bus","School Bus","Diesel","0.714","54000.00","53490.00","0.6","89150.00","422 Bulldog Drive","Gainesville","65655","Ozark","MO","POINT (-92.40638 36.578204)"
"Breckenridge R-I School District","2019","SB07-B1","Category 1: FDD","EMA 2","School Bus","School Bus","diesel","0.441","100000.00","87832.00","1","87832.00","400 W. Colfax St","Breckenridge","64625","Caldwell","MO","POINT (-93.809245 39.754803)"
"R+L Carriers, Inc","2020","NG18-R+LC-28/33-6270","Category 4: Nongovernment Trucks","1. Class 8 Local Frieght and Port Drayage Trucks","short haul combination",,"CNG","2.849","26303.63","26259.50","0.25","105038.00","4055 N Pleasant Ave","Kansas City","64161","Clay","MO","POINT (-94.458005 39.163411)"
"City of St. James","2019","GT03-STJA-T3","Category 2 - Large (Class 8)","EMA 1","2004 Trash Truck","Refuse Hauler","Diesel","1.540","73774.50","73774.50",,"147549.00","100 S. Jefferson","St. James","65559","Phelps","MO","POINT (-91.609245 38.007914)"
"Department of Corrections","2019","DOC-4","Category 2: Government Trucks","1. Class 8 Local Frieght and Port Drayage Trucks","Short Haul Combination",,"diesel","4.365","100590.19","100590.19",,"100590.19","2729 Plaza Drive","Jefferson City","65102","Cole","MO","POINT (-92.187689 38.577896)"
"L Davis Transports, LLC","2020","NG09-LDAV-5175","Category 4: Nongovernment Trucks","1. Class 8 Local Frieght and Port Drayage Trucks","Long Haul Combination",,"diesel","8.085","40000.00","26250.00","0.25",,"PO BOX 419","St. James","65559","Phelps","MO","POINT (-91.609245 38.007914)"
"R+L Carriers, Inc","2020","NG18-R+LC-17/33-8076","Category 4: Nongovernment Trucks","1. Class 8 Local Frieght and Port Drayage Trucks","Short Haul Single Unit",,"diesel","3.256","26303.63","26259.50","0.25","105038.00","4055 N Pleasant Ave","Kansas City","64161","Clay","MO","POINT (-94.458005 39.163411)"
"McDonald County R-1 Schools","2020","SB25-MCDO-4129","Category 1: school Bus","EMA 32","School Bus","School Bus","Diesel","0.946","22500.00","22500.00","0.25","102306.00","10 Stampede Dr.","Anderson","64831","McDonald","MO","POINT (-94.471872 36.664965)"
"FedEx Freight Corporation","2020","NG27-FEDE-29/35-3862","Category 4: Nongovernment Trucks","6. Class 4-7 Local Frieght","Short Haul Single Unit",,"diesel","0.86","13493.82","13493.82","0.25","101275.86","4098 N Norfleet Rd","Kansas City","64161","Clay","MO","POINT (-94.458005 39.163411)"
"Hiland Dairy Foods LLC","2020","NG10-HILA-14/43-9561","Category 4: Nongovernment Trucks","1. Class 8 Local Frieght and Port Drayage Trucks","short haul combination",,"diesel","2.454","18750.00","18750.00","0.25","89854.00","1140 E Kearny Street","Springfield","65803","Greene","MO","POINT (-93.290325 37.268836)"
"Lakeland R-III School District","2020","SB47-LAKE-2619","Category 1: school Bus","EMA 64","School Bus","School Bus","Diesel","0.946","54000.00","51943.20","0.6","86572.00","12530 Lakeland School Drive","Deepwater","64740","Henry","MO","POINT (-93.706552 38.234536)"
"Republic Services Inc","2020","NG07-REPU-3522","Category 4: Nongovernment Trucks","1. Class 8 Local Frieght and Port Drayage Trucks","Refuse Hauler",,"diesel","3.51","30726.75","0.00","0.25",,"7196 N Market St","St. Louis","63133","St. Louis","MO","POINT (-90.304234 38.67882)"
"City of St. Louis Airport Authority","2020","TS04-LAMB-9361","Category 3: Transit and Shuttle Buses","2. Class 4-8 School Bus, Shuttle Bus, or Transit Bus","Bus","Bus","CNG","1.05","60000.00","60000.00","0.5","147638.00","10701 Lambert International Bouldevard","St. Louis","63145","Saint Louis County","MO","POINT (-90.3633 38.743146)"
"Manes R-V School District","2019","SB50-B1","Category 1: FDD","EMA 2","School Bus","School Bus","diesel","0.336","100000.00","88010.00","1","88010.00","8939 Hwy 95","Mountain Grove","65711","Wright","MO","POINT (-92.279953 37.215896)"
"County of Audrain","2019","GT45-AUDR-T1","Category 2 - Large (Class 8)","EMA 1","2000 Tractor Trailer/Belly Dump Truck","Short Haul Combination","Diesel","2.556","62500.00","62500.00",,"125994.06","101 North Jefferson Street","Mexico","65265","Audrain","MO","POINT (-91.881761 39.186525)"
"Jefferson County Public Works","2020","GT16-JFCO-5149","Category 2: Government Trucks","6. Class 4-7 Local Frieght","Short Haul Single Unit",,"diesel","2.123","63750.00","63750.00","0.5","128075.00","PO Box 100","Hillsboro","63050",,"MO","POINT (-90.572632 38.261258)"
"Capital Sand Company, INC","2020","LM01-CAPI-60M0","Category 5: Locomotive and Marine","4. Ferries and Tugs","Ferry or Tug",,"diesel","81.45","580000.00",,"0.4",,"700 Mokane Road","Jefferson City","65101","Cole","MO","POINT (-92.147722 38.515439)"
"Hannibal Public School District #60","2019","SB31-B1","Category 1: School Buses","EMA 2","School Bus","School Bus","diesel","0.449","22000.00","22000.00","0.25","105343.00","4650 McMasters Avenue","Hannibal","63401","Marion","MO","POINT (-91.420452 39.702916)"
"Republic Services INC","2020","NG20-REPU-21/30-9200","Category 4: Nongovernment Trucks","1. Class 8 Local Frieght and Port Drayage Trucks","refuse hauler",,"diesel","1.673","25140.00","25140.00","0.25","295705.05","7159 N Market St","St. Louis","63133","St. Louis","MO","POINT (-90.304234 38.67882)"
"Republic Services INC","2020","NG20-REPU-14/30-8714","Category 4: Nongovernment Trucks","1. Class 8 Local Frieght and Port Drayage Trucks","short haul combination",,"diesel","3.3","39209.25","38484.93","0.25","153939.70","7172 N Market St","St. Louis","63133","St. Louis","MO","POINT (-90.304234 38.67882)"
"FedEx Freight Corporation","2020","NG27-FEDE-12/35-1019","Category 4: Nongovernment Trucks","6. Class 4-7 Local Frieght","refuse hauler",,"diesel","1.48","22644.96","22644.96","0.25","101275.86","4080 N Norfleet Rd","Kansas City","64161","Clay","MO","POINT (-94.458005 39.163411)"
"First Student, Inc.","2019","SB23-B2","State Clean Diesel","Other","School Bus","School Bus","diesel","1.038","22000.00","20474.45","0.25","81897.80","807 Chambers Rd","St. Louis","63137","St. Louis","MO","POINT (-90.217202 38.750368)"
"Republic Services Inc","2020","NG07-REPU-2984","Category 4: Nongovernment Trucks","1. Class 8 Local Frieght and Port Drayage Trucks","Refuse Hauler",,"diesel","2.492","30000.00","0.00","0.25",,"7191 N Market St","St. Louis","63133","St. Louis","MO","POINT (-90.304234 38.67882)"
"McDonald County R-1 Schools","2019","SB54-B2","Category 1: School Buses","EMA 2","School Bus","School Bus","diesel","0.576","22000.00","21142.50","0.25","84570.00","100 Mustang Dr.","Anderson","64831","McDonald","MO","POINT (-94.471872 36.664965)"
"Ozarks Coca Cola/Dr Pepper Bottling Company","2020","NG03-OZAR-4696","Category 4: Nongovernment Trucks","1. Class 8 Local Frieght and Port Drayage Trucks","Short Haul Combination",,"diesel","4.68","32387.50","30815.25","0.25",,"1777 N Packer Rd","Springfield","65803","Greene","MO","POINT (-93.290325 37.268836)"
"Grandview R-II School District","2019","SB30-B2","Category 1: School Buses","EMA 2","School Bus","School Bus","diesel","0.697","22000.00","22000.00","0.25","99875.00","1147 Highway C","Hillsboro","63050","Jefferson","MO","POINT (-90.572632 38.261258)"
"Houston R-1 School District","2019","SB36-B1","Category 1: School Buses","EMA 2","School Bus","School Bus","diesel","0.226","22000.00","22000.00","0.25","91519.00","423 West Pine","Houston","65483","Texas","MO","POINT (-91.952617 37.305038)"
