FACILITY,ADDRESS,CITY,ZIPCODE,COUNTY,PHONE,HOURS OF OPERATION,Location,School Districts,Missouri Counties,Counties
Hughes Senior Center,460 W 5th St,Lebanon,65536,Laclede,417-532-3040,Mon-Fri - 8:00am to 4:00pm,"(37.68093, -92.673037)",495,79,2008
Bethalto Public Library,31 South Prairie Street,Bethalto,62010,Madison,618-377-8141,"Mon-Thu - 9:00am to 8:00pm
Fri - 9:00am to 7:00pm
Sat - 10:00am to 5:00pm
Sun - 1:00pm to 5:00pm","(38.907511, -90.04045)",,,1749
Monroe County Health Department,1315 Jamie Lane,Waterloo,62298,Monroe,618-939-3871,Mon-Fri - 8:00am to 4:30pm,"(38.367068, -90.15829)",,,1754
Holts Summit Public Library,188 West Simon Boulevard,Holts Summit,65043,Callaway,573-606-8770,"Mon, Tue, Thu - 3:00pm to 6:00pm 
- Wed - 10:00pm to 6:00pm 
- Sat - 10:00am to 1:00pm","(38.65504, -92.117544)",465,45,513
St. Charles City County Library District,77 Boone Hills Drive,Saint Peters,63376,St Charles,636-441-2300,Mon-Fri - 8:30am to 5:00pm,"(38.784208, -90.600024)",173,48,2177
Cedar County Library District,717 East Street,Stockton,65785,Cedar,417-276-3413,"Mon - Fri 9:30am to 7:00pm
Sat 9:00am to 3:00pm","(37.699299, -93.787573)",332,77,2698
Joachim Plattin Ambulance District,1235 North Truman,Crystal City,63019,Jefferson,636-937-2224,Mon - Fri 8:00am to 5:00pm,"(38.232466, -90.390505)",284,62,1967
St. Louis County Library Weber Road Branch,4444 Weber Rd,Saint Louis,63123,St Louis,314-994-3300,"Mon-Thu - 9:00am to 9:00pm
Fri and Sat - 9:00am to 5:00pm","(38.551236, -90.29762)",238,51,2210
Tarkio Branch Library,405 1/2 South 11th Street,Tarkio,64491,Atchison,660-736-5832,"Mon and Fri -  9:00am to 12:00pm (Noon) and 1:00pm to 5:00pm
- Tue - 12:00pm (Noon) to 5:00pm
- Thu - 12:00pm to 5:00pm and 6:00pm to 8:00pm","(40.437729, -95.388695)",11,2,2648
"Harrison County Council On Aging, Inc",1316 South 25th Street,Bethany,64424,Harrison,660-425-3220,Mon-Fri - 8:00am to 3:00pm,"(40.255366, -94.027685)",22,9,1961
Oak Street Health - Truman,16659 East 23rd St. South,Independence,64055,Jackson,816-708-2206,Mon-Fri - 8:00am to 5:00pm,"(39.07542761, -94.38271094)",463,43,525
Hornersville Branch Library,502 School Street,Hornersville,63855,Dunklin,573-737-2728,"Mon, Wed, Fri 1:00pm to 5:00pm","(36.043016, -90.114796)",548,114,1957
"City Seniors, Inc. SLAAA",4705 Ridgewood Avenue,Saint Louis,63116,Saint Louis City,314-352-0141,Mon-Fri - 8:00am to 4:30pm,"(38.584684, -90.272171)",200,54,2223
Glen Carbon Senior Community Center,157 North Main Street,Glen Carbon,62034,Madison,618-288-2664,Mon-Thu - 8:00am to 3:30pm,"(38.763487, -89.969781)",,,1749
Belleville Public Library,121 East Washington Street,Belleville,62220,St Clair,618-234-0441,"Mon-Thu - 9:00am to 8:00pm
Fri and Sat - 9:00am to 5:00pm","(38.5129, -89.981841)",,,1797
Piedmont Public Library,118 West Greent Street,Piedmont,63957,Wayne,573-223-7036,Mon - Fri 9:00am to 5:00pm,"(37.156049, -90.695832)",383,95,2220
Miller County Library Service -Eldon,308 East First Street,Eldon,65026,Miller,573-392-6657,Call for information,"(38.349434, -92.578813)",261,64,2124
Clinton County Senior Action Council And Oats Committee,113 North Main St.,Plattsburg,64477,Clinton,816-539-2211,Mon-Fri - 8:00am to 3:00pm,"(39.565041, -94.447085)",84,27,516
Waynesville Library,306 Historic 66 West,Waynesville,65583,Pulaski,573-774-2965,"Mon - Fri.  9:00 am to 7:00 pm
Sat 9:00am to 1:00pm","(37.826342, -92.209587)",5,75,2171
Oregon County Health Department Thayer,201 Market St,Thayer,65791,Oregon,417-264-3114,Tues and Wed - 8:00am to 4:00pm [Closed 12:00pm (Noon) to 1:00pm for Lunch],"(36.525373, -91.540076)",534,109,534
Midtown Carnegie Branch Library,397 East Central,Springfield,65802,Greene,417-862-0135,Mon-Sat - 8:30am to 6:00pm,"(37.217657, -93.289925)",493,93,1960
Salvation Army Springfield,1707 W Chestnut Expy,Springfield,65802,Greene,417-862-5509,Mon-Fri - 8:30am to 4:30pm. Building hours for other programs may vary,"(37.214536, -93.313583)",493,93,1960
Young Mens Christian Association of Edwardsville,1200 Esic Drive,Edwardsville,62025,Madison,618-656-0436,"Mon-Fri - 5:00am to 8:00pm
Sat - 7:00am to 6:00pm
Sun - 10:00am to 5:00pm","(38.798994, -89.96825)",,,1749
St. Louis Public Library Barr Branch,1701 S Jefferson Ave,Saint Louis,63104,St Louis City,314-771-7040,"Mon – 12:00pm(Noon) to 8:00pm
Tue-Thu – 10:00am to 6:00pm
Fri and Sat – 10:00am to 5:00pm

In addition to in-building service, Curbside Pickup, will continue to be offered","(38.614515, -90.221352)",200,54,2223
St. Louis County Library Indian Trails Branch,8400 Delport Dr,Saint Louis,63114,St Louis City,314-994-3300,"Mon-Thu - 9:00am to 9:00pm
Fri and Sat - 9:00am to 5:00pm","(38.695551, -90.339377)",207,51,2210
Glen Carbon Centennial Library,198 South Main Street,Glen Carbon,62034,Madison,618-288-1212,"Mon-Thu - 9:00am to 8:00pm 
Fri and Sat - 9:00am to 5:00pm
Sun - 1:00pm to 5:00pm","(38.748509, -89.984001)",,,1749
"Gentry County Senior Center, Inc",219 N. High St.,Stanberry,64489,Gentry,660-783-2498,Mon-Fri - 7:30am to 3:00pm,"(40.214429, -94.545142)",474,10,521
"Linn County Council On Aging, Inc",143 Clawson Drive,Brookfield,64628,Linn,660-258-2577,Mon-Fri - 7:00am to 1:00pm,"(39.783574, -93.094905)",64,21,529
"Kansas City, MO Public Library - Ruiz Biblioteca De Las Americas",2017 West Pennway St,Kansas City,64108,Jackson,816-701-3487,Call for information,"(39.08896, -94.594383)",151,43,525
Rock Community Fire Protection District House 3,3540 Lonedell Rd,Arnold,63010,Jefferson,636-282-1725,Mon - Sun 7:00am to 7:00pm,"(38.432922, -90.41974)",255,62,1967
Brookfield Public Library,102 East Boston,Brookfield,64628,Linn,660-258-7439,"Mon - Fri - 10:00am to 6:00pm
- Sat - 9:00am to 1:00pm","(39.785685, -93.073377)",64,21,529
Stoutland Library,132 Starling Avenue,Stoutland,65567,Camden,417-286-3611,Tue-Thu - 9:00am to 5:00pm,"(37.813275, -92.514368)",466,68,2008
Willow Springs Senior Center,501 Senior Center Lane,Willow Springs,65793,Howell,417-469-3892,Mon-Fri - 8:00am to 3:30pm,"(36.993263, -91.960519)",413,104,1965
Ed French Memorial Library,406 East Second Street,Laddonia,63352,Audrain,573-373-2393,"- Mon and Thurs - 9:00 am to 1:00pm
- Tue and Wed - 1:00 pm to 5:00pm
- Fri - Closed
- Sat. 9:00 am to 12:00pm (noon)","(39.241638, -91.644383)",130,37,510
St Charles City County Library District Deer Run Branch,1300 North Main Street,O Fallon,63366,St Charles,636-978-3251,"Mon-Thu - 9:00am to 7:00pm
Fri and Sat - 9:00am to 5:00pm","(38.828121, -90.699365)",173,48,2177
Oates Library,8483 Highway J,Black,63625,Reynolds,573-269-1117,Mon and Wed - 9:00am to 12:00pm (noon) and 12:30pm to 5:00pm,"(37.563641, -91.054196)",359,87,2175
Schweitzer Brentwood Branch Library,2214 Brentwood Boulevard,Springfield,65804,Greene,417-883-1974,Mon-Sat - 8:30am to 6:00pm,"(37.173661, -93.260253)",493,93,1960
"Kansas City, MO Public Library - Plaza Branch",4801 Main St,Kansas City,64112,Jackson,816-701-3481,"M 10am-6pm, T&W 10am-9pm, Th-Sa 10am-6pm","(39.039189, -94.586607)",151,43,525
Macks Creek Library,90 State Road N,Macks Creek,65786,Camden,573-363-5530,Tue-Thu - 9:00am to 5:00pm,"(37.968046, -92.966648)",310,68,2694
Ash Grove Sunshine Center,310 North Perryman,Ash Grove,65604,Greene,417-751-3826,Mon-Fri - 8:30am to 3:00pm,"(37.318899, -93.586016)",385,93,1960
Rolling Hills Library - Savannah Branch,514 W Main St,Savannah,64485,Andrew,816-324-4569,"M-F 9am-7pm, Sa 9am-5pm, Su 12pm-5pm","(39.941383, -94.831391)",54,17,2647
Marionville Branch Library,303 West Washington,Marionville,65705,Lawrence,417-463-2675,"Mon - Fri 9:00am to 5:00pm
Sat 9:00am to 1:00pm","(37.005089, -93.640576)",414,97,528
Stoddard County Public Health Center,1001 State Highway 25,Bloomfield,63825,Stoddard,573-568-4593,Mon-Fri - 8:00am to 4:30pm,"(36.898796, -89.923586)",498,98,2215
St. Louis Public Library Cabanne Branch,1106 North Union Blvd,Saint Louis,63113,St Louis City,314-367-0717,"Mon – 12:00pm(Noon) to 8:00pm
Tue-Thu – 10:00am to 6:00pm
Fri and Sat – 10:00am to 5:00pm

In addition to in-building service, Curbside Pickup, will continue to be offered","(38.657395, -90.272421)",200,54,2223
Festus Public Library,400 W Main St,Festus,63028,Jefferson,636-937-2017,"Mon-Thu - 9:00am to 7:00pm
Fri - 9:00am to 5:00pm
Sat - 9:00am to 2:00pm","(38.219674, -90.394426)",285,62,1967
Jefferson County Library District - Arnold Branch Library,1701 Missouri State Road,Arnold,63010,Jefferson,636-296-2204,"Mon-Thu - 9:00am to 9:00pm
Fri - 9:00am to 6:00pm
Sat - 9:00am to 5:00pm","(38.442249, -90.401765)",255,62,1967
True Light Family Resource Center,712 E 31st St,Kansas City,64109,Jackson,816-561-1700,M-F 9am-4pm,"(39.070814, -94.576079)",151,43,525
Doling Family Center,301 E Talmage St,Springfield,65803,Greene,417-837-5900,Mon-Fri - 5:00am to 9:00 pm; Saturday - 7:00am to 8:00pm; Sunday 10:00am to 6:00pm,"(37.244509, -93.289319)",493,93,1960
St. Louis Public Library Marketplace Branch,6548 Manchester Ave,Saint Louis,63139,St Louis City,314-647-0939,"Mon, Tue, Fri and Say – 11:00am to 5:00pm
Wed and Thu – 1:00pm to 7:00pm","(38.619599, -90.298197)",200,54,2223
Naylor Library,105 Kelsey Street,Naylor,63953,Ripley,573-399-2225,Mon-Thurs 10:00am to 6:00pm,"(36.573724, -90.607586)",529,110,2176
Polk County Library,1690 West Broadway Street,Bolivar,65613,Polk,417-326-4531,"Mon, Tue, Thu - 9:00am to 8:00pm; Wed, Fri, Sat - 9:00am to 5:00pm","(37.611695, -93.429312)",335,80,537
Young Mens Christian Association Meyer Center,7348 Goshen Road,Edwardsville,62025,Madison,618-655-1460,"- Mon-Fri - 5:00am to 8:00pm
- Sat - 7:00am to 6:00pm
- Sun - 10:00am to 5:00pm","(38.780326, -89.923626)",,,1749
Clarence Public Library,100 West Maple Street,Clarence,63437,Shelby,660-699-3310,Mon-Fri - 8:00am to 4:30pm,"(39.743106, -92.261282)",71,23,2214
Crawford County Nursing Service/Health Department,202 W Main St,Steelville,65565,Crawford,573-775-2555,Mon-Thur - 7:00am to 12:00pm(noon) 1:00pm to 6:30pm,"(37.967699, -91.355532)",485,67,1953
St. Louis County Library Rock Road Branch,10267 St Charles Rock Rd,Saint Ann,63074,St Louis,314-994-3300,"Mon-Thu - 9:00am to 9:00pm
Fri and Sat - 9:00am to 5:00pm","(38.726888, -90.379285)",207,51,2210
"Daviess County Multi Purpose Center, Inc",109 Main Street,Gallatin,64640,Daviess,660-663-2828,Mon-Fri - 7:00am to 3:00pm,"(39.914125, -93.961135)",60,18,1955
Macks Creek Senior Center,558 Carnahan,Macks Creek,65786,Camden,573-363-0153,Mon-Fri - 8:00am to 2:00pm,"(37.952106, -92.980791)",310,68,2694
Iron County Health Department,606 W Russell St,Ironton,63650,Iron,888-476-7121,Mon-Fri - 8:00am  to 4:30pm [closed Lunch 12:00 (Noon) to 12:30pm],"(37.596621, -90.634758)",346,82,524
Ozarks Regional YMCA - Pat Jones YMCA,1901 East Republic Road,Springfield,65804,Greene,417-881-1599,"Mon-Fri - 6:00am to 1:00pm and 3:00pm to 8:00pm
Sat - 7:00am to 12:00pm","(37.13926, -93.261505)",493,93,1960
"Lessie Bates Davis Neighborhood House, Inc.",1200 North 13th Street,East Saint Louis,62205,St Clair,618-874-0777,Mon-Fri - 8:30am to 5:00pm,"(38.632507, -90.135371)",,,1797
Webster County Library District Fordland,1230 School Street,Fordland,65652,Webster,417-767-4555,"Tue, Thu - 3:00pm to 8:00pm","(37.161309, -92.953441)",403,91,2221
Rich Hill Memorial Library,514 East Walnut Street,Rich Hill,64779,Bates,417-395-2291,Call for information,"(38.097683, -94.363219)",298,63,2651
Bourbon Library,575 Elm Street,Bourbon,65441,Crawford,573-732-5313,"Mon-Fri 10:00am to 5:00pm
Sat 9:00am t0 2:00pm","(38.154624, -91.245113)",293,67,1953
Rock Hill Public Library,9811 Manchester Road,Saint Louis,63119,St Louis,314-962-4723,"- Mon-Thu - 12:00pm(Noon) to 7:00pm
- Fri - 12:00pm(Noon) to 5:00pm
- Sat - 10:00am to 2:00pm","(38.606891, -90.373987)",228,51,2210
St. Louis County Library Florissant Valley Branch,195 New Florissant Road South,Florissant,63031,St Louis,314-994-3300,"Mon-Thu - 9:00am to 9:00pm
Fri and Sat - 9:00am to 5:00pm
Sun - 1:00pm to 5:00pm","(38.785646, -90.325111)",191,51,2210
Crystal City Public Library,736 Mississippi Avenue,Crystal City,63019,Jefferson,636-937-7166,"- Mon-Thu - 10:00am to 7:00pm
- Fri - 10:00am to 5:00pm
- Sat - 10:00am to 1:00pm","(38.227568, -90.377707)",284,62,1967
Eagle Rock Branch Library,27824 State Hwy 86,Eagle Rock,65641,Barry,417-271-3186,"Mon, Wed, Fri - 8:30am to 12:30pm and 1:30pm to 5:30pm","(36.559819, -93.761194)",509,107,2649
Salem Senior Center,604 Mc Grath,Salem,65560,Dent,573-729-2373,Mon-Fri - 8:00am to 4:00pm,"(37.64742, -91.541055)",347,81,1956
Winfield Foley Fire Protection District,2663 State Hwy 47,Winfield,63389,Lincoln,636-566-8406,Mon - Thu 7:30am to 3:30pm,"(38.98919, -90.817179)",155,41,2118
Bowling Green Public Library,201 West Locust Street,Bowling Green,63334,Pike,573-324-5030,"Mon-Fri - 9:00am to 5:00pm
Sat - 9:00am to 12:00pm (noon)","(39.344527, -91.1955)",104,32,2169
Aurora - Heritage Harmony House,700 Hudson,Aurora,65605,Lawrence,417-678-5383,Mon-Fri - 8:00am to 3:30pm,"(36.968387, -93.708999)",488,97,528
Putnam County Public Library,115 South Sixteenth Street,Unionville,63565,Putnam,660-947-3192,"Mon - 9:00am to 7:00pm
- Tue - Fri 9:00am to 5:00pm
- Sat - 9:00am to 12:00pm (noon)","(40.47647, -93.001732)",15,6,2172
Mexico Audrain County Library,305 West Jackson Street,Mexico,65265,Audrain,573-581-4939,"Mon, Tue, Thu, Fri - 9:00am to 5:30pm
Wed - 9:00am to 8:00pm
Sat - 9:00am to 1:00pm","(39.172326, -91.884966)",127,37,510
Daniel Boone Regional Library,100 W Broadway,Columbia,65203,Boone,573-443-3161,"Mon-Thu - 9:00am to 9:00pm
- Fri - 9:00am to 6:00pm
- Sat - 9:00am to 5:00pm
- Sun - 1:00pm to 5:00pm","(38.951181, -92.3399)",464,40,2691
Worth County Senior Center,22 West 4th Street,Grant City,64456,Worth,660-564-2202,Mon-Fri - 9:00am to 4:00pm,"(40.485329, -94.415442)",16,7,2222
Breese Public Library,530 North Third Street,Breese,62230,Clinton,618-526-7361,"- Mon-Thu - 10:00am to 8:00pm
- Fri - 10:00am to 6:00pm
- Sat - 8:00am to 1:00pm","(38.609656, -89.528304)",,,1826
Knox County Council on Aging,109 North Main,Edina,63537,Knox,660-397-2296,Mon-Fri - 7:00am to 3:30pm,"(40.167739, -92.172869)",34,13,527
Parma Branch Library,205 North Broad Street,Parma,63870,New Madrid,573-379-3583,Tues and Fri 1:00pm - 5:00pm,"(36.61164, -89.817161)",448,108,2128
Licking Bridge Builders,116 Green Street,Licking,65542,Texas,573-674-3558,Mon-Fri - 8:00am to 3:30pm,"(37.49812, -91.855425)",482,88,544
"Salvation Army - Excelsior Springs, MO - Emergency Assistance",108 W Broadway,Excelsior Springs,64024,Clay,816-630-4155,M-W 10am-5pm,"(39.342496, -94.22346)",123,36,2701
Salvation Army - Westport - Emergency Assistance,500 W 39th St,Kansas City,64111,Jackson,816-753-6040,"M-Th 8am-12pm & 1pm-4pm; F 8am-4pm (not open to the public F, calls only)","(39.056914, -94.591781)",151,43,525
Webb City Senior Center,210 North Pennsylvania,Webb City,64870,Jasper,417-673-1876,"7:30 am to 2:30 pm, M-F
Lunch served at 11:30","(37.147759, -94.466576)",395,94,1966
Scotland County Memorial Library,306 West Madison Street,Memphis,63555,Scotland,660-465-7042,"Mon, Wed and Fri - 9:00am to 5:30pm
Tue and Thu - 9:00am to 7:00pm
Sat - 9:00am to 1:00pm","(40.459019, -92.173629)",10,3,2212
Advance Community Library,19805 State Highway C,Advance,63730,Stoddard,573-722-5533,Mon-Fri 1:00pm-5:00pm,"(37.104799, -89.908184)",405,98,2215
Forsyth Senior Friendship Center,13879 Highway 160 North,Forsyth,65653,Taney,417-546-6100,Mon-Fri - 8:00am to 3:30pm,"(36.717677, -93.125138)",517,111,2217
Union City Hall,500 East Locust St,Union,63084,Franklin,636-583-3600,Mon-Fri - 8:00am to 4:30pm,"(38.444636, -91.005152)",254,59,1958
Chaffee Library,202 Wright Avenue,Chaffee,63740,Scott,573-887-3298,"Mon-Fri - 10:00am to 6:00pm (closed for lunch 12:30pm to 1:30pm)
Sat - 10:00am to 1:00pm","(37.181629, -89.657146)",496,96,2213
Republic Branch Library,921 North Lindsey,Republic,65738,Greene,417-732-7284,Mon-Sat - 8:30am to 6:00pm,"(37.130336, -93.467753)",492,93,1960
Shelbina Carnegie Public Library,102 North Center Street,Shelbina,63468,Shelby,573-588-2271,"Mon, Wed, Fri - 9:00am to 4:00pm
- Tue - 9:00am to 5:30pm","(39.693198, -92.040598)",71,23,2214
Brunswick Senior Center,801 East Broadway,Brunswick,65236,Chariton,660-548-3010,Mon-Fri - 8:00am to 3:00pm,"(39.422604, -93.121836)",107,28,2699
Collinsville Public Library,408 West Main,Collinsville,62234,Madison,618-344-1112,"- Mon-Thu - 9:00am to 8:00pm 
- Fri and Sat - 9:00am to 5:00pm 
- Sun - 1:00pm to 5:00pm","(38.66839, -89.990369)",,,1749
Watered Gardens Gospel Rescue Mission,531 South Kentucky Avenue,Joplin,64801,Jasper,417-623-6030,"Mon, Tue, Thu, Fri - 9:00am to 2:00pm","(37.085623, -94.510014)",490,94,1966
Rolla Nutrition Site,1440 Forum Drive,Rolla,65401,Phelps,573-341-2929,Mon-Fri - 8:00am to 4:00pm,"(37.954666, -91.751924)",307,70,536
St. Charles City County Library District Cliff View Branch,10 Cliff View Drive,Wentzville,63385,Saint Charles,636-244-3962,"Mon-Thu - 9:00am to 7:00pm
Fri and Sat - 9:00am to 5:00pm","(38.804409, -90.856856)",184,48,2177
Odessa Senior Center,217 S. Second,Odessa,64076,Lafayettte,816-633-4161,Mon-Fri 7:00am to 2:00pm,"(38.998466, -93.953995)",161,42,2116
Chouteau Township Hall,906 Thorngate Drive,Granite City,62040,Madison,618-931-0360,Mon-Fri - 9:00am to 12:00pm (noon) and 1:00pm to 4:00pm,"(38.762885, -90.097295)",,,1749
Tarkio Nutrition Center,412 Main Street,Tarkio,64491,Atchison,660-736-5725,Mon-Fri - 6:00am to 3:00pm,"(40.440748, -95.380148)",11,2,2648
Camden County Library District,89 Rodeo Road,Camdenton,65020,Camden,573-346-5954,"Mon - 9:00am to 8:00pm
Tue-Fri - 9:00am to 6:00pm
Sat - 9:00am to 5:00pm","(38.002721, -92.739356)",292,68,2694
St. Louis County Library Jamestown Bluffs Branch,4153 N Hwy 67,Florissant,63034,St Louis,314-994-3300,"Mon-Thu - 9:00am to 9:00pm
Fri and Sat - 9:00am to 5:00pm","(38.817329, -90.278588)",181,51,2210
"St. Charles, Lincoln and Warren Counties - Homeless Services Coordinated Entry",427 Spencer Road,Saint Peters,63376,Saint Charles,636-856-5151,Mon-Fri - 9:00am to 4:30pm,"(38.784359, -90.601237)",173,48,2177
Butler Senior Center,611 West Mill Road,Butler,64730,Bates,660-679-5830,Mon-Fri - 9:00am to 3:00pm,"(38.263765, -94.34213)",272,63,2651
Schuyler County Library,108 East Jackson Street,Lancaster,63548,Schuyler,660-457-3731,"Mon, Tue, Thu and Fri - 8:30am to 4:30pm
Wed and Sat - 8:30am to 12:00pm (noon)","(40.523067, -92.52564)",13,4,541
City of Warrensburg - Warrensburg Community Center,445 E Gay St,Warrensburg,64093,Johnson,660-747-7178,"M-F 5:30am-8:30pm, Sa 8am-8pm, Su 12pm-6pm","(38.765329, -93.727078)",185,49,526
Eldon Senior Center,926 E. North Street,Eldon,65026,Miller,573-392-6102,Mon-Fri - 8:00am to 4:00pm,"(38.34972, -92.567146)",261,64,2124
KCMO Parks and Recreation - Tony Aguirre Community Center,2050 W Pennway,Kansas City,64108,Jackson,816-513-8530,M-F 6:30am-9pm; Sa 8am-5pm; Su 9am-6pm,"(39.088217, -94.595352)",151,43,525
Belleville Public Library West Branch,3414 West Main Street,Belleville,62226,St Clair,618-233-4366,Mon-Sat - 9:00am to 5:00pm (By Appointment Only),"(38.531821, -90.014809)",,,1797
Adair County Public Library,One Library Lane,Kirksville,63501,Adair,660-665-6038,"Cooling Center Beginning June 1, 2022
- Mon - 9:00am to 6:00pm
- Tues, Wed - 9:00am to 7:00pm
- Thu, Fri - 9:00am to 6:00pm
- Sat - 10:00am to 4:00pm","(40.200989, -92.572979)",32,12,509
ARC Columbia,1701 West Ash Street,Columbia,65203,Boone,573-874-7700,"Mon–Fri - 5:30am to 9:30pm
- Sat - 7:00am to 7:00pm
- Sun - 9:00am to 6:00pm
- Holiday hours vary","(38.957023, -92.364266)",464,40,2691
Tri Township Public Library,209 South Main Street,Troy,62294,Madison,618-667-2133,"Mon-Thu - 9:00am to 8:00pm
Fri - 9:00am to 5:00pm
Sat - 9:00am to 4:00pm","(38.727412, -89.883901)",,,1749
Scotland County Senior Center,301 West Monroe,Memphis,63555,Scotland,660-465-7011,Mon-Fri - 6:30am to 2:00pm,"(40.457585, -92.173731)",10,3,2212
Oak Street Health-Tower Grove,3863 A Gravois Ave,Saint Louis,63116,St Louis City,314-930-2399,Mon-Fri - 8:00am to 5:00pm,"(38.59316652, -90.25086649)",200,54,2223
