License Number,Licensee Name,DBA Name,License Type,Current Status,Effective Date,Fee Date,Fee Type,Expiration Date,Business Phone,Manager Phone,First Name,Last Name,District,SubDistrict,County,Street Number,Street,City,State,Zip Code,Mailing Address 1,Mailing Address 2,Mailing Address 3,Mailing Address 4,Legal 1,Legal 2,Legal 3,Legal 4,Legal 5,Legal 6,Legal 7,Legal 8,latlng,Missouri Counties,School Districts,Counties
252622,HOST D&D STL 3KG FB LLC,BISCUITS BEER AND BBQ,RBD,ACT,08/12/2022,,LEGA,06/30/2023,2406944634,3143084107,DARRYL,JONES,3,00,ST. LOUIS CO.,10701,LAMBERT INTERNATIONL BLVD.,ST. LOUIS,MO,63145,HOST D&D STL 3KG FB LL,BISCUITS BEER AND BBQ,6905 ROCKLEDGE DRIVE MS 7-1,BETHESDA MD 20817,"TERMINAL 2, CONCOURSE E, NEAR GATE 33, APPROXIMATELY 1,959 SQUARE","FEET, WITH 55' 6 3/4 FT. LONG BY 5' 8' FT. WIDE PATIO (THREE KINGS)","AND TERMINAL 2, CONCOURSE E, NEAR GATE 33, APPROXIMATELY 580 SQUARE","FEET (CASA DE TRES REYES), 10701 LAMBERT INTERNATIONAL BLVD.,","ST. LOUIS, MO",,,,"(38.7419782, -90.3649791)",51,191,2210
273096,JESSI CORP,EL JARCHITO,RBD,ACT,08/17/2022,,LEGA,06/30/2023,3146069437,3146069437,NICOLE,RAMIREZ,4,00,ST. FRANCOIS,1,SW MAIN ST,BONNE TERRE,MO,636281741,,,,,"ALL OF THE BUILDING WITH ATTACHED PATIO, #1 SOUTHWEST MAIN STREET,","BONNE TERRE, MO",,,,,,,,,,
286160,SISTER TAYLOR LLC,CHEVAL,SBD,ACT,08/24/2022,,LEGA,06/30/2023,9132311509,8162236753,RICHARD,BRYANT,1,00,JACKSON,3940,MAIN ST,KANSAS CITY,MO,64111,SISTER TAYLOR LLC,CHEVAL,1111 MAIN ST #750,KANSAS CITY MO 64105,,,,,,,,,,,,
166557,RG OF BLUE SPRINGS INC.,LINQ FOOD MART II,SOP,ACT,08/22/2022,,LIC,06/30/2023,8167969383,8169419412,ROBERT,MCATEE,1,00,JACKSON,18700,E. 24 HWY,INDEPENDENCE,MO,640583200,,,,,,,,,,,,,"(39.12834, -94.35680200000002)",43,142,525
250499,FETZER VINEYARDS,VIÑA CONCHA Y TORO USA,LS,ACT,08/09/2022,,LIC,06/30/2023,7077447489,7077447489,CHUN LUNG,CHEN,7,00,OUT OF STATE,12625,OLD RIVER RD,HOPLAND,CA,954499813,FETZER VINEYARDS,FETZER VINEYARDS,PO BOX 611,HOPLAND CA 95449-0611,"LOCATION: 12625 OLD RIVER ROAD, HOPLAND, CA 95449-9813",,,,,,,,,,,
285089,LABOR COUNCIL FOR LATIN AMERICAN ADVANCE,(FRANCISCO J. MARTINEZ),RBDP,OB,08/15/2022,08/09/2022,LIC,08/21/2022,6362784623,6362784623,FRANCISCO,MARTINEZ,3,00,ST. CHARLES,11,BUTLER RIDGE CT,ST PETERS,MO,63376,LABOR COUNCIL FOR LATIN AMERICAN ADVANCE,(FRANCISCO J. MARTINEZ),11 BUTLER RIDGE CT,"ST PETERS, MO 63376","ALL OF THE TEMPORARY STAND AT 500 BLOCK OF SOUTH RIVERSIDE DRIVE,","ST. CHARLES, MO",,,,,,,,,,
250499,FETZER VINEYARDS,VIÑA CONCHA Y TORO USA,LS,ACT,08/09/2022,,LIC,06/30/2023,7077447489,7077447489,CHUN LUNG,CHEN,7,00,OUT OF STATE,12625,OLD RIVER RD,HOPLAND,CA,954499813,FETZER VINEYARDS,FETZER VINEYARDS,PO BOX 611,HOPLAND CA 95449-0611,"LOCATION: 12625 OLD RIVER ROAD, HOPLAND, CA 95449-9813",,,,,,,,,,,
259524,R & C CONCEPTS LLC,BARRIO TAQUERIA,SBD,ACT,08/11/2022,,LIC,06/30/2023,8169318080,8169145175,CHRISTOPHER,RIDLER,1,00,JACKSON,408,E. 31ST ST.,KANSAS CITY,MO,641083105,R & C CONCEPTS LLC,BARRIO TAQUERIA,"1111 MAIN STREET, #750",KANSAS CITY  MO  64105,,,,,,,,,"(39.0710438, -94.5795162)",43,151,525
166556,RG OF BLUE SPRINGS INC.,LINQ FOOD MART II,OPL,ACT,08/22/2022,,LIC,06/30/2023,8167969383,8169419412,ROBERT,MCATEE,1,00,JACKSON,18700,E. 24 HWY,INDEPENDENCE,MO,640583200,,,,,"ALL OF A ONE STORY BLDG., 8700 E. 24 HWY, INDEPENDENCE, MO.",,,,,,,,"(39.12834, -94.35680200000002)",43,142,525
285089,LABOR COUNCIL FOR LATIN AMERICAN ADVANCE,(FRANCISCO J. MARTINEZ),RBDP,OB,08/15/2022,08/10/2022,LIC,08/21/2022,6362784623,6362784623,FRANCISCO,MARTINEZ,3,00,ST. CHARLES,11,BUTLER RIDGE CT,ST PETERS,MO,63376,LABOR COUNCIL FOR LATIN AMERICAN ADVANCE,(FRANCISCO J. MARTINEZ),11 BUTLER RIDGE CT,"ST PETERS, MO 63376","ALL OF THE TEMPORARY STAND AT 500 BLOCK OF SOUTH RIVERSIDE DRIVE,","ST. CHARLES, MO",,,,,,,,,,
276639,MUNDOS LATIN RESTAURANT LLC,MUNDOS LATIN CUISINE & BAR,SBD,ACT,08/22/2022,,LIC,06/30/2023,4172596766,4172596766,VICTOR,BRICENO,5,00,CHRISTIAN,5493,N 17TH ST.,OZARK,MO,657217663,,,,,,,,,,,,,,,,
250499,FETZER VINEYARDS,VIÑA CONCHA Y TORO USA,LS,ACT,08/09/2022,,LIC,06/30/2023,7077447489,7077447489,CHUN LUNG,CHEN,7,00,OUT OF STATE,12625,OLD RIVER RD,HOPLAND,CA,954499813,FETZER VINEYARDS,FETZER VINEYARDS,PO BOX 611,HOPLAND CA 95449-0611,"LOCATION: 12625 OLD RIVER ROAD, HOPLAND, CA 95449-9813",,,,,,,,,,,
269919,"JEWELL, RONALD M.",4 CORNERS GENERAL STORE,SBD,ACT,08/15/2022,,LIC,06/30/2023,4172576932,,,,5,00,HOWELL,9496,STATE ROUTE AD,POTTERSVILLE,MO,65790,,,,,,,,,,,,,,,,
280619,ARIZONA FINE WINE AND SPIRITS LLC,TOTAL WINE & MORE,OPL,ACT,08/10/2022,,LIC,06/30/2023,3017951000,3147073962,MATTHEW,JACOBER,3,00,ST. CHARLES,2257,STATE HWY K,OFALLON,MO,63368,ARIZONA FINE WINE AND SPIRITS LLC,TOTAL WINE & MORE,"7701 FORSYTH BLVD, STE 500","ST. LOUIS, MO 63105","ALL OF A BUILDING AT 2257 STATE HIGHWAY K, O'FALLON, MO.",,,,,,,,,,,
286059,"GOAT GRUB & PUB LLC, THE","GOAT GRUB & PUB, THE",RBDC,ACT,09/16/2022,,LIC,09/18/2022,3038296290,3038296290,MICHAEL,SIPES,1,00,HOLT,137,W. NODAWAY ST.,OREGON,MO,64473,"GOAT GRUB & PUB LLC, THE","GOAT GRUB & PUB, THE",500 E. LINDEN STREET,OREGON MO 64473,"ALL OF A TEMPORARY CONCESSION STAND AT 137/139 WEST NODAWAY STREET,","OREGON, MO",,,,,,,,,,
273028,MUNDOS LATIN RESTAURANT LLC,MUNDOS LATIN CUISINE & BAR,RBD,ACT,08/22/2022,,LIC,06/30/2023,4172596766,4172596766,VICTOR,BRICENO,5,00,CHRISTIAN,5493,N 17TH ST.,OZARK,MO,657217663,,,,,"ALL OF A SUITE ADDRESSED AS 5493 NORTH 17TH STREET IN OZARK, MISSOURI.",,,,,,,,,,,
280620,ARIZONA FINE WINE AND SPIRITS LLC,TOTAL WINE & MORE,SOP,ACT,08/10/2022,,LIC,06/30/2023,3017951000,3147073962,MATTHEW,JACOBER,3,00,ST. CHARLES,2257,STATE HWY K,OFALLON,MO,63368,ARIZONA FINE WINE AND SPIRITS LLC,TOTAL WINE & MORE,"7701 FORSYTH BLVD, STE 500","ST. LOUIS, MO 63105",,,,,,,,,,,,
179042,R & C CONCEPTS LLC,BARRIO TAQUERIA,EXTH,ACT,08/11/2022,,LIC,06/30/2023,8169318080,8169145175,CHRISTOPHER,RIDLER,1,00,JACKSON,408,E. 31ST ST.,KANSAS CITY,MO,641083105,R & C CONCEPTS LLC,BARRIO TAQUERIA,"1111 MAIN STREET, #750",KANSAS CITY  MO  64105,,,,,,,,,"(39.0710438, -94.5795162)",43,151,525
157217,R & C CONCEPTS LLC,BARRIO TAQUERIA,RBD,ACT,08/11/2022,,LIC,06/30/2023,8169318080,8169145175,CHRISTOPHER,RIDLER,1,00,JACKSON,408,E. 31ST ST.,KANSAS CITY,MO,641083105,R & C CONCEPTS LLC,BARRIO TAQUERIA,"1111 MAIN STREET, #750",KANSAS CITY  MO  64105,"ALL OF A ONE STORY BLDG. & OUTSIDE PATIO, 408 E. 31ST ST.,","KANSAS CITY, MO.",,,,,,,"(39.0710438, -94.5795162)",43,151,525
280625,ARIZONA FINE WINE AND SPIRITS LLC,TOTAL WINE & MORE,OPT,ACT,08/10/2022,,LIC,06/30/2023,3017951000,3147073962,MATTHEW,JACOBER,3,00,ST. CHARLES,2257,STATE HWY K,OFALLON,MO,63368,ARIZONA FINE WINE AND SPIRITS LLC,TOTAL WINE & MORE,"7701 FORSYTH BLVD, STE 500","ST. LOUIS, MO 63105",,,,,,,,,,,,
263660,"NEAL LODGING, LLC",SPRINGHILL SUITES-KANSAS CITY,SBD,ACT,08/17/2022,,LOST,06/30/2023,8162854900,3179106193,AMANDA,LAUGHLIN,1,00,JACKSON,4500,MADISON AVE.,KANSAS CITY,MO,64111,,,,,,,,,,,,,,,,
248236,LIBERTY COMMONS LODGING ASSOCIATES LLC,LIBERTY COMMONS LODGING ASSOCIATES LLC,RBD,ACT,08/08/2022,,LOST,06/30/2023,5736357166,3148030680,BRETT,NIEMAN,1,00,CLAY,130,SOUTH STEWART ROAD,LIBERTY,MO,64068,,,,,"ALL OF A MULTI-STORY BUILDING, 130 SOUTH STEWART ROAD, LIBERTY, MO.",,,,,,,,"(39.2438469, -94.4541055)",36,3,2701
269165,STICKMAN ENTERTAINMENT COMPANY LLC,TIPSY PONY PARTY BAR,RBD,ACT,08/12/2022,,LOST,06/30/2023,3143221812,3143221812,ROBERT,CASSELL,3,00,ST. LOUIS CO.,17481,N OUTER 40 RD.,CHESTERFIELD,MO,63005,STICKMAN ENTERTAINMENT COMPANY LLC,TIPSY PONY PARTY BAR,7547 SHAFTESBURY,ST LOUIS MO 63130,"ALL OF A UNIT (#3054) LOCATED WITHIN 1748 N OUTER 40 RD., CHESTERFIELD",MO.,,,,,,,,,,
36815,KNIGHTS OF COLUMBUS,DUCHESNE COUNCIL 2951,RBD,ACT,08/23/2022,,LOST,06/30/2023,3148376645,3142202246,SCOTT,MUSGRAVE,3,00,ST. LOUIS CO.,25,WASHINGTON STREET,FLORISSANT,MO,630315127,KNIGHTS OF COLUMBUS,DUCHESNE COUNCIL 2951,50 RUE ST FRANCOIS,FLORISSANT  MO 63031-5127,"BASEMENT AND GROUND FLOOR OF A ONE STORY FRAME BUILDING, AND ADJACENT","GROUNDS, MEASURING 250X250X300X175 FEET, #25 WASHINGTON STREET,","FLORISSANT, MO.",,,,,,"(38.796653, -90.333726)",51,191,2210
231479,ST LUKES HOSPITAL OF KANSAS CITY,ST LUKES HOSPITAL OF KANSAS CITY,RBDE,ACT,08/19/2022,,LOST,06/30/2023,8169322265,3144222931,MICHAEL,DARLING,1,00,JACKSON,4401,WORNALL ROAD,KANSAS CITY,MO,641113241,,,,,"ALL OF A BUILDING, ATTACHED PATIO AND COURTYARD, 4401 WORNALL ROAD,","KANSAS CITY, MO.",,,,,,,"(39.0475223, -94.5907952)",43,151,525
263659,"NEAL LODGING, LLC",SPRINGHILL SUITES-KANSAS CITY,RBD,ACT,08/17/2022,,LOST,06/30/2023,8162854900,3179106193,AMANDA,LAUGHLIN,1,00,JACKSON,4500,MADISON AVE.,KANSAS CITY,MO,64111,,,,,ALL OF THE BUILDING INCLUDING AN APPROXIMATELY 1000 SQUARE FOOT,"PATIO, 4500 MADISON AVENUE, KANSAS CITY, MO.",,,,,,,,,,
36816,KNIGHTS OF COLUMBUS,DUCHESNE COUNCIL 2951,SBD,ACT,08/23/2022,,LOST,06/30/2023,3148376645,3142202246,SCOTT,MUSGRAVE,3,00,ST. LOUIS CO.,25,WASHINGTON STREET,FLORISSANT,MO,630315127,KNIGHTS OF COLUMBUS,DUCHESNE COUNCIL 2951,50 RUE ST FRANCOIS,FLORISSANT  MO 63031-5127,,,,,,,,,"(38.796653, -90.333726)",51,191,2210
258402,SAMUEL BERTON DISTILLING LLC,SAMUEL BERTON DISTILLING,LWS,ACT,08/19/2022,,LOST,06/30/2023,6366387564,6366387564,STEVEN,CARTER,2,00,FRANKLIN,108,"FRONT ST., STE. 102",LABADIE,MO,630551223,SAMUEL BERTON DISTILLING LLC,SAMUEL BERTON DISTILLING,PO BOX 115,LABADIE MO 63055,"ALL OF A BUILDING SPACE ADDRESSED 108 FRONT ST., STE. 102, LABADIE, MO",,,,,,,,,,,
