"business_name","business_address","city","county","state","zipcode","primary_phone_number","additional_phone_numbers","website","permanent_housing","transitional_housing","emergency_shelter","persons_with_hiv_aids","serious_mental_illness","substance_use_disorder","developmental_disabilities","veterans_oth_discharge_or_higher","veteran_general_discharge_or_higher","gender_specific_program","family_unit","rental_assistance_subsidy","meets_hud_s_definition_of_homeless","sex_offender","prior_meth_sales_at_housing_program","felony_conviction","latitude_longitude"
"Criminal Justice Ministry","941 Park Avenue","St. Louis","St. Louis (county),St. Louis City (county)","MO","63104","341-652-8062","314-881-6031- Ex-Offender Transitional Housing
314-881-6013- Veteran Transitional Housing
","http://cjmstlouis.org/","Yes","Yes","No","No","No","No","No","Yes","Yes","Male only","No","Yes","Yes","No","No","No","(38.6140306, -90.2009689)"
"Community Missions--Juda House","700 Olive","St. Joseph","Buchanan","MO","64501","816-390-8884",,"http://communitymissionscorp.org/","Yes","No","No","No","Yes","Yes","Yes","No","No","Male only","No","No","Yes","Yes","No","No","(39.758465, -94.852033)"
"CORE-Women","602 South 6th Street","Branson","Stone","MO","65616","417-559-2861",,,"No","Yes","No","No","No","Yes","No","No","No","Female only","No","No","No","Yes","No","No","(36.640732, -93.2226)"
"Community Linc-Supportive &amp; Transitional Housing Program","4012 Troost Avenue","Kansas City","Jackson","MO","64110","816-531-3727",,,"No","Yes","No","No","No","No","No","No","No","not gender specific","Yes","Yes","No","Yes","No","No","(39.0537821, -94.5725753)"
"Reality House","1900 East Prathersville Road","Columbia","Boone","MO","65202","573-864-0008",,"http://www.realityhouse.org","No","Yes","No","No","No","Yes","Yes","No","No","not gender specific","No","No","No","Yes","No","No","(39.0149224, -92.3084301)"
"Oxford House Proctor","314 Proctor Drice","Columbia","Boone","MO","65202","573-874-9610",,"http://oxfordhouse.org/userfiles/file/","No","Yes","No","No","No","Yes","No","No","No","Male only","No","No","No","Yes","No","No","(38.974705, -92.342834)"
"Oxford House Chippew","6408 Chippewa","St. Louis","St. Louis (county),St. Louis City (county)","MO","63109","314-353-2771",,"http://oxfordhouse.org/userfiles/file/","No","Yes","No","No","No","Yes","No","No","No","Male only","No","No","No","Yes","No","No","(38.5935289, -90.298252)"
"Oxford House Northeast","1229 Benton Boulevard","Kansas City","Jackson","MO","64127","816-886-9644",,"http://oxfordhouse.org/userfiles/file/","No","Yes","No","No","No","Yes","No","No","No","Male only","No","No","No","Yes","No","No","(39.097561, -94.544177)"
"Oxford House Felix","1419 Felix","St. Joseph","Buchanan","MO","64501","816-232-4773",,"http://oxfordhouse.org/userfiles/file/","No","Yes","No","No","No","Yes","No","No","No","Male only","No","No","No","Yes","No","No","(39.7668242, -94.8427191)"
"Oxford House Bicknell","104 Bicknell Street","Columbia","Boone","MO","65203","573-442-7084",,"http://oxfordhouse.org/userfiles/file/","No","Yes","No","No","No","Yes","No","No","No","Male only","No","No","No","Yes","No","No","(38.953708, -92.345382)"
"Oxford House Winfield","60 Franke Drive","Winfield","Lincoln","MO","63389","636-566-6258",,"http://oxfordhouse.org/userfiles/file/","No","Yes","No","No","No","Yes","No","No","No","Male only","No","No","No","Yes","No","No","(38.9762303, -90.7535807)"
"The Salvation Army","927 Jefferson Street","Jefferson City","Cole","MO","65101","573-635-1975",,"http://www.tsacentralmissouri.org","Yes","No","Yes","No","No","No","No","No","No","not gender specific","Yes","No","No","No","Yes","Yes","(38.569648, -92.179841)"
"Salvation Army Harbor House","636 Boonville Road","Springfield","Greene","MO","65906","417-831-3371",,"http://www.salvationarmyspringfield.org/what-we-do/harbor-house/","No","Yes","Yes","No","No","Yes","No","No","No","Male only","No","No","No","Yes","No","No","(37.2145487, -93.2918749)"
"City Union Mission","1100 East 11th Street","Kansas City","Cass,Clay,Jackson","MO","64106","816-474-9380",,"https://cityunionmission.org/","No","Yes","Yes","No","No","Yes","No","No","No","not gender specific","Yes","No","No","No","Yes","No","(39.101103, -94.5694289)"
"Grace Living Center","120 State","Clarksburg","Moniteau","MO","65025","660-466-0079",,,"No","Yes","No","No","No","Yes","Yes","No","No","Female only","No","No","No","Yes","No","No","(38.6605475, -92.666171)"
"Owford House Lusher","11876 Lusher Road","St. Louis","St. Louis (county),St. Louis City (county)","MO","63138","314-741-7536",,"http://oxfordhouse.org/userfiles/file/","No","Yes","No","No","No","Yes","No","No","No","Male only","No","No","No","Yes","No","No","(38.788886, -90.232283)"
"Oxford House Willowbrook","2501 Willowbrook Court","Columbia","Boone","MO","65203","573-514-7241",,"http://oxfordhouse.org/userfiles/file/","No","Yes","No","No","No","Yes","No","No","No","Male only","No","No","No","Yes","No","No","(38.9763458, -92.2951983)"
"Hope Haven of Cass County","PO Box 754","Harrisonville","Bates,Cass,Henry,Jackson,Johnson,Lafayette","MO","64701","816-380-4663",,"http://hopehavenofcasscounty.org/","No","Yes","Yes","No","No","Yes","Yes","No","No","not gender specific","Yes","No","No","Yes","No","No","(38.6533445, -94.3488372)"
"CORE - Men","602 South 6th Street","Branson","Stone","MO","65616","417-230-1501",,,"No","Yes","No","No","No","Yes","No","No","No","Male only","No","No","No","Yes","No","No","(36.640732, -93.2226)"
"Karen Catholic Worker House","1840 Hogan Street","St. Louis","St. Louis (county),St. Louis City (county)","MO","63106","314-621-4052",,"http://newsite.karenhousecw.org/","No","Yes","Yes","No","No","No","No","No","No","Female only","Yes","No","Yes","Yes","No","No","(38.646569, -90.199766)"
"Carthage Crisis Center ","100 S Main St","Carthage","Jasper","MO","64836","417-358-3533",,"http://www.carthagecrisiscenter.org/","No","Yes","Yes","No","No","Yes","No","No","No","not gender specific","Yes","No","No","Yes","No","No","(37.178123, -94.310458)"
"Oxford House Allendale","3127 Meramac Street","St. Louis","St. Louis (county),St. Louis City (county)","MO","63118","314-353-5823",,"http://oxfordhouse.org/userfiles/file/","No","Yes","No","No","No","Yes","No","No","No","Male only","No","No","No","Yes","No","No","(38.580526, -90.238774)"
"Recycling Grace","601 Apple Street","Poplar Bluff","Butler","MO","63902","573-778-1603",,,"No","Yes","No","No","No","Yes","No","No","No","Female only","No","No","No","Yes","No","No","(36.7682612, -90.3960102)"
"Anchor House","8306 Wilson Road","Kansas City","Jackson","MO","64125","816-651-7505",,,"No","Yes","No","No","No","Yes","No","No","No","Male only","No","No","No","Yes","No","No","(39.109748, -94.485028)"
"United Gospel Rescue Mission","400 South Broadway","Poplar Bluff","Butler","MO","63901","573-785-4683",,,"No","Yes","Yes","No","No","No","No","No","No","not gender specific","Yes","No","No","Yes","No","No","(36.7542161, -90.3944257)"
"Loaves and Fishes For St. Louis, Inc.","2750 McKelvey Rd.","Maryland Heights","St. Louis (county),St. Louis City (county)","MO","63043","314-291-3857",,"http://loavesandfishes-stl.org/","No","No","Yes","No","Yes","Yes","Yes","No","No","not gender specific","Yes","No","Yes","No","No","No","(38.733272, -90.4456919)"
"Rainbow House; Children&#039;s Emergency Shelter","1611 Towne Drive","Columbia","Boone","MO","65203","573-474-6600",,"http://www.rainbowhousecolumbia.org/","No","No","Yes","No","Yes","No","Yes","No","No","not gender specific","No","No","No","Yes","Yes","No","(38.969329, -92.3046746)"
"Catholic Charities of Kansas City-St. Joseph, Inc.","850 Main","Kansas City","Buchanan","MO","64105","816-232-2885",,"http://www.catholiccharities-kcsj.org/","Yes","No","No","No","Yes","Yes","Yes","No","No","not gender specific","Yes","Yes","Yes","No","No","No","(39.103902, -94.583543)"
"St. Vincent Home for Children","7401 Florissant Road","St. Louis","St. Louis (county),St. Louis City (county)","MO","63121","314-261-6011",,"http://www.saintvincenthome.org/","No","No","Yes","No","No","No","Yes","No","No","not gender specific","No","No","No","Yes","Yes","Yes","(38.7053395, -90.2960114)"
"Angels of Mercy Recovery House, Inc.","2546 Park Ave.","Kansas City","Jackson","MO","64128","816-437-7349",,"http://www.angelsofmercyrh.org/","No","Yes","No","No","No","Yes","No","No","No","Female only","No","No","No","Yes","No","No","(39.0791666, -94.556187)"
"Green Hills Women&#039;s Shelter Trenton Location","PO Box 235","Trenton","Caldwell,Clinton,Daviess,DeKalb,Grundy,Harrison,Linn,Livingston,Mercer,Putnam,Sullivan","MO","64683","800-942-0649","660-359-3297
816-632-4900","http://greenhillswomensshelter.net/blog/about-our-shelter/","No","Yes","Yes","No","No","Yes","Yes","No","No","Female only","Yes","Yes","No","Yes","No","No","(40.0789018, -93.6166074)"
"ASCENT Recovery Residences","2606 E. 8th St.","Joplin","Jasper","MO","64801","417-529-9368",,"http://ascentrecovery.org/","No","Yes","No","No","No","Yes","No","No","No","Male only","No","No","No","Yes","Yes","No","(37.081652, -94.485935)"
"St. Francis Community Center","412 Jungerman Road","St. Peter&#039;s","Lincoln,St. Charles,Warren","MO","63376","636-498-2273",,"https://www.ccstl.org/organizations/st-francis-community-services/","No","Yes","Yes","No","No","No","No","No","No","not gender specific","Yes","Yes","No","No","No","No","(38.7813655, -90.5775146)"
"TReSAP","PO BOX 332","Boonville","Cooper","MO","65233","314-329-8586",,,"No","Yes","No","No","No","Yes","Yes","Yes","Yes","Female only","No","No","No","Yes","No","No",
"Souls Harbor","915 South Main","Joplin","Barton,Dade,Jasper,Lawrence,Newton","MO","64801","417-623-7927",,,"No","Yes","Yes","No","No","No","No","No","No","not gender specific","Yes","No","No","Yes","No","No","(37.0809995, -94.5132914)"
"The Community Veteran, disability and Reentry Housing Services","4166 lindell","Saint Louis","St. Louis City (county)","MO","63108","314-580-3029",,"http://www.btmb.website/","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Yes","not gender specific","No","No","No","No","No","No","(38.6400072, -90.2482481)"
"The Amen Center","3600 State Highway N","Advance","Bollinger,Cape Girardeau,Perry,Scott,Stoddard","MO","63730","573-794-2900",,"http://www.amencenter.org/","No","Yes","Yes","No","No","No","No","No","No","not gender specific","Yes","No","No","Yes","No","No","(37.2076516, -89.7864763)"
"Stepping into the Light","1402 Hebert","St. Louis","St. Louis (county),St. Louis City (county)","MO","63103","314-231-5175",,"http://www.sitlm.org/","No","Yes","Yes","No","No","Yes","No","No","No","not gender specific","No","No","No","No","No","No","(38.6565046, -90.2098393)"
"Salvation Army Harbor House","602 N Ann St","Columbia","Boone","MO","65201","573-442-3229",,"http://www.usc.salvationarmy.org/usc/www_usc_columbia.nsf/vw-sublinks/294AF7B310983CB8862575AF0071C4D1?openDocument","No","No","Yes","No","Yes","Yes","Yes","No","No","not gender specific","Yes","No","Yes","Yes","No","No","(38.9577809, -92.3138939)"
"The Haven of Grace","1225 Warren Street","St. Louis","St. Louis (county),St. Louis City (county)","MO","63106","314-621-6507",,"http://havenofgracestl.org/what-we-do/maternity-shelter/","No","Yes","Yes","No","No","No","No","No","No","Female only","No","No","No","Yes","Yes","Yes","(38.6505124, -90.1949366)"
"Oxford House Gravois","752 Bover Place","St. Louis","St. Louis (county),St. Louis City (county)","MO","63111","314-772-1303",,"http://oxfordhouse.org/userfiles/file/","No","Yes","No","No","No","Yes","No","No","No","Male only","No","No","No","Yes","No","No","(38.564428, -90.252107)"
"Oxford House Swope Park ","3401 East Meyer Blvd","Kansas City","Jackson","MO","64132","816-216-1583",,"http://oxfordhouse.org/userfiles/file/","No","Yes","No","No","No","Yes","No","No","No","Male only","No","No","No","Yes","No","No","(39.007125, -94.546825)"
"Winfield House","60 Frankie Drive","Winfield","Lincoln","MO","63389","636-566-6258",,,"No","Yes","No","No","No","Yes","No","No","No","Male only","No","No","No","Yes","No","No","(38.9972723, -90.738458)"
"Good Samaritan Resource Center ","1807 West Historic 66","Waynesville","Camden,Laclede,Maries,Miller,Phelps,Pulaski,Texas","MO","65583","573-774-4040",,"http://www.goodsam-genesis.org/","No","No","Yes","No","No","No","No","No","No","not gender specific","Yes","No","No","Yes","No","No","(37.8130462, -92.229553)"
"Oxford House Montana","3655 Montana Street","St. Louis","St. Louis (county),St. Louis City (county)","MO","63116","314-351-2064",,"http://oxfordhouse.org/userfiles/file/","No","Yes","No","No","No","Yes","No","No","No","Male only","No","No","No","Yes","No","No","(38.583762, -90.24666)"
"Young Women&#039;s Christian Association (YWCA)","304 N. 8th St.","St. Joseph","Buchanan","MO","64501","816-232-4481",,"http://ywcasj.org/","No","Yes","No","No","Yes","Yes","Yes","No","No","Female only","Yes","No","Yes","No","No","No","(39.7685032, -94.8510411)"
"Recovery Lighthouse","107 East Culton Street","Warrensburg","Johnson","MO","64093","660-429-2222",,,"No","Yes","No","No","No","Yes","No","No","No","not gender specific","No","No","No","Yes","No","No","(38.7641571, -93.73988)"
"Oxford House Clayton Road","6957 Clayton Avenue","St. Louis","St. Louis (county),St. Louis City (county)","MO","36110","314-863-7669",,"http://oxfordhouse.org/userfiles/file/","No","Yes","No","No","No","Yes","No","No","No","Male only","No","No","No","Yes","No","No","(38.633842, -90.306109)"
"Community Resource Center","913 Webster Street","Chillicothy","Caldwell,Carroll,Chariton,Daviess,Grundy,Linn,Livingston,Sullivan","MO","64601","660-646-1667",,"https://communityresourcecenterblog.wordpress.com/about/","No","No","Yes","No","Yes","No","Yes","No","No","not gender specific","Yes","No","No","Yes","No","No","(39.7942819, -93.555555)"
"2-1-1 United Way Missouri","Missouri","Missouri","Adair,Andrew,Atchison,Audrain,Barry,Barton,Bates,Benton,Bollinger,Boone,Buchanan,Butler,Caldwell,Callaway,Camden,Cape Girardeau,Carroll,Carter,Cass,Cedar,Chariton,Christian,Clark,Clay,Clinton,Cole,Cooper,Crawford,Dade,Dallas,Daviess,DeKalb,Dent,Douglas,Dunklin,Franklin,Gasconade,Gentry,Greene,Grundy,Harrison,Henry,Hickory,Holt,Howard,Howell,Iron,Jackson,Jasper,Jefferson,Johnson,Knox,Laclede,Lafayette,Lawrence,Lewis,Lincoln,Linn,Livingston,Macon,Madison,Maries,Marion,McDonald,Mercer,Miller,Mississippi,Moniteau,Monroe,Montgomery,Morgan,New Madrid,Newton,Nodaway,Oregon,Osage,Ozark,Pemiscot,Perry,Pettis,Phelps,Pike,Platte,Polk,Pulaski,Putnam,Ralls,Randolph,Ray,Reynolds,Ripley,Saline,Schuyler,Scotland,Scott,Shannon,Shelby,St. Charles,St. Clair,St. Francois,St. Louis (county),St. Louis City (county),Ste. Genevieve,Stoddard,Stone,Sullivan,Taney,Texas,Vernon,Warren,Washington,Wayne,Webster,Worth,Wright","MO","99999","800-427-4626","211","http://www.211helps.org/","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","not gender specific","Yes","Yes","No","No","No","Yes","(38.6127672, -90.2593798)"
"Genesis Men&#039;s Home","3921 Clarence Ave","St. Louis","St. Louis (county),St. Louis City (county)","MO","63115","314-381-0700",,"http://stldreamcenter.org/outreach/genesis-mens/","Yes","Yes","No","No","Yes","Yes","Yes","No","No","Male only","No","No","No","Yes","No","No","(38.6707286, -90.2337355)"
"Lynncove House","1751 Lynncove Lane","St. Charles","St. Charles","MO","63303","636-493-1345",,,"No","Yes","No","No","No","Yes","No","No","No","Male only","No","No","No","Yes","No","No","(38.776973, -90.525814)"
"Missouri Veterans Endeavor (MOVE-STL)","8410 Engler Park Court","St. John","St. Charles,St. Louis (county),St. Louis City (county)","MO","63114","314-778-9497","314-778-9498","https://www.move-stl.org","Yes","No","No","No","Yes","Yes","Yes","Yes","Yes","not gender specific","Yes","No","No","Yes","No","No",
"Community LINC","4012-14 Troost","Kansas City","Jackson","MO","64110","816-531-3727","816-595-5555 - Alicia Horton - Mobile Assessment Worker
","http://www.communitylinc.org","No","Yes","No","No","No","Yes","No","No","No","not gender specific","Yes","Yes","Yes","Yes","Yes","No","(39.0537821, -94.5725753)"
"Watered Gardens","531 Kentucky Avenue","Joplin","Jasper","MO","64801","417-623-6030",,"http://wateredgardens.org/","No","Yes","Yes","No","No","Yes","No","No","No","not gender specific","No","No","No","Yes","No","No","(37.085611, -94.5098265)"
"Kansas City Rescue Mission - Women&#039;s Center","2611 East 11th Street","Kansas City","Jackson","MO","64127","816-348-3287",,,"No","Yes","Yes","No","No","Yes","No","No","No","Female only","No","No","No","Yes","No","No","(39.100368, -94.550392)"
"Community Missions--St. Joseph&#039;s Haven","610 Olive","St. Joseph","Buchanan","MO","64501","816-390-8884",,"http://communitymissionscorp.org/","Yes","No","No","No","Yes","Yes","Yes","No","No","Male only","No","No","Yes","Yes","No","No","(39.7589844, -94.8527126)"
"Salvation Army Emergency Social Services","1707 West Chestnut Expressway","Springfield","Greene","MO","65802","417-862-5509",,"http://www.salvationarmyspringfield.org/what-we-do/emergency-social-services/","No","No","No","No","No","No","No","No","No","not gender specific","No","Yes","No","Yes","No","No","(37.2147126, -93.3137767)"
"First Steps Back Home","P.O. Box 966","O&#039;Fallon","St. Charles,St. Louis (county),St. Louis City (county)","MO","63366","636-466-1365",,"http://firststepbackhome.net/","Yes","Yes","Yes","No","No","No","No","No","No","not gender specific","Yes","Yes","No","Yes","Yes","No","(38.8106075, -90.6998477)"
"Shared Blessings Inc.","518 Grove Street","Bonne Terre","St. Francois","MO","63628","573-358-2998",,"http://www.sharedblessingsshelter.org/","No","Yes","No","No","No","Yes","Yes","No","No","not gender specific","Yes","No","No","Yes","No","No","(37.9148074, -90.549725)"
"Mother&#039;s Refuge","3721 Delridge","Independence","Jackson","MO","64052","816-353-8070",,"http://www.mothersrefuge.org/program/","No","Yes","Yes","No","No","No","No","No","No","Female only","No","No","No","Yes","Yes","Yes","(39.054136, -94.456908)"
"Friendship House","3728 Gilham Road","Kansas City","Jackson","MO","64111","816-531-7788",,,"No","Yes","No","No","No","Yes","No","No","No","Female only","No","No","No","Yes","No","No","(39.058996, -94.582787)"
"Harris House Foundation","8315 South Broadway","St. Louis","St. Louis (county),St. Louis City (county)","MO","63111","314-631-4299",,"https://www.harrishousestl.org/","No","Yes","No","No","No","Yes","No","No","No","not gender specific","No","No","No","Yes","No","No","(38.5422846, -90.2642684)"
"Mission Missouri","509 Ruth St.","Sikeston","New Madrid,Scott","MO","63801","573-481-0505",,"https://www.facebook.com/MissionMissouri/","No","Yes","No","No","No","Yes","No","No","No","Male only","No","No","No","Yes","No","No","(36.8714112, -89.5947857)"
"Oxford House Cougar","1810 North Garth Avenue","Columbia","Boone","MO","65202","573-333-2267",,"http://oxfordhouse.org/userfiles/file/","No","Yes","No","No","No","Yes","No","No","No","Male only","No","No","No","Yes","No","No","(38.9719566, -92.3381888)"
"reStart Inc.","918 E. 9th St.","Kansas City","Jackson","MO","64106","816-472-5664",,"http://www.restartinc.org/","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","not gender specific","Yes","Yes","No","No","No","No","(39.1034979, -94.5712633)"
"Safe House for Women; Domestic Violence Shelter","230 North Spring","Cape Girardeau","Cape Girardeau","MO","63701","800-341-1830",,"https://www.semosafehouse.org/","No","No","Yes","No","No","No","No","No","No","Female only","Yes","No","No","Yes","No","No","(37.3098217, -89.5487913)"
"Sheffield Place","6604 E. 12th St.","Kansas City","Jackson","MO","64126","816-483-9927",,"http://sheffieldplace.org/","Yes","Yes","No","No","Yes","Yes","Yes","No","No","Female only","Yes","Yes","Yes","Yes","No","No","(39.0976205, -94.5050478)"
"Victory Outreach","2411 Kensington","Kansas City","Cass,Clay,Jackson","MO","64127","816-241-6568",,"http://victoryoutreachkansascitymo.org/ministries/recovery-homes/","No","Yes","No","No","No","Yes","No","No","No","not gender specific","No","No","No","Yes","No","No","(39.08175, -94.531541)"
"Community Caring Council","937 Broadway, Suite 306","Cape Girardeau","Bollinger,Cape Girardeau,Perry","MO","63701","573-651-3747",,"https://www.communitycaringcouncil.org","Yes","No","No","No","Yes","Yes","Yes","No","No","not gender specific","Yes","Yes","Yes","No","No","No","(37.3070948, -89.5309294)"
"Powerhouse Community Development","263 West Morgan Street","Marshall","Saline","MO","65340","660-886-8860",,,"No","Yes","No","No","No","No","No","No","No","Male only","No","No","No","Yes","No","No","(39.1195894, -93.1994014)"
"Oxford House Brougham Park","3444 INdiana Avenue","Kansas City","Jackson","MO","64128","816-216-1737",,"http://oxfordhouse.org/userfiles/file/","No","Yes","No","No","No","Yes","No","No","No","Male only","No","No","No","Yes","No","No","(39.062587, -94.544333)"
"Oxford House Museum Hill","1210 Felix","St. Joseph","Buchanan","MO","64501","816-689-3825",,"http://oxfordhouse.org/userfiles/file/","No","Yes","No","No","No","Yes","No","No","No","Male only","No","No","No","Yes","No","No","(39.766475, -94.844952)"
"Catholic Charities of Kansas City-St. Joseph, Inc.","850 Main","Kansas City","Andrew,Buchanan,Caldwell,Cass,Clay,Clinton,DeKalb,Henry,Jackson,Johnson,Lafayette,Livingston,Platte,Ray","MO","64105","816-232-2885",,"http://www.catholiccharities-kcsj.org/","Yes","No","No","No","Yes","Yes","Yes","Yes","Yes","not gender specific","Yes","Yes","No","No","No","No","(39.103902, -94.583543)"
"Oxford House Moffet","529 South Moffet Street","Joplin","Jasper","MO","64801","417-569-2130",,"http://oxfordhouse.org/userfiles/file/","No","Yes","No","No","No","Yes","No","No","No","Male only","No","No","No","Yes","No","No","(37.0859633, -94.5190884)"
"VA Dormatory","24706 State Hwy. 171","Webb City","Jasper","MO","64870","417-623-8176",,,"No","Yes","No","No","No","Yes","No","Yes","Yes","Male only","No","No","No","Yes","No","No","(37.1424909, -94.5047297)"
"Ozark Center Behavioral Health Services","3409 Schifferdecker","Joplin","Jasper","MO","64804","417-347-7600",,"https://ozarkcenter.com/services/housing-programs","No","Yes","No","No","Yes","Yes","Yes","No","No","not gender specific","No","No","No","Yes","Yes","No","(37.0358931, -94.5575833)"
"Springfield Victory Square","1610 North Broadway","Springfield","Greene","MO","65803","417-831-6387",,"http://www.victorymission.com","No","Yes","Yes","No","No","Yes","No","No","No","Male only","No","No","No","Yes","No","No","(37.2279865, -93.302199)"
"oxford House Cote Brilliante","5049 Cote Brillianta Avenue","St. Louis","St. Louis (county),St. Louis City (county)","MO","63113","314-367-3407",,"http://oxfordhouse.org/userfiles/file/","No","Yes","No","No","No","Yes","No","No","No","Male only","No","No","No","Yes","No","No","(38.666432, -90.261297)"
"VA Dormatory","24706 State Hwy 171","Web City","Barry,Jasper,Lawrence,McDonald,Newton","MO","64870","417-623-1944",,"http://house-inc.org/index.html","No","No","No","No","No","No","No","No","No","not gender specific","No","No","No","No","No","No","(37.1424909, -94.5047297)"
"City Union Mission Family &amp; Youth Center","1310 Wabash Avenue","Kansas City","Jackson","MO","64127","816-474-4599",,,"No","No","Yes","No","No","No","No","No","No","not gender specific","No","No","No","Yes","No","No","(39.0968827, -94.5529918)"
"Oxford House McCausland","2017 McCausland","St. Louis","St. Louis (county),St. Louis City (county)","MO","63143","314-351-2064",,"http://oxfordhouse.org/userfiles/file/","No","Yes","No","No","No","Yes","No","No","No","Male only","No","No","No","Yes","No","No","(38.6122213, -90.309156)"
"Oxford House Garfield","2733 Garfield Avenue","Kansas City","Jackson","MO","64109","816-569-2130",,"http://oxfordhouse.org/userfiles/file/","No","Yes","No","No","No","Yes","No","No","No","Male only","No","No","No","Yes","No","No","(39.076045, -94.558005)"
"Almost Home; Maternity Shelter","3200 Saint Vincent Avenue","St. Louis","St. Louis (county),St. Louis City (county)","MO","63104","314-771-4663",,"http://almosthomestl.org/transitional-housing","No","Yes","No","No","No","No","No","No","No","Female only","Yes","No","No","Yes","No","No","(38.6186706, -90.2322634)"
"New Beginning Sanctuary","PO Box 14431","Springfield","Greene","MO","65841","417-234-1647",,"http://www.nbsanctuary.org/","No","Yes","No","No","No","Yes","No","No","No","Male only","No","No","No","Yes","No","No","(37.1859653, -93.4364837)"
"Oxford House St. Matthew","914 S. Matthew Avenue","O&#039;Fallon","St. Charles","MO","63366","636-294-5681",,"http://oxfordhouse.org/userfiles/file/","No","Yes","No","No","No","Yes","No","No","No","Male only","No","No","No","Yes","No","No","(38.821091, -90.690365)"
"Lake Area Helping Hands","68 Holden Drive","Camdenton","Camden","MO","65020","573-346-4968",,"http://www.helpinghandsvillage.com/","No","No","Yes","No","No","No","No","No","No","not gender specific","Yes","No","No","Yes","No","No","(37.9971823, -92.7636619)"
"Shepherd&#039;s Fold Ministry","201 E Loeb St","Cardwell","Dunklin","MO","63829","573-654-2280",,,"No","Yes","No","No","No","Yes","No","No","No","Male only","No","No","No","Yes","No","No","(36.048832, -90.291756)"
"YWCA Metro St. Louis","3820 West Pine Blvd","St. Louis","St. Louis (county),St. Louis City (county)","MO","63108","314-531-1115","314-553-9400 x5227  ","http://www.ywcastlouis.org/site/c.elKSIbOWIkJ8H/b.8566429/k.698D/Transitional_Housing.htm","No","Yes","No","No","No","Yes","No","No","No","Female only","No","Yes","Yes","No","No","No","(38.6365736, -90.240102)"
