"department","employee_title","minimum_salary","maximum_salary"
"Fire                          ","Firefighter Car 79            ","65401.64","69301.64"
"Fire                          ","Firefighter/Plan Reviewer     ","61592.12","64192.12"
"Fire                          ","Plans Reviewer/Inspector Comm ","60935.68","60935.68"
"Fire                          ","Sec. -Office of Chief/Bilingua","51411.54","51411.54"
"Fire                          ","Senior Mechanic               ","52734.86","52754.20"
"Fire                          ","Shop Supervisor               ","79399.21","79399.21"
"Forestry                      ","Equip Operator                ","40727.44","40727.44"
"Forestry                      ","Forestry Clerk                ","40658.61","40658.61"
"Forestry                      ","Forestry Crew Leader          ","51923.04","51923.04"
"Forestry                      ","Forestry Technician           ","54902.01","54902.01"
"Forestry                      ","Tree Inspector                ","53431.45","53431.45"
"Forestry                      ","Tree Trimmer                  ","48797.21","48797.21"
"Greenhouse                    ","Botanical Center Manager      ","69410.43","69410.43"
"Greenhouse                    ","Equip Operator                ","40748.44","40748.44"
"Greenhouse                    ","General Foreman               ","53578.09","53578.09"
"Greenhouse                    ","Landscape Gardener            ","37860.16","37860.78"
"Housing Court                 ","Assoc Justice-H Court         ","38274.96","40610.20"
"Housing Court                 ","Court Clerk                   ","40810.04","40810.04"
"Housing Court                 ","Court Clerk Housing Ct        ","46504.63","46504.63"
"Housing Court                 ","Housing Court Administrator   ","51991.03","51991.03"
"Housing Court                 ","Judge Housing Crt             ","52906.85","52906.85"
"Human Relations               ","Housing Investigator          ","42847.16","42847.16"
"Human Services                ","Dir. Substance Abuse Prev.Coun","71775.88","71775.88"
"Human Services                ","Director of Sr. Services      ","58187.58","58187.58"
"Human Services                ","Drug Free Communities Coord   ","51977.56","51977.56"
"Human Services                ","Elderly Affairs Clerk         ","38658.07","38658.07"
"Human Services                ","Prevention Coordinator        ","37492","37492"
"Human Services                ","TFC Fiscal Coordinator        ","48270.95","48270.95"
"Human Services                ","Tobacco Free Campaign Coord   ","50915.59","50915.59"
"Human Services                ","Vetcorps Prevention Coord     ","12503.58","12503.58"
"IFR Engineering               ","Eng Proj Coordinator (Wsb)    ","53370.22","61783.90"
"IFR Engineering               ","Prin.Engineer WSB             ","78264.55","78264.55"
"Information Technology Departm","Application Programmer Analyst","58065.82","58065.82"
"Information Technology Departm","Applications Project MGR      ","83631.73","83631.73"
"Information Technology Departm","Business Systems Analyst      ","56140.81","56140.81"
"Information Technology Departm","Chief Information Officer     ","123607.12","123607.12"
"Information Technology Departm","Data Base Administrator       ","75618.63","75618.63"
"Information Technology Departm","Data Network Administrator    ","73273.74","73273.74"
"Information Technology Departm","Information Tech Admin. Asst. ","38518.11","38518.11"
"Information Technology Departm","Jr. Systems/Desktop Admin.    ","48090.40","48090.40"
"Information Technology Departm","Lead Production Serv.Operator ","48083.49","48083.49"
"Information Technology Departm","Network Engineer              ","79670.86","79670.86"
"Information Technology Departm","Webmaster                     ","59426.45","59426.45"
"Internal Audit Office         ","Auditor in Charge-School Dept ","68835.31","68835.31"
"Internal Audit Office         ","Internal Auditor              ","117751.45","117751.45"
"Law Department                ","Assist City Solicitor         ","54406.71","63650.67"
"Law Department                ","City Solicitor                ","129797.85","129797.85"
"Law Department                ","Conf.Secretary to City Sol.   ","57738.77","57738.77"
"Law Department                ","Dep.City Sol/Labor&Emp Counsel","117751.45","117751.45"
"Law Department                ","Deputy City Solicitor         ","107712.33","107712.33"
"Law Department                ","Law Clerk/Courier             ","29343.13","29343.13"
"Law Department                ","Legal Secretary               ","58065.82","59994.66"
"Law Department                ","Paralegal I                   ","45024.07","45024.07"
"Law Department                ","Senior Asst City Solicitor    ","84384.3","102565.91"
"Law Department                ","Spec.Asst.to City Sol.Claims C","56611.1","56611.1"
"Mayor Staff                   ","Chief Of Staff                ","120010.8","120010.8"
"Mayor Staff                   ","Clerical Assistant (Mayor's)  ","37849.44","43284.51"
"Mayor Staff                   ","Community Outreach&Events Coor","50916.13","50916.13"
"Mayor Staff                   ","Deputy Chief Of Staff         ","77249.53","88781.05"
"Mayor Staff                   ","Deputy Dir. Of Policy         ","44999.86","44999.86"
"Mayor Staff                   ","Deputy Press Secretary        ","46350.12","46350.12"
"Mayor Staff                   ","Dir Mayors Office of Neigh.Ser","65576.23","65576.23"
"Mayor Staff                   ","Dir. of Communications/Mayor's","92698.97","92698.97"
"Mayor Staff                   ","Dir. of Mun&Intergoven.Affairs","74159.72","74159.72"
"Mayor Staff                   ","Director of Advance           ","50614.2","50614.2"
"Mayor Staff                   ","Director of Community Relation","52000.13","52000.13"
"Mayor Staff                   ","Director Of Operations        ","122010.25","122010.25"
"Mayor Staff                   ","Executive Asst. & Scheduler   ","44577.98","44577.98"
"Mayor Staff                   ","Mayor                         ","112500.02","112500.02"
"Mayor Staff                   ","Mayoral Advance               ","22066.72","22066.72"
"Mayor Staff                   ","ONS Rep.Spec.in Community Rel ","31868.2","31868.2"
"Mayor Staff                   ","ONS Representative            ","30900.87","30900.87"
"Mayor Staff                   ","Policy/Clerical Assistant     ","41200.06","41200.06"
"Mayor Staff                   ","Special Assistant/Mayor       ","30000.04","30000.04"
"Mayor Staff                   ","Writer                        ","31182.97","31182.97"
"Mech Equip Installation       ","Mechanical Equipment Insp II  ","44999.5","44999.5"
"MIS Department                ","Application Oper.Specialist   ","53369.68","53369.68"
"MIS Department                ","Database Manager              ","66320.07","66320.07"
"MIS Department                ","Network Administrator         ","55542.57","55542.57"
"MIS Department                ","Network Operations Analyst    ","45160.93","45160.93"
"MIS Department                ","Sr. Manager,WSB               ","83149.61","83149.61"
"MIS Department                ","Sys Tech Spec                 ","44996.04","44996.04"
"Municipal Court               ","Clerk Prov Municipal Court    ","59408.80","59408.80"
"Municipal Court               ","Court Clerk                   ","39122.35","40660.07"
"Municipal Court               ","Court Clerk II                ","49309.44","49309.44"
"Municipal Court               ","Court Clerk/Bilingual         ","38523.03","38523.03"
"Municipal Court               ","Deputy Clerk Prov Mun Court   ","52282.77","52282.77"
"Municipal Court               ","Judge-Prov Municipal Court    ","33436.12","52767.07"
"Neighborhood Park Services    ","Admin Asst Parks              ","46507.00","46507.00"
"Neighborhood Park Services    ","Athletic Coordinator          ","40659.71","40659.71"
"Neighborhood Park Services    ","Clerk I                       ","28223.65","28223.65"
"Neighborhood Park Services    ","Dep.Dir Neigh.Park Ser (south)","68837.39","68837.39"
"Neighborhood Park Services    ","Dep.Dir.Neigh Park Ser North  ","59970.76","59970.76"
"Neighborhood Park Services    ","Deputy Director of Recreation ","58241.45","58241.45"
"Neighborhood Park Services    ","Director NPS & Recreation     ","90379.32","90379.32"
"Neighborhood Park Services    ","Director of Support Services  ","64013.22","64013.22"
"Neighborhood Park Services    ","Equip Operator                ","40727.64","40727.64"
"Neighborhood Park Services    ","General Foreman               ","53578.09","53578.09"
"Neighborhood Park Services    ","Heavy Equip Operator          ","48797.63","48797.63"
"Neighborhood Park Services    ","Laborer                       ","37228.67","37230.54"
"Neighborhood Park Services    ","Laborer/Custodian             ","37230.75","37230.75"
"Neighborhood Park Services    ","Light Equipment Operator      ","38986.89","38987.31"
"Neighborhood Park Services    ","Limited Equip. Oper.          ","40748.44","40748.44"
"Neighborhood Park Services    ","Limited Foreman               ","51680.30","51680.30"
"Neighborhood Park Services    ","Limited Hvy Equip.Oper.       ","48782.44","48782.44"
"Neighborhood Park Services    ","Maintenance Man III           ","39984.87","39984.87"
"Neighborhood Park Services    ","Maintenance Man IV            ","43647.96","43651.92"
"Neighborhood Park Services    ","Parks Electrician             ","78928.30","78928.30"
"Neighborhood Park Services    ","Recreation Center Director    ","48801.48","48802.57"
"Neighborhood Park Services    ","Senior Mechanic               ","44171.29","44171.29"
"Neighborhood Park Services    ","Shop Supervisor Park          ","69977.44","69977.44"
"Neighborhood Park Services    ","Supervisor Maintenance (Parks)","65363.58","65363.58"
"North Burial Ground           ","Heavy Equip Operator          ","48797.21","48797.21"
"North Burial Ground           ","Laborer                       ","37230.54","38991.68"
"North Burial Ground           ","Light Equipment Operator      ","38987.31","38987.31"
"North Burial Ground           ","Limited Clerk II              ","29596.11","29596.11"
"North Burial Ground           ","Limited Equip. Oper.          ","44172.12","44172.12"
"North Burial Ground           ","Limited Foreman               ","51680.30","51680.30"
"North Burial Ground           ","Office Manager NBG            ","44999.86","44999.86"
"PERA                          ","Confidential Secretary PERA   ","42018.70","42018.70"
"Personnel Administration      ","Asst Claims Examiner          ","44116.43","44116.43"
"Personnel Administration      ","Benefits HR Asst./Specialist  ","44646.23","44646.23"
"Personnel Administration      ","Clerk IV                      ","33964.47","33964.47"
"Personnel Administration      ","Coor Of Employee Benefits     ","64009.03","64009.03"
"Personnel Administration      ","Deputy Director Personnel     ","81987.54","81987.54"
"Personnel Administration      ","EEO /Compliance Monitor       ","79670.86","79670.86"
"Personnel Administration      ","Human Resource Director       ","112102.53","112102.53"
"Personnel Administration      ","Human Resource Mgr-Generalist ","54406.53","54406.53"
"Personnel Administration      ","Medical Health Plan Administr ","57334.36","57334.36"
"Personnel Administration      ","Mgr. of Employees Benefits    ","96783.05","96783.05"
"Personnel Administration      ","Personnel Technician I        ","48440.02","48440.02"
"Personnel Administration      ","Personnel Technician II       ","60337.55","60337.55"
"Personnel Administration      ","Risk Management Specialist    ","67444.28","67444.28"
"Personnel Administration      ","Sr. Claims Examiner W.C       ","60337.36","60337.36"
"Personnel Administration      ","Union Training Coord. (Persnl)","64010.12","64010.12"
"Planning & Development        ","Admin Asst Planning (Dpd)     ","43083.76","43083.76"
"Planning & Development        ","Admin Asst Purchasing         ","44689.91","44689.91"
"Planning & Development        ","Admin. Asst.DPD               ","50011.78","50011.78"
"Planning & Development        ","Bi-lingual Compliance Officer ","50014.32","51415"
"Planning & Development        ","Bi-lingual Planner            ","49313.26","49313.26"
"Planning & Development        ","Business Serv.Program Mgr.    ","76233.79","76233.79"
"Planning & Development        ","Clerk III                     ","32090.60","32090.60"
"Planning & Development        ","Commercial Lending Officer    ","59014.77","59014.77"
"Planning & Development        ","Compliance Officer            ","51420.27","51420.27"
"Planning & Development        ","Compliance Officer Green Jobs ","49306.16","49306.16"
"Planning & Development        ","Confidenl Asst.to Dir.Econ.Dev","40378.88","40378.88"
"Planning & Development        ","Dir. of Economic Development  ","159134.97","159134.97"
"Planning & Development        ","Dir. of Long Range Planning   ","79671.22","79671.22"
"Planning & Development        ","Dir.Pathways to Opportunities ","79666.31","79666.31"
"Planning & Development        ","Director of Community Dev.    ","79670.5","79670.5"
"Planning & Development        ","Director of Real Estate       ","79671.41","79671.41"
"Planning & Development        ","Director Plan & Development   ","104618.15","104618.15"
"Planning & Development        ","Econ Dev Coord                ","57188.40","57188.40"
"Planning & Development        ","Employ & Training Program Mgr ","62088.20","62088.20"
"Planning & Development        ","Fiscal Officer I              ","44837.88","47216.44"
"Planning & Development        ","GIS Manager                   ","64017.59","64017.59"
"Planning & Development        ","Info Systems Coordinator      ","71659.58","71659.58"
"Planning & Development        ","Lead Insp Green Healthy Projec","56144.81","56144.81"
"Planning & Development        ","Prin Plan/HUD Comm.Challenge  ","62094.57","62094.57"
"Planning & Development        ","Principal Planner             ","56140.99","62088.02"
"Planning & Development        ","Principle Planner Review DPD  ","62086.75","62086.75"
"Planning & Development        ","Sr Spvisor Rehab Services     ","69019.31","69019.31"
"Planning & Development        ","Sr. Compliance & Mon. Officer ","52465.50","52465.50"
"Planning & Development        ","Sr.Real Estate Officer        ","54384.87","54384.87"
"Plumbing Drainage & Gas       ","Chief Plumb Drain & Gas Piping","69322.52","69322.52"
"Plumbing Drainage & Gas       ","Plumbing Inspector II         ","47906.04","47906.04"
"Plumbing Drainage & Gas       ","Plumbing Inspector III        ","59107.77","59107.77"
"Police                        ","Admin Bureau Legal Clerk      ","49307.98","49307.98"
"Police                        ","Admin. Asst. Confidential     ","46401.81","46401.81"
"Police                        ","Animal Control Officer        ","58157.21","58157.63"
"Police                        ","Animal Control Tech.Bi-lingual","46546.65","46546.65"
"Police                        ","Animal Control Technician     ","45635.19","45635.19"
"Police                        ","Animal Handler-Mounted Police ","40095.32","40095.32"
"Police                        ","Asst.Public Info Officer      ","39920.24","39920.24"
"Police                        ","Auto Equipment Supt           ","77356.86","77356.86"
"Police                        ","Customer Service Clerk        ","39986.12","43947.54"
"Police                        ","Deputy Police Chief           ","121710.22","121710.22"
"Police                        ","Detention Officer             ","50379.05","50379.47"
"Police                        ","HR/Crime & Info Sys Spec.     ","66830.39","66830.39"
"Police                        ","Investigative Clerk           ","46177.95","47559.33"
"Police                        ","Laborer                       ","37228.67","37228.67"
"Police                        ","Limited Investigative Clerk   ","47564.06","47564.06"
"Police                        ","Parking Enforcement Officer   ","38259.93","38264.30"
"Police                        ","Police Captain                ","81708.12","83957.05"
"Police                        ","Police Chief                  ","138444.73","138444.73"
"Police                        ","Police Lieutenant             ","75901.8","79801.8"
"Police                        ","Police Major                  ","109969.47","109969.47"
"Police                        ","Police Person                 ","55601.13","66173.25"
"Police                        ","Police Sergeant               ","63783.72","75337.86"
"Police                        ","Police Trainee                ","21008","21008"
"Police                        ","Port Security Officer         ","49927.28","49927.28"
"Police                        ","Secretary/Mounted Command     ","40583.45","40583.45"
"Police                        ","Security Officer              ","43339.29","43339.29"
"Police                        ","Sr Animal Control Officer     ","59588.88","59588.88"
"Police                        ","Sr Parking Enforcement Officer","44138.01","44138.01"
"Police                        ","Stable Supervsr-Mounted Police","50805.24","50805.24"
"Police                        ","VIn Station Clerk             ","47458.11","47458.11"
"Probate Court                 ","Clerk - Probate Court         ","45499.45","45499.45"
"Probate Court                 ","Court Clerk/Bilingual         ","45000.41","45000.41"
"Probate Court                 ","Deputy Clerk  Probate Court   ","56141.35","56141.35"
"Probate Court                 ","Judge  Probate Court          ","57622.83","57622.83"
"Probate Court                 ","LTD.Court Clerk/Probate       ","44231.27","44231.27"
"Prosecution                   ","Legal Secretary               ","46505.00","46505.00"
"Prosecution                   ","Prosecution Coordinator       ","59468.86","59468.86"
"Providence/Cranston Workforce ","Administrator                 ","106362.80","106362.80"
"Providence/Cranston Workforce ","Asst.Account Officer          ","52572.70","52572.70"
"Providence/Cranston Workforce ","Career & Employment Counselor ","56098.40","61806.10"
"Providence/Cranston Workforce ","Dir. of Operations/WFS        ","83863.23","83863.23"
"Providence/Cranston Workforce ","Dislocated Wrkr/Monitor Chief ","68009.39","68009.39"
"Providence/Cranston Workforce ","Internal Auditor              ","68009.94","68009.94"
"Providence/Cranston Workforce ","Jtpa Secretary/Clerk          ","45083.58","45083.58"
"Providence/Cranston Workforce ","LTD Intake & Assessment Clerk ","36769.46","36769.46"
"Providence/Cranston Workforce ","Prog. Mgr./Workforce Solutions","76637.65","76637.65"
"Providence/Cranston Workforce ","Program Assist                ","44150.10","44150.10"
"Providence/Cranston Workforce ","Project Coordinator           ","62762.51","62762.51"
"Providence/Cranston Workforce ","Senior Job Developer          ","53292.87","53292.87"
"Providence/Cranston Workforce ","Statewide Youth CTR. Mgr.     ","59461.76","59461.76"
