"fiscal_year","service","department","program","expense_category","recommended_amount","approved_amount","actual_amount","fund","fund_type","expense_type"
"2012","City Courts","Probate Court (101-107)","DEPARTMENTAL REVENUE (43000)","CERTIFICATE OF APPOINTMENT (43066)","0","0","3591.5","General (101)","Tax Supported","REVENUE"
"2012","City Courts","Probate Court (101-107)","DEPARTMENTAL REVENUE (43000)","CERTIFIED COPIES (43002)","0","0","3246","General (101)","Tax Supported","REVENUE"
"2012","City Courts","Probate Court (101-107)","DEPARTMENTAL REVENUE (43000)","NAME CHANGE FEES (43062)","0","0","3300","General (101)","Tax Supported","REVENUE"
"2012","City Courts","Probate Court (101-107)","DEPARTMENTAL REVENUE (43000)","PETITION FOR ADMINISTRATION (43064)","0","0","6531.01","General (101)","Tax Supported","REVENUE"
"2012","City Courts","Probate Court (101-107)","DEPARTMENTAL REVENUE (43000)","PETITION FOR GUARDIANSHIP (43065)","0","0","3230","General (101)","Tax Supported","REVENUE"
"2012","City Courts","Probate Court (101-107)","DEPARTMENTAL REVENUE (43000)","PROBATE COURT FEES (43060)","168000","168000","4508.5","General (101)","Tax Supported","REVENUE"
"2012","City Courts","Probate Court (101-107)","DEPARTMENTAL REVENUE (43000)","PROBATE OF WILL (43067)","0","0","30595.54","General (101)","Tax Supported","REVENUE"
"2012","Department of Inspections & Standards","Building Administration (101-401)","DEPARTMENTAL REVENUE (43000)","BUILDING INSPECTOR MISCELLANEOUS (43170)","0","0","-4765.03","General (101)","Tax Supported","REVENUE"
"2012","Department of Inspections & Standards","Building Administration (101-401)","DEPARTMENTAL REVENUE (43000)","ELECTRICAL (43173)","890000","890000","770306.15","General (101)","Tax Supported","REVENUE"
"2012","Department of Inspections & Standards","Building Administration (101-401)","DEPARTMENTAL REVENUE (43000)","INSPECTION VIOLATIONS (43177)","0","0","1800","General (101)","Tax Supported","REVENUE"
"2012","Department of Inspections & Standards","Building Administration (101-401)","DEPARTMENTAL REVENUE (43000)","MECHANICAL (43174)","640000","640000","635013.81999999995","General (101)","Tax Supported","REVENUE"
"2012","Department of Inspections & Standards","Building Administration (101-401)","DEPARTMENTAL REVENUE (43000)","MISCELLANEOUS FEES (43001)","163000","163000","367.4","General (101)","Tax Supported","REVENUE"
"2012","General (Non-Departmental)","Balance Sheet General Fund (101-900)","CASH (10100)","PAYROLL CASH (10115)","0","0","832152.7","General (101)","Tax Supported","REVENUE"
"2012","Department of Inspections & Standards","Building Administration (101-401)","DEPARTMENTAL REVENUE (43000)","PLUMBING DRAIN GAS (43172)","215000","215000","58864.5","General (101)","Tax Supported","REVENUE"
"2012","Department of Inspections & Standards","Building Administration (101-401)","DEPARTMENTAL REVENUE (43000)","STATE FEES - ADA (43175)","0","0","145783.29999999999","General (101)","Tax Supported","REVENUE"
"2012","Department of Inspections & Standards","Building Administration (101-401)","DEPARTMENTAL REVENUE (43000)","STATE FEES - RADON (43176)","0","0","2105","General (101)","Tax Supported","REVENUE"
"2012","Department of Inspections & Standards","Building Administration (101-401)","DEPARTMENTAL REVENUE (43000)","STRUCTURE ZONING (43171)","2555000","2555000","2335910.94","General (101)","Tax Supported","REVENUE"
"2012","Department of Inspections & Standards","Building Administration (101-401)","MISCELLANEOUS RECEIPTS (48000)","MISCELLANEOUS REVENUE (48001)","0","0","166156.72","General (101)","Tax Supported","REVENUE"
"2012","Department of Inspections & Standards","Building Board (101-407)","DEPARTMENTAL REVENUE (43000)","BUILDING APPLICATION FEES (43185)","66000","66000","5280","General (101)","Tax Supported","REVENUE"
"2012","Department of Inspections & Standards","Structures & Zoning (101-402)","DEPARTMENTAL REVENUE (43000)","INSPECTION VIOLATIONS (43177)","0","0","11319","General (101)","Tax Supported","REVENUE"
"2012","Department of Inspections & Standards","Zoning Board of Review (101-406)","DEPARTMENTAL REVENUE (43000)","ZONING APPLICATION FEES & HOUSING (43180)","80000","80000","56740","General (101)","Tax Supported","REVENUE"
"2012","Department of Public Works","Environmental Control (101-506)","DEPARTMENTAL REVENUE (43000)","FINES (43071)","5000","5000","0","General (101)","Tax Supported","REVENUE"
"2012","Department of Public Works","Environmental Control (101-506)","DEPARTMENTAL REVENUE (43000)","GARBAGE RECEPTACLES (43196)","0","0","9895","General (101)","Tax Supported","REVENUE"
"2012","Department of Public Works","Environmental Control (101-506)","DEPARTMENTAL REVENUE (43000)","RECYCLING BINS (43195)","15000","15000","0","General (101)","Tax Supported","REVENUE"
"2012","Department of Public Works","Environmental Control (101-506)","MISCELLANEOUS RECEIPTS (48000)","MISCELLANEOUS REVENUE (48001)","0","0","3755.58","General (101)","Tax Supported","REVENUE"
"2012","Department of Public Works","Highway (101-508)","DEPARTMENTAL REVENUE (43000)","CURBWORK (43215)","13000","13000","7660","General (101)","Tax Supported","REVENUE"
"2012","Department of Public Works","Highway (101-508)","DEPARTMENTAL REVENUE (43000)","DUMPSTER FEES (43210)","107000","107000","37922.5","General (101)","Tax Supported","REVENUE"
"2012","Department of Public Works","Highway (101-508)","DEPARTMENTAL REVENUE (43000)","PERMITS REVENUE (43230)","180000","180000","125755","General (101)","Tax Supported","REVENUE"
"2012","Department of Public Works","Highway (101-508)","DEPARTMENTAL REVENUE (43000)","SIDEWALK CONTRACTORS (43220)","10000","10000","9075","General (101)","Tax Supported","REVENUE"
"2012","Department of Public Works","Highway (101-508)","DEPARTMENTAL REVENUE (43000)","SIDEWLK STNDS; NEWS STNDS; ETC. (43225)","6000","6000","8600","General (101)","Tax Supported","REVENUE"
"2012","Department of Public Works","Highway (101-508)","MISCELLANEOUS RECEIPTS (48000)","MISCELLANEOUS REVENUE (48001)","0","0","3423.6","General (101)","Tax Supported","REVENUE"
"2012","Department of Public Works","Highway (101-508)","STATE GRANTS (42200)","STATE GRANT (42200)","0","0","10089369.99","General (101)","Tax Supported","REVENUE"
"2012","Department of Public Works","Public Works Administration (101-501)","MISCELLANEOUS RECEIPTS (48000)","MISCELLANEOUS REVENUE (48001)","0","0","1444.98","General (101)","Tax Supported","REVENUE"
"2012","Department of Public Works","Public Works Administration (101-501)","OTHER REVENUES (48200)","MOTOR VEHICLE REPAIR (48219)","0","0","2267.83","General (101)","Tax Supported","REVENUE"
"2012","Department of Public Works","Sewer Construction (101-511)","DEPARTMENTAL REVENUE (43000)","SEWER CONSTR & MAINT. DRAIN FEES (43240)","0","0","8624","General (101)","Tax Supported","REVENUE"
"2012","Department of Public Works","Traffic Engineering (101-305)","DEPARTMENTAL REVENUE (43000)","PARKING CALE METERS (43166)","0","0","130664.44","General (101)","Tax Supported","REVENUE"
"2012","Department of Public Works","Traffic Engineering (101-305)","DEPARTMENTAL REVENUE (43000)","PARKING METER CASH RETURNS (43160)","2500000","2500000","1627336.58","General (101)","Tax Supported","REVENUE"
"2012","Department of Public Works","Traffic Engineering (101-305)","DEPARTMENTAL REVENUE (43000)","PARKING METER REVENUE - PROVPASS (43165)","0","0","16362.12","General (101)","Tax Supported","REVENUE"
"2012","Department of Public Works","Traffic Engineering (101-305)","DEPARTMENTAL REVENUE (43000)","PARKING PERMITS (43155)","0","0","27935","General (101)","Tax Supported","REVENUE"
"2012","Department of Public Works","Traffic Engineering (101-305)","MISCELLANEOUS RECEIPTS (48000)","MISCELLANEOUS REVENUE (48001)","0","0","58924.42","General (101)","Tax Supported","REVENUE"
"2012","Department of Public Works","Traffic Engineering (101-305)","OTHER REVENUES (48200)","DETAIL SALARY REVENUE (48350)","0","0","94066.68","General (101)","Tax Supported","REVENUE"
"2012","Entity Revenue","Non-Departmental‚ Entity Revenue (101-000)","Orgs‚ RI‚ and Fed. pay/reimburse  (42000)","DISTRESSED CITY REVENUE (42009)","5143906","5143906","5169134.92","General (101)","Tax Supported","REVENUE"
"2012","Entity Revenue","Non-Departmental‚ Entity Revenue (101-000)","Orgs‚ RI‚ and Fed. pay/reimburse  (42000)","MEALS & BEVERAGES TAX (42015)","4100000","4100000","4443753.29","General (101)","Tax Supported","REVENUE"
"2012","Entity Revenue","Non-Departmental‚ Entity Revenue (101-000)","Orgs‚ RI‚ and Fed. pay/reimburse  (42000)","PAYMENT IN LIEU OF TAXES (42002)","19267541","23109815","23455411","General (101)","Tax Supported","REVENUE"
"2012","Entity Revenue","Non-Departmental‚ Entity Revenue (101-000)","Orgs‚ RI‚ and Fed. pay/reimburse  (42000)","PAYMENT IN LIEU OF TAXES (42002)","5000","5000","0","General (101)","Tax Supported","REVENUE"
"2012","Entity Revenue","Non-Departmental‚ Entity Revenue (101-000)","Orgs‚ RI‚ and Fed. pay/reimburse  (42000)","REIMB BLUE CROSS  PROVIDERS (42025)","650000","650000","709963.69","General (101)","Tax Supported","REVENUE"
"2012","Entity Revenue","Non-Departmental‚ Entity Revenue (101-000)","Orgs‚ RI‚ and Fed. pay/reimburse  (42000)","SCHOOL DEBT CONSTRUCTION PAYMENTS (42004)","27199913","27199913","28167908","General (101)","Tax Supported","REVENUE"
"2012","Entity Revenue","Non-Departmental‚ Entity Revenue (101-000)","Orgs‚ RI‚ and Fed. pay/reimburse  (42000)","STATE REIMBURSEMENT EXCISE TAX (42008)","1617922","1617922","1715885.98","General (101)","Tax Supported","REVENUE"
"2012","Entity Revenue","Non-Departmental‚ Entity Revenue (101-000)","Orgs‚ RI‚ and Fed. pay/reimburse  (42000)","TELEPHONE TAX (42006)","1879801","1879801","2142738","General (101)","Tax Supported","REVENUE"
"2012","Excise Taxes","Gen Fund‚ Excise Tax (101-000)","TAX REVENUES (41000)","EXCISE TAX REVENUE (41200)","0","0","26680680.93","General (101)","Tax Supported","REVENUE"
"2012","Finance Departments","City Collector (101-205)","DEPARTMENTAL REVENUE (43000)","EXP OF COLLECT GENERAL PROPERTY TAX (43080)","760000","760000","408069.02","General (101)","Tax Supported","REVENUE"
"2012","Finance Departments","City Collector (101-205)","DEPARTMENTAL REVENUE (43000)","SEARCHING RECORDS (43082)","40000","40000","110417.04","General (101)","Tax Supported","REVENUE"
"2012","Finance Departments","City Collector (101-205)","MISCELLANEOUS RECEIPTS (48000)","MISCELLANEOUS REVENUE (48001)","0","0","1008.57","General (101)","Tax Supported","REVENUE"
"2012","Finance Departments","City Controller (101-202)","MISCELLANEOUS RECEIPTS (48000)","MISCELLANEOUS REVENUE (48001)","0","0","7086.22","General (101)","Tax Supported","REVENUE"
"2012","Finance Departments","City Tax Assessor (101-207)","DEPARTMENTAL REVENUE (43000)","CERTIFIED COPIES (43002)","0","0","786","General (101)","Tax Supported","REVENUE"
"2012","Finance Departments","City Tax Assessor (101-207)","MISCELLANEOUS RECEIPTS (48000)","SALES (48030)","2000","2000","0","General (101)","Tax Supported","REVENUE"
"2012","Finance Departments","Recorder of Deeds (101-901)","DEPARTMENTAL REVENUE (43000)","CERTIFIED COPIES (43002)","0","0","8688","General (101)","Tax Supported","REVENUE"
"2012","Finance Departments","Recorder of Deeds (101-901)","DEPARTMENTAL REVENUE (43000)","COPIES (43004)","0","0","70853","General (101)","Tax Supported","REVENUE"
"2012","Finance Departments","Recorder of Deeds (101-901)","DEPARTMENTAL REVENUE (43000)","CUSTOMER USE OF COPY MACHINES (43006)","0","0","19779","General (101)","Tax Supported","REVENUE"
"2012","Finance Departments","Recorder of Deeds (101-901)","DEPARTMENTAL REVENUE (43000)","IRS LIEN DISCHARGES (43251)","0","0","5760","General (101)","Tax Supported","REVENUE"
"2012","Finance Departments","Recorder of Deeds (101-901)","DEPARTMENTAL REVENUE (43000)","NO. BURIAL GROUNDS FEES (43860)","0","0","8966","General (101)","Tax Supported","REVENUE"
"2012","Finance Departments","Recorder of Deeds (101-901)","DEPARTMENTAL REVENUE (43000)","RECORDER OF DEEDS FEES (43250)","2200000","2200000","1239470.6599999999","General (101)","Tax Supported","REVENUE"
"2012","Finance Departments","Recorder of Deeds (101-901)","OTHER REVENUES (48200)","RHODE ISLAND REAL ESTATE CONVEY TAX (48200)","0","0","1086237.25","General (101)","Tax Supported","REVENUE"
"2012","General (Non-Departmental)","Balance Sheet General Fund (101-900)","ACCOUNTS PAYABLE (20000)","A/P - CURRENT (20000)","0","0","1612358.81","General (101)","Tax Supported","REVENUE"
"2012","General (Non-Departmental)","Balance Sheet General Fund (101-900)","ACCOUNTS PAYABLE (20000)","DUE TO VENDORS (20064)","0","0","-185600","General (101)","Tax Supported","REVENUE"
"2012","General (Non-Departmental)","Balance Sheet General Fund (101-900)","ACCRUED EXPENDITURES (21000)","1033 P.A.C. WITHHOLDING (21310)","0","0","20.7","General (101)","Tax Supported","REVENUE"
"2012","General (Non-Departmental)","Balance Sheet General Fund (101-900)","ACCRUED EXPENDITURES (21000)","1033 RETIREMENT SAVINGS ACCOUNT (21430)","0","0","-10.93","General (101)","Tax Supported","REVENUE"
"2012","General (Non-Departmental)","Balance Sheet General Fund (101-900)","ACCRUED EXPENDITURES (21000)","ACCRUED EXPENSE PAYABLE (21000)","0","0","-903770.18","General (101)","Tax Supported","REVENUE"
"2012","General (Non-Departmental)","Balance Sheet General Fund (101-900)","ACCRUED EXPENDITURES (21000)","AFLAC DISABILITY INSURANCE (21367)","0","0","1056.6500000000001","General (101)","Tax Supported","REVENUE"
"2012","General (Non-Departmental)","Balance Sheet General Fund (101-900)","ACCRUED EXPENDITURES (21000)","DELTA DENTAL PAYABLE (21321)","0","0","-317775.12","General (101)","Tax Supported","REVENUE"
"2012","General (Non-Departmental)","Balance Sheet General Fund (101-900)","ACCRUED EXPENDITURES (21000)","EMPLOYEES RETIREMENT SYSTEM W/H (21300)","0","0","151.16999999999999","General (101)","Tax Supported","REVENUE"
"2012","General (Non-Departmental)","Balance Sheet General Fund (101-900)","ACCRUED EXPENDITURES (21000)","FAMILY COURT WITHOLDINGS (21347)","0","0","-0.89","General (101)","Tax Supported","REVENUE"
"2012","General (Non-Departmental)","Balance Sheet General Fund (101-900)","ACCRUED EXPENDITURES (21000)","FEDERAL INCOME TAX W/H (21255)","0","0","1597.59","General (101)","Tax Supported","REVENUE"
"2012","General (Non-Departmental)","Balance Sheet General Fund (101-900)","ACCRUED EXPENDITURES (21000)","FEDERAL MEDICARE W/H (21265)","0","0","-14465.37","General (101)","Tax Supported","REVENUE"
"2012","General (Non-Departmental)","Balance Sheet General Fund (101-900)","ACCRUED EXPENDITURES (21000)","FLEX SPENDING PLAN  URM (21428)","0","0","-24556.77","General (101)","Tax Supported","REVENUE"
"2012","General (Non-Departmental)","Balance Sheet General Fund (101-900)","ACCRUED EXPENDITURES (21000)","FLEX SPENDING PLAN DDC (21427)","0","0","257.47000000000003","General (101)","Tax Supported","REVENUE"
"2012","General (Non-Departmental)","Balance Sheet General Fund (101-900)","ACCRUED EXPENDITURES (21000)","GREAT WEST 457 PLAN LOANS PAYABLE (21423)","0","0","-1.7","General (101)","Tax Supported","REVENUE"
"2012","General (Non-Departmental)","Balance Sheet General Fund (101-900)","ACCRUED EXPENDITURES (21000)","HARTFORD RETIREMENT PLAN (21421)","0","0","300","General (101)","Tax Supported","REVENUE"
"2012","General (Non-Departmental)","Balance Sheet General Fund (101-900)","ACCRUED EXPENDITURES (21000)","HARTFORD VARIABLE ANNUITY LIFE INS (21375)","0","0","10504.61","General (101)","Tax Supported","REVENUE"
"2012","General (Non-Departmental)","Balance Sheet General Fund (101-900)","ACCRUED EXPENDITURES (21000)","HEALTH CLUB EMPLOYEE DED. PAYABLE (21330)","0","0","2112.5","General (101)","Tax Supported","REVENUE"
"2012","General (Non-Departmental)","Balance Sheet General Fund (101-900)","ACCRUED EXPENDITURES (21000)","ING 457 PLAN CONTRIBUTIONS (21341)","0","0","-73.2","General (101)","Tax Supported","REVENUE"
"2012","General (Non-Departmental)","Balance Sheet General Fund (101-900)","ACCRUED EXPENDITURES (21000)","LOCAL 1033 PUBLIC EMPLOYEES UNION (21313)","0","0","143.26","General (101)","Tax Supported","REVENUE"
"2012","General (Non-Departmental)","Balance Sheet General Fund (101-900)","ACCRUED EXPENDITURES (21000)","LONG TERM DISABILITY INSURANCE (21429)","0","0","3665.15","General (101)","Tax Supported","REVENUE"
"2012","General (Non-Departmental)","Balance Sheet General Fund (101-900)","ACCRUED EXPENDITURES (21000)","MEDICAL CO-SHARE WITHOLD POST-TAX (21413)","0","0","1038.5999999999999","General (101)","Tax Supported","REVENUE"
"2012","General (Non-Departmental)","Balance Sheet General Fund (101-900)","ACCRUED EXPENDITURES (21000)","MEDICAL CO-SHARE WITHOLD PRE-TAX (21412)","0","0","-3775.97","General (101)","Tax Supported","REVENUE"
"2012","General (Non-Departmental)","Balance Sheet General Fund (101-900)","ACCRUED EXPENDITURES (21000)","PROV FIRE RELIEF ASSOC. (21317)","0","0","10","General (101)","Tax Supported","REVENUE"
"2012","General (Non-Departmental)","Balance Sheet General Fund (101-900)","ACCRUED EXPENDITURES (21000)","PROV LODGE #2-FOP (21307)","0","0","6681.01","General (101)","Tax Supported","REVENUE"
"2012","General (Non-Departmental)","Balance Sheet General Fund (101-900)","ACCRUED EXPENDITURES (21000)","RI  INCOME TAX W/H (21260)","0","0","1311.17","General (101)","Tax Supported","REVENUE"
"2012","General (Non-Departmental)","Balance Sheet General Fund (101-900)","ACCRUED EXPENDITURES (21000)","SECTION 125 CAFETERIA PLANS PAYABLE (21340)","0","0","208.79","General (101)","Tax Supported","REVENUE"
"2012","General (Non-Departmental)","Balance Sheet General Fund (101-900)","ACCRUED EXPENDITURES (21000)","SOCIAL SECURITY TAX W/H (21250)","0","0","-10066.76","General (101)","Tax Supported","REVENUE"
"2012","General (Non-Departmental)","Balance Sheet General Fund (101-900)","ACCRUED EXPENDITURES (21000)","WAGE GARNISHMENTS - WEEKLY (21348)","0","0","1111.2","General (101)","Tax Supported","REVENUE"
"2012","General (Non-Departmental)","Balance Sheet General Fund (101-900)","ACCRUED EXPENDITURES (21000)","WATER FOR PEOPLE (21346)","0","0","25","General (101)","Tax Supported","REVENUE"
"2012","General (Non-Departmental)","Balance Sheet General Fund (101-900)","AMOUNTS HELD FOR OTHERS (21475)","BUY BACK PROGRAM PAYABLE (PPD) (21495)","0","0","15000","General (101)","Tax Supported","REVENUE"
"2012","General (Non-Departmental)","Balance Sheet General Fund (101-900)","AMOUNTS HELD FOR OTHERS (21475)","COMMUNITY HEALTH CHARITIES (21478)","0","0","2","General (101)","Tax Supported","REVENUE"
"2012","Miscellaneous Departments","Bureau of Licenses (101-905)","DEPARTMENTAL REVENUE (43000)","SUNDAY PARKING (43440)","60000","60000","59080","General (101)","Tax Supported","REVENUE"
"2012","General (Non-Departmental)","Balance Sheet General Fund (101-900)","AMOUNTS HELD FOR OTHERS (21475)","WAGE GARNISHMENTS - OTHER THAN WKLY (21485)","0","0","-3690.87","General (101)","Tax Supported","REVENUE"
"2012","General (Non-Departmental)","Balance Sheet General Fund (101-900)","AR TAXES (11000)","EXCISE TAX RECEIVABLE (11200)","0","0","-3288033.67","General (101)","Tax Supported","REVENUE"
"2012","General (Non-Departmental)","Balance Sheet General Fund (101-900)","AR TAXES (11000)","PROPERTY TAX RECEIVABLE (11000)","0","0","-2964362.96","General (101)","Tax Supported","REVENUE"
"2012","General (Non-Departmental)","Balance Sheet General Fund (101-900)","AR TAXES (11000)","TANGIBLE TAX RECEIVABLE (11100)","0","0","951994.74","General (101)","Tax Supported","REVENUE"
"2012","General (Non-Departmental)","Balance Sheet General Fund (101-900)","BOND LOANS AND NOTES PAYABLE (22000)","OTHER PAYABLES (22035)","0","0","48353.55","General (101)","Tax Supported","REVENUE"
"2012","General (Non-Departmental)","Balance Sheet General Fund (101-900)","CASH & FUNDS DUE  TO/FROM OTHER ACCOUNTS (19000)","DUE FROM - 231 (19231)","0","0","-367370.3","General (101)","Tax Supported","REVENUE"
"2012","General (Non-Departmental)","Balance Sheet General Fund (101-900)","CASH & FUNDS DUE  TO/FROM OTHER ACCOUNTS (19000)","DUE FROM - 239 (19239)","0","0","66824.53","General (101)","Tax Supported","REVENUE"
"2012","General (Non-Departmental)","Balance Sheet General Fund (101-900)","CASH & FUNDS DUE  TO/FROM OTHER ACCOUNTS (19000)","DUE FROM - 240 (19240)","0","0","14357.71","General (101)","Tax Supported","REVENUE"
"2012","General (Non-Departmental)","Balance Sheet General Fund (101-900)","CASH & FUNDS DUE  TO/FROM OTHER ACCOUNTS (19000)","DUE FROM - 241 (19241)","0","0","-56764.77","General (101)","Tax Supported","REVENUE"
"2012","General (Non-Departmental)","Balance Sheet General Fund (101-900)","CASH & FUNDS DUE  TO/FROM OTHER ACCOUNTS (19000)","DUE FROM - 242 (19242)","0","0","19865.939999999999","General (101)","Tax Supported","REVENUE"
"2012","General (Non-Departmental)","Balance Sheet General Fund (101-900)","CASH & FUNDS DUE  TO/FROM OTHER ACCOUNTS (19000)","DUE FROM - 245 (19245)","0","0","-90.34","General (101)","Tax Supported","REVENUE"
"2012","General (Non-Departmental)","Balance Sheet General Fund (101-900)","CASH & FUNDS DUE  TO/FROM OTHER ACCOUNTS (19000)","DUE FROM - 246 (19246)","0","0","-520882.64","General (101)","Tax Supported","REVENUE"
"2012","General (Non-Departmental)","Balance Sheet General Fund (101-900)","CASH & FUNDS DUE  TO/FROM OTHER ACCOUNTS (19000)","DUE FROM - 252 (19252)","0","0","-518063.27","General (101)","Tax Supported","REVENUE"
"2012","General (Non-Departmental)","Balance Sheet General Fund (101-900)","CASH & FUNDS DUE  TO/FROM OTHER ACCOUNTS (19000)","DUE FROM - 254 (19254)","0","0","2872.52","General (101)","Tax Supported","REVENUE"
"2012","General (Non-Departmental)","Balance Sheet General Fund (101-900)","CASH & FUNDS DUE  TO/FROM OTHER ACCOUNTS (19000)","DUE FROM - 256 (19256)","0","0","-12020.69","General (101)","Tax Supported","REVENUE"
"2012","General (Non-Departmental)","Balance Sheet General Fund (101-900)","CASH & FUNDS DUE  TO/FROM OTHER ACCOUNTS (19000)","DUE FROM - 258 (19258)","0","0","55463.05","General (101)","Tax Supported","REVENUE"
"2012","General (Non-Departmental)","Balance Sheet General Fund (101-900)","CASH & FUNDS DUE  TO/FROM OTHER ACCOUNTS (19000)","DUE FROM - 260 (19260)","0","0","377306.86","General (101)","Tax Supported","REVENUE"
"2012","General (Non-Departmental)","Balance Sheet General Fund (101-900)","CASH & FUNDS DUE  TO/FROM OTHER ACCOUNTS (19000)","DUE FROM - 261 (19261)","0","0","-244925","General (101)","Tax Supported","REVENUE"
"2012","General (Non-Departmental)","Balance Sheet General Fund (101-900)","CASH & FUNDS DUE  TO/FROM OTHER ACCOUNTS (19000)","DUE FROM - 283 (19283)","0","0","-100532.33","General (101)","Tax Supported","REVENUE"
"2012","Miscellaneous Departments","Bureau of Licenses (101-905)","DEPARTMENTAL REVENUE (43000)","DETECTIVES (43410)","200","200","8110","General (101)","Tax Supported","REVENUE"
"2012","General (Non-Departmental)","Balance Sheet General Fund (101-900)","CASH & FUNDS DUE  TO/FROM OTHER ACCOUNTS (19000)","DUE FROM - 383 (19383)","0","0","-1110374","General (101)","Tax Supported","REVENUE"
"2012","General (Non-Departmental)","Balance Sheet General Fund (101-900)","CASH & FUNDS DUE  TO/FROM OTHER ACCOUNTS (19000)","DUE FROM - 385 (19385)","0","0","561141","General (101)","Tax Supported","REVENUE"
"2012","General (Non-Departmental)","Balance Sheet General Fund (101-900)","CASH & FUNDS DUE  TO/FROM OTHER ACCOUNTS (19000)","DUE FROM - 392 (19392)","0","0","773","General (101)","Tax Supported","REVENUE"
"2012","General (Non-Departmental)","Balance Sheet General Fund (101-900)","CASH & FUNDS DUE  TO/FROM OTHER ACCOUNTS (19000)","DUE FROM - 601 (19601)","0","0","-987554.34","General (101)","Tax Supported","REVENUE"
"2012","General (Non-Departmental)","Balance Sheet General Fund (101-900)","CASH & FUNDS DUE  TO/FROM OTHER ACCOUNTS (19000)","DUE FROM - 657 (19657)","0","0","9847010.5600000005","General (101)","Tax Supported","REVENUE"
"2012","General (Non-Departmental)","Balance Sheet General Fund (101-900)","CASH & FUNDS DUE  TO/FROM OTHER ACCOUNTS (19000)","DUE FROM - 659 (19659)","0","0","-1440.53","General (101)","Tax Supported","REVENUE"
"2012","General (Non-Departmental)","Balance Sheet General Fund (101-900)","CASH & FUNDS DUE  TO/FROM OTHER ACCOUNTS (19000)","DUE FROM - 660 (19660)","0","0","-4675","General (101)","Tax Supported","REVENUE"
"2012","General (Non-Departmental)","Balance Sheet General Fund (101-900)","CASH & FUNDS DUE  TO/FROM OTHER ACCOUNTS (19000)","DUE FROM - 665 (19665)","0","0","-39995.4","General (101)","Tax Supported","REVENUE"
"2012","General (Non-Departmental)","Balance Sheet General Fund (101-900)","CASH & FUNDS DUE  TO/FROM OTHER ACCOUNTS (19000)","DUE FROM - 672 (19672)","0","0","-195.45","General (101)","Tax Supported","REVENUE"
"2012","General (Non-Departmental)","Balance Sheet General Fund (101-900)","CASH & FUNDS DUE  TO/FROM OTHER ACCOUNTS (19000)","DUE FROM - 674 (19674)","0","0","-6757.39","General (101)","Tax Supported","REVENUE"
