"fiscal_year","service","department","program","expense_category","recommended_amount","approved_amount","fund","fund_type","description","expense_type"
"2014","ADMINISTRATION","ADMINISTRATION","GENERAL GOVERNMENTAL","OTHER SERVICES & CHARGES","5000","5000","GENERAL","TAX SUPPORTED FUNDS","COMMUNICATION","OPERATING EXPENSES"
"2012","NON DEPARTMENTAL","NON DEPARTMENTAL","GENERAL GOVERNMENTAL","SALARIES & WAGES","400000","400000","GENERAL","TAX SUPPORTED FUNDS","REGULAR SALARIES & WAGES","PERSONNEL COSTS"
"2016","MULTI-MEDIA SERVICES","IT","INTERNAL SERVICE","OTHER SERVICES & CHARGES","248000","248000","INFORMATION SERVICES","NON-TAX SUPPORTED FUNDS","PROFESSIONAL SERVICES","OPERATING EXPENSES"
"2011","OPERATING TRANSFER OUT","COMMUNITY DEVELOPMENT & PUBLIC WORKS","INTERNAL SERVICE","INTERGOVERNMENTAL/INTERFUND","507000","507000","EQUIPMENT RENTAL","NON-TAX SUPPORTED FUNDS","OPERATING TRANSFERS OUT","OPERATING EXPENSES"
"2013","CAPITAL OUTLAY","COMMUNITY DEVELOPMENT & PUBLIC WORKS","INCREASE IN FIXED ASSETS","PERSONNEL BENEFITS","2829","2829","WATER","NON-TAX SUPPORTED FUNDS","INDUSTRIAL INSURANCE","PERSONNEL COSTS"
"2016","ADMIN GENERAL COSTS","COMMUNITY DEVELOPMENT & PUBLIC WORKS","STORM DRAINAGE","PERSONNEL BENEFITS","19802.62","19802.62","STORM DRAINAGE","NON-TAX SUPPORTED FUNDS","F.I.C.A.","OPERATING EXPENSES"
"2011","ADMINISTRATION","COMMUNITY DEVELOPMENT & PUBLIC WORKS","TRANSPORTATION","INTERFUND PAYMENTS FOR SERVICES","1700","1700","LOCAL STREET FUND","TAX SUPPORTED FUNDS","INTERFUND PRINTING SERVICES","OPERATING EXPENSES"
"2014","ADMINISTRATION","PARKS","CEMETERY","OTHER SERVICES & CHARGES","600","600","CEMETERY","NON-TAX SUPPORTED FUNDS","TRAVEL","OPERATING EXPENSES"
"2013","PLANNING ADMINISTRATION","COMMUNITY DEVELOPMENT & PUBLIC WORKS","ECONOMIC ENVIRONMENT","SUPPLIES","2000","2000","GENERAL","TAX SUPPORTED FUNDS","SMALL TOOLS & MINOR EQUIPMENT","OPERATING EXPENSES"
"2011","PARKS ADMINISTRATION","PARKS","CULTURE AND RECREATION","OTHER SERVICES & CHARGES","3500","3500","GENERAL","TAX SUPPORTED FUNDS","MISCELLANEOUS","OPERATING EXPENSES"
"2013","INVESTIGATION - STATE FUNDS","POLICE","SECURITY OF PERSONS AND PROPERTY","PERSONNEL BENEFITS","9128","9128","DRUG FORFEITURE FUND","NON-TAX SUPPORTED FUNDS","F.I.C.A","PERSONNEL COSTS"
"2010","MULTI-MEDIA SERVICES","IT","INTERNAL SERVICE","SALARIES & WAGES","168800","168800","INFORMATION SERVICES","NON-TAX SUPPORTED FUNDS","REGULAR SALARIES & WAGES","PERSONNEL COSTS"
"2016","ADMIN GENERAL COST","FINANCE","SOLID WASTE","PERSONNEL BENEFITS","24480.71","24480.71","SOLID WASTE","NON-TAX SUPPORTED FUNDS","PENSIONS","PERSONNEL COSTS"
"2013","CIVIL SERVICE COMMISSION","HUMAN RESOURCES","GENERAL GOVERNMENTAL","PERSONNEL BENEFITS","80","80","GENERAL","TAX SUPPORTED FUNDS","INDUSTRIAL INSURANCE","PERSONNEL COSTS"
"2012","SUPPORT SERVICES","POLICE","SECURITY OF PERSONS AND PROPERTY","SUPPLIES","23200","23200","GENERAL","TAX SUPPORTED FUNDS","OFFICE & OPERATING SUPPLIES","OPERATING EXPENSES"
"2016","ENGINEERING/PLANS & SERVICE","COMMUNITY DEVELOPMENT & PUBLIC WORKS","PHYSICAL ENVIRONMENT","SALARIES & WAGES","18000","18000","GENERAL","TAX SUPPORTED FUNDS","OVERTIME","PERSONNEL COSTS"
"2013","FINANCE ADMINISTRATION","FINANCE","GENERAL GOVERNMENTAL","OTHER SERVICES & CHARGES","4000","4000","GENERAL","TAX SUPPORTED FUNDS","MISCELLANEOUS","OPERATING EXPENSES"
"2012","PLANNING ADMINISTRATION","COMMUNITY DEVELOPMENT & PUBLIC WORKS","ECONOMIC ENVIRONMENT","INTERFUND PAYMENTS FOR SERVICES","7100","7100","GENERAL","TAX SUPPORTED FUNDS","INTERFUND OPER RENTALS & LEASE","OPERATING EXPENSES"
"2015","HISTORICAL MUSEUM","PARKS","CULTURE AND RECREATION","SUPPLIES","2000","2000","GENERAL","TAX SUPPORTED FUNDS","FUEL","OPERATING EXPENSES"
"2015","ANIMAL CONTROL","POLICE","PHYSICAL ENVIRONMENT","SUPPLIES","3000","3000","GENERAL","TAX SUPPORTED FUNDS","OFFICE & OPERATING SUPPLIES","OPERATING EXPENSES"
"2015","DEBT SERVICE PRINCIPAL","PARKS","CULTURE AND RECREATION","INTERFUND PAYMENTS FOR SERVICES","12030","12030","GENERAL","TAX SUPPORTED FUNDS","INTERFUND IS SERVICES","OPERATING EXPENSES"
"2015","LEGISLATIVE SERVICES","MAYOR AND COUNCIL","GENERAL GOVERNMENTAL","PERSONNEL BENEFITS","18722.6","18722.6","GENERAL","TAX SUPPORTED FUNDS","MEDICAL & LIFE INSURANCE","PERSONNEL COSTS"
"2015","ADMINISTRATION","HUMAN RESOURCES","GENERAL GOVERNMENTAL","SALARIES & WAGES","22300","22300","GENERAL","TAX SUPPORTED FUNDS","OTHER WAGES","PERSONNEL COSTS"
"2015","ADMINISTRATION","FINANCE","AIRPORT","OTHER SERVICES & CHARGES","4100","4100","AIRPORT","NON-TAX SUPPORTED FUNDS","INSURANCE","OPERATING EXPENSES"
"2015","EQUIPMENT RENTAL","COMMUNITY DEVELOPMENT & PUBLIC WORKS","INTERNAL SERVICE","PERSONNEL BENEFITS","3273.55","3273.55","EQUIPMENT RENTAL","NON-TAX SUPPORTED FUNDS","INDUSTRIAL INSURANCE","PERSONNEL COSTS"
"2015","CAPITAL IMPROVEMENT PROJECTS","FINANCE","CAPITAL OUTLAY","CAPITAL OUTLAY","30000","30000","CAPITAL IMPROVEMENT PROJECTS","TAX SUPPORTED FUNDS","CAPITAL OUTLAY","OPERATING EXPENSES"
"2015","SYSTEMS","IT","INTERNAL SERVICE","OTHER SERVICES & CHARGES","128630","128630","INFORMATION SERVICES","NON-TAX SUPPORTED FUNDS","PROFESSIONAL SERVICES","OPERATING EXPENSES"
"2015","ENGINEERING/PLANS & SERVICE","COMMUNITY DEVELOPMENT & PUBLIC WORKS","PHYSICAL ENVIRONMENT","PERSONNEL BENEFITS","33390.12","33390.12","GENERAL","TAX SUPPORTED FUNDS","INDUSTRIAL INSURANCE","PERSONNEL COSTS"
"2015","DEBT SERVICE INTEREST","NON DEPARTMENTAL","DEBT SERVICE INTEREST PAYMENT","DEBT SERVICE INTEREST","31068","31068","GENERAL","TAX SUPPORTED FUNDS","DEBT SERVICE INTEREST","OPERATING EXPENSES"
"2015","OPERATIONS","FINANCE","SOLID WASTE","OTHER SERVICES & CHARGES","10560600","10560600","SOLID WASTE","NON-TAX SUPPORTED FUNDS","PROFESSIONAL SERVICES","OPERATING EXPENSES"
"2015","DEBT SERVICE INTEREST","PARKS","CEMETERY","DEBT SERVICE INTEREST","0.01","0.01","CEMETERY","NON-TAX SUPPORTED FUNDS","DEBT SERVICE INTEREST","OPERATING EXPENSES"
"2015","SPECIAL EVENTS","PARKS","CULTURE AND RECREATION","OTHER SERVICES & CHARGES","45000","45000","GENERAL","TAX SUPPORTED FUNDS","ADVERTISING","OPERATING EXPENSES"
"2015","CAPITAL OUTLAY","FINANCE","CAPITAL OUTLAY","CAPITAL OUTLAY","247493","247493","CAPITAL IMPROVEMENT PROJECTS","TAX SUPPORTED FUNDS","CAPITAL OUTLAY","OPERATING EXPENSES"
"2015","CAPITAL OUTLAY","COMMUNITY DEVELOPMENT & PUBLIC WORKS","TRANSPORTATION","CAPITAL OUTLAY","350000","350000","ARTERIAL STREET","TAX SUPPORTED FUNDS","LAND","OPERATING EXPENSES"
"2015","DEBT SERVICE PRINCIPAL","NON DEPARTMENTAL","DEBT SERVICE PRINCIPAL PAYMENT","DEBT SERVICE PRINCIPAL","220749","220749","GENERAL","TAX SUPPORTED FUNDS","DEBT SERVICE PRINCIPAL","OPERATING EXPENSES"
"2015","ADMINISTRATION","PARKS","CULTURE AND RECREATION","PERSONNEL BENEFITS","41502","41502","GENERAL","TAX SUPPORTED FUNDS","INDUSTRIAL INSURANCE","PERSONNEL COSTS"
"2015","MUNICIPAL COURT","HUMAN RESOURCES","GENERAL GOVERNMENTAL","INTERGOVERNMENTAL/INTERFUND","1461400","1461400","GENERAL","TAX SUPPORTED FUNDS","KING COUNTY DISTRICT COURT - AUBURN MUNI","OPERATING EXPENSES"
"2015","CAPITAL OUTLAY","COMMUNITY DEVELOPMENT & PUBLIC WORKS","TRANSPORTATION","CAPITAL OUTLAY","19358180","19358180","ARTERIAL STREET","TAX SUPPORTED FUNDS","CAPITAL OUTLAY","OPERATING EXPENSES"
"2015","ENGINEERING/PLANS & SERVICE","COMMUNITY DEVELOPMENT & PUBLIC WORKS","PHYSICAL ENVIRONMENT","OTHER SERVICES & CHARGES","107960","107960","GENERAL","TAX SUPPORTED FUNDS","PROFESSIONAL SERVICES","OPERATING EXPENSES"
"2015","ADMINISTRATION","NON DEPARTMENTAL","SECURITY OF PERSONS AND PROPERTY","SALARIES & WAGES","112305","112305","GENERAL","TAX SUPPORTED FUNDS","REGULAR SALARIES & WAGES","PERSONNEL COSTS"
"2015","OPERATING TRANSFER OUT","NON DEPARTMENTAL","TRANSFERS-OUT","INTERGOVERNMENTAL/INTERFUND","3514748.37","3514748.37","GENERAL","TAX SUPPORTED FUNDS","OPERATING TRANSFERS OUT","OPERATING EXPENSES"
"2015","SPECIAL UNITS","POLICE","SECURITY OF PERSONS AND PROPERTY","OTHER SERVICES & CHARGES","1400","1400","GENERAL","TAX SUPPORTED FUNDS","COMMUNICATION","OPERATING EXPENSES"
"2015","ADMINISTRATION","PARKS","CULTURE AND RECREATION","PERSONNEL BENEFITS","164212.3","164212.3","GENERAL","TAX SUPPORTED FUNDS","F.I.C.A.","OPERATING EXPENSES"
"2015","ADMINISTRATION","FINANCE","GENERAL GOVERNMENTAL","PERSONNEL BENEFITS","19241.21","19241.21","GENERAL","TAX SUPPORTED FUNDS","PENSIONS","PERSONNEL COSTS"
"2015","ADMINISTRATION","PARKS","CULTURE AND RECREATION","SALARIES & WAGES","166574","166574","GENERAL","TAX SUPPORTED FUNDS","OTHER WAGES","PERSONNEL COSTS"
"2015","ADMINISTRATION","PARKS","CULTURE AND RECREATION","PERSONNEL BENEFITS","488931.83","488931.83","GENERAL","TAX SUPPORTED FUNDS","MEDICAL & LIFE INSURANCE","PERSONNEL COSTS"
"2015","CAPITAL OUTLAY","PARKS","CAPITAL OUTLAY","CAPITAL OUTLAY","19492","19492","GENERAL","TAX SUPPORTED FUNDS","MACHINERY & EQUIPMENT","OPERATING EXPENSES"
"2015","ENGINEERING/PLANS & SERVICE","COMMUNITY DEVELOPMENT & PUBLIC WORKS","PHYSICAL ENVIRONMENT","PERSONNEL BENEFITS","307490.68","307490.68","GENERAL","TAX SUPPORTED FUNDS","MEDICAL & LIFE INSURANCE","PERSONNEL COSTS"
"2015","ADMINISTRATION","COMMUNITY DEVELOPMENT & PUBLIC WORKS","INTERNAL SERVICE","PERSONNEL BENEFITS","5718.87","5718.87","EQUIPMENT RENTAL","NON-TAX SUPPORTED FUNDS","PENSIONS","PERSONNEL COSTS"
"2015","ENGINEERING/PLANS & SERVICE","COMMUNITY DEVELOPMENT & PUBLIC WORKS","PHYSICAL ENVIRONMENT","PERSONNEL BENEFITS","114066.74","114066.74","GENERAL","TAX SUPPORTED FUNDS","F.I.C.A.","OPERATING EXPENSES"
"2010","PERSONNEL","HUMAN RESOURCES","GENERAL GOVERNMENTAL","SALARIES & WAGES","800","800","GENERAL","TAX SUPPORTED FUNDS","OVERTIME","PERSONNEL COSTS"
"2015","CAPITAL OUTLAY","COMMUNITY DEVELOPMENT & PUBLIC WORKS","TRANSPORTATION","CAPITAL OUTLAY","5593221","5593221","ARTERIAL STREET PRESERVATION","TAX SUPPORTED FUNDS","CAPITAL OUTLAY","OPERATING EXPENSES"
"2015","OPERATIONS","POLICE","SECURITY OF PERSONS AND PROPERTY","PERSONNEL BENEFITS","374375.63","374375.63","GENERAL","TAX SUPPORTED FUNDS","PENSIONS","PERSONNEL COSTS"
"2015","SPECIAL EVENTS","PARKS","CULTURE AND RECREATION","OTHER SERVICES & CHARGES","94200","94200","GENERAL","TAX SUPPORTED FUNDS","PROFESSIONAL SERVICES","OPERATING EXPENSES"
"2015","ADMINISTRATION","NON DEPARTMENTAL","SECURITY OF PERSONS AND PROPERTY","PERSONNEL BENEFITS","3538","3538","GENERAL","TAX SUPPORTED FUNDS","F.I.C.A.","OPERATING EXPENSES"
"2015","ADMINISTRATION","NON DEPARTMENTAL","SECURITY OF PERSONS AND PROPERTY","PERSONNEL BENEFITS","489","489","GENERAL","TAX SUPPORTED FUNDS","PENSIONS","PERSONNEL COSTS"
"2015","CAPITAL OUTLAY","COMMUNITY DEVELOPMENT & PUBLIC WORKS","INCREASE IN FIXED ASSETS","CAPITAL OUTLAY","2301718.75","2301718.75","EQUIPMENT RENTAL","NON-TAX SUPPORTED FUNDS","MACHINERY & EQUIPMENT","OPERATING EXPENSES"
"2015","INVESTIGATIONS","POLICE","SECURITY OF PERSONS AND PROPERTY","OTHER SERVICES & CHARGES","14500","14500","GENERAL","TAX SUPPORTED FUNDS","TRAVEL","OPERATING EXPENSES"
"2015","ADMINISTRATION","FINANCE","GENERAL GOVERNMENTAL","PERSONNEL BENEFITS","41670.05","41670.05","GENERAL","TAX SUPPORTED FUNDS","HEALTH INSURANCE","OPERATING EXPENSES"
"2015","ADMINISTRATION","NON DEPARTMENTAL","GENERAL GOVERNMENTAL","PERSONNEL BENEFITS","2400","2400","GENERAL","TAX SUPPORTED FUNDS","F.I.C.A.","OPERATING EXPENSES"
"2015","CAPITAL OUTLAY","PARKS","CAPITAL OUTLAY","CAPITAL OUTLAY","4381286","4381286","MUNICIPAL PARK CONSTRUCTION","TAX SUPPORTED FUNDS","CAPITAL OUTLAY","OPERATING EXPENSES"
"2015","TOURISM","FINANCE","ECONOMIC ENVIRONMENT","OTHER SERVICES & CHARGES","105000","105000","HOTEL/MOTEL TAX FUND","TAX SUPPORTED FUNDS","PROFESSIONAL SERVICES","OPERATING EXPENSES"
"2015","CAPITAL OUTLAY","COMMUNITY DEVELOPMENT & PUBLIC WORKS","TRANSPORTATION","OTHER SERVICES & CHARGES","273600","273600","ARTERIAL STREET","TAX SUPPORTED FUNDS","PROFESSIONAL SERVICES","OPERATING EXPENSES"
"2015","CAPITAL OUTLAY","IT","INCREASE IN FIXED ASSETS","CAPITAL OUTLAY","928190.06","928190.06","INFORMATION SERVICES","NON-TAX SUPPORTED FUNDS","MACHINERY & EQUIPMENT","OPERATING EXPENSES"
"2015","BUDGET, ACCT & AUDITING","FINANCE","GENERAL GOVERNMENTAL","PERSONNEL BENEFITS","117107.08","117107.08","GENERAL","TAX SUPPORTED FUNDS","HEALTH INSURANCE","OPERATING EXPENSES"
"2015","CAPITAL OUTLAY","FINANCE","CAPITAL OUTLAY","CAPITAL OUTLAY","177660","177660","CAPITAL IMPROVEMENT PROJECTS","TAX SUPPORTED FUNDS","CAPITAL OUTLAY","OPERATING EXPENSES"
"2015","ENGINEERING/PLANS & SERVICE","COMMUNITY DEVELOPMENT & PUBLIC WORKS","PHYSICAL ENVIRONMENT","PERSONNEL BENEFITS","179697.1","179697.1","GENERAL","TAX SUPPORTED FUNDS","PENSIONS","PERSONNEL COSTS"
"2015","INVESTIGATIONS","POLICE","SECURITY OF PERSONS AND PROPERTY","OTHER SERVICES & CHARGES","12200","12200","GENERAL","TAX SUPPORTED FUNDS","COMMUNICATION","OPERATING EXPENSES"
"2015","INVESTIGATIONS","POLICE","SECURITY OF PERSONS AND PROPERTY","PERSONNEL BENEFITS","109047.69","109047.69","GENERAL","TAX SUPPORTED FUNDS","PENSIONS","PERSONNEL COSTS"
"2015","ADMINISTRATION","POLICE","SECURITY OF PERSONS AND PROPERTY","OTHER SERVICES & CHARGES","138000","138000","GENERAL","TAX SUPPORTED FUNDS","PROFESSIONAL SERVICES","OPERATING EXPENSES"
"2015","ADMINISTRATION","NON DEPARTMENTAL","GENERAL GOVERNMENTAL","SALARIES & WAGES","45900","45900","GENERAL","TAX SUPPORTED FUNDS","REGULAR SALARIES & WAGES","PERSONNEL COSTS"
"2015","OPERATIONS","POLICE","SECURITY OF PERSONS AND PROPERTY","PERSONNEL BENEFITS","1685761.46","1685761.46","GENERAL","TAX SUPPORTED FUNDS","HEALTH INSURANCE","OPERATING EXPENSES"
"2015","DEBT SERVICE PRINCIPAL","COMMUNITY DEVELOPMENT & PUBLIC WORKS","DEBT SERVICE PRINCIPAL PAYMENT","DEBT SERVICE PRINCIPAL","197377","197377","ARTERIAL STREET","TAX SUPPORTED FUNDS","INTERGOVERNMENTAL","OPERATING EXPENSES"
"2015","TRANSPORTATION IMPACT FEES","FINANCE","TRANSFERS-OUT","INTERGOVERNMENTAL/INTERFUND","3106008","3106008","MITIGATION FEES","NON-TAX SUPPORTED FUNDS","OPERATING TRANSFERS OUT","OPERATING EXPENSES"
"2015","INVESTIGATIONS","POLICE","SECURITY OF PERSONS AND PROPERTY","SALARIES & WAGES","1948527.7","1948527.7","GENERAL","TAX SUPPORTED FUNDS","REGULAR SALARIES & WAGES","PERSONNEL COSTS"
"2015","CAPITAL OUTLAY","FINANCE","CAPITAL OUTLAY","CAPITAL OUTLAY","92955","92955","CAPITAL IMPROVEMENT PROJECTS","TAX SUPPORTED FUNDS","LAND","OPERATING EXPENSES"
"2015","AUBURN GOLF COURSE OPERATIONS","PARKS","CULTURE AND RECREATION","SALARIES & WAGES","96080","96080","GENERAL","TAX SUPPORTED FUNDS","OTHER WAGES","PERSONNEL COSTS"
"2015","SYSTEMS","IT","INTERNAL SERVICE","OTHER SERVICES & CHARGES","1257132","1257132","INFORMATION SERVICES","NON-TAX SUPPORTED FUNDS","REPAIRS & MAINTENANCE","OPERATING EXPENSES"
"2015","ENGINEERING/PLANS & SERVICE","COMMUNITY DEVELOPMENT & PUBLIC WORKS","PHYSICAL ENVIRONMENT","SALARIES & WAGES","1339419.1","1339419.1","GENERAL","TAX SUPPORTED FUNDS","REGULAR SALARIES & WAGES","PERSONNEL COSTS"
"2015","PUBLIC SERVICES","ADMINISTRATION","MENTAL AND PHYSICAL HEALTH","SALARIES & WAGES","58200","58200","GENERAL","TAX SUPPORTED FUNDS","OTHER WAGES","PERSONNEL COSTS"
"2015","BUDGET, ACCT & AUDITING","FINANCE","GENERAL GOVERNMENTAL","PERSONNEL BENEFITS","50519.7","50519.7","GENERAL","TAX SUPPORTED FUNDS","PENSIONS","PERSONNEL COSTS"
"2015","ADMINISTRATION","COMMUNITY DEVELOPMENT & PUBLIC WORKS","INTERNAL SERVICE","PERSONNEL BENEFITS","11200.55","11200.55","EQUIPMENT RENTAL","NON-TAX SUPPORTED FUNDS","MEDICAL & LIFE INSURANCE","PERSONNEL COSTS"
"2015","OPERATIONS","POLICE","SECURITY OF PERSONS AND PROPERTY","OTHER SERVICES & CHARGES","80400","80400","GENERAL","TAX SUPPORTED FUNDS","COMMUNICATION","OPERATING EXPENSES"
"2015","SERVICES - PROGRAMS","PARKS","CULTURE AND RECREATION","SUPPLIES","117500","117500","GENERAL","TAX SUPPORTED FUNDS","OFFICE & OPERATING SUPPLIES","OPERATING EXPENSES"
"2015","REET 2","FINANCE","TRANSFERS-OUT","INTERGOVERNMENTAL/INTERFUND","1270397","1270397","CAPITAL IMPROVEMENT PROJECTS","TAX SUPPORTED FUNDS","OPERATING TRANSFERS OUT","OPERATING EXPENSES"
"2015","ADMINISTRATION","NON DEPARTMENTAL","TRANSPORTATION","PERSONNEL BENEFITS","700","700","GENERAL","TAX SUPPORTED FUNDS","F.I.C.A","PERSONNEL COSTS"
"2015","OPERATING TRANSFER OUT","FINANCE","TRANSFERS-OUT","INTERGOVERNMENTAL/INTERFUND","449.41","449.41","LID #250","NON-TAX SUPPORTED FUNDS","OPERATING TRANSFERS OUT","OPERATING EXPENSES"
"2015","CAPITAL OUTLAY","PARKS","INCREASE IN FIXED ASSETS","CAPITAL OUTLAY","30000","30000","CEMETERY","NON-TAX SUPPORTED FUNDS","IMPROVEMENTS OTHER THAN BLDG.","OPERATING EXPENSES"
"2015","ADMINISTRATION","FINANCE","GENERAL GOVERNMENTAL","SALARIES & WAGES","177459.18","177459.18","GENERAL","TAX SUPPORTED FUNDS","REGULAR SALARIES & WAGES","PERSONNEL COSTS"
"2015","ADMINISTRATION","FINANCE","GENERAL GOVERNMENTAL","PERSONNEL BENEFITS","12312.17","12312.17","GENERAL","TAX SUPPORTED FUNDS","F.I.C.A.","OPERATING EXPENSES"
"2015","ADMINISTRATION","COMMUNITY DEVELOPMENT & PUBLIC WORKS","INTERNAL SERVICE","SALARIES & WAGES","52710.33","52710.33","EQUIPMENT RENTAL","NON-TAX SUPPORTED FUNDS","REGULAR SALARIES & WAGES","PERSONNEL COSTS"
"2015","INVESTIGATIONS","POLICE","SECURITY OF PERSONS AND PROPERTY","PERSONNEL BENEFITS","172338.21","172338.21","GENERAL","TAX SUPPORTED FUNDS","F.I.C.A.","OPERATING EXPENSES"
"2015","ADMINISTRATION","FINANCE","GENERAL GOVERNMENTAL","PERSONNEL BENEFITS","622.89","622.89","GENERAL","TAX SUPPORTED FUNDS","INDUSTRIAL INSURANCE","PERSONNEL COSTS"
"2014","PARKS ADMINISTRATION","PARKS","CULTURE AND RECREATION","OTHER SERVICES & CHARGES","1500","1500","GENERAL","TAX SUPPORTED FUNDS","TRAVEL","OPERATING EXPENSES"
"2015","BUDGET, ACCT & AUDITING","FINANCE","GENERAL GOVERNMENTAL","SALARIES & WAGES","465539.49","465539.49","GENERAL","TAX SUPPORTED FUNDS","REGULAR SALARIES & WAGES","PERSONNEL COSTS"
"2015","OPERATING TRANSFER OUT","FINANCE","TRANSFERS-OUT","INTERGOVERNMENTAL/INTERFUND","2212340","2212340","CAPITAL IMPROVEMENT PROJECTS","TAX SUPPORTED FUNDS","OPERATING TRANSFERS OUT","OPERATING EXPENSES"
"2015","CULTURAL ARTS","PARKS","CULTURE AND RECREATION","OTHER SERVICES & CHARGES","238008","238008","GENERAL","TAX SUPPORTED FUNDS","PROFESSIONAL SERVICES","OPERATING EXPENSES"
"2015","ADMINISTRATION","COMMUNITY DEVELOPMENT & PUBLIC WORKS","INTERNAL SERVICE","PERSONNEL BENEFITS","3818.64","3818.64","EQUIPMENT RENTAL","NON-TAX SUPPORTED FUNDS","F.I.C.A.","OPERATING EXPENSES"
"2015","DEBT SERVICE PRINCIPAL","PARKS","CULTURE AND RECREATION","SUPPLIES","14500","14500","GENERAL","TAX SUPPORTED FUNDS","SMALL TOOLS & MINOR EQUIPMENT","OPERATING EXPENSES"
"2015","ADMINISTRATION","NON DEPARTMENTAL","TRANSPORTATION","SALARIES & WAGES","9300","9300","GENERAL","TAX SUPPORTED FUNDS","REGULAR SALARIES & WAGES","PERSONNEL COSTS"
"2015","INVESTIGATIONS","POLICE","SECURITY OF PERSONS AND PROPERTY","PERSONNEL BENEFITS","438404.66","438404.66","GENERAL","TAX SUPPORTED FUNDS","HEALTH INSURANCE","OPERATING EXPENSES"
"2015","ADMINISTRATION","COMMUNITY DEVELOPMENT & PUBLIC WORKS","INTERNAL SERVICE","PERSONNEL BENEFITS","211.27","211.27","EQUIPMENT RENTAL","NON-TAX SUPPORTED FUNDS","INDUSTRIAL INSURANCE","PERSONNEL COSTS"
"2015","ADMINISTRATION","PARKS","CULTURE AND RECREATION","PERSONNEL BENEFITS","193287.99","193287.99","GENERAL","TAX SUPPORTED FUNDS","PENSIONS","PERSONNEL COSTS"
"2015","BUDGET, ACCT & AUDITING","FINANCE","GENERAL GOVERNMENTAL","PERSONNEL BENEFITS","2257.62","2257.62","GENERAL","TAX SUPPORTED FUNDS","INDUSTRIAL INSURANCE","PERSONNEL COSTS"
"2015","OPERATIONS","POLICE","SECURITY OF PERSONS AND PROPERTY","PERSONNEL BENEFITS","603767.24","603767.24","GENERAL","TAX SUPPORTED FUNDS","F.I.C.A.","OPERATING EXPENSES"
"2015","SYSTEMS","IT","INTERNAL SERVICE","OTHER SERVICES & CHARGES","643590","643590","INFORMATION SERVICES","NON-TAX SUPPORTED FUNDS","MISCELLANEOUS","OPERATING EXPENSES"
"2015","CAPITAL OUTLAY","FINANCE","CAPITAL OUTLAY","CAPITAL OUTLAY","637569","637569","CAPITAL IMPROVEMENT PROJECTS","TAX SUPPORTED FUNDS","CAPITAL OUTLAY","OPERATING EXPENSES"
"2015","NON DEPARTMENTAL","NON DEPARTMENTAL","GENERAL GOVERNMENTAL","OTHER SERVICES & CHARGES","318689","318689","GENERAL","TAX SUPPORTED FUNDS","MISCELLANEOUS","OPERATING EXPENSES"
"2015","OPERATIONS","POLICE","SECURITY OF PERSONS AND PROPERTY","PERSONNEL BENEFITS","216807.97","216807.97","GENERAL","TAX SUPPORTED FUNDS","INDUSTRIAL INSURANCE","PERSONNEL COSTS"
