"loanrange","businessname","address","city","state","zip","naicscode","businesstype","raceethnicity","gender","veteran","nonprofit","jobsreported","dateapproved","lender","cd","location"
"e $150,000-350,000","SEATTLE MECHANICAL, INC.","899 West Main St","AUBURN","WA","98001","238220","Corporation","Unanswered","Unanswered","Unanswered",,"10","2020-04-11T00:00:00.000","KeyBank National Association","WA-09","POINT (-122.240513 47.307781)"
"b $2-5 million","THE DANNER CORPORATION","307 Oravetz PL SE","AUBURN","WA","98092","326199","Corporation","Unanswered","Unanswered","Unanswered",,"179","2020-04-27T00:00:00.000","U.S. Bank, National Association","WA-08","POINT (-122.227747 47.264774)"
"d $350,000-1 million","GROUND EFFECTS LANDSCAPING INC","302 WESTERN AVE","AUBURN","WA","98001","561730","Corporation","Unanswered","Male Owned","Non-Veteran",,"54","2020-05-03T00:00:00.000","Bank of America, National Association","WA-09","POINT (-122.243364 47.309619)"
"e $150,000-350,000","CONRAD MANUFACTURING HOLDINGS  LLC","4156 B Place NW","AUBURN","WA","98001","326199","Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered",,"15","2020-04-10T00:00:00.000","1st Security Bank of Washington","WA-09","POINT (-122.230737 47.343402)"
"e $150,000-350,000","GRANDVIEW VILLAGE, INC","2020 A STSE STE 101","AUBURN","WA","98002","623312","Corporation","Unanswered","Unanswered","Non-Veteran",,,"2020-04-28T00:00:00.000","Columbia State Bank","WA-08","POINT (-122.228938 47.290208)"
"e $150,000-350,000","MOSBY BROTHERS FARMS, INC.","12754 SE  GREEN VALLEY ROAD","AUBURN","WA","98092","423820","Corporation","Unanswered","Unanswered","Unanswered",,"35","2020-04-10T00:00:00.000","KeyBank National Association","WA-08","POINT (-122.171141 47.289219)"
"e $150,000-350,000","PACIFIC HEALTHCARE GROUP","4150 B PLACE NW STE 101","AUBURN","WA","98001","621610","Corporation","Unanswered","Unanswered","Unanswered",,,"2020-05-03T00:00:00.000","Wells Fargo Bank, National Association","WA-09","POINT (-122.230119 47.343409)"
"d $350,000-1 million","CUSTOM ELECTRICAL SERVICES LLC","3802 AUBURN WAY N STE 307","AUBURN","WA","98002","238210","Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered",,"36","2020-05-01T00:00:00.000","JPMorgan Chase Bank, National Association","WA-08","POINT (-122.222329 47.341398)"
"c $1-2 million","SOFA INC","3025 AUBURN WAY N","AUBURN","WA","98002","441110","Subchapter S Corporation","Unanswered","Unanswered","Unanswered",,"90","2020-04-13T00:00:00.000","Bank of America, National Association","WA-08","POINT (-122.222294 47.335248)"
"d $350,000-1 million","BLOOD BANK COMPUTER SYSTEMS, INC.","1002 15th St SW Suite 120","Auburn","WA","98001","541511","Corporation","Unanswered","Unanswered","Unanswered",,"0","2020-04-27T00:00:00.000","Live Oak Banking Company","WA-09","POINT (-122.243042 47.295669)"
"c $1-2 million","SORAYA MOTOR CO.","2605 Auburn Way N","AUBURN","WA","98002","441110","Subchapter S Corporation","Unanswered","Unanswered","Unanswered",,"100","2020-04-12T00:00:00.000","KeyBank National Association","WA-08","POINT (-122.221563 47.330044)"
"d $350,000-1 million","EXACT AEROSPACE, INC.","3104 C St Ne Ste 200","AUBURN","WA","98002","321999","Subchapter S Corporation","Unanswered","Unanswered","Unanswered",,"35","2020-04-27T00:00:00.000","FinWise Bank","WA-08","POINT (-122.226565 47.334775)"
"c $1-2 million","ADVANCED TRAFFIC CONTROL LLC","4240 B Street","AUBURN","WA","98001","237310","Limited  Liability Company(LLC)","Hispanic","Male Owned","Non-Veteran",,,"2020-04-28T00:00:00.000","Columbia State Bank","WA-09","POINT (-122.232327 47.345066)"
"e $150,000-350,000","PACE MATERIAL HANDLING, INC.","3904 B ST NW","AUBURN","WA","98001","423830","Subchapter S Corporation","Unanswered","Unanswered","Unanswered",,"15","2020-04-27T00:00:00.000","Commencement Bank","WA-09","POINT (-122.232302 47.341533)"
"e $150,000-350,000","ACCESS HEALTHCARE, PLLC DBA ACCESS URGENT FAMILY HEALTH CARE","1402 LAKE TAPPS PKWY SE STE F106","AUBURN","WA","98092","623312","Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered",,"8","2020-05-01T00:00:00.000","JPMorgan Chase Bank, National Association","WA-08","POINT (-122.208989 47.245366)"
"e $150,000-350,000","AUBURN VALLEY COLLISION INC","3128 Auburn Way N","AUBURN","WA","98002","811111","Subchapter S Corporation","Unanswered","Unanswered","Unanswered",,"0","2020-04-30T00:00:00.000","Banner Bank","WA-08","POINT (-122.222298 47.335533)"
"e $150,000-350,000","RIVERSIDE EAST","2020 A ST SE STE 101","AUBURN","WA","98002","531110","Corporation","Unanswered","Unanswered","Unanswered",,,"2020-04-28T00:00:00.000","Columbia State Bank","WA-08","POINT (-122.228938 47.290208)"
"e $150,000-350,000","HOLY FAMILY PARISH","505 17th ST SE","AUBURN","WA","98002","813211","Non-Profit Organization","Unanswered","Unanswered","Unanswered","true",,"2020-04-29T00:00:00.000","Columbia State Bank","WA-08","POINT (-122.222663 47.293644)"
"e $150,000-350,000","PARTEMS TRUCKING INC","11309 SE 296TH ST","AUBURN","WA","98092",,"Corporation","Unanswered","Unanswered","Unanswered",,"5","2020-05-01T00:00:00.000","JPMorgan Chase Bank, National Association","WA-08","POINT (-122.190433 47.336769)"
"c $1-2 million","KNIGHT TRANSPORT LLC","1016 WEST MAIN ST","AUBURN","WA","98001","484110","Limited  Liability Company(LLC)","White","Male Owned","Non-Veteran",,"78","2020-04-15T00:00:00.000","HomeStreet Bank","WA-09","POINT (-122.24344 47.307878)"
"d $350,000-1 million","DOYON PROJECT SERVICES, LLC","3450 S 344th Way","AUBURN","WA","98001","561210","Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered",,"20","2020-04-27T00:00:00.000","KeyBank National Association","WA-09","POINT (-122.290526 47.292402)"
"d $350,000-1 million","SALON PARENTE INC","5309 S 382ND ST","AUBURN","WA","98001","812112","Corporation","Unanswered","Female Owned","Non-Veteran",,"56","2020-05-12T00:00:00.000","Commencement Bank","WA-09","POINT (-122.268654 47.258714)"
"e $150,000-350,000","GRACE COMMUNITY CHURCH","1320 Auburn Way S","AUBURN","WA","98002","813110","Non-Profit Organization","Unanswered","Unanswered","Unanswered","true","20","2020-04-09T00:00:00.000","Union Bank and Trust Company","WA-08","POINT (-122.216376 47.296353)"
"d $350,000-1 million","GUARDIAN OPERATIONS LLC","1400 W Main St","AUBURN","WA","98001","238160","Limited  Liability Company(LLC)","Unanswered","Male Owned","Non-Veteran",,"82","2020-04-11T00:00:00.000","KeyBank National Association","WA-09","POINT (-122.247437 47.308364)"
"d $350,000-1 million","OLIVER MARKETING, INC.","49 37th St NW","AUBURN","WA","98001","484110","Corporation","White","Male Owned","Non-Veteran",,,"2020-04-14T00:00:00.000","KeyBank National Association","WA-09","POINT (-122.231628 47.340081)"
"c $1-2 million","WASHINTON CEDAR & SUPPLY CO","1400 W MAIN ST","AUBURN","WA","98001","423330","Corporation","Unanswered","Male Owned","Unanswered",,"102","2020-04-10T00:00:00.000","Harborstone CU","WA-09","POINT (-122.247437 47.308364)"
"e $150,000-350,000","TYEE CEDAR AND LUMBER CO.","3737 A ST se","AUBURN","WA","98002","444190","Corporation","Unanswered","Unanswered","Unanswered",,"21","2020-04-10T00:00:00.000","Commencement Bank","WA-08","POINT (-122.228863 47.274764)"
"e $150,000-350,000","JLB1227 INC","102 Cross st SE","AUBURN","WA","98002","445110","Subchapter S Corporation","Unanswered","Unanswered","Unanswered",,"34","2020-04-13T00:00:00.000","KeyBank National Association","WA-08","POINT (-122.22723 47.304476)"
"e $150,000-350,000","NUMATIC FINISHING CORPORATION","3132 C ST","AUBURN","WA","98002","238350","Corporation","White","Female Owned","Unanswered",,"34","2020-04-15T00:00:00.000","Vibrant CU","WA-08","POINT (-122.226567 47.335301)"
"e $150,000-350,000","SUMMIT PACKAGING, INC.","1401 West Valley HWY N","AUBURN","WA","98001","524130","Corporation","Unanswered","Male Owned","Non-Veteran",,"0","2020-04-12T00:00:00.000","Heritage Bank","WA-09","POINT (-122.249865 47.321036)"
"d $350,000-1 million","UTILITY TRAILER & EQUIPMENT SALES NORTRHWEST LLC","904 W MAIN ST","AUBURN","WA","98001","423110","Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered",,,"2020-04-15T00:00:00.000","Columbia State Bank","WA-09","POINT (-122.240357 47.307776)"
"e $150,000-350,000","AUBURN COLLISION INC","233 W Main St Auburn Collision","AUBURN","WA","98001","811121","Subchapter S Corporation","Unanswered","Male Owned","Non-Veteran",,"15","2020-04-16T00:00:00.000","JPMorgan Chase Bank, National Association","WA-09","POINT (-122.232764 47.30753)"
"d $350,000-1 million","PIPE CONSTRUCTION, INC.","19431 SE 336TH ST","AUBURN","WA","98092","238210","Subchapter S Corporation","Unanswered","Unanswered","Unanswered",,"17","2020-04-27T00:00:00.000","Northwest Bank","WA-08","POINT (-122.082561 47.30121)"
"e $150,000-350,000","FALCON FREIGHT SERVICES LLC","5623 CHARLOTTE AVE SE","AUBURN","WA","98092","488999","Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered",,"57","2020-05-03T00:00:00.000","Bank of America, National Association","WA-08","POINT (-122.195713 47.258099)"
"d $350,000-1 million","INTERNATIONAL BELT & RUBBER SUPPLY, INC.","4132 B PL NW","AUBURN","WA","98001","423140","Subchapter S Corporation","Unanswered","Unanswered","Unanswered",,"46","2020-04-30T00:00:00.000","Umpqua Bank","WA-09","POINT (-122.229179 47.343419)"
"e $150,000-350,000","VISION MOTOR SPORTS INC","1601 BOUNDARY BLVD","AUBURN","WA","98001","423610","Corporation","Unanswered","Unanswered","Unanswered",,"16","2020-05-03T00:00:00.000","Bank of America, National Association","WA-09","POINT (-122.246889 47.293607)"
"e $150,000-350,000","BORETEC 1 INC.","32211 180th Ave SE","AUBURN","WA","98092","561990","Corporation","Unanswered","Unanswered","Unanswered",,"15","2020-05-01T00:00:00.000","JPMorgan Chase Bank, National Association","WA-08","POINT (-122.104004 47.312873)"
"d $350,000-1 million","R. W. SCOTT CONSTRUCTION CO.","4005 WEST VALLEY HWY N","AUBURN","WA","98001","237110","Corporation","Unanswered","Unanswered","Unanswered",,"23","2020-06-25T00:00:00.000","KeyBank National Association","WA-09","POINT (-122.249786 47.343173)"
"e $150,000-350,000","BRANNAN ASSOCIATES, LLC","2020 A ST SE Ste 101","AUBURN","WA","98002","531110","Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered",,,"2020-04-28T00:00:00.000","Columbia State Bank","WA-08","POINT (-122.228938 47.290208)"
"e $150,000-350,000","AMBIENT CONTROL COMPANY, INC.","1411 R ST NW","AUBURN","WA","98001","238220","Corporation","Asian","Male Owned","Unanswered",,"0","2020-04-11T00:00:00.000","Heritage Bank","WA-09","POINT (-122.253938 47.32153)"
"a $5-10 million","SKILLS INC","715 30th Street NE","AUBURN","WA","98002","624310","Non-Profit Organization","Unanswered","Unanswered","Unanswered","true","420","2020-04-14T00:00:00.000","Umpqua Bank","WA-08","POINT (-122.220364 47.333898)"
"d $350,000-1 million","NFI ENTERPRISES, LLC","2536 AUBURN WAY North","AUBURN","WA","98002","238330","Limited  Liability Company(LLC)","White","Male Owned","Non-Veteran",,"0","2020-04-27T00:00:00.000","Timberland Bank","WA-08","POINT (-122.221557 47.329437)"
"e $150,000-350,000","SOLEI DAY SPA LLC","1418 Lake Tapps Pkwy SE","AUBURN","WA","98092","812199","Limited  Liability Company(LLC)","White","Male Owned","Non-Veteran",,"25","2020-04-12T00:00:00.000","KeyBank National Association","WA-08","POINT (-122.209026 47.245349)"
"b $2-5 million","HOSPITAL CENTRAL SERVICES ASSOCIATION","1600 M Street NW","AUBURN","WA","98001","812331","Corporation","Unanswered","Unanswered","Unanswered",,"309","2020-04-10T00:00:00.000","Washington Federal Bank, National Association","WA-09","POINT (-122.243785 47.323646)"
"d $350,000-1 million","INFINITY METAL SPINNING LLC","316 Ellingson Rd","Auburn","WA","98001","332999","Limited  Liability Company(LLC)","White","Male Owned","Non-Veteran",,"0","2020-04-27T00:00:00.000","Coastal Community Bank","WA-09","POINT (-122.244148 47.271861)"
"e $150,000-350,000","AMERICAN ABATEMENT & DEMO, LLC","18855 SE Auburn Black Diamond Rd","AUBURN","WA","98092","562910","Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered",,"12","2020-04-09T00:00:00.000","KeyBank National Association","WA-08","POINT (-122.089568 47.308409)"
"d $350,000-1 million","PROPET USA INC","2415 West VALLEY HWY N","AUBURN","WA","98001","424340","Corporation","Unanswered","Female Owned","Non-Veteran",,"65","2020-04-09T00:00:00.000","East West Bank","WA-09","POINT (-122.249839 47.328842)"
"e $150,000-350,000","SCHILLING CIDER, LLC","4402 D St NW STE 101","AUBURN","WA","98001","312130","Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered",,"15","2020-04-10T00:00:00.000","KeyBank National Association","WA-09","POINT (-122.235322 47.347227)"
"e $150,000-350,000","VILLAGE CONCEPTS LLC","2020 A ST SE Ste 101","AUBURN","WA","98002","541214","Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered",,,"2020-04-28T00:00:00.000","Columbia State Bank","WA-08","POINT (-122.228938 47.290208)"
"d $350,000-1 million","THERMALINE, INC","1531 14TH ST NW","AUBURN","WA","98001","333318","Corporation","Unanswered","Male Owned","Non-Veteran",,"39","2020-04-15T00:00:00.000","U.S. Bank, National Association","WA-09","POINT (-122.253094 47.320841)"
"c $1-2 million","WASHINGTON BEST FINISHES","3902 WEST VALLEY HWY N SUITE206","AUBURN","WA","98001","238310","Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered",,"0","2020-07-21T00:00:00.000","Wells Fargo Bank, National Association","WA-09","POINT (-122.249792 47.342881)"
"d $350,000-1 million","CHAMPION & ASSOCIATES, INC.","1604 15th St  SW","AUBURN","WA","98001","332710","Subchapter S Corporation","Unanswered","Unanswered","Unanswered",,"24","2020-04-14T00:00:00.000","KeyBank National Association","WA-09","POINT (-122.252106 47.295635)"
"e $150,000-350,000","HYDRAULIC INDUSTRIES INC","3320 W. VALLEY HWY N.","AUBURN","WA","98001","423830","Corporation","Unanswered","Unanswered","Unanswered",,"9","2020-04-09T00:00:00.000","Commencement Bank","WA-09","POINT (-122.247229 47.337573)"
"d $350,000-1 million","MORNING DAY, INC.","1415 22nd St NW","AUBURN","WA","98001","238220","Corporation","Hispanic","Unanswered","Unanswered",,"20","2020-04-14T00:00:00.000","KeyBank National Association","WA-09","POINT (-122.251071 47.327296)"
"e $150,000-350,000","PRAECE CONSULTING LLC","25 16TH ST","AUBURN","WA","98002","518210","Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered",,"19","2020-04-27T00:00:00.000","Commencement Bank","WA-08","POINT (-122.229526 47.323069)"
"c $1-2 million","NATIONAL TRANSPORTATION SERVICES, INC.","32937 134TH CT SE","AUBURN","WA","98092","484121","Subchapter S Corporation","Asian","Male Owned","Non-Veteran",,,"2020-04-27T00:00:00.000","Columbia State Bank","WA-08","POINT (-122.163416 47.306229)"
"e $150,000-350,000","CASCADE AIRFRAME REPAIR, INC","1725 E ST NE","AUBURN","WA","98002","488190","Corporation","White","Female Owned","Non-Veteran",,"23","2020-04-07T00:00:00.000","Five Star Bank","WA-08","POINT (-122.223248 47.322707)"
"e $150,000-350,000","KOOLANCE INC","2840 W. Valley Hwy N. Suite 101","AUBURN","WA","98001","334118","Subchapter S Corporation","Unanswered","Unanswered","Unanswered",,"10","2020-04-16T00:00:00.000","Bank of America, National Association","WA-09","POINT (-122.249475 47.332766)"
"d $350,000-1 million","ACTIVE AUTO CARE, LLC","224 G ST SW","AUBURN","WA","98001","811111","Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered",,"7","2020-05-03T00:00:00.000","Bank of America, National Association","WA-09","POINT (-122.238013 47.305636)"
"d $350,000-1 million","RELIABLE COMMERCIAL CLEANING LLC","255 E Main St.","AUBURN","WA","98002","562998","Subchapter S Corporation","Unanswered","Unanswered","Unanswered",,"101","2020-04-14T00:00:00.000","Sound CU","WA-08","POINT (-122.22626 47.307501)"
"e $150,000-350,000","RL CLEARING, & EXCAVATING, INC.","32400 148th Ave Se","AUBURN","WA","98092","238910","Subchapter S Corporation","Unanswered","Unanswered","Unanswered",,"10","2020-04-14T00:00:00.000","Umpqua Bank","WA-08","POINT (-122.144382 47.31242)"
"d $350,000-1 million","LONGHORN BARBECUE OUTPOST, INC.","102 W MAIN ST","AUBURN","WA","98001","722511","Corporation","Unanswered","Unanswered","Unanswered",,"0","2020-04-13T00:00:00.000","Heritage Bank","WA-09","POINT (-122.231286 47.307396)"
"d $350,000-1 million","SPECIALTY FOREST PRODUCTS HOLDINGS, INC.","306 Ellingson Rd","AUBURN","WA","98001","424990","Subchapter S Corporation","Unanswered","Unanswered","Unanswered",,"45","2020-04-11T00:00:00.000","Banner Bank","WA-09","POINT (-122.244223 47.271861)"
"e $150,000-350,000","WELCOME RAMP SYSTEMS, INC.","3902 B Street NW Ste B","AUBURN","WA","98001","238990","Corporation","Unanswered","Unanswered","Unanswered",,"17","2020-04-11T00:00:00.000","Harborstone CU","WA-09","POINT (-122.232303 47.341719)"
"e $150,000-350,000","HIBACHI BUFFET JIANG INC","440 16TH ST NE","AUBURN","WA","98002","722513","Subchapter S Corporation","Unanswered","Unanswered","Unanswered",,"35","2020-05-13T00:00:00.000","WebBank","WA-08","POINT (-122.218934 47.322245)"
"b $2-5 million","ORION INDUSTRIES","1590 A ST NE","AUBURN","WA","98002","611513","Non-Profit Organization","Unanswered","Unanswered","Unanswered","true","341","2020-04-14T00:00:00.000","Umpqua Bank","WA-08","POINT (-122.228808 47.322529)"
"e $150,000-350,000","PARK VIEW VILLAS","2020 A ST SE STE 101","AUBURN","WA","98002","623312","Limited  Liability Company(LLC)","Unanswered","Unanswered","Non-Veteran",,,"2020-04-28T00:00:00.000","Columbia State Bank","WA-08","POINT (-122.228938 47.290208)"
"d $350,000-1 million","FORMULA CORP.","4432 C Street NE 0.0","Auburn","WA","98002","325612","Subchapter S Corporation","Unanswered","Male Owned","Non-Veteran",,"90","2020-04-09T00:00:00.000","JPMorgan Chase Bank, National Association","WA-08","POINT (-122.226853 47.346086)"
"e $150,000-350,000","MACHINING TECHNOLOGY, INC","4340 B ST NW","AUBURN","WA","98001","332710","Subchapter S Corporation","Unanswered","Unanswered","Unanswered",,"25","2020-04-14T00:00:00.000","U.S. Bank, National Association","WA-09","POINT (-122.232341 47.345652)"
"e $150,000-350,000","COMPASS POINT AUTO SALES LLC","2323 Auburn Way N","AUBURN","WA","98002","423140","Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered",,"29","2020-04-13T00:00:00.000","KeyBank National Association","WA-08","POINT (-122.221543 47.328032)"
"d $350,000-1 million","WALTER E. NELSON CO. OF WESTERN WA","813 44TH ST NW","AUBURN","WA","98001","423850","Corporation","Unanswered","Male Owned","Non-Veteran",,"64","2020-06-17T00:00:00.000","U.S. Bank, National Association","WA-09","POINT (-122.240069 47.346408)"
"e $150,000-350,000","AUBURN SIGN COMPANY INC.","4208 AUBURN WAY N","AUBURN","WA","98002","323120","Subchapter S Corporation","Unanswered","Unanswered","Unanswered",,"20","2020-04-14T00:00:00.000","U.S. Bank, National Association","WA-08","POINT (-122.222307 47.344673)"
"e $150,000-350,000","WEST COAST FLOORING","3320 West Valley Highway North D-109","AUBURN","WA","98001","423310","Subchapter S Corporation","Unanswered","Unanswered","Unanswered",,"12","2020-04-13T00:00:00.000","Banner Bank","WA-09","POINT (-122.247229 47.337573)"
"d $350,000-1 million","NU-RAY METAL PRODUCTS, INC. FKA BANKERS CONSTRUCTION, INC.","1234 37th NW","AUBURN","WA","98001","332322","Corporation","Unanswered","Male Owned","Unanswered",,"40","2020-04-15T00:00:00.000","U.S. Bank, National Association","WA-09","POINT (-122.248467 47.340511)"
"e $150,000-350,000","PRECISION CUSTOM CABINETS LLC","3705 Auburn Way N","Auburn","WA","98002","321999","Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered",,"15","2020-04-30T00:00:00.000","Cross River Bank","WA-08","POINT (-122.222324 47.340395)"
"e $150,000-350,000","SUNSET AUTO CO., INC","2020 AUBURN WAY N","AUBURN","WA","98002","811111","Subchapter S Corporation","Unanswered","Unanswered","Unanswered",,"16","2020-04-14T00:00:00.000","Umpqua Bank","WA-08","POINT (-122.22151 47.324947)"
"d $350,000-1 million","SEATTLE SAFETY, L.L.C.","4502 B St NW","AUBURN","WA","98001","541330","Limited  Liability Company(LLC)","White","Male Owned","Non-Veteran",,"47","2020-04-12T00:00:00.000","KeyBank National Association","WA-09","POINT (-122.232428 47.347926)"
"e $150,000-350,000","MONTY WARREN PAINTING INC","327 C St NW","AUBURN","WA","98001","238320","Corporation","Unanswered","Unanswered","Unanswered",,"13","2020-04-30T00:00:00.000","Banner Bank","WA-09","POINT (-122.233085 47.311096)"
"c $1-2 million","ACCU DUCT MANUFACTURING, INC.","316 Ellingson Rd","AUBURN","WA","98001","332322","Corporation","White","Male Owned","Non-Veteran",,,"2020-04-27T00:00:00.000","Columbia State Bank","WA-09","POINT (-122.244148 47.271861)"
"e $150,000-350,000","BLACK DIAMOND CAMPS, INC.","19830 SE 328th PL","AUBURN","WA","98002","721214","Non-Profit Organization","Unanswered","Unanswered","Unanswered","true","10","2020-06-17T00:00:00.000","Gulf Capital Bank","WA-08","POINT (-122.07469 47.30961)"
"d $350,000-1 million","CRESCENT MECHANICAL INC","1320 26TH ST NW #16","AUBURN","WA","98001","238220","Corporation","Unanswered","Unanswered","Unanswered",,"0","2020-04-14T00:00:00.000","Heritage Bank","WA-09","POINT (-122.248615 47.328504)"
"e $150,000-350,000","BUCKLEY RECYCLE CENTER INC.","28418 W VALLEY HWY","AUBURN","WA","98001","562920","Corporation","Unanswered","Unanswered","Unanswered",,,"2020-04-30T00:00:00.000","Columbia State Bank","WA-09","POINT (-122.249677 47.346737)"
"d $350,000-1 million","NEXUS YOUTH AND FAMILIES","1000 AUBURN WAY S","AUBURN","WA","98002","624110","Non-Profit Organization","Unanswered","Unanswered","Unanswered","true","0","2020-04-14T00:00:00.000","Heritage Bank","WA-08","POINT (-122.219844 47.29882)"
"e $150,000-350,000","B &AMP; C TOWER, LLC","3402 C ST NE STE 208","AUBURN","WA","98002","237110","Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered",,"11","2020-05-01T00:00:00.000","JPMorgan Chase Bank, National Association","WA-08","POINT (-122.226573 47.337479)"
"d $350,000-1 million","UNIVERSAL AUTO GROUP II INC","1600 AUBURN WAY N","AUBURN","WA","98002","441110","Corporation","Unanswered","Unanswered","Unanswered",,"56","2020-04-15T00:00:00.000","Bank of America, National Association","WA-08","POINT (-122.221493 47.322699)"
"b $2-5 million","AERO CONTROLS INC","1610 20TH ST NW","AUBURN","WA","98001","811310","Subchapter S Corporation","Unanswered","Unanswered","Unanswered",,"152","2020-05-01T00:00:00.000","JPMorgan Chase Bank, National Association","WA-09","POINT (-122.253581 47.326154)"
"e $150,000-350,000","SKR CORPORATION","420 H ST NW, Ste B","AUBURN","WA","98001","488410","Corporation","White","Female Owned","Non-Veteran",,"21","2020-04-28T00:00:00.000","KeyBank National Association","WA-09","POINT (-122.23847 47.312249)"
"e $150,000-350,000","LEGENDARY DOUGHNUTS INC","1402 LAKE TAPPS PKWY SE # 104","AUBURN","WA","98092","445291","Corporation","Unanswered","Male Owned","Non-Veteran",,"59","2020-05-03T00:00:00.000","Bank of America, National Association","WA-08","POINT (-122.208989 47.245366)"
"d $350,000-1 million","A.C. MOATE INDUSTRIES, INC","2118 A ST SE","AUBURN","WA","98002","324121","Subchapter S Corporation","Unanswered","Unanswered","Unanswered",,"99","2020-04-15T00:00:00.000","U.S. Bank, National Association","WA-08","POINT (-122.228934 47.289096)"
"d $350,000-1 million","AIR-OIL PRODUCTS CORPORATION","301 30th St NE","AUBURN","WA","98002","423830","Corporation","White","Female Owned","Non-Veteran",,"34","2020-04-11T00:00:00.000","KeyBank National Association","WA-08","POINT (-122.225487 47.333903)"
"e $150,000-350,000","FNW, INC","2711 WEST VALLEY HWY N #200","AUBURN","WA","98001","236116","Subchapter S Corporation","Unanswered","Unanswered","Unanswered",,"15","2020-04-06T00:00:00.000","Glacier Bank","WA-09","POINT (-122.249673 47.332187)"
"d $350,000-1 million","DOYON MANAGEMENT SERVICES, LLC","3450 South 344th Way","AUBURN","WA","98001","561210","Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered",,"31","2020-04-16T00:00:00.000","KeyBank National Association","WA-09","POINT (-122.290526 47.292402)"
"e $150,000-350,000","INNOVATIVE SYSTEMS TECHNOLOGY, INC.","1402 Lake Tapps Pkwy SE Ste 104-147","AUBURN","WA","98092","561621","Subchapter S Corporation","Unanswered","Unanswered","Unanswered",,"230","2020-05-01T00:00:00.000","JPMorgan Chase Bank, National Association","WA-08","POINT (-122.208989 47.245366)"
