"citation","incident","date","time","age","sex","code","code_description","day","violation_category","priority","last_30_days","neighborhood_association","neighborhood_xy"
"APD*0304FS088N","22116904","2022-08-17T00:00:00.000","08:04am","27","M","118000D0I0","SPEED VIOL  POSTED LIMIT","WEDNESDAY","SPEEDING","2","true",,
"APD*0306FBBGF2","22048010","2022-04-11T00:00:00.000","06:34am","26","M","118000D0I0","SPEED VIOL  POSTED LIMIT","MONDAY","SPEEDING","2","false","Upper Washington Avenue","POINT (-73.7985897295 42.6817391392)"
"APD*0302FL57N7","22086773","2022-06-23T00:00:00.000","03:25pm","53","F","111000A0I0","FAILURE TO OBEY TRAFFIC DEVICE","THURSDAY","All Other","5","false","Eagle Hill","POINT (-73.8202291732 42.6704089123)"
"APD*0302FL52MM","22086729","2022-06-23T00:00:00.000","02:09pm","57","M","030600B00I","OPER MV W/O INSPECT CERTIFICAT","THURSDAY","All Other","5","false",,
"APD*0306FBC07Z","22048139","2022-04-11T00:00:00.000","10:31am","30","M","03750T10I0","EQUIP VIOL-FRONT WINDSHIELD NON/TRANSPARENT","MONDAY","All Other","5","false",,
"APD*0302FS138R","22117100","2022-08-17T00:00:00.000","02:19pm","21","M","040200300I","OPER TRAILER W/O REGIS PLATE","WEDNESDAY","All Other","5","true",,
"APD*0302FS16TF","22117137","2022-08-17T00:00:00.000","03:12pm","43","M","03750400I0","OPER M/V W/O STOP LIGHTS","WEDNESDAY","All Other","5","true","West Hill","POINT (-73.764844247 42.6666911887)"
"APD*0172F7VDZD","22036983","2022-03-19T00:00:00.000","03:12am","54","M","030600B00I","OPER MV W/O INSPECT CERTIFICAT","SATURDAY","All Other","5","false","Washington Park","POINT (-73.7708846487 42.6572365515)"
"APD*0102FBD27C","22048386","2022-04-11T00:00:00.000","06:33pm","23","F","031901U0I0","OPERATING MOTOR VEHICLE WITHOUT INSURANCE","MONDAY","All Other","5","false",,
"APD*0302FS17GB","22117137","2022-08-17T00:00:00.000","03:12pm","43","M","03750A30I0","EQUIP VIOLATION-NO/INSUFFICIENT TAIL LAMPS","WEDNESDAY","All Other","5","true","West Hill","POINT (-73.764844247 42.6666911887)"
"APD*0302FS177K","22117137","2022-08-17T00:00:00.000","03:12pm","43","M","030600B00I","OPER MV W/O INSPECT CERTIFICAT","WEDNESDAY","All Other","5","true","West Hill","POINT (-73.764844247 42.6666911887)"
"APD*0171F42QP6","22019922","2022-02-11T00:00:00.000","02:40pm","35","M","121000A0I0","LEAVE MOTOR VEHICLE UNATTENDED","FRIDAY","All Other","5","false","West Hill","POINT (-73.764844247 42.6666911887)"
"APD*0304F42GDV","22019861","2022-02-11T00:00:00.000","12:30pm","40","M","228500300I","ATV FAIL NOTIFY CHG OF RESID","FRIDAY","All Other","5","false",,
"APD*0308FL4GS1","22086588","2022-06-23T00:00:00.000","09:42am","39","M","118000D0I0","SPEED VIOL  POSTED LIMIT","THURSDAY","SPEEDING","2","false",,
"APD*0103DK52D9","21117655","2021-09-05T00:00:00.000","11:06pm","22","M","114300000I","RT OF WAY VIOL/MV ENTERING RD","SUNDAY","All Other","5","false",,
"APD*0307F424SF","22019778","2022-02-11T00:00:00.000","10:08am","30","M","118000D0I0","SPEED VIOL  POSTED LIMIT","FRIDAY","SPEEDING","2","false",,
"APD*0306FBBF32","22048004","2022-04-11T00:00:00.000","06:10am","57","M","040200100I","REGIS PLATE DISPLAY VIOLATION","MONDAY","All Other","5","false",,
"APD*0307F428G1","22019809","2022-02-11T00:00:00.000","11:02am","28","M","040200100I","REGIS PLATE DISPLAY VIOLATION","FRIDAY","All Other","5","false","Campus Area","POINT (-73.8190201566 42.6848032061)"
"APD*0307F4278F","22019796","2022-02-11T00:00:00.000","10:41am","55","F","040200100I","REGIS PLATE DISPLAY VIOLATION","FRIDAY","All Other","5","false","The Dunes","POINT (-73.8632178578 42.7057702039)"
"APD*0301FBBW67","22048114","2022-04-11T00:00:00.000","09:48am","20","M","111000A0I0","FAILURE TO OBEY TRAFFIC DEVICE","MONDAY","All Other","5","false",,
"APD*0302DWRT6N","21169392","2021-12-14T00:00:00.000","01:48pm","24","F","111000A0I0","FAILURE TO OBEY TRAFFIC DEVICE","TUESDAY","All Other","5","false","West Hill","POINT (-73.764844247 42.6666911887)"
"APD*0304F727H0","22033384","2022-03-11T00:00:00.000","01:52pm","58","F","030600B00I","OPER MV W/O INSPECT CERTIFICAT","FRIDAY","All Other","5","false",,
"APD*0302F57R7G","22025196","2022-02-22T00:00:00.000","01:18pm","62","M","030600B00I","OPER MV W/O INSPECT CERTIFICAT","TUESDAY","All Other","5","false","West Hill","POINT (-73.764844247 42.6666911887)"
"APD*0302FBC7Z4","22048189","2022-04-11T00:00:00.000","12:23pm","26","M","1225D010I0","FAIL TO SHOW CONVICTION RECORD","MONDAY","All Other","5","false","West Hill","POINT (-73.764844247 42.6666911887)"
"APD*ABS1F1XCDL","21157258","2021-11-18T00:00:00.000","02:21am","39","F","040100300I","FAIL TO NOTIFY CHNG OF ADDRESS","THURSDAY","All Other","5","false","Arbor Hill Concerned Citizens","POINT (-73.7532258347 42.6622200365)"
"APD*0301FBC887","22048200","2022-04-11T00:00:00.000","12:34pm","20","M","111000A0I0","FAILURE TO OBEY TRAFFIC DEVICE","MONDAY","All Other","5","false",,
"APD*0308FL4DNW","22086571","2022-06-23T00:00:00.000","09:10am","30","M","111000A0I0","FAILURE TO OBEY TRAFFIC DEVICE","THURSDAY","All Other","5","false",,
"APD*0301F57TV0","22025217","2022-02-22T00:00:00.000","01:57pm","46","F","111000A0I0","FAILURE TO OBEY TRAFFIC DEVICE","TUESDAY","All Other","5","false",,
"APD*0307FK684V","22081969","2022-06-14T00:00:00.000","01:00pm","19","M","03750T20I0","EQUI VIO-SIDEWING/SIDE WINDOW/NON/TRANSAPRENT","TUESDAY","All Other","5","false",,
"APD*0203DXT5SX",,"2021-12-24T00:00:00.000","08:07am","23","M","118000A0I0","SPEED VIOL-IMPRUDENT SPEED","FRIDAY","SPEEDING","2","false",,
"APD*0302DVHNMK","21163613","2021-12-02T00:00:00.000","03:39pm","30","M","116300D0I0","ILL SIGNAL:PARKED","THURSDAY","All Other","5","false","No. Albany / Shaker Park","POINT (-73.7452874985 42.6728269867)"
"APD*HQ32F1X75V","21157141","2021-11-18T00:00:00.000","02:21pm","50","M","040100300I","FAIL TO NOTIFY CHNG OF ADDRESS","THURSDAY","All Other","5","false","Arbor Hill Concerned Citizens","POINT (-73.7532258347 42.6622200365)"
"APD*0307F0VF67","22005376","2022-01-12T00:00:00.000","12:18pm","30","F","118000D0I0","SPEED VIOL  POSTED LIMIT","WEDNESDAY","SPEEDING","2","false",,
"APD*0302DR43VM","21147938","2021-10-31T00:00:00.000","09:58pm","24","M","03750A10I0","EQUIP VIOL-NO/INADEQUATE LIGHTS","SUNDAY","All Other","5","false",,
"APD*0305DLWQTZ","21126524","2021-09-22T00:00:00.000","10:10am","19","M","03750T20I0","EQUI VIO-SIDEWING/SIDE WINDOW/NON/TRANSAPRENT","WEDNESDAY","All Other","5","false","Pine Hills","POINT (-73.7866126905 42.6626959378)"
"APD*TS03DS4J48","21153111","2021-11-10T00:00:00.000","10:02am","23","M","03750T10I0","EQUIP VIOL-FRONT WINDSHIELD NON/TRANSPARENT","WEDNESDAY","All Other","5","false",,
"APD*0305DST7FD","21156351","2021-11-16T00:00:00.000","09:21pm","24","M","111000A0I0","FAILURE TO OBEY TRAFFIC DEVICE","TUESDAY","All Other","5","false","Upper Washington Avenue","POINT (-73.7985897295 42.6817391392)"
"APD*0302FS179F","22117137","2022-08-17T00:00:00.000","03:12pm","43","M","050900100I","OPERATE MV BY UNLICENSD DRIVER","WEDNESDAY","All Other","5","true","West Hill","POINT (-73.764844247 42.6666911887)"
"APD*0305DLWWKL","21126569","2021-09-22T00:00:00.000","11:20am","22","M","03750T20I0","EQUI VIO-SIDEWING/SIDE WINDOW/NON/TRANSAPRENT","WEDNESDAY","All Other","5","false","Pine Hills","POINT (-73.7866126905 42.6626959378)"
"APD*HQ32F1X64X","21157141","2021-11-18T00:00:00.000","02:21pm","50","M","060001A0I0","OPER LEAVES SCENE OF PROPERTY DAMAGE ACC","THURSDAY","All Other","5","false","Arbor Hill Concerned Citizens","POINT (-73.7532258347 42.6622200365)"
"APD*HQ32F1X611","21157141","2021-11-18T00:00:00.000","02:21pm","50","M","121100A0I0","UNSAFE BACKING OF VEHICLE","THURSDAY","All Other","5","false","Arbor Hill Concerned Citizens","POINT (-73.7532258347 42.6622200365)"
"APD*SS10F736SG",,"2022-03-11T00:00:00.000","05:25pm","36","M","11110D10I0","TRAFFIC DEVICE VIOL - PASSED RED LIGHT","FRIDAY","REDLIGHT","1","false",,
"APD*0307FK68BF","22081969","2022-06-14T00:00:00.000","01:00pm","19","M","03750T30I0","EQUIP VIOL-REAR SIDE WINDOWS NON/TRANSPARENT","TUESDAY","All Other","5","false",,
"APD*0302F57VWQ","22025219","2022-02-22T00:00:00.000","02:07pm","26","M","050900100I","OPERATE MV BY UNLICENSD DRIVER","TUESDAY","All Other","5","false","West Hill","POINT (-73.764844247 42.6666911887)"
"APD*0307DSW91K","21156615","2021-11-17T00:00:00.000","12:33pm","55","F","0375CIC0I0","UNSAFE TIRES","WEDNESDAY","All Other","5","false","Hudson Park","POINT (-73.7660255299 42.6510030671)"
"APD*0307DSVXJ5","21156538","2021-11-17T00:00:00.000","10:02am","43","M","116300A0I0","ILL SIGNAL - UNSAFE/FAIL TO","WEDNESDAY","All Other","5","false",,
"APD*0999DXVV14",,"2021-12-24T00:00:00.000","09:30pm","32","M","037502A00I","FAILURE TO TURN HEAD LAMPS ON","FRIDAY","All Other","5","false",,
"APD*0307F27JS9","22011486","2022-01-25T00:00:00.000","08:34am","34","M","03750T20I0","EQUI VIO-SIDEWING/SIDE WINDOW/NON/TRANSAPRENT","TUESDAY","All Other","5","false",,
"APD*0306F36KL7","22015788","2022-02-03T00:00:00.000","10:24am","45","M","118000D0I0","SPEED VIOL  POSTED LIMIT","THURSDAY","SPEEDING","2","false","West Hill","POINT (-73.764844247 42.6666911887)"
"APD*HQ32F1X3MX","21157141","2021-11-18T00:00:00.000","02:21pm","50","M","116200000I","UNSAFE MOVEMENT OF STOPPED MV","THURSDAY","All Other","5","false","Arbor Hill Concerned Citizens","POINT (-73.7532258347 42.6622200365)"
"APD*0307FK67Z6","22081969","2022-06-14T00:00:00.000","01:00pm","19","M","031901U0I0","OPERATING MOTOR VEHICLE WITHOUT INSURANCE","TUESDAY","All Other","5","false",,
"APD*HQ32F1X6Q9","21157141","2021-11-18T00:00:00.000","02:21pm","50","M","050900200I","DRIVE MV W/O PROPER LICENSE","THURSDAY","All Other","5","false","Arbor Hill Concerned Citizens","POINT (-73.7532258347 42.6622200365)"
"APD*0203DXT77T",,"2021-12-24T00:00:00.000","08:07am","23","M","112800A0I0","FAILURE TO STAY IN SINGLE LANE","FRIDAY","All Other","5","false",,
"APD*HQ32F1X69H","21157141","2021-11-18T00:00:00.000","02:21pm","50","M","040101A00I","OPER UNREGISTERD MV ON HIGHWAY","THURSDAY","All Other","5","false","Arbor Hill Concerned Citizens","POINT (-73.7532258347 42.6622200365)"
"APD*0103DK52RP","21117655","2021-09-05T00:00:00.000","11:06pm","22","M","037500300I","FAILURE TO DIM LIGHTS","SUNDAY","All Other","5","false",,
"APD*0307F36PXL","22015805","2022-02-03T00:00:00.000","11:14am","21","M","030600B00I","OPER MV W/O INSPECT CERTIFICAT","THURSDAY","All Other","5","false",,
"APD*0104DLX7P1",,"2021-09-22T00:00:00.000","01:22pm","69","F","114000A0I0","FAIL TO YIELD RIGHT-OF-WAY","WEDNESDAY","All Other","5","false","Eagle Hill","POINT (-73.8202291732 42.6704089123)"
"APD*HQ32F1X6ZF","21157141","2021-11-18T00:00:00.000","02:21pm","50","M","050900800I","FAIL TO NOTIFY CHANGE OF HOME","THURSDAY","All Other","5","false","Arbor Hill Concerned Citizens","POINT (-73.7532258347 42.6622200365)"
"APD*0307FK680T","22081969","2022-06-14T00:00:00.000","01:00pm","19","M","04020020I0","NUMBER PLATE VIOL:ILL FORM","TUESDAY","All Other","5","false",,
"APD*0306FBC02T","22048139","2022-04-11T00:00:00.000","10:31am","30","M","118000D0I0","SPEED VIOL  POSTED LIMIT","MONDAY","SPEEDING","2","false",,
"APD*0208FQJNJR","22109375","2022-08-03T00:00:00.000","05:08pm","18","F","114000A0I0","FAIL TO YIELD RIGHT-OF-WAY","WEDNESDAY","All Other","5","true","No. Albany / Shaker Park","POINT (-73.7452874985 42.6728269867)"
"APD*0302FK6NJD","22082066","2022-06-14T00:00:00.000","04:59pm","27","M","031901U0I0","OPERATING MOTOR VEHICLE WITHOUT INSURANCE","TUESDAY","All Other","5","false",,
"APD*0307DSW52B","21156591","2021-11-17T00:00:00.000","11:31am","61","M","040100300I","FAIL TO NOTIFY CHNG OF ADDRESS","WEDNESDAY","All Other","5","false","West Hill","POINT (-73.764844247 42.6666911887)"
"APD*CB02DK2ZQ1","21117322","2021-09-05T00:00:00.000","03:07am","34","M","050900100I","OPERATE MV BY UNLICENSD DRIVER","SUNDAY","All Other","5","false",,
"APD*0307FK68DJ","22081969","2022-06-14T00:00:00.000","01:00pm","19","M","03750EB0I0","EQUIP VIOL-NO RIGHT SIDE MIRROR(OMNI BUS)","TUESDAY","All Other","5","false",,
"APD*0108DK53GR","21117654","2021-09-05T00:00:00.000","11:22pm","22","F","050900100I","OPERATE MV BY UNLICENSD DRIVER","SUNDAY","All Other","5","false",,
"APD*0307FK68GG","22081969","2022-06-14T00:00:00.000","01:00pm","19","M","03750T40I0","EQUIPMENT VIOLATION-REAR WINDOW REFLECTIVE","TUESDAY","All Other","5","false",,
"APD*0302DK4SRR","21117628","2021-09-05T00:00:00.000","09:06pm","19","M","118000D0I0","SPEED VIOL  POSTED LIMIT","SUNDAY","SPEEDING","2","false",,
"APD*0306F57CMF","22025099","2022-02-22T00:00:00.000","10:19am","54","M","030600B00I","OPER MV W/O INSPECT CERTIFICAT","TUESDAY","All Other","5","false",,
"APD*0302FK65J8","22081956","2022-06-14T00:00:00.000","01:23pm","22","F","111000A0I0","FAILURE TO OBEY TRAFFIC DEVICE","TUESDAY","All Other","5","false","West Hill","POINT (-73.764844247 42.6666911887)"
"APD*0301FMQG5P","22095208","2022-07-08T00:00:00.000","09:32am","45","M","111000A0I0","FAILURE TO OBEY TRAFFIC DEVICE","FRIDAY","All Other","5","false",,
"APD*CB02FMS9NT","22095393","2022-07-08T00:00:00.000","08:02pm","76","M","1192002U0M","OPER MV 10 OF 1 PCT ALCOHOL 1ST","FRIDAY","All Other","5","false","West Hill","POINT (-73.764844247 42.6666911887)"
"APD*0301FQHTBL","22109194","2022-08-03T00:00:00.000","10:47am","28","F","050900100I","OPERATE MV BY UNLICENSD DRIVER","WEDNESDAY","All Other","5","true",,
"APD*0103DK4RH4","21117616","2021-09-05T00:00:00.000","08:52pm","20","M","037502A00I","FAILURE TO TURN HEAD LAMPS ON","SUNDAY","All Other","5","false",,
"APD*CB02DK301C","21117322","2021-09-05T00:00:00.000","03:07am","34","M","051101AUM3","AGGRAVATED UNLICENSED OPERATION OF A MOTOR VEHICLE-3RD","SUNDAY","All Other","5","false",,
"APD*CB02FMSCW5","22095393","2022-07-08T00:00:00.000","08:02pm","76","M","112800A0I0","FAILURE TO STAY IN SINGLE LANE","FRIDAY","All Other","5","false",,
"APD*0206DW4R5L","21166357","2021-12-08T00:00:00.000","02:47pm","54","M","050900100I","OPERATE MV BY UNLICENSD DRIVER","WEDNESDAY","All Other","5","false",,
"APD*TS03DK33ZD","21117393","2021-09-05T00:00:00.000","08:29am","51","F","118000D0I0","SPEED VIOL  POSTED LIMIT","SUNDAY","SPEEDING","2","false",,
"APD*SS10DK328Z",,"2021-09-05T00:00:00.000","03:07am","34","M","1192004U0M","OPER MV INFLUENCE DRUG 1ST OFF","SUNDAY","All Other","5","false",,
"APD*ABS1F1XBS4","21157258","2021-11-18T00:00:00.000","02:21am","39","F","116200000I","UNSAFE MOVEMENT OF STOPPED MV","THURSDAY","All Other","5","false","Arbor Hill Concerned Citizens","POINT (-73.7532258347 42.6622200365)"
"APD*0202DXV8Q1","21174130","2021-12-24T00:00:00.000","03:34pm","30","M","050900100I","OPERATE MV BY UNLICENSD DRIVER","FRIDAY","All Other","5","false","Downtown","POINT (-73.7532379834 42.6495622808)"
"APD*0103DK4ZX1","21117646","2021-09-05T00:00:00.000","10:29pm","19","M","112700A0I0","ONE WAY VIOL-DESIGNATED ROAD","SUNDAY","All Other","5","false",,
"APD*0302DK4RHX","21117620","2021-09-05T00:00:00.000","08:48pm","36","M","118000D0I0","SPEED VIOL  POSTED LIMIT","SUNDAY","SPEEDING","2","false",,
"APD*CB02DK2XQ0","21117322","2021-09-05T00:00:00.000","03:07am","34","M","120100A0I0","STOP/STAND/PARK VIOL HIGHWAY","SUNDAY","All Other","5","false",,
"APD*0307DLWR0P","21126519","2021-09-22T00:00:00.000","09:57am","27","M","050900100I","OPERATE MV BY UNLICENSD DRIVER","WEDNESDAY","All Other","5","false",,
"APD*0305DLWZ2F","21126585","2021-09-22T00:00:00.000","11:46am","47","M","111000A0I0","FAILURE TO OBEY TRAFFIC DEVICE","WEDNESDAY","All Other","5","false","Beverwyck","POINT (-73.7822271336 42.6700629397)"
"APD*0305DLWZPP","21126593","2021-09-22T00:00:00.000","11:55am","24","F","118000C0I0","SPEED VIOL-SCHOOL ZONE","WEDNESDAY","SPEEDING","2","false","Pine Hills","POINT (-73.7866126905 42.6626959378)"
