"figure_table","title","indicator","sub_indicator","year","quintile","country","value","source","notes"
"Figure B2.1","Weight at Birth, Colombia","Weight at Birth/Proportion with Low Birthweight","Primary","01/01/2001",,"Colombia","0.08","Vital registration data, Colombia 1998-2044",
"Figure B2.1","Weight at Birth, Colombia","Weight at Birth/Proportion with Low Birthweight","Primary","01/01/2002",,"Colombia","0.08","Vital registration data, Colombia 1998-2045",
"Figure B2.1","Weight at Birth, Colombia","Weight at Birth/Proportion with Low Birthweight","Primary","01/01/2003",,"Colombia","0.08","Vital registration data, Colombia 1998-2046",
"Figure B2.1","Weight at Birth, Colombia","Weight at Birth/Proportion with Low Birthweight","Primary","01/01/2004",,"Colombia","0.08","Vital registration data, Colombia 1998-2047",
"Figure B2.1","Weight at Birth, Colombia","Weight at Birth/Proportion with Low Birthweight","Primary","01/01/2005",,"Colombia","0.08","Vital registration data, Colombia 1998-2048",
"Figure B2.1","Weight at Birth, Colombia","Weight at Birth/Proportion with Low Birthweight","Primary","01/01/2006",,"Colombia","0.08","Vital registration data, Colombia 1998-2049",
"Figure B2.1","Weight at Birth, Colombia","Weight at Birth/Proportion with Low Birthweight","Primary","01/01/2007",,"Colombia","0.08","Vital registration data, Colombia 1998-2050",
"Figure B2.1","Weight at Birth, Colombia","Weight at Birth/Proportion with Low Birthweight","Primary","01/01/2008",,"Colombia","0.08","Vital registration data, Colombia 1998-2051",
"Figure B2.1","Weight at Birth, Colombia","Weight at Birth/Proportion with Low Birthweight","Secondary","01/01/1998",,"Colombia","0.08","Vital registration data, Colombia 1998-2052",
"Figure B2.1","Weight at Birth, Colombia","Weight at Birth/Proportion with Low Birthweight","Secondary","01/01/1999",,"Colombia","0.07","Vital registration data, Colombia 1998-2053",
"Figure B2.1","Weight at Birth, Colombia","Weight at Birth/Proportion with Low Birthweight","Secondary","01/01/2000",,"Colombia","0.07","Vital registration data, Colombia 1998-2054",
"Figure B2.1","Weight at Birth, Colombia","Weight at Birth/Proportion with Low Birthweight","Secondary","01/01/2001",,"Colombia","0.08","Vital registration data, Colombia 1998-2055",
"Figure B2.1","Weight at Birth, Colombia","Weight at Birth/Proportion with Low Birthweight","Secondary","01/01/2002",,"Colombia","0.08","Vital registration data, Colombia 1998-2056",
"Figure B2.1","Weight at Birth, Colombia","Weight at Birth/Proportion with Low Birthweight","Secondary","01/01/2003",,"Colombia","0.08","Vital registration data, Colombia 1998-2057",
"Figure B2.1","Weight at Birth, Colombia","Weight at Birth/Proportion with Low Birthweight","Secondary","01/01/2004",,"Colombia","0.08","Vital registration data, Colombia 1998-2058",
"Figure B2.1","Weight at Birth, Colombia","Weight at Birth/Proportion with Low Birthweight","Secondary","01/01/2005",,"Colombia","0.08","Vital registration data, Colombia 1998-2059",
"Figure B2.1","Weight at Birth, Colombia","Weight at Birth/Proportion with Low Birthweight","Secondary","01/01/2006",,"Colombia","0.09","Vital registration data, Colombia 1998-2060",
"Figure B2.1","Weight at Birth, Colombia","Weight at Birth/Proportion with Low Birthweight","Secondary","01/01/2007",,"Colombia","0.09","Vital registration data, Colombia 1998-2061",
"Figure B2.1","Weight at Birth, Colombia","Weight at Birth/Proportion with Low Birthweight","Secondary","01/01/2008",,"Colombia","0.09","Vital registration data, Colombia 1998-2062",
"Figure B2.1","Weight at Birth, Colombia","Weight at Birth/Proportion with Low Birthweight","Tertiary","01/01/1998",,"Colombia","0.08","Vital registration data, Colombia 1998-2063",
"Figure B2.1","Weight at Birth, Colombia","Weight at Birth/Proportion with Low Birthweight","Tertiary","01/01/1999",,"Colombia","0.08","Vital registration data, Colombia 1998-2064",
"Figure B2.1","Weight at Birth, Colombia","Weight at Birth/Proportion with Low Birthweight","Tertiary","01/01/2000",,"Colombia","0.08","Vital registration data, Colombia 1998-2065",
"Figure B2.1","Weight at Birth, Colombia","Weight at Birth/Proportion with Low Birthweight","Tertiary","01/01/2001",,"Colombia","0.08","Vital registration data, Colombia 1998-2066",
"Figure B2.1","Weight at Birth, Colombia","Weight at Birth/Proportion with Low Birthweight","Tertiary","01/01/2002",,"Colombia","0.08","Vital registration data, Colombia 1998-2067",
"Figure B2.1","Weight at Birth, Colombia","Weight at Birth/Proportion with Low Birthweight","Tertiary","01/01/2003",,"Colombia","0.08","Vital registration data, Colombia 1998-2068",
"Figure B2.1","Weight at Birth, Colombia","Weight at Birth/Proportion with Low Birthweight","Tertiary","01/01/2004",,"Colombia","0.08","Vital registration data, Colombia 1998-2069",
"Figure B2.1","Weight at Birth, Colombia","Weight at Birth/Proportion with Low Birthweight","Tertiary","01/01/2005",,"Colombia","0.09","Vital registration data, Colombia 1998-2070",
"Figure B2.1","Weight at Birth, Colombia","Weight at Birth/Proportion with Low Birthweight","Tertiary","01/01/2006",,"Colombia","0.09","Vital registration data, Colombia 1998-2071",
"Figure B2.1","Weight at Birth, Colombia","Weight at Birth/Proportion with Low Birthweight","Tertiary","01/01/2007",,"Colombia","0.09","Vital registration data, Colombia 1998-2072",
"Figure B2.1","Weight at Birth, Colombia","Weight at Birth/Proportion with Low Birthweight","Tertiary","01/01/2008",,"Colombia","0.09","Vital registration data, Colombia 1998-2073",
"Figure B2.1","Weight at Birth, Colombia","Weight at Birth/Proportion of Births who are premature","Primary","01/01/1998",,"Colombia","0.11","Vital registration data, Colombia 1998-2074",
"Figure B2.1","Weight at Birth, Colombia","Weight at Birth/Proportion of Births who are premature","Primary","01/01/1999",,"Colombia","0.1","Vital registration data, Colombia 1998-2075",
"Figure B2.1","Weight at Birth, Colombia","Weight at Birth/Proportion of Births who are premature","Primary","01/01/2000",,"Colombia","0.11","Vital registration data, Colombia 1998-2076",
"Figure B2.1","Weight at Birth, Colombia","Weight at Birth/Proportion of Births who are premature","Primary","01/01/2001",,"Colombia","0.11","Vital registration data, Colombia 1998-2077",
"Figure B2.1","Weight at Birth, Colombia","Weight at Birth/Proportion of Births who are premature","Primary","01/01/2002",,"Colombia","0.14","Vital registration data, Colombia 1998-2078",
"Figure B2.1","Weight at Birth, Colombia","Weight at Birth/Proportion of Births who are premature","Primary","01/01/2003",,"Colombia","0.15","Vital registration data, Colombia 1998-2079",
"Figure B2.1","Weight at Birth, Colombia","Weight at Birth/Proportion of Births who are premature","Primary","01/01/2004",,"Colombia","0.16","Vital registration data, Colombia 1998-2080",
"Figure B2.1","Weight at Birth, Colombia","Weight at Birth/Proportion of Births who are premature","Primary","01/01/2005",,"Colombia","0.16","Vital registration data, Colombia 1998-2081",
"Figure B2.1","Weight at Birth, Colombia","Weight at Birth/Proportion of Births who are premature","Primary","01/01/2006",,"Colombia","0.16","Vital registration data, Colombia 1998-2082",
"Figure B2.1","Weight at Birth, Colombia","Weight at Birth/Proportion of Births who are premature","Primary","01/01/2007",,"Colombia","0.16","Vital registration data, Colombia 1998-2083",
"Figure B2.1","Weight at Birth, Colombia","Weight at Birth/Proportion of Births who are premature","Primary","01/01/2008",,"Colombia","0.17","Vital registration data, Colombia 1998-2084",
"Figure B2.1","Weight at Birth, Colombia","Weight at Birth/Proportion of Births who are premature","Secondary","01/01/1998",,"Colombia","0.11","Vital registration data, Colombia 1998-2085",
"Figure B2.1","Weight at Birth, Colombia","Weight at Birth/Proportion of Births who are premature","Secondary","01/01/1999",,"Colombia","0.1","Vital registration data, Colombia 1998-2086",
"Figure B2.1","Weight at Birth, Colombia","Weight at Birth/Proportion of Births who are premature","Secondary","01/01/2000",,"Colombia","0.11","Vital registration data, Colombia 1998-2087",
"Figure B2.1","Weight at Birth, Colombia","Weight at Birth/Proportion of Births who are premature","Secondary","01/01/2001",,"Colombia","0.12","Vital registration data, Colombia 1998-2088",
"Figure B2.1","Weight at Birth, Colombia","Weight at Birth/Proportion of Births who are premature","Secondary","01/01/2002",,"Colombia","0.15","Vital registration data, Colombia 1998-2089",
"Figure B2.1","Weight at Birth, Colombia","Weight at Birth/Proportion of Births who are premature","Secondary","01/01/2003",,"Colombia","0.15","Vital registration data, Colombia 1998-2090",
"Figure B2.1","Weight at Birth, Colombia","Weight at Birth/Proportion of Births who are premature","Secondary","01/01/2004",,"Colombia","0.17","Vital registration data, Colombia 1998-2091",
"Figure B2.1","Weight at Birth, Colombia","Weight at Birth/Proportion of Births who are premature","Secondary","01/01/2005",,"Colombia","0.16","Vital registration data, Colombia 1998-2092",
"Figure B2.1","Weight at Birth, Colombia","Weight at Birth/Proportion of Births who are premature","Secondary","01/01/2006",,"Colombia","0.17","Vital registration data, Colombia 1998-2093",
"Figure B2.1","Weight at Birth, Colombia","Weight at Birth/Proportion of Births who are premature","Secondary","01/01/2007",,"Colombia","0.17","Vital registration data, Colombia 1998-2094",
"Figure B2.1","Weight at Birth, Colombia","Weight at Birth/Proportion of Births who are premature","Secondary","01/01/2008",,"Colombia","0.18","Vital registration data, Colombia 1998-2095",
"Figure B2.1","Weight at Birth, Colombia","Weight at Birth/Proportion of Births who are premature","Tertiary","01/01/1998",,"Colombia","0.12","Vital registration data, Colombia 1998-2096",
"Figure B2.1","Weight at Birth, Colombia","Weight at Birth/Proportion of Births who are premature","Tertiary","01/01/1999",,"Colombia","0.11","Vital registration data, Colombia 1998-2097",
"Figure B2.1","Weight at Birth, Colombia","Weight at Birth/Proportion of Births who are premature","Tertiary","01/01/2000",,"Colombia","0.12","Vital registration data, Colombia 1998-2098",
"Figure B2.1","Weight at Birth, Colombia","Weight at Birth/Proportion of Births who are premature","Tertiary","01/01/2001",,"Colombia","0.13","Vital registration data, Colombia 1998-2099",
"Figure B2.1","Weight at Birth, Colombia","Weight at Birth/Proportion of Births who are premature","Tertiary","01/01/2002",,"Colombia","0.16","Vital registration data, Colombia 1998-2100",
"Figure B2.1","Weight at Birth, Colombia","Weight at Birth/Proportion of Births who are premature","Tertiary","01/01/2003",,"Colombia","0.17","Vital registration data, Colombia 1998-2101",
"Figure B2.1","Weight at Birth, Colombia","Weight at Birth/Proportion of Births who are premature","Tertiary","01/01/2004",,"Colombia","0.18","Vital registration data, Colombia 1998-2102",
"Figure B2.1","Weight at Birth, Colombia","Weight at Birth/Proportion of Births who are premature","Tertiary","01/01/2005",,"Colombia","0.18","Vital registration data, Colombia 1998-2103",
"Figure B2.1","Weight at Birth, Colombia","Weight at Birth/Proportion of Births who are premature","Tertiary","01/01/2006",,"Colombia","0.18","Vital registration data, Colombia 1998-2104",
"Figure B2.1","Weight at Birth, Colombia","Weight at Birth/Proportion of Births who are premature","Tertiary","01/01/2007",,"Colombia","0.19","Vital registration data, Colombia 1998-2105",
"Figure B2.1","Weight at Birth, Colombia","Weight at Birth/Proportion of Births who are premature","Tertiary","01/01/2008",,"Colombia","0.2","Vital registration data, Colombia 1998-2106",
"Figure 5.3","CLASS Domain Scores, Brazil, Chile, and Ecuador","CLASS Domain Scores ","Emotional","01/01/",,"Chile","4.91","Cruz-Aguayo and others (2015).",
"Figure B2.1","Weight at Birth, Colombia","Weight at Birth/Changes in Proportion Low birthweight for Mothers with Tertiary Education","No controls","01/01/1998",,"Colombia","0.08","Vital registration data, Colombia 1998-2107",
"Figure B2.1","Weight at Birth, Colombia","Weight at Birth/Changes in Proportion Low birthweight for Mothers with Tertiary Education","No controls","01/01/1999",,"Colombia","0.07","Vital registration data, Colombia 1998-2108",
"Figure B2.1","Weight at Birth, Colombia","Weight at Birth/Changes in Proportion Low birthweight for Mothers with Tertiary Education","No controls","01/01/2000",,"Colombia","0.08","Vital registration data, Colombia 1998-2109",
"Figure B2.1","Weight at Birth, Colombia","Weight at Birth/Changes in Proportion Low birthweight for Mothers with Tertiary Education","No controls","01/01/2001",,"Colombia","0.08","Vital registration data, Colombia 1998-2110",
"Figure B2.1","Weight at Birth, Colombia","Weight at Birth/Changes in Proportion Low birthweight for Mothers with Tertiary Education","No controls","01/01/2002",,"Colombia","0.08","Vital registration data, Colombia 1998-2111",
"Figure B2.1","Weight at Birth, Colombia","Weight at Birth/Changes in Proportion Low birthweight for Mothers with Tertiary Education","No controls","01/01/2003",,"Colombia","0.08","Vital registration data, Colombia 1998-2112",
"Figure B2.1","Weight at Birth, Colombia","Weight at Birth/Changes in Proportion Low birthweight for Mothers with Tertiary Education","No controls","01/01/2004",,"Colombia","0.08","Vital registration data, Colombia 1998-2113",
"Figure B2.1","Weight at Birth, Colombia","Weight at Birth/Changes in Proportion Low birthweight for Mothers with Tertiary Education","No controls","01/01/2005",,"Colombia","0.09","Vital registration data, Colombia 1998-2114",
"Figure B2.1","Weight at Birth, Colombia","Weight at Birth/Changes in Proportion Low birthweight for Mothers with Tertiary Education","No controls","01/01/2006",,"Colombia","0.09","Vital registration data, Colombia 1998-2115",
"Figure B2.1","Weight at Birth, Colombia","Weight at Birth/Changes in Proportion Low birthweight for Mothers with Tertiary Education","No controls","01/01/2007",,"Colombia","0.09","Vital registration data, Colombia 1998-2116",
"Figure B2.1","Weight at Birth, Colombia","Weight at Birth/Changes in Proportion Low birthweight for Mothers with Tertiary Education","No controls","01/01/2008",,"Colombia","0.09","Vital registration data, Colombia 1998-2117",
"Figure B2.1","Weight at Birth, Colombia","Weight at Birth/Changes in Proportion Low birthweight for Mothers with Tertiary Education","Controls 1","01/01/1998",,"Colombia","0.08","Vital registration data, Colombia 1998-2118",
"Figure B2.1","Weight at Birth, Colombia","Weight at Birth/Changes in Proportion Low birthweight for Mothers with Tertiary Education","Controls 1","01/01/1999",,"Colombia","0.07","Vital registration data, Colombia 1998-2119",
"Figure B2.1","Weight at Birth, Colombia","Weight at Birth/Changes in Proportion Low birthweight for Mothers with Tertiary Education","Controls 1","01/01/2000",,"Colombia","0.07","Vital registration data, Colombia 1998-2120",
"Figure B2.1","Weight at Birth, Colombia","Weight at Birth/Changes in Proportion Low birthweight for Mothers with Tertiary Education","Controls 1","01/01/2001",,"Colombia","0.08","Vital registration data, Colombia 1998-2121",
"Figure B2.1","Weight at Birth, Colombia","Weight at Birth/Changes in Proportion Low birthweight for Mothers with Tertiary Education","Controls 1","01/01/2002",,"Colombia","0.08","Vital registration data, Colombia 1998-2122",
"Figure B2.1","Weight at Birth, Colombia","Weight at Birth/Changes in Proportion Low birthweight for Mothers with Tertiary Education","Controls 1","01/01/2003",,"Colombia","0.08","Vital registration data, Colombia 1998-2123",
"Figure B2.1","Weight at Birth, Colombia","Weight at Birth/Changes in Proportion Low birthweight for Mothers with Tertiary Education","Controls 1","01/01/2004",,"Colombia","0.08","Vital registration data, Colombia 1998-2124",
"Figure B2.1","Weight at Birth, Colombia","Weight at Birth/Changes in Proportion Low birthweight for Mothers with Tertiary Education","Controls 1","01/01/2005",,"Colombia","0.08","Vital registration data, Colombia 1998-2125",
"Figure B2.1","Weight at Birth, Colombia","Weight at Birth/Changes in Proportion Low birthweight for Mothers with Tertiary Education","Controls 1","01/01/2006",,"Colombia","0.09","Vital registration data, Colombia 1998-2126",
"Figure B2.1","Weight at Birth, Colombia","Weight at Birth/Changes in Proportion Low birthweight for Mothers with Tertiary Education","Controls 1","01/01/2007",,"Colombia","0.09","Vital registration data, Colombia 1998-2127",
"Figure 5.3","CLASS Domain Scores, Brazil, Chile, and Ecuador","CLASS Domain Scores ","Classroom","01/01/",,"Chile","5.42","Cruz-Aguayo and others (2015).",
"Figure B2.1","Weight at Birth, Colombia","Weight at Birth/Changes in Proportion Low birthweight for Mothers with Tertiary Education","Controls 1","01/01/2008",,"Colombia","0.09","Vital registration data, Colombia 1998-2128",
"Figure B2.1","Weight at Birth, Colombia","Weight at Birth/Changes in Proportion Low birthweight for Mothers with Tertiary Education","Controls 2","01/01/1998",,"Colombia","0.08","Vital registration data, Colombia 1998-2129",
"Figure B2.1","Weight at Birth, Colombia","Weight at Birth/Changes in Proportion Low birthweight for Mothers with Tertiary Education","Controls 2","01/01/1999",,"Colombia","0.08","Vital registration data, Colombia 1998-2130",
"Figure B2.1","Weight at Birth, Colombia","Weight at Birth/Changes in Proportion Low birthweight for Mothers with Tertiary Education","Controls 2","01/01/2000",,"Colombia","0.07","Vital registration data, Colombia 1998-2131",
"Figure B2.1","Weight at Birth, Colombia","Weight at Birth/Changes in Proportion Low birthweight for Mothers with Tertiary Education","Controls 2","01/01/2001",,"Colombia","0.08","Vital registration data, Colombia 1998-2132",
"Figure B2.1","Weight at Birth, Colombia","Weight at Birth/Changes in Proportion Low birthweight for Mothers with Tertiary Education","Controls 2","01/01/2002",,"Colombia","0.07","Vital registration data, Colombia 1998-2133",
"Figure B2.1","Weight at Birth, Colombia","Weight at Birth/Changes in Proportion Low birthweight for Mothers with Tertiary Education","Controls 2","01/01/2003",,"Colombia","0.07","Vital registration data, Colombia 1998-2134",
"Figure B2.1","Weight at Birth, Colombia","Weight at Birth/Changes in Proportion Low birthweight for Mothers with Tertiary Education","Controls 2","01/01/2004",,"Colombia","0.06","Vital registration data, Colombia 1998-2135",
"Figure B2.1","Weight at Birth, Colombia","Weight at Birth/Changes in Proportion Low birthweight for Mothers with Tertiary Education","Controls 2","01/01/2005",,"Colombia","0.07","Vital registration data, Colombia 1998-2136",
"Figure B2.1","Weight at Birth, Colombia","Weight at Birth/Changes in Proportion Low birthweight for Mothers with Tertiary Education","Controls 2","01/01/2006",,"Colombia","0.07","Vital registration data, Colombia 1998-2137",
"Figure B2.1","Weight at Birth, Colombia","Weight at Birth/Changes in Proportion Low birthweight for Mothers with Tertiary Education","Controls 2","01/01/2007",,"Colombia","0.07","Vital registration data, Colombia 1998-2138",
"Figure B2.1","Weight at Birth, Colombia","Weight at Birth/Changes in Proportion Low birthweight for Mothers with Tertiary Education","Controls 2","01/01/2008",,"Colombia","0.07","Vital registration data, Colombia 1998-2139",
"Figure B2.2","Infant Mortality Rate and Per Capita GDP, Honduras, 1960-2010"," Infant Mortality Rate and Per Capita GDP","PIB/PPP","01/01/1960",,"Botswana","382.8359","World Development Indicators. Estimates developed by the UN Inter-Agency Group for Child Mortality Estimation (UNICEF, WHO, World Bank, UN DESA Population Division). All values of GDP in PPP thousands of dollars (2005 International $) were taken from the Penn World Table.",
"Figure B2.2","Infant Mortality Rate and Per Capita GDP, Honduras, 1960-2010"," Infant Mortality Rate and Per Capita GDP","PIB/PPP","01/01/1960",,"Lesotho","396.1467","World Development Indicators. Estimates developed by the UN Inter-Agency Group for Child Mortality Estimation (UNICEF, WHO, World Bank, UN DESA Population Division). All values of GDP in PPP thousands of dollars (2005 International $) were taken from the Penn World Table.",
"Figure B2.2","Infant Mortality Rate and Per Capita GDP, Honduras, 1960-2010"," Infant Mortality Rate and Per Capita GDP","PIB/PPP","01/01/1960",,"Burkina Faso","449.6199","World Development Indicators. Estimates developed by the UN Inter-Agency Group for Child Mortality Estimation (UNICEF, WHO, World Bank, UN DESA Population Division). All values of GDP in PPP thousands of dollars (2005 International $) were taken from the Penn World Table.",
"Figure B2.2","Infant Mortality Rate and Per Capita GDP, Honduras, 1960-2010"," Infant Mortality Rate and Per Capita GDP","PIB/PPP","01/01/1960",,"Burundi","470.131","World Development Indicators. Estimates developed by the UN Inter-Agency Group for Child Mortality Estimation (UNICEF, WHO, World Bank, UN DESA Population Division). All values of GDP in PPP thousands of dollars (2005 International $) were taken from the Penn World Table.",
"Figure B2.2","Infant Mortality Rate and Per Capita GDP, Honduras, 1960-2010"," Infant Mortality Rate and Per Capita GDP","PIB/PPP","01/01/1960",,"El Salvador","655.2844","World Development Indicators. Estimates developed by the UN Inter-Agency Group for Child Mortality Estimation (UNICEF, WHO, World Bank, UN DESA Population Division). All values of GDP in PPP thousands of dollars (2005 International $) were taken from the Penn World Table.",
"Figure B2.2","Infant Mortality Rate and Per Capita GDP, Honduras, 1960-2010"," Infant Mortality Rate and Per Capita GDP","PIB/PPP","01/01/1960",,"Togo","675.7662","World Development Indicators. Estimates developed by the UN Inter-Agency Group for Child Mortality Estimation (UNICEF, WHO, World Bank, UN DESA Population Division). All values of GDP in PPP thousands of dollars (2005 International $) were taken from the Penn World Table.",
"Figure B2.2","Infant Mortality Rate and Per Capita GDP, Honduras, 1960-2010"," Infant Mortality Rate and Per Capita GDP","PIB/PPP","01/01/1960",,"Mauritania","751.1627","World Development Indicators. Estimates developed by the UN Inter-Agency Group for Child Mortality Estimation (UNICEF, WHO, World Bank, UN DESA Population Division). All values of GDP in PPP thousands of dollars (2005 International $) were taken from the Penn World Table.",
"Figure 5.2","How Teachers Spend their Time in the Classroom","A breakdown of teacher time off-task / National - Teacher out of the room",,"01/01/",,"Mexico D.F.","4.1","Bruns and Luque (2015). ",
"Figure B2.2","Infant Mortality Rate and Per Capita GDP, Honduras, 1960-2010"," Infant Mortality Rate and Per Capita GDP","PIB/PPP","01/01/1960",,"Indonesia","790.0448","World Development Indicators. Estimates developed by the UN Inter-Agency Group for Child Mortality Estimation (UNICEF, WHO, World Bank, UN DESA Population Division). All values of GDP in PPP thousands of dollars (2005 International $) were taken from the Penn World Table.",
"Figure B2.2","Infant Mortality Rate and Per Capita GDP, Honduras, 1960-2010"," Infant Mortality Rate and Per Capita GDP","PIB/PPP","01/01/1960",,"Uganda","843.8489","World Development Indicators. Estimates developed by the UN Inter-Agency Group for Child Mortality Estimation (UNICEF, WHO, World Bank, UN DESA Population Division). All values of GDP in PPP thousands of dollars (2005 International $) were taken from the Penn World Table.",
"Figure B2.2","Infant Mortality Rate and Per Capita GDP, Honduras, 1960-2010"," Infant Mortality Rate and Per Capita GDP","PIB/PPP","01/01/1960",,"Tanzania","898.5311","World Development Indicators. Estimates developed by the UN Inter-Agency Group for Child Mortality Estimation (UNICEF, WHO, World Bank, UN DESA Population Division). All values of GDP in PPP thousands of dollars (2005 International $) were taken from the Penn World Table.",
"Figure B2.2","Infant Mortality Rate and Per Capita GDP, Honduras, 1960-2010"," Infant Mortality Rate and Per Capita GDP","PIB/PPP","01/01/1960",,"Congo, Rep.","900.5514","World Development Indicators. Estimates developed by the UN Inter-Agency Group for Child Mortality Estimation (UNICEF, WHO, World Bank, UN DESA Population Division). All values of GDP in PPP thousands of dollars (2005 International $) were taken from the Penn World Table.",
"Figure B2.2","Infant Mortality Rate and Per Capita GDP, Honduras, 1960-2010"," Infant Mortality Rate and Per Capita GDP","PIB/PPP","01/01/1960",,"Rwanda","939.6349","World Development Indicators. Estimates developed by the UN Inter-Agency Group for Child Mortality Estimation (UNICEF, WHO, World Bank, UN DESA Population Division). All values of GDP in PPP thousands of dollars (2005 International $) were taken from the Penn World Table.",
