"pais","delito","var","poblacion","a_o","a_o_date","num","location"
"Honduras","MUERTES POR ARMA DE FUEGO TOTALES","CASOS","8215313","2011","2011-01-01T00:00:00.000","5988","(15.0, -86.5)"
"Perú","ROBO","TASA BRUTA","28807034","2008","2008-01-01T00:00:00.000","149.03","(-10.0, -76.0)"
"Nicaragua","HOMICIDIOS TOTALES","TASA BRUTA","5742309","2009","2009-01-01T00:00:00.000","13.13","(13.0, -85.0)"
"Panamá","MUERTES POR LESIONES DE TRÁNSITO TOTALES","CASOS","3661835","2010","2010-01-01T00:00:00.000","423","(9.0, -80.0)"
"Panamá","MUERTES POR LESIONES DE TRÁNSITO TOTALES","TASA BRUTA","3661835","2010","2010-01-01T00:00:00.000","11.55","(9.0, -80.0)"
"El Salvador","VIOLENCIA INTRAFAMILIAR","CASOS","6152558","2009","2009-01-01T00:00:00.000","847","(13.8333, -88.9167)"
"Brasil","MUERTES POR LESIONES DE TRÁNSITO TOTALES","CASOS","201032714","2013","2013-01-01T00:00:00.000","44812","(-10.0, -55.0)"
"Belice","SUICIDIOS","CASOS","293126","2011","2011-01-01T00:00:00.000","17","(17.25, -88.75)"
"Honduras","MUERTES POR LESIONES DE TRÁNSITO TOTALES","CASOS","8555072","2013","2013-01-01T00:00:00.000","1008","(15.0, -86.5)"
"Honduras","VIOLENCIA INTRAFAMILIAR","CASOS","8555072","2013","2013-01-01T00:00:00.000","12876","(15.0, -86.5)"
"Paraguay","VIOLENCIA INTRAFAMILIAR","TASA BRUTA","6672631","2012","2012-01-01T00:00:00.000","97.28","(-23.0, -58.0)"
"Paraguay","HOMICIDIOS TOTALES","TASA BRUTA","6561785","2011","2011-01-01T00:00:00.000","10.74","(-23.0, -58.0)"
"República Dominicana","MUERTES POR ARMA DE FUEGO HOMBRES","CASOS","5116325","2013","2013-01-01T00:00:00.000","1104","(19.0, -70.6667)"
"Chile","DELITOS SEXUALES","CASOS","17402630","2012","2012-01-01T00:00:00.000","16338","(-30.0, -71.0)"
"Honduras","MUERTES POR ARMA DE FUEGO TOTALES","TASA BRUTA","8045990","2010","2010-01-01T00:00:00.000","64.55","(15.0, -86.5)"
"Ecuador","ROBO AUTOS","CASOS",,"2013","2013-01-01T00:00:00.000","13649","(-2.0, -77.5)"
"Paraguay","SUICIDIOS","CASOS","5495100","2008","2008-01-01T00:00:00.000","308","(-23.0, -58.0)"
"Uruguay","SUICIDIOS","TASA INDIRECTA","3129501","2011","2011-01-01T00:00:00.000","19.54","(-33.0, -56.0)"
"Guatemala","SUICIDIOS HOMBRES","CASOS","6399640","2013","2013-01-01T00:00:00.000","418","(15.5, -90.25)"
"México","DELITOS SEXUALES","TASA BRUTA","108396211","2010","2010-01-01T00:00:00.000","31.59","(23.0, -102.0)"
"República Dominicana","SUICIDIOS","TASA BRUTA","8946462","2011","2011-01-01T00:00:00.000","7.19","(19.0, -70.6667)"
"Belice","HURTO","TASA BRUTA","315082","2009","2009-01-01T00:00:00.000","422.75","(17.25, -88.75)"
"Uruguay","SUICIDIOS","TASA BRUTA","3092942","2008","2008-01-01T00:00:00.000","18.170000000000002","(-33.0, -56.0)"
"Colombia","SECUESTROS","TASA BRUTA","46581823","2012","2012-01-01T00:00:00.000","0.38","(4.0, -72.0)"
"Panamá","VIOLENCIA INTRAFAMILIAR","CASOS","3850735","2013","2013-01-01T00:00:00.000","16660","(9.0, -80.0)"
"República Dominicana","SUICIDIOS","CASOS","8560952","2008","2008-01-01T00:00:00.000","536","(19.0, -70.6667)"
"Costa Rica","MUERTES POR LESIONES DE TRÁNSITO MUJERES","CASOS","2332318","2013","2013-01-01T00:00:00.000","108","(10.0, -84.0)"
"Panamá","SECUESTROS","CASOS","3850735","2013","2013-01-01T00:00:00.000","26","(9.0, -80.0)"
"Nicaragua","SECUESTROS","CASOS","5815524","2010","2010-01-01T00:00:00.000","7","(13.0, -85.0)"
"Bolivia","HOMICIDIOS TOTALES","CASOS",,"2013","2013-01-01T00:00:00.000","938","(-17.0, -65.0)"
"Honduras","DELITOS SEXUALES","TASA BRUTA","8555072","2013","2013-01-01T00:00:00.000","38.979999999999997","(15.0, -86.5)"
"Guatemala","MUERTES POR LESIONES DE TRÁNSITO TOTALES","CASOS","15438384","2013","2013-01-01T00:00:00.000","1521","(15.5, -90.25)"
"República Dominicana","ROBO","TASA BRUTA","9755954","2009","2009-01-01T00:00:00.000","282.27999999999997","(19.0, -70.6667)"
"Perú","MUERTES POR ARMA DE FUEGO TOTALES","CASOS","29461933","2010","2010-01-01T00:00:00.000","1019","(-10.0, -76.0)"
"Costa Rica","HOMICIDIOS TOTALES","TASA BRUTA","4592149","2011","2011-01-01T00:00:00.000","10.32","(10.0, -84.0)"
"Jamaica","ROBO","TASA BRUTA","2671938","2008","2008-01-01T00:00:00.000","99.55","(18.25, -77.5)"
"Panamá","VIOLENCIA INTRAFAMILIAR","TASA BRUTA","3723821","2011","2011-01-01T00:00:00.000","128.36000000000001","(9.0, -80.0)"
"Panamá","SUICIDIOS","TASA BRUTA","3236581","2009","2009-01-01T00:00:00.000","1.88","(9.0, -80.0)"
"Bolivia","MUERTES POR LESIONES DE TRÁNSITO TOTALES","CASOS",,"2011","2011-01-01T00:00:00.000","1335","(-17.0, -65.0)"
"República Dominicana","MUERTES POR LESIONES DE TRÁNSITO TOTALES","CASOS","10257724","2013","2013-01-01T00:00:00.000","1902","(19.0, -70.6667)"
"Paraguay","SECUESTROS","TASA BRUTA","6561785","2011","2011-01-01T00:00:00.000","0.03","(-23.0, -58.0)"
"Jamaica","DELITOS SEXUALES","CASOS","2671938","2008","2008-01-01T00:00:00.000","1459","(18.25, -77.5)"
"Nicaragua","ROBO AUTOS","TASA BRUTA","511631","2012","2012-01-01T00:00:00.000","4.26","(13.0, -85.0)"
"Colombia","HOMICIDIOS MUJERES","CASOS","23857050","2013","2013-01-01T00:00:00.000","1173","(4.0, -72.0)"
"Uruguay","VIOLENCIA INTRAFAMILIAR","CASOS","3356584","2010","2010-01-01T00:00:00.000","15277","(-33.0, -56.0)"
"Costa Rica","SECUESTROS","TASA BRUTA","4713168","2013","2013-01-01T00:00:00.000","0.13","(10.0, -84.0)"
"Panamá","SECUESTROS","TASA BRUTA","3723821","2011","2011-01-01T00:00:00.000","0.67","(9.0, -80.0)"
"República Dominicana","MUERTES POR LESIONES DE TRÁNSITO TOTALES","CASOS","9755954","2009","2009-01-01T00:00:00.000","1873","(19.0, -70.6667)"
"Perú","ROBO AUTOS","CASOS","1640970","2008","2008-01-01T00:00:00.000","12840","(-10.0, -76.0)"
"Perú","MALTRATO DE NIÑOS NIÑAS ADOLESCENTES","CASOS","10525484","2012","2012-01-01T00:00:00.000","11874","(-10.0, -76.0)"
"Uruguay","HOMICIDIOS TOTALES","TASA BRUTA","3356584","2010","2010-01-01T00:00:00.000","6.11","(-33.0, -56.0)"
"Uruguay","MUERTES POR LESIONES DE TRÁNSITO TOTALES","TASA BRUTA","3334052","2008","2008-01-01T00:00:00.000","13.89","(-33.0, -56.0)"
"Ecuador","HURTO","CASOS","15520973","2012","2012-01-01T00:00:00.000","15687","(-2.0, -77.5)"
"República Dominicana","HOMICIDIOS TOTALES","CASOS","10257724","2013","2013-01-01T00:00:00.000","1978","(19.0, -70.6667)"
"República Dominicana","MUERTES POR LESIONES DE TRÁNSITO TOTALES","CASOS","10135105","2012","2012-01-01T00:00:00.000","1768","(19.0, -70.6667)"
"Uruguay","VIOLENCIA INTRAFAMILIAR","TASA BRUTA","3344938","2009","2009-01-01T00:00:00.000","409.93","(-33.0, -56.0)"
"Colombia","ROBO","TASA BRUTA","45509584","2010","2010-01-01T00:00:00.000","121.81","(4.0, -72.0)"
"República Dominicana","MALTRATO DE NIÑOS NIÑAS ADOLESCENTES","CASOS",,"2012","2012-01-01T00:00:00.000","2268","(19.0, -70.6667)"
"Jamaica","MUERTES POR LESIONES DE TRÁNSITO TOTALES","TASA BRUTA","2699838","2011","2011-01-01T00:00:00.000","11.41","(18.25, -77.5)"
"Panamá","HURTO","CASOS","3600000","2009","2009-01-01T00:00:00.000","18168","(9.0, -80.0)"
"Jamaica","ROBO AUTOS","CASOS",,"2008","2008-01-01T00:00:00.000","222","(18.25, -77.5)"
"Uruguay","HOMICIDIOS TOTALES","CASOS","3334052","2008","2008-01-01T00:00:00.000","221","(-33.0, -56.0)"
"Honduras","MUERTES POR ARMA DE FUEGO TOTALES","TASA INDIRECTA","7706907","2008","2008-01-01T00:00:00.000","44.69","(15.0, -86.5)"
"Panamá","SUICIDIOS","TASA BRUTA","3421407","2012","2012-01-01T00:00:00.000","1.87","(9.0, -80.0)"
"Paraguay","SUICIDIOS","CASOS","6041823","2013","2013-01-01T00:00:00.000","371","(-23.0, -58.0)"
"Guyana","MUERTES POR LESIONES DE TRÁNSITO TOTALES","TASA BRUTA","767083","2009","2009-01-01T00:00:00.000","15.25","(5.0, -59.0)"
"Costa Rica","HOMICIDIOS TOTALES","TASA INDIRECTA","4592149","2011","2011-01-01T00:00:00.000","9.1999999999999993","(10.0, -84.0)"
"Chile","HOMICIDIOS TOTALES","TASA BRUTA","16763470","2008","2008-01-01T00:00:00.000","3.14","(-30.0, -71.0)"
"Panamá","MALTRATO DE NIÑOS NIÑAS ADOLESCENTES","TASA BRUTA","3723821","2011","2011-01-01T00:00:00.000","0.22","(9.0, -80.0)"
"Perú","MUERTES POR LESIONES DE TRÁNSITO TOTALES","TASA INDIRECTA","29461933","2010","2010-01-01T00:00:00.000","10.25","(-10.0, -76.0)"
"Panamá","SUICIDIOS","CASOS","3359038","2011","2011-01-01T00:00:00.000","48","(9.0, -80.0)"
"Uruguay","ROBO","TASA BRUTA","3356584","2010","2010-01-01T00:00:00.000","412","(-33.0, -56.0)"
"Jamaica","SUICIDIOS","TASA INDIRECTA","2515998","2013","2013-01-01T00:00:00.000","2.29","(18.25, -77.5)"
"Uruguay","SUICIDIOS","TASA INDIRECTA","3141842","2012","2012-01-01T00:00:00.000","19.559999999999999","(-33.0, -56.0)"
"Costa Rica","HOMICIDIOS TOTALES","CASOS","4592149","2011","2011-01-01T00:00:00.000","474","(10.0, -84.0)"
"Jamaica","HOMICIDIOS TOTALES","TASA BRUTA","2681386","2009","2009-01-01T00:00:00.000","62.77","(18.25, -77.5)"
"Paraguay","MUERTES POR LESIONES DE TRÁNSITO TOTALES","TASA BRUTA","6340639","2009","2009-01-01T00:00:00.000","18.149999999999999","(-23.0, -58.0)"
"Jamaica","HURTO","TASA BRUTA","2714734","2013","2013-01-01T00:00:00.000","14.03","(18.25, -77.5)"
"Paraguay","MUERTES POR LESIONES DE TRÁNSITO TOTALES","TASA INDIRECTA","6561785","2011","2011-01-01T00:00:00.000","19.21","(-23.0, -58.0)"
"Perú","MUERTES POR ARMA DE FUEGO TOTALES","CASOS","30135875","2012","2012-01-01T00:00:00.000","1082","(-10.0, -76.0)"
"Honduras","SECUESTROS","TASA INDIRECTA","8215313","2011","2011-01-01T00:00:00.000","0.51","(15.0, -86.5)"
"Costa Rica","MUERTES POR LESIONES DE TRÁNSITO TOTALES","TASA BRUTA","4713168","2013","2013-01-01T00:00:00.000","13.66","(10.0, -84.0)"
"Paraguay","SUICIDIOS","TASA BRUTA","5603984","2009","2009-01-01T00:00:00.000","5.64","(-23.0, -58.0)"
"Uruguay","ROBO AUTOS","CASOS",,"2012","2012-01-01T00:00:00.000","3390","(-33.0, -56.0)"
"Belice","HURTO","TASA BRUTA","349728","2013","2013-01-01T00:00:00.000","289.08","(17.25, -88.75)"
"Ecuador","SECUESTROS","TASA INDIRECTA","14005449","2009","2009-01-01T00:00:00.000","0.2","(-2.0, -77.5)"
"Colombia","SECUESTROS","CASOS","47121089","2013","2013-01-01T00:00:00.000","163","(4.0, -72.0)"
"Perú","SUICIDIOS","TASA INDIRECTA","27573083","2013","2013-01-01T00:00:00.000","1.37","(-10.0, -76.0)"
"Guatemala","HOMICIDIOS TOTALES","TASA INDIRECTA","15438384","2013","2013-01-01T00:00:00.000","32.880000000000003","(15.5, -90.25)"
"Uruguay","SUICIDIOS","CASOS","3092942","2008","2008-01-01T00:00:00.000","562","(-33.0, -56.0)"
"Panamá","MUERTES POR LESIONES DE TRÁNSITO TOTALES","TASA INDIRECTA","3537986","2008","2008-01-01T00:00:00.000","13.16","(9.0, -80.0)"
"República Dominicana","HOMICIDIOS TOTALES","TASA BRUTA","10257724","2013","2013-01-01T00:00:00.000","19.28","(19.0, -70.6667)"
"Chile","MUERTES POR ARMA DE FUEGO TOTALES","CASOS","16763470","2008","2008-01-01T00:00:00.000","430","(-30.0, -71.0)"
"Honduras","MUERTES POR ARMA DE FUEGO TOTALES","TASA BRUTA","7876662","2009","2009-01-01T00:00:00.000","54.4","(15.0, -86.5)"
"Nicaragua","HURTO","CASOS","5742309","2009","2009-01-01T00:00:00.000","12739","(13.0, -85.0)"
"República Dominicana","HOMICIDIOS TOTALES","CASOS","9755954","2009","2009-01-01T00:00:00.000","2375","(19.0, -70.6667)"
"Colombia","ROBO","CASOS","44451147","2008","2008-01-01T00:00:00.000","65625","(4.0, -72.0)"
"Guyana","DELITOS SEXUALES","CASOS","767083","2008","2008-01-01T00:00:00.000","76","(5.0, -59.0)"
"El Salvador","MUERTES POR ARMA DE FUEGO TOTALES","TASA INDIRECTA","6124704","2008","2008-01-01T00:00:00.000","38.54","(13.8333, -88.9167)"
"El Salvador","SECUESTROS","CASOS","6216143","2011","2011-01-01T00:00:00.000","2","(13.8333, -88.9167)"
"Jamaica","ROBO","CASOS","2690824","2010","2010-01-01T00:00:00.000","2855","(18.25, -77.5)"
"Panamá","HOMICIDIOS TOTALES","TASA INDIRECTA","3723821","2011","2011-01-01T00:00:00.000","19.28","(9.0, -80.0)"
"Costa Rica","ROBO","TASA BRUTA","4713168","2013","2013-01-01T00:00:00.000","1017.45","(10.0, -84.0)"
"República Dominicana","HOMICIDIOS TOTALES","CASOS","9884371","2010","2010-01-01T00:00:00.000","2474","(19.0, -70.6667)"
"Chile","MUERTES POR LESIONES DE TRÁNSITO TOTALES","TASA BRUTA","17094275","2010","2010-01-01T00:00:00.000","12.09","(-30.0, -71.0)"
"Nicaragua","HOMICIDIOS TOTALES","CASOS","5888945","2011","2011-01-01T00:00:00.000","738","(13.0, -85.0)"
"Colombia","SUICIDIOS","TASA BRUTA","41229863","2010","2010-01-01T00:00:00.000","4.5199999999999996","(4.0, -72.0)"
"Panamá","MUERTES POR LESIONES DE TRÁNSITO HOMBRES","CASOS","1934264","2013","2013-01-01T00:00:00.000","316","(9.0, -80.0)"
"Chile","DELITOS SEXUALES","CASOS","17248450","2011","2011-01-01T00:00:00.000","15538","(-30.0, -71.0)"
"Honduras","SECUESTROS","TASA BRUTA","8555072","2013","2013-01-01T00:00:00.000","0.4","(15.0, -86.5)"
"Chile","VIOLENCIA INTRAFAMILIAR","TASA BRUTA","17248450","2011","2011-01-01T00:00:00.000","899.29","(-30.0, -71.0)"
"Nicaragua","VIOLENCIA INTRAFAMILIAR","CASOS","5815524","2010","2010-01-01T00:00:00.000","3984","(13.0, -85.0)"
"Nicaragua","HOMICIDIOS TOTALES","CASOS","5962782","2012","2012-01-01T00:00:00.000","673","(13.0, -85.0)"
"República Dominicana","MUERTES POR ARMA DE FUEGO TOTALES","TASA INDIRECTA","9884371","2010","2010-01-01T00:00:00.000","16.32","(19.0, -70.6667)"
"República Dominicana","HOMICIDIOS TOTALES","CASOS","10135105","2012","2012-01-01T00:00:00.000","2268","(19.0, -70.6667)"
"Ecuador","DELITOS SEXUALES","TASA BRUTA","14204900","2010","2010-01-01T00:00:00.000","34.33","(-2.0, -77.5)"
"Belice","SUICIDIOS","CASOS","277435","2009","2009-01-01T00:00:00.000","10","(17.25, -88.75)"
"Honduras","MUERTES POR LESIONES DE TRÁNSITO TOTALES","TASA INDIRECTA","8045990","2010","2010-01-01T00:00:00.000","16.64","(15.0, -86.5)"
"Nicaragua","HURTO","TASA BRUTA","5815524","2010","2010-01-01T00:00:00.000","179.74","(13.0, -85.0)"
"Chile","HOMICIDIOS TOTALES","CASOS","16763470","2008","2008-01-01T00:00:00.000","526","(-30.0, -71.0)"
"Nicaragua","ROBO","CASOS","5962782","2012","2012-01-01T00:00:00.000","16989","(13.0, -85.0)"
"Jamaica","MUERTES POR ARMA DE FUEGO TOTALES","CASOS","2714734","2013","2013-01-01T00:00:00.000","881","(18.25, -77.5)"
"Ecuador","HURTO","TASA BRUTA","15520973","2012","2012-01-01T00:00:00.000","101.07","(-2.0, -77.5)"
"Costa Rica","DELITOS SEXUALES","TASA BRUTA","4652459","2012","2012-01-01T00:00:00.000","134.34","(10.0, -84.0)"
"El Salvador","SUICIDIOS","TASA BRUTA","5544145","2009","2009-01-01T00:00:00.000","1.64","(13.8333, -88.9167)"
"Jamaica","MUERTES POR ARMA DE FUEGO TOTALES","TASA BRUTA","2714734","2013","2013-01-01T00:00:00.000","32.450000000000003","(18.25, -77.5)"
"Honduras","HOMICIDIOS TOTALES","TASA BRUTA","7706907","2008","2008-01-01T00:00:00.000","58.04","(15.0, -86.5)"
"Honduras","MUERTES POR LESIONES DE TRÁNSITO TOTALES","TASA INDIRECTA","7706907","2008","2008-01-01T00:00:00.000","17.98","(15.0, -86.5)"
"Nicaragua","MALTRATO DE NIÑOS NIÑAS ADOLESCENTES","CASOS",,"2013","2013-01-01T00:00:00.000","443","(13.0, -85.0)"
"Paraguay","DELITOS SEXUALES","TASA BRUTA","6230142","2008","2008-01-01T00:00:00.000","44.56","(-23.0, -58.0)"
"Honduras","HOMICIDIOS TOTALES","TASA BRUTA","8045990","2010","2010-01-01T00:00:00.000","77.5","(15.0, -86.5)"
"Colombia","VIOLENCIA INTRAFAMILIAR","TASA BRUTA","46581823","2012","2012-01-01T00:00:00.000","176.41","(4.0, -72.0)"
"Nicaragua","MUERTES POR LESIONES DE TRÁNSITO TOTALES","TASA INDIRECTA","5962782","2012","2012-01-01T00:00:00.000","12.26","(13.0, -85.0)"
"Colombia","MUERTES POR LESIONES DE TRÁNSITO TOTALES","CASOS","45509584","2010","2010-01-01T00:00:00.000","5704","(4.0, -72.0)"
"Chile","VIOLENCIA INTRAFAMILIAR","CASOS","17094275","2010","2010-01-01T00:00:00.000","137177","(-30.0, -71.0)"
"El Salvador","ROBO","TASA BRUTA","6216143","2011","2011-01-01T00:00:00.000","92.81","(13.8333, -88.9167)"
"Chile","SECUESTROS","CASOS","17402630","2012","2012-01-01T00:00:00.000","254","(-30.0, -71.0)"
"Jamaica","MUERTES POR LESIONES DE TRÁNSITO TOTALES","CASOS","2714734","2013","2013-01-01T00:00:00.000","306","(18.25, -77.5)"
"Chile","ROBO","TASA BRUTA","17402630","2012","2012-01-01T00:00:00.000","469.26","(-30.0, -71.0)"
"Jamaica","ROBO","CASOS","2699838","2011","2011-01-01T00:00:00.000","3093","(18.25, -77.5)"
"Perú","ROBO AUTOS","TASA BRUTA","1732834","2009","2009-01-01T00:00:00.000","79.56","(-10.0, -76.0)"
"Perú","HURTO","TASA BRUTA","29461933","2010","2010-01-01T00:00:00.000","189.49","(-10.0, -76.0)"
"Ecuador","MUERTES POR ARMA DE FUEGO TOTALES","CASOS","15266431","2011","2011-01-01T00:00:00.000","1565","(-2.0, -77.5)"
"República Dominicana","HOMICIDIOS TOTALES","TASA INDIRECTA","10010590","2011","2011-01-01T00:00:00.000","23.47","(19.0, -70.6667)"
"Uruguay","DELITOS SEXUALES","TASA BRUTA","3344938","2009","2009-01-01T00:00:00.000","36.14","(-33.0, -56.0)"
"México","ROBO","TASA BRUTA","106682518","2008","2008-01-01T00:00:00.000","615.73","(23.0, -102.0)"
"Jamaica","ROBO","TASA BRUTA","2707805","2012","2012-01-01T00:00:00.000","102.33","(18.25, -77.5)"
"Panamá","VIOLENCIA INTRAFAMILIAR","CASOS","3723821","2011","2011-01-01T00:00:00.000","4780","(9.0, -80.0)"
"Nicaragua","MUERTES POR LESIONES DE TRÁNSITO TOTALES","TASA BRUTA","6036395","2013","2013-01-01T00:00:00.000","9.56","(13.0, -85.0)"
"México","SECUESTROS","TASA BRUTA","115618330","2011","2011-01-01T00:00:00.000","1.1499999999999999","(23.0, -102.0)"
"Costa Rica","SECUESTROS","TASA INDIRECTA","4652459","2012","2012-01-01T00:00:00.000","0.1","(10.0, -84.0)"
"Paraguay","DELITOS SEXUALES","TASA BRUTA","6340639","2009","2009-01-01T00:00:00.000","48.95","(-23.0, -58.0)"
"Chile","MALTRATO DE NIÑOS NIÑAS ADOLESCENTES","TASA BRUTA","4628933","2013","2013-01-01T00:00:00.000","1.37","(-30.0, -71.0)"
"Paraguay","MUERTES POR LESIONES DE TRÁNSITO TOTALES","TASA INDIRECTA","6783374","2013","2013-01-01T00:00:00.000","17.63","(-23.0, -58.0)"
"Bolivia","HOMICIDIOS TOTALES","CASOS",,"2009","2009-01-01T00:00:00.000","802","(-17.0, -65.0)"
"Jamaica","MUERTES POR LESIONES DE TRÁNSITO TOTALES","TASA BRUTA","2690824","2010","2010-01-01T00:00:00.000","11.86","(18.25, -77.5)"
"Ecuador","HOMICIDIOS TOTALES","TASA INDIRECTA","15520973","2012","2012-01-01T00:00:00.000","11.83","(-2.0, -77.5)"
"Jamaica","SECUESTROS","TASA INDIRECTA","2681386","2009","2009-01-01T00:00:00.000","0.14000000000000001","(18.25, -77.5)"
"Uruguay","HOMICIDIOS TOTALES","TASA BRUTA","3392407","2013","2013-01-01T00:00:00.000","7.66","(-33.0, -56.0)"
"Nicaragua","SECUESTROS","TASA INDIRECTA","5888945","2011","2011-01-01T00:00:00.000","0.09","(13.0, -85.0)"
"Panamá","MALTRATO DE NIÑOS NIÑAS ADOLESCENTES","TASA BRUTA","3469972","2008","2008-01-01T00:00:00.000","0.1","(9.0, -80.0)"
"Paraguay","HOMICIDIOS TOTALES","CASOS","6561785","2011","2011-01-01T00:00:00.000","705","(-23.0, -58.0)"
"Jamaica","MUERTES POR LESIONES DE TRÁNSITO TOTALES","CASOS","2690824","2010","2010-01-01T00:00:00.000","319","(18.25, -77.5)"
"Chile","SUICIDIOS","TASA INDIRECTA","15519490","2008","2008-01-01T00:00:00.000","14.65","(-30.0, -71.0)"
"República Dominicana","DELITOS SEXUALES","CASOS","9625207","2008","2008-01-01T00:00:00.000","2613","(19.0, -70.6667)"
"Belice","SECUESTROS","TASA BRUTA","315082","2009","2009-01-01T00:00:00.000","0.95","(17.25, -88.75)"
"Honduras","ROBO","TASA BRUTA","7706907","2008","2008-01-01T00:00:00.000","225.04","(15.0, -86.5)"
"República Dominicana","HOMICIDIOS TOTALES","TASA BRUTA","9884371","2010","2010-01-01T00:00:00.000","25.03","(19.0, -70.6667)"
"República Dominicana","MUERTES POR LESIONES DE TRÁNSITO TOTALES","CASOS","9884371","2010","2010-01-01T00:00:00.000","2015","(19.0, -70.6667)"
"Uruguay","HOMICIDIOS TOTALES","TASA BRUTA","3380544","2012","2012-01-01T00:00:00.000","7.9","(-33.0, -56.0)"
"Perú","MUERTES POR ARMA DE FUEGO TOTALES","TASA INDIRECTA","30135875","2012","2012-01-01T00:00:00.000","3.3","(-10.0, -76.0)"
"República Dominicana","SUICIDIOS","TASA BRUTA","9201291","2013","2013-01-01T00:00:00.000","6.17","(19.0, -70.6667)"
"Honduras","HURTO","CASOS","7876662","2009","2009-01-01T00:00:00.000","5318","(15.0, -86.5)"
"Panamá","SECUESTROS","TASA BRUTA","3661835","2010","2010-01-01T00:00:00.000","1.04","(9.0, -80.0)"
"Costa Rica","MUERTES POR LESIONES DE TRÁNSITO TOTALES","TASA BRUTA","4592149","2011","2011-01-01T00:00:00.000","12.94","(10.0, -84.0)"
