"pais","idpilar","titulopilar","idcomponente","titulocomponente","idindicador","tituloindicador","idrequisito","t_tulorequisito","respuestarequisito","porcentaje","dias","promedio","titulosector","a_o_texto","a_o_fechayhora","id_paisrequisito"
"Surinam","4","CUARTO PILAR: GESTION DE PROGRAMAS Y PROYECTOS","19","GESTIÓN SECTORIAL DE BIENES Y SERVICIOS EN BASE A RESULTADOS","2","Existe una estrategia para mejorar la calidad de los bienes y servicios que produce el sector","4","Existencia de una estrategia explícita de gestión en base a resultados.",,,,,"Desarrollo Social","2013","2013-01-01T00:00:00.000","Surinam41924"
"Costa Rica","4","CUARTO PILAR: GESTION DE PROGRAMAS Y PROYECTOS","16","PLANIFICACIÓN SECTORIAL CON BASE EN RESULTADOS","1","El sector cuenta con una visión de largo plazo que supere el periodo de gobierno","1","Existencia de una visión sectorial de largo plazo.","El requisito no se cumple. En caso de no cumplimiento de este requisito, pasar directamente al siguiente indicador.",,,,"Educación","2013","2013-01-01T00:00:00.000","Costa Rica41611"
"Rep. Domin.","3","TERCER PILAR: GESTIÓN FINANCIERA PÚBLICA","13","SISTEMA DE ADQUISICIONES Y CONTRATACIONES PÚBLICAS","2","Existe un sistema electrónico de adquisiciones y contrataciones públicas","5","Transparencia y disponibilidad del estado de las transacciones.","El requisito se cumple parcialmente, es decir, el sistema electrónico de adquisiciones y contrataciones dispone de dispositivos abiertos que permiten conocer el estado de todas las transacciones que se realizan, pero sólo en algunas de las etapas del ciclo de adquisiciones, y/o no incluye información sobre los participantes, los valores de oferta o las calificaciones.",,,,,"2013","2013-01-01T00:00:00.000","Rep. Domin.31325"
"Colombia","4","CUARTO PILAR: GESTION DE PROGRAMAS Y PROYECTOS","16","PLANIFICACIÓN SECTORIAL CON BASE EN RESULTADOS","2","Se cuenta con un plan sectorial de mediano plazo que contiene los objetivos prioritarios","7","Articulación con la visión sectorial de largo plazo.","El requisito no se cumple.",,,,"Desarrollo Social","2013","2013-01-01T00:00:00.000","Colombia41627"
"Ecuador","4","CUARTO PILAR: GESTION DE PROGRAMAS Y PROYECTOS","19","GESTIÓN SECTORIAL DE BIENES Y SERVICIOS EN BASE A RESULTADOS","1","Existe una cartera de los bienes y servicios que produce el sector","2","Existencia de metas de producción de bienes y servicios.","El requisito no se cumple.",,,,"Desarrollo Social","2013","2013-01-01T00:00:00.000","Ecuador41912"
"México","4","CUARTO PILAR: GESTION DE PROGRAMAS Y PROYECTOS","19","GESTIÓN SECTORIAL DE BIENES Y SERVICIOS EN BASE A RESULTADOS","4","Existen mecanismos que incentivan la obtención de resultados institucionales a nivel sectorial","3","Utilización de incentivos no monetarios colectivos.","El requisito se cumple en su totalidad, es decir, se utilizan incentivos no monetarios colectivos directamente vinculados a cumplir objetivos estratégicos de acuerdo con mecanismos formales y transparentes.",,,,"Educación","2013","2013-01-01T00:00:00.000","México41943"
"Honduras","4","CUARTO PILAR: GESTION DE PROGRAMAS Y PROYECTOS","16","PLANIFICACIÓN SECTORIAL CON BASE EN RESULTADOS","1","El sector cuenta con una visión de largo plazo que supere el periodo de gobierno","2","Inclusión de un diagnóstico de la situación y de los problemas de la población.","El requisito no se cumple.",,,,"Infraestructura","2013","2013-01-01T00:00:00.000","Honduras41612"
"Surinam","3","TERCER PILAR: GESTIÓN FINANCIERA PÚBLICA","13","SISTEMA DE ADQUISICIONES Y CONTRATACIONES PÚBLICAS","1","Se dispone de un marco legal e institucional para los procesos de adquisiciones y contrataciones públicas","1","Existencia de una Ley (o decreto) y su respectivo reglamento para los procesos de adquisiciones y contrataciones públicas.","El requisito se cumple parcialmente, es decir, está en vigencia una ley (o decreto) que regula los procesos de adquisiciones y contrataciones públicas pero esta no tiene un reglamento para llevar a cabo su cumplimiento.",,,,,"2013","2013-01-01T00:00:00.000","Surinam31311"
"Guatemala","4","CUARTO PILAR: GESTION DE PROGRAMAS Y PROYECTOS","16","PLANIFICACIÓN SECTORIAL CON BASE EN RESULTADOS","3","Las visiones de largo plazo y los planes de mediano plazo sectoriales se encuentran articulados","2","Articulación efectiva de los planes de mediano plazo.","El requisito no se cumple.",,,,"Salud","2013","2013-01-01T00:00:00.000","Guatemala41632"
"Perú","4","CUARTO PILAR: GESTION DE PROGRAMAS Y PROYECTOS","16","PLANIFICACIÓN SECTORIAL CON BASE EN RESULTADOS","3","Las visiones de largo plazo y los planes de mediano plazo sectoriales se encuentran articulados","2","Articulación efectiva de los planes de mediano plazo.","El requisito no se cumple.",,,,"Infraestructura","2013","2013-01-01T00:00:00.000","Perú41632"
"Bahamas","2","SEGUNDO PILAR: PRESUPUESTO POR RESULTADOS","4","ESTRUCTURACIÓN DEL PRESUPUESTO DE GASTO CON BASE EN PROGRAMAS","3","Características de la estructura programática del presupuesto","1","Utilización de programas para gasto de inversión y corriente.","El requisito no se cumple.",,,,,"2013","2013-01-01T00:00:00.000","Bahamas2431"
"El Salvador","4","CUARTO PILAR: GESTION DE PROGRAMAS Y PROYECTOS","16","PLANIFICACIÓN SECTORIAL CON BASE EN RESULTADOS","1","El sector cuenta con una visión de largo plazo que supere el periodo de gobierno","6","Difusión de la visión sectorial de largo plazo.","El requisito no se cumple.",,,,"Infraestructura","2013","2013-01-01T00:00:00.000","El Salvador41616"
"Perú","4","CUARTO PILAR: GESTION DE PROGRAMAS Y PROYECTOS","16","PLANIFICACIÓN SECTORIAL CON BASE EN RESULTADOS","1","El sector cuenta con una visión de largo plazo que supere el periodo de gobierno","1","Existencia de una visión sectorial de largo plazo.","El requisito no se cumple. En caso de no cumplimiento de este requisito, pasar directamente al siguiente indicador.",,,,"Educación","2013","2013-01-01T00:00:00.000","Perú41611"
"Nicaragua","3","TERCER PILAR: GESTIÓN FINANCIERA PÚBLICA","14","AUDITORÍA INTERNA Y EXTERNA","3","Se dispone de un marco legal e institucional para la realización de auditorías externas","1","Existencia de una Ley (o decreto) y su respectivo reglamento.","El requisito se cumple en su totalidad, es decir, está en vigencia una ley (o decreto) y su respectivo reglamento que regula la auditoría externa y que se adhiere a las normas internacionales de auditoría externa en el sector público (INTOSAI).",,,,,"2013","2013-01-01T00:00:00.000","Nicaragua31431"
"Argentina","3","TERCER PILAR: GESTIÓN FINANCIERA PÚBLICA","11","SISTEMA DE CONTABILIDAD","1","El sistema de contabilidad permite la toma de decisiones financieras","2","Utilización de las bases contable del efectivo (caja) y de la acumulación (o devengado).","El requisito se cumple en su totalidad, es decir, la contabilidad se organiza sobre la base contable del efectivo (caja) y de devengado.",,,,,"2013","2013-01-01T00:00:00.000","Argentina31112"
"Barbados","4","CUARTO PILAR: GESTION DE PROGRAMAS Y PROYECTOS","20","SISTEMAS DE INFORMACIÓN Y SEGUIMIENTO SECTORIAL","1","Existe un sistema de información sectorial compuesto por datos sobre la producción de bienes y servicios, e indicadores de desempeño","1","Inclusión de información sobre la producción de bienes y servicios.","El requisito no se cumple.",,,,"Desarrollo Social","2013","2013-01-01T00:00:00.000","Barbados42011"
"Belice","4","CUARTO PILAR: GESTION DE PROGRAMAS Y PROYECTOS","19","GESTIÓN SECTORIAL DE BIENES Y SERVICIOS EN BASE A RESULTADOS","4","Existen mecanismos que incentivan la obtención de resultados institucionales a nivel sectorial","1","Utilización de incentivos monetarios individuales.","El requisito no se cumple.",,,,"Salud","2013","2013-01-01T00:00:00.000","Belice41941"
"Brasil","1","PRIMER PILAR: PLANIFICACION ORIENTADA A RESULTADOS","3","PLANIFICACIÓN PARTICIPATIVA","2","El Poder Legislativo participa en la discusión de los objetivos y metas del gobierno","2","   Participación efectiva del Poder Legislativo.","El requisito se cumple en su totalidad, es decir, el plan de gobierno actual fue discutido por el Poder Legislativo y existen actas o minutas de lo discutido por el Poder Legislativo, y/o cartas formales en las que el Poder Legislativo da sus comentarios respecto al plan.",,,,,"2013","2013-01-01T00:00:00.000","Brasil1322"
"Barbados","4","CUARTO PILAR: GESTION DE PROGRAMAS Y PROYECTOS","19","GESTIÓN SECTORIAL DE BIENES Y SERVICIOS EN BASE A RESULTADOS","2","Existe una estrategia para mejorar la calidad de los bienes y servicios que produce el sector","4","Existencia de una estrategia explícita de gestión en base a resultados.","El requisito no se cumple.",,,,"Infraestructura","2013","2013-01-01T00:00:00.000","Barbados41924"
"Bahamas","4","CUARTO PILAR: GESTION DE PROGRAMAS Y PROYECTOS","16","PLANIFICACIÓN SECTORIAL CON BASE EN RESULTADOS","2","Se cuenta con un plan sectorial de mediano plazo que contiene los objetivos prioritarios","6","Definición de estrategias y programas para lograr los objetivos.","El requisito no se cumple.",,,,"Salud","2013","2013-01-01T00:00:00.000","Bahamas41626"
"El Salvador","5","QUINTO PILAR: SISTEMAS DE SEGUIMIENTO Y EVALUACIÓN","21","SISTEMA NACIONAL DE ESTADÍSTICAS","3","Se generan estadísticas nacionales sociales, demográficas, económicas y ambientales que sirven para monitorear el cumplimiento de objetivos y metas del gobierno","2","Periodicidad de la generación de estadísticas económicas.","El requisito no se cumple.",,,,,"2013","2013-01-01T00:00:00.000","El Salvador52132"
"Guatemala","3","TERCER PILAR: GESTIÓN FINANCIERA PÚBLICA","13","SISTEMA DE ADQUISICIONES Y CONTRATACIONES PÚBLICAS","1","Se dispone de un marco legal e institucional para los procesos de adquisiciones y contrataciones públicas","5","Presentación y resolución de inconformidades.","El requisito se cumple parcialmente, es decir, la entidad o unidad normativa de los procesos de adquisiciones y contrataciones públicas dispone de procesos establecidos legalmente para la presentación y resolución de inconformidades relativas al proceso de adquisiciones. Sin embargo, la resolución de estos procesos es analizada y ejecutada por organismos que no son externos a la unidad que realiza las compras.",,,,,"2013","2013-01-01T00:00:00.000","Guatemala31315"
"Colombia","3","TERCER PILAR: GESTIÓN FINANCIERA PÚBLICA","14","AUDITORÍA INTERNA Y EXTERNA","3","Se dispone de un marco legal e institucional para la realización de auditorías externas","1","Existencia de una Ley (o decreto) y su respectivo reglamento.","El requisito se cumple en su totalidad, es decir, está en vigencia una ley (o decreto) y su respectivo reglamento que regula la auditoría externa y que se adhiere a las normas internacionales de auditoría externa en el sector público (INTOSAI).",,,,,"2013","2013-01-01T00:00:00.000","Colombia31431"
"Surinam","4","CUARTO PILAR: GESTION DE PROGRAMAS Y PROYECTOS","16","PLANIFICACIÓN SECTORIAL CON BASE EN RESULTADOS","2","Se cuenta con un plan sectorial de mediano plazo que contiene los objetivos prioritarios","8","Difusión del plan sectorial de mediano plazo.",,,,,"Infraestructura","2013","2013-01-01T00:00:00.000","Surinam41628"
"Rep. Domin.","4","CUARTO PILAR: GESTION DE PROGRAMAS Y PROYECTOS","20","SISTEMAS DE INFORMACIÓN Y SEGUIMIENTO SECTORIAL","2","Existen procesos para garantizar la calidad de los indicadores del sistema de seguimiento sectorial","1","Metodologías para la elaboración de indicadores del sistema de seguimiento.","El requisito no se cumple.",,,,"Infraestructura","2013","2013-01-01T00:00:00.000","Rep. Domin.42021"
"Surinam","4","CUARTO PILAR: GESTION DE PROGRAMAS Y PROYECTOS","16","PLANIFICACIÓN SECTORIAL CON BASE EN RESULTADOS","3","Las visiones de largo plazo y los planes de mediano plazo sectoriales se encuentran articulados","1","Articulación con la visión sectorial de largo plazo.",,,,,"Infraestructura","2013","2013-01-01T00:00:00.000","Surinam41631"
"Ecuador","5","QUINTO PILAR: SISTEMAS DE SEGUIMIENTO Y EVALUACIÓN","22","SEGUIMIENTO DE LA GESTIÓN DEL GOBIERNO","2","Existe una entidad o unidad del gobierno encargada del sistema de seguimiento de la gestión","3","Capacitación para la elaboración de indicadores.","El requisito se cumple parcialmente, es decir, se ofrece capacitación y asesoría con frecuencia menor que anual (por ejemplo, cada dos años) a las unidades especializadas de las instituciones del Estado para elaborar y revisar indicadores de desempeño.",,,,,"2013","2013-01-01T00:00:00.000","Ecuador52223"
"Surinam","5","QUINTO PILAR: SISTEMAS DE SEGUIMIENTO Y EVALUACIÓN","22","SEGUIMIENTO DE LA GESTIÓN DEL GOBIERNO","4","El sistema de seguimiento cubre toda la acción del  gobierno","1","Porcentaje de los programas, proyectos y/o instituciones que se incluyen en el sistema de seguimiento de la gestión.",,"0",,,,"2013","2013-01-01T00:00:00.000","Surinam52241"
"Colombia","5","QUINTO PILAR: SISTEMAS DE SEGUIMIENTO Y EVALUACIÓN","21","SISTEMA NACIONAL DE ESTADÍSTICAS","2","Existen requisitos técnicos para la generación de estadísticas nacionales","2","Difusión y cumplimiento de un calendario de publicación de las estadísticas.","El requisito se cumple parcialmente, es decir, se difunde un calendario con fechas para la publicación de estadísticas, pero durante los últimos doce meses no se cumplió cabalmente lo estipulado en el calendario.",,,,,"2013","2013-01-01T00:00:00.000","Colombia52122"
"Guyana","1","PRIMER PILAR: PLANIFICACION ORIENTADA A RESULTADOS","1","PLANIFICACIÓN ESTRATÉGICA","6","Los ministerios sectoriales cuentan con un plan propio de mediano plazo que contiene los objetivos prioritarios con sus correspondientes estrategias y metas","7","Articulación con la visión sectorial a largo plazo.",,,,"0",,"2013","2013-01-01T00:00:00.000","Guyana1167"
"Jamaica","2","SEGUNDO PILAR: PRESUPUESTO POR RESULTADOS","6","EVALUACIÓN DE LA EFECTIVIDAD DEL GASTO","1","Existe información de desempeño para evaluar los resultados del gasto del gobierno","7","Coordinación entre los ejecutores del gasto y las autoridades presupuestarias.","El requisito no se cumple.",,,,,"2013","2013-01-01T00:00:00.000","Jamaica2617"
"Ecuador","4","CUARTO PILAR: GESTION DE PROGRAMAS Y PROYECTOS","18","GESTIÓN SECTORIAL PARA LAS ADQUISICIONES Y COMPRAS PÚBLICAS","1","La gestión sectorial de compras públicas se realiza a través del sistema electrónico de adquisiciones y contrataciones públicas.","1","Porcentaje del valor de las compras sectoriales realizado a través del sistema electrónico de adquisiciones y contrataciones públicas.",,"0.24",,,"Educación","2013","2013-01-01T00:00:00.000","Ecuador41811"
"Guatemala","2","SEGUNDO PILAR: PRESUPUESTO POR RESULTADOS","4","ESTRUCTURACIÓN DEL PRESUPUESTO DE GASTO CON BASE EN PROGRAMAS","2","Institucionalidad del presupuesto por resultados","4","Existencia de una oficina técnica de presupuesto en el poder  legislativo.","El requisito no se cumple.",,,,,"2013","2013-01-01T00:00:00.000","Guatemala2424"
"Panamá","2","SEGUNDO PILAR: PRESUPUESTO POR RESULTADOS","7","INCENTIVOS PARA LA GESTIÓN EFECTIVA DEL GASTO","1","Existen mecanismos que incentivan la eficiencia y eficacia en la gestión del gasto","3","Utilización de incentivos no monetarios colectivos.","El requisito no se cumple.",,,,,"2013","2013-01-01T00:00:00.000","Panamá2713"
"Ecuador","5","QUINTO PILAR: SISTEMAS DE SEGUIMIENTO Y EVALUACIÓN","22","SEGUIMIENTO DE LA GESTIÓN DEL GOBIERNO","3","Existe un sistema de seguimiento de la gestión mediante indicadores de desempeño","1","Existencia de un sistema de seguimiento mediante indicadores de desempeño.","El requisito se cumple parcialmente, es decir, existe un sistema de seguimiento de la gestión gubernamental compuesto por indicadores de desempeño, pero este sólo se aplica a los ministerios de línea o sectoriales.",,,,,"2013","2013-01-01T00:00:00.000","Ecuador52231"
"Trin. & Tob.","4","CUARTO PILAR: GESTION DE PROGRAMAS Y PROYECTOS","16","PLANIFICACIÓN SECTORIAL CON BASE EN RESULTADOS","1","El sector cuenta con una visión de largo plazo que supere el periodo de gobierno","1","Existencia de una visión sectorial de largo plazo.","El requisito no se cumple. En caso de no cumplimiento de este requisito, pasar directamente al siguiente indicador.",,,,"Educación","2013","2013-01-01T00:00:00.000","Trin. & Tob.41611"
"Barbados","3","TERCER PILAR: GESTIÓN FINANCIERA PÚBLICA","11","SISTEMA DE CONTABILIDAD","1","El sistema de contabilidad permite la toma de decisiones financieras","1","Adherencia a las Normas Internacionales de Contabilidad del sector público (NIC-SP).","El requisito se cumple parcialmente, es decir, el sistema de contabilidad pública aún no se adhiere a las NIC-SP, pero se está trabajando bajo un plan que determina medidas específicas y plazos para su adherencia, o se adhiere únicamente a algunas NIC-SP",,,,,"2013","2013-01-01T00:00:00.000","Barbados31111"
"Ecuador","1","PRIMER PILAR: PLANIFICACION ORIENTADA A RESULTADOS","2","PLANIFICACIÓN OPERATIVA Y VINCULACIÓN AL PRESUPUESTO","1","Los objetivos de la planificación se articulan en programas operativos","1","Definición programática de los objetivos de la planificación de mediano plazo.","El requisito no se cumple",,,,,"2013","2013-01-01T00:00:00.000","Ecuador1211"
"Bahamas","3","TERCER PILAR: GESTIÓN FINANCIERA PÚBLICA","10","ANÁLISIS, MITIGACIÓN Y CALIFICACIÓN DE RIESGO","1","Se realizan actividades para detectar los riesgos fiscales","1","Análisis de las obligaciones directas.","El requisito no se cumple.",,,,,"2013","2013-01-01T00:00:00.000","Bahamas31011"
"Perú","5","QUINTO PILAR: SISTEMAS DE SEGUIMIENTO Y EVALUACIÓN","23","EVALUACIÓN DE LA GESTIÓN DEL GOBIERNO","5","Existen criterios y procedimientos institucionalizados para incorporar los resultados de las evaluaciones en la gestión del gobierno","2","Uso de la información de las evaluaciones para la toma de decisiones presupuestarias.","El requisito no se cumple.",,,,,"2013","2013-01-01T00:00:00.000","Perú52352"
"Brasil","5","QUINTO PILAR: SISTEMAS DE SEGUIMIENTO Y EVALUACIÓN","21","SISTEMA NACIONAL DE ESTADÍSTICAS","2","Existen requisitos técnicos para la generación de estadísticas nacionales","2","Difusión y cumplimiento de un calendario de publicación de las estadísticas.","El requisito se cumple en su totalidad, es decir, se difunde un calendario con fechas para la publicación de estadísticas, y durante los últimos doce meses se cumplió a cabalidad lo estipulado en el calendario.",,,,,"2013","2013-01-01T00:00:00.000","Brasil52122"
"Bahamas","4","CUARTO PILAR: GESTION DE PROGRAMAS Y PROYECTOS","19","GESTIÓN SECTORIAL DE BIENES Y SERVICIOS EN BASE A RESULTADOS","4","Existen mecanismos que incentivan la obtención de resultados institucionales a nivel sectorial","2","Utilización de incentivos monetarios colectivos.","El requisito no se cumple.",,,,"Infraestructura","2013","2013-01-01T00:00:00.000","Bahamas41942"
"Guatemala","4","CUARTO PILAR: GESTION DE PROGRAMAS Y PROYECTOS","19","GESTIÓN SECTORIAL DE BIENES Y SERVICIOS EN BASE A RESULTADOS","4","Existen mecanismos que incentivan la obtención de resultados institucionales a nivel sectorial","4","Utilización de incentivos no monetarios individuales.","El requisito no se cumple.",,,,"Infraestructura","2013","2013-01-01T00:00:00.000","Guatemala41944"
"Trin. & Tob.","3","TERCER PILAR: GESTIÓN FINANCIERA PÚBLICA","13","SISTEMA DE ADQUISICIONES Y CONTRATACIONES PÚBLICAS","2","Existe un sistema electrónico de adquisiciones y contrataciones públicas","1","Existencia de una Ley (o decreto) y su respectivo reglamento.","El requisito no se cumple.",,,,,"2013","2013-01-01T00:00:00.000","Trin. & Tob.31321"
"Surinam","2","SEGUNDO PILAR: PRESUPUESTO POR RESULTADOS","4","ESTRUCTURACIÓN DEL PRESUPUESTO DE GASTO CON BASE EN PROGRAMAS","2","Institucionalidad del presupuesto por resultados","4","Existencia de una oficina técnica de presupuesto en el poder  legislativo.","El requisito no se cumple.",,,,,"2013","2013-01-01T00:00:00.000","Surinam2424"
"Rep. Domin.","3","TERCER PILAR: GESTIÓN FINANCIERA PÚBLICA","10","ANÁLISIS, MITIGACIÓN Y CALIFICACIÓN DE RIESGO","1","Se realizan actividades para detectar los riesgos fiscales","2","Análisis de las obligaciones indirectas o contingentes.","El requisito se cumple parcialmente, es decir, se realizan estudios que detallan los riesgos relacionados con obligaciones indirectas o contingentes. Sin embargo, estos estudios se los realiza con una frecuencia menor que anual (por ejemplo, cada dos años), y/o no incluyen proyecciones.",,,,,"2013","2013-01-01T00:00:00.000","Rep. Domin.31012"
"Honduras","4","CUARTO PILAR: GESTION DE PROGRAMAS Y PROYECTOS","16","PLANIFICACIÓN SECTORIAL CON BASE EN RESULTADOS","2","Se cuenta con un plan sectorial de mediano plazo que contiene los objetivos prioritarios","2","Análisis de la situación y de los problemas de la población.","El requisito no se cumple.",,,,"Infraestructura","2013","2013-01-01T00:00:00.000","Honduras41622"
"Haití","1","PRIMER PILAR: PLANIFICACION ORIENTADA A RESULTADOS","1","PLANIFICACIÓN ESTRATÉGICA","1","Existe un marco legal que regula el sistema de planificación","1","Existencia de una Ley (o decreto) y su respectivo reglamento","El requisito se cumple en su totalidad, es decir, está en vigencia una ley (o decreto) y su respectivo reglamento que regula el sistema de planificación.",,,,,"2013","2013-01-01T00:00:00.000","Haití1111"
"El Salvador","1","PRIMER PILAR: PLANIFICACION ORIENTADA A RESULTADOS","1","PLANIFICACIÓN ESTRATÉGICA","6","Los ministerios sectoriales cuentan con un plan propio de mediano plazo que contiene los objetivos prioritarios con sus correspondientes estrategias y metas","5","Existencia de líneas de base para medir el progreso.",,,,"0",,"2013","2013-01-01T00:00:00.000","El Salvador1165"
"Bahamas","1","PRIMER PILAR: PLANIFICACION ORIENTADA A RESULTADOS","1","PLANIFICACIÓN ESTRATÉGICA","5","El gobierno cuenta con un plan de gobierno de mediano plazo que contiene los objetivos prioritarios con sus correspondientes estrategias y metas.","6","Definición de estrategias y programas para lograr los objetivos.","El requisito no se cumple.",,,,,"2013","2013-01-01T00:00:00.000","Bahamas1156"
"Nicaragua","1","PRIMER PILAR: PLANIFICACION ORIENTADA A RESULTADOS","1","PLANIFICACIÓN ESTRATÉGICA","1","Existe un marco legal que regula el sistema de planificación","4","Definición de vínculos al proceso presupuestario.","El requisito no se cumple.",,,,,"2013","2013-01-01T00:00:00.000","Nicaragua1114"
"Surinam","4","CUARTO PILAR: GESTION DE PROGRAMAS Y PROYECTOS","17","PRESUPUESTACIÓN SECTORIAL CON BASE EN RESULTADOS","2","Se realizan prácticas en el sector conducentes a mejorar la elaboración presupuestaria","1","Utilización de información detallada de costos.",,,,,"Desarrollo Social","2013","2013-01-01T00:00:00.000","Surinam41721"
"El Salvador","5","QUINTO PILAR: SISTEMAS DE SEGUIMIENTO Y EVALUACIÓN","23","EVALUACIÓN DE LA GESTIÓN DEL GOBIERNO","6","Los informes de evaluación están a disposición de la ciudadanía","4","Presentación de resultados al Poder Legislativo y a las entidades o unidades evaluadas.","El requisito no se cumple.",,,,,"2013","2013-01-01T00:00:00.000","El Salvador52364"
"El Salvador","3","TERCER PILAR: GESTIÓN FINANCIERA PÚBLICA","11","SISTEMA DE CONTABILIDAD","2","Se elaboran estados financieros al finalizar el periodo fiscal","1","Elaboración de estados financieros consolidados de los ingresos y gastos.","El requisito se cumple en su totalidad, es decir, se preparan estados financieros consolidados que contienen información completa acerca de los ingresos y gastos y se los ponen a disposición de la ciudadanía dentro de los de los noventa días siguientes a la finalización del periodo fiscal.",,,,,"2013","2013-01-01T00:00:00.000","El Salvador31121"
"Guyana","3","TERCER PILAR: GESTIÓN FINANCIERA PÚBLICA","10","ANÁLISIS, MITIGACIÓN Y CALIFICACIÓN DE RIESGO","2","Se definen mecanismos para mitigar los efectos de los riesgos fiscales","3","Vigencia de mecanismos de mitigación de riesgos fiscales.","El requisito no se cumple.",,,,,"2013","2013-01-01T00:00:00.000","Guyana31023"
