"facility_link","location","county","military","address","city","zip_code","description","longitude","latitude"
"Diamond Chrome Plating (https://www.michigan.gov)","Howell","Livingston","false","604 S. Michigan Avenue","Howell","48843","Plater","-83.933129","42.602822"
"MRP (former Total Petroleum Refinery) (https://www.michigan.gov)","Alma","Gratiot","false","1610 East Superior Street","Alma","48801","Refinery","-84.6354","43.37878"
"Viking Corporation (https://www.michigan.gov)","Hastings","Barry","false","210 North Industrial Park Drive","Hastings","49058","Fire Protection System Manufacturer; AFFF Training","-85.303125","42.648879"
"Washtenaw Industrial Facility LLC (former Universal Die Cast) (https://www.michigan.gov)","Saline","Washtenaw","false","232 and 290 Monroe Street","Saline","48176","Plater","-83.78386","42.16024"
"Fort Gratiot Landfill (https://www.michigan.gov)","Fort Gratiot Township","St. Clair","false","3290 Keewahdin Road","Fort Gratiot Township","48059","Landfill","-82.469256","43.042372"
"MacDermind Inc. (https://www.michigan.gov)","Ferndale","Oakland","false","1221 Farrow Street","Ferndale","48220","Chemical Manufacturing","-83.11834","42.45689"
"MAHLE Engine Components, USA, Inc. - Former Harvey Street Muskegon Plant (https://www.michigan.gov)","Muskegon","Muskegon","false","2051 South Harvey Street","Muskegon","49444","Automotive","-86.20833","43.21548"
"Gordie Howe International Bridge (https://www.michigan.gov)","Detroit","Wayne","false","Livernois Ave and W. Jefferson Ave","Detroit","48209","Multiple historical industries","-83.102806","42.302707"
"Camp Grayling – MATES at Range 30 (https://www.michigan.gov)","Grayling","Crawford","true","2450 W. North Down River Rd","Grayling","49738","Military","-84.662739","44.685681"
"636 40th Street East (https://www.michigan.gov)","Holland","Allegan","false","636 East 40th Street","Holland","49423","Paint packaging facility","-86.080007","42.761355"
"Ford Motor Company – Saline Plant (https://www.michigan.gov)","Saline","Washtenaw","false","7700 Michigan Avenue","Saline","48176","Automotive","-83.76441","42.17546"
"Electro Chemical Finishing - Remico (https://www.michigan.gov)","Wyoming","Kent","false","2610 Remico Street SW","Wyoming","49519","Plater","-85.72907","42.909196"
"Peerless Plating (https://www.michigan.gov)","Muskegon Charter Township","Muskegon","false","2554 Getty Avenue","Muskegon","49444","Electroplater","-86.223","43.205"
"Nolichuky Industrial Corp. (https://www.michigan.gov)","Kalamazoo","Kalamazoo","false","2305 King Highway","Kalamazoo","49048","Paper Manufacturer","-85.55111111","42.28611389"
"Oscoda Township Dump (https://www.michigan.gov)","Oscoda Township","Iosco","false","Kings Corner Road","Oscoda","78450","Dump","-83.38028336","44.50543233"
"Ashley Avenue Disposal Area (https://www.michigan.gov)","Belding","Kent","false","Corner of Ashley Ave and 6 Mile Rd","Grattan","48809","Disposal site","-85.32714363","43.06466081"
"Lear Siegler Inc. (https://www.michigan.gov)","Mendon","St. Joseph","false","236 West Clark Street","Mendon","49072","Former automotive","-85.452788","42.012649"
"RACER Willow Run (https://www.michigan.gov)","Ypsilanti","Washtenaw","false","2930 Ecorse Rd","Ypsilanti","48198","Former automotive","-83.572771","42.236694"
"120th Avenue Area (https://www.michigan.gov)","Grand Haven","Ottawa","false","Area around Robinson Elementary School","Grand Haven","49417","Investigation area","-86.08222","42.986905"
"Thermofil (https://www.michigan.gov)","Green Oaks Township","Livingston","false","6150 Whitmore Lake Road","Brighton","48116","Metal and plastics industry","-83.760346","42.513666"
"Northeast Gravel (https://www.michigan.gov)","Belmont","Kent","false","3769 Cannonsburg Road NE","Belmont","49306","Former landfill (tannery and plating waste)","-85.5575","43.06277778"
"BASF Corporation – Inmont Divison (https://www.michigan.gov)","Wyoming","Kent","false","836 Chicago Drive SW","Wyoming","49519","Material coatings","-85.688408","42.934718"
"Du-Wel Metals (https://www.michigan.gov)","Hartford","Van Buren","false","520 Heywood Street","Hartford","49057","Electroplater","-86.172332","42.201002"
"Former ESCO (https://www.michigan.gov)","Muskegon","Muskegon","false","1221 E. Barney","Muskegon","49444","Chemical manufacturer; AFFF release","-86.21404","43.20973"
"Isabella County Landfill (https://www.michigan.gov)","Deerfield Township","Isabella","false","West Tomah Road","Mount Pleasant","48858","Landfill","-84.964439","43.587081"
"Grand Ledge Army Aviation Support
Facility and Armory Site (https://www.michigan.gov)","Grand Ledge","Clinton","true","10600 W. Eaton Highway","Grand Ledge","48837","Military","-84.73151666666666","42.772375"
"Muskegon County Landfill Type II (https://www.michigan.gov)","Ravenna","Muskegon","false","9366 Apple Ave","Ravenna","49451","Landfill","-86.01664","43.237135"
"Pitsch Sanitary Landfill (https://www.michigan.gov)","Belding","Ionia","false","7905 Johnson Road","Belding","48809","Landfill","-85.18187","43.102954"
"Ford River Raisin Warehouse (https://www.michigan.gov)","Monroe","Monroe","false","3200 East Elm Avenue","Monroe","48162","Former automotive","-83.35222","41.90325"
"Cottage Grove and Marshall Area (https://www.michigan.gov)","Grand Rapids","Kent","false","800 Block of Cottage Grove Street, SE and 1500 Block of Marshall Avenue, SE","Grand Rapids","49507","Plater","-85.647594","42.934692"
"Keeler Brass – 32nd Street (https://www.michigan.gov)","Kentwood","Kent","false","2929 32nd Street, SE","Kentwood","49512","Plater","-85.600948","42.90718"
"Partz Corporation (https://www.michigan.gov)","Owosso","Shiawassee","false","1232 W. Main Street","Owosso","48867","Plater","-84.18808","42.99789"
"Former Kincheloe Air Force Base (https://www.michigan.gov)","Kinross Township","Chippewa","true",,,"49788","Air Force Base","-84.4664","46.2666"
"Former Chrysler Scio Introl Division Site (https://www.michigan.gov)","Dexter","Washtenaw","false","2880 Zeeb Road","Dexter","48130","Former automotive","-83.830729","42.325297"
"Mt. Pleasant City Landfill (https://www.michigan.gov)","Mount Pleasant","Isabella","false","1301 North Franklin Street","Mount Pleasant","48858","Landfill","-84.7807222","43.6141083"
"Portage Firefighting Training Facility (https://www.michigan.gov)","Portage","Kalamazoo","false","South Westnedge","Portage","49002","AFFF release","-85.594872","42.184107"
"Middleground Landfill (https://www.michigan.gov)","Middleground Landfill","Bay","false","Middleground Island","Bay City","48706","Landfill","-83.90805","43.56895"
