Permit Number,Permit Type,Issued,Address,City,State,Zipcode,Applicant,Contractor License Number,License Type,Fees,Value of Work,Plans Submitted,SBL,Land Use,Inspector,Expiration Date,Description of Work,Location,Latitude,Longitude,Council District,Police District,Census Tract,Census Block Group,Census Block,Neighborhood,Police Districts,Tracts,Council Districts,Zip Codes,Block Groups,Blocks,Local Historic Districts,Neighborhoods,Neighborhoods ,Tax Districts
REP17-9433354,REPAIR,06/13/2017,618 COLUMBUS PKWY,BUFFALO,NY,14213,ANDERSON TERRY L,,,75.00,2500.00,0,0998200003001000,210,ANGELA   WHITE,12/13/2017,Tear off/sheath/reroof,"(42.90115768623569, -78.89376965598326)",42.90115768623569,-78.89376965598326,NIAGARA,District B,70,2,2012,West Side,1,69,3,2,47,2011,,40,29,4
REP17-9429691,REPAIR,04/03/2017,58 BIRD,BUFFALO,NY,14213,BLACK ROBERT EDWARD,,,75.00,3000.00,0,0886600001022000,220,ANGELA   WHITE,10/03/2017,NEW SIDING AT EXTERIOR OF 2-FAMILY DWELLING.,"(42.92600852156047, -78.89654770923383)",42.92600852156047,-78.89654770923383,NIAGARA,District D,171,1,1012,Upper West Side,5,27,3,2,53,873,,27,26,3
REP17-9434319,REPAIR,07/07/2017,335 DEWITT,BUFFALO,NY,14213,BLACK ROCK ROOFING,LTC11-564078,LIGHT COMMERCIAL CONTRACTOR,75.00,7650.00,0,0886700003082000,210,ANGELA   WHITE,01/07/2018,complete tear-off and roof replacement ice and water shield to eaves walls and all penetrations through roof new alum flashings ne c-teed arch shingles new .032 alum gutter system,"(42.92602872364811, -78.89446465388204)",42.92602872364811,-78.89446465388204,NIAGARA,District D,171,2,2005,Upper West Side,5,27,3,2,176,2426,,27,26,3
REP17-9433586,REPAIR,06/19/2017,180 BIRD,BUFFALO,NY,14213,DANIEL HUNT,LTC17-10039810,LIGHT COMMERCIAL CONTRACTOR,145.00,24000.00,0,0886700003063000,220,ANGELA   WHITE,12/19/2017,TEAR OFF/SHEATH/REROOF,"(42.92589878948714, -78.89222478140982)",42.92589878948714,-78.89222478140982,NIAGARA,District D,171,2,2004,Upper West Side,5,27,3,2,176,260,,27,26,3
REP17-9429656,REPAIR,04/03/2017,42 POTOMAC,BUFFALO,NY,14213,KAREN MICHELLE   LAPORTE-GUMA,,,75.00,10000.00,0,0887400001028000,220,ANGELA   WHITE,10/03/2017,TEAR OFF/SHATH/REROOF & SIDING & TRIM,"(42.924193309589405, -78.89744390193938)",42.924193309589405,-78.89744390193938,NIAGARA,District D,171,1,1013,Upper West Side,5,27,3,2,53,424,,27,26,3
REP17-9429647,REPAIR,04/03/2017,1336 WEST,BUFFALO,NY,14213,WATSON EDWIN,LTC16-10038389,LIGHT COMMERCIAL CONTRACTOR,75.00,9000.00,0,0886600001011000,281,ANGELA   WHITE,10/03/2017,"Remove existing roof to old sheathing.  (asphalt shingles multiple layers over cedar shakes).  Install new roof sheathing 7/16"" OSB.  Install new Snow and ice shield at eaves two courses for approximately 6' of coverage from eave up the roof.  Install synthetic underlayment at remaining exposed sheathing.  Install new architectural style roof shingles.  Remove all debris created by this construction.","(42.92667854632488, -78.89588213435215)",42.92667854632488,-78.89588213435215,NIAGARA,District D,171,1,1012,Upper West Side,5,27,3,2,53,873,,27,26,3
REP17-9429867,REPAIR,04/10/2017,35 BARRY,BUFFALO,NY,14213,BYNUM BROTHERS,LTC11-544773,LIGHT COMMERCIAL CONTRACTOR,395.00,73400.00,0,0886800001033000,281,ANGELA   WHITE,10/10/2017,"Install new Roofing system, kitchens, bathrooms, drywall, windows, doors, painting, concrete walk way, soffit repair, trim, floor coverings and landscaping. No structural work. Contract scanned.","(42.92655820237065, -78.88832286259624)",42.92655820237065,-78.88832286259624,NIAGARA,District D,171,2,2000,Upper West Side,5,27,3,2,176,1986,,27,26,3
REP17-9426406,REPAIR,01/25/2017,121 EVELYN,BUFFALO,NY,14207,RODNEY HUTCHINGS,LTC14-10029333,LIGHT COMMERCIAL CONTRACTOR,75.00,10000.00,0,0774200004023000,210,ANGELA   WHITE,07/25/2017,"Repair front porch, and fix gutters, install 2 replacements windows and few pieces of siding.Pull all carpet inside, skim coat and repair a few holes in wall","(42.95764701584265, -78.89553651813938)",42.95764701584265,-78.89553651813938,NORTH,District D,57,1,1000,Riverside,5,9,1,10,64,373,,50,18,1
REP17-9441900,REPAIR,10/25/2017,36 SHERWOOD,BUFFALO,NY,14213,MOHAMUD   ABDULAZIZ,,,150.00,1000.00,1,0994300001006000,210,ANGELA   WHITE,04/25/2018,ERECT A WOOD CANOPY OFF THE REAR OF AN EXISTING 2 STY. FRAME 1 FAMILY DWLG.  PLANS FILED AND APPROVED 10/25/17 BY M. PICCIOLO   *** DESCRIPTION OF WORK CHANGED FROM ONLY A CANOPY TO AN ENCLOSED STORAGE ROOM  (D.KRUG)***,"(42.913312754886405, -78.89242132248813)",42.913312754886405,-78.89242132248813,NIAGARA,District B,61,3,3005,Upper West Side,1,43,3,2,23,2142,,14,26,4
REP17-9438895,REPAIR,10/02/2017,75 BIRD,BUFFALO,NY,14213,MOISEY TURKEVICH,LTC11-553950,LIGHT COMMERCIAL CONTRACTOR,170.00,20000.00,0,0887400001010000,710,ANGELA   WHITE,04/02/2018,"tear-off, re-roof. new plywood","(42.925869506529686, -78.8961205335303)",42.925869506529686,-78.8961205335303,NIAGARA,District D,171,1,1013,Upper West Side,5,27,3,2,53,424,,27,26,3
REP17-9435545,REPAIR,08/07/2017,941 PROSPECT,BUFFALO,NY,14213,REGINALD SMITH,LTC17-10041015,LIGHT COMMERCIAL CONTRACTOR,75.00,9500.00,0,0994900002015000,281,ANGELA   WHITE,02/07/2018,Tearoff/sheath/reroof,"(42.910839394446185, -78.8994302503264)",42.910839394446185,-78.8994302503264,NIAGARA,District B,70,1,1001,West Side,1,69,3,2,256,399,,40,29,4
REP17-9437507,REPAIR,08/29/2017,853 COLUMBUS PKWY,BUFFALO,NY,14213,PAV'S PAINTING & HOME IMPROV.,HIC11-517503,HOME IMPROVEMENT CONTRACTOR,135.00,21900.00,0,0995800007008000,220,ANGELA   WHITE,02/28/2018,"TEAR-OFF AND REROOF, NEW SHEATHING","(42.906488597094786, -78.89863385506966)",42.906488597094786,-78.89863385506966,NIAGARA,District B,70,3,3003,West Side,1,69,3,2,144,37,,40,29,4
REP17-9430161,REPAIR,04/17/2017,849 WEST,BUFFALO,NY,14213,BAR KEL,,,75.00,500.00,0,0994200005023000,220,ANGELA   WHITE,10/17/2017,PLACE GYPSUM BOARD AT FRONT UPSTAIR ROOM (LATH & PLASTER REMOVED PRIOR TO OWNERSHIP) AND PAINT INTERIOR AT 2-FAMILY DWELLING.  WORK BY OWNER.,"(42.91336646430527, -78.8976271695409)",42.91336646430527,-78.8976271695409,NIAGARA,District B,61,1,1025,Upper West Side,1,43,3,2,121,1082,,14,26,4
REP17-9432834,REPAIR,05/31/2017,49 CALIFORNIA,BUFFALO,NY,14213,PATRICK HIGGINS,LTC17-10039582,LIGHT COMMERCIAL CONTRACTOR,75.00,3200.00,0,0994200006003000,220,ANGELA   WHITE,11/30/2017,TEAR OFF AND REROOF A PORTION OF A 2 STORY 2 FAMILY FRAME DWELLING AS PER SCANNED CONTRACT.,"(42.91357491989288, -78.89564448722341)",42.91357491989288,-78.89564448722341,NIAGARA,District B,61,3,3010,Upper West Side,1,43,3,2,23,2905,,14,26,4
REP17-9428389,REPAIR,03/27/2017,338 SKILLEN,BUFFALO,NY,14207,MARK REMBES,LTC15-10030790,LIGHT COMMERCIAL CONTRACTOR,75.00,8500.00,0,0772500006018000,210,ANGELA   WHITE,09/27/2017,Complete roof tear off install 7/16 pen install 6 feet ice guard and felt on all bare wood install lifetime shingles using 6 nails per shingle complete clean up remove all debris,"(42.96148635087647, -78.89894123729292)",42.96148635087647,-78.89894123729292,NORTH,District D,58.01,1,1004,Riverside,5,12,1,10,225,701,,50,18,1
REP17-9426364,REPAIR,01/24/2017,101 BEATRICE,BUFFALO,NY,14207,SURETY CONSTRUCTION COMPANY,HIC11-517094,HOME IMPROVEMENT CONTRACTOR,90.00,12100.00,0,0774100001028000,220,ANGELA   WHITE,07/24/2017,"COMPLETE TEAROFF/REROOF, GUTTERS, AND FACIA REPAIR AT 2-FAMILY DWELLING.","(42.957615300931955, -78.89938766058079)",42.957615300931955,-78.89938766058079,NORTH,District D,58.02,4,4003,Riverside,5,5,1,10,54,774,,50,18,1
GC17-9444377,GC,12/14/2017,171 FOREST,BUFFALO,NY,14213,CARMELO TORRES,,,350.00,60000.00,3,0886700001014000,210,ANGELA   WHITE,06/14/2018,***PLANS FILED*** ALTERATIONS TO THE INTERIOR OF A 2 STORY 1 FAMILY FRAME DWELLING. WORK BY OWNER AS PER SCANNED AFFIDAVIT.,"(42.92763082332801, -78.8925914828608)",42.92763082332801,-78.8925914828608,NORTH,District D,171,2,2002,Upper West Side,5,27,1,2,176,636,,27,26,3
REP17-9433321,REPAIR,07/18/2017,135 BRECKENRIDGE,BUFFALO,NY,14213,RICHARD   GONZALEZ,,,75.00,1500.00,0,0993400003002000,210,ANGELA   WHITE,01/18/2018,Re roof,"(42.91687392996286, -78.89673650725715)",42.91687392996286,-78.89673650725715,NIAGARA,District D,61,1,1022,Upper West Side,5,43,3,2,121,971,,14,26,3
REP17-9438661,REPAIR,09/26/2017,100 DEWITT,BUFFALO,NY,14213,VLADIMIR SHKAVRITKO,LTC16-10034053,LIGHT COMMERCIAL CONTRACTOR,95.00,13310.00,0,0992600003012000,210,ANGELA   WHITE,03/26/2018,"TEAR-OFF AND REROOF, NEW SHEATHING","(42.91973534341908, -78.89548948142885)",42.91973534341908,-78.89548948142885,NIAGARA,District D,61,1,1009,Upper West Side,5,43,3,2,121,1822,,14,26,3
REP17-9441339,REPAIR,10/13/2017,545 SEVENTH,BUFFALO,NY,14201,MR EMERY LAW,,,75.00,4000.00,0,0998300001018000,220,ANGELA   WHITE,04/13/2018,"Remove all existing roofing . Install new decking 5/8osb , install new architectural shingle roof, install 6feet ice and water shield at all eaves and walls, cover remaining deck with titanium underlayment prior to shingleing. Install new white drip edge at all rakes and eaves, flash chimney and plumbing pipes and adjoining walls. Install ridge vent system. Clean up all job garbage and dispose.","(42.89934809803862, -78.89188522076029)",42.89934809803862,-78.89188522076029,ELLICOTT,District B,70,2,2014,West Side,1,69,4,15,47,1827,,40,29,4
REP17-9437711,REPAIR,09/04/2017,279 POTOMAC,BUFFALO,NY,14213,MILITELLO & SONS HOME IMPROVEM,HIC11-544896,HOME IMPROVEMENT CONTRACTOR,90.00,12500.00,0,0887500005003000,220,ANGELA   WHITE,03/04/2018,Roof Complete tear off,"(42.92398376119282, -78.88895437028181)",42.92398376119282,-78.88895437028181,NIAGARA,District D,171,3,3004,Upper West Side,5,27,3,2,150,274,,27,26,3
REP17-9438995,REPAIR,10/04/2017,78 POOLEY,BUFFALO,NY,14213,JASON REDDING,LTC14-10028478,LIGHT COMMERCIAL CONTRACTOR,75.00,6600.00,0,0886700001061000,220,ANGELA   WHITE,04/04/2018,"Complete tear off existing roof of multiple layers of ashphalt shingles and cedar shake, sheet with 7/16th plywood, install ice and water shield 6"" up, install oversized drip edge, install felt to remainder of roof, install GAF lifetime architectural shingle, install ridge vent  and cap","(42.9268246557803, -78.89197615695397)",42.9268246557803,-78.89197615695397,NORTH,District D,171,2,2002,Upper West Side,5,27,1,2,176,636,,27,26,3
REP17-9441945,REPAIR,10/26/2017,102 CONGRESS,BUFFALO,NY,14213,MOISEY TURKEVICH,LTC11-553950,LIGHT COMMERCIAL CONTRACTOR,115.00,17800.00,0,0888300008019000,220,ANGELA   WHITE,04/26/2018,"tear-off, re-roof new plywood","(42.92026002855328, -78.89166665664347)",42.92026002855328,-78.89166665664347,NIAGARA,District D,61,4,4001,Upper West Side,5,43,3,2,19,2919,,14,26,3
REP17-9433715,REPAIR,06/21/2017,124 RHODE ISLAND,BUFFALO,NY,14213,ANIWANG   BERRIE,,,75.00,5000.00,0,0995800002028000,220,ANGELA   WHITE,12/21/2017,"NEW ROOFING, SIDING AND WINDOWS AT 2-FAMILY DWELLING.  WORK BY OWNER.","(42.90671487660518, -78.89528202544798)",42.90671487660518,-78.89528202544798,NIAGARA,District B,70,1,1010,West Side,1,69,3,2,256,1676,,40,29,4
REP17-9441544,REPAIR,10/18/2017,220 DEWITT,BUFFALO,NY,14213,PHILIP MCINTYRE,HMC16-10037994,HANDYMAN CONTRACTOR,75.00,10000.00,0,0887400006015000,210,ANGELA   WHITE,04/18/2018,TEAR OFF AND REROOF A 2 STORY 1 FAMILY FRAME DWELLING AS PER SCANNED CONTRACT.,"(42.92294636636087, -78.8950201427063)",42.92294636636087,-78.8950201427063,NIAGARA,District D,171,1,1015,Upper West Side,5,27,3,2,53,669,,27,26,3
REP17-9433782,REPAIR,06/23/2017,297 FOREST,BUFFALO,NY,14213,ALL ACCESS CONSTRUCTION,LTC13-10027014,LIGHT COMMERCIAL CONTRACTOR,80.00,10740.00,0,0886800001005000,220,ANGELA   WHITE,12/23/2017,Tear off/sheath/reroof,"(42.92769776045468, -78.88795880331001)",42.92769776045468,-78.88795880331001,NIAGARA,District D,171,2,2000,Upper West Side,5,27,3,2,176,1986,,27,26,3
REP17-9430128,REPAIR,04/17/2017,225 LAFAYETTE AVE,BUFFALO,NY,14213,MOISEY TURKEVICH,LTC11-553950,LIGHT COMMERCIAL CONTRACTOR,95.00,14000.00,0,0992700003002000,220,ANGELA   WHITE,10/17/2017,"tear-off, re-roof, new plywood","(42.92009973381543, -78.89010954882053)",42.92009973381543,-78.89010954882053,NIAGARA,District D,61,2,2002,Upper West Side,5,43,3,2,181,2892,,14,26,3
REP17-9442127,REPAIR,11/01/2017,66 CALIFORNIA,BUFFALO,NY,14213,JASON KRUPCZYK,LTC11-559458,LIGHT COMMERCIAL CONTRACTOR,75.00,7965.00,0,0994200003012000,220,ANGELA   WHITE,05/01/2018,TEAROFF AT REROOF AT 2-FAMILY DWELLING.,"(42.9136366610829, -78.89491201632285)",42.9136366610829,-78.89491201632285,NIAGARA,District B,61,3,3009,Upper West Side,1,43,3,2,23,106,,14,26,4
REP17-9432098,REPAIR,05/09/2017,89 ARKANSAS,BUFFALO,NY,14213,ROOFING CONSULTANTS INC  HIM,LTC11-535820,LIGHT COMMERCIAL CONTRACTOR,100.00,14880.00,0,0994200004002000,210,ANGELA   WHITE,11/09/2017,Remove existing Roofing System and re-roof,"(42.91426900682011, -78.8942179752745)",42.91426900682011,-78.8942179752745,NIAGARA,District B,61,3,3006,Upper West Side,1,43,3,2,23,788,,14,26,4
REP17-9441897,REPAIR,10/25/2017,168 GRANT,BUFFALO,NY,14213,JOSEPH GOLBA,LTC17-10041656,LIGHT COMMERCIAL CONTRACTOR,150.00,11200.00,0,0992700002014100Z,620,ANGELA   WHITE,04/25/2018,TEAROFF AND REROOF AT CHURCH.,"(42.91876806893955, -78.89063527546651)",42.91876806893955,-78.89063527546651,NIAGARA,District D,61,4,4003,Upper West Side,5,43,3,2,19,2337,,14,26,3
REP17-9438097,REPAIR,09/12/2017,450 HERKIMER,BUFFALO,NY,14213,KEITH SZCZYGIEL,LTC15-10032659,LIGHT COMMERCIAL CONTRACTOR,75.00,2000.00,0,0887400003024000,210,ANGELA   WHITE,03/12/2018,"remove existing aluminum siding on 2nd story of front facade.  Repair existing clapboard, Paint clapboard and trim.","(42.92510389557344, -78.89225847752073)",42.92510389557344,-78.89225847752073,NIAGARA,District D,171,4,4000,Upper West Side,5,27,3,2,46,2211,,27,26,3
REP17-9435752,REPAIR,10/04/2017,177 BRECKENRIDGE,BUFFALO,NY,14213,EDWIN RAMON DIAZ GARCIA,,,75.00,5000.00,0,0993400004006000,210,ANGELA   WHITE,04/04/2018,TEAROFF/SHEATH/REROOF BY OWNER,"(42.91678559283776, -78.89514561201332)",42.91678559283776,-78.89514561201332,NIAGARA,District D,61,5,5005,Upper West Side,5,43,3,2,110,834,,14,26,3
REP17-9431944,REPAIR,05/04/2017,30 AUCHINVOLE,BUFFALO,NY,14213,SCOTT SEAN,,,75.00,1500.00,0,0992700009016000,210,ANGELA   WHITE,11/04/2017,REPLACE FRONT PORCH DECK,"(42.917780713561626, -78.89182453606918)",42.917780713561626,-78.89182453606918,NIAGARA,District D,61,4,4004,Upper West Side,5,43,3,2,19,1062,,14,26,3
REP17-9437756,REPAIR,09/05/2017,314 FARGO,BUFFALO,NY,14213,SCOTT TRALA,,,75.00,6500.00,0,0996600005012000,220,ANGELA   WHITE,03/05/2018,COMPLETE TEAROFF AT REROOF AT RIGHT SIDE OF 2-FAMILY DWELLING.,"(42.90496483236355, -78.89219758307527)",42.90496483236355,-78.89219758307527,NIAGARA,District B,70,3,3009,West Side,1,69,3,2,144,1363,,40,29,4
REP17-9442828,REPAIR,11/17/2017,61 CALIFORNIA,BUFFALO,NY,14213,JAY CAMPBELL,,,75.00,1500.00,0,0994200006008000,210,ANGELA   WHITE,05/17/2018,TEAROFF/REROOF AND GUTTERS AT 1-FAMILY DWELLING.  WORK BY OWNER.  **INSPECTOR: SEE NOTE IN LOG**,"(42.913543206438554, -78.89516509698097)",42.913543206438554,-78.89516509698097,NIAGARA,District B,61,3,3010,Upper West Side,1,43,3,2,23,2905,,14,26,4
REP17-9441933,REPAIR,10/26/2017,1266 WEST,BUFFALO,NY,14213,TRAVIS CRAIG,,,75.00,6000.00,0,0887400001014000,281,ANGELA   WHITE,04/26/2018,TEAR OFF AND REROOF A PORTION (NORTH SIDE) OF THE REAR HOUSE AS PER SCANNED CONTRACT.,"(42.9247799834448, -78.89614290797023)",42.9247799834448,-78.89614290797023,NIAGARA,District D,171,1,1013,Upper West Side,5,27,3,2,53,424,,27,26,3
REP17-9438104,REPAIR,09/12/2017,140 POTOMAC,BUFFALO,NY,14213,NAPLES ROOFING & SIDING,LTC11-544601,LIGHT COMMERCIAL CONTRACTOR,75.00,7500.00,0,0887400004037000,220,ANGELA   WHITE,03/12/2018,TEAR OFF AND REROOF A 2 STORY 2 FAMILY FRAME DWELLING AS PER SCANNED CONTRACT.,"(42.92401694068706, -78.89404731277583)",42.92401694068706,-78.89404731277583,NIAGARA,District D,171,4,4001,Upper West Side,5,27,3,2,46,2974,,27,26,3
REP17-9427305,REPAIR,02/22/2017,18 SUNNYSIDE,BUFFALO,NY,14207,"DALEX CONSTR. INC  (HIC, LTC)",LTC11-538569,LIGHT COMMERCIAL CONTRACTOR,90.00,12435.00,0,0776800009003000,220,ANGELA   WHITE,08/22/2017,New roof and gutter tearoff and install on entire house.,"(42.94715972277854, -78.88759505134486)",42.94715972277854,-78.88759505134486,NORTH,District D,56,4,4001,West Hertel,5,57,1,10,218,2364,,18,3,1
REP17-9442687,REPAIR,11/15/2017,705 COLUMBUS PKWY,BUFFALO,NY,14213,AMY GOODING,LTC16-10034143,LIGHT COMMERCIAL CONTRACTOR,115.00,17500.00,0,0996600007006000,220,ANGELA   WHITE,05/15/2018,Tear off existing roof and re-shingle,"(42.903177082226385, -78.89550168097047)",42.903177082226385,-78.89550168097047,NIAGARA,District B,70,3,3007,West Side,1,69,3,2,144,2415,,40,29,4
REP17-9427380,REPAIR,02/23/2017,365 MILITARY,BUFFALO,NY,14207,VAL DOMNITSAK,LTC16-10034197,LIGHT COMMERCIAL CONTRACTOR,115.00,18000.00,0,0777500002011000,281,ANGELA   WHITE,08/23/2017,tear off/sheath/reroof,"(42.946764441859806, -78.89096267137998)",42.946764441859806,-78.89096267137998,NORTH,District D,56,4,4000,West Hertel,5,57,1,10,218,742,,18,3,1
