"n","fecha","orden","lugar","direcci_n","evento"
"23","2017-02-16T00:00:00.000","Institucional","Proyecto Curricular LEBEI","Carrera 3 No. 26A - 40","Accion de mejora - Seguimiento queja contra docente Paola Murillo Serrano"
"24","2017-02-17T00:00:00.000","Institucional","Facultad Artes ASAB","Carrera 13 No. 14 - 69","Socialización Rendición de Cuentas"
"25","2017-02-20T00:00:00.000","Institucional","Súper CADE CAD"," Carrera 30 # 25 - 90","Socialización Rendición de Cuentas"
"26","2017-02-21T00:00:00.000","Distrital","Colegio Los Reyes Católico","CLL 127 A 11 B 54","Feria Universitaria - Mega Feria Icetex Usaquén"
"27","2017-02-22T00:00:00.000","Institucional","Sala de Juntas Rectoría","Carrera 7 No. 40B - 53","Datos Abiertos SIGUD"
"28","2017-02-23T00:00:00.000","Distrital","Localidad Kennedy","KR 78 N° 78b y 38b","FERIA DE SERVICIO CADE MOVIL"
"29","2017-02-24T00:00:00.000","Distrital","Colegio Salomón Sabio","CRA 124 # 64C 05","Feria Universitaria -Informacion de La Universidad"
"30","2017-02-24T00:00:00.000","Distrital","Localidad Kennedy","KR 78 N° 78b y 38b","FERIA DE SERVICIO CADE MOVIL"
"31","2017-02-26T00:00:00.000","Distrital","Localidad Kennedy","KR 78 N° 78b y 38b","FERIA DE SERVICIO CADE MOVIL"
"32","2017-02-27T00:00:00.000","Institucional","Sala de Juntas Rectoría","Carrera 7 No. 40B - 53","Comité Logística Rendición de Cuentas"
"33","2017-02-27T00:00:00.000","Institucional","Maestria Ing. Industrial - Ciencias de la Información y Comunicaciones ","Carrera 7 No. 40B - 53","Accion de mejora - atención y servicio a la ciudadanía "
"34","2017-02-28T00:00:00.000","Institucional","SEDE ADUANILLA DE PAIBA ","Cl. 13 # 31 - 75","Audiencia Pública de Rendición de Cuentas 2016 UDFJC"
"35","2017-03-01T00:00:00.000","Institucional","Auditorio Del Colegio Americano ","Cra. 22 # 45 - 51 ","Socialización de la Política Institucional de Egresados "
"36","2017-03-01T00:00:00.000","Distrital","Planetario Distrital","Cl. 26 #5-93","Invitación a la Rendición de Cuentas de la Veeduría Distrital"
"37","2017-03-07T00:00:00.000","Nacional","Aula Barule Secretaria General","Cra. 8 10 65 ","Taller Políticas De Racionalización De Tramites"
"38","2017-03-09T00:00:00.000","Distrital","Localidad Puente Aranda","KR 38 N° 10 a - 21 La Caseta","FERIA DE SERVICIO CADE MOVIL "
"39","2017-03-09T00:00:00.000","Institucional","Terraza Edificio Torre Administrativa","Carrera 7 No. 40B - 53","Rectoria Y Planeación"
"40","2017-03-10T00:00:00.000","Distrital","Localidad Puente Aranda","KR 38 N° 10 a - 21 La Caseta","FERIA DE SERVICIO CADE MOVIL "
"41","2017-03-11T00:00:00.000","Distrital","Localidad Puente Aranda","KR 38 N° 10 a - 21 La Caseta","FERIA DE SERVICIO CADE MOVIL "
"42","2017-03-13T00:00:00.000","Institucional","Sala De Juntas Rectoria","Carrera 7 No. 40B - 53","Comité de Seguimiento a los Índices de Transparencia"
"43","2017-03-16T00:00:00.000","Distrital","Aula Barulé Secretaria General-Alcaldía Mayor","Cra. 8 10 65 ","Red Distrital De Quejas "
"44","2017-03-16T00:00:00.000","Nacional","Escuela Superior de Admón. Publica","Cl 44  53 37","Taller De Racionalización SUIT"
"45","2017-03-24T00:00:00.000","Nacional","Instalaciones de Compensar","Cl 94 # 23 - 43 Salón 41, 42 Y 43","Conservatorio, Propuesta De Cambio Para La Lucha Contra La Corrupción "
"46","2017-03-28T00:00:00.000","Distrital"," Colegio Aldemar Rojas Plazas","Cra. 10 Este #5 Sur52","Feria Universitaria - Feria Icetex San Cristóbal "
"47","2017-03-30T00:00:00.000","Institucional","Comité de Currículo  Facultad de Artes ASAB","Carrera 13 No. 14 - 69","Accion de mejora - Seguimiento queja contratista por presunto maltrato laboral "
"48","2017-03-31T00:00:00.000","Institucional","Auditorio Ingenieria","Carrera 7 No. 40B - 53","Taller Socialización Video Institucional"
"49","2017-03-31T00:00:00.000","Distrital","Centro Memoria Antiguo Cementerio","Cra. 19  B # 24 - 86","“Lanzamiento del Programa Incentivos  Transformación” – Alta Consejería  para los Derechos de las Victimas  , La Paz y la Conciliación"
"50","2017-03-31T00:00:00.000","Institucional","SEDE ADUANILLA DE PAIBA ","Cl. 13 # 31 - 75","Socialización Del Proyecto De Gestión Documental y Reuniones Grupales Con Dependencias "
