"institucion_educativa","nombre_sede","rector","tipo","direcci_n","zona","barrio","tel_fono","celular_1","celular_2","celular_3","correo_electronico","correo_electronico_2"
"COLEGIO SAN DIEGO","COLEGIO SAN DIEGO","MARIA DE LAS MERCEDES TORRES","INSTITUCION EDUCATIVA NO OFICIAL","N/A","URBANA","N/A","(606) 8573714","N/A","N/A","N/A","COL.SAN_DIEGO@HOTMAIL.COM","N/A"
"ESCUELA REGIONAL DE FORMACION DE AUXILIARES DE ENFERMERIA","ESCUELA REGIONAL DE FORMACION DE AUXILIARES DE ENFERMERIA","JOSÉ ACIBID LONDOÑO","INSTITUCION EDUCATIVA PARA EL TRABAJO Y DESARROLLO HUMANO","K 7 C 11 57","URBANA","CENTRO","(606) 8390314","3148345077","N/A","N/A","ERFAE.GERENCIA@GMAIL.COM","ERFAE2003@HOTMAIL.COM"
"ESCUELA TÉCNICA SANTA CLARA","ESCUELA TÉCNICA SANTA CLARA","KEISHEMER GONZALEZ","INSTITUCION EDUCATIVA PARA EL TRABAJO Y DESARROLLO HUMANO","C 10 K 4 51","URBANA","N/A","N/A","3137672798","3163042382","3006923883","ESCUELASANTACLARALADORADA@GMAIL.COM","KEISHEMERGONZALEZ490@GMAIL.COM"
"FUNDECOL ENFERMERÍA","FUNDECOL ENFERMERÍA","LILIANA MARITZA SOTO DURAN","INSTITUCION EDUCATIVA PARA EL TRABAJO Y DESARROLLO HUMANO","C 11 K 8 09","URBANA","N/A","(606) 8573652","3167202375","N/A","N/A","COORDINACIONFUNDECOL@GMAIL.COM","N/A"
"GIMNASIO INFANTIL SEMILLITAS DE AMOR","GIMNASIO INFANTIL SEMILLITAS DE AMOR","DIGNAY VIRGINIA MONTEALEGRE AVENDAÑO","INSTITUCION EDUCATIVA NO OFICIAL","K 4 C 10 71","URBANA","N/A","(606) 8570462","3113438462","N/A","N/A","SEMILLITASDEAMOR2013@HOTMAIL.COM","N/A"
"GIMNASIO PALMA REAL","GIMNASIO PALMA REAL","CONSUELO ARIAS MONCALEANO","INSTITUCION EDUCATIVA NO OFICIAL","N/A","RURAL","PALMA REAL","(606) 8566521","N/A","N/A","N/A","GPALREAL@HOTMAIL.COM","N/A"
"INSTITUCION EDUCATIVA ALFONSO LOPEZ","INSTITUCION EDUCATIVA ALFONSO LOPEZ","JUAN ISIDRO LEGUIZAMON ALFONSO","INSTITUCION EDUCATIVA OFICIAL","K 2 C 41 42","URBANA","ALFONZO LOPEZ","(606) 8370346","3024245080","N/A","N/A","IETECNICOALFONSOLOPEZ@SEDCALDAS.GOV.CO","N/A"
"INSTITUCION EDUCATIVA ALFONSO LOPEZ","CONCENTRACION ESCOLAR LA CONCORDIA","JUAN ISIDRO LEGUIZAMON ALFONSO","INSTITUCION EDUCATIVA OFICIAL","K 2B C 33","URBANA","LA CONCORDIA","(606) 8370347","3024245080","N/A","N/A","IETECNICOALFONSOLOPEZ@SEDCALDAS.GOV.CO","N/A"
"INSTITUCION EDUCATIVA ALFONSO LOPEZ","ESCUELA LOS LAURELES","JUAN ISIDRO LEGUIZAMON ALFONSO","INSTITUCION EDUCATIVA OFICIAL","K 2 C 30","URBANA","LAURELES","(606) 8370348","3024245080","N/A","N/A","IETECNICOALFONSOLOPEZ@SEDCALDAS.GOV.CO","N/A"
"INSTITUCION EDUCATIVA ALFONSO LOPEZ","ESCUELA MIGUEL DE CERVANTES SAAVEDRA","JUAN ISIDRO LEGUIZAMON ALFONSO","INSTITUCION EDUCATIVA OFICIAL","K 2 C 41","URBANA","N/A","(606) 8370349","3024245080","N/A","N/A","IETECNICOALFONSOLOPEZ@SEDCALDAS.GOV.CO","N/A"
"INSTITUCION EDUCATIVA BUENAVISTA","INSTITUCION EDUCATIVA BUENAVISTA","NESTOR RUBIEL GARZON","INSTITUCION EDUCATIVA OFICIAL","N/A","RURAL","VEREDA BUENAVISTA","N/A","3164488106","3117192244","N/A","IEBUENAVISTA@SEDCALDAS.GOV.CO","N/A"
"INSTITUCION EDUCATIVA BUENAVISTA","ESCUELA JUAN JOSE CADAVID","NESTOR RUBIEL GARZON","INSTITUCION EDUCATIVA OFICIAL","N/A","RURAL","VEREDA YUCATAN","N/A","3164488106","3117192244","N/A","IEBUENAVISTA@SEDCALDAS.GOV.CO","N/A"
"INSTITUCION EDUCATIVA BUENAVISTA","ESCUELA LA HABANA","NESTOR RUBIEL GARZON","INSTITUCION EDUCATIVA OFICIAL","N/A","RURAL","VEREDA LA HABANA","N/A","3164488106","3117192244","N/A","IEBUENAVISTA@SEDCALDAS.GOV.CO","N/A"
"INSTITUCION EDUCATIVA BUENAVISTA","ESCUELA SAN FERNANDO","NESTOR RUBIEL GARZON","INSTITUCION EDUCATIVA OFICIAL","N/A","RURAL","VEREDA LA ATARRAYA","N/A","3164488106","3117192244","N/A","IEBUENAVISTA@SEDCALDAS.GOV.CO","N/A"
"INSTITUCION EDUCATIVA CAMINOS DEL SABER","INSTITUCION EDUCATIVA CAMINOS DEL SABER","AMPARO MARTINEZ VELEZ","INSTITUCION EDUCATIVA NO OFICIAL","C 13 K 7 44","URBANA","N/A","(606) 8390795","3136334521","N/A","N/A","CAMINOSDELSABER2016@GMAIL.COM","N/A"
"INSTITUCION EDUCATIVA DORADA","ESCUELA POLICARPA SALAVARRIETA","NICOLAS ALBERTO MOLINA MARIN","INSTITUCION EDUCATIVA OFICIAL","K 9 C 9","URBANA","N/A","(606) 8370156","3216487773","N/A","N/A","IEDORADA@SEDCALDAS.GOV.CO","N/A"
"INSTITUCION EDUCATIVA DORADA","ESCUELA JHON F. KENNEDY","NICOLAS ALBERTO MOLINA MARIN","INSTITUCION EDUCATIVA OFICIAL","K 5 C 4","URBANA","N/A","(606) 8370155","3216487773","N/A","N/A","IEDORADA@SEDCALDAS.GOV.CO","N/A"
"INSTITUCION EDUCATIVA DORADA","INSTITUCION EDUCATIVA DORADA","NICOLAS ALBERTO MOLINA MARIN","INSTITUCION EDUCATIVA OFICIAL","K 6 C 3 81","URBANA","LOS ALPES","(606) 8370152","3216487773","N/A","N/A","IEDORADA@SEDCALDAS.GOV.CO","N/A"
"INSTITUCION EDUCATIVA DORADA","ESCUELA FRANCISCO JOSE DE CALDAS","NICOLAS ALBERTO MOLINA MARIN","INSTITUCION EDUCATIVA OFICIAL","K 2 C 1 S","URBANA","BUCAMBA","(606) 8370154","3216487773","N/A","N/A","IEDORADA@SEDCALDAS.GOV.CO","N/A"
"INSTITUCION EDUCATIVA DORADA","ESCUELA FRANCISCO DE PAULA SANTANDER","NICOLAS ALBERTO MOLINA MARIN","INSTITUCION EDUCATIVA OFICIAL","K 3 C 14","URBANA","N/A","(606) 8370153","3216487773","N/A","N/A","IEDORADA@SEDCALDAS.GOV.CO","N/A"
"INSTITUCION EDUCATIVA EL JAPON","INSTITUCION EDUCATIVA EL JAPON","RUDI JOSE GALEANO RAMOS","INSTITUCION EDUCATIVA OFICIAL","N/A","RURAL","VEREDA EL JAPON","N/A","3214022778","N/A","N/A","IEELJAPON@SEDCALDAS.GOV.CO","N/A"
"INSTITUCION EDUCATIVA EL JAPON","ESCUELA LA AGUSTINA","RUDI JOSE GALEANO RAMOS","INSTITUCION EDUCATIVA OFICIAL","N/A","RURAL","VEREDA LA  AGUSTINA","N/A","3214022778","N/A","N/A","IEELJAPON@SEDCALDAS.GOV.CO","N/A"
"INSTITUCION EDUCATIVA GUARINOCITO","ESCUELA FRANCISCO JOSE DE CALDAS","GRACIELA GONZALEZ HOYOS","INSTITUCION EDUCATIVA OFICIAL","N/A","RURAL","CENTRO POBLADO GUARINOCITO","N/A","3148748061","N/A","N/A","IEGUARINOCITO@SEDCALDAS.GOV.CO","N/A"
"INSTITUCION EDUCATIVA GUARINOCITO","INSTITUCION EDUCATIVA GUARINOCITO","GRACIELA GONZALEZ HOYOS","INSTITUCION EDUCATIVA OFICIAL","N/A","RURAL","CENTRO POBLADO GUARINOCITO","N/A","3148748061","N/A","N/A","IEGUARINOCITO@SEDCALDAS.GOV.CO","N/A"
"INSTITUCION EDUCATIVA GUARINOCITO","ESCUELA EL HORIZONTE","GRACIELA GONZALEZ HOYOS","INSTITUCION EDUCATIVA OFICIAL","N/A","RURAL","VEREDA EL HORIZONTE","N/A","3148748061","N/A","N/A","IEGUARINOCITO@SEDCALDAS.GOV.CO","N/A"
"INSTITUCION EDUCATIVA MARCO FIDEL SUAREZ","INSTITUCION EDUCATIVA MARCO FIDEL SUAREZ","JULIAN LOPEZ MONSALVE","INSTITUCION EDUCATIVA OFICIAL","C 50 K 1 05","URBANA","LOS ANDES","(606)8570989","3113852283","N/A","N/A","IEMARCOFIDELSUAREZLADORADA@SEDCALDAS.GOV.CO","N/A"
"INSTITUCION EDUCATIVA NUESTRA SEÑORA DEL CARMEN","ESCUELA SAN VICENTE DE PAUL","YANNETH ROCIO PLATA CHICO","INSTITUCION EDUCATIVA OFICIAL","K 12 C 18","URBANA","N/A","(606) 8370129","N/A","N/A","N/A","IENUESTRASENIORADELCARMEN@SEDCALDAS.GOV.CO","N/A"
"INSTITUCION EDUCATIVA NUESTRA SEÑORA DEL CARMEN","ESCUELA ANTONIO NARIÑO","YANNETH ROCIO PLATA CHICO","INSTITUCION EDUCATIVA OFICIAL","N/A","URBANA","N/A","(606) 8370125","3104540936","N/A","N/A","IENUESTRASENIORADELCARMEN@SEDCALDAS.GOV.CO","N/A"
"INSTITUCION EDUCATIVA NUESTRA SEÑORA DEL CARMEN","ESCUELA JOSE ANTONIO GALAN","YANNETH ROCIO PLATA CHICO","INSTITUCION EDUCATIVA OFICIAL","K 7 C 21","URBANA","N/A","(606) 8370127","N/A","N/A","N/A","IENUESTRASENIORADELCARMEN@SEDCALDAS.GOV.CO","N/A"
"INSTITUCION EDUCATIVA NUESTRA SEÑORA DEL CARMEN","INSTITUCION EDUCATIVA NUESTRA SEÑORA DEL CARMEN","YANNETH ROCIO PLATA CHICO","INSTITUCION EDUCATIVA OFICIAL","K 9 C 12 15","URBANA","SAN ANTONIO","(606) 8370125","3104540936","N/A","N/A","IENUESTRASENIORADELCARMEN@SEDCALDAS.GOV.CO","N/A"
"INSTITUCION EDUCATIVA NUESTRA SEÑORA DEL CARMEN","ESCUELA ANTONIO JOSE DE SUCRE","YANNETH ROCIO PLATA CHICO","INSTITUCION EDUCATIVA OFICIAL","K 9 C 12","URBANA","LAS PALMAS","(606) 8370123","N/A","N/A","N/A","IENUESTRASENIORADELCARMEN@SEDCALDAS.GOV.CO","N/A"
"INSTITUCION EDUCATIVA NUEVOS COMIENZOS","INSTITUCION EDUCATIVA NUEVOS COMIENZOS","JAVIER TOVAR","INSTITUCION EDUCATIVA NO OFICIAL","K 2 C 11 10","URBANA","N/A","(606) 8391165","3015669338","N/A","N/A","NUEVOSCOMIENZOS@GMAIL.COM","IENUEVOSCOMIENZOS@GMAIL.COM"
"INSTITUCION EDUCATIVA PURNIO","INSTITUCION EDUCATIVA PURNIO","JONATAN BANQUETH ROJAS","INSTITUCION EDUCATIVA OFICIAL","N/A","RURAL","VEREDA PURNIO","N/A","3105031805","N/A","N/A","IEPURNIO@SEDCALDAS.GOV.CO","N/A"
"INSTITUCION EDUCATIVA RENAN BARCO","JUAN PABLO II","YAQUELINE CARREÑO CRUZ","INSTITUCION EDUCATIVA OFICIAL","K 9 C 46","URBANA","LAS FERIAS","(606) 8370074","3148878928","N/A","N/A","IERENANBARCO@SEDCALDAS.GOV.CO","N/A"
"INSTITUCION EDUCATIVA RENAN BARCO","INSTITUCION EDUCATIVA RENAN BARCO","YAQUELINE CARREÑO CRUZ","INSTITUCION EDUCATIVA OFICIAL","K 7 C 46","URBANA","LAS FERIAS","(606) 8370074","3148878928","N/A","N/A","IERENANBARCO@SEDCALDAS.GOV.CO","N/A"
"INSTITUCION EDUCATIVA RENAN BARCO","CONCENTRACIÓN ESCOLAR LAS FERIAS","YAQUELINE CARREÑO CRUZ","INSTITUCION EDUCATIVA OFICIAL","N/A","URBANA","LAS FERIAS","(606) 8370074","3148878928","N/A","N/A","IERENANBARCO@SEDCALDAS.GOV.CO","N/A"
"INSTITUCIÓN UNIVERSITARIA POLITÉCNICO GRANCOLOMBIANO","INSTITUCIÓN UNIVERSITARIA POLITÉCNICO GRANCOLOMBIANO","NATALIA YUGO","UNIVERSIDAD","K 6 C 16 19","URBANA","CENTRO","N/A","3176579748","N/A","N/A","CSUDORADAS@POLIGRAN.EDU.CO","N/A"
"INSTITUTO COLOMBIANO DE EDUCACIÓN PARA EL TRABAJO","INSTITUTO COLOMBIANO DE EDUCACIÓN PARA EL TRABAJO","MONICA RODRIGUEZ RAMIREZ","UNIVERSIDAD","K 3 C 14 14","URBANA","CENTRO","(606) 8573343","321 815 2525","317 372 3835","N/A","INCET.DORADA@INCET.EDU.CO","N/A"
"INSTITUTO NUEVO MUNDO","INSTITUTO NUEVO MUNDO","PBRO. FERNAN OSPINA CASTRO","INSTITUCION EDUCATIVA NO OFICIAL","C 12A K 10 86","URBANA","N/A","(606) 8573774","3174386265","N/A","N/A","IEDNUMLADORADA@GMAIL.COM","N/A"
"MI MUNDO FELIZ","MI MUNDO FELIZ","YAMILE HERNANDEZ BAEZ","INSTITUCION EDUCATIVA NO OFICIAL","N/A","URBANA","N/A","N/A","3147991026","N/A","N/A","CAMILA.URUENAH@HOTMAIL.COM","N/A"
"PREESCOLAR HORIZONTES","PREESCOLAR HORIZONTES","JENNY MILENA CASTILLO GIRALDO","INSTITUCION EDUCATIVA NO OFICIAL","C 10 K 6A 11","URBANA","N/A","N/A","3112300222","N/A","N/A","PREESCOLARHORIZONTESLADORADA@GMAIL.COM","N/A"
"RED DE FRANQUISIAS KUMON","RED DE FRANQUISIAS KUMON","MARÍA ERNESTINA RUBIANO","INSTITUCION EDUCATIVA PARA EL TRABAJO Y DESARROLLO HUMANO","K 11 C 8 33","URBANA","N/A","N/A","3148620285","N/A","N/A","KUMONLADORADA@OUTLOOK.COM","TITINARRUB@GMAIL.COM"
"SOLUCIONES EMPRESARIALES PANDA","SOLUCIONES EMPRESARIALES PANDA","HECTOR MAURICIO MUÑOZ RODIGUEZ","INSTITUCION EDUCATIVA PARA EL TRABAJO Y DESARROLLO HUMANO","C 8 K 5 51","URBANA","LOS ALPES","(606) 8390344","3185393420","3188335039","N/A","SOLUCIONESEMPRESARIALESPANDA@GMAIL.COM","N/A"
"UNIMINUTO","UNIMINUTO","MAURO EDISON PATIÑO GARIBELLO","UNIVERSIDAD","K 3 C 13","URBANA","CENTRO","N/A","3176684877","N/A","N/A","MAURO.PATINO@UNIMINUTO.EDU","N/A"
"UNIVERSIDAD DE CALDAS - CERES LA DORADA","UNIVERSIDAD DE CALDAS - CERES LA DORADA","MABEL MURILLO CASTILLO","UNIVERSIDAD","C 11 K 3","URBANA","CENTRO","N/A","3218013662","N/A","N/A","MABEL.MURILLO@UCALDAS.EDU.CO","N/A"
"UNIVERSIDAD NACIONAL ABIERTA Y A DISTANCIA - UNAD","UNIVERSIDAD NACIONAL ABIERTA Y A DISTANCIA - UNAD","LUZ CARIME RODRIGUEZ CUARTAS","UNIVERSIDAD","C 32 K 1 40","URBANA","LA CONCORDIA","N/A","3103337109","N/A","N/A","LUZ.RODRIGUEZ@UNAD.EDU.CO","N/A"
