"informacindelaentidad_nombredelaentidad","informacindelaentidad_orden","uid"
"Alcaldía Municipal de Sincelejo","Territorial","27"
"Gobernación del Casanare","Territorial","24"
"Alcaldía Municipal de Acacias","Territorial","24"
"Instituto Nacional de Vías","Nacional","23"
"Corte Constitucional","Nacional","23"
"Agencia para la Reincorporación y la Normalización","Nacional","22"
"Instituto de Hidrología, Meteorología y Estudios Ambientales","Nacional","22"
"Departamento Administrativo de la Función Pública","Nacional","21"
"Gobernación del Magdalena","Territorial","21"
"Alcaldía Municipal de Fusagasugá","Territorial","21"
"Alcaldía Municipal de Chía","Territorial","21"
"Superintendencia de Notariado y Registro","Nacional","21"
"Gobernación del Santander","Territorial","21"
"Alcaldía Municipal de La Estrella","Territorial","21"
"Alcaldía Municipal de Envigado","Territorial","20"
"Gobernación de Bolívar","Territorial","20"
"Ministerio de Relaciones Exteriores","Nacional","19"
"Gobernación de Caldas","Territorial","19"
"Ministerio de Ciencia, Tecnología e Innovación","Nacional","19"
"Gobernación de Antioquia","Territorial","19"
"Ministerio del Trabajo","Nacional","19"
"Unidad Administrativa Especial de Organizaciones Solidarias","Nacional","19"
"Departamento Administrativo para la Prosperidad Social","Nacional","18"
"Gobernación de Sucre","Territorial","18"
"Instituto Colombiano para la Evaluación de la Educación","Nacional","18"
"Superintendencia de Industria y Comercio","Nacional","18"
"Agencia Nacional de Infraestructura","Nacional","17"
"Alcaldía Municipal de Manizales","Territorial","17"
"Alcaldía Municipal de Mosquera Cundinamarca","Territorial","17"
"Instituto Nacional de Medicina Legal y Ciencias Forenses","Nacional","17"
"Alcaldía Municipal de Guadalajara de Buga","Territorial","17"
"Agencia Nacional de Minería","Nacional","17"
"Instituto Colombiano de Bienestar Familiar","Nacional","17"
"Ministerio de Hacienda y Crédito Público","Nacional","16"
"Alcaldía Municipal de Cota","Territorial","16"
"Alcaldía Municipal de La Dorada","Territorial","16"
"Contraloría Departamental del Valle del Cauca","Territorial","16"
"Corporación Autónoma Regional del Cauca C.R.C","Departamental","16"
"Instituto Nacional de Salud","Nacional","15"
"Alcaldía Municipal de Tunja","Territorial","14"
"Unidad Administrativa Especial de Gestión de Restitución de Tierras Despojadas","Nacional","14"
"Alcaldía Municipal de Marinilla","Territorial","14"
"Alcaldía Municipal de Armenia Quindío","Territorial","14"
"Unidad Nacional de Protección","Nacional","14"
"E.S.E. Empresa Social del Estado Instituto de Salud de Bucaramanga Isabu","Nacional","14"
"E.S.E. Red de Salud del Oriente","Territorial","13"
"Unidad Ejecutora de Saneamiento del Valle del Cauca","Territorial","13"
"Instituto Departamental de Salud de Norte de Santander","Territorial","13"
"Alcaldía Municipal de Pasto","Territorial","13"
"Cámara de Comercio de Huila","Territorial","13"
"Federación Colombiana de Municipios","Nacional","13"
"Alcaldía Municipal de Oporapa","Territorial","13"
"Servicio Geológico Colombiano","Nacional","13"
"Corporación Autónoma Regional de Boyacá","Nacional","13"
"Caja de Retiro de Las Fuerzas Militares","Nacional","13"
"Corporación Autónoma Regional de Risaralda","Nacional","12"
"Corporación Autónoma Regional de Risaralda","Territorial","12"
"Alcaldía Municipal de Belalcázar","Nacional","12"
"Alcaldía Municipal de Tauramena","Territorial","12"
"Alcaldía Municipal de Ibagué","Territorial","12"
"Sociedad Radio Televisión Nacional de Colombia","Nacional","12"
"Hospital Militar Central","Nacional","12"
"Servicio Nacional de Aprendizaje","Nacional","12"
"Unidad Administrativa Especial Contaduría General de la Nación","Nacional","12"
"Instituto Nacional de Metrología","Nacional","12"
"Ministerio de Vivienda, Ciudad y Territorio","Nacional","12"
"Banco de la República","Nacional","12"
"Alcaldía Municipal de Sogamoso","Territorial","11"
"Ministerio de Minas y Energía","Nacional","11"
"Universidad del Magdalena","Territorial","11"
"Gobernación del Cesar","Territorial","11"
"Autoridad Nacional de Licencias Ambientales","Nacional","11"
"Senado de La República","Nacional","11"
"Escuela Superior de Administración Pública","Nacional","11"
"E.S.E. Empresa Social del Estado Pasto Salud","Territorial","11"
"Corporación Autónoma Regional del Cauca","Nacional","11"
"Alcaldía Municipal de Itagüí","Territorial","10"
"Alcaldía Municipal de Segovia","Territorial","10"
"Departamento Administrativo de la Presidencia de la República","Nacional","10"
"Ministerio del Interior","Nacional","10"
"Alcaldía Municipal de Santa Rosa de Cabal","Territorial","10"
"Unidad para la Atención y Reparación Integral de Victimas","Departamental","10"
"Alcaldía Municipal de Castilla la Nueva","Territorial","10"
"Gobernación del Putumayo","Territorial","10"
"Superintendencia Nacional de Salud","Nacional","10"
"E.S.E. Hospital Tomas Uribe Uribe Tuluá","Territorial","9"
"Empresas Publicas de Medellín","Territorial","9"
"Instituto Nacional de Medicina Legal y Ciencias Forenses","Departamental","9"
"Alcaldía Municipal de Copacabana","Territorial","9"
"Alcaldía Municipal de Puerto Inírida","Territorial","9"
"Área Metropolitana de Bucaramanga","Territorial","9"
"E.S.P. Empresa Ibaguéreña de Acueducto y Alcantarillado S.A.","Territorial","9"
"E.S.P. Electrificadora de Santander S.A.","Territorial","9"
"Gobernación del Amazonas","Territorial","9"
"Alcaldía Municipal de Polonuevo","Territorial","9"
"Alcaldía Municipal de Madrid","Territorial","9"
"Alcaldía Municipal de Chaparral","Territorial","9"
"Alcaldía Municipal de San Roque","Territorial","9"
"Unidad de Planeación Minero Energética","Nacional","9"
"Cámara de Comercio de Medellín para Antioquia","Territorial","9"
"Superintendencia de Sociedades","Nacional","9"
"Registraduria Nacional del Estado Civil","Nacional","9"
"Gobernación de Cundinamarca","Territorial","9"
"Alcaldía Municipal de Villanueva Casanare","Territorial","8"
"Jurisdicción Especial para la PAZ - JEP NIT.: 901140004","Nacional","8"
"Agencia de Desarrollo Rural","Nacional","8"
"Alcaldía Municipal de Dosquebradas","Territorial","8"
"Alcaldía Municipal de Tubará","Territorial","8"
"E.S.E. Hospital Universitario San Jorge E.S.E.","Territorial","8"
"Unidad Nacional para la Gestión del Riesgo de Desastres","Nacional","8"
"Instituto Colombiano Agropecuario","Nacional","8"
"Administradora del Monopolio Rentístico de Los Juegos de Suerte y Azar","Nacional","8"
"Alcaldía Municipal de Puente Nacional","Nacional","8"
"E.S.E. Hospital Departamental Santa Sofía de Caldas","Territorial","8"
"Procuraduría General de la Nación","Nacional","8"
"Alcaldía Municipal de Palestina Caldas","Territorial","8"
"Alcaldía Municipal de Calarcá","Territorial","8"
"Alcaldía Municipal de Samacá","Territorial","8"
"Empresa Metro de Medellín Ltda.","Territorial","8"
"Autoridad Nacional de Acuicultura y Pesca","Nacional","8"
"Cámara de Comercio de Villavicencio","Territorial","8"
"Sociedad de Activos Especiales S.A.S.","Nacional","8"
"Cámara de Comercio de Valledupar","Territorial","8"
"Ministerio de Ambiente y Desarrollo Sostenible","Nacional","8"
"Gobernación del Meta","Territorial","8"
"Contraloría General de Antioquia","Territorial","8"
"Colegio Mayor de Antioquia Institución Universitaria","Territorial","8"
"E.S.E. Empresa Social del Estado Imsalud","Territorial","8"
"Administradora Colombiana de Pensiones","Nacional","8"
"Unidad Administrativa Especial Migración Colombia","Nacional","7"
"Alcaldía Municipal de Vista Hermosa","Territorial","7"
"Alcaldía Municipal de Puerres","Territorial","7"
"Corporación Autónoma Regional del Guavio","Nacional","7"
"Ministerio de Agricultura y Desarrollo Rural","Nacional","7"
"Contraloría Departamental de Córdoba","Territorial","7"
"Agencia Nacional de Seguridad Vial","Nacional","7"
"E.S.E. Hospital Regional Manuela Beltrán IIi Nivel Socorro Santander","Territorial","7"
"Fondo Nacional de Ahorro","Nacional","7"
"Gobernación del Quindío","Territorial","7"
"Cámara de Representantes","Nacional","7"
"Alcaldía Municipal de La Jagua de Ibirico","Territorial","7"
"E.S.E. Hospital Regional de Chiquinquirá","Territorial","7"
"Contraloría General de la República","Nacional","7"
"Unidad Central del Valle del Cauca","Territorial","7"
"E.S.E. Salud Pereira","Territorial","7"
"Institución Universitaria ITSA","Territorial","7"
"Alcaldía Municipal de Aguazul","Territorial","7"
"Cámara de Comercio de Honda","Nacional","7"
"Cámara de Comercio de Valledupar","Nacional","7"
"Alcaldía Municipal de Subachoque","Territorial","7"
"Ministerio del Deporte","Nacional","7"
"E.S.E. del Municipio de Villavicencio","Territorial","7"
"Fondo Nacional de Garantías S.A.","Nacional","7"
"Alcaldía Municipal de Toledo Norte de Santander","Territorial","7"
"Gobernación del Caquetá","Territorial","7"
"Cámara de Comercio del Oriente Antioqueño","Nacional","7"
"Alcaldía Municipal de Zipaquirá","Territorial","7"
"Alcaldía Municipal de Guatavita","Territorial","7"
"E.S.E. Hospital General de Medellín","Nacional","7"
"Superintendencia de Transporte","Nacional","7"
"Universidad Colegio Mayor de Cundinamarca","Nacional","7"
"Contraloría General de Medellín","Territorial","7"
"Unidades Tecnológicas de Santander","Territorial","7"
"Alcaldía Municipal de Caracolí","Territorial","7"
"Gobernación de Nariño","Territorial","7"
"Alcaldía Municipal de Yarumal","Territorial","7"
"E.S.E. Hospital Departamental San Antonio Pitalito","Territorial","7"
"Empresa de Energía del Quindío S.A. E.S.P.","Territorial","6"
"Alcaldía Municipal de Quinchia","Territorial","6"
"Colegio Mayor del Cauca Popayán","Territorial","6"
"Fondo de Garantías de Instituciones Financieras","Nacional","6"
"Aeropuerto Matecaña","Territorial","6"
"Alcaldía Municipal de Aratoca","Territorial","6"
"Institución Universitaria de Envigado","Territorial","6"
"Banco Agrario de Colombia S.A.","Nacional","6"
"Universidad Nacional Abierta y a Distancia","Nacional","6"
"Alcaldía Municipal de Güepsa Santander","Territorial","6"
"E.S.E. Salud Sogamoso","Territorial","6"
"E.S.P. Aguas Nacionales Epm S.A.","Territorial","6"
"Canal Regional de Televisión Tv Andina Ltda.","Nacional","6"
"Alcaldía Municipal de Saravena","Territorial","6"
"Fiscalía General de la Nación","Nacional","6"
"Secretaria de Agricultura y Desarrollo Rural","Departamental","6"
"Unidad Administrativa Especial Dirección de Impuestos y Aduanas Nacionales","Nacional","6"
"Alcaldía Municipal de Candelaria Valle del Cauca","Territorial","6"
"Positiva Compañía de Seguros S.A.","Nacional","5"
"Personería Municipal de Floridablanca Santander","Territorial","5"
"Alcaldía Municipal de Arauca","Territorial","5"
"Parques Nacionales Naturales de Colombia","Nacional","5"
"Alcaldía Municipal de Chinchiná","Nacional","5"
"Personería Municipal de Envigado Antioquia","Territorial","5"
"Alcaldía Municipal de Los Patios","Territorial","5"
"Alcaldía Municipal de La Unión Valle del Cauca","Territorial","5"
"Alcaldía Municipal de San José del Guaviare","Territorial","5"
"E.S.P. Empresa de Acueducto, Alcantarillado y Aseo Funza","Territorial","5"
"Pensiones de Antioquia","Territorial","5"
"Contraloría General de Santiago de Cali","Territorial","5"
"Agencia Nacional del Espectro","Nacional","5"
"Fondo Financiero de Proyectos de Desarrollo","Nacional","5"
"E.S.E. Hospital Departamental San Vicente de Paul de Garzón","Territorial","5"
"Alcaldía Municipal de Caldas","Territorial","5"
"Alcaldía Municipal de Cajicá","Territorial","5"
"Superintendencia de Vigilancia y Seguridad Privada","Nacional","5"
"Secretaría de Cultura, Recreación y Deporte","Territorial","5"
"Comisión de Regulación de Energía y Gas","Nacional","5"
"Contraloría Departamental del Atlántico","Territorial","5"
"Escuela Nacional del Deporte","Territorial","5"
"Área Metropolitana Centro Occidente de Pereira","Territorial","5"
"E.S.E. Hospital San Antonio Betania","Territorial","5"
"E.S.P. Aguas de Uraba S.A.","Territorial","5"
"Universidad de Sucre","Territorial","5"
"Instituto Departamental de Bellas Artes","Territorial","5"
"Contraloría Distrital de Barranquilla","Territorial","5"
"Cámara de Comercio de La Dorada","Territorial","5"
"Empresa de Obras Sanitarias de Caldas S.A. E.S.P.","Territorial","5"
"Corporación Autónoma Regional de Las Cuencas de Los Rios Negro y Nare","Nacional","5"
"Cámara de Comercio de Ocaña","Territorial","5"
"Instituto Colombiano de Crédito Educativo y Estudios Técnicos en el Exterior Mariano Ospina Pérez","Nacional","5"
"Secretaria Departamental de Salud del Cauca","Departamental","5"
"Agencia Logística de Las Fuerzas Militares","Nacional","5"
"Alcaldía Municipal de Valdivia","Territorial","5"
"Consejo de Estado","Nacional","5"
"Alcaldía Municipal de Rionegro Antioquia","Territorial","5"
"Agencia de Renovación del Territorio","Nacional","5"
"Corporación Autónoma Regional del Alto Magdalena Cam","Nacional","5"
"Instituto Nacional Penitenciario y Carcelario","Nacional","5"
"Empresas Varias de Medellín","Territorial","5"
"Dirección de Tránsito y Transporte de Floridablanca","Territorial","5"
"Personería Municipal de Medellín","Territorial","5"
"Armada Nacional","Nacional","5"
"Instituto de Educación Técnica Profesional","Territorial","5"
"Agencia Nacional de Defensa Jurídica del Estado","Nacional","5"
"Departamento Administrativo Nacional de Estadísticas DANE","Departamental","5"
"Instituto Departamental de Deportes del Tolima InDeportes Tolima","Territorial","5"
"Caja Promotora de Vivienda Militar y de Policía","Nacional","5"
"Superintendencia de la Economía Solidaria","Nacional","5"
"Alcaldía Municipal de Aranzazu","Territorial","5"
"Cámara de Comercio de Cartagena","Territorial","5"
"Alcaldía Municipal de Mercaderes","Territorial","4"
"Industria Militar","Nacional","4"
"Sistema Integrado de Transporte de Valledupar","Territorial","4"
"Red Salud Casanare E.S.E","Territorial","4"
"Corporación Autónoma Regional del Magdalena","Nacional","4"
"Alcaldía Municipal de Nariño","Territorial","4"
"Alcaldía Municipal de Monterrey","Territorial","4"
"Empresa Pública de Alcantarillado de Santander Empas S.A","Nacional","4"
"Comisión de Regulación de Agua Potable y Saneamiento Básico","Nacional","4"
"CÁMARA DE COMERCIO DE BARRANQULLA","Territorial","4"
"CÁMARA DE COMERCIO DE BUGA","Territorial","4"
"Alcaldía Distrital de Cartagena de Indias Distrito Turístico, Histórico y Cultural","Territorial","4"
"Unidad Administrativa Especial de Rehabilitación y Mantenimiento Vial","Territorial","4"
"Alcaldía Municipal de Bosconia","Territorial","4"
"Alcaldía Municipal de Susa","Territorial","4"
"Auditoría General de la República","Nacional","4"
"Alcaldía Municipal de San Jerónimo","Territorial","4"
"Unidad Administrativa Especial de Gestión Pensional y Contribuciones Parafiscales de la Protección Social","Nacional","4"
"Alcaldía Municipal de Cáchira","Territorial","4"
"Cámara de Comercio de Magangué","Territorial","4"
"Valor+ S.A.S.","Territorial","4"
"Departamento Nacional de Planeación","Territorial","4"
"Alcaldía Municipal de Barbosa Antioquia","Territorial","4"
"Contraloría Departamental del Guaviare","Territorial","4"
"Corporación para el Desarrollo Sostenible del Área de Manejo Especial la Macarena","Nacional","4"
"Contraloría Municipal de Itagüí","Territorial","4"
"Universidad de Córdoba","Nacional","4"
"E.S.E. Hospital Universitario Hernando Moncaleano Perdomo Neiva","Territorial","4"
"Alcaldía Municipal de San Gil","Territorial","4"
"E.S.P. Enviaseo","Territorial","4"
"Ministerio de Comercio, Industria y Turismo","Nacional","4"
"Alcaldía Municipal de Pueblo Rico Risaralda","Territorial","4"
"CÁMARA DE COMERCIO DEL PUTUMAYO","Territorial","4"
"E.S.E. Hospital Manuel Uribe Ángel Envigado","Territorial","4"
"Alcaldía Municipal de Guateque","Territorial","4"
"Comisión Nacional del Servicio Civil","Nacional","4"
"Cámara de Comercio de Montería","Territorial","4"
"Instituto de Investigaciones Marinas y Costeras José Benito Vives de Andréis","Nacional","4"
"Cámara de Comercio de Sincelejo","Territorial","4"
"Alcaldía Municipal de Bolívar Valle del Cauca","Territorial","4"
"Instituto para El Fomento del Deporte de Barrancabermeja","Territorial","4"
"Alcaldía Municipal de Malambo","Territorial","4"
"Alcaldía Municipal de La Unión Valle del Cauca","Nacional","4"
"Superintendencia del Subsidio Familiar","Nacional","4"
"Oficina de gestion social y Asuntos poblacionales","Departamental","4"
"Personería Municipal de Tocancipá Cundinamarca","Territorial","4"
"Alcaldía Municipal de Flandes","Territorial","4"
"Cámara de Comercio de Pereira","Territorial","4"
"E.S.P. Central Hidroelectrica de Caldas S.A. Chec","Territorial","4"
"Universidad del Cauca","Nacional","4"
"Alcaldía Municipal de Puerto Libertador","Territorial","4"
"Secretaria de Educación Departamento del Cauca.","Departamental","4"
"E.S.E. Hospital Regional San Juan de Dios Rionegro","Nacional","4"
"Administradora de los Recursos del Sistema General de Seguridad Social en Salud","Nacional","4"
"E.S.E. Hospital Departamental de Villavicencio","Territorial","4"
"Cámara De Comercio De Ipiales","Territorial","4"
"Institución Universitaria IU Digital de Antioquia","Nacional","4"
"Gobernación del Caquetá","Nacional","4"
"Cámara de Comercio Aburrá Sur","Territorial","4"
"Ecopetrol S.A.","Nacional","4"
"Alcaldía Municipal de Oiba","Territorial","4"
"Alcaldía Municipal de Tununguá","Territorial","4"
"Alcaldía Municipal de Fortul","Territorial","4"
"Universidad Militar Nueva Granada","Nacional","4"
"Alcaldía Municipal de Algeciras","Territorial","4"
"E.S.P. Empresa de Acueducto y Alcantarillado Eamos Mosquera","Territorial","4"
"Universidad Pedagógica Nacional","Nacional","4"
"Alcaldía Municipal de Chinácota","Nacional","4"
"Alcaldía Municipal de Tocancipá","Territorial","4"
"Alcaldía Municipal de Miranda","Territorial","4"
"Dirección General Marítima","Nacional","4"
"Cámara de Comercio de Ibagué","Territorial","4"
"Contraloría Departamental de Arauca","Territorial","4"
"Gobernación del Valle del Cauca","Nacional","4"
"Contraloría Departamental del Amazonas","Territorial","4"
"Empresas Públicas Municipales de Cartago","Territorial","4"
"Gobernación Archipiélago de San Andrés, Providencia y Santa Catalina","Nacional","3"
"Alcaldía Municipal de Montería","Territorial","3"
"Escuela Tecnológica Instituto Técnico Central","Nacional","3"
"Alcaldía Municipal de Puerto López","Territorial","3"
"Consejo Profesional Nacional de Ingeniería","Nacional","3"
"Fuerza Aérea Colombiana","Nacional","3"
"Alcaldía Municipal de Baranoa","Territorial","3"
"Archivo General de la Nación","Nacional","3"
"Alcaldía Municipal de Roldanillo","Territorial","3"
"E.S.E. Hospital San Juan de Dios Armenia","Territorial","3"
"Gobernación del Guaviare","Territorial","3"
"Alcaldía Municipal de Circasia","Territorial","3"
"Alcaldía Municipal de Inzá","Territorial","3"
"Corporación Autónoma Regional de la Orinoquia","Nacional","3"
"Alcaldía Municipal de San Andrés Santander","Territorial","3"
"Alcaldía Municipal de Granada Cundinamarca","Territorial","3"
"Caja de Sueldos de Retiro de la Policía Nacional","Nacional","3"
"E.S.E. Hospital Marco Felipe Afanador de Tocaima","Territorial","3"
"E.S.E. Hospital María Inmaculada Rioblanco","Territorial","3"
"Área Metropolitana del Valle de Aburra","Territorial","3"
"Personería Municipal de Boyacá","Territorial","3"
"Alcaldía Municipal de Duitama","Territorial","3"
"Instituto Caro y Cuervo","Nacional","3"
"E.S.E. Hospital Universitario La Samaritana","Territorial","3"
"Alcaldía Municipal de Firavitoba","Territorial","3"
"Lotería del Quindío","Territorial","3"
"Alcaldía Municipal de El Colegio","Territorial","3"
"Agencia Nacional Inmobiliaria Virgilio Barco Vargas","Nacional","3"
"Dirección Nacional de derecho de Autor","Nacional","3"
"Alcaldía Municipal de San Cayetano Norte de Santander","Territorial","3"
"Alcaldía Municipal de Gualmatán","Territorial","3"
"Alcaldía Municipal de Maceo","Territorial","3"
"Alcaldía Municipal de Santa Sofía","Territorial","3"
"Personería Municipal Saladoblanco","Territorial","3"
"Defensoría del Pueblo","Nacional","3"
"Alcaldía Municipal de Saboyá","Territorial","3"
"E.S.P. Empresas Publicas de Caicedonia E.P.C.","Territorial","3"
"Instituto de Vivienda de Interés Social y Reforma Urbana InviUnión La Unión","Territorial","3"
"Corporación Autónoma Regional para la Defensa de la Meseta de Bucaramanga","Territorial","3"
"E.S.E. Centro de Rehabilitación Integral en Salud Mental de Antioquia Carisma","Territorial","3"
"Financiera de Desarrollo Territorial S.A.","Nacional","3"
"Alcaldía Municipal de San Juan de Arama","Territorial","3"
"E.S.E. Hospital Municipal de Acacias","Territorial","3"
"Alcaldía Municipal de Sabana de Torres","Territorial","3"
"Alcaldía Municipal de Viracachá","Territorial","3"
"Fondo de Garantías de Entidades Cooperativas","Nacional","3"
"Alcaldía Municipal de Barrancabermeja","Territorial","3"
"E.S.E. Hospital San Rafael de Tunja","Nacional","3"
"Instituto de Valorización de Manizales Invama","Territorial","3"
"Instituto Distrital de Deportes y Recreación de Cartagena","Territorial","3"
"Alcaldía Municipal de Chinchiná","Territorial","3"
"Contraloría Departamental de Nariño","Territorial","3"
"Universidad de Pamplona","Nacional","3"
"Alcaldía Municipal de Guarne","Territorial","3"
"Universidad Distrital Francisco José de Caldas","Territorial","3"
"Alcaldía Municipal de Chía","Nacional","3"
"Alcaldía Municipal de Providencia y Santa Catalina Islas San Andres","Nacional","3"
"Gobernación Archipiélago de San Andrés, Providencia y Santa Catalina","Territorial","3"
"Instituto Nacional para Sordos","Nacional","3"
"Alcaldía Municipal de Suesca","Territorial","3"
"Banco de Comercio Exterior de Colombia S.A.","Nacional","3"
"Secretaria de Educacion y Cultura","Departamental","3"
"Ministerio de Transporte","Nacional","3"
"Contraloría General de Boyacá","Territorial","3"
"Alcaldía Municipal de Charalá","Territorial","3"
"Instituto de Financiamiento, Promoción y Desarrollo de Caldas Infi Caldas","Territorial","3"
"E.S.E. Hospital Divino Salvador de Sopo","Territorial","3"
"Departamento Administrativo de la Defensoría del Espacio Público","Territorial","3"
"ASSBASALUD ESE","Territorial","3"
"Alcaldía Municipal de Urumita","Territorial","3"
"Instituto Nacional Medicina Legal - Forensis","Departamental","3"
"Alcaldía Municipal de Florencia Caquetá","Territorial","3"
"E.S.E. Hospital San Juan de Dios Riosucio","Territorial","3"
"E.S.E. Hospital Local de Tauramena","Territorial","3"
"Alcaldía Municipal de Neira","Territorial","3"
"Institución Universitaria Bellas Artes y Ciencias de Bolívar","Territorial","3"
"Instituto Colombiano de Antropología e Historia","Nacional","3"
"Departamento Administrativo Dirección Nacional de Inteligencia","Nacional","3"
"La Previsora S.A. Compañía de Seguros","Nacional","3"
"Alcaldía Municipal de Santo Tomas","Territorial","3"
"Corporación para el Fomento de la Educación Superior","Territorial","3"
"Alcaldía Municipal de Sesquilé","Territorial","3"
"Alcaldía Municipal de Barichara","Territorial","3"
"Notaria 2 de Manizales","Territorial","3"
"Concejo Municipal de Pereira","Territorial","3"
"Cámara de Comercio de Aguachica","Territorial","3"
"E.S.E. Hospital Erasmo Meoz","Territorial","3"
"Ministerio de Cultura","Nacional","3"
"Alcaldía Municipal de Santa Rosa del Sur","Territorial","3"
"Alcaldía Distrital de Buenaventura Distrito Especial, Industrial, Portuario, Biodiverso y Ecoturístico","Territorial","3"
"Artesanías de Colombia S.A.","Nacional","3"
"Instituto Municipal de Cultura y Turismo de Bucaramanga","Territorial","3"
"Contraloría Municipal de Ibagué","Territorial","3"
"Contraloría General del Departamento Archipielago de San Andrés, Providencia y Santa Catalina","Territorial","3"
"Cámara de Comercio de Casanare","Territorial","3"
"Empresa Constructora de Vivienda de Tunja","Territorial","3"
"Ministerio de Defensa Nacional","Territorial","3"
"Alcaldía Municipal de La Paz Santander","Nacional","3"
"Alcaldía Municipal de Medio Atrato","Territorial","3"
"Instituto de Deportes, Recreación y Aprovechamiento del Tiempo Libre de Envigado","Territorial","3"
"Alcaldía Municipal de Paipa","Territorial","3"
"Unidad de Servicios Penitenciarios y Carcelarios","Nacional","3"
"Alcaldía Municipal de Sutatausa","Territorial","3"
"Gobernación del Huila","Territorial","3"
"Gobernación del Cauca","Territorial","3"
"Alcaldía Municipal de Algarrobo","Territorial","3"
"Alcaldía Municipal de Puerto Boyacá","Territorial","3"
"Consejo Superior de la Judicatura","Nacional","3"
"Fundación Gilberto Álzate Avendaño","Territorial","3"
"Alcaldía Municipal de Yotoco","Territorial","3"
"Instituto de Casas Fiscales del Ejército","Nacional","3"
"Contraloría Municipal de Bucaramanga","Territorial","3"
"Alcaldía Municipal de Socorro","Territorial","3"
"Alcaldía Municipal de Armero Guayabal","Territorial","3"
"Alcaldía Municipal de San José del Fragua","Territorial","3"
"Fondo de Previsión Social del Congreso de la República","Nacional","3"
"Alcaldía Municipal de Cuaspud","Territorial","3"
"Gobernación del Vaupés","Territorial","3"
"Alcaldía Municipal de Sabanagrande","Territorial","3"
"Alcaldía Municipal de Leticia","Territorial","3"
"Alcaldía Municipal de Encino","Territorial","3"
"Región Administrativa y de Planeación Especial","Territorial","3"
"E.S.P. Aseo Roldanillo S.A.","Territorial","3"
"Alcaldía Municipal de Chiquinquirá","Territorial","3"
"Universidad del Tolima","Nacional","2"
"Financiera de Desarrollo Nacional","Nacional","2"
"E.S.E. Hospital San Rafael de Tunja","Territorial","2"
"Instituto Departamental de Deporte y Recreación del Quindío Iderqui","Territorial","2"
"Instituto de Cultura y Patrimonio de Antioquia","Territorial","2"
"Alcaldía Municipal de Caucasia","Territorial","2"
"Unidad de Proyección Normativa y Estudios de Regulación Financiera","Nacional","2"
"E.S.E. Hospital Santa Clara","Nacional","2"
"Concejo Distrital de Bogotá D.C.","Territorial","2"
"Gobernación del Guainía","Territorial","2"
"Alcaldía Municipal de Villanueva Guajira","Territorial","2"
"Alcaldía Municipal de La Victoria Valle del Cauca","Territorial","2"
"Alcaldía Municipal de Quimbaya","Territorial","2"
"Corporación Autónoma Regional para el Desarrollo Sostenible del Chocó","Nacional","2"
"Alcaldía Municipal de Abejorral Antioquia","Territorial","2"
"Alcaldía Municipal de El Espinal","Territorial","2"
"E.S.P. Empresa de Servicios Públicos de Tocancipá S.A.","Territorial","2"
"Alcaldía Municipal de Campo de la Cruz","Territorial","2"
"Alcaldía Municipal de Yumbo","Territorial","2"
"Contraloría General del Quindío","Territorial","2"
"Cámara de Comercio del Chocó","Territorial","2"
"Ministerio de Salud y Protección Social","Territorial","2"
