"nombre","telefono_fijo","direcci_n","email","pagina_web"
"ESC URB ESPIRITU SANTO NO 4","5820378","AV 14 NO 15-15 BARRIO EL CONTENTO","colgorila@semcucuta.gov.co","https://gonzaloriveralaguado.edu.co/web/"
"ESC URB PERPETUO SOCORRO NO 8","5820378","AV 13 NO 13-32 BARRIO EL CONTENTO","colgorila@semcucuta.gov.co","https://gonzaloriveralaguado.edu.co/web/"
"COL JOSE AQUILINO DURAN","5827890 - 5820954","AV 17A NO 19-41 BARRIO SAN JOSE","coljoseaquilino@semcucuta.gov.co","https://www.colaquilino.edu.co/"
"COL BAS PEDRO FORTOUL","5824472","CLL 28 NO 22-67 BARRIO SANTANDER","coljoseaquilino@semcucuta.gov.co","https://www.colaquilino.edu.co/"
"ESC URB MIXTA LAS ANGUSTIAS NO 24","5821432","CLL 22 NO 19-19 BARRIO SANTANDER","coljoseaquilino@semcucuta.gov.co","https://www.colaquilino.edu.co/"
"ESC URB VARONES ATANASIO GIRARDOT NO 28","5826615","AV 24 NO 24-21 BARRIO NUEVO","coljoseaquilino@semcucuta.gov.co","https://www.colaquilino.edu.co/"
"INST TEC ALEJANDRO GUTIERREZ CALDERON","5821586 - 5821259","CLL 11 NO 22-40 BARRIO CUNDINAMARCA","colaleguti@semcucuta.gov.co","https://www.alejandrogutierrezcalderon.edu.co/"
"ESC URB SAN JUAN BOSCO NO 15","5828605","CLL 22A NO 22-80 BARRIO GAITAN","colaleguti@semcucuta.gov.co","https://www.alejandrogutierrezcalderon.edu.co/"
"ESC NUESTRA SEÑORA DE FATIMA","0","CLL 8 NO 23-100 BARRIO SAN MIGUEL PARTE ALTA","colaleguti@semcucuta.gov.co","https://www.alejandrogutierrezcalderon.edu.co/"
"ESC CUNDINAMARCA NO 22","5720756","CLL 12A NO 18-105 BARRIO CUNDINAMARCA","colaleguti@semcucuta.gov.co","https://www.alejandrogutierrezcalderon.edu.co/"
"COL NUESTRA SEÑORA DE BELEN","5823002","CLL 26 NO 27-60 BARRIO BELEN","colnubelen@semcucuta.gov.co","http://www.colnubelen.edu.co/"
"ESC NUESTRA SEÑORA DE BELEN NO 23","5824287","CLL 25 NO 27-40 BARRIO BELEN","colnubelen@semcucuta.gov.co","http://www.colnubelen.edu.co/"
"CENT DOC NUESTRA SEÑORA DE BELEN NO 21","5822108","CLL 25 NO 27-10 BARRIO BELEN","colnubelen@semcucuta.gov.co","http://www.colnubelen.edu.co/"
"ESC URB RUDESINDO SOTO NO 49","5824139","AV 30 NO 17-22 BARRIO RUDESINDO SOTO","colnubelen@semcucuta.gov.co","http://www.colnubelen.edu.co/"
"INST EDUC LA DIVINA PASTORA","5828521","CLL 31 NO 31-60 BARRIO LA DIVINA PASTORA","coldivinapastora@semcucuta.gov.co","https://ieladivinapastora.edu.co/web/"
"COL EL RODEO","5836978","MZ 8-42 BARRIO EL RODEO","colelrodeo@semcucuta.gov.co","https://www.webcolegios.com/rodeo/"
"COL PADRE RAFAEL GARCIA HERREROS","5820965 - 5824884","CLL 7 NO 14-48 BARRIO LOMA DE BOLIVAR","colragarciaherreros@semcucuta.gov.co","https://www.webcolegios.com/colegiorafaelgarciaherreros/"
"ESC URB 28 DE FEBRERO NO 20","5821819","CLL 6 NO 12-118 BARRIO LOMA DE BOLIVAR","colragarciaherreros@semcucuta.gov.co","https://www.webcolegios.com/colegiorafaelgarciaherreros/"
"COL LUIS CARLOS GALAN SARMIENTO","5722963","CLL 26 NO 0-63 BARRIO SAN RAFAEL","colluisgalan@semcucuta.gov.co","https://colgalancucuta.edu.co/web/"
"ESC URB SAN PABLO NO 19","5833660","CLL 25 NO 7A-35 BARRIO SANTO DOMINGO","NO APLICA","NO APLICA"
"ESC URB ALIANZA PARA EL PROGRESO NO 36","5714073","AV 1A NO 28-40 BARRIO SAN RAFAEL","NO APLICA","NO APLICA"
"ESC URB SAN VICENTE DE PAUL NO 18","5835536","CLL 26 NO 0-35 BARRIO SAN RAFAEL","NO APLICA","NO APLICA"
"ESC URB JOSE EUSEBIO CARO NO 23","5831818","AV 8 NO 20-04 BARRIO CUBEROS NIÑO","NO APLICA","NO APLICA"
"ESC RUR EL PORTICO","0","VEREDA EL PORTICO CORREG SAN PEDRO","NO APLICA","NO APLICA"
"ESC RUR SAN PEDRO","5752902","NO K47-91 CORREG SAN PEDRO","NO APLICA","NO APLICA"
"COL SANTO ANGEL DE LA GUARDA","5763449 - 5760068","FINCA LA RINCONADA BARRIO LA RINCONADA","colsantoangel@semcucuta.gov.co","http://www.iesantoangel.edu.co/"
"ESC URB JOSE EUSEBIO CARO NO 6","5835109","CLL 22 NO 9B-85 BARRIO CUBEROS NIÑO","colsantoangel@semcucuta.gov.co","http://www.iesantoangel.edu.co/"
"ESC NUESTRA SEÑORA DEL ROSARIO NO 27","5824971","AV 20 NO 22-30 BARRIO SAN JOSE","colsantoangel@semcucuta.gov.co","http://www.iesantoangel.edu.co/"
"COL SAN FRANCISCO DE SALES","5750367","AV 4E NO 6-23 BARRIO POPULAR","colfranciscodesales@semcucuta.gov.co","https://iesanfranciscodesales.edu.co/portal/"
"COL BAS ATANASIO GIRARDOT NO 34","5821882","AV 13A NO 20-14 BARRIO ALFONSO LOPEZ","colfranciscodesales@semcucuta.gov.co","https://iesanfranciscodesales.edu.co/portal/"
"INST EDUC COL JOSE PRUDENCIO PADILLA","5824493","CLL 17A NO 10-15 BARRIO CAMILO TORRES","colfranciscodesales@semcucuta.gov.co","https://iesanfranciscodesales.edu.co/portal/"
"ESC FRANCISCO DE PAULA ANDRADE NO 9","5824291","AV 14 NO 21-50 BARRIO ALFONSO LOPEZ","colfranciscodesales@semcucuta.gov.co","https://iesanfranciscodesales.edu.co/portal/"
"COL NUESTRA SEÑORA DE FATIMA","5753553 - 5755452","CLL 7A NO 6E-22 BARRIO QUINTA ORIENTAL","colsrafatima@semcucuta.gov.co","https://www.bienestarpolicia.gov.co/index.php?idcategoria=2969"
"COL CARLOS PEREZ ESCALANTE","5764075 - 5766588 - 5766808","CLL 13 NO 2-26 BARRIO SAN LUIS","colcarlosperez@semcucuta.gov.co","https://iecarpes.edu.co/web/"
"ESC URB MARCO FIDEL SUAREZ NO 9","5763656","CLL 11 NO 2-27 BARRIO SAN LUIS","colcarlosperez@semcucuta.gov.co","https://iecarpes.edu.co/web/"
"ESC URB SANTA ISABEL DE HUNGRIA","5760882","AV 3 NO 12-18 BARRIO SAN LUIS","colcarlosperez@semcucuta.gov.co","https://iecarpes.edu.co/web/"
"ESC URB NUESTRA SEÑORA DE CHIQUINQUIRA NO 61","5762312","AV 2 NO 15-37 BARRIO SAN LUIS","colcarlosperez@semcucuta.gov.co","https://iecarpes.edu.co/web/"
"COL PABLO CORREA LEON","5766023 - 5841290","AV 16 NO 11-10 BARRIO LA LIBERTAD","colpaleon@semcucuta.gov.co","NO APLICA"
"ESC URB MARIA AUXILIADORA NO 72","5843540","CLL 10B NO 12B-42 BARRIO ANIVERSARIO","colpaleon@semcucuta.gov.co","NO APLICA"
"ESC URB GUILLERMO LEON VALENCIA NO 76","5764074","CLL 25 AV 19 BARRIO AGUAS CALIENTES","colpaleon@semcucuta.gov.co","NO APLICA"
"ESC URB CLUB DE LEONES VALLE ESTHER","5767856","AV 18 NO 14-98 BARRIO VALLE ESTHER","colpaleon@semcucuta.gov.co","NO APLICA"
"COL SIMON BOLIVAR","5769276 - 5769922","CLL 4 NO 11A-26 BARRIO SAN MARTIN","colintsimonbolivar@semcucuta.gov.co","https://www.institucioneducativasimonbolivar.edu.co/"
"CENT DOC SAN MARTIN NO 65","5846478","CLL 5 Y 6 NO 7-20 BARRIO SAN MARTIN","colintsimonbolivar@semcucuta.gov.co","https://www.institucioneducativasimonbolivar.edu.co/"
"ESC HERNANDO ACEVEDO ORTEGA","5769922","CLL 0 NO 13-26 BARRIO TORCOROMA II","colintsimonbolivar@semcucuta.gov.co","https://www.institucioneducativasimonbolivar.edu.co/"
"INST TEC MERCEDES ABREGO","5920072","AV LIBERTADORES NO 16E-30 CIUDAD JARDIN","colmercedesabrego@semcucuta.gov.co","http://www.institutotecnicomercedesabrego.edu.co/"
"ESC URB SAGRADO CORAZON NO 4","5920072","CLL 4 Y 5 AV 12 Y 13 BARRIO COLSAG","colmercedesabrego@semcucuta.gov.co","http://www.institutotecnicomercedesabrego.edu.co/"
"JARDIN INFANTIL NACIONAL","5920072","AV 13E CLL 4 Y 5 BARRIO COLSAG","colmercedesabrego@semcucuta.gov.co","http://www.institutotecnicomercedesabrego.edu.co/"
"COL CLUB DE LEONES","5845014","AV 5A NO 6-63 BARRIO BAJO PAMPLONITA","colclubdeleones@semcucuta.gov.co","https://www.iecolegioclubdeleones.edu.co/"
"ESC URB SAN JUAN BOSCO NO 73","5764889","CLL 1 NO 10-30 BARRIO ALTO PAMPLONITA","colclubdeleones@semcucuta.gov.co","https://www.iecolegioclubdeleones.edu.co/"
"CENT DOC EL ESCOBAL","5849767","CLL 3 NO 4-34 BARRIO EL ESCOBAL","colclubdeleones@semcucuta.gov.co","https://www.iecolegioclubdeleones.edu.co/"
"COL INTEGD BOCONO","5843970","CLL 2 NO 3-07 BARRIO BOCONO","colclubdeleones@semcucuta.gov.co","https://www.iecolegioclubdeleones.edu.co/"
"CENT DOC SANTA ANA NO 1","5844722","AV 3 NO 5-81 BARRIO SANTA ANA","colclubdeleones@semcucuta.gov.co","https://www.iecolegioclubdeleones.edu.co/"
"ESC RAFAEL GARCIA HERREROS","5776878","AV 9 NO 3-45 BARRIO LA UNION","colclubdeleones@semcucuta.gov.co","https://www.iecolegioclubdeleones.edu.co/"
"ESC RURAL INTEGD BOCONO","5842079","AV 0 NO 0-280 ANILLO VIAL ORIENTAL","colclubdeleones@semcucuta.gov.co","https://www.iecolegioclubdeleones.edu.co/"
"COL FRANCISCO JOSE DE CALDAS","5761334","CLL 19 NO 13-23 BARRIO LA LIBERTAD","colfranjoscal@semcucuta.gov.co","https://www.webcolegios.com/colcaldascucuta/"
"CENT EDUC SAN PEDRO CLAVER","5841886","CLL 28 NO 10-45 BARRIO BELLAVISTA","colfranjoscal@semcucuta.gov.co","https://www.webcolegios.com/colcaldascucuta/"
"CENT EDUC SANTISIMA TRINIDAD","5842179","CLL 3 NO 2-48 BARRIO SAN MATEO PARTE ALTA","colfranjoscal@semcucuta.gov.co","https://www.webcolegios.com/colcaldascucuta/"
"COL ORIENTAL NO 26","5819047","CLL 19AN NO 4-89 BARRIO PRADOS DEL NORTE","coloriental26@semcucuta.gov.co","https://www.coloriental26.edu.co/"
"INST NACIONAL DE ENSEÑANZA MEDIA DIVERSIFICADA INEM JOSE EUSEBIO CARO","5892520","CLL 4E NO 11E-121 BARRIO GUAIMARAL","colinem@semcucuta.gov.co","https://www.inemcucuta.edu.co/"
"ESC URB CIUDAD JARDIN NO 42","5891997","AV 15E MZ 1 LT 1 BARRIO CIUDAD JARDIN","colinem@semcucuta.gov.co","https://www.inemcucuta.edu.co/"
"ESC URB MIGUEL MULLER","5891238","CLL 14N NO 12E-56 URB ZULIMA I ETAPA","colinem@semcucuta.gov.co","https://www.inemcucuta.edu.co/"
"COL MUNICIPAL MARIA CONCEPCION LOPERENA","5742857 - 5747498 - 5770130","AV GUAIMARAL 11E NO 2N-117 BARRIO QUINTA ORIENTAL","colmpalconcepcionloperena@semcucuta.gov.co","https://colmunbto.edu.co/web/"
"COL BAS GUAIMARAL NO 25","5744017","AV 12E NO 9BN-46 BARRIO GUAIMARAL","colmpalconcepcionloperena@semcucuta.gov.co","https://colmunbto.edu.co/web/"
"ESC MARIA OFELIA VILLAMIZAR BUITRAGO","5749857 - 5770930","CLL 16KN NO 13A-61 BARRIO ESPERANZA MARTINEZ AV LAS AMERICAS","colmpalconcepcionloperena@semcucuta.gov.co","https://colmunbto.edu.co/web/"
"ESC DOMINGO SAVIO DOS MIL","5742857 - 5770930","CLL 16HN NO 15-96 BARRIO BRISAS DEL AEROPUERTO AV LAS AMERICAS","colmpalconcepcionloperena@semcucuta.gov.co","https://colmunbto.edu.co/web/"
"INST TEC GUAIMARAL","5743293 - 5773807","CLL 10AN NO 7E-134 BARRIO GUAIMARAL","colguaimaral@semcucuta.gov.co","https://instiguaimaral.edu.co/web/"
"COL HERMOGENES MAZA","5773807 - 5743293","CLL 10AN NO 7E-134 BARRIO GUAIMARAL","colguaimaral@semcucuta.gov.co","https://instiguaimaral.edu.co/web/"
"CENT DOC ALMA LUZ VEGA RANGEL","5746889","CLL 6BN NO 12E-73 BARRIO LOS ACACIOS","colguaimaral@semcucuta.gov.co","https://instiguaimaral.edu.co/web/"
"INST LA ESPERANZA","5740916","AV 9E NO 0-10 BARRIO QUINTA ORIENTAL","colguaimaral@semcucuta.gov.co","https://instiguaimaral.edu.co/web/"
"COL ANTONIO NARIÑO","5824499","CLL 1 NO 8-17 BARRIO CALLEJON","colantonionarino@semcucuta.gov.co","https://ieantonionarino.edu.co/web/"
"ESC URB DE NIÑAS NUESTRA SEÑORA DE LOURDES NO 13","5826449","CLL 0 NO 10-143 BARRIO PUEBLO NUEVO","colantonionarino@semcucuta.gov.co","https://ieantonionarino.edu.co/web/"
"CENT DOC MUNICIPAL SAN JOSE OBRERO","5799241","BARRIO PUEBLO NUEVO","colantonionarino@semcucuta.gov.co","https://ieantonionarino.edu.co/web/"
"PREESCOLAR MIS ALEGRIAS","5827168","AV 9 NO 0AN-69 BARRIO PUEBLO NUEVO","colantonionarino@semcucuta.gov.co","https://ieantonionarino.edu.co/web/"
"COL ANDRES BELLO","5791280 - 5791264","CLL 7N NO 7AN-06 BARRIO SEVILLA","colandresbello@semcucuta.gov.co","https://www.colandresbello.edu.co/"
"ESC URB ANCIZAR OCAMPO","5871855","CLL 17BN NO 10-35 BARRIO VILLA NUEVA","colandresbello@semcucuta.gov.co","https://www.colandresbello.edu.co/"
"ESC URB LAURA VICUÑA","5877967","AV 13N NO 12N-66 BARRIO CARLOS PIZARRO","colandresbello@semcucuta.gov.co","https://www.colandresbello.edu.co/"
"COL GREMIOS UNIDOS","5799592","CLL 2BN NO 6-08 BARRIO PESCADERO","colgremiosunidos@semcucuta.gov.co","http://www.colgremiosunidos.edu.co/"
"COL SIMON BOLIVAR","5799674","CLL 2N NO 5-12 BARRIO PESCADERO","colgremiosunidos@semcucuta.gov.co","http://www.colgremiosunidos.edu.co/"
"CENT EDUC 18 DE MAYO","5780441","CLL 1AN NO 7A-76 BARRIO SEVILLA","colgremiosunidos@semcucuta.gov.co","http://www.colgremiosunidos.edu.co/"
"COL EUSTORGIO COLMENARES BAPTISTA","5875072 - 5873819","AV 6 NO 16-43 BARRIO EL SALADO","colecolba@semcucuta.gov.co","https://colecolba.edu.co/web/"
"ESC URB INTEGD PANAMERICANA NO 53","5873319 - 5875003","AV 8 NO 9-02 BARRIO PANAMERICANO","colecolba@semcucuta.gov.co","https://colecolba.edu.co/web/"
"ESC GILMA CASADO DE VILA","5870500","CLL 1 NO 6-15 BARRIO LA INSULA","colecolba@semcucuta.gov.co","https://colecolba.edu.co/web/"
"ESC NVA SAN GERARDO","5743819","CARRETERA PANAMERICANA VIA A SAN FAUSTINO","colecolba@semcucuta.gov.co","https://colecolba.edu.co/web/"
"ESC EL CERRITO","5873819","CARRERA 4 NO 4-59 BARRIO EL CERRITO","colecolba@semcucuta.gov.co","https://colecolba.edu.co/web/"
"ESC LAS CUMBRES DEL NORTE","5873819","BRR CUMBRES DEL NORTE","colecolba@yahoo.es","https://colecolba.edu.co/web/"
"COL MUNICIPAL AEROPUERTO","5818909","CLL 9 NO 3-60 BARRIO AEROPUERTO","colaeropuerto@semcucuta.gov.co","https://colaeropuerto.edu.co/web/"
"CENT EDUC VIRGILIO BARCO","5874514","CLL 24 NO 2-45 BARRIO VIRGILIO BARCO","colaeropuerto@semcucuta.gov.co","https://colaeropuerto.edu.co/web/"
"CENT DOC LUIS CARLOS GALAN SARMIENTO NO 2","5876519","CLL 21 NO 4-91 BARRIO PORVENIR","colaeropuerto@semcucuta.gov.co","https://colaeropuerto.edu.co/web/"
"COL CARLOS TOLEDO PLATA","5875244","CLL 12 NO 14-12 BARRIO TOLEDO PLATA","coltoledoplata@semcucuta.gov.co","https://coltoledoplata.edu.co/web/nuestro-colegio/"
"COL MANUEL ANTONIO FERNANDEZ DE NOVOA","5824665 - 5825937","AV 11 NO 3-14 BARRIO CARORA","colmafer@semcucuta.gov.co","https://www.colmafen.edu.co/"
"ESC URB REYES MANTILLA NO 14","5834534","AV 10 NO 3-26 BARRIO CALLEJON","colmafer@semcucuta.gov.co","https://www.colmafen.edu.co/"
"COL BAS LOS ALPES","5822664","TRANSV 17 CLL 2 NO 13-96 BARRIO CARORA","colmafer@semcucuta.gov.co","https://www.colmafen.edu.co/"
"ESC HOMBRES Y MUJERES DE PENSAMIENTO NUEVO","5825937","BARRIO LOS ALPES PARTE ALTA","colmafer@semcucuta.gov.co","https://www.colmafen.edu.co/"
"COL INTEGD JUAN ATALAYA","5785588 - 5785511","CLL 6 NO 26-118 BARRIO TUCUNARE JUNTO AL IDEMA","coljuanatalaya@semcucuta.gov.co","https://colija.es.tl/"
"ESC URB CUCUTA 75 NO 52","5811828","AV 27 NO 5N-31 BARRIO ATALAYA I ETAPA","coljuanatalaya@semcucuta.gov.co","https://colija.es.tl/"
"ESC URB ANTONIO MARIA CLARET NO 30","5786156","MZ 10 LOTE 11 ETAPA 4 BARRIO CLARET","coljuanatalaya@semcucuta.gov.co","https://colija.es.tl/"
"COL CONCEJO DE CUCUTA","5798433","AV 5 MZ 7 LOTE 67 BARRIO TUCUNARE ALTO ATALAYA","coljuanatalaya@semcucuta.gov.co","https://colija.es.tl/"
"ESC URB GABRIEL GARCIA MARQUEZ NO 79","5797133","AV 31 MZ 3J2 NO 12-01 BARRIO TUCUNARE BAJO ATALAYA","coljuanatalaya@semcucuta.gov.co","https://colija.es.tl/"
"ESC URB LA PRIMAVERA MARIA AUXILIADORA","5813860","MZ J7 LOTE 11 BARRIO LA PRIMAVERA","coljuanatalaya@semcucuta.gov.co","https://colija.es.tl/"
"COL LOS SANTOS APOSTOLES","5814176 - 5816026","AV 6 NO 6-54 BARRIO CHAPINERO","colsantosapostoles@semcucuta.gov.co","http://colegiosantosapostoles.co/"
"ESC DE NIÑAS NO 19","5787919","CLL 1 AV 1 NO 265-1 BARRIO CHAPINERO","colsantosapostoles@semcucuta.gov.co","http://colegiosantosapostoles.co/"
"ESC URB JOSE CELESTINO MUTIS NO 31","5788501","CLL 1 AV 1 y 2 BARRIO CHAPINERO","colsantosapostoles@semcucuta.gov.co","http://colegiosantosapostoles.co/"
"ESC URB KENNEDY NO 47","5810231","AV 7 NO 6-18 BARRIO CHAPINERO","colsantosapostoles@semcucuta.gov.co","http://colegiosantosapostoles.co/"
"ESC URB EL ROSAL","5811245","CLL 3 NO 10-21 BARRIO EL ROSAL DEL NORTE","colsantosapostoles@semcucuta.gov.co","http://colegiosantosapostoles.co/"
"COL SAN BARTOLOME","579888 - 5786769","CLL 0 NO 4-37 BARRIO COMUNEROS AUTOPISTA ATALAYA","colsanbartolome@semcucuta.gov.co","https://colsanbartolome.edu.co/web/"
"COL MUNICIPAL JESUS OBRERO","5813230","AV 10 NO 6BN-123 BARRIO CERRO NORTE","colsanbartolome@semcucuta.gov.co","https://colsanbartolome.edu.co/web/"
"ESC URB CERRO NORTE","5813230","AV 10 NO 6BN-8 BARRIO CERRO NORTE","colsanbartolome@semcucuta.gov.co","https://colsanbartolome.edu.co/web/"
"ESC URB COMUNEROS NO 33","5798879","CLL 3 NO 4-50 BARRIO COMUNEROS","colsanbartolome@semcucuta.gov.co","https://colsanbartolome.edu.co/web/"
"COL PADRE MANUEL BRICEÑO JAUREGUI","5813255","AV 21 NO 2-100 BARRIO CUCUTA 75","colmbjauregui@semcucuta.gov.co","https://colmabrija.edu.co/web/"
"ESC TEODORO GUTIERREZ NO 38","5788276","MZ 6 LOTE 9 BARRIO ATALAYA III ETAPA","colmbjauregui@semcucuta.gov.co","https://colmabrija.edu.co/web/"
"COL PABLO NERUDA","5790237 - 5813705 - 5812201","MZ 3 LOTE 15 BARRIO ATALAYA I ETAPA","colpabloneruda@semcucuta.gov.co","https://www.pabloneruda.edu.co/"
"ESC URB INTEGD GABRIELA MISTRAL","5788296","MZ J1 LOTE 14 BARRIO ATALAYA I ETAPA","colpabloneruda@semcucuta.gov.co","https://www.pabloneruda.edu.co/"
"ESC LA GRUTA NO 6","5812584","AV 3 NO 3-39 BARRIO LA VICTORIA","colpabloneruda@semcucuta.gov.co","https://www.pabloneruda.edu.co/"
"COL MARIANO OSPINA RODRIGUEZ","5796991 - 5795340","CLL 14 NO 5-01 BARRIO OSPINA PEREZ","colmarianospinarodriguez@semcucuta.gov.co","https://colmor.edu.co/web/"
"COL MONSEÑOR LUIS PEREZ HERNANDEZ","5786861","CLL 10 NO 3-01 BARRIO MOTILONES","colmarianospinarodriguez@semcucuta.gov.co","https://colmor.edu.co/web/"
"ESC TERCER MILENIO","5786602","CLL 4 NO 3-78 BARRIO MOTILONES","colmarianospinarodriguez@semcucuta.gov.co","https://colmor.edu.co/web/"
"ESC EL PARAISO","5786861 - 5795340","CLL 14 NO 10-27 BARRIO EL PARAISO","colmarianospinarodriguez@semcucuta.gov.co","https://colmor.edu.co/web/"
"ESC URB JOSE BARTOLOME CELIS","5786861","CLL 9 NO 8-91 BARRIO LA FLORIDA","colmarianospinarodriguez@semcucuta.gov.co","https://colmor.edu.co/web/"
"COL JUANA RANGEL DE CUELLAR","5796631","AV 00 CLL 16 y 17 BARRIO LA LAGUNA","coljuanarangel@semcucuta.gov.co","https://iejuanarangeldecuellar.edu.co/web/"
"COL BUENOS AIRES","5798214","CLL 30 AV 7 y 7A BARRIO BUENOS AIRES ATALAYA","colbuenosaires@semcucuta.gov.co","https://colbuenosaires.edu.co/web/"
"COL PRESBITERO DANIEL JORDAN","5812948","AV 5 NO 10-41 BARRIO NIÑA CECI","colpresbiterodanieljordan@semcucuta.gov.co","NO APLICA"
"ESC TERESA GUASCH NO 56","5734601","AV 5 NO 7-40 BARRIO 7 DE AGOSTO","colpresbiterodanieljordan@semcucuta.gov.co","NO APLICA"
"COL BAS CAMILO DAZA","5735124","CLL 43 NO 8-80 BARRIO CAMILO DAZA","colcamilodaza@semcucuta.gov.co","https://www.colegiocamilodaza.edu.co/"
"COL JAIME GARZON","5813674","AV 20 CLL 6 BARRIO CUCUTA 75 KENNEDY","coljaimegarzon@semcucuta.gov.co","https://coljaimegarzon.edu.co/web/"
"ESC DE NIÑAS NO 24","5788892","AV 21 NO 2N-41 BARRIO CUCUTA 75","coljaimegarzon@semcucuta.gov.co","https://coljaimegarzon.edu.co/web/"
"ESC PABLO VI NO 43","5787181","AV 2 NO 6-41 BARRIO LA VICTORIA","coljaimegarzon@semcucuta.gov.co","https://coljaimegarzon.edu.co/web/"
"COL MISAEL PASTRANA BORRERO","5845000 - 5845197","AV 3 NO 21-23 BARRIO SAN MATEO","colmisaelpastranaborrero@semcucuta.gov.co","https://colmisaelpastrana.edu.co/web/"
"COL BAS MARIA GORETTI","5762614","AV 5 NO 19-38 BARRIO SANTA TERESITA","colmisaelpastranaborrero@semcucuta.gov.co","https://colmisaelpastrana.edu.co/web/"
"COL BAS SAN MATEO","5762614","AV 4 NO 24-10 BARRIO SAN MATEO","colmisaelpastranaborrero@semcucuta.gov.co","https://colmisaelpastrana.edu.co/web/"
"CENT DOC NUEVO MILENIO","5845000","AV 3 NO 21-22 BARRIO SAN MATEO","colmisaelpastranaborrero@semcucuta.gov.co","https://colmisaelpastrana.edu.co/web/"
"COL SAN JOSE","5876481","CLL 3 NO 1N-73 BARRIO TRIGAL DEL NORTE","colsanjose_trigal@semcucuta.gov.co","https://colsanjosetrigal.edu.co/portal/"
"CENT EDUC RUR LOS PERACOS","5819567","VEREDA LOS PERACOS","colsanjose_trigal@semcucuta.gov.co","https://colsanjosetrigal.edu.co/portal/"
"COL CARLOS RAMIREZ PARIS","5811753","CLL 18 NO 51-33 BARRIO ANTONIA SANTOS","colcarlosramirezparis@semcucuta.gov.co","https://iecrp.edu.co/web/"
"INST TEC NUESTRA SEÑORA DE MONGUI - PAZ Y FUTURO","5815052","CLL 9 NO 47-50 BARRIO ANTONIA SANTOS SECTOR LOS OLIVOS","colcarlosramirezparis@semcucuta.gov.co","https://iecrp.edu.co/web/"
"ESC DON BOSCO NO 88","5788904","AV 23 NO 67-84 BARRIO EL PROGRESO","colcarlosramirezparis@semcucuta.gov.co","https://iecrp.edu.co/web/"
"ESC RAFAEL POMBO NO 74","5811038","MZ 38 LOTE 4 BARRIO PALMERAS PARTE BAJA","colcarlosramirezparis@semcucuta.gov.co","https://iecrp.edu.co/web/"
"COL JUAN PABLO I","5794729","CLL 12 NO 0E-81 BARRIO MOTILONES","coljuanpablo1@semcucuta.gov.co","https://www.iejuanpabloprimero.edu.co/"
"COL CRISTO OBRERO","5799241 - 5795894","CLL 35 NO 9-03 BARRIO LA ERMITA","cristoobreropazyfuturo@semcucuta.gov.co","https://www.webcolegios.com/cristoobrero/"
"COL JULIO PEREZ FERRERO","5831831","AV 19 NO 11-22 BARRIO CUNDINAMARCA","coljulioperezferrero@semcucuta.gov.co","https://julioperezferrero.edu.co/web/"
"ESC URB SAN MIGUEL NO 13","5823555","CLL 9 NO 16-47 BARRIO SAN MIGUEL","coljulioperezferrero@semcucuta.gov.co","https://julioperezferrero.edu.co/web/"
"SEDE NUEVO HORIZONTE","5870770","AV 23 NO 15A-12 BARRIO NUEVO HORIZONTE","coljulioperezferrero@semcucuta.gov.co","https://julioperezferrero.edu.co/web/"
