"matr_cula","organizaci_n_jur_dica","categoria","est_matricula","raz_n_social","nit","fec_matricula","fec_renovacion","_ltimo_a_o_renovado","fec_constitucion","fec_disolucion","fec_vigencia","direcci_n","municipio","tel_fono_1","tel_fono_2","tel_fono_3","vigilancia","email","ciiu_actividad_1","ciiu_actividad_2","ciiu_actividad_3","ciiu_actividad_4","activo_total","representante_legal"
"S0504206","12","1","II","Asociación Administradora De Acueducto De Tacarimena","9012192505","2018-10-03T00:00:00.000","2018-10-03T00:00:00.000","2018","2018-10-03T00:00:00.000","N/A","2038-09-09T00:00:00.000","Corregimiento De Tacarimena","Yopal","3112365632","N/A","N/A","Gobernacion De Casanare","alvarogonzalezvega0721@gmail.com","E3600 ** Captacion  tratamiento y distribucion de agua","O8413 ** Regulacion de las actividades de organismos que prestan servicios de salud  educativos  culturales y otros servicios sociales  excepto servicios de seguridad social","E3811 ** Recoleccion de desechos no peligrosos","E3900 ** Actividades de saneamiento ambiental y otros servicios de gestion de desechos","80,000","Gonzalez Vega Alvaro"
"S0504670","12","1","IA","Asociacion Afrodesarrollo De Yopal","9015478367","2021-12-09T00:00:00.000","2021-12-09T00:00:00.000","2021","2021-12-09T00:00:00.000","N/A","2036-11-24T00:00:00.000","Carrera 10 N 24  15","Yopal","3104183228","N/A","N/A","Gobernacio De Casanare","josuedaniel1759@gmail.com","S9499 ** Actividades de otras asociaciones n.c.p.","Q8899 ** Otras actividades de asistencia social sin alojamiento n.c.p.","N/A","N/A","85,000","Montaño Angulo Josue Daniel"
"S0503525","12","1","II","Movimiento Asociativo De Victimas De Conflicto Luz De Esperanza","9008533429","2015-04-07T00:00:00.000","2019-02-01T00:00:00.000","2019","2015-04-07T00:00:00.000","N/A","2024-03-29T00:00:00.000","Calle 5A No. 3-22 Barrio Villa Yolanda","Aguazul","3102423467","N/A","N/A","Secretaria De Gobierno","mavicludescasanare@hotmail.com","S9499 ** Actividades de otras asociaciones n.c.p.","N/A","N/A","N/A","100,000","Leon Mesa Gladys Emilce"
"S0504514","12","1","IA","Asociacion Productores De Recetor Casanare","9014425550","2020-12-23T00:00:00.000","2021-11-29T00:00:00.000","2021","2020-12-23T00:00:00.000","N/A","2030-11-06T00:00:00.000","Calle 2  No 2-42","Recetor","3138764928","N/A","N/A","Gobernacion De Casanare","heidy.monrroy@gmail.com","S9499 ** Actividades de otras asociaciones n.c.p.","A0161 ** Actividades de apoyo a la agricultura","G4721 ** Comercio al por menor de productos agricolas para el consumo en establecimientos especializados","G4729 ** Comercio al por menor de otros productos alimenticios n.c.p.  en establecimientos especializados","100,000","Cruz Vargas Reina Minolda"
"S0504624","12","1","IA","Veeduria Ciudadana Mani Es Primero","9015261391","2021-09-30T00:00:00.000","2021-09-30T00:00:00.000","2021","2021-09-30T00:00:00.000","N/A","2031-09-14T00:00:00.000","Calle 8 3-67","Mani","3124563197","3132447050","N/A","Gobernación Casanare","maniesprimero@gmail.com","S9499 ** Actividades de otras asociaciones n.c.p.","N/A","N/A","N/A","100,000","Urbano Garcia Omar Andres"
"S0504389","12","1","IA","Asociación De Victimas De La Tercerizacion Laboral De Casanare","9013566101","2020-01-17T00:00:00.000","2020-01-17T00:00:00.000","2020","2019-12-23T00:00:00.000","N/A","2035-01-17T00:00:00.000","Calle 27 N 21A 05","Yopal","3144174065","N/A","N/A","Gobernacion De Casanare","avitela2020@gmail.com","S9411 ** Actividades de asociaciones empresariales y de empleadores","N/A","N/A","N/A","100,000","Cardona Espinosa Henry Arnulfo"
"S0503518","12","1","II","Corporacion Nacional Presente Y Futuro","N/A","2015-03-13T00:00:00.000","2018-03-28T00:00:00.000","2018","2015-03-13T00:00:00.000","N/A","2035-03-03T00:00:00.000","Calle 4 Transversal 18-135 Barrio Altos De San Martin","Yopal","3144472289","3133901858","N/A","N/A","javierflorez.jf7@gmail.com","F4111 ** Construccion de edificios residenciales","F4321 ** Instalaciones electricas","G4752 ** Comercio al por menor de articulos de ferreteria  pinturas y productos de vidrio en establecimientos especializados","C3312 ** Mantenimiento y reparacion especializado de maquinaria y equipo","100,000","Florez Hernandez Javier Antonio"
"S0503954","12","1","II","Red Social Y Comunitaria De Yopal","9010720243","2017-04-11T00:00:00.000","2018-08-08T00:00:00.000","2018","2017-04-11T00:00:00.000","N/A","2037-03-10T00:00:00.000","Carrera 20 N. 17-15 In 1","Yopal","3232482181","6320918","N/A","Gobernación De Casanare","yedsocialy@gmail.com","S9499 ** Actividades de otras asociaciones n.c.p.","N/A","N/A","N/A","100,000","Peña Hector Hernando"
"S0504023","12","1","II","Asociacion Mujeres Victimas De Casanare","9011011516","2017-07-25T00:00:00.000","2018-03-27T00:00:00.000","2018","2017-07-25T00:00:00.000","N/A","2037-07-25T00:00:00.000","Carrera 8  25-78","Yopal","3224602326","3123427516","N/A","N/A","sierrita05@hotmail.es","Q8810 ** Actividades de asistencia social sin alojamiento para personas mayores y discapacitadas","Q8890 ** Otras actividades de asistencia social sin alojamiento","L6810 ** Actividades inmobiliarias realizadas con bienes propios o arrendados","S9499 ** Actividades de otras asociaciones n.c.p.","100,000","Sierra Jimenez Liz Katerine"
"S0504211","12","1","II","Asociación De Estudiantes Y Egresados De Unitropico","9012256344","2018-10-24T00:00:00.000","2019-04-01T00:00:00.000","2019","2018-10-17T00:00:00.000","N/A","2068-10-17T00:00:00.000","Carrera 15 41B-04","Yopal","3115737402","3106778425","3137438589","Gobernacion De Casanare","asoeedu@gmail.com","S9499 ** Actividades de otras asociaciones n.c.p.","P8560 ** Actividades de apoyo a la educacion","N/A","N/A","100,000","Salamanca Vega Francy Liliana"
"S0504449","12","1","IA","Asociacion De Mujeres Victimas Del Desplazamiento Del Departamento De Arauca","9005119271","2020-07-08T00:00:00.000","2019-11-05T00:00:00.000","2019","2012-03-03T00:00:00.000","N/A","2102-03-27T00:00:00.000","Carrera 20 32-71","Yopal","3102520906","N/A","N/A","Gobernacion De Casanare","rubiela.531@hotmail.com","S9499 ** Actividades de otras asociaciones n.c.p.","N/A","N/A","N/A","100,000","Benitez Enrriquez Rubiela"
"S0504314","12","1","IA","Fundacion Manos Verdes","9013006211","2019-07-04T00:00:00.000","2020-07-02T00:00:00.000","2020","2019-07-03T00:00:00.000","N/A","99999999","Calle 3A N° 2 - 25","Paz De Ariporo","3219830560","3167908518","N/A","Gobernación De Casanare","fundacionmanosverdespza@gmail.com","S9499 ** Actividades de otras asociaciones n.c.p.","M7490 ** Otras actividades profesionales  cientificas y tecnicas n.c.p.","O8413 ** Regulacion de las actividades de organismos que prestan servicios de salud  educativos  culturales y otros servicios sociales  excepto servicios de seguridad social","N/A","100,000","Torres Cubides Doris Leonela"
"S0503315","12","1","IA","Asociacion De Ediles Yopal Asoedilyo","9006529353","2013-09-09T00:00:00.000","2021-03-26T00:00:00.000","2021","2013-09-09T00:00:00.000","N/A","N/A","Calle 29B N. 16 Bis - 12","Yopal","3103201355","N/A","N/A","Gobenacion De Casanare","jd.maldonado@hotmail.com","S9499 ** Actividades de otras asociaciones n.c.p.","N/A","N/A","N/A","100,000","Vargas Velandia Mirna Esperanza"
"S0503152","12","1","IA","Asociacion De Padres De Familia Del Colegio San Mateo Apostol Yopal","9005385758","2012-07-16T00:00:00.000","2019-05-27T00:00:00.000","2019","2012-07-16T00:00:00.000","N/A","N/A","Cr 21 N 8-41","Yopal","3208351574","N/A","N/A","N/A","aspamy@ymail.com","S9499 ** Actividades de otras asociaciones n.c.p.","N/A","N/A","N/A","100,000","Cardenas Ortiz Jose Miguel"
"S0500302","12","1","IA","Asociacion Plan De Vivienda La Cascada","9001402674","1997-11-06T00:00:00.000","2021-07-09T00:00:00.000","2021","1997-11-06T00:00:00.000","N/A","N/A","Cra 20 Nro. 10-52","Yopal","3105745442","N/A","3105745442","Dian","asocody1979@gmail.com","S9499 ** Actividades de otras asociaciones n.c.p.","N/A","N/A","N/A","100,000","Perez Maria Dora"
"S0500288","12","1","II","Asociacion De Lustrabotas De Casanare. Entidad Sin Animo De Lucro","8440037920","1997-10-07T00:00:00.000","2019-03-29T00:00:00.000","2019","1997-10-07T00:00:00.000","N/A","N/A","Carrera 19 N 29-55","Yopal","3123776836","N/A","3123776836","N/A","asesoriasprofesionalesap@hotmail.com","S9499 ** Actividades de otras asociaciones n.c.p.","N/A","N/A","N/A","100,000","Garcia Alexander"
"S0500242","12","1","IA","Asociacion Congregacion De Ancianos  Del Municipio De Yopal","8002270480","1997-07-18T00:00:00.000","2021-04-15T00:00:00.000","2021","1997-07-23T00:00:00.000","N/A","99999999","Via Puente La Cabuya","Yopal","3024614555","N/A","N/A","Gobernacion De Casanare","jsilva396@unab.edu.co","A0127 ** Cultivo de plantas con las que se preparan bebidas","N/A","N/A","N/A","103,000","Carreno Marco Fidel"
"S0502688","12","1","II","Corporacion Deportiva Arcos En Liquidacion","9003284100","2009-12-09T00:00:00.000","2018-03-07T00:00:00.000","2018","2009-12-09T00:00:00.000","2019-08-21T00:00:00.000","2019-08-21T00:00:00.000","Calle 30 28 46 Ap 403 To 21","Yopal","3115509751","N/A","3115509751","N/A","arquitectoavilasergio@gmail.com","R9329 ** Otras actividades recreativas y de esparcimiento n.c.p.","R9311 ** Gestion de instalaciones deportivas","N/A","N/A","107,350","Avila Pava Sergio Andres"
"S0504677","12","1","IA","Asociación Cañicultores Vijagual","9015484416","2021-12-13T00:00:00.000","2021-12-13T00:00:00.000","2021","2021-12-13T00:00:00.000","N/A","2031-12-05T00:00:00.000","Vereda Vijagual","Nunchia","3163328983","N/A","N/A","Gobernacion De Casanare","nancy34pacavita@gmail.com","S9499 ** Actividades de otras asociaciones n.c.p.","N/A","N/A","N/A","150,000","Barrera Neme Maria Diria"
"S0504208","12","1","II","Corpolibertarios De Tamara","9012240516","2018-10-19T00:00:00.000","2019-03-28T00:00:00.000","2019","2018-09-12T00:00:00.000","N/A","2033-10-19T00:00:00.000","Calle 5 9 26","Tamara","3102548339","N/A","N/A","Gobernacion De Casanare","normagonzamonto@hotmail.com","S9499 ** Actividades de otras asociaciones n.c.p.","N/A","N/A","N/A","150,000","Gonzalez Montoya Norma Esperanza"
"S0504501","12","1","IA","Asociacion Agropecuaria Corregimiento Punto Nuevo","9014319398","2020-11-12T00:00:00.000","2021-04-05T00:00:00.000","2021","2020-11-12T00:00:00.000","N/A","2040-10-30T00:00:00.000","Corregimiento Punto Nuevo","Yopal","3224698161","N/A","N/A","Gbernacion De Casanare","orfaedil@gmail.com","S9499 ** Actividades de otras asociaciones n.c.p.","N/A","N/A","N/A","150,000","Cipagauta Rincon Orfa Nely"
"S0504396","12","1","IA","Asociacion De Recicladores Bioplanet","9013621751","2020-01-24T00:00:00.000","2020-01-24T00:00:00.000","2020","2019-11-09T00:00:00.000","N/A","2120-01-24T00:00:00.000","Calle 21A N 28 16","Yopal","3124878814","N/A","N/A","Gobernacion De Casanare","asobioplanet@gmail.com","S9499 ** Actividades de otras asociaciones n.c.p.","E3830 ** Recuperacion de materiales","E3811 ** Recoleccion de desechos no peligrosos","N/A","150,000","Niño Cuburuco Claudelia"
"S0504004","12","1","IA","Asociacion De Victimas Chaparrera Construyendo Paz","9010922926","2017-06-27T00:00:00.000","2020-11-30T00:00:00.000","2020","2017-06-27T00:00:00.000","N/A","2027-06-04T00:00:00.000","Centro Poblado Del Corregimiento La Chaparrera","Yopal","3229114434","N/A","N/A","Dian","llaneralider@gmail.com","S9499 ** Actividades de otras asociaciones n.c.p.","N/A","N/A","N/A","200,000","Narajo De Manrique Ana Delina"
"S0504520","12","1","IA","Asociacion Agrocampo La Esmeralda","9014527979","2021-01-18T00:00:00.000","2021-01-18T00:00:00.000","2021","2021-01-18T00:00:00.000","N/A","2031-01-02T00:00:00.000","Calle 4 A N 13 48","Orocue","3138936447","N/A","N/A","Gobernacion De Casanare","agrocampoesmeralda21@gmail.com","A0161 ** Actividades de apoyo a la agricultura","A0150 ** Explotacion mixta (agricola y pecuaria)","A0162 ** Actividades de apoyo a la ganaderia","S9499 ** Actividades de otras asociaciones n.c.p.","200,000","Aguilar Cristancho Erika Paola"
"S0504525","12","1","IA","Asociación Sueños De Mujer Valiente","9014563817","2021-02-08T00:00:00.000","2021-02-08T00:00:00.000","2021","2021-02-08T00:00:00.000","N/A","2040-09-22T00:00:00.000","Calle 10 N 11  57","Monterrey","3227031704","N/A","N/A","Gobernación De Casanare","galvisalvismabelpatricia@gmail.com","S9499 ** Actividades de otras asociaciones n.c.p.","N/A","N/A","N/A","200,000","Galvis Alvis Mabel Patricia"
"S0501954","12","1","IA","Asociacion De Adultos Mayores La Estrella Dorada De Casanare","9001062221","2006-09-13T00:00:00.000","2020-10-20T00:00:00.000","2020","2006-09-13T00:00:00.000","N/A","2056-09-13T00:00:00.000","Margen Izquierda Avenida Valle Verde","Aguazul","3134557367","3209694492","N/A","Gobernacion De Casanare","asociacionadultomayoraguazul@hotmail.com","S9499 ** Actividades de otras asociaciones n.c.p.","N/A","N/A","N/A","200,000","Leguizamon Marco Antonio"
"S0504395","12","1","IA","Fundación Pro-Desarrollo Comunitario Ciudadela La Bendición","9013609117","2020-01-24T00:00:00.000","2020-01-24T00:00:00.000","2020","2020-01-24T00:00:00.000","N/A","99999999","Manzana 52 Casa 02 Cr 2 Cl 72 A","Yopal","3105873780","3174401557","N/A","Secretaria Departamental  Gobierno","comitelabendicion2019@gmail.com","Q8890 ** Otras actividades de asistencia social sin alojamiento","S9499 ** Actividades de otras asociaciones n.c.p.","P8551 ** Formación para el trabajo","R9329 ** Otras actividades recreativas y de esparcimiento n.c.p.","200,000","Muñoz Martinez Mayrely"
"S0504373","12","1","IA","Fundacion La Mano De Dios En Tu Corazon","9013415446","2019-11-15T00:00:00.000","2020-07-03T00:00:00.000","2020","2019-11-15T00:00:00.000","N/A","99999999","Calle 34 29 B 02","Yopal","3223750575","3212504767","N/A","Secretaria De Gobierno","fundacion.lmd.19@gmail.com","S9499 ** Actividades de otras asociaciones n.c.p.","P8551 ** Formación para el trabajo","M7110 ** Actividades de arquitectura e ingenieria y otras actividades conexas de consultoria tecnica","M7220 ** Investigaciones y desarrollo experimental en el campo de las ciencias sociales y las humanidades","200,000","Escobar Santamaria Pedro Henry"
"S0504101","12","1","IA","Fundacion 10 Veces Mejor","9011416921","2017-12-20T00:00:00.000","2021-02-08T00:00:00.000","2021","2017-12-20T00:00:00.000","N/A","99999999","Calle 44 N. 5 - 27","Yopal","3138447579","N/A","N/A","Gobernacion De Casanare","f10vm120@gmail.com","P8551 ** Formación para el trabajo","E3811 ** Recoleccion de desechos no peligrosos","G4755 ** Comercio al por menor de artículos y utensilios de uso doméstico en establecimientos especializados","N/A","200,000","Borja Jhoana Alexandra"
"S0504114","12","1","II","Fundacion Mi Nueva Esperanza Yaam","9011543448","2018-02-07T00:00:00.000","2018-02-07T00:00:00.000","2018","2018-02-07T00:00:00.000","N/A","99999999","Carrera 8 Calle 40 - 82","Yopal","3208763112","N/A","N/A","Gobernacion De Casanare","fundacionminuevaesperanzayaam@gmail.com","Q8890 ** Otras actividades de asistencia social sin alojamiento","Q8699 ** Otras actividades de atencion de la salud humana","Q8692 ** Actividades de apoyo terapeutico","Q8810 ** Actividades de asistencia social sin alojamiento para personas mayores y discapacitadas","200,000","Acuña Morales Yurany Andrea"
"S0504160","12","1","II","Corporación Justicia Paz Y Libertad","9011949867","2018-07-09T00:00:00.000","2019-04-01T00:00:00.000","2019","2018-05-31T00:00:00.000","N/A","2088-09-09T00:00:00.000","Carrera 20 6 - 97 Oficina 202","Yopal","3105764165","N/A","N/A","Gobernacion De Casanare","corporacion.rejovot@gmail.com","M6910 ** Actividades juridicas","M7220 ** Investigaciones y desarrollo experimental en el campo de las ciencias sociales y las humanidades","M7490 ** Otras actividades profesionales  cientificas y tecnicas n.c.p.","N/A","206,753","Ortiz Medina Justicia Y Paz Colombia"
"S0503145","12","1","II","Asociacion Juvenil Trabajando Llano En Liquidacion","9005351561","2012-07-04T00:00:00.000","2018-03-27T00:00:00.000","2018","2012-07-04T00:00:00.000","2022-01-11T00:00:00.000","2022-01-11T00:00:00.000","Calle 9A 14 28","Tauramena","3132468910","N/A","N/A","N/A","asojuvtrabajandollano@gmail.com","S9499 ** Actividades de otras asociaciones n.c.p.","N/A","N/A","N/A","220,000","Piñeros Leidy Yohana"
"S0504071","12","1","IA","Asociacion De Granja Los Aceites Del Adulto Mayor","9011233262","2017-10-11T00:00:00.000","2021-05-21T00:00:00.000","2021","2017-10-11T00:00:00.000","N/A","2050-07-11T00:00:00.000","Carrera 3 Este N 23-45","Paz De Ariporo","3102861629","N/A","N/A","Secretaria De Gobierno Departamental","asogramayorpza395@gmail.com","S9499 ** Actividades de otras asociaciones n.c.p.","A0161 ** Actividades de apoyo a la agricultura","A0163 ** Actividades posteriores a la cosecha","A0145 ** Cria de aves de corral","240,000","Galvis Carreño Alba Lucia"
"S0504687","12","1","IA","Asociacion De Piña Santa Maria","9015513458","2021-12-27T00:00:00.000","2021-12-27T00:00:00.000","2021","2021-12-27T00:00:00.000","N/A","2023-12-20T00:00:00.000","Finca Los Morichales Vereda Agua Linda","Aguazul","3229274568","N/A","N/A","Gobernacion De Casanara","mecatronica.andres2019@hotmail.com","S9499 ** Actividades de otras asociaciones n.c.p.","A0121 ** Cultivo de frutas tropicales y subtropicales","A0161 ** Actividades de apoyo a la agricultura","N/A","250,000","Contreras Garcia Carlos Andres"
"S0503519","12","1","IA","Fundacion Ecoturistica Y Ambiental Heliconias","9008306868","2015-03-14T00:00:00.000","2021-07-29T00:00:00.000","2021","2015-03-14T00:00:00.000","N/A","N/A","Corr El Morro","Yopal","3212227988","N/A","N/A","Secretaria Gobierno","fundacionheliconia21@gmail.com","M7490 ** Otras actividades profesionales  cientificas y tecnicas n.c.p.","N7912 ** Actividades de operadores turisticos","E3900 ** Actividades de saneamiento ambiental y otros servicios de gestion de desechos","E3600 ** Captacion  tratamiento y distribucion de agua","255,000","Bayona Acevedo Lina Esperanza"
"S0504139","12","1","II","Asociacion Comite De Piscicultores Del Municipio De Tauramena","9011768110","2018-04-25T00:00:00.000","2019-03-29T00:00:00.000","2019","2018-04-09T00:00:00.000","N/A","2038-04-03T00:00:00.000","Vereda Cabañas","Tauramena","3102415989","3144425438","N/A","Gobernacion","richardo117@hotmail.com","A0322 ** Acuicultura de agua dulce","G4723 ** Comercio al por menor de carnes (incluye aves de corral)  productos carnicos  pescados y productos de mar  en establecimientos especializados","G4620 ** Comercio al por mayor de materias primas agropecuarias  animales vivos","P8560 ** Actividades de apoyo a la educacion","260,000","Flechas Becerra Becerra Oscar Enrique"
"S0503247","12","1","II","Asociacion De Productores Agricolas Y Pecuarios Del Vigua Pueblo Nuevo","9006138517","2013-04-30T00:00:00.000","2019-02-26T00:00:00.000","2019","2013-04-30T00:00:00.000","N/A","2022-12-12T00:00:00.000","Pueblo Nuevo","Recetor","3202346965","N/A","N/A","Secretaria De Gobierno","mesazulmalis@gmail.com","S9411 ** Actividades de asociaciones empresariales y de empleadores","M7500 ** Actividades veterinarias","C2012 ** Fabricacion de abonos y compuestos inorganicos nitrogenados","G4620 ** Comercio al por mayor de materias primas agropecuarias  animales vivos","268,000","Mesa Zulma Lizbeth"
"S0503974","12","1","IA","Asociacion Colombia Juntos Construyendo","9010783180","2017-05-09T00:00:00.000","2020-07-15T00:00:00.000","2020","2017-05-09T00:00:00.000","N/A","2027-03-29T00:00:00.000","Calle 35 Carrera 21 - 27","Yopal","3144290232","N/A","N/A","Gobernacion De Casanare","varicarlos2102@gmail.com","A0150 ** Explotacion mixta (agricola y pecuaria)","S9411 ** Actividades de asociaciones empresariales y de empleadores","S9499 ** Actividades de otras asociaciones n.c.p.","N8299 ** Otras actividades de servicio de apoyo a las empresas n.c.p.","274,000","Castelblanco Alonso Carlos Julio"
"S0503938","12","1","IA","Asociacion De Vivienda Comunitaria La Libertad Del Araguaney","9010642017","2017-03-16T00:00:00.000","2021-03-10T00:00:00.000","2021","2017-03-16T00:00:00.000","N/A","2027-03-08T00:00:00.000","Carrera 13 N. 44  B Casa 2","Yopal","3134206519","N/A","N/A","No Aplica","dannijasminvargas2017@gmail.com","S9499 ** Actividades de otras asociaciones n.c.p.","N/A","N/A","N/A","290,000","Vargas Granados Dannis Jasmin"
"S0504448","12","1","IA","Asociacion De Directivos Y Entrenadores De Futbol De Casanare","9013932279","2020-07-07T00:00:00.000","2021-12-21T00:00:00.000","2021","2020-07-07T00:00:00.000","N/A","2030-06-18T00:00:00.000","Calle 31A 45-03","Yopal","3133017589","3203082973","N/A","Gobernación","asodefutcas2020@gmail.com","S9499 ** Actividades de otras asociaciones n.c.p.","R9311 ** Gestion de instalaciones deportivas","P8552 ** Enseñanza deportiva y recreativa","M7490 ** Otras actividades profesionales  cientificas y tecnicas n.c.p.","300,000","Parra Serrano Javier"
"S0504693","12","1","IA","Asociacion De Apicultores De Tamara Casanare","9015522146","2021-12-28T00:00:00.000","2021-12-28T00:00:00.000","2021","2021-12-28T00:00:00.000","N/A","2031-12-10T00:00:00.000","Carrera 10 3-46","Tamara","3212743179","N/A","N/A","Gobernacion De Casanare","agroapistamara21@gmail.com","G4729 ** Comercio al por menor de otros productos alimenticios n.c.p.  en establecimientos especializados","A0149 ** Cria de otros animales n.c.p.","A0150 ** Explotacion mixta (agricola y pecuaria)","N/A","300,000","Carreño Cesar Alexis"
"S0504529","12","1","IA","Asociacion Agricola Buena Hora","9014596671","2021-02-24T00:00:00.000","2021-02-24T00:00:00.000","2021","2021-02-24T00:00:00.000","N/A","2041-02-12T00:00:00.000","Calle 7 N 13  34","Pore","3213341899","N/A","N/A","Gobernacion De Casanare","presentacionbuenahora@hotmail.com","A0122 ** Cultivo de platano y banano","A0161 ** Actividades de apoyo a la agricultura","S9499 ** Actividades de otras asociaciones n.c.p.","N/A","300,000","Vargas Jimenez Anyi Liliana"
"S0504481","12","1","IA","Asociacion Mujeres Guerreras Unidas Por La Vida Y La Libertad","9014207197","2020-09-30T00:00:00.000","2020-09-30T00:00:00.000","2020","2020-09-30T00:00:00.000","N/A","2070-07-01T00:00:00.000","Carrera 4 4A-21","Tauramena","3186232139","3202947849","N/A","Gobernación De Casanare","charliesmith7752@outlook.com","O8424 ** Administracion de Justicia","N/A","N/A","N/A","300,000","Chavez Niño Charlie Smith"
