"tipo_de_pqrsdf","tem_tica","remitente","pa_s","departamento","municipio","dependencia_actual","fecha_de_radicaci_n"
"Solicitud de Consulta","Solicitud de Consulta","Registrado"," "," "," ","Procuraduría Delegada para la Vigilancia Preventiva de la Función Pública","2017-02-15T10:59:50.780"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado","COLOMBIA","HUILA","NEIVA","Proc Provincial Chaparral","2017-02-15T11:08:28.713"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Segunda Distrital","2017-02-15T11:34:23.070"
"Queja","Queja","Registrado"," "," "," ","Procuraduría Delegada para la Salud, La Protección Social y el Trabajo Decente","2017-02-15T11:39:17.880"
"Derecho de Petición","Derecho de Petición","Registrado","COLOMBIA","BOLIVAR","CARTAGENA","Pr. División de Relacionamiento con el ciudadano","2017-02-15T13:12:43.713"
"Solicitud de Consulta","Solicitud de Consulta","Registrado"," "," "," ","Oficina Jurídica","2017-02-15T15:02:55.720"
"Queja","Queja","Registrado","COLOMBIA","BOLIVAR","CARTAGENA","Proc Provincial Cartagena","2017-02-15T15:43:41.903"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado","COLOMBIA","BOLIVAR","SAN MARTIN DE LOBA","Proc Regional Bolívar","2017-02-15T17:26:46.857"
"Queja","Queja","Registrado"," "," "," ","Proc Segunda Distrital","2017-02-15T17:45:35.693"
"Solicitud de Consulta","Solicitud de Consulta","Registrado","COLOMBIA","ANTIOQUIA","MEDELLIN","Proc Regional Antioquia","2017-02-15T18:23:03.903"
"Queja","Queja","Registrado","COLOMBIA","ANTIOQUIA","BELLO","Proc Provincial Valle del Aburrá","2017-02-15T20:01:57.177"
"Queja","Queja","Registrado","COLOMBIA","TOLIMA","SAN ANTONIO","Proc Provincial Chaparral","2017-02-15T20:27:53.913"
"Queja","Queja","Registrado","COLOMBIA","VALLE DEL CAUCA","PALMIRA","Proc Primera Distrital","2017-02-15T22:21:11.987"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado","COLOMBIA","VALLE DEL CAUCA","TULUA","Proc Provincial Buga","2017-02-15T22:33:28.980"
"Derecho de Petición","Derecho de Petición","Registrado"," "," "," ","Proc Primera Distrital","2017-02-15T23:06:00.107"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Provincial Bucaramanga","2017-02-16T00:41:59.630"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Provincial San Gil","2017-02-16T08:24:30.887"
"Derecho de Petición","Derecho de Petición","Registrado","COLOMBIA","BOGOTA","BOGOTA D.C.","Proc Provincial Villavicencio","2017-02-16T08:25:56.483"
"Queja","Queja","Registrado","COLOMBIA","VALLE DEL CAUCA","LA UNION","Proc Regional Valle","2017-02-16T09:00:30.107"
"Queja","Queja","Registrado"," "," "," ","Proc Provincial Zipaquirá","2017-02-16T09:07:19.747"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Provincial Facatativá","2017-02-16T11:01:43.920"
"Queja","Queja","Registrado","COLOMBIA","BOGOTA","BOGOTA D.C.","Proc Primera Distrital","2017-02-16T11:30:46.503"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado","COLOMBIA","SANTANDER","BUCARAMANGA","Procuraduría Auxiliar para Asuntos Disciplinarios","2017-02-16T11:40:05.817"
"Queja","Queja","Registrado","COLOMBIA","BOGOTA","BOGOTA D.C.","Proc Primera Distrital","2017-02-16T11:44:15.683"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Provincial Ipiales","2017-02-16T11:47:03.800"
"Queja","Queja","Registrado"," "," "," ","Proc Regional Valle","2017-02-16T11:52:51.763"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Provincial Garzón","2017-02-16T11:55:02.197"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Provincial Girardot","2017-02-16T14:52:17.293"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Provincial Bucaramanga","2017-02-16T15:09:07.997"
"Derecho de Petición","Derecho de Petición","Registrado","COLOMBIA","NARIÑO","PASTO","Grupo del Centro de Atención al Servidor ","2017-02-16T15:18:19.120"
"Derecho de Petición","Derecho de Petición","Registrado","COLOMBIA","NARIÑO","PASTO","Grupo de Nómina","2017-02-16T15:18:19.120"
"Solicitud de Supervigilancia al Derecho de Petición","Solicitud de Supervigilancia al Derecho de Petición","Registrado","COLOMBIA","ANTIOQUIA","MEDELLIN","Grupo Especial de Supervigilancia al Derecho de Petición","2017-02-16T15:50:32.047"
"Queja","Queja","Registrado"," "," "," ","Proc Provincial Santa Marta","2017-02-16T16:00:30.730"
"Queja","Queja","Registrado"," "," "," ","Proc Regional Magdalena","2017-02-16T16:00:30.730"
"Queja","Queja","Registrado"," "," "," ","Proc Segunda Distrital","2017-02-16T16:14:30.017"
"Reclamo","Reclamo","Registrado","COLOMBIA","ANTIOQUIA","MEDELLIN","Proc Provincial Valle del Aburrá","2017-02-16T16:37:33.460"
"Queja","Queja","Anónimo"," "," "," ","Pr. División de Relacionamiento con el ciudadano","2017-02-16T17:12:52.170"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Procuraduría 2 Delegada para la Vigilancia Administrativa","2017-02-16T17:43:30.083"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Regional Valle","2017-02-16T19:04:37.373"
"Solicitud de Consulta","Solicitud de Consulta","Registrado","COLOMBIA","CAUCA","CALOTO","Procuraduría Delegada para la Vigilancia Preventiva de la Función Pública","2017-02-16T20:43:14.430"
"Reclamo","Reclamo","Registrado","COLOMBIA","BOGOTA","BOGOTA D.C.","Proc Segunda Distrital","2017-02-16T21:42:27.760"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Provincial Neiva","2017-02-17T09:14:23.523"
"Derecho de Petición","Derecho de Petición","Registrado","COLOMBIA","BOGOTA","BOGOTA D.C.","Proc 36 Jud II Familia Bogotá","2017-02-17T09:22:14.180"
"Derecho de Petición","Derecho de Petición","Registrado","COLOMBIA","BOGOTA","BOGOTA D.C.","Procuraduria Delegada para la Defensa de los Derechos de la Infancia, la Adolescencia Familia y las Mujeres","2017-02-17T09:22:14.180"
"Solicitud de información con identificación reservada","Solicitud de información con identificación reservada","Registrado","COLOMBIA"," "," ","<b>Grupo de Transparencia y del Derecho de Acceso a la Información Pública</b>-(desactivado)","2017-02-17T09:51:38.537"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Provincial Rionegro","2017-02-17T11:03:07.807"
"Queja","Queja","Registrado"," "," "," ","División de Relacionamiento con el Ciudadano","2017-02-17T12:51:19.400"
"Queja","Queja","Registrado"," "," "," ","Procuraduria Delegada para la Defensa de los Derechos de la Infancia, la Adolescencia Familia y las Mujeres","2017-02-17T12:51:19.400"
"Queja","Queja","Registrado"," "," "," ","Procuraduria Delegada para la Defensa de los Derechos de la Infancia, la Adolescencia Familia y las Mujeres","2017-02-17T12:51:19.400"
"Solicitud de Supervigilancia al Derecho de Petición","Solicitud de Supervigilancia al Derecho de Petición","Registrado","COLOMBIA","ARAUCA","TAME","Grupo Especial de Supervigilancia al Derecho de Petición","2017-02-17T13:35:31.217"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Regional Norte de Santander","2017-02-17T13:47:55.037"
"Solicitud de Consulta","Solicitud de Consulta","Anónimo"," "," "," ","División de Relacionamiento con el Ciudadano","2017-02-17T14:38:06.537"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Procuraduría Auxiliar para Asuntos Disciplinarios","2017-02-17T14:57:19.543"
"Derecho de Petición","Derecho de Petición","Registrado","COLOMBIA","BOGOTA","BOGOTA D.C.","Procuraduría Delegada para la Vigilancia Preventiva de la Función Pública","2017-02-17T15:43:51.577"
"Queja","Queja","Registrado","COLOMBIA","VALLE DEL CAUCA","LA UNION","Proc Segunda Distrital","2017-02-17T15:46:30.637"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado","COLOMBIA","ATLANTICO","BARRANQUILLA","Proc Regional Atlántico","2017-02-17T17:11:13.647"
"Derecho de Petición","Derecho de Petición","Anónimo"," "," "," ","Grupo del Sistema de Información de Registro de Sanciones y Causas de Inhabilidad -   SIRI","2017-02-17T17:40:10.683"
"Queja","Queja","Registrado"," "," "," ","Procuraduria Delegada para la Defensa de los Derechos de la Infancia, la Adolescencia Familia y las Mujeres","2017-02-17T19:51:48.557"
"Queja","Queja","Registrado"," "," "," ","Procuraduria Delegada para la Defensa de los Derechos de la Infancia, la Adolescencia Familia y las Mujeres","2017-02-17T19:51:48.557"
"Queja","Queja","Registrado"," "," "," ","División de Relacionamiento con el Ciudadano","2017-02-17T19:51:48.557"
"Derecho de Petición","Derecho de Petición","Registrado","COLOMBIA","CORDOBA","LORICA","Proc Provincial Montería","2017-02-17T20:19:52.693"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Provincial Cartagena","2017-02-17T20:31:33.447"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado","COLOMBIA","ANTIOQUIA","MEDELLIN","Proc Provincial Santafé de Antioquia","2017-02-17T21:00:36.013"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Regional Putumayo","2017-02-17T21:32:33.847"
"Queja","Queja","Anónimo"," "," "," ","Proc Provincial Sogamoso","2017-02-17T22:25:51.557"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Regional Santander","2017-02-17T22:48:57.197"
"Derecho de Petición","Derecho de Petición","Registrado"," "," "," ","Procuraduría Auxiliar para Asuntos Disciplinarios","2017-02-20T00:00:01.000"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado","COLOMBIA","MAGDALENA","SAN ZENON","Proc Provincial Magangué","2017-02-20T00:00:01.000"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado","COLOMBIA","MAGDALENA","SAN ZENON","Proc Provincial Magangué","2017-02-20T00:00:01.000"
"Solicitud de Supervigilancia al Derecho de Petición","Solicitud de Supervigilancia al Derecho de Petición","Registrado","COLOMBIA","ATLANTICO","BARRANQUILLA","Grupo Especial de Supervigilancia al Derecho de Petición","2017-02-20T00:00:01.000"
"Queja","Queja","Registrado"," "," "," ","Pr. División de Relacionamiento con el ciudadano","2017-02-20T00:00:01.000"
"Queja","Queja","Registrado","COLOMBIA","BOGOTA","BOGOTA D.C.","Proc Provincial Santa Marta","2017-02-20T00:00:01.000"
"Queja","Queja","Registrado","COLOMBIA","BOGOTA","BOGOTA D.C.","Proc Provincial Santa Marta","2017-02-20T00:00:01.000"
"Queja","Queja","Registrado"," "," "," ","Proc Regional Casanare","2017-02-20T00:00:01.000"
"Queja","Queja","Registrado","COLOMBIA","VALLE DEL CAUCA","CALI","Proc Provincial Cali","2017-02-20T00:00:01.000"
"Solicitud de Consulta","Solicitud de Consulta","Registrado"," "," "," ","Proc Regional Tolima","2017-02-20T00:00:01.000"
"Solicitud de Consulta","Solicitud de Consulta","Registrado"," "," "," ","Proc Regional Tolima","2017-02-20T00:00:01.000"
"Derecho de Petición","Derecho de Petición","Anónimo"," "," "," ","División Centro de Atención al Público  - CAP","2017-02-20T00:00:01.000"
"Derecho de Petición","Derecho de Petición","Anónimo"," "," "," ","División Centro de Atención al Público  - CAP","2017-02-20T00:00:01.000"
"Queja","Queja","Anónimo"," "," "," ","División de Relacionamiento con el Ciudadano","2017-02-20T00:00:01.000"
"Derecho de Petición","Derecho de Petición","Anónimo"," "," "," ","División de Relacionamiento con el Ciudadano","2017-02-20T00:00:01.000"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Provincial Sincelejo","2017-02-20T00:00:01.000"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Regional Magdalena","2017-02-20T00:00:01.000"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Regional Quindío","2017-02-20T00:00:01.000"
"Queja","Queja","Registrado","COLOMBIA","BOGOTA","BOGOTA D.C.","Proc Regional Magdalena","2017-02-20T00:00:01.000"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Provincial Manizales","2017-02-20T00:00:01.000"
"Derecho de Petición","Derecho de Petición","Registrado","COLOMBIA","SANTANDER","GIRON","Proc Primera Distrital","2017-02-20T00:00:01.000"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado","COLOMBIA","BOGOTA","BOGOTA D.C.","Proc Primera Distrital","2017-02-20T00:00:01.000"
"Solicitud de Consulta","Solicitud de Consulta","Registrado","COLOMBIA","ANTIOQUIA","NECOCLI","Grupo del Centro de Atención al Servidor ","2017-02-20T00:00:01.000"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Primera Distrital","2017-02-20T00:00:01.000"
"Derecho de Petición","Derecho de Petición","Registrado"," "," "," ","Proc Provincial Bucaramanga","2017-02-20T00:00:01.000"
"Solicitud de Consulta","Solicitud de Consulta","Registrado"," "," "," ","Procuraduría Delegada para la Salud, La Protección Social y el Trabajo Decente","2017-02-20T00:00:01.000"
"Derecho de Petición","Derecho de Petición","Registrado"," "," "," ","Grupo del Sistema de Información de Registro de Sanciones y Causas de Inhabilidad -   SIRI","2017-02-20T00:00:01.000"
"Solicitud de Consulta","Solicitud de Consulta","Registrado"," "," "," ","Grupo del Sistema de Información de Registro de Sanciones y Causas de Inhabilidad -   SIRI","2017-02-20T00:00:01.000"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Provincial Pereira","2017-02-20T00:00:01.000"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Regional Risaralda","2017-02-20T00:00:01.000"
"Queja","Queja","Registrado"," "," "," ","Proc Regional Valle","2017-02-20T00:00:01.000"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc 2 Del Contratación Estatal","2017-02-20T00:00:01.000"
"Derecho de Petición","Derecho de Petición","Registrado"," "," "," ","Oficina Jurídica","2017-02-20T00:00:01.000"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado","COLOMBIA","ANTIOQUIA","MEDELLIN","Proc Provincial Valle del Aburrá","2017-02-20T00:00:01.000"
"Reclamo","Reclamo","Registrado"," "," "," ","Oficina de Selección y Carrera","2017-02-20T00:00:01.000"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado","COLOMBIA","ANTIOQUIA","MEDELLIN","Proc Provincial Valle del Aburrá","2017-02-20T00:00:01.000"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado","COLOMBIA","","","Proc Provincial Valle del Aburrá","2017-02-20T00:00:01.000"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado","COLOMBIA","ANTIOQUIA","MEDELLIN","Proc Provincial Valle del Aburrá","2017-02-20T00:00:01.000"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado","COLOMBIA","","","Proc Provincial Valle del Aburrá","2017-02-20T00:00:01.000"
"Derecho de Petición","Derecho de Petición","Registrado"," "," "," ","Oficina de Selección y Carrera","2017-02-20T00:00:01.000"
"Solicitud de Consulta","Solicitud de Consulta","Registrado","COLOMBIA","ANTIOQUIA","NECOCLI","Grupo Hojas de Vida y Archivo","2017-02-20T00:00:01.000"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado","COLOMBIA","NORTE DE SANTANDER","CUCUTA","Proc Provincial Cúcuta","2017-02-20T07:38:49.553"
"Derecho de Petición","Derecho de Petición","Registrado","COLOMBIA","BOGOTA","BOGOTA D.C.","Oficina de Selección y Carrera","2017-02-20T08:38:40.593"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Segunda Distrital","2017-02-20T10:08:49.547"
"Derecho de Petición","Derecho de Petición","Registrado"," "," "," ","División Centro de Atención al Público  - CAP","2017-02-20T10:23:04.537"
"Solicitud de Consulta","Solicitud de Consulta","Registrado"," "," "," ","Procuraduría Delegada para la Vigilancia Preventiva de la Función Pública","2017-02-20T11:18:20.323"
"Solicitud de Consulta","Solicitud de Consulta","Registrado"," "," "," ","Procuraduría Delegada para la Vigilancia Judicial y Policía Judicial","2017-02-20T11:25:22.817"
"Solicitud de Consulta","Solicitud de Consulta","Registrado"," "," "," ","Procuraduría Delegada para la Vigilancia Judicial y Policía Judicial","2017-02-20T11:25:22.817"
"Solicitud de Consulta","Solicitud de Consulta","Registrado"," "," "," ","División de Relacionamiento con el Ciudadano","2017-02-20T11:25:22.817"
"Solicitud de Consulta","Solicitud de Consulta","Anónimo"," "," "," ","Grupo del Sistema de Información de Registro de Sanciones y Causas de Inhabilidad -   SIRI","2017-02-20T12:05:16.310"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Provincial Valle del Aburrá","2017-02-20T12:27:26.993"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Regional Antioquia","2017-02-20T12:27:26.993"
"Queja","Queja","Registrado","COLOMBIA","HUILA","NEIVA","Proc Regional Guaviare","2017-02-20T12:47:55.183"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Primera Distrital","2017-02-20T13:23:15.907"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Primera Distrital","2017-02-20T13:38:32.497"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Regional Cesar","2017-02-20T13:44:58.190"
"Queja","Queja","Registrado"," "," "," ","Proc Provincial Cali","2017-02-20T14:01:53.997"
"Derecho de Petición","Derecho de Petición","Anónimo"," "," "," ","Grupo del Sistema de Información de Registro de Sanciones y Causas de Inhabilidad -   SIRI","2017-02-20T14:14:06.313"
"Queja","Queja","Registrado","COLOMBIA","ANTIOQUIA","LA CEJA","Proc Primera Distrital","2017-02-20T14:26:12.327"
"Derecho de Petición","Derecho de Petición","Registrado","COLOMBIA","BOGOTA","BOGOTA D.C.","Proc Provincial Barranquilla","2017-02-20T14:30:33.283"
"Derecho de Petición","Derecho de Petición","Anónimo"," "," "," ","Grupo del Sistema de Información de Registro de Sanciones y Causas de Inhabilidad -   SIRI","2017-02-20T14:31:36.047"
"Derecho de Petición","Derecho de Petición","Registrado","COLOMBIA","BOGOTA","BOGOTA D.C.","Oficina de Selección y Carrera","2017-02-20T14:49:24.583"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Regional Risaralda","2017-02-20T15:02:47.630"
"Queja","Queja","Registrado","COLOMBIA","","","Proc Regional Tolima","2017-02-20T15:38:10.863"
"Queja","Queja","Registrado","COLOMBIA","","","Proc Regional Tolima","2017-02-20T15:38:10.863"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Provincial Sincelejo","2017-02-20T15:41:59.200"
"Derecho de Petición","Derecho de Petición","Registrado"," "," "," ","Proc Segunda Distrital","2017-02-20T15:43:45.240"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado","COLOMBIA","BOGOTA","BOGOTA D.C.","Proc Segunda Distrital","2017-02-20T16:09:16.083"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Provincial El Banco","2017-02-20T16:30:41.847"
"Derecho de Petición","Derecho de Petición","Registrado"," "," "," ","Procuraduría Provincial Ibagué","2017-02-20T16:34:41.303"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Segunda Distrital","2017-02-20T19:03:41.497"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Provincial Villavicencio","2017-02-20T19:28:11.243"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Primera Distrital","2017-02-20T20:56:09.043"
"Derecho de Petición","Derecho de Petición","Registrado"," "," "," ","Procuraduría Delegada para Asuntos Ambientales y Agrarios","2017-02-20T21:44:10.043"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Segunda Distrital","2017-02-21T01:31:04.120"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Procuraduría 1 Delegada Para La Vigilancia Administrativa","2017-02-21T01:43:07.143"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Procuraduría 2 Delegada para la Vigilancia Administrativa","2017-02-21T01:56:48.473"
"Solicitud de Consulta","Solicitud de Consulta","Registrado"," "," "," ","SALA DISCIPLINARIA","2017-02-21T07:12:30.573"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Regional Cauca","2017-02-21T08:40:30.123"
"Derecho de Petición","Derecho de Petición","Registrado","COLOMBIA","SANTANDER","BARRANCABERMEJA","Procuraduría Delegada para la Vigilancia Preventiva de la Función Pública","2017-02-21T08:42:22.357"
"Queja","Queja","Registrado"," "," "," ","Procuraduría Auxiliar para Asuntos Constitucionales","2017-02-21T09:30:12.607"
"Queja","Queja","Registrado"," "," "," ","Veeduría","2017-02-21T10:52:56.600"
"Derecho de Petición","Derecho de Petición","Registrado","COLOMBIA","BOGOTA","BOGOTA D.C.","Proc Segunda Distrital","2017-02-21T11:10:04.850"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado"," "," "," ","Proc Provincial Bucaramanga","2017-02-21T11:34:31.843"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado","COLOMBIA","SANTANDER","BUCARAMANGA","Proc Provincial Bucaramanga","2017-02-21T11:37:47.187"
"Solicitud de Supervigilancia al Derecho de Petición","Solicitud de Supervigilancia al Derecho de Petición","Registrado","COLOMBIA","ANTIOQUIA","MEDELLIN","Grupo Especial de Supervigilancia al Derecho de Petición","2017-02-21T11:47:40.393"
"Solicitud de Consulta","Solicitud de Consulta","Registrado","COLOMBIA","SUCRE","SINCELEJO","Procuraduría Delegada para la Salud, La Protección Social y el Trabajo Decente","2017-02-21T12:32:19.580"
"QUEJA/DENUNCIA","QUEJA/DENUNCIA","Registrado","COLOMBIA","VALLE DEL CAUCA","TULUA","Proc Regional Valle","2017-02-21T13:11:32.923"
"Derecho de Petición","Derecho de Petición","Registrado"," "," "," ","Grupo Hojas de Vida y Archivo","2017-02-21T13:31:30.283"
"Derecho de Petición","Derecho de Petición","Registrado"," "," "," ","Grupo del Centro de Atención al Servidor ","2017-02-21T13:31:30.283"
