"hotel","direcci_n","email","telefono","piscina_si_no","camas","habitaciones","carpas"
"EL TESORO DORADA","K 4 n 14-53","hoteleltesoroladorada@gmail.com","3175109393","NO","23","19","N.A"
"LA VIÑA","C 15 n 4-33","yesid.ruiz@hotmail.com","3137104831","NO","26","18","N.A"
"RESIDENCIAS EL BUFALO","K 4 n 16-45","norbeyedi94@gmail.com","3502774610","NO","15","15","N.A"
"HOTEL TAYRONA DORADA","K 4 n 16-34","norbeym76@gmail.com","3502774610","NO","16","11","N.A"
"LA SUITE","C 17 n 4-34","hotelsuite@hotmail.com","3113896615","NO","13","11","N.A"
"DORAL","K 4 n 17-75","hoteldoralla4@hotmail.com","3138027120","NO","43","39","N.A"
"POSADA BUCARAMANGA","K 4 n 17-39","mariacastellanos@gmail.com","3218013554","NO","15","15","N.A"
"CENTRO CALDAS","C 15 n 5-38","sahira_a2008@hotmail.com","3104697188","NO","21","12","N.A"
"BALCONES DE SAN DIEGO","K 5 n 15-25","vidal.ltda@hotmail.com","3112023595","NO","46","30","N.A"
"SAN FRANCISCO","K 5 n  15-67","jhojhithann@gmail.com","3214109929","NO","12","9","N.A"
"RESIDENCIAS TULIPAN","K 5 n 16-29","nancyj6820@gmail.com","3153785239","NO","12","10","N.A"
"EL PRADO PLAZA","K 5 n 16-31","nadia.p.23@hotmail.com","3113304606","NO","9","8","N.A"
"AGRADO REAL","K 5 n 16-72","lfgonzalesf@unal.edu.co","3207498824","NO","25","15","N.A"
"PALACIO","K 5 n 16 – 49","etelvinacardona@hotmail.com","3134844302","NO","16","13","N.A"
"VIVIANA MARCELA TRUJILLO","K 7 n 9-20","vivimartruji@hotmail.com","3108911904","NO","4","4","N.A"
"ECOHOTEL LA CACHAZA","POZO REDONDO","csyro@mac.com","3102608380","NO","50","10","N.A"
"SAN JERONIMO QUINTA","K 5 n 11-49","estacionnegrito@hotmail.com","3168446364","NO","32","13","N.A"
"CASA DE LUNA HOSTAL","C 6 n 6-28","casalunaladorada@gmail.com","3155790807","NO","8","5","N.A"
"BRISAS DEL RIO LA MIEL","LA ATARRAYA","miryamdelgado@hotmail.es","3117490817","NO","8","4","N.A"
"GRAN CURACA","K 6 n 17-41","hotelgrancuraca@hotmail.com","3195185650","NO","30","21","N.A"
"UN BUEN AMANECER","K 6 n 13-37","dianap2302@hotmail.com","3136682198","NO","20","13","N.A"
"LA AURORA FAMILIAR","K 6 n 46-18","hotelfamiliarlaaurora@hotmail.com","3113094800","NO","24","15","N.A"
"LAS ACACIAS DE CALDAS","C 14 n 5-31","tatto55_@gmail.com","3107488357","NO","19","15","N.A"
"RESIDENCIAS DORADA","K 5 n 14-08","aidafer02@hotmail.com","3113688094","NO","14","14","N.A"
"CENTRAL LA DORADA","C 16 n 3-37","francybravorojas2014@hotmail.com","3113541898","NO","48","19","N.A"
"VILLA DEL RÍO MAGDALENA","K 3 n 16-49","motopaisa123@hotmail.com","3208499272","NO","23","20","N.A"
"CALIFORNIA DORADA","K 3 n 16-46","martha_luza@hotmail.com","3146870504","NO","28","20","N.A"
"LA QUINTA","K 5 n 14-53","ivandasan@gmail.com","3006178111","NO","24","14","N.A"
"RESISIDENCIAS MONTREAL","K 6 n 14-45","carmenrodriguez2001@hotmail.com","3113644593","NO","28","18","N.A"
"CARIBE LA DORADA","K 5 n 14-26","lucho-3115@hotmail.com","3154754058","NO","30","22","N.A"
"MILENIUM.COM","K 6 n 13-63","mileniumlasexta@gmail.com","3127551969","NO","17","11","N.A"
"EL TESORO","K 4 n14-53","hotelcomercial2@hotmail.com","3107395141","NO","24","19","N.A"
"DONALD II","C 13 n 5-13","floralbabarraganferro@hotmail.com","3105036766","NO","51","18","N.A"
"DONALD","C 12 n 5-10","floralbabarraganferro@hotmail.com","3105036766","NO","14","8","N.A"
"LOS ANGELES","C 17 n 6-59","colsafradorada@gmail.com","3147546531","NO","31","20","N.A"
"ESTRELLA","K 6 n 13-66","wilmarpks@hotmail.com","3146870504","NO","40","30","N.A"
"ESTEBAN","C 13 n 5-47","cristian8802@hotmail.com","3128191811","NO","15","11","N.A"
"EL CORTIJO","KM 1 VÍA HONDA","reservas@hotelesbolivarplaza.com","3218019688","SI","41","12","N.A"
"OCALA","PURNIO","juanrueda55@hotmail.com","3117193149","SI","100","74","N.A"
"TRANQUILANDIA","GUARINOCITO","cicardenast@hotmail.com","3016558398","NO","60","45","N.A"
"CASA DORADA","C 14 n 5-27","alruiz2603@hotmail.com","3158629642","NO","32","30","N.A"
"RESIDENCIAS MI  TRIANGULO","K 2 n 37-39","estaciondeserviciotriangulo@gmail.com","3124037289","NO","93","36","N.A"
"QUINTA CAMPESTRE VILLA CLAUDIA","GUARINOCITO","grupoempresarialjrsas@gmail.com","3127396363","SI","7","6","N.A"
"HOSPEDAJE DOÑA LUZ MILA","C 11 n 13 - 34","clausanalejo326@hotmail.com","3136283962","NO","2","2","N.A"
"RESIDENCIAS LAS MALVINAS","C 19 n 3-30","N.A","3113013104","NO","13","12","N.A"
"POSADA TURISTICA BUENAVISTA","BUENAVISTA","apbbuenavista@gmail.com","3164050918","NO","6","1","N.A"
"CABAÑA DE GEORGE","LA HABANA","N.A","3146019734","NO","6","2","N.A"
"CABAÑA VILLA HERMOSA","LA HABANA","N.A","3206361169","NO","12","3","N.A"
"CABAÑA SOL Y MIEL","LA HABANA","ov870904@gmail.com","3108237675","NO","6","2","N.A"
"HOTEL LA PARCELA","GUARINOCITO","holamillo@gmail.com","3148357836","NO","9","7","N.A"
"RESIDENCIAS MONACO","CRA 6 n 14-26","N.A","3148569021","NO","18","12","N.A"
"RESIDENCIAS ROMA","K 3 n 16-37","N.A","3218469765","NO","18","12","N.A"
"HOTEL REFUGIO EN EL CAMINO","K 5 n 13","N.A","3105436376","NO","6","4","N.A"
"HOTEL BRISAS DEL MAGDALENA","K 2 n  5-61","henrvasv@hotmail.com","3007342075","SI","20","12","N.A"
"HOSPEDAJE MARACANÁ","C 16 n 5-31","N.A","3147997326","NO","20","17","N.A"
"RESIDENCIAS PLAZA","K 6 15-39","N.A","3137314913","NO","11","8","N.A"
"RESDIENCIAS ALCALA","GUARINOCITO","N.A","N.A","NO","7","7","N.A"
"RESIDENCIAS VERSALLES","C 18  n 4 - 58","reycast32@gmail.com","3104733995","NO","13","13","N.A"
"ECOPARCHE - TUKU TRIPS CAMPAMENTO","FINCA LA CANTERA","tukutrips@gmail.com","3128036009","NO","N.A","N.A","30 (2 PAX)"
"HOTEL MARIIOS","C 13 n 3 - 50","N.A","3108788729","NO","19","19","N.A"
"HOTEL PARIS MC","C 10B K  6","ivancardonacarlos@gmail.com","3235874679","NO","20","20","N.A"
"HOTEL SAN RAFAEL","GUARINOCITO","N.A","3127343959","NO","9","8","N.A"
"RESIDENCIAS EDS GUARINOCITO","GUARINOCITO","N.A","N.A","NO","5","5","N.A"
"CABAÑAS VILLA DILIA","PURNIO","N.A","3206868747","SI","47","11","N.A"
"LA MILAGROSA","HUMADERA","N.A","3148858974","SI","10","5","N.A"
"REFUGIO MONTE OSCURO","LA ATARRAYA","monteoscurosanmiguel@gmail.com","3148419269","NO","9","3","N.A"
"HOTEL PARADOR LOS MANGOS","GUARINOCITO","N.A","3106112786","NO","14","13","N.A"
