"tipooficina","pa_s","pa_s_iso3","localizaci_n_oficina","ciudad","nombre","oficina_c_digo","correo_electr_nico","direcci_n","telefonos"
"CONSULADO","BELGICA","BEL","
,  
(50.503887, 4.469936)","BRUSELAS","C. BRUSELAS","BELBRU","CBRUSELAS@CANCILLERIA.GOV.CO","AVENUE LOUISE 326, 3ER PISO EDIFICIO BLUE TOWER 1050 BRUSELAS, BÉLGICA","32 2 6490768"
"OFICINA LOCAL","COLOMBIA","COL","
,  
(4.570868, -74.297333)","BOGOTA","MIN. REL. EXTERIORES","BOGDIP","MARISOL.VARGAS@CANCILLERIA.GOV.CO","CALLE 10 NO. 5-51, PALACIO DE SAN CARLOS, BOGOTA DC","(57-1) 3814000"
"OFICINA LOCAL","COLOMBIA","COL","
,  
(4.570868, -74.297333)","BOGOTA","BTA. CALLE 100","BOGP98","(NO REGISTRA)","AVENIDA 19 NO. 98-03, BOGOTÁ DC","(57-1) 3814000"
"OFICINA LOCAL","COLOMBIA","COL","
,  
(4.570868, -74.297333)","BOGOTA","BTA. CENTRO","BOGPCE","(NO REGISTRA)","CALLE 9 NO. 5 - 74","(57-1) 3814000"
"CONSULADO","BOLIVIA","BOL","
,  
(-16.290154, -63.588653)","LA PAZ","C. LA PAZ","BOLPAZ","CLAPAZ@CANCILLERIA.GOV.CO","CALLE ROBERTO PRUDENCIO NO. 797 ENTRE 15 Y 16 DE CALACOTO, LA PAZ BOLIVIA","5912 2790386 - 2790389"
"CONSULADO","BRASIL","BRA","
,  
(-14.235004, -51.92528)","BRASILIA","C. BRASILIA","BRABRA","CBRASILIA@CANCILLERIA.GOV.CO","SES AVENIDA DAS NAÇÕES NAÇÕES QUADRA 803 LOTE 10. CNPJ 08798626/0001-05 BRASILIA","55 61 32262547 - 32268997- 32268902"
"CONSULADO","BRASIL","BRA","
,  
(-14.235004, -51.92528)","MANAOS","C. MANAOS","BRAMAN","CMANAOS@CANCILLERIA.GOV.CO","RUA 20 NO 651ª BARRIO PARQUE 10, CONJUNTO CASTELO BRANCO MANAOS- BRASIL","55 92 32346777"
"CONSULADO","BRASIL","BRA","
,  
(-14.235004, -51.92528)","SAO PAULO","C. SAO PAULO","BRASAO","CSAOPAULO@CANCILLERIA.GOV.CO","RUA TENENTE NEGRAO, 140 CJ. 92 ITAIM BIBI, CEP 04530-030","30780322 - 30780262"
"CONSULADO","BRASIL","BRA","
,  
(-14.235004, -51.92528)","TABATINGA","C. TABATINGA","BRATAB","CTABATINGA@CANCILLERIA.GOV.CO","RUA GENERAL SAMPAIO NO. 623,CEP.69.640.000 TABATINGA, BRASIL","55 97 34122104"
"CONSULADO","CANADA","CAN","
,  
(56.130366, -106.346771)","CALGARY","C. CALGARY","CANCAL","CCALGARY@CANCILLERIA.GOV.CO","803 15TH AVENUE SW, CALGARY, AB., T2R0R9","(NO REGISTRA)"
"CONSULADO","CANADA","CAN","
,  
(56.130366, -106.346771)","MONTREAL","C. MONTREAL","CANMON","CMONTREAL@CANCILLERIA.GOV.CO","1010 SHERBROOKE ST. WEST, SUITE 920. MONTREAL, QUEBEC H3A 2R7","1 514 8494852 - 8492929"
"CONSULADO","CANADA","CAN","
,  
(56.130366, -106.346771)","OTTAWA","C. OTTAWA","CANOTT","COTTAWA@CANCILLERIA.GOV.CO","360 ALBERT STREET SUITE 1002. OTTAWA, ONTARIO, K1R 7X7","1 613 2303760 EXT 23"
"CONSULADO","CANADA","CAN","
,  
(56.130366, -106.346771)","TORONTO","C. TORONTO","CANTOR","CTORONTO@CANCILLERIA.GOV.CO","40 UNIVERSITY AV, SUITE 604, POST CODE M5J 1T1","1 416 9770475 - 9770098 - 9771738"
"CONSULADO","CANADA","CAN","
,  
(56.130366, -106.346771)","VANCOUVER","C. VANCOUVER","CANVAN","CVANCOUVER@CANCILLERIA.GOV.CO","1340-1090 WEST GEORGIA STREET V6E 3V7","(NO REGISTRA)"
"CONSULADO","SUIZA","CHE","
,  
(46.818188, 8.227512)","BERNA","C. BERNA","CHEBER","CBERNA@CANCILLERIA.GOV.CO","ZIEGLERSTRASSE 29, 3007 BERNA, SUIZA","41 31 3515434"
"CONSULADO","CHILE","CHL","
,  
(-35.675147, -71.542969)","ANTOFAGASTA","C. ANTOFAGASTA","CHLANT","CANTOFAGASTA@CANCILLERIA.GOV.CO","CALLE LIBERTADOR BERNARDO O HIGGINS Nº 1291, ANTOFAGASTA","(NO REGISTRA)"
"CONSULADO","CHILE","CHL","
,  
(-35.675147, -71.542969)","SANTIAGO DE CHILE","C. SANTIAGO","CHLSAN","CSANTIAGO@CANCILLERIA.GOV.CO","AVENIDA ANDRÉS BELLO 2211 LOCAL 103. COMUNA PROVIDENCIA- SANTIAGO","562 4321999 - 4321950"
"CONSULADO","CHINA, REPÚBLICA POPULAR","CHN","
,  
(35.86166, 104.195397)","BEIJING","C. BEIJING","CHNBEI","CBEIJING@CANCILLERIA.GOV.CO","GUANG HUA LU 34 , BEIJING R.P. CHINA 100600","86 10 65323377"
"CONSULADO","CHINA, REPÚBLICA POPULAR","CHN","
,  
(35.86166, 104.195397)","GUANGZHOU","C. GUANGZHOU","CHNGUA","CGUANGZHOU@CANCILLERIA.GOV.CO","(NO REGISTRA)","(NO REGISTRA)"
"CONSULADO","HONG KONG RAE RPC","HKG","
,  
(22.396428, 114.109497)","HONG KONG","C. HONG KONG","CHNHON","CHONGKONG@CANCILLERIA.GOV.CO","UNIT 1215, 12/F. CHINA MERCHANTS TOWER, SHUN TAK CENTRE. 200 CONNAUGTH ROAD CENTRAL. HONG KONG","852 25458547"
"CONSULADO","CHINA, REPÚBLICA POPULAR","CHN","
,  
(35.86166, 104.195397)","SHANGHAI","C. SHANGHAI","CHNSHA","CSHANGHAI@CANCILLERIA.GOV.CO","518 ANYUAN ROAD, BAOHUA CITY CENTER, 20TH FLOOR, SUITE 2005, SHANGHAI 200060 P.R. OF CHINA","(NO REGISTRA)"
"OFICINA LOCAL","COLOMBIA","COL","
,  
(4.570868, -74.297333)","BOGOTA","APOSTILLA CALLE 98","COLAPO","(NO REGISTRA)","AVENIDA 19 NO. 98-03, BOGOTÁ DC","(57-1) 3814000"
"GOBERNACION","COLOMBIA","COL","
,  
(4.570868, -74.297333)","ARAUCA","G. ARAUCA","COLARA","GOBIERNO@ARAUCA.GOV.CO","CALLE 20 CRA 21, ESQUINA, ARAUCA","(577)8852388"
"GOBERNACION","COLOMBIA","COL","
,  
(4.570868, -74.297333)","ARMENIA","G. QUINDIO","COLARM","PASAPORTES@QUINDIO.GOV.CO","CALLE 20 NO. 13-22 NIVEL BAJO, ARMENIA","(576)7411795, 7411839,"
"OFICINA LOCAL","COLOMBIA","COL","
,  
(4.570868, -74.297333)","BOGOTA","BTA. ASISTENCIA","COLASI","(NO REGISTRA)","CARRERA 6 NO. 9–46, BOGOTÁ DC","(57-1) 3814000"
"GOBERNACION","COLOMBIA","COL","
,  
(4.570868, -74.297333)","BARRANQUILLA","G. ATLANTICO","COLBAR","PASAPORTE@ATLANTICO.GOV.CO","CALLE 40 ENTRE CRAS 45 Y 46 BARRANQUILLA","(575)3307327"
"GOBERNACION","COLOMBIA","COL","
,  
(4.570868, -74.297333)","BOYACA","G. BOYACA","COLBOY","PASAPORTES@BOYACA.GOV.CO","CALLE 20 NO. 9-90 OFICINA 302, TUNJA","(578)6646469"
"GOBERNACION","COLOMBIA","COL","
,  
(4.570868, -74.297333)","BUCARAMANGA","G. SANTANDER","COLBUC","PASPAORTE@SANTANDER.GOV.OC","CALLE 48 # 27 A – 48 1ER.  PISO DEL IDESAN – BUCARAMANGA","(577)6338580, 6700503"
"GOBERNACION","COLOMBIA","COL","
,  
(4.570868, -74.297333)","CALI","G. VALLE","COLCAL","DRUIZ@VALLEDELCAUCA.GOV.CO","PALACIO SAN FRANCISCO, CALLE 9 ENTRE CRAS 7 Y 8,  CALI","(572)8860189"
"GOBERNACION","COLOMBIA","COL","
,  
(4.570868, -74.297333)","CARTAGENA","G. BOLIVAR","COLCAR","PASAPORTE@BOLIVAR.GOV.CO","CRA TRONCAL DE OCCIDENTE, SECTOR BAJO MIRANDA MUNICIPIO DE TURBACO, CENTRO ADMINISTRATIVO","(575)6646469"
"GOBERNACION","COLOMBIA","COL","
,  
(4.570868, -74.297333)","POPAYAN","G. CAUCA","COLCAU","PASAPORTES@CAUCA.GOV.CO","CALLE 4 CARRERA 7 ESQUINA, POPAYAN","(572)8242636"
"GOBERNACION","COLOMBIA","COL","
,  
(4.570868, -74.297333)","QUIBDO","G. CHOCO","COLCHO","GOB@CANCILLERIA.GOV.CO","(NO REGISTRA)","(NO REGISTRA)"
"OFICINA LOCAL","COLOMBIA","COL","
,  
(4.570868, -74.297333)","BOGOTA","BTA. DIRECCIÓN CONSULAR","COLCON","(NO REGISTRA)","CARRERA 6 NO. 9–46, BOGOTÁ DC","(57-1) 3814000"
"GOBERNACION","COLOMBIA","COL","
,  
(4.570868, -74.297333)","CUCUTA","G. NORTE DE SANTANDER","COLCUC","PASAPORTESNT@NORTEDESANTANDER.GOV.CO","AV. CALLE 11 ESQUINA ANTIGUO BANCO REPUBLICA, SAN JOSE DE CUCUTA","(577)5715974"
"OFICINA LOCAL","COLOMBIA","COL","
,  
(4.570868, -74.297333)","BOGOTA","GIT ESTADISTICAS CONSULARES Y ANALISIS DE INFORMACION","COLEST","@CANCILLERIA.GOV.CO","CALLE 10 NO. 5-51, PALACIO DE SAN CARLOS, BOGOTA D","(57-1) 3814000"
"GOBERNACION","COLOMBIA","COL","
,  
(4.570868, -74.297333)","FLORENCIA","G. CAQUETA","COLFLO","OFI_JURIDICA@CAQUETA.GOV.CO","CRA 13   CALLE 15  ESQUINA PISO 2, FLORENCIA","(578)4351704, 4356748"
"GOBERNACION","COLOMBIA","COL","
,  
(4.570868, -74.297333)","IBAGUE","G. TOLIMA","COLIBA","MPADILLA@TOLIMA.GOV.CO","CRA 3 ENTRE CALLES 10 Y 11, IBAGUE","(578)2611237"
"OFICINA LOCAL","COLOMBIA","COL","
,  
(4.570868, -74.297333)","BOGOTA","APOSTILLA  BTA. JURÍDICA","COLJUR","(NO REGISTRA)","AVENIDA 19 NO. 98-03, BOGOTÁ DC","(57-1) 3814000"
"GOBERNACION","COLOMBIA","COL","
,  
(4.570868, -74.297333)","LETICIA","G. AMAZONAS","COLLET","DESPACHO@AMAZONAS.GOV.CO","CALLE 10  NO. 10-77, LETICIA","(578)5927199"
"GOBERNACION","COLOMBIA","COL","
,  
(4.570868, -74.297333)","MANIZALES","G. CALDAS","COLMAN","PASAPORTESCALDAS@GOBERNACIONDECALDAS.GOV.CO","CRA 21 CON CALLE 22 ESQUINA, EDIFICIO LICORERA, MANIZALES","(576)8847420"
"GOBERNACION","COLOMBIA","COL","
,  
(4.570868, -74.297333)","MEDELLIN","G. ANTIOQUIA","COLMED","PASAPORTE@ANTIOQUIA.GOV.CO","CALLE 42B 52-106 PISO1,  MEDELLIN","(574)3858129, 2622074"
"GOBERNACION","COLOMBIA","COL","
,  
(4.570868, -74.297333)","MONTERIA","G. CORDOBA","COLMON","PARTICIPACION@CORDOBA.GOV.CO","CALLE 27  3-28  PISO 4, MONTERIA","(574)7821175"
"OFICINA LOCAL","COLOMBIA","COL","
,  
(4.570868, -74.297333)","BOGOTA","BTA. NACIONALIDAD","COLNAL","(NO REGISTRA)","CARRERA 6 NO. 9–46, BOGOTÁ DC","(57-1) 3814000"
"GOBERNACION","COLOMBIA","COL","
,  
(4.570868, -74.297333)","NEIVA","G. HUILA","COLNEI","ALBERTO.RODRIGUEZ@GOBHUILA.GOV.CO","CALLE 8 CRA 4 ESQUINA, EDIFICIO GOBERNACION DEL HUILA, NEIVA","(578)8671335"
"GOBERNACION","COLOMBIA","COL","
,  
(4.570868, -74.297333)","PASTO","G. NARIÑO","COLPAS","ALBAROSERO@INT.GOBERNAR.GOV.CO","CALLE 19 19  23-78 OFIC.202, PASTO","(572)7223859, EXT. 248"
"OFICINA LOCAL","COLOMBIA","COL","
,  
(4.570868, -74.297333)","BOGOTA","BTA. VISAS PROTOCOLO","COLPRO","(NO REGISTRA)","CARRERA 6 NO. 9–46, BOGOTÁ DC","(57-1) 3814000"
"GOBERNACION","COLOMBIA","COL","
,  
(4.570868, -74.297333)","MOCOA","G. PUTUMAYO","COLPUT","GOB@CANCILLERIA.GOV.CO","GOB. DE PUTUMAYO","(NO REGISTRA)"
"GOBERNACION","COLOMBIA","COL","
,  
(4.570868, -74.297333)","RIOHACHA","G. GUAJIRA","COLRIO","PASAPORTE@LAGUAJIRA.GOV.CO","CALLE 1  6-03 GOBERNACION DE LA GUAJIRA, PISO 1, RIOHACHA","(NO REGISTRA)"
"GOBERNACION","COLOMBIA","COL","
,  
(4.570868, -74.297333)","RISARALDA","G. RISARALDA","COLRIS","PASAPORTES@RISARALDA.GOV.CO","CALLE 19  NO. 13-17, PEREIRA","(576)3398300 EXT 326"
"GOBERNACION","COLOMBIA","COL","
,  
(4.570868, -74.297333)","SAN ANDRES","G. SAN ANDRES","COLSAN","PASAPORTE@GOBERNACIONDESANANDRES.GOV.CO","CRA. 1   AV. FRANCISCO NEWBALL   6-30, EDIFICIO DE COMPUTO, SAN ANDRES","(578)5124370"
"GOBERNACION","COLOMBIA","COL","
,  
(4.570868, -74.297333)","SANTA MARTA","G. MAGDALENA","COLSTM","PASAPORTE@MAGDALENA.GOV.CO","CRA 1 C NO. 16-15 PALACIO TAYRONA,  SANTA MARTA","(NO REGISTRA)"
"GOBERNACION","COLOMBIA","COL","
,  
(4.570868, -74.297333)","SUCRE","G. SUCRE","COLSUC","PASAPORTE@SUCRE.GOV.CO","CALLE 25 25B-35 LAS PENITAS, SINCELEJO","(575)2804576"
"GOBERNACION","COLOMBIA","COL","
,  
(4.570868, -74.297333)","VALLEDUPAR","G. CESAR","COLVAL","PASAPORTES@GOBERCESARGOV.CO","CALLE 16 12-120 EDIF. ALFONSO LOPEZ, VALLEDUPAR","(NO REGISTRA)"
"GOBERNACION","COLOMBIA","COL","
,  
(4.570868, -74.297333)","PUERTO CARREÑO","G. VICHADA","COLVIC","INTERNACIONALIZACION@VICHADA.GOV.CO","(NO REGISTRA)","(NO REGISTRA)"
"GOBERNACION","COLOMBIA","COL","
,  
(4.570868, -74.297333)","VILLAVICENCIO","G. META","COLVIL","PASAPORTES@META.GOV.CO","CRA 33  # 38-45, VILLAVICENCIO","(578)6610226"
"OFICINA LOCAL","COLOMBIA","COL","
,  
(4.570868, -74.297333)","BOGOTA","BTA. VISAS","COLVIS","(NO REGISTRA)","AVENIDA 19 NO. 98-03, BOGOTÁ DC","(57-1) 3814000"
"GOBERNACION","COLOMBIA","COL","
,  
(4.570868, -74.297333)","YOPAL","G. CASANARE","COLYOP","PASAPORTES@CASANARE.GOV.CO","CENTRO ADMINISTRATIVO DE CASANARE - CAD / CARRERA 20 NO. 8-02 PRIMER PISO - TORRE B","633 3575"
"CONSULADO","COSTA RICA","CRI","
,  
(9.748917, -83.753428)","SAN JOSE","C. SAN JOSE","CRISJO","CSANJOSE@CANCILLERIA.GOV.CO","DE TACO BELL SAN PEDRO 350 OESTE, CASA COLOR GRIS, REJAS NEGRAS","506 22813222"
"CONSULADO","CUBA","CUB","
,  
(21.521757, -77.781167)","LA HABANA","C. LA HABANA","CUBHAB","CLAHABANA@CANCILLERIA.GOV.CO","CALLE 14 NO.515 ENTRE 5TA. Y 7A AVENIDAS MIRAMAR, LA HABANA - CUBA","537 2041246 - 2041247 - 2041249"
"CONSULADO","CURAÇAO","CUW","
,  
(12.16957, -68.990021)","WILLEMSTAD","C. WILLEMSTAD","CUWWIL","CWILLEMSTAD@CANCILLERIA.GOV.CO","HOOGSTRAAT 21-25 PISO 2º. OTROBANDA, WILLEMSTAD, CURAZAO","599 9 4614663"
"CONSULADO","ALEMANIA","DEU","
,  
(51.165691, 10.451526)","BERLIN","C. BERLIN","DEUBER","CBERLIN@CANCILLERIA.GOV.CO","TAUBENSTRAßE 23, 10117 BERLÍN","49 30 26396161"
"CONSULADO","ALEMANIA","DEU","
,  
(51.165691, 10.451526)","FRANKFURT","C. FRANKFURT","DEUFRA","CFRANKFURT@CANCILLERIA.GOV.CO","FÜRSTENBERGERSTRASSE 223 60323 FRANKFURT AM MAIN","49 69 9595670"
"CONSULADO","REPUBLICA DOMINICANA","DOM","
,  
(18.735693, -70.162651)","SANTO DOMINGO","C. SANTO DOMINGO","DOMSAN","CSANTODOMINGO@CANCILLERIA.GOV.CO","CALLE ANDRÉS JULIO AYBAR #27 ENSANCHE PIANTINNI","809 5621670 - 5625282"
"CONSULADO","ARGELIA","DZA","
,  
(28.033886, 1.659626)","ARGEL","C. ARGEL","DZAARG","CARGEL@CANCILLERIA.GOV.CO","5, IMPASSE CHEMIN DU RÉSERVOIR, HYDRA, ARGEL, ARGE","00213 21 60 22 97"
"CONSULADO","ECUADOR","ECU","
,  
(-1.831239, -78.183406)","ESMERALDAS","C. ESMERALDAS","ECUESM","CESMERALDAS@CANCILLERIA.GOV.CO","CALLE ANTONIO GUERRA NO. 2 - 01 Y BARBISOTTI, ESQUINA, BARRIO LAS PALMAS . ESMERALDAS","593 6 2728688"
"CONSULADO","ECUADOR","ECU","
,  
(-1.831239, -78.183406)","GUAYAQUIL","C. GUAYAQUIL","ECUGUA","CGUAYAQUIL@CANCILLERIA.GOV.CO","AVENIDA FRANCISCO ORELLANA MANZANA 111 EDIFICIO WORLD TRADE CENTER, TORRE B , PISO 11","593 4 2630674 - 2630675"
"CONSULADO","ECUADOR","ECU","
,  
(-1.831239, -78.183406)","QUITO","C. QUITO","ECUQUI","CQUITO@CANCILLERIA.GOV.CO","-	CALLE CATALINA ALDAZ N34-131 Y PORTUGAL.  OFICINA 202. EDIF. LA SUIZA. PISO 2","593 2 2270154 - 2458012 - 2460054"
"CONSULADO","ECUADOR","ECU","
,  
(-1.831239, -78.183406)","SANTO DOMINGO DE LOS COLORADOS","C. STO DOM COLORADOS","ECUSAN","CSANTODOMINGOECUADOR@CANCILLERIA.GOV.CO","AV. ESMERALDAS Y CALLE LAS PROVINCIAS 2DO. PISO SANTO","593 2 2750757"
"CONSULADO","ECUADOR","ECU","
,  
(-1.831239, -78.183406)","NUEVA LOJA","C. NUEVA LOJA","ECULOJ","CNUEVALOJA@CANCILLERIA.GOV.CO","AVENIDA QUITO Y COLOMBIA, EDIFICIO MONCADA PISO 4, NUEVA LOJA","593 62 832114"
"CONSULADO","ECUADOR","ECU","
,  
(-1.831239, -78.183406)","TULCAN","C. TULCAN","ECUTUL","CTULCAN@CANCILLERIA.GOV.CO","CALLE BOLÍVAR ENTRE JUNÍN Y AYACUCHO, DIAGONAL AL CENTRO COMERCIAL YOLIS.","593 6 2980559"
"CONSULADO","EGIPTO","EGY","
,  
(26.820553, 30.802498)","EL CAIRO","C. EL CAIRO","EGYCAI","CCAIRO@CANCILLERIA.GOV.CO","6 GUEZIRA STERRT ZAMALEK, EL CAIRO - EGIPTO","20 2 27364203"
"CONSULADO","ESPAÑA","ESP","
,  
(40.463667, -3.74922)","BARCELONA","C. BARCELONA","ESPBAR","CBARCELONA@CANCILLERIA.GOV.CO","CALLE PAU CLARIS NO. 102 PRIMER PISO, CP 08009 BARCELONA, ESPAÑA","933028584"
"CONSULADO","ESPAÑA","ESP","
,  
(40.463667, -3.74922)","BILBAO","C. BILBAO","ESPBIL","CBILBAO@CANCILLERIA.GOV.CO","CALLE ALAMEDA DE URQUIJO 2, 6ª PLANTA, BILBAO, CÓDIGO POSTAL 48008","34 94 4230539"
"CONSULADO","ESPAÑA","ESP","
,  
(40.463667, -3.74922)","LAS PALMAS DE GRAN CANARIA","C. LAS PALMAS DE G.C","ESPLAS","CLASPALMASDEGRANCANARIA@CANCILLERIA.GOV.CO","CALLE OBISPO CODINA, 3 - PLANTA 2º, CÓDIGO POSTAL 35001. LAS PALMAS DE GRAN CANARIA - ESPAÑA","34928 330949"
"CONSULADO","ESPAÑA","ESP","
,  
(40.463667, -3.74922)","MADRID","C. MADRID","ESPMAD","CMADRID@CANCILLERIA.GOV.CO","CALLE ALFONSO XI NUMERO 6","3491 7452590-EXT. 21"
"CONSULADO","ESPAÑA","ESP","
,  
(40.463667, -3.74922)","PALMA DE MALLORCA","C. PALMA DE MALLORCA","ESPPAL","CPALMADEMALLORCA@CANCILLERIA.GOV.CO","AVENIDA JAIME III NO. 25 PISO 1-B.","34 971729944"
"CONSULADO","ESPAÑA","ESP","
,  
(40.463667, -3.74922)","SEVILLA","C. SEVILLA","ESPSEV","CSEVILLA@CANCILLERIA.GOV.CO","AVENIDA PASEO DE LAS DELICIAS S/N 41012 SEVILLA","(NO REGISTRA)"
"CONSULADO","ESPAÑA","ESP","
,  
(40.463667, -3.74922)","VALENCIA","C. VALENCIA ESP","ESPVAL","CVALENCIAESPANA@CANCILLERIA.GOV.CO","PLAZA TETÚAN N. 8, CÓDIGO POSTAL 46003","34 963 942441"
"CONSULADO","FINLANDIA","FIN","
,  
(61.92411, 25.748151)","HELSINKI","C. HELSINKI","FINHEL","CHELSINKI@CANCILLERIA.GOV.CO","(NO REGISTRA)","(NO REGISTRA)"
"CONSULADO","FRANCIA","FRA","
,  
(46.227638, 2.213749)","PARIS","C. PARIS","FRAPAR","CPARIS@CANCILLERIA.GOV.CO","12 RUE DE BERRI, PARÍS 75008","331 53939197"
"CONSULADO","REINO UNIDO","GBR","
,  
(55.378051, -3.435973)","LONDRES","C. LONDRES","GBRLON","CLONDRES@CANCILLERIA.GOV.CO","3ER. FLOOR, WESTCOTT HOUSE, 35 PORTLAND PLACE, LONDON W1B 1AE","4,42E+11"
"CONSULADO","GHANA","GHA","
,  
(7.946527, -1.023194)","ACCRA","C. ACRA","GHAACC","CACRA@CANCILLERIA.GOV.CO","1ST CIRCULAR RD. PLOT #16, CANTONMENTS, ACCRA, GHA","233 50132524"
"CONSULADO","GUATEMALA","GTM","
,  
(15.783471, -90.230759)","GUATEMALA","C. GUATEMALA","GTMGUA","CGUATEMALA@CANCILLERIA.GOV.CO","2DA CALLE 5-10 ZONA 14 COLONIA EL CAMPO","502 23853435 - 23853436"
"CONSULADO","HONDURAS","HND","
,  
(15.199999, -86.241905)","TEGUCIGALPA","C. TEGUCIGALPA","HNDTEG","CTEGUCIGALPA@CANCILLERIA.GOV.CO","CENTRO MORAZÁN, TORRE 1, PISO 11, OFICINA 11110. BOULEVARD MORAZÁN","504 2311680 - 2325131 - 2399709"
"CONSULADO","HUNGRIA","HUN","
,  
(47.162494, 19.503304)","BUDAPEST","C. BUDAPEST","HUNBUD","CBUDAPEST@CANCILLERIA.GOV.CO","BUDAPEST 1137, UJPESTI RAKPART 1 PISO 2/6","(NO REGISTRA)"
"CONSULADO","INDONESIA","IDN","
,  
(-0.789275, 113.921327)","JAKARTA","C. JAKARTA","IDNYAK","CJAKARTA@CANCILLERIA.GOV.CO","JL. JEND SUDIRMAN KAV. 47, PISO 12, JAKARTA, INDONESIA","(NO REGISTRA)"
"CONSULADO","INDIA","IND","
,  
(20.593684, 78.96288)","NEW DELHI","C. NUEVA DELHI","INDDEL","CNUEVADELHI@CANCILLERIA.GOV.CO","F2/2 BLOCK F, 110057, VASANT VIHAR, NEW DELHI, DELHI","91 11 51662105"
"CONSULADO","IRLANDA","IRL","
,  
(53.41291, -8.24389)","DUBLIN","C. DUBLIN","IRLDUB","(NO REGISTRA)","(NO REGISTRA)","(NO REGISTRA)"
"CONSULADO","ISRAEL","ISR","
,  
(31.046051, 34.851612)","TEL AVIV","C. TEL AVIV","ISRTEL","CTELAVIV@CANCILLERIA.GOV.CO","ABBA HILLEL ST. 12 PISO 8","9723 6953416-6953419"
"CONSULADO","ITALIA","ITA","
,  
(41.87194, 12.56738)","MILAN","C. MILAN","ITAMIL","CMILAN@CANCILLERIA.GOV.CO","VIA TIVOLI 3, MILANO 20121","272003872"
"CONSULADO","ITALIA","ITA","
,  
(41.87194, 12.56738)","ROMA","C. ROMA","ITAROM","CROMA@CANCILLERIA.GOV.CO","PIAZZALE FLAMINIO, 9 - 00196 - ROMA","39 06 69942522"
"CONSULADO","SANTA SEDE (ESTADO DE LA CIUDAD DE VATICANO)","VAT","
,  
(41.902916, 12.453389)","SANTA SEDE (ESTADO DE LA CIUDAD DE VATICANO)","C. SANTA SEDE ROMA","ITASAN","(NO REGISTRA)","VIA COLA DI RIENZO, 285 00192 ROMA","(NO REGISTRA)"
"CONSULADO","JAMAICA","JAM","
,  
(18.109581, -77.297508)","KINGSTON","C. KINGSTON","JAMKIN","CKINGSTON@CANCILLERIA.GOV.CO","53 KNUTSFORD BOULEVARD, 4TH. FLOOR, (VMBS), KINGSTON 5 JAMAICA","1 876 9203949 - 9291701 - 9291702"
"CONSULADO","JAPON","JPN","
,  
(36.204824, 138.252924)","TOKIO","C. TOKIO","JPNTOK","CTOKIO@CANCILLERIA.GOV.CO","3-10-53 KAMIOSAKI, SHINAGAWA-KU, TOKIO 141-0021 JAPÓN","81 3 34406491"
