"regi_n","otros_territorios","pa_s","localizaci_n","exige_visa_corta_duraci_n","exige_visa_para_pasaporte_oficial","exige_visa_para_pasaporte_diplomatico","condiciones_especiales"
"AFRICA CENTRAL","NO","CAMERÚN","
,  
(7.369722, 12.354722)","SI","SI","SI","(N/A)"
"ORIENTE MEDIO","NO","IRAQ","
,  
(33.223191, 43.679291)","SI","SI","SI","(N/A)"
"AMERICA DEL SUR","NO","BOLIVIA","
,  
(-16.290154, -63.588653)","NO","NO","NO","(N/A)"
"EUROPA SCHENGEN","NO","ESPAÑA","
,  
(40.463667, -3.74922)","NO","NO","NO","(N/A)"
"AFRICA DEL NORTE","NO","EGIPTO","
,  
(26.820553, 30.802498)","SI","NO, ACUERDO ESPECIAL","NO, ACUERDO ESPECIAL","(N/A)"
"AFRICA OCCIDENTAL","NO","GUINEA-BISSAU","
,  
(11.803749, -15.180413)","SI","SI","SI","(N/A)"
"EURASIA","NO","BIELORRUSIA","
,  
(53.709807, 27.953389)","SI","SI","SI","(N/A)"
"AFRICA CENTRAL","NO","CHAD","
,  
(15.454166, 18.732207)","SI","SI","SI","(N/A)"
"ASIA DEL ESTE","NO","COREA REPÚBLICA POPULAR DEM.","
,  
(40.339852, 127.510093)","SI","SI","SI","(N/A)"
"AFRICA CENTRAL","NO","BURUNDI","
,  
(-3.373056, 29.918886)","SI","CONDICIONES ESPECIALES","CONDICIONES ESPECIALES","VIISA SE TRAMITA A LA LLEGADA"
"AFRICA CENTRAL","NO","CONGO","
,  
(-0.228021, 15.827659)","SI","SI","SI","(N/A)"
"EUROPA ORIENTAL","NO","BOSNIA Y HERZEGOVINA","
,  
(43.915886, 17.679076)","NO","NO","NO","(N/A)"
"EURASIA","NO","GEORGIA","
,  
(42.315407, 43.356892)","NO","NO","NO","(N/A)"
"EURASIA","NO","ARMENIA","
,  
(40.069099, 45.038189)","SI","SI","SI","(N/A)"
"AMERICA CARIBE","SI","ARUBA (PAÍSES BAJOS)","
,  
(12.52111, -69.968338)","NO","NO","NO","(N/A)"
"AFRICA DEL SUR","NO","BOTSUANA","
,  
(-22.328474, 24.684866)","SI","SI","SI","(N/A)"
"AMERICA CARIBE","NO","HAITÍ","
,  
(18.971187, -72.285215)","SI","CONDICIONES ESPECIALES","CONDICIONES ESPECIALES","NO EXIGE A TITULARES DE VISA DE EE UU O SCHENGEN VIGENTE POR MÍNIMO 6 MESES"
"EUROPA SCHENGEN","NO","DINAMARCA","
,  
(56.26392, 9.501785)","NO","NO","NO","(N/A)"
"ISLAS PACIFICO","NO","ISLAS MARSHALL","
,  
(7.131474, 171.184478)","SI","SI","SI","(N/A)"
"EUROPA SCHENGEN","NO","ESLOVENIA","
,  
(46.151241, 14.995463)","NO","NO","NO","(N/A)"
"ASIA DEL ESTE","NO","COREA REPÚBLICA","
,  
(35.907757, 127.766922)","NO","NO","NO","(N/A)"
"EUROPA SCHENGEN","NO","HUNGRÍA","
,  
(47.162494, 19.503304)","NO","NO","NO","(N/A)"
"ORIENTE MEDIO","NO","BAHRÉIN","
,  
(25.930414, 50.637772)","SI","CONDICIONES ESPECIALES","CONDICIONES ESPECIALES","VISA SE TRAMITA A LA LLEGADA O VISA ELECTRÓNICA"
"ASIA DEL ESTE","NO","FILIPINAS","
,  
(12.879721, 121.774017)","NO","CONDICIONES ESPECIALES","CONDICIONES ESPECIALES","NO EXIGE HASTA POR 30 DÍAS"
"AMERICA DEL SUR","NO","ARGENTINA","
,  
(-38.416097, -63.616672)","NO","NO","NO","(N/A)"
"ORIENTE MEDIO","NO","IRÁN","
,  
(32.427908, 53.688046)","SI","NO, ACUERDO ESPECIAL","NO, ACUERDO ESPECIAL","(N/A)"
"AFRICA CENTRAL","NO","GUINEA ECUATORIAL","
,  
(1.650801, 10.267895)","SI","SI","SI","(N/A)"
"OCEANIA","NO","AUSTRALIA","
,  
(-25.274398, 133.775136)","SI","SI","SI","(N/A)"
"AFRICA CENTRAL","NO","GABÓN","
,  
(-0.803689, 11.609444)","SI","SI","SI","(N/A)"
"AFRICA OCCIDENTAL","NO","CABO VERDE","
,  
(16.002082, -24.013197)","SI","SI","SI","(N/A)"
"AMERICA CENTRAL","NO","BELICE","
,  
(17.189877, -88.49765)","NO","NO","NO","(N/A)"
"EUROPA SCHENGEN","NO","ISLANDIA","
,  
(64.963051, -19.020835)","NO","NO","NO","(N/A)"
"ASIA DEL ESTE","SI","HONG KONG (SARG-CHINA)","
,  
(22.396428, 114.109497)","NO","NO","NO","NO EXIGE HASTA POR 90 DÍAS"
"AFRICA ORIENTAL","NO","ERITREA","
,  
(15.179384, 39.782334)","SI","SI","SI","(N/A)"
"AMERICA CARIBE","NO","ANTIGUA Y BARBUDA","
,  
(17.060816, -61.796428)","SI","SI","SI","VISA A LA LLEGADA PARA TITULARES DE VISA DE EEUU, CANADÁ, REINO UNIDO O SCHENGEN"
"EUROPA SCHENGEN","NO","CHIPRE","
,  
(35.126413, 33.429859)","NO","NO","NO","(N/A)"
"AFRICA ORIENTAL","NO","DJIBOUTI","
,  
(11.825138, 42.590275)","SI","SI","SI","(N/A)"
"ORIENTE MEDIO","NO","ISRAEL","
,  
(31.046051, 34.851612)","NO","NO","NO","(N/A)"
"SUDESTE ASIATICO","NO","CAMBOYA","
,  
(12.565679, 104.990963)","SI","SI","SI","VISA A LA LLEGADA"
"AMERICA CARIBE","NO","GRENADA","
,  
(12.262776, -61.604171)","SI","SI","SI","(N/A)"
"OCEANIA","NO","FIJI","
,  
(-16.578193, 179.414413)","SI","SI","SI","(N/A)"
"EUROPA SCHENGEN","NO","FRANCIA","
,  
(46.227638, 2.213749)","NO","NO","NO","(N/A)"
"ORIENTE MEDIO","NO","ARABIA SAUDITA","
,  
(23.885942, 45.079162)","SI","SI","SI","NO PERMITE TURISMO EN SU TERRITORIO"
"AMERICA DEL NORTE","NO","CANADÁ","
,  
(56.130366, -106.346771)","SI","CONDICIONES ESPECIALES","CONDICIONES ESPECIALES","(NO REGISTRA)"
"ASIA DEL SUR","NO","BANGLADESH","
,  
(23.684994, 90.356331)","SI","SI","SI","(N/A)"
"AFRICA ORIENTAL","NO","ETIOPÍA","
,  
(9.145, 40.489673)","SI","SI","SI","(N/A)"
"AFRICA DEL SUR","NO","ANGOLA","
,  
(-11.202692, 17.873887)","SI","SI","SI","(N/A)"
"AMERICA DEL SUR","NO","ECUADOR","
,  
(-1.831239, -78.183406)","NO","NO","NO","(N/A)"
"EUROPA ORIENTAL","NO","ALBANIA","
,  
(41.153332, 20.168331)","NO","SI","SI","NO EXIGE A TITULARES DE VISA DE EE UU O SCHENGEN  VIGENTE POR MÍNIMO 6 MESES"
"EUROPA SCHENGEN","NO","CROACIA","
,  
(45.1, 15.2)","NO","NO","NO","(N/A)"
"EUROPA SCHENGEN","NO","ITALIA","
,  
(41.87194, 12.56738)","NO","NO","NO","(N/A)"
"SUDESTE ASIATICO","NO","INDONESIA","
,  
(-0.789275, 113.921327)","SI","NO, ACUERDO ESPECIAL","NO, ACUERDO ESPECIAL","(N/A)"
