"nombre_punto_de_recolecci","direcci_n_punto_de_recolecci","ciudad","departamento","pa_s","categoria_residuo","tipo_residuo","nombre_residuo","ubicacion","horario","nombre_programa_posconsumo","persona_contacto","correo_electr_nico"
"DROG. INTERPLAZA - MEDELLIN","Cra 30 # 10 C - 228, Local 119, Mall Interplaza, Medellín, Antioquia, Colombia","Medellín","Antioquia","Colombia","Pilas","De todo tipo","Pilas De todo tipo","(6.2129247, -75.5592769)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Corporacion pilas con el ambiente","WWW.PILASCOLOMBIA.COM","direccion@pilascolombia.com"
"LOCATEL GALERIAS","Cl. 53b #25-81, Bogotá, Colombia","Bogotá","Bogotá","Colombia","Medicamentos","Uso humano","Medicamentos Uso Humano","(4.6434257, -74.075501)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Corporación Punto Azul","Valentina Rodriguez Mejia","coordinacion@puntoazul.com.co"
"Montallantas Los Gordos","Peatonal Terminal, Bogotá, Colombia","Bogotá","Bogotá","Colombia","Llantas","Para carros","Llantas","(4.6546906690522, -74.114951471164)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Corporacion posconsumo de llantas Rueda Verde","Eduar Pinto Rincon","coordinacion@ruedaverde.com.co"
"Torrescar S.A.","Av. Quebrada Seca # 21-07, Bucaramanga, Santander, Colombia","Bucaramanga","Santander","Colombia","Llantas","Para vehículos de carga","Llantas","(7.1240676, -73.1233101)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Corporacion posconsumo de llantas Rueda Verde","Eduar Pinto Rincon","coordinacion@ruedaverde.com.co"
"NEW WORLD","Cl. 9 Bis, Bogotá, Colombia","Bogotá","Bogotá","Colombia","Pilas","De todo tipo","Pilas De todo tipo","(4.6036138, -74.0870715)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Corporacion pilas con el ambiente","WWW.PILASCOLOMBIA.COM","direccion@pilascolombia.com"
"UNIVALLE SEDE YUMBO","Cra. 1a Nte. #2c Oeste-17 a 2c Oeste-25, Yumbo, La Cartufa, Yumbo, Valle del Cauca, Colombia","Yumbo","Valle del Cauca","Colombia","Pilas","De todo tipo","Pilas De todo tipo","(3.5871603718698, -76.500606127539)","LUN,MAR,MIE,JUE,VIE,SAB 08:00:00 a 17:00:00","Corporacion pilas con el ambiente","WWW.PILASCOLOMBIA.COM","direccion@pilascolombia.com"
"Energiteca Centro Comercial Carrera","Calle 52 # 1 B 160 , Cali, Valle del Cauca, Colombia","Cali","Valle del Cauca","Colombia","Llantas","Para carros","Llantas","(3.4733631, -76.5035013)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Corporacion posconsumo de llantas Rueda Verde","Eduar Pinto Rincon","coordinacion@ruedaverde.com.co"
"Tecniruedas","AV Boyaca # 76 - 08, bogota","indefinido","indefinido","Colombia","Llantas","Para camionetas","Llantas","(4.570868, -74.297333)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Corporacion posconsumo de llantas Rueda Verde","Eduar Pinto Rincon","coordinacion@ruedaverde.com.co"
"OLÍMPICA CHICO 2","Cra. 15 #97-25, Bogotá, Colombia","Bogotá","Bogotá","Colombia","Medicamentos","Uso humano","Medicamentos Uso Humano","(4.6824676, -74.0489913)","LUN,MAR,MIE,JUE,VIE,SAB,DOM 09:00:00 a 22:00:00","Corporación Punto Azul","Valentina Rodriguez Mejia","coordinacion@puntoazul.com.co"
"Inserbar","Calle 48 # 5C, Barranquilla","indefinido","indefinido","Colombia","Llantas","Para buses","Llantas","(4.570868, -74.297333)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Corporacion posconsumo de llantas Rueda Verde","Eduar Pinto Rincon","coordinacion@ruedaverde.com.co"
"Calazania del Sol","Medellín, Antioquia, Colombia","Medellín","Antioquia","Colombia","Pilas","De todo tipo","Pilas","(6.271201870442, -75.602065375963)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Recopila","Maria Susana Uribe Galeano","info@recopila.org"
"Alcaldía de Cáqueza","Cl. 2 #3-2, San José, Cáqueza, Cundinamarca, Colombia","Cáqueza","Cundinamarca","Colombia","Bombillas","Fluorescentes compactas","Residuos de iluminación con mercurio","(4.4057974774872, -73.945613771164)","LUN,MAR,MIE,JUE,VIE 09:00:00 a 16:00:00","Lúmina","Indira Forero","coordinacion@lumina.com.co"
"DROGAS LA REBAJA R7","Cl. 14 #1-6, Ibagué, Tolima, Colombia","Ibagué","Tolima","Colombia","Medicamentos","Uso humano","Medicamentos Uso Humano","(4.440991, -75.2404115)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Corporación Punto Azul","Valentina Rodriguez Mejia","coordinacion@puntoazul.com.co"
"El Mundo De Las Llantas Y Los Rines","Calle 195 # 41 - 35 Entrada 6 - Local 113 Centro Comercial Puerto Norte, Bogotá, Colombia","Bogotá","Bogotá","Colombia","Llantas","Para carros","Llantas","(4.772793, -74.041575)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Corporacion posconsumo de llantas Rueda Verde","Eduar Pinto Rincon","coordinacion@ruedaverde.com.co"
"CENTRO MÉDICO CONTINENTAL","Cra. 49c #80-1 a 80-335, Barranquilla, Atlántico, Colombia","Barranquilla","Atlántico","Colombia","Pilas","De todo tipo","Pilas De todo tipo","(11.001188034915, -74.814536419049)","LUN,MAR,MIE,JUE,VIE,SAB 08:00:00 a 17:00:00","Corporacion pilas con el ambiente","WWW.PILASCOLOMBIA.COM","direccion@pilascolombia.com"
"CORPORACION AUTONOMA REGIONAL DEL VALLE DEL CAUCA - CVC","Cl. 11 #55A-41, Cali, Valle del Cauca, Colombia","Cali","Valle del Cauca","Colombia","Plaguicidas","Uso doméstico","Plaguicidas","(3.4058455167485, -76.538848244644)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Cierra el ciclo","JAIME EDUARDO FORERO CABRERA","info@cierraelciclo.com"
"La reja Café","Itagüi, Antioquia, Colombia","Itagüi","Antioquia","Colombia","Pilas","De todo tipo","Pilas","(6.1768955360077, -75.609364575455)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Recopila","Maria Susana Uribe Galeano","info@recopila.org"
"Autoruta Michelin","Avenida de las Américas # 50 - 19, Bogotá, Colombia","Bogotá","Bogotá","Colombia","Llantas","Para camiones","Llantas","(4.627225, -74.108620830688)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Corporacion posconsumo de llantas Rueda Verde","Eduar Pinto Rincon","coordinacion@ruedaverde.com.co"
"UMATA SIBATE ALCALDIA","CALLE 10 No. 8 - 01 Sibate, Cundinamarca.","indefinido","indefinido","Colombia","Medicamentos","Uso veterinario","Medicamentos Uso veterinario","(4.570868, -74.297333)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 16:00:00","Corporación Punto Azul","Daniela Duarte","coordinacion@puntoazul.com.co"
"Universidad de la Costa","Cl. 58 #55-16, Barranquilla, Atlántico, Colombia","Barranquilla","Atlántico","Colombia","Computadores","O impresoras","Computadores Portátiles O impresoras O perisféricos","(10.9944602, -74.7913665)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Corporación Ecocomputo","Edgar Erazo","logistica@ecocomputo.com"
"SENA","La Apartada, Córdoba, Colombia","La Apartada","Córdoba","Colombia","Pilas","De todo tipo","Pilas","(8.0517033532565, -75.337662973572)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Recopila","Maria Susana Uribe Galeano","info@recopila.org"
"CONSUMO RIONEGRO","Cra. 51 #48-1 a 48-73, Rionegro, Antioquia, Colombia","Rionegro","Antioquia","Colombia","Pilas","De todo tipo","Pilas De todo tipo","(6.1527338713206, -75.375063157564)","LUN,MAR,MIE,JUE,VIE,SAB 08:00:00 a 17:00:00","Corporacion pilas con el ambiente","WWW.PILASCOLOMBIA.COM","direccion@pilascolombia.com"
"LA CASA DEL SONIDO","Cl. 34 #9-45, Cartagena, Bolívar, Colombia","Cartagena","Bolívar","Colombia","Pilas","De todo tipo","Pilas De todo tipo","(10.4251588, -75.5466292)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Corporacion pilas con el ambiente","WWW.PILASCOLOMBIA.COM","direccion@pilascolombia.com"
"LA 14 PALOQUEMAO","Av. Cdad. de Lima, Bogotá, Colombia","Bogotá","Bogotá","Colombia","Plaguicidas","Uso doméstico","Plaguicidas","(4.6181220299055, -74.085857018555)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Cierra el ciclo","JAIME EDUARDO FORERO CABRERA","info@cierraelciclo.com"
"AGRO SANTANDER","Cl. 110, Barranquilla, Atlántico, Colombia","Barranquilla","Atlántico","Colombia","Pilas","De todo tipo","Pilas De todo tipo","(10.9812927, -74.8360123)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Corporacion pilas con el ambiente","WWW.PILASCOLOMBIA.COM","direccion@pilascolombia.com"
"CORPORACIÓN UNIVERSIDAD DE LA COSTA","Cl. 58 #55-2 a 55-120, Barranquilla, Atlántico, Colombia","Barranquilla","Atlántico","Colombia","Pilas","De todo tipo","Pilas De todo tipo","(10.994836676698, -74.791067107935)","SAB,DOM 08:00:00 a 17:00:00","Corporacion pilas con el ambiente","WWW.PILASCOLOMBIA.COM","direccion@pilascolombia.com"
"Caracol tv (produccion regional)","Cra. 52 #14-30, Medellín, Antioquia, Colombia","Medellín","Antioquia","Colombia","Pilas","De todo tipo","Pilas","(6.217973, -75.5805814)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Recopila","Maria Susana Uribe Galeano","info@recopila.org"
"ÉXITO OCCIDENTE CALLE 80","Cra. 114 #78B-85, Bogotá, Colombia","Bogotá","Bogotá","Colombia","Medicamentos","Uso humano","Medicamentos Uso Humano","(4.7209487, -74.1225423)","LUN,MAR,MIE,JUE,VIE,SAB,DOM 08:00:00 a 21:00:00","Corporación Punto Azul","Valentina Rodriguez Mejia","coordinacion@puntoazul.com.co"
"Pirelli","Calle 39 # 24 - 31, Manizales, Caldas, Colombia","Manizales","Caldas","Colombia","Llantas","Para carros","Llantas","(5.0651380398883, -75.506972248479)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Corporacion posconsumo de llantas Rueda Verde","Eduar Pinto Rincon","coordinacion@ruedaverde.com.co"
"MEDICAMENTOS POS PORTAL DE LA SALUD","Cl. 33aa #83c-54, Medellín, Antioquia, Colombia","Medellín","Antioquia","Colombia","Medicamentos","Uso humano","Medicamentos Uso Humano","(6.2402337, -75.6078987)","SAB 08:00:00 a 13:00:00","Corporación Punto Azul","Valentina Rodriguez Mejia","coordinacion@puntoazul.com.co"
"Supermercado Plantas AFC","Cl. 48 #75-18, Medellín, Antioquia, Colombia","Medellín","Antioquia","Colombia","Pilas","De todo tipo","Pilas","(6.25697, -75.5926905)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Recopila","Maria Susana Uribe Galeano","info@recopila.org"
"SUBA ESPOL","Cl. 146f Bis #76-1, Bogotá, Colombia","Bogotá","Bogotá","Colombia","Medicamentos","Uso humano","Medicamentos Uso Humano","(4.7390595, -74.0736912)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Corporación Punto Azul","Valentina Rodriguez Mejia","coordinacion@puntoazul.com.co"
"SUBA ESPOL","Cl. 146f Bis #76-1, Bogotá, Colombia","Bogotá","Bogotá","Colombia","Medicamentos","Uso humano","Medicamentos Uso Humano","(4.7390595, -74.0736912)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Corporación Punto Azul","Valentina Rodriguez Mejia","coordinacion@puntoazul.com.co"
"Alcaldía de Tocancipa","a 10-73, Cra. 6 #101, Tocancipá, Cundinamarca, Colombia","Tocancipá","Cundinamarca","Colombia","Computadores","O impresoras","Computadores Portátiles O impresoras O perisféricos","(4.9660817, -73.9130651)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Corporación Ecocomputo","Edgar Erazo","logistica@ecocomputo.com"
"Ktronix","Av. El Poblado #1 Sur-3 a 1 Sur-81, Medellín, Antioquia, Colombia","Medellín","Antioquia","Colombia","Pilas","De todo tipo","Pilas","(6.2029956378833, -75.571857348965)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Recopila","Maria Susana Uribe Galeano","info@recopila.org"
"Celu shop","Tv. 5 #10-22, Montería, Córdoba, Colombia","Montería","Córdoba","Colombia","Pilas","De todo tipo","Pilas","(8.7369459, -75.8929485)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Recopila","Maria Susana Uribe Galeano","info@recopila.org"
"EDIFICIO UNIVERSA INVERSIONES INMOBILIARIAS","Ac. 100 #7A-81, Bogotá, Colombia","Bogotá","Bogotá","Colombia","Pilas","De todo tipo","Pilas De todo tipo","(4.6803796, -74.0398603)","LUN,MAR,MIE,JUE,VIE,SAB,DOM 08:00:00 a 17:00:00","Corporacion pilas con el ambiente","WWW.PILASCOLOMBIA.COM","direccion@pilascolombia.com"
"Policia Sevilla Ebejico","Ebéjico, Antioquia, Colombia","Ebéjico","Antioquia","Colombia","Pilas","De todo tipo","Pilas","(6.326906, -75.767345)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Recopila","Maria Susana Uribe Galeano","info@recopila.org"
"PEGSA LTDA","Tv. 55 #98a-3 a 98a-65, Bogotá, Colombia","Bogotá","Bogotá","Colombia","Pilas","De todo tipo","Pilas De todo tipo","(4.687383314425, -74.064454797623)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Corporacion pilas con el ambiente","WWW.PILASCOLOMBIA.COM","direccion@pilascolombia.com"
"Edificio Fix P.H","Cl 127 #7a-47, Bogotá, Colombia","Bogotá","Bogotá","Colombia","Bombillas","Fluorescentes de todo tipo","Residuos de iluminación con mercurio","(4.702317, -74.0300768)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Lúmina","Indira Forero","coordinacion@lumina.com.co"
"OFFICE DEPOT SAO PAULO","Av. El Poblado #18 Sur-41 a 18 Sur-237, Medellín, Antioquia, Colombia","Medellín","Antioquia","Colombia","Pilas","De todo tipo","Pilas De todo tipo","(6.1846953246628, -75.579269212503)","LUN,MAR,MIE,JUE,VIE,SAB,DOM 08:00:00 a 17:00:00","Corporacion pilas con el ambiente","WWW.PILASCOLOMBIA.COM","direccion@pilascolombia.com"
"Mercados la Piñatica","Cra. 51d #120-4, Medellín, Antioquia, Colombia","Medellín","Antioquia","Colombia","Pilas","De todo tipo","Pilas","(6.3054438, -75.5554871)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Recopila","Maria Susana Uribe Galeano","info@recopila.org"
"Auto Speed Goodyear Colina","Av. Boyacá # 152 - 50, Bogotá, Colombia","Bogotá","Bogotá","Colombia","Llantas","Para camionetas","Llantas","(4.7388386, -74.0657006)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Corporacion posconsumo de llantas Rueda Verde","Eduar Pinto Rincon","coordinacion@ruedaverde.com.co"
"JUSTO Y BUENO RESTREPO","Cl. 16 Sur #16-77, Bogotá, Colombia","Bogotá","Bogotá","Colombia","Pilas","De todo tipo","Pilas De todo tipo","(4.5853329, -74.0994167)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Corporacion pilas con el ambiente","WWW.PILASCOLOMBIA.COM","direccion@pilascolombia.com"
"PONPRA VENTA EL COTEÑO","Cra. 129, San Cristóbal, Medellín, Antioquia, Colombia","Medellín","Antioquia","Colombia","Pilas","De todo tipo","Pilas De todo tipo","(6.2782351, -75.6345277)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Corporacion pilas con el ambiente","WWW.PILASCOLOMBIA.COM","direccion@pilascolombia.com"
"VIZCAYA REAL 1","Cra. 32b #10-32, Medellín, Antioquia, Colombia","Medellín","Antioquia","Colombia","Pilas","De todo tipo","Pilas De todo tipo","(6.2089708, -75.5633045)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Corporacion pilas con el ambiente","WWW.PILASCOLOMBIA.COM","direccion@pilascolombia.com"
"EASY MINORISTA","Cra. 55 #59-25, Medellín, Antioquia, Colombia","Medellín","Antioquia","Colombia","Plaguicidas","Uso doméstico","Plaguicidas","(6.2587733, -75.5704836)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Cierra el ciclo","JAIME EDUARDO FORERO CABRERA","info@cierraelciclo.com"
"OLÍMPICA MAZUREN","Cra. 46 #152-42, Bogotá, Colombia","Bogotá","Bogotá","Colombia","Medicamentos","Uso humano","Medicamentos Uso Humano","(4.7356938, -74.0502387)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Corporación Punto Azul","Valentina Rodriguez Mejia","coordinacion@puntoazul.com.co"
"CORMACARENA","Cra. 35 #25-57, Villavicencio, Meta, Colombia","Villavicencio","Meta","Colombia","Llantas","Para camiones","Llantas","(4.1397621, -73.6333033)","MIE,JUE 09:00:00 a 17:00:00","Ministerio Ambiente Desarrollo Sostenible","Sebastián Santa Moyano","servicioalciudadano@minambiente.gov.co"
"CENTRO MEDICINA NAVAL NORTE","Cra. 18 #143-39, Bogotá, Colombia","Bogotá","Bogotá","Colombia","Medicamentos","Uso humano","Medicamentos Uso Humano","(4.7250817, -74.0445334)","LUN,MAR,MIE,JUE,VIE,SAB 08:00:00 a 17:00:00","Corporación Punto Azul","Valentina Rodriguez Mejia","coordinacion@puntoazul.com.co"
"I.E. Domingo Sabio","Llanogrande, Rionegro, Antioquia, Colombia","Rionegro","Antioquia","Colombia","Pilas","De todo tipo","Pilas","(6.1153394, -75.4169918)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Recopila","Maria Susana Uribe Galeano","info@recopila.org"
"LA REBAJA No. 1","Cl. 10 #9-74, Jamundí, Valle del Cauca, Colombia","Jamundí","Valle del Cauca","Colombia","Medicamentos","Uso humano","Medicamentos Uso Humano","(3.2611116, -76.5406532)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Corporación Punto Azul","Valentina Rodriguez Mejia","coordinacion@puntoazul.com.co"
"ZULIA","a 18-112,, Cra. 13 #182, Granada, Meta, Colombia","Meta","Meta","Colombia","Medicamentos","Uso humano","Medicamentos Uso Humano","(3.5444896725711, -73.708530496222)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Corporación Punto Azul","Daniela Duarte","coordinacion@puntoazul.com.co"
"CAMILA DE LA 69","Cl. 69 #14c-17, Soledad, Barranquilla, Atlántico, Colombia","Barranquilla","Atlántico","Colombia","Medicamentos","Uso humano","Medicamentos Uso Humano","(10.9126014, -74.8035325)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Corporación Punto Azul","Valentina Rodriguez Mejia","coordinacion@puntoazul.com.co"
"Energiteca 57","Cra. 15 #106-73, Bogotá, Colombia","Bogotá","Bogotá","Colombia","Llantas","Para camionetas","Llantas","(4.6915687, -74.0453995)","LUN,MAR,MIE,JUE,VIE,SAB 08:00:00 a 17:00:00","Corporacion posconsumo de llantas Rueda Verde","Eduar Pinto Rincon","coordinacion@ruedaverde.com.co"
"Alcaldía de Tocancipa","a 10-73, Cra. 6 #101, Tocancipá, Cundinamarca, Colombia","Tocancipá","Cundinamarca","Colombia","Computadores","O perisféricos","Computadores Portátiles O impresoras O perisféricos","(4.9660817, -73.9130651)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Corporación Ecocomputo","Edgar Erazo","logistica@ecocomputo.com"
"Tu llanta.com","Cra. 32 #17-9, Bogotá, Colombia","Bogotá","Bogotá","Colombia","Llantas","Para camionetas","Llantas","(4.6176208752248, -74.09171598899)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Corporacion posconsumo de llantas Rueda Verde","Eduar Pinto Rincon","coordinacion@ruedaverde.com.co"
"Fundación Socya","Cl. 30 #55-198, Medellín, Antioquia, Colombia","Medellín","Antioquia","Colombia","Pilas","De todo tipo","Pilas","(6.2316716, -75.5814433)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Recopila","Maria Susana Uribe Galeano","info@recopila.org"
"DROGUERÍA  RALDISALUD","Cra. 23 #23-48, Paipa, Boyacá, Colombia","Paipa","Boyacá","Colombia","Medicamentos","Uso humano","Medicamentos Uso Humano","(5.7825071, -73.1183628)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Corporación Punto Azul","Valentina Rodriguez Mejia","coordinacion@puntoazul.com.co"
"Makro supermayoristas S.A.S.","Carrera 1 # 35 - 41, Cali, Valle del Cauca, Colombia","Cali","Valle del Cauca","Colombia","Llantas","Para buses","Llantas","(3.4655599858516, -76.514406995701)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Corporacion posconsumo de llantas Rueda Verde","Eduar Pinto Rincon","coordinacion@ruedaverde.com.co"
"JUSTO Y BUENO SANTA ANA","Cl. 15 Sur #11-8, Bogotá, Colombia","Bogotá","Bogotá","Colombia","Pilas","De todo tipo","Pilas De todo tipo","(4.5807273, -74.0935395)","LUN,MAR,MIE,JUE,VIE,SAB,DOM 08:00:00 a 17:00:00","Corporacion pilas con el ambiente","WWW.PILASCOLOMBIA.COM","direccion@pilascolombia.com"
"COSMOTRANS","Cra. 21 #65-37, Bogotá, Colombia","Bogotá","Bogotá","Colombia","Pilas","De todo tipo","Pilas De todo tipo","(4.6555107, -74.06941)","LUN,MAR,MIE,JUE,VIE 08:00:00 a 17:00:00","Corporacion pilas con el ambiente","WWW.PILASCOLOMBIA.COM","direccion@pilascolombia.com"
"SAN FERNANDO","Cl. 5 #38-35, Cali, Valle del Cauca, Colombia","Cali","Valle del Cauca","Colombia","Pilas","De todo tipo","Pilas De todo tipo","(3.4279652, -76.5453055)","SAB,DOM 08:00:00 a 17:00:00","Corporacion pilas con el ambiente","WWW.PILASCOLOMBIA.COM","direccion@pilascolombia.com"
