"id","estado","fecha_de_actualizaci_n","t_tulo_de_la_categor_a_de","nombre_activo_de_informaci","idioma","medio_de_conservaci_n_y_o","formato","forma_de_consulta_o_acceso","fecha_de_generaci_n_de_la","lugar_de_publicaci_n_lugar","lugar_donde_se_encuentra","propietario","frecuencia_de_actualizaci","responsable_de_la_producci","responsable_de_la_informaci","tipo_documental","tiempo_de_publicaci_n_del","norma_de_publicaci_n","formato_de_publicaci_n","tiempo_de_conservaci_n","observaciones"
"20","ACTIVO","30-06-2021","Procesos Disciplinarios","Procesos - Pocesos Disciplinarios. PROCEDIMIENTO INDAGACIÓN PRELIMINAR","Español","Electrónico","Texto","Disponible","9/20/17","N/A","- SIGI","Control Interno Disciplinario","Según necesidad o cambio normativo","Control Interno Disciplinario","Control Interno Disciplinario","N/A","N/A","N/A","N/A","N/A",
"21","ACTIVO","30-06-2021","Procesos Disciplinarios","Procesos - Pocesos Disciplinarios. PROCEDIMIENTO INVESTIGACIÓN DISCIPLINARIA","Español","Electrónico","Texto","Disponible","9/20/17","N/A","- SIGI","Control Interno Disciplinario","Según necesidad o cambio normativo","Control Interno Disciplinario","Control Interno Disciplinario","N/A","N/A","N/A","N/A","N/A",
"22","ACTIVO","30-06-2021","Procesos Disciplinarios","Procesos - Pocesos Disciplinarios. PROCEDIMIENTO PLIEGO DE CARGOS","Español","Electrónico","Texto","Disponible","9/20/17","N/A","- SIGI","Control Interno Disciplinario","Según necesidad o cambio normativo","Control Interno Disciplinario","Control Interno Disciplinario","N/A","N/A","N/A","N/A","N/A",
"23","ACTIVO","30-06-2021","Procesos Disciplinarios","Procesos - Pocesos Disciplinarios. PROCEDIMIENTO FALLO","Español","Electrónico","Texto","Disponible","4/27/18","N/A","- SIGI","Control Interno Disciplinario","Según necesidad o cambio normativo","Control Interno Disciplinario","Control Interno Disciplinario","N/A","N/A","N/A","N/A","N/A",
"24","ACTIVO","30-06-2021","Procesos Disciplinarios","Procesos - Pocesos Disciplinarios. PROCEDIMIENTO VERBAL","Español","Electrónico","Texto","Disponible","4/27/18","N/A","- SIGI","Control Interno Disciplinario","Según necesidad o cambio normativo","Control Interno Disciplinario","Control Interno Disciplinario","N/A","N/A","N/A","N/A","N/A",
"25","ACTIVO","30-06-2021","Procesos Disciplinarios","Procesos - Pocesos Disciplinarios. PROCEDIMIENTO PARA GESTIONAR CONFLICTOS DE INTERES EN LA AGENCIA","Español","Electrónico","Texto","Disponible","12/14/20","N/A","- SIGI","Control Interno Disciplinario","Según necesidad o cambio normativo","Control Interno Disciplinario","Control Interno Disciplinario","N/A","N/A","N/A","N/A","N/A",
"26","ACTIVO","30-06-2021","Procesos Disciplinarios","Procesos - Pocesos Disciplinarios. Auto de apertura indagación preliminar","Español","Electrónico","Texto","Disponible","9/19/17","N/A","- SIGI","Control Interno Disciplinario","Según necesidad o cambio normativo","Control Interno Disciplinario","Control Interno Disciplinario","N/A","N/A","N/A","N/A","N/A",
"27","ACTIVO","30-06-2021","Procesos Disciplinarios","Procesos - Pocesos Disciplinarios. Auto que reconoce personería jurídica apoderado","Español","Electrónico","Texto","Disponible","9/19/17","N/A","- SIGI","Control Interno Disciplinario","Según necesidad o cambio normativo","Control Interno Disciplinario","Control Interno Disciplinario","N/A","N/A","N/A","N/A","N/A",
"28","ACTIVO","30-06-2021","Procesos Disciplinarios","Procesos - Pocesos Disciplinarios. Formato auto inhibitorio","Español","Electrónico","Texto","Disponible","9/19/17","N/A","- SIGI","Control Interno Disciplinario","Según necesidad o cambio normativo","Control Interno Disciplinario","Control Interno Disciplinario","N/A","N/A","N/A","N/A","N/A",
"29","ACTIVO","30-06-2021","Procesos Disciplinarios","Procesos - Pocesos Disciplinarios. Modelo Auto de Apertura Indagación Preliminar en Averiguación de Responsables","Español","Electrónico","Texto","Disponible","9/19/17","N/A","- SIGI","Control Interno Disciplinario","Según necesidad o cambio normativo","Control Interno Disciplinario","Control Interno Disciplinario","N/A","N/A","N/A","N/A","N/A",
"30","ACTIVO","30-06-2021","Procesos Disciplinarios","Procesos - Pocesos Disciplinarios. Modelo Notificación Personal apertura indagacion","Español","Electrónico","Texto","Disponible","9/19/17","N/A","- SIGI","Control Interno Disciplinario","Según necesidad o cambio normativo","Control Interno Disciplinario","Control Interno Disciplinario","N/A","N/A","N/A","N/A","N/A",
"31","ACTIVO","30-06-2021","Procesos Disciplinarios","Procesos - Pocesos Disciplinarios. Modelo Notificación por Edicto","Español","Electrónico","Texto","Disponible","9/19/17","N/A","- SIGI","Control Interno Disciplinario","Según necesidad o cambio normativo","Control Interno Disciplinario","Control Interno Disciplinario","N/A","N/A","N/A","N/A","N/A",
"32","ACTIVO","30-06-2021","Procesos Disciplinarios","Procesos - Pocesos Disciplinarios. Modelo Comunicación Entes de Control Apertura Indagación Preliminar","Español","Electrónico","Texto","Disponible","9/19/17","N/A","- SIGI","Control Interno Disciplinario","Según necesidad o cambio normativo","Control Interno Disciplinario","Control Interno Disciplinario","N/A","N/A","N/A","N/A","N/A",
"33","ACTIVO","30-06-2021","Procesos Disciplinarios","Procesos - Pocesos Disciplinarios. Modelo auto que decreta pruebas de oficio","Español","Electrónico","Texto","Disponible","9/19/17","N/A","- SIGI","Control Interno Disciplinario","Según necesidad o cambio normativo","Control Interno Disciplinario","Control Interno Disciplinario","N/A","N/A","N/A","N/A","N/A",
"34","ACTIVO","30-06-2021","Procesos Disciplinarios","Procesos - Pocesos Disciplinarios. Modelo diligencia de declaración testimonial","Español","Electrónico","Texto","Disponible","9/19/17","N/A","- SIGI","Control Interno Disciplinario","Según necesidad o cambio normativo","Control Interno Disciplinario","Control Interno Disciplinario","N/A","N/A","N/A","N/A","N/A",
"35","ACTIVO","30-06-2021","Procesos Disciplinarios","Procesos - Pocesos Disciplinarios. Modelo diligencia versión libre","Español","Electrónico","Texto","Disponible","9/19/17","N/A","- SIGI","Control Interno Disciplinario","Según necesidad o cambio normativo","Control Interno Disciplinario","Control Interno Disciplinario","N/A","N/A","N/A","N/A","N/A",
"36","ACTIVO","30-06-2021","Procesos Disciplinarios","Procesos - Pocesos Disciplinarios. AUTO DE ARCHIVO DEFINITIVO","Español","Electrónico","Texto","Disponible","9/20/17","N/A","- SIGI","Control Interno Disciplinario","Según necesidad o cambio normativo","Control Interno Disciplinario","Control Interno Disciplinario","N/A","N/A","N/A","N/A","N/A",
"37","ACTIVO","30-06-2021","Procesos Disciplinarios","Procesos - Pocesos Disciplinarios. CONSTANCIA DE EJECUTORIA","Español","Electrónico","Texto","Disponible","9/20/17","N/A","- SIGI","Control Interno Disciplinario","Según necesidad o cambio normativo","Control Interno Disciplinario","Control Interno Disciplinario","N/A","N/A","N/A","N/A","N/A",
"38","ACTIVO","30-06-2021","Procesos Disciplinarios","Procesos - Pocesos Disciplinarios. Modelo Comunicación interna Apertura Indagación o investigación","Español","Electrónico","Texto","Disponible","9/20/17","N/A","- SIGI","Control Interno Disciplinario","Según necesidad o cambio normativo","Control Interno Disciplinario","Control Interno Disciplinario","N/A","N/A","N/A","N/A","N/A",
"39","ACTIVO","30-06-2021","Procesos Disciplinarios","Procesos - Pocesos Disciplinarios. AUTO DE APERTURA INVESTIGACIÓN DISCIPLINARIA","Español","Electrónico","Texto","Disponible","9/22/17","N/A","- SIGI","Control Interno Disciplinario","Según necesidad o cambio normativo","Control Interno Disciplinario","Control Interno Disciplinario","N/A","N/A","N/A","N/A","N/A",
"40","ACTIVO","30-06-2021","Procesos Disciplinarios","Procesos - Pocesos Disciplinarios. Modelo Comunicación Entes de Control Investigación Disciplinaria","Español","Electrónico","Texto","Disponible","9/19/17","N/A","- SIGI","Control Interno Disciplinario","Según necesidad o cambio normativo","Control Interno Disciplinario","Control Interno Disciplinario","N/A","N/A","N/A","N/A","N/A",
"41","ACTIVO","30-06-2021","Procesos Disciplinarios","Procesos - Pocesos Disciplinarios. AUTO PRÓRROGA TÉRMINO DE LA INVESTIGACIÓN DISCIPLINARIA","Español","Electrónico","Texto","Disponible","9/19/17","N/A","- SIGI","Control Interno Disciplinario","Según necesidad o cambio normativo","Control Interno Disciplinario","Control Interno Disciplinario","N/A","N/A","N/A","N/A","N/A",
"42","ACTIVO","30-06-2021","Procesos Disciplinarios","Procesos - Pocesos Disciplinarios. AUTO QUE ORDENA EL CIERRE DE LA INVESTIGACIÓN","Español","Electrónico","Texto","Disponible","9/20/17","N/A","- SIGI","Control Interno Disciplinario","Según necesidad o cambio normativo","Control Interno Disciplinario","Control Interno Disciplinario","N/A","N/A","N/A","N/A","N/A",
"43","ACTIVO","30-06-2021","Procesos Disciplinarios","Procesos - Pocesos Disciplinarios. Comunicación cierre de investigación","Español","Electrónico","Texto","Disponible","9/20/17","N/A","- SIGI","Control Interno Disciplinario","Según necesidad o cambio normativo","Control Interno Disciplinario","Control Interno Disciplinario","N/A","N/A","N/A","N/A","N/A",
"44","ACTIVO","30-06-2021","Procesos Disciplinarios","Procesos - Pocesos Disciplinarios. AUTO RESOLVIENDO RECURSO DE REPOSICIÓN","Español","Electrónico","Texto","Disponible","9/20/17","N/A","- SIGI","Control Interno Disciplinario","Según necesidad o cambio normativo","Control Interno Disciplinario","Control Interno Disciplinario","N/A","N/A","N/A","N/A","N/A",
"45","ACTIVO","30-06-2021","Procesos Disciplinarios","Procesos - Pocesos Disciplinarios. AUTO PLIEGO DE CARGOS","Español","Electrónico","Texto","Disponible","9/20/17","N/A","- SIGI","Control Interno Disciplinario","Según necesidad o cambio normativo","Control Interno Disciplinario","Control Interno Disciplinario","N/A","N/A","N/A","N/A","N/A",
"46","ACTIVO","30-06-2021","Procesos Disciplinarios","Procesos - Pocesos Disciplinarios. AUTO NIEGA O DECRETA DE PRUEBAS DESPUÉS DE LOS CARGOS","Español","Electrónico","Texto","Disponible","9/20/17","N/A","- SIGI","Control Interno Disciplinario","Según necesidad o cambio normativo","Control Interno Disciplinario","Control Interno Disciplinario","N/A","N/A","N/A","N/A","N/A",
"47","ACTIVO","30-06-2021","Procesos Disciplinarios","Procesos - Pocesos Disciplinarios. AUTO TRASLADO ALEGATOS DE CONCLUSIÓN","Español","Electrónico","Texto","Disponible","9/20/17","N/A","- SIGI","Control Interno Disciplinario","Según necesidad o cambio normativo","Control Interno Disciplinario","Control Interno Disciplinario","N/A","N/A","N/A","N/A","N/A",
"48","ACTIVO","30-06-2021","Procesos Disciplinarios","Procesos - Pocesos Disciplinarios. FALLO PRIMERA INSTANCIA","Español","Electrónico","Texto","Disponible","9/20/17","N/A","- SIGI","Control Interno Disciplinario","Según necesidad o cambio normativo","Control Interno Disciplinario","Control Interno Disciplinario","N/A","N/A","N/A","N/A","N/A",
"49","ACTIVO","30-06-2021","Procesos Disciplinarios","Procesos - Pocesos Disciplinarios. Modelo comunicación Fallo 1a Instancia Implicado y/o apoderado","Español","Electrónico","Texto","Disponible","9/20/17","N/A","- SIGI","Control Interno Disciplinario","Según necesidad o cambio normativo","Control Interno Disciplinario","Control Interno Disciplinario","N/A","N/A","N/A","N/A","N/A",
"50","ACTIVO","30-06-2021","Procesos Disciplinarios","Procesos - Pocesos Disciplinarios. DECLARACIÓN DE SITUACIÓN DE CONFLICTO DE INTERESES","Español","Electrónico","Texto","Disponible","12/14/20","N/A","- SIGI","Control Interno Disciplinario","Según necesidad o cambio normativo","Control Interno Disciplinario","Control Interno Disciplinario","N/A","N/A","N/A","N/A","N/A",
"51","ACTIVO","30-06-2021","Procesos Disciplinarios","Procesos - Pocesos Disciplinarios.","Español","Electrónico/Físico","- Texto
- Audio
- Video
- Correo Electrónico","Disponible","11/29/19","N/A","- ORFEO","Control Interno Disciplinario","N/A","Control Interno Disciplinario","Control Interno Disciplinario","N/A","N/A","N/A","N/A","N/A",
"52","ACTIVO","30-06-2021","SOFTWARE","Aplicativo Mantis","Español","- N/A","- N/A","N/A","N/A","N/A","N/A","Gestión de información de defensa jurídica","N/A","Dirección de Gestión de Información","Gestión de información de defensa jurídica","N/A","N/A","N/A","N/A","N/A",
"53","ACTIVO","30-06-2021","Proyectos de desarrollo del Sistema Único de Gestión e Información Litigiosa del Estado.","Requerimientos técnicos y funcionales del sistema Ekogui","Español","Electrónico","- Base de Datos","Disponible","4/1/15","N/A","Enterprise Architect","Gestión de información de defensa jurídica","N/A","Dirección de Gestión de Información","Gestión de información de defensa jurídica","N/A","N/A","N/A","N/A","N/A",
"54","ACTIVO","30-06-2021","Informes de litigiosidad","Informe o Reporte de Litigiosa","Español","Electrónico","- Texto
- Hoja de Cálculo
- Presentación
- Documento Gráfico
- Base de Datos","Publicado/Disponible","N/A","Página Web Andje","- SERVIDORES DE ALMACENAMIENTO","Gestión de información de defensa jurídica","N/A","Dirección de Gestión de Información","Gestión de información de defensa jurídica","N/A","N/A","N/A","N/A","N/A",
"55","ACTIVO","30-06-2021","SOFTWARE","Sistema eKOGUI","Español","- N/A","- N/A","N/A","N/A","N/A","N/A","Gestión de información de defensa jurídica","N/A","Dirección de Gestión de Información","Gestión de información de defensa jurídica","N/A","N/A","N/A","N/A","N/A",
"56","ACTIVO","30-06-2021","Planes de monitoreo, depuración y actualización de la información en el Sistema Único de Gestión e Información Litigiosa del Estado.","Documentos para el monitoreo de la calidad de la información del Sistema Único de Gestión e Información Litigiosa del Estado.","Español","Electrónico","Texto
Hoja de cálculo 
Presentación  
Correo electrónico","Disponible","3/15/17","N/A","Servidores de Almacenamiento Oficiales","Gestión de información de defensa jurídica","N/A","Dirección de Gestión de Información","Gestión de información de defensa jurídica","N/A","N/A","N/A","N/A","N/A",
"57","ACTIVO","30-06-2021","Informes de Gestión","Informe","Español","Electrónico","- Texto
- Hoja de Cálculo
- Presentación
- Documento Gráfico
- Video
- Compresión","Disponible","4/1/15","N/A","- ORFEO
- SERVIDORES DE ALMACENAMIENTO","Gestión de información de defensa jurídica","Trimestral","Dirección de Gestión de Información","Gestión de información de defensa jurídica","N/A","N/A","N/A","N/A","N/A",
"58","ACTIVO","30-06-2021","INFORMES/Informes de litigiosidad","Códigos para generación del informe o reporte","Español","N/A","- N/A","Disponible","4/1/15","N/A","SERVIDORES DE ALMACENAMIENTO","Gestión de información de defensa jurídica","Diaria","Dirección de Gestión de Información","Gestión de información de defensa jurídica","N/A","N/A","N/A","N/A","N/A",
"59","ACTIVO","30-06-2021","Planes de Gestión del Cambio","Documentos para la realización de capacitaciones y seguimiento de las mismas.","Español","Electrónico","- Texto
- Hoja de Cálculo
- Presentación
- Video","Publicado/Disponible","3/1/15","Micrositio Ekogui","- SERVIDORES DE ALMACENAMIENTO","Gestión de información de defensa jurídica","Cada vez que se genere una nueva versión","Dirección de Gestión de Información","Gestión de información de defensa jurídica","N/A","N/A","N/A","N/A","N/A",
"60","ACTIVO","30-06-2021","SOFTWARE","Aplicativo JIRA","Español","N/A","- N/A","N/A","N/A","N/A","N/A","Gestión de información de defensa jurídica","N/A","Dirección de Gestión de Información","Gestión de información de defensa jurídica","N/A","N/A","N/A","N/A","N/A",
"61","ACTIVO","30-06-2021","Informes de litigiosidad","Matriz de Arbitramientos","Español","Electrónico","- Hoja de Cálculo","Disponible","4/1/15","N/A","- ORFEO
- SERVIDORES DE ALMACENAMIENTO","Gestión de información de defensa jurídica","N/A","Dirección de Gestión de Información","Gestión de información de defensa jurídica","N/A","N/A","N/A","N/A","N/A",
"62","ACTIVO","30-06-2021","Proyectos de desarrollo del Sistema Único de Gestión e Información Litigiosa del Estado.","Manuales (usuario e instalación)","Español","Electrónico","- Texto","Disponible","3/1/15","N/A","Aplicativo Enterprise architect , Servidores de Almacenamiento Oficiales","Gestión de información de defensa jurídica","N/A","Dirección de Gestión de Información","Gestión de información de defensa jurídica","N/A","N/A","N/A","N/A","N/A",
"63","ACTIVO","30-06-2021","Planes de mejoramiento a la calidad de la información en el Sistema Único de Gestión e Información Litigiosa del Estado.","Actas de reuniones con las entidades","Español","Electrónico/Físico","Texto 
Presentación","Disponible","4/1/15","N/A","- ORFEO
- SERVIDORES DE ALMACENAMIENTO","Gestión de información de defensa jurídica","N/A","Dirección de Gestión de Información","Gestión de información de defensa jurídica","N/A","N/A","N/A","N/A","N/A",
"64","ACTIVO","30-06-2021","PROYECTOS/Proyectos de desarrollo del Sistema Único de Gestión e Información Litigiosa del Estado.","Código Fuente","Español","Electrónico","- N/A","Disponible","4/1/15","N/A","- SERVIDORES DE ALMACENAMIENTO","Gestión de información de defensa jurídica","N/A","Dirección de Gestión de Información","Gestión de información de defensa jurídica","N/A","N/A","N/A","N/A","N/A",
"65","ACTIVO","30-06-2021","SOLICITUDES DE INFORMACIÓN","Solicitudes de Información","Español","Electrónico/Físico","Texto","Publicado/Disponible","En el momento de generar la información.","Página Web ANDJE","Sistema de Información - ORFEO, Archivo Gestión Documental","Gestión del conflicto jurídico","N/A","Dirección de Defensa Jurídica Nacional","Gestión del conflicto jurídico","N/A","N/A","N/A","N/A","N/A",
"66","ACTIVO","30-06-2021","SOLICITUDES TERRITORIALES","Solicitud de Representación Judicial de entidades Territoriales.","Español","Electrónico/Físico","Texto
Hoja de cálculo 
Presentación 
Documento gráfico
 Audio 
Video 
Compresión 
Web 
Correo electrónico
Mensajería instantánea","Disponible","A solicitud","N/A","Sistemas de Información (ORFEO, 
Archivo Gestión Documental, Servidores de Almacenamiento Oficiales.","Gestión del conflicto jurídico","N/A","Grupo de Asesoría Territorial a municipios de 4a, 5a y 6a Categoría, Recuperación de recursos públicos y acción de repetición","Gestión del conflicto jurídico","N/A","N/A","N/A","N/A","N/A",
"67","ACTIVO","30-06-2021","CONCILIACIONES","Solicitud de conciliación extrajudicial","Español","Electrónico/Físico","Texto
Hoja de cálculo 
Presentación 
Documento gráfico
 Audio 
Video 
Compresión 
Web 
Correo electrónico
Mensajería instantánea","Disponible","En el momento de generar la información.","N/A","Sistemas de Información (ORFEO, eKogui
Archivo Gestión Documental, Servidores de Almacenamiento Oficiales.","Gestión del conflicto jurídico","N/A","Dirección de Defensa Jurídica Nacional","Gestión del conflicto jurídico","N/A","N/A","N/A","N/A","N/A",
"68","ACTIVO","30-06-2021","SOLICITUDES TERRITORIALES","Solicitud asesoría de defensa judicial de municipio","Español","Electrónico/Físico","Texto
Hoja de cálculo 
Presentación 
Documento gráfico
 Audio 
Video 
Compresión 
Web 
Correo electrónico
Mensajería instantánea","Disponible","A solicitud","N/A","Sistemas de Información (ORFEO, 
Archivo Gestión Documental, Servidores de Almacenamiento Oficiales.","Gestión del conflicto jurídico","N/A","Grupo de Asesoría Territorial a municipios de 4a, 5a y 6a Categoría, Recuperación de recursos públicos y acción de repetición","Gestión del conflicto jurídico","N/A","N/A","N/A","N/A","N/A",
"69","ACTIVO","30-06-2021","SEGUIMIENTO","Seguimiento medio de control de repetición","Español","Electrónico/Físico","Texto
Hoja de cálculo 
Presentación 
Documento gráfico
 Compresión 
Web 
Correo electrónico
Mensajería instantánea","Disponible","7/1/14","N/A","Servidores de Almacenamiento Oficiales.","Gestión del conflicto jurídico","N/A","Grupo de Asesoría Territorial a municipios de 4a, 5a y 6a Categoría, Recuperación de recursos públicos y acción de repetición","Gestión del conflicto jurídico","N/A","N/A","N/A","N/A","N/A",
"70","ACTIVO","30-06-2021","PROCESOS","Procesos Judiciales","Español","Electrónico/Físico","Texto
Hoja de cálculo 
Presentación 
Documento gráfico
 Audio 
Video 
Compresión 
Web 
Correo electrónico
Mensajería instantánea","Disponible","En el momento de generar la información.","N/A","Sistemas de Información (ORFEO,
Archivo Gestión Documental, Servidores de Almacenamiento Oficiales.","Gestión del conflicto jurídico","N/A","Dirección de Defensa Jurídica Nacional","Gestión del conflicto jurídico","N/A","N/A","N/A","N/A","N/A",
"71","ACTIVO","30-06-2021","PROCESOS","Procesos de Arbitramento","Español","Electrónico/Físico","Texto
Hoja de cálculo 
Presentación 
Documento gráfico
 Audio 
Video 
Compresión 
Web 
Correo electrónico
Mensajería instantánea","Disponible","En el momento de generar la información.","N/A","Sistemas de Información (ORFEO,
Archivo Gestión Documental, Servidores de Almacenamiento Oficiales.","Gestión del conflicto jurídico","N/A","Dirección de Defensa Jurídica Nacional","Gestión del conflicto jurídico","N/A","N/A","N/A","N/A","N/A",
