"nombreestablecimiento","direccion","telefono","codigo_etc","internado","correo_electronico"
"COL SUPERIOR AMERICANO                                                                              ","KR 71 C 3 A 41","2621182 -- 2621997","RICARDO IBAÑEZ MARÍN",,"superioramericano@hotmail.com -- colegio@superioramericano.edu.co"
"GIMN ACAD REGIONAL                                                                                  ","KR 108 139 26","6883083","ELBA LUCENA JIMENEZ CORTES",,"subagar11@hotmail.com   GIMNASIO_ACADEMICOR@YAHOO.COM                            "
"CENT PANAMERICANO DE CAPACITACION SEDE SUBA                                                         ","CL 146 A 94 D 19","6863928 -- 3123616215","FERNANDO ANTONIO VENEGAS MACIAS",,"subacpc@gmail.com -- ferve2000@hotmail.com"
"INST  EDUC COMPARTIR SUBA                                                                           ","KR 128 146 52","6970024 -- 6971161 -- 6870818","RAFAEL ANTONIO DEHAQUIZ MEJIA",,"suba@colegioscompartir.org"
"COL STELLA MATUTINA                                                                                 ","KR 61 182 60","6711332 / 6718869                                 ","SOR MARÍA CONSUELO CORREDOR FONNEGRA",,"stellamatutina@geomundos.com                      "
"INST SAN RICARDO PAMPURI                                                                            ","KR 81 J 46 44 SUR","4504980 -- 2998905","CARLOS ANDRES MORA RODRIGUEZ",,"srpampuri@hotmail.com"
"JARD INF EL HOGAR QUE SOÑE                                                                          ","CL 132 38 33","2169181","SONIA NUÑEZ RIVERA",,"sonianu133@hotmail.com   sonia_jardin@hotmail.com                            "
"JARD INF SOL SOLECITO                                                                               ","CL 36 J SUR 3 C 29 ESTE","3640492","GLORIA PATRICIA LARGO TORRES",,"solsolecito@etb.net.co -- j.i.solsolecito@etb.net.co -- henyjohanna_5@yahoo.es"
"COL NUEVA GRANADA                                                                                   ","KR 2 ESTE 70 20","2123511 -- 3599355","ERIC HABEGGER",,"sngrana@coll.telecom.com.co"
"COL SAN MATEO APOSTOL                                                                               ","CL 215 50 24","6760885 -- 3074700","CARLOS ALBERTO CASAS HERRERA",,"sma@csma.edu.co -- secretaria@csma.edu.co  --  rectoria@csma.edu.co"
"INSTITUTO TÉCNICO CENTRAL","CL 13 16 74","3443000","HNO. JOSÉ GREGORIO CONTRERAS FERNÁNDEZ",,"sistemas@itc.edu.co                               "
"INST SAN JUAN DE DIOS                                                                               ","CL 17 SUR 7 15","2722360 -- 7435555","JUAN CARLOS GARZON VARGAS",,"sistemas@institutosanjuandedios.com.co -- secretaria@isjd.edu.co"
"SESAMO NIÑOS PREESCOLAR","CR. 6 NO.77-38","2552292","SANDRA SANCHEZ TORRES",,"sesamokids@cable.net.co"
"JARD INF SEMILLITAS - BILINGÜE                                                                      ","CL 99 71 03","2536241 -- 5337640","DAMARIS CALDERON DUARTE",,"semillitasbilingue@yahoo.com"
"LIC ECOLOGICO DEL NORTE                                                                             ","CR. 98A NO.156D-26","6822591 / 6839957                                 ","JULIA ALICIA PELAEZ CASTILLO",,"semillasverdes@hotmail.com                        "
"SEMILLAS DE SECUOYAS - CENTRO PARA EL DESARROLLO DEL POTENCIAL DEL NIÑO","KR 47 104 05","5337018 - 2575679","GAITAN MONRROY GLORIA ",,"semillasdesecuoyas@gmail.com"
"COLEGIO SAN ÁNGEL","CL 1 31 D 47","2471347 -- 2741347","JUAN GABRIEL GARAVITO BELTRAN",,"semilladevidaadmon@hotmail.com"
"COL CRISTIANO SEMILLA DE VIDA                                                                       ","CL 1 F 31 11","2774511","JULIO CESAR OROZCO GUZMÁN",,"sedevischool@yahoo.com"
"COL CRISTIANO SEMILLA DE VIDA EDUCACION PARA ADULTOS                                                ","CL 2 31 17","2774511","JULIO CESAR OROZCO",,"sedevi@multiphone.net.co   semilladevidaadmon@hotmail.com        "
"COL TRIANGULO RESTREPO","CL 22 SUR 16 69","5996102 / 3613698","ALEXANDER AVILA ROMERO",,"sederestrepo@institutotriangulo.edu.co"
"COL TRIANGULO CENTRO                                                                                ","KR 10 18 36 PI 2","3415249 -- 2866066","ALEXANDER AVILA ROMERO",,"sedecentro@institutotriangulo.edu.co"
"COL FRANCISCANO DEL VIRREY SOLIS                                                                    ","CL 195 50 65","6785410","FRAY JOAQUIN ARTURO ECHEVERRY HINCAPIE OFM",,"secretaria@virreysolis.edu.co"
"COL TERESIANO                                                                                       ","CL 152 20 42","2742283 -- 2580265","HNA MARTA RAMIREZ VELEZ",,"secretariateresiano@hotmail.com"
"COLEGIO TALENTOS","KR 71 D 4 71","4030384","WILLIAM GERMÁN ROJAS SERRATO",,"secretaria@talentos.edu.co -- talentosamerica@hotmail.com"
"COL PUREZA DE MARIA                                                                                 ","KR 7 147 02","2585512 -- 2585513","HNA DIANA GIL SANTA",,"secretaria@purezabogota.edu.co"
"LIC CULT MOSQUERA                                                                                   ","KR 90 D 42 20 SUR","4540605","ROSAURA BECERRA PALACIOS",,"secretaria@liceoculturalmosquera.edu.co  --  rosaurabece02@hotmail.es"
"CENTRO LESTONNAC COMPAÑIA DE MARIA","KR 87 A 84 A 81","7429275 -- 2513498 -- 5357220 -- 4382143","HNA MARIA FERNANDA NIÑO MARTINEZ",,"secretaria.lestonnacbog@cdm.edu.co -- lestonnbogota@hotmail.com"
"LIC CATOLICO CAMPESTRE                                                                              ","KR 52 221 08","6761445 -- 6761241 -- 6761330","LUIS FERNANDO MURCIA ANGARITA",,"secretaria@lcc.edu.co"
"JARD INF CHIQUILINES                                                                                ","AC 24 81 45","4106306","ADOLFO ENRIQUE SANCHEZ ZAPATA",,"secretaria@jardinchiquilines.com -- informacion@jardinchiquilines.edu.co"
"COL HISPANOAMERICANO CONDE ANSUREZ                                                                  ","KR 67 173 A 80","6717124","MARIA HELENA MATAMALA SEÑOR",,"secretaria@hispanoamericano.edu.co"
"GIMN LOS ANGELES                                                                                    ","KR 97 22 A 32","2670129 -- 2670149 -- 2672812","DARYED CHAPARRO CALDERON",,"secretaria@gimnasiolosangeles.com -- leticia.1958@hotmail.com"
"GIMN EL HONTANAR","KR 76 150 26","6807666 -- 6815287","OMAR CACERES GALVIS",,"secretaria@gimnasiohontanar.edu.co -- gimnasiohontanar@yahoo.es"
"GIMN FIDEL CANO                                                                                     ","CL 23 81 D 11","2636875","MARIA EULALIA NARANJO LANDINEZ",,"secretaria@gfc.edu.co"
"FUND COL MAYOR DE SAN BARTOLOME                                                                     ","KR 7 9 96","4442530","PADRE HUGO ALEXIS MORENO ROJAS  S.J.",,"secretariageneral@sanbartolome.edu.co -- mayor@sanbartolome.edu.co"
"CENTRO DE FORMACION SAN FRANCISICO DE ASIS - CENFOR","TV 60 128 A 51","2538547","JHON ALEJANDRO DIOSA GARCIA",,"secretariageneral@cenfor.edu.co corporacion.cenfor@gmail.com direccion.cenfor@gmail.com"
"FUND EDUC ANA RESTREPO DEL CORRAL                                                                   ","CL 130 1 10 ESTE","2584802 -- 2162437","LUIS EDUARDO PINEDA GONZALEZ",,"secretaria@fundacionanarestrepo.edu.co"
"COL DE LA ENSEÑANZA                                                                                 ","AC 201 67 12","7430535","MARIA HELENA PEÑA AFANADOR ODN",,"secretaria.ensenanzabog@cdm.edu.co -- secretaria@colegiodelaensenanza.edu.co"
"COL PARROQ DE LOS SANTOS APOSTOLES                                                                  ","CL 57 C BIS SUR 79 C 41","7459044/45","HNO. ANDRES CARDENAS GOMEZ FSC",,"secretariacpsa@gmail.com"
"COLEGIO CORAZONISTA ","CL 200 60 00","6683360","HNO JOSE OMAR HOYOS CIRO",,"secretaria@corazonistabogota.com"
"COL MILIT JOSE ANTONIO GALAN                                                                        ","KR 103 B 17 31","2674632 -- 4158115 -- 4212144 -- 2670775","JOSE ANTONIO RUIZ AYALA",,"secretaria@colmiljoseantoniogalan.com -- josearuiza@hotmail.com"
"COLEGIO SANTO DOMINGO BILINGÜE","KR 72 P 38 A 17 SUR","7450600","FLAVIO JAVIER BURBANO TORRES",,"secretaria@colegiosantodomingo.edu.co flavioburbano@hotmail.com"
"COL PARROQ SAN JOSE DE FONTIBON                                                                     ","KR 100 24 60","4133127 -- 2670452","AMELIA CERVERA CHAUX",,"secretaria@colegioparroquialsanjose.edu.co - administradora@colegioparroquialsanjose.edu.co"
"CENT EDUC SAGRADA FAMILIA DE NAZARETH                                                               ","KR 50 166 75","6698309","HNA INMACULADA VELASCO POLONIO",,"secretaria@colegionazaret.edu.co"
"COL LISA MEITNER                                                                                    ","AV CORPAS 158 55","6835520 -- 6835704 -- 6835561","CARLOS ARTURO HOYOS",,"secretaria@colegiolisameitner.edu.co -- rectoria@colegiolisameitner.edu.co"
"COL EUCARISTICO                                                                                     ","CL 170 17 A 32","6722474 -- 6700734","MARIA CRISTINA TRILLOS NAUZA",,"secretaria@colegioeucaristico.edu.co"
"COLEGIO CANAPRO                                                                                ","CL 173 19 35","7425670","DEISSY RUSSI DE VILLAMIL",,"secretaria@colegiocanapro.edu.co -- rectoria@colegiocanapro.edu.co -- colcanapro@hotmail.com"
"COLEGIO BILINGÜE JOSE ALLAMANO","CL 4 56 03","2607911 -- 2611890","LUIGI DURAVIA CARRETA",,"secretaria@colegioallamano.edu.co"
"COL ANTONIO NARIÑO H.H. CORAZONISTAS                                                                ","CL 63 15 70","4674125  --  2496521","HNO GERARDO LEON GUACA FUENTES",,"secretaria.can@corazonistas.edu.co"
"GIMNASIO INFANTIL BILINGUE BRONNY TAIT","KR 47 95 47","6011530 -- 3112332542","BERNANRDA MARTINEZ GRAJALES",,"secretariabronny@mijardininfantil.edu.co"
"COLEGIO AGUSTINIANO TAGASTE","KR 88 11 A 21","4096160","PADRE WILLIAM DARIO HINCAPIE VELASQUEZ",,"secretaria@agustinianotagaste.edu.co"
"GIMNASIO LOS ARRAYANES","CL 219 50 10","6760203 -- 6760227","RICARDO SANCHEZ DIAZ",,"secretariaac@gla.edu.co -- info@gla.edu.co"
"LIC  DE CERVANTES PADRES AGUSTINOS                                                                  ","CL 153 19 39","6141174","RDO NELSON GALLEGO OROZCO",,"secretariaacademica@liceocervantes.edu.co -- rectoria@liceocervantes.edu.co"
"COLEGIO FUNDACIÓN NUEVA GRANADA","KR 2 ESTE 67 50","3472469 -- 3460290","XIMENA MARGARITA CORREDOR ARÉVALO",,"secretariaacademica@hogarnuevagranada.org--xcorredor@hogarnuevagranada.org--fhnuevagranada@yahoo.com"
"GIMNASIO CAMPESTRE DE GUILFORD","KM 7 VIA SUBA-COTA VDA CHORRILLOS","6809354  --  6852701","JACKSON ANDRES GARZON QUINTERO",,"secretariaacademica@gimnasiodeguilford.edu.co"
"GIMNASIO CAMPESTRE GEORGE BERKELEY BILINGUE","IND KM 7 VIA SUBA - COTA VDA CHORRILLOS","6809592/93/94","YAMID VALENCIA",,"secretariaacademica@gimberkeley.edu.co"
"COLEGIO SALUDCOOP NORTE (IED)","CL 181 # 18 B - 83","6775954  --  6682102 EXT104","MARIA LIGIA DELGADO DE SANTAMARIA",,"secretaria.academica@colsaludcoopnorte.edu.co -- colsaludcoopnorte@redp.edu.co"
"COL MILITAR COOP JUSTINIANO QUIÑONEZ ANGULO","CL 40 F SUR 77 A 11","4515782  --  4516649 ","JAIME IVAN QUIÑONEZ TRIANA",,"secretariaacademica@colegiomilitarjqa.edu.co -- colegiojqa@gmail.com"
"COL DEL SANTO ANGEL                                                                                 ","CL 165 7 21","6711524 -- 6711087 -- 6784677 -- 3115182794","HNA ISABEL GARCIA DE LA PARTE",,"secretaria.academica@colegiodelsantoangel.edu.co"
"COL CHAMPAGNAT                                                                                      ","KR 17 39 B 51","3403440","EDGAR HERNAN LOZANO RICO",,"secretariaacademica@colegiochampagnat.edu.co"
"COL SAN BARTOLOME LA MERCED                                                                         ","KR 5 33 B 80","3436300","CARLOS EDUARDO CORREA JARAMILLO SJ",,"sec_general@sanbartolo.edu.co -- sblmvi@sanbartolo.edu.co"
"INST SAN BERNARDO DE LA SALLE                                                                       ","CL 2 12 39","2335700","HNO JAIRO ANTONIO HERNANDEZ JAUREGUI  FSC",,"sec_general@isblasalle.edu.co -- rectoria@isblasalle.edu.co"
"GIMN JOSE JOAQUIN CASAS                                                                             ","AK 7 173 02","6742136","JAIME LEAL GONZALEZ",,"secademica@gimnasiojjcasas.edu.co"
"COL LOS NOGALES                                                                                     ","CL 202 56 50","6761128","IAN CROSSLAND",,"sec_academica@nogales.edu.co"
"JARD INF CHIKKOS                                                                                    ","CL 22 C 42 C 08","2446998","CLAUDINA MARIA VILLAMIZAR BERMUDEZ",,"schoolgarden23@hotmail.com"
"LIC  EL CASTILLO                                                                                    ","KR 82 BIS 7 D 08","4128378 -- 2925184","LUZ STELLA CRUZ PAVA",,"sarita875@hotmail.com"
"INSTITUTO DE EDUCACION FORMAL PARA ADULTOS EL CASTILLO","KR 82 BIS 7 D 08","4128378 -- 3158572 -- 3143325041","LUZ STELLA CRUZ PAVA",,"sarita875@hotmail.com"
"COLEGIO DE INTEGRACION CULTURAL COLDIC","KR 50 1 D 79","4084275 -- 8100115","SANDRA PRIETO RODRIGUEZ",,"sapriro@gmail.com"
"COL SAN VIATOR                                                                                      ","IND AUTOPISTA NORTE NO. 209- 51","6760997 -- 6760957 ","ALBEYRO DE JESUS VANEGAS BEDOYA CSV ",,"sanviator@hotmail.com   secretaria@sanviator.edu.co"
"COL JARD SANTI STEFFANO                                                                             ","AV. 6 ANTIGUA NO.19-43/45","2338732 / 3373059                                 ","GLORIA PATRICIA RIOS",,"santisteffano@latinmail.com                       "
"LIC SANTILLANA                                                                                      ","KR 2 A ESTE 46 B 33 SUR","2068527","JUDITH RODRIGUEZ RINCON",,"santi2286@hotmail.com -- jur-14@hotmail.com"
"LIC INF SANTA TERESITA DE LISIEUX                                                                   ","CL 11 A BIS 73 A 27","4111778 -- 4112467","NELLY ISLENY LOZADA MELO",,"santatere88@hotmail.com"
"GIMN SANTA ROCIO                                                                                    ","KR 68 D 54 A 31 SUR","2389339 / 2043645  /8050162","ELISA NIÑO ROMERO",,"santarocio@hotmail.com                            "
"COL PARROQ SANTA ISABEL DE HUNGRIA                                                                  ","CL 39 SUR 51 B 15","7439100","WILLIAM CASAS VELASQUEZ",,"santaisab@hotmail.com"
"COL SAN SIMON                                                                                       ","CL 169 A 54 50","6782157 / 6714576                                 ","LUISA FERNANDA ORDONEZ VARGAS",,"sansimon@007mundo.com                             "
"PSICOPEDAGOGICO LUMINOSO","CL 29 A SUR 37 50","7591346 -- 2025767","LINA MARCELA ALDANA VELEZ",,"sanmafe2003@hotmail.com.es -- jaimecamargomolina@hotmail.com"
"COL SAN LUIS DE LA POLICIA NAL","AV BOYACA 142 A 55","6855151 / 6247678","HERIBERTO DE JESÚS NARANJO CARDONA",,"sanluisponal@hotmail.com ana.rojas@correo.policia.gov.co "
"COL SAN LUCAS                                                                                       ","KR 31 D 1 F 44","5622048 -- 5613821","EULALAIA CORREDOR AYALA",,"sanlucascol@hotmail.com"
"COL SAN JUAN DE MAYORGA                                                                             ","CL 7 A 70 B 54","2613025","NANCY GONZALEZ SANCHEZ",,"sanjuandemayorga@hotmail.com"
"COL SAN JORGE DE INGLATERRA                                                                         ","KR 92 156 88","6849175","JAIME HERNANDO ACOSTA ALLEN",,"sanjorge@sgs.edu.co "
"COL SAN JUAN DE AVIILA                                                                              ","KR 100 B 75 B 05","2281625 / 4424205/2288149","ROSA ESPERANZA BAEZ LIZARAZO",,"sanjavi@hotmail.com"
"INST EDUC DIST FE Y ALEGRIA SAN IGNACIO","CL 56 F SUR 91 D 14","5797771 -- 5797596","MERCEDES KALIL RINCON",,"sanignacio@feyalegria.org.co"
"CENTRO DE FORMACIÓN INTEGRAL MONTECARMELO","CL 17 A SUR 4 18","2721698 - 2094742","TANIA CORREA AGUILAR",,"sangregoriomagnobogta@gmail.com"
"JARD INF SAN GABRIEL ARCANGEL                                                                       ","CR 40 NO. 106-13","6243871","JANNETTE MORENO SANDOVAL",,"sangab@hotmail.com                                "
"COL SAN FELIPE NERI                                                                                 ","KR 27 C 71 80","2251144","P. BAYARDO ROSERO C.O.",,"san_felipe_neri2605@hotmail.com -- csfn@sanfelipeneribogota.edu.co -- colegiosanfelipeneri@gmail.com"
"COL MAYOR SAN BENITO APOSTOL                                                                        ","KR 69 K 68 89","2316742 /  6306615","MARTHA YANETH MARIN ANGULO",,"sanbenito@terra.com.co"
"COLEGIO SAN ÁNGEL SALITRE (ANTIGUO COLEGIO SAN ÁNGEL)","CL 22 B 44 A 90","8129895","CLAUDIA PATRICIA MOLINA RINCÓN",,"sanangelacademic@gmail.com"
"COLEGIO SOLIS","CL 19 SUR 5 29","8043073 -- 4096421","SANDRA PATRICIA QUINTERO",,"samirr2004@hotmail.com"
"JARD INF LUZ  DEL MAÑANA                                                                            ","CL 72 83 87","2521843","GLORIA EMPERATRIZ BERNAL NUÑEZ",,"saludosn@hotmail.com  ji.luzdelmanana@hotmail.com"
"COL DE SALERNO                                                                                      ","CL 2 B 5 78","2332579 -- 2335560","LUZ MARINA NEIRA VELOSA",,"salerno222@hotmail.com"
"JARD INF SAINT GREGORY                                                                              ","TV 35 114 42","2132685","MONICA LILIANA AMAYA SANCHEZ",,"saintgregorygardenschool@yahoo.com  molias17@hotmail.com               "
"ESC HOGAR SAGRADO CORAZON                                                                           ","CLL. 14 NO. 3-63","2861472 / 2869225                                 ","BERTHA LIGIA VALENCIA LOPEZ",,"sagradocorazon@colombia.com                       "
"COL SANTIAGO FELIPE                                                                                 ","KR 40 A 28 21 SUR","2029469","LUIS FELIPE MENDEZ RODRIGUEZ",,"sacofe@starmedia.com                              "
"GIMN FONTANA                                                                                        ","CL 221 108 20","7420303","AMPARO TRIANA DE ZULETA",,"s.academica@gimnasiofontana.edu.co"
"COL PEDAG JUAN JOSE NEIRA                                                                           ","KR 19 52 51 SUR","2056945 / 7676502                                 ","BLANCA SOFÍA RINTA PIÑEROS",,"rpjaneth@hotmail.com  sofripro@yahoo.es                             "
"ROYAL AMERICAN GARDEN (COLEGIO REAL AMERICANO)                                                      ","CL 55 76 51","2954744","GRACIELA SARMIENTO LUIS",,"royalamerican55@hotmail.com                       "
"GIMNASIO BURBUJAS DE SABIDURIA","CL 143 111 82","6886568","ROSALBA GAMBA GARAY",,"rositagaray3@hotmail.com"
"COL AS DEL FUTURO                                                                                   ","KR 17 M 69 B 32 SUR","7618647 /7661488","GERARDO OSPINA CHAVARRO",," rosca1997@hotmail.com"
"INST PSICOPEDAG ROSAL DE SUBA                                                                       ","CL 130 D 95 B 34","5397838","DEISY MILENA TARAZONA VELANDIA",,"rosaldesuba@yahoo.es"
"JARDÍN INFANTIL EL RINCÓN DEL ESPÍRITU CIENTÍFICO","KR 74 B 53 27","2952787","MÓNICA MARCELA CASTRO ACEVEDO",,"rincon_cientifico@hotmail.com"
"COL CASA ACAD CULTURAL","KR 18 35 50","2853506 -- 3384459 -- 7008186","ALIX MARIA CORZO PRADA",,"rinausa2@hotmail.com"
"JARDIN INFANTIL GOTICAS DE ILUSIONES","CL 81 105 03","4406016","SALAS MORENO MARGARITA",,"rgotilus66@hotmail.com"
"CENT EDUC Y CULT ESPAÑOL REYES CATOLICOS                                                            ","CL 127 A 11 B 54","6336992 -- 2747012 EXT 111","LUIS FERNANDEZ LOPEZ",,"reyescatolicos.co@mecd.es"
"LIC REYCED                                                                                          ","KR 42 BIS 10 27 SUR","2021751","AYDA LUZ ANGULO",,"reycediel@skytv.co                                "
