"regional","departamentos","tipodeentidad","cat","direccion","estado","horario_actual_contingencia"
"ANTIOQUIA - EJE CAFETERO","QUINDIO","ARMENIA","C","Cra 14 No. 5-99   
Avenida  Bolivar","ABIERTO","LUNES A VIERNES
 8:00 AM A 5:00 PM
 SABADOS
 8:00 AM A 1:00 PM"
"NORTE","ATLANTICO","VIVA BARRANQUILLA","A","Cr. 51 B No. 87-50","ABIERTO","LUNES A VIERNES
 8:00 AM A 5:00 PM
 SABADOS
 8:00 AM A 1:00 PM"
"NORTE","ATLANTICO","SOLEDAD","B","Autopista Aeropuerto 23 # 13-25 Centro Comercial Plaza Arboleda local 12 y 13","ABIERTO","LUNES A VIERNES
 8:00 AM A 5:00 PM
 SABADOS
 8:00 AM A 1:00 PM"
"NORTE","BOLIVAR","ÉXITO CARTAGENA","C","AV. PEDRO DE HEREDIA No. 69-75 
Sector  Contador","ABIERTO","LUNES A VIERNES
 8:00 AM A 5:00 PM
 SABADOS
 8:00 AM A 1:00 PM"
"NORTE","BOLIVAR","CARTAGENA","B","Calle Arsenal # 8B - 121","ABIERTO","LUNES A VIERNES
 8:00 AM A 5:00 PM
 SABADOS
 8:00 AM A 1:00 PM"
"NORTE","GUAJIRA","RIOHACHA","C","Cll 3 No. 6-73 Barrio Centro","ABIERTO","LUNES A VIERNES
 8:00 AM A 5:00 PM
 SABADOS
 8:00 AM A 1:00 PM"
"NORTE","MAGDALENA","SANTA MARTA","B","Cl. 15 No. 03-45","ABIERTO","LUNES A VIERNES
 8:00 AM A 5:00 PM
 SABADOS
 8:00 AM A 1:00 PM"
"NORTE","SAN ANDRES","SAN ANDRES","E","Av Providencia Centro Comercial New Point Local 201-202","ABIERTO","LUNES A VIERNES
 8:00 AM A 5:00 PM
 SABADOS
 8:00 AM A 1:00 PM"
"NORTE","CORDOBA","MONTERIA","D","Cra 3 No. 25 -78 Barrio Centro","ABIERTO","LUNES A VIERNES
 8:00 AM A 5:00 PM
 SABADOS
 8:00 AM A 1:00 PM"
"NORTE","SUCRE","SINCELEJO","C","Cra 20 No 19-59 Centro","ABIERTO","LUNES A VIERNES
 8:00 AM A 5:00 PM
 SABADOS
 8:00 AM A 1:00 PM"
"NORTE","CESAR","VALLEDUPAR","B","Cll 16 A No. 12 -67  Barrio Loperena Local 103,104 y 105","ABIERTO","LUNES A VIERNES
 8:00 AM A 5:00 PM
 SABADOS
 8:00 AM A 1:00 PM"
"SANTANDERES","SANTANDER","BUCARAMANGA","A","Carrera 36 # 51-48","ABIERTO","LUNES A VIERNES
 8:00 AM A 5:00 PM
 SABADOS
 8:00 AM A 1:00 PM"
"SANTANDERES","SANTANDER","PIEDECUESTA","C","Carrera 15 #3 an  - 10 
Centro  Comercial  de la  Cuesta","ABIERTO","LUNES A VIERNES
 8:00 AM A 5:00 PM
 SABADOS
 8:00 AM A 1:00 PM"
"SANTANDERES","SANTANDER","BARRANCABERMEJA","D","Cr. 11 con Cl 50 Local 3-19B","ABIERTO","LUNES A VIERNES
 8:00 AM A 5:00 PM
 SABADOS
 8:00 AM A 1:00 PM"
"SANTANDERES","NORTE DE SANTADER","CUCUTA","B","Cll 12 A No 2E-48
 Quinta Velez Caobos","ABIERTO","LUNES A VIERNES
 8:00 AM A 5:00 PM
 SABADOS
 8:00 AM A 1:00 PM"
"SUR","VALLE DEL CAUCA","CALI AMERICAS","A","Av de las Americas No 22 n - 47","ABIERTO","LUNES A VIERNES
 8:00 AM A 5:00 PM
 SABADOS
 8:00 AM A 1:00 PM"
"SUR","VALLE DEL CAUCA","CALI GUADALUPE","A","Cr. 56 No. 5-80 Av. Guadalupe","ABIERTO","LUNES A VIERNES
 8:00 AM A 5:00 PM
 SABADOS
 8:00 AM A 1:00 PM"
"SUR","VALLE DEL CAUCA","VIVA BUENAVENTURA","D","Cl. 2 No. 66 - 86 Local 203","ABIERTO","LUNES A VIERNES
 8:00 AM A 5:00 PM
 SABADOS
 8:00 AM A 1:00 PM"
"SUR","VALLE DEL CAUCA","PALMIRA","D",,"CERRADO TEMPORALMENTE",
"SUR","CAUCA","POPAYAN","B","Cra 7 No 1n-27","ABIERTO","LUNES A VIERNES
 8:00 AM A 5:00 PM
 SABADOS
 8:00 AM A 1:00 PM"
"SUR","NARIÑO","PASTO","B","Cll 20 No 26 -38 
Centro","ABIERTO","LUNES A VIERNES
 8:00 AM A 5:00 PM
 SABADOS
 8:00 AM A 1:00 PM"
"SUR","NARIÑO","IPIALES","F","Carrera 6 N° 8-29 Plaza 20 de julio 
Local 1","ABIERTO","LUNES A VIERNES
 8:00 AM A 1:00 PM
 2:00 PM A 4:00 PM"
"TERRITORIOS NACIONALES","CHOCO","QUIBDO","E","Cra 3 No. 26-111
 Piso 1 
Barrio Roma","ABIERTO","LUNES A VIERNES
 8:00 AM A 5:00 PM
 SABADOS
 8:00 AM A 1:00 PM"
"TERRITORIOS NACIONALES","GUANIA","INIRIDA","F","Carrera 7 # 18-21","ABIERTO","LUNES A VIERNES
 8:00 AM A 5:00 PM
 SABADOS
 8:00 AM A 1:00 PM"
"TERRITORIOS NACIONALES","CASANARE","YOPAL","D","Cr. 25 No. 12-35","ABIERTO","LUNES A VIERNES
 8:00 AM A 5:00 PM
 SABADOS
 8:00 AM A 1:00 PM"
"TERRITORIOS NACIONALES","VICHADA","PUERTO CARREÑO","F","Cra 9° No 18-87 
Alcaldia Municipal","ABIERTO","LUNES A VIERNES
 8:00 AM A 12:00 M 2:00 PM A 5:30 PM"
"TERRITORIOS NACIONALES","ARAUCA","ARAUCA","F","Edificio Colpensiones de Arauca Calle 21 No 20 24","ABIERTO","LUNES A VIERNES
 8:00 AM A 1:00 PM
 2:00 PM A 4:00 PM"
"TERRITORIOS NACIONALES","PUTUMAYO","MOCOA","F","Calle 7 # 5-59 
Barrio Centro.","ABIERTO","LUNES A VIERNES
 8:00 AM A 1:00 PM
 2:00 PM A 4:00 PM"
"TERRITORIOS NACIONALES","VAUPES","MITU","F","Cra 14 No.12-39 
Barrio Centro","ABIERTO","LUNES A VIERNES
 8:00 AM A 5:00 PM
 SABADOS
 8:00 AM A 1:00 PM"
"TERRITORIOS NACIONALES","CAQUETA","FLORENCIA","D","Cra 13 No 11-72 
Barrio San Francisco","ABIERTO","LUNES A VIERNES
 8:00 AM A 5:00 PM
 SABADOS
 8:00 AM A 1:00 PM"
"TERRITORIOS NACIONALES","GUAVIARE","SAN JOSE DEL GUAVIARE","D","cra 23 n 10-132 barrio la esperanza","ABIERTO","LUNES A VIERNES
 8:00 AM A 5:00 PM
 SABADOS
 8:00 AM A 1:00 PM"
"TERRITORIOS NACIONALES","AMAZONAS","LETICIA","F","Calle 10 No 6-62  local 2 diagonal abatuta","ABIERTO","LUNES A VIERNES
 8:00 AM A 1:00 PM
 2:00 PM A 4:00 PM"
"TERRITORIOS NACIONALES","META","VILLAVICENCIO","B","Carrera 38 # 20 - 58","ABIERTO","LUNES A VIERNES
 8:00 AM A 5:00 PM
 SABADOS
 8:00 AM A 1:00 PM"
"TERRITORIOS NACIONALES","META","ACACIAS","D",,"CERRADO TEMPORALMENTE",
