"uid","name","description","owner","owner_uid","publication_stage","audience","approval_status","provenance","type","category","tags","url","api_endpoint","creation_date","last_data_updated_date","domain","derived_view","visits","downloads","row_count","column_count","contact_email","license","attribution","attribution_link","published_version_name","published_version_uid","parent_uid","commoncore_publisher","informacindedatos_fechaemisinddmmaaaa","commoncore_contactname","commoncore_language","commoncore_contactemail","commoncore_license","commoncore_issued","informacindelaentidad_sector","commoncore_references","informacindelaentidad_nombredelaentidad","commoncore_publicaccesslevel","commoncore_bureaucode","commoncore_describedby","commoncore_updatefrequency","informacindedatos_urlnormativa","informacindelaentidad_departamento","informacindelaentidad_autor","informacindelaentidad_orden","commoncore_programcode","commoncore_lastupdate","commoncore_homepage","commoncore_uniqueidentifier","informacindelaentidad_reaodependecia","informacindedatos_fechaemisinaaaammdd","informacindelaentidad_reaodependencia","informacindelaentidad_municipio","commoncore_geographiccoverage","informacindedatos_frecuenciadeactualizacin","informacindedatos_idioma","commoncore_theme","informacindedatos_coberturageogrfica","informacindedatos_urldocumentacin"
"4puw-k9vr","Cobertura del suelo de predios con exención tributaria 2019","Contiene información de cobertura del suelo de predios que han solicitado exención tributaria a la Secretaría de Hacienda durante el 2019","ALCALDÍA DE MEDELLÍN","x6fv-8vwk","published","public","approved","official","href","Ambiente y Desarrollo Sostenible","bosque nativo,suelo rural,predios,retiros,suelo de protección,lotes,suelo urbano,cobertura vegetal","https://www.datos.gov.co/d/4puw-k9vr",,"2020-12-22T14:29:26.000","2020-12-22T14:29:26.000","www.datos.gov.co","false","19","0",,,"gobierno.digital@medellin.gov.co","Creative Commons Attribution 4.0 International","Secretaría de Medio Ambiente, Subsecretaría de Gestión Ambiental",,,,,,,,,,,,"Ambiente y Desarrollo Sostenible",,"Alcaldía Municipal de Medellín",,,,,,"Antioquia",,"Territorial",,,,,,"2020-11-18","Secretaría de Medio Ambiente, Subsecretaría de Gestión Ambiental","Medellín",,"Anual","Español",,"Municipal",
"xzxk-ebaa","Cantidad de jefes de hogar por año, barrio y rangos de edad según la base de datos SISBEN Versión III","Frecuencia de jefes de hogar por año, barrio y rango de edad según la base de datos SISBEN Versión III. Nota aclaratoria: La información publicada corresponde a la base de datos certificada, proporcionada por el Departamento Nacional de Planeación, correspondiente a la base de datos SISBEN Versión III; la cual estuvo vigente hasta el 5 de marzo del año 2021. La mayor parte de los registros de dicha base de datos obedecen a la fase de barrido realizado en el año 2009-2010 respectivamente.","ALCALDÍA DE MEDELLÍN","x6fv-8vwk","published","public","approved","official","href","Salud y Protección Social","edad,sisben,familia","https://www.datos.gov.co/d/xzxk-ebaa",,"2021-12-14T14:58:33.000","2021-12-14T14:58:33.000","www.datos.gov.co","false","26","0",,,"gobierno.digital@medellin.gov.co","Creative Commons Attribution | Share Alike 4.0 International","Departamento Administrativo de Planeación - Subdirección de Información y Evaluación Estratégica",,,,,,,,,,,,"Salud y Protección Social",,"Alcaldía Municipal de Medellín",,,,,,"Antioquia",,"Nacional",,,,,,"2021/03/05","Departamento Administrativo de Planeación - Subdirección de Información y Evaluación Estratégica","Medellín",,"No aplica","Español",,"Municipal",
"xkk7-mqfz","Registro Activos de Información e Índice de Información Clasificada y Reservada HOMIL 2021-2022","Registro Activos de Información e Índice de Información Clasificada y Reservada HOMIL 2021-2022","Hospital Militar Central","dpjb-nz2t","published","public","approved","official","dataset","Seguridad y Defensa","registro de activos de información,información clasificada y reservada,indice de información clasificada y reservada","https://www.datos.gov.co/d/xkk7-mqfz","https://www.datos.gov.co/resource/xkk7-mqfz.json","2022-01-24T15:27:32.000","2022-02-08T16:51:11.000","www.datos.gov.co","false","51","2","243","28","mfonseca@homil.gov.co","Creative Commons Attribution | Share Alike 4.0 International","Hospital Militar Central","https://www.datos.gov.co/d/xkk7-mqfz",,,,,,,,,,,"Defensa",,"Hospital Militar Central",,,,,,"Bogotá D.C.",,"Nacional",,,,,,"2021-12-29","Oficina Asesora de Planeacion","Bogotá D.C.",,"Anual","Español",,"Nacional",
"8fzc-k5jr","Proyección de población Medellín 2018","Reporte de proyecciones de población de Medellín correspondiente a las 16 Comunas y 5 Corregimientos de la ciudad. La población se encuentra discriminada por hombres, mujeres, edades simples, grupos quinquenales, esperanza de vida y totales.","ALCALDÍA DE MEDELLÍN","x6fv-8vwk","published","public","approved","official","href","Estadísticas Nacionales","población,medellín","https://www.datos.gov.co/d/8fzc-k5jr",,"2020-10-23T15:02:32.000","2020-10-23T15:02:32.000","www.datos.gov.co","false","57","0",,,"gobierno.digital@medellin.gov.co","Creative Commons Attribution 4.0 International","Departamento Administrativo de Planeación - Subdirección de Información y Evaluación Estratégica",,,,,,,,,,,,"Estadísticas",,"Alcaldía Municipal de Medellín",,,,,,"Antioquia",,"Territorial",,,,,,"2020-04-28","Departamento Administrativo de Planeación - Subdirección de Información y Evaluación Estratégica","Medellín",,"Anual","Español",,"Municipal",
"6eq8-xyj4","Encuesta Formación de Públicos 2020","Contiene los resultados de las encuestas aplicadas por las entidades que hacen parte del Programa de Formación de Públicos, buscando identificar el perfil del usuario.","ALCALDÍA DE MEDELLÍN","x6fv-8vwk","published","public","approved","official","href","Estadísticas Nacionales","formación de públicos,cultura,encuesta","https://www.datos.gov.co/d/6eq8-xyj4",,"2021-12-22T16:34:45.000","2021-12-22T16:34:45.000","www.datos.gov.co","false","26","0",,,"gobierno.digital@medellin.gov.co","Creative Commons Attribution | Share Alike 4.0 International","Secretaría de Cultura Ciudadana - Subsecretaria de Ciudadanía Cultural",,,,,,,,,,,,"Estadísticas",,"Alcaldía Municipal de Medellín",,,,,,"Antioquia",,"Nacional",,,,,,"2020-12-31","Secretaría de Cultura Ciudadana - Subsecretaria de Ciudadanía Cultural","Medellín",,"Anual","Español",,"Municipal",
"u8kw-g9i2","Arrendamiento","Base de datos de los inmuebles arrendados.","ALCALDÍA DE MEDELLÍN","x6fv-8vwk","published","public","approved","official","href","Hacienda y Crédito Público","arrendamiento,medellín","https://www.datos.gov.co/d/u8kw-g9i2",,"2021-11-22T23:20:43.000","2021-11-22T23:20:43.000","www.datos.gov.co","false","34","0",,,"gobierno.digital@medellin.gov.co","Creative Commons Attribution | Share Alike 4.0 International","Secretaría de Suministros y Servicios",,,,,,,,,,,,"Hacienda y Crédito Público",,"Alcaldía Municipal de Medellín",,,,,,"Antioquia",,"Territorial",,,,,,"2019-12-31","Secretaría de Suministros y Servicios","Medellín",,"Anual","Español",,"Municipal",
"4gu3-nnte","Indice de Información Clasificada y Reservada","Corresponde al Indice de Información Clasificada y Reservada","SAESAS","69ii-vmnb","published","public","approved","official","dataset","Hacienda y Crédito Público","publica,información,fundamento legal,clasificada,reservada,activo","https://www.datos.gov.co/d/4gu3-nnte","https://www.datos.gov.co/resource/4gu3-nnte.json","2020-12-23T23:27:14.000","2021-06-30T22:45:08.000","www.datos.gov.co","false","294","63","663","21","oficialseguridad@saesas.gov.co","Creative Commons Attribution | Share Alike 4.0 International","SOCIEDAD DE ACTIVOS ESPECIALES SAS","https://www.datos.gov.co/d/4gu3-nnte",,,,,,,,,,,"Hacienda y Crédito Público",,"Sociedad de Activos Especiales S.A.S.",,,,,,"Bogotá D.C.",,"Nacional",,,,,,"2020-12-23","OFICINA GESTIÓN DE LA INFORMACIÓN","Bogotá D.C.",,"Anual","Español",,"Nacional","https://www.saesas.gov.co/transparencia_acceso_informaciOn_pUblica/10_instrumentos_gestion_informacion/10_1_registro_activos_informacion/copia/copia"
"c7qw-4mck","Zonificación de aptitud para el cultivo comercial de Pirarucú (Arapaima Gigasen), en estanques en tierra.","El mapa de “Zonificación de aptitud para el cultivo comercial de comercial de Pirarucú, arapaima gigasen, en estanques en tierra cuya producción está destinada al consumo humano”, se genera siguiendo la metodología consolidada en el documento de zonificación de aptitud del territorio rural para la acuicultura. Este producto fue desarrollado en el marco del Convenio 219-2016 entre AUNAP Y UPRA con el objetivo de aunar esfuerzos técnicos, administrativos y humanos para formular el plan nacional de ordenamiento productivo del sector de la acuicultura y de la pesca, mediante la elaboración de lineamientos, criterios e instrumentos técnicos articulados, en el caso de la acuicultura, con el Plan Nacional para el Desarrollo de la Acuicultura Sostenible en Colombia - PlaNDAS.","UPRA","mskn-mcjt","published","public","approved","official","dataset","Agricultura y Desarrollo Rural","pesca,aptitud,pirarucú,productividad,acuicultura,sostenibilidad,zonificación,competitividad,cultivo","https://www.datos.gov.co/d/c7qw-4mck","https://www.datos.gov.co/resource/c7qw-4mck.json","2021-05-28T22:33:37.000","2021-05-28T23:00:12.000","www.datos.gov.co","false","50","2","109320","7","atencionalusuario@upra.gov.co","Creative Commons 1.0 Universal (Public Domain Dedication)","Unidad de Planificación Rural Agropecuaria - UPRA","https://www.upra.gov.co/",,,,,,,,,,,"Agricultura y Desarrollo Rural",,"Unidad de Planificación de Tierras Rurales, Adecuación de Tierras y Usos Agropecuarios",,,,,,"Bogotá D.C.",,"Nacional",,,,,,"2018-01-31","Dirección de uso eficiente del suelo y adecuación de tierras","Bogotá D.C.",,"Trienio","Español",,"Nacional","https://sipra.upra.gov.co/; https://catalogometadatos.upra.gov.co:8443/uprageonet/srv/spa/catalog.search#/metadata/a748f110-fad3-4337-a9ff-1a8ea9e6b570  ;  http://geoservicios.upra.gov.co/arcgis/rest/services/aptitud_uso_suelo/aptitud_pirarucu_2018/MapServer"
"ettd-cd85","Zonificación de aptitud para el cultivo comercial de cachama blanca (Piaractus Brachypomus) y cachama negra (Colossoma Macropomum), en estanques en tierra.","El mapa de “Aptitud para el cultivo comercial de comercial de cachama blanca, Piaractus brachypomus, y cachama negra, Colossoma macropomum, en estanques en tierra cuya producción está destinada al consumo humano”, se genera siguiendo la metodología consolidada en el documento de zonificación de aptitud del territorio rural para la acuicultura. Este producto fue desarrollado en el marco del Convenio 219-2016 entre AUNAP Y UPRA con el objetivo de aunar esfuerzos técnicos, administrativos y humanos para formular el plan nacional de ordenamiento productivo del sector de la acuicultura y de la pesca, mediante la elaboración de lineamientos, criterios e instrumentos técnicos articulados, en el caso de la acuicultura, con el Plan Nacional para el Desarrollo de la Acuicultura Sostenible en Colombia - PlaNDAS.","UPRA","mskn-mcjt","published","public","approved","official","dataset","Agricultura y Desarrollo Rural","zonificación,sostenibilidad,productividad,pesca,competitividad,cachama,acuicultura,cultivo,aptitud","https://www.datos.gov.co/d/ettd-cd85","https://www.datos.gov.co/resource/ettd-cd85.json","2021-05-28T17:36:18.000","2021-06-28T16:14:08.000","www.datos.gov.co","false","45","3","105016","7","atencionalusuario@upra.gov.co","Creative Commons 1.0 Universal (Public Domain Dedication)","Unidad de Planificación Rural Agropecuaria - UPRA","https://www.upra.gov.co/",,,,,,,,,,,"Agricultura y Desarrollo Rural",,"Unidad de Planificación de Tierras Rurales, Adecuación de Tierras y Usos Agropecuarios",,,,,,"Bogotá D.C.",,"Nacional",,,,,,"2018-02-09","Dirección de uso eficiente del suelo y adecuación de tierras","Bogotá D.C.",,"Trienio","Español",,"Nacional","https://sipra.upra.gov.co/ ; https://catalogometadatos.upra.gov.co:8443/uprageonet/srv/spa/catalog.search#/metadata/91e1f5cf-ba89-475a-b154-bd75ce0c5165 ; http://geoservicios.upra.gov.co/arcgis/rest/services/aptitud_uso_suelo/aptitud_cachama_2018/MapServer "
"xi8e-i2dh","Bienes inmuebles fiscales disponibles","Base de datos Inmuebles disponibles","ALCALDÍA DE MEDELLÍN","x6fv-8vwk","published","public","approved","official","href","Hacienda y Crédito Público","inmuebles,disponibles,medellín","https://www.datos.gov.co/d/xi8e-i2dh",,"2020-11-27T14:42:29.000","2020-11-27T14:42:29.000","www.datos.gov.co","false","82","0",,,"gobierno.digital@medellin.gov.co","Creative Commons Attribution 4.0 International","Secretaria de Suministros y Servicios",,,,,,,,,,,,"Hacienda y Crédito Público",,"Alcaldía Municipal de Medellín",,,,,,"Antioquia",,"Territorial",,,,,,"2019-11-17","Secretaria de Suministros y Servicios","Medellín",,"Anual","Español",,"Municipal",
"bxhi-5xb8","Cobertura del suelo de predios con exención tributaria 2016","Contiene información de cobertura del suelo de predios que han solicitado exención tributaria a la Secretaría de Hacienda durante el 2016","ALCALDÍA DE MEDELLÍN","x6fv-8vwk","published","public","approved","official","href","Ambiente y Desarrollo Sostenible","bosque nativo,cobertura vegetal,lotes,predios,retiros,suelo de protección,suelo rural,suelo urbano","https://www.datos.gov.co/d/bxhi-5xb8",,"2022-01-20T15:47:51.000","2022-01-20T15:47:51.000","www.datos.gov.co","false","20","0",,,"gobierno.digital@medellin.gov.co","Creative Commons Attribution | Share Alike 4.0 International","Secretaría de Medio Ambiente, Subsecretaría de Gestión Ambiental",,,,,,,,,,,,"Ambiente y Desarrollo Sostenible",,"Alcaldía Municipal de Medellín",,,,,,"Antioquia",,"Nacional",,,,,,"2020-11-18","Secretaría de Medio Ambiente, Subsecretaría de Gestión Ambiental","Medellín",,"Anual","Español",,"Municipal",
"qz2p-ynqd","Intoxicación por gases","Registro de pacientes atendidos en las Instituciones Prestadoras de Servicios de Salud con diagnóstico Intoxicación por gases y notificados al SIVIGILA desde el año 2010 al 2018.","ALCALDÍA DE MEDELLÍN","x6fv-8vwk","published","public","approved","official","href","Salud y Protección Social","intoxicacion por gases","https://www.datos.gov.co/d/qz2p-ynqd",,"2021-01-06T22:20:50.000","2021-01-06T22:20:50.000","www.datos.gov.co","false","65","0",,,"gobierno.digital@medellin.gov.co","Creative Commons Attribution 4.0 International","Secretaría de Salud",,,,,,,,,,,,"Salud y Protección Social",,"Alcaldía Municipal de Medellín",,,,,,"Antioquia",,"Territorial",,,,,,"2020-04-28","Secretaría de Salud","Medellín",,"Anual","Español",,"Municipal",
"4hiw-hk4g","Plan Anual de Adquisiciones Contraloría General de Antioquia 2021","Necesidades de bienes y/o servicios comprados y contratados por la Contraloría General de Antioquia para la vigencia 2021","ContraloriaAntioquia","gc8p-rvbw","published","public","approved","official","dataset","Organismos de Control","contratación,antioquia,entidades públicas,municipios,contratos,contraloría","https://www.datos.gov.co/d/4hiw-hk4g","https://www.datos.gov.co/resource/4hiw-hk4g.json","2021-11-16T18:57:31.000","2021-11-16T19:12:13.000","www.datos.gov.co","false","49","6","37","10","lebanolh@cga.gov.co","Creative Commons Attribution | Share Alike 4.0 International","Contraloría General de Antioquia","https://www.datos.gov.co/d/4hiw-hk4g",,,,,,,,,,,"Organismos de control y vigilancia",,"Contraloría General de Antioquia",,,,,,"Antioquia",,"Territorial",,,,,,"2021-09-01","Dirección de Sistemas de Buen Gobierno y las Tic","Medellín",,"Anual","Español",,"Nacional",
"ezy8-x65x","Porcentaje ocupación hotelera vacaciones mitad de año","Porcentaje Ocupación hotelera de Medellín durante las Vacaciones mitad de año","ALCALDÍA DE MEDELLÍN","x6fv-8vwk","published","public","approved","official","href","Comercio, Industria y Turismo","zonas,laureles,hotel,estadio,día,centro,belen,año,alojamiento,vacaciones,porcentaje,poblado,mitad de año,ocupación","https://www.datos.gov.co/d/ezy8-x65x",,"2020-11-17T14:01:44.000","2020-11-17T14:01:44.000","www.datos.gov.co","false","119","0",,,"gobierno.digital@medellin.gov.co","Creative Commons Attribution 4.0 International","Secretaría Desarrollo Económico",,,,,,,,,,,,"Comercio, Industria y Turismo",,"Alcaldía Municipal de Medellín",,,,,,"Antioquia",,"Territorial",,,,,,"2019-11-05","Secretaría Desarrollo Económico","Medellín",,"Anual","Español",,"Municipal",
"uudx-d9sd","Activos de Información","Activos de Información Alcaldía de La Virginia","Alcavirgi","fx22-ynam","published","public","approved","official","dataset","Ciencia, Tecnología e Innovación","exc_001,activos","https://www.datos.gov.co/d/uudx-d9sd","https://www.datos.gov.co/resource/uudx-d9sd.json","2020-10-01T13:14:09.000","2020-10-01T13:25:06.000","www.datos.gov.co","false","154","12","4","19","sistemas@lavirginia-risaralda.gov.co","Public Domain","Alcaldia de La Virginia","http://www.lavirginia-risaralda.gov.co/",,,,,,,,,,,"No Aplica",,"Alcaldía Municipal de La Virginia",,,,,,"Risaralda",,"Territorial",,,,,,"2020-10-01","TIC","La Virginia",,"Anual","Español",,"Nacional",
"qubm-xu4r","Plan de capacitación institucional 2021","Plan de capacitación institucional 2021","Contraloría General del Cauca","e36m-pea5","published","public","approved","official","dataset",,,"https://www.datos.gov.co/d/qubm-xu4r","https://www.datos.gov.co/resource/qubm-xu4r.json","2021-05-12T16:26:03.000","2021-05-12T16:28:44.000","www.datos.gov.co","false","51","7","63","4",,,,"https://www.datos.gov.co/d/qubm-xu4r",,,,,,,,,,,"Organismos de control y vigilancia",,"Contraloría Departamental del Cauca",,,,,,"Cauca",,"Territorial",,,,,,"2021/01/31","Talento Humano","Popayán",,"No aplica","Español",,"Departamental",
"7zah-vbee","Indice de información Clasificada y Reservada del Municipio de Garzón","El Índice de información clasificada y reservada es el inventario de la información pública generada, obtenida, adquirida o controlada por la entidad, que ha sido calificada como clasificada o reservada.","Municipio de Garzón","i7sx-79rs","published","public","approved","official","dataset",,"exc_001,índice de información,garzón,huila","https://www.datos.gov.co/d/7zah-vbee","https://www.datos.gov.co/resource/7zah-vbee.json","2019-08-27T12:20:12.000","2019-08-27T12:27:46.000","www.datos.gov.co","false","165","26","24","14",,,,"https://www.datos.gov.co/d/7zah-vbee",,,,,,,,,,,"No Aplica",,"Alcaldía Municipal de Garzón",,,,,,"Huila",,"Territorial",,,,,,"2019-08-27","Secretaria General y de Convivencia Ciudadana","Garzón",,"Anual","Español",,"Municipal",
"d6mp-4rxu","Instituciones Educativas y matrícula municipio de San Jerónimo","","Alcaldia_San_Jeronimo","wn62-z9uc","published","public","approved","official","dataset","Educación",,"https://www.datos.gov.co/d/d6mp-4rxu","https://www.datos.gov.co/resource/d6mp-4rxu.json","2018-11-28T21:10:23.000","2019-08-26T19:47:38.000","www.datos.gov.co","false","96","22","89","12","educacion@sanjeronimo-antioquia.gov.co","Creative Commons Attribution 4.0 International","Secretaría de Educación Nacional","https://sineb.mineducacion.gov.co/bcol/app",,,,,,,,,,,"No Aplica",,"Alcaldía Municipal de San Jerónimo",,,,,,"Antioquia",,"Territorial",,,,,,"26/01/2019","Educación","San Jerónimo",,"Anual","Español",,"Nacional",
"ypjz-72ja","UCundinamarca - Registro de Activos de Información - Financiera","Contiene Registro de Activos de Información de la Universidad de Cundinamarca del Proceso Financiera","Ucundinamarca","q6ff-cz7f","published","public","approved","official","dataset","Educación",,"https://www.datos.gov.co/d/ypjz-72ja","https://www.datos.gov.co/resource/ypjz-72ja.json","2019-08-29T20:25:53.000","2019-08-29T20:29:07.000","www.datos.gov.co","false","147","38","326","15","planeacion@ucundinamarca.edu.co",,"Universidad de Cundinamarca - Oficina de Sistemas y Tecnología","https://www.datos.gov.co/d/ypjz-72ja",,,,,,,,,,,"Educación",,"Universidad de Cundinamarca",,,,,,"Cundinamarca",,"Territorial",,,,,,"2019-11-30","Sistemas y Tecnología ","Fusagasugá",,"Anual","Español",,"Departamental",
