"cantidaddebeneficiarios","cantidadbeneficioconsolidado","cantidadultimobeneficio","codigodepartamentoatencion","codigomunicipioatencion","estadobeneficiario","etnia","fechainscripcionbeneficiario","fechaultimobeneficioasignado","genero","nombredepartamentoatencion","nombremunicipioatencion","pais","rangoedad","tipoasignacionbeneficio","tipobeneficio","tipodocumento","valorbeneficioconsolidad","valorultimobeneficioasignado"
"1","0","0","76","76054","ACTIVO","ND","1900-01-01","2014-01-01","Hombre","VALLE","ARGELIA","Colombia","50-65","MEJORAMIENTO CONDICIONES DE HABITABILIDAD","ESPECIE","CC","0 - 1.500.000","0 - 1.300.000"
"2","0","0","47","47001","NO ACTIVO","ND","1900-01-01","2007-01-01","Hombre","MAGDALENA","SANTA MARTA","Colombia",">65","MEJORAMIENTO CONDICIONES DE HABITABILIDAD","ESPECIE","CC","0 - 1.500.000","0 - 1.300.000"
"2","0","0","68","68320","ACTIVO","ND","1900-01-01","2014-01-01","Mujer","SANTANDER","GUADALUPE","ND",">65","MEJORAMIENTO CONDICIONES DE HABITABILIDAD","ESPECIE","CC","0 - 1.500.000","0 - 1.300.000"
"2","0","0","73","73055","NO ACTIVO","ND","1900-01-01","2014-01-01","Mujer","TOLIMA","ARMERO","ND",">65","MEJORAMIENTO CONDICIONES DE HABITABILIDAD","ESPECIE","CC","0 - 1.500.000","0 - 1.300.000"
"1","0","0","76","76233","ACTIVO","AFROCOLOMBIANO – NEGRO","1900-01-01","2006-01-01","Mujer","VALLE","DAGUA","ND","50-65","MEJORAMIENTO CONDICIONES DE HABITABILIDAD","ESPECIE","CC","0 - 1.500.000","0 - 1.300.000"
"1","0","0","91","91001","NO ACTIVO","ND","1900-01-01","2008-01-01","Mujer","AMAZONAS","LETICIA","ND",">65","MEJORAMIENTO CONDICIONES DE HABITABILIDAD","ESPECIE","CC","0 - 1.500.000","0 - 1.300.000"
"5","0","0","70","70508","ACTIVO","ND","1900-01-01","2007-01-01","ND","SUCRE","OVEJAS","169",">65","MEJORAMIENTO CONDICIONES DE HABITABILIDAD","ESPECIE","CC","0 - 1.500.000","0 - 1.300.000"
"1","0","0","50","50001","ACTIVO","ROM O GITANO","1900-01-01","2005-01-01","Mujer","META","VILLAVICENCIO","ND","30-49","MEJORAMIENTO CONDICIONES DE HABITABILIDAD","ESPECIE","CC","0 - 1.500.000","0 - 1.300.000"
"1","0","0","47","47001","ACTIVO","ND","1900-01-01","2006-01-01","Hombre","MAGDALENA","SANTA MARTA","COLOMBIA","50-65","MEJORAMIENTO CONDICIONES DE HABITABILIDAD","ESPECIE","CC","0 - 1.500.000","0 - 1.300.000"
"1","0","0","66","66318","ACTIVO","ND","1900-01-01","2007-01-01","Mujer","RISARALDA","GUATICA","ND","30-49","MEJORAMIENTO CONDICIONES DE HABITABILIDAD","ESPECIE","CC","0 - 1.500.000","0 - 1.300.000"
"1","0","0","76","76109","ACTIVO","ND","1900-01-01","2014-01-01","Hombre","VALLE","BUENAVENTURA","Colombia","30-49","MEJORAMIENTO CONDICIONES DE HABITABILIDAD","ESPECIE","CC","0 - 1.500.000","0 - 1.300.000"
"1","0","0","68","68081","ACTIVO","ND","1900-01-01","2014-01-01","Hombre","SANTANDER","BARRANCABERMEJA","Colombia","50-65","MEJORAMIENTO CONDICIONES DE HABITABILIDAD","ESPECIE","CC","0 - 1.500.000","0 - 1.300.000"
"1","0","0","50","50350","ACTIVO","ND","1900-01-01","2005-01-01","Mujer","META","LA MACARENA","ND","50-65","MEJORAMIENTO CONDICIONES DE HABITABILIDAD","ESPECIE","CC","0 - 1.500.000","0 - 1.300.000"
"21","0","0","47","47053","NO ACTIVO","ND","1900-01-01","2009-01-01","ND","MAGDALENA","ARACATACA","169",">65","MEJORAMIENTO CONDICIONES DE HABITABILIDAD","ESPECIE","CC","0 - 1.500.000","0 - 1.300.000"
"1","0","0","76","76563","ACTIVO","ND","1900-01-01","2005-01-01","Mujer","VALLE","PRADERA","ND","30-49","MEJORAMIENTO CONDICIONES DE HABITABILIDAD","ESPECIE","CC","0 - 1.500.000","0 - 1.300.000"
"1","0","0","41","41807","NO ACTIVO","ND","1900-01-01","2018-01-01","Hombre","HUILA","TIMANA","Colombia","30-49","MEJORAMIENTO CONDICIONES DE HABITABILIDAD","ESPECIE","CC","0 - 1.500.000","0 - 1.300.000"
"1","0","0","86","86885","ACTIVO","ND","1900-01-01","2007-01-01","Mujer","PUTUMAYO","VILLAGARZON","Colombia","50-65","MEJORAMIENTO CONDICIONES DE HABITABILIDAD","ESPECIE","CC","0 - 1.500.000","0 - 1.300.000"
"3","0","0","17","17433","ACTIVO","ND","1900-01-01","2008-01-01","Hombre","CALDAS","MANZANARES","Colombia","30-49","MEJORAMIENTO CONDICIONES DE HABITABILIDAD","ESPECIE","CC","0 - 1.500.000","0 - 1.300.000"
"1","0","0","44","44650","ACTIVO","ND","1900-01-01","2014-01-01","Hombre","LA GUAJIRA","SAN JUAN DEL CESAR","ND",">65","MEJORAMIENTO CONDICIONES DE HABITABILIDAD","ESPECIE","CC","0 - 1.500.000","0 - 1.300.000"
"1","0","0","44","44001","ACTIVO","AFROCOLOMBIANO – NEGRO","1900-01-01","2006-01-01","Hombre","LA GUAJIRA","RIOHACHA","ND","30-49","MEJORAMIENTO CONDICIONES DE HABITABILIDAD","ESPECIE","CC","0 - 1.500.000","0 - 1.300.000"
"1","0","0","76","76001","ACTIVO","AFROCOLOMBIANO – NEGRO","1900-01-01","2008-01-01","Mujer","VALLE","CALI","ND","50-65","MEJORAMIENTO CONDICIONES DE HABITABILIDAD","ESPECIE","CC","0 - 1.500.000","0 - 1.300.000"
"1","0","0","52","52250","ACTIVO","ND","1900-01-01","2006-01-01","ND","NARIÑO","EL CHARCO","169","30-49","MEJORAMIENTO CONDICIONES DE HABITABILIDAD","ESPECIE","CC","0 - 1.500.000","0 - 1.300.000"
"1","0","0","81","81794","NO ACTIVO","ND","1900-01-01","2008-01-01","Hombre","ARAUCA","TAME","Colombia",">65","MEJORAMIENTO CONDICIONES DE HABITABILIDAD","ESPECIE","CC","0 - 1.500.000","0 - 1.300.000"
"2","0","0","44","44001","NO ACTIVO","AFROCOLOMBIANO – NEGRO","1900-01-01","2008-01-01","Hombre","LA GUAJIRA","RIOHACHA","Colombia","30-49","MEJORAMIENTO CONDICIONES DE HABITABILIDAD","ESPECIE","CC","0 - 1.500.000","0 - 1.300.000"
"1","0","0","47","47170","NO ACTIVO","ND","1900-01-01","2014-01-01","Hombre","MAGDALENA","CHIVOLO","Colombia","30-49","MEJORAMIENTO CONDICIONES DE HABITABILIDAD","ESPECIE","CC","0 - 1.500.000","0 - 1.300.000"
"2","0","0","41","41548","NO ACTIVO","ND","1900-01-01","2018-01-01","Hombre","HUILA","PITAL","169","50-65","MEJORAMIENTO CONDICIONES DE HABITABILIDAD","ESPECIE","CC","0 - 1.500.000","0 - 1.300.000"
"1","0","0","63","63001","NO ACTIVO","ND","1900-01-01","2011-01-01","Mujer","QUINDIO","ARMENIA","COLOMBIA",">65","MEJORAMIENTO CONDICIONES DE HABITABILIDAD","ESPECIE","CC","0 - 1.500.000","0 - 1.300.000"
"1","0","0","73","73861","ACTIVO","ND","1900-01-01","2005-01-01","Hombre","TOLIMA","VENADILLO","COLOMBIA",">65","MEJORAMIENTO CONDICIONES DE HABITABILIDAD","ESPECIE","CC","0 - 1.500.000","0 - 1.300.000"
"1","0","0","44","44001","NO ACTIVO","ND","1900-01-01","2006-01-01","Hombre","LA GUAJIRA","RIOHACHA","ND",">65","MEJORAMIENTO CONDICIONES DE HABITABILIDAD","ESPECIE","CC","0 - 1.500.000","0 - 1.300.000"
"1","0","0","47","47570","ACTIVO","ND","1900-01-01","2005-01-01","Hombre","MAGDALENA","PUEBLOVIEJO","COLOMBIA","30-49","MEJORAMIENTO CONDICIONES DE HABITABILIDAD","ESPECIE","No Definido","0 - 1.500.000","0 - 1.300.000"
"4","0","0","76","76001","ACTIVO","ND","1900-01-01","2014-01-01","Hombre","VALLE","CALI","Colombia",">65","MEJORAMIENTO CONDICIONES DE HABITABILIDAD","ESPECIE","CC","0 - 1.500.000","0 - 1.300.000"
"3","0","0","50","50001","NO ACTIVO","ND","1900-01-01","2007-01-01","Hombre","META","VILLAVICENCIO","Colombia","50-65","MEJORAMIENTO CONDICIONES DE HABITABILIDAD","ESPECIE","CC","0 - 1.500.000","0 - 1.300.000"
"1","0","0","76","76246","ACTIVO","AFROCOLOMBIANO – NEGRO","1900-01-01","2008-01-01","Mujer","VALLE","EL CAIRO","ND","50-65","MEJORAMIENTO CONDICIONES DE HABITABILIDAD","ESPECIE","CC","0 - 1.500.000","0 - 1.300.000"
"2","0","0","44","44430","NO ACTIVO","ND","1900-01-01","2014-01-01","ND","LA GUAJIRA","MAICAO","169",">65","MEJORAMIENTO CONDICIONES DE HABITABILIDAD","ESPECIE","CC","0 - 1.500.000","0 - 1.300.000"
"1","0","0","50","50313","ACTIVO","ND","1900-01-01","2007-01-01","Hombre","META","GRANADA","Colombia","50-65","MEJORAMIENTO CONDICIONES DE HABITABILIDAD","ESPECIE","CC","0 - 1.500.000","0 - 1.300.000"
"1","0","0","70","70001","NO ACTIVO","ND","1900-01-01","2006-01-01","Hombre","SUCRE","SINCELEJO","Colombia","30-49","MEJORAMIENTO CONDICIONES DE HABITABILIDAD","ESPECIE","CC","0 - 1.500.000","0 - 1.300.000"
"2","0","0","17","17614","ACTIVO","ND","1900-01-01","2012-01-01","Mujer","CALDAS","RIOSUCIO","ND","50-65","MEJORAMIENTO CONDICIONES DE HABITABILIDAD","ESPECIE","CC","0 - 1.500.000","0 - 1.300.000"
"1","0","0","70","70713","ACTIVO","INDIGENA","1900-01-01","2008-01-01","Hombre","SUCRE","SAN ONOFRE","ND",">65","MEJORAMIENTO CONDICIONES DE HABITABILIDAD","ESPECIE","CC","0 - 1.500.000","0 - 1.300.000"
"1","0","0","47","47660","NO ACTIVO","ND","1900-01-01","2014-01-01","Hombre","MAGDALENA","SABANAS DE SAN ANGEL","169",">65","MEJORAMIENTO CONDICIONES DE HABITABILIDAD","ESPECIE","CC","0 - 1.500.000","0 - 1.300.000"
"1","0","0","44","44378","ACTIVO","ND","1900-01-01","2007-01-01","Mujer","LA GUAJIRA","HATONUEVO","ND","30-49","MEJORAMIENTO CONDICIONES DE HABITABILIDAD","ESPECIE","CC","0 - 1.500.000","0 - 1.300.000"
"29","0","0","76","76109","NO ACTIVO","ND","1900-01-01","2008-01-01","ND","VALLE","BUENAVENTURA","169",">65","MEJORAMIENTO CONDICIONES DE HABITABILIDAD","ESPECIE","CC","0 - 1.500.000","0 - 1.300.000"
"1","0","0","23","23466","NO ACTIVO","INDIGENA","1900-01-01","2008-01-01","Mujer","CORDOBA","MONTELIBANO","Colombia","30-49","MEJORAMIENTO CONDICIONES DE HABITABILIDAD","ESPECIE","CC","0 - 1.500.000","0 - 1.300.000"
"2","0","0","17","17665","NO ACTIVO","ND","1900-01-01","2016-01-01","Hombre","CALDAS","SAN JOSE","Colombia",">65","MEJORAMIENTO CONDICIONES DE HABITABILIDAD","ESPECIE","CC","0 - 1.500.000","0 - 1.300.000"
"1","0","0","52","52786","ACTIVO","ND","1900-01-01","2016-01-01","Mujer","NARIÑO","TAMINANGO","169",">65","MEJORAMIENTO CONDICIONES DE HABITABILIDAD","ESPECIE","CC","0 - 1.500.000","0 - 1.300.000"
"1","0","0","52","52001","NO ACTIVO","SIN ESPECIFICAR","1900-01-01","2009-01-01","Hombre","NARIÑO","PASTO","COLOMBIA",">65","MEJORAMIENTO CONDICIONES DE HABITABILIDAD","ESPECIE","CC","0 - 1.500.000","0 - 1.300.000"
"6","0","0","54","54245","NO ACTIVO","ND","1900-01-01","2005-01-01","ND","NORTE DE SANTANDER","EL CARMEN","169",">65","MEJORAMIENTO CONDICIONES DE HABITABILIDAD","ESPECIE","CC","0 - 1.500.000","0 - 1.300.000"
"3","0","0","68","68655","ACTIVO","ND","1900-01-01","2009-01-01","Mujer","SANTANDER","SABANA DE TORRES","COLOMBIA","30-49","MEJORAMIENTO CONDICIONES DE HABITABILIDAD","ESPECIE","CC","0 - 1.500.000","0 - 1.300.000"
"1","0","0","47","47288","ACTIVO","ND","1900-01-01","2005-01-01","Hombre","MAGDALENA","FUNDACION","COLOMBIA","30-49","MEJORAMIENTO CONDICIONES DE HABITABILIDAD","ESPECIE","CC","0 - 1.500.000","0 - 1.300.000"
"332","0","0","17","17614","NO ACTIVO","ND","1900-01-01","2012-01-01","ND","CALDAS","RIOSUCIO","169",">65","MEJORAMIENTO CONDICIONES DE HABITABILIDAD","ESPECIE","CC","0 - 1.500.000","0 - 1.300.000"
"1","0","0","76","76001","ACTIVO","ND","1900-01-01","2008-01-01","Hombre","VALLE","CALI","ND","30-49","MEJORAMIENTO CONDICIONES DE HABITABILIDAD","ESPECIE","CC","0 - 1.500.000","0 - 1.300.000"
"5","0","0","41","41551","NO ACTIVO","ND","1900-01-01","2018-01-01","ND","HUILA","PITALITO","169",">65","MEJORAMIENTO CONDICIONES DE HABITABILIDAD","ESPECIE","CC","0 - 1.500.000","0 - 1.300.000"
"5","0","0","73","73483","NO ACTIVO","ND","1900-01-01","2006-01-01","ND","TOLIMA","NATAGAIMA","169",">65","MEJORAMIENTO CONDICIONES DE HABITABILIDAD","ESPECIE","CC","0 - 1.500.000","0 - 1.300.000"
"1","0","0","47","47030","ACTIVO","ND","1900-01-01","2005-01-01","Hombre","MAGDALENA","ALGARROBO","COLOMBIA","30-49","MEJORAMIENTO CONDICIONES DE HABITABILIDAD","ESPECIE","CC","0 - 1.500.000","0 - 1.300.000"
"3","0","0","99","99524","ACTIVO","ND","1900-01-01","2008-01-01","Mujer","VICHADA","LA PRIMAVERA","ND","30-49","MEJORAMIENTO CONDICIONES DE HABITABILIDAD","ESPECIE","CC","0 - 1.500.000","0 - 1.300.000"
"2","0","0","52","52786","ACTIVO","ND","1900-01-01","2016-01-01","Hombre","NARIÑO","TAMINANGO","Colombia","30-49","MEJORAMIENTO CONDICIONES DE HABITABILIDAD","ESPECIE","CC","0 - 1.500.000","0 - 1.300.000"
"1","0","0","66","66318","ACTIVO","ND","1900-01-01","2007-01-01","Hombre","RISARALDA","GUATICA","ND",">65","MEJORAMIENTO CONDICIONES DE HABITABILIDAD","ESPECIE","CC","0 - 1.500.000","0 - 1.300.000"
"2","0","0","76","76109","ACTIVO","ND","1900-01-01","2014-01-01","Hombre","VALLE","BUENAVENTURA","ND","30-49","MEJORAMIENTO CONDICIONES DE HABITABILIDAD","ESPECIE","CC","0 - 1.500.000","0 - 1.300.000"
"1","0","0","44","44650","NO ACTIVO","ND","1900-01-01","2008-01-01","Hombre","LA GUAJIRA","SAN JUAN DEL CESAR","ND","50-65","MEJORAMIENTO CONDICIONES DE HABITABILIDAD","ESPECIE","CC","0 - 1.500.000","0 - 1.300.000"
"1","0","0","50","50001","ACTIVO","AFROCOLOMBIANO – NEGRO","1900-01-01","2005-01-01","Mujer","META","VILLAVICENCIO","Colombia",">65","MEJORAMIENTO CONDICIONES DE HABITABILIDAD","ESPECIE","CC","0 - 1.500.000","0 - 1.300.000"
"1","0","0","70","70508","NO ACTIVO","ND","1900-01-01","2007-01-01","Mujer","SUCRE","OVEJAS","Colombia","30-49","MEJORAMIENTO CONDICIONES DE HABITABILIDAD","ESPECIE","CC","0 - 1.500.000","0 - 1.300.000"
"1","0","0","86","86573","NO ACTIVO","INDIGENA","1900-01-01","2008-01-01","Hombre","PUTUMAYO","PUERTO LEGUIZAMO","Colombia",">65","MEJORAMIENTO CONDICIONES DE HABITABILIDAD","ESPECIE","CC","0 - 1.500.000","0 - 1.300.000"
"1","0","0","47","47288","NO ACTIVO","ND","1900-01-01","2006-01-01","Mujer","MAGDALENA","FUNDACION","ND","50-65","MEJORAMIENTO CONDICIONES DE HABITABILIDAD","ESPECIE","CC","0 - 1.500.000","0 - 1.300.000"
"1","0","0","52","52381","ACTIVO","ND","1900-01-01","2008-01-01","Mujer","NARIÑO","LA FLORIDA","ND","30-49","MEJORAMIENTO CONDICIONES DE HABITABILIDAD","ESPECIE","CC","0 - 1.500.000","0 - 1.300.000"
"2","0","0","52","52110","ACTIVO","ND","1900-01-01","2009-01-01","Hombre","NARIÑO","BUESACO","Colombia",">65","MEJORAMIENTO CONDICIONES DE HABITABILIDAD","ESPECIE","CC","0 - 1.500.000","0 - 1.300.000"
"1","0","0","47","47030","ACTIVO","ND","1900-01-01","2009-01-01","Hombre","MAGDALENA","ALGARROBO","Colombia",">65","MEJORAMIENTO CONDICIONES DE HABITABILIDAD","ESPECIE","CC","0 - 1.500.000","0 - 1.300.000"
"1","0","0","85","85400","ACTIVO","ND","1900-01-01","2008-01-01","Mujer","CASANARE","TAMARA","ND","30-49","MEJORAMIENTO CONDICIONES DE HABITABILIDAD","ESPECIE","CC","0 - 1.500.000","0 - 1.300.000"
"1","0","0","47","47053","ACTIVO","AFROCOLOMBIANO – NEGRO","1900-01-01","2006-01-01","Mujer","MAGDALENA","ARACATACA","ND","30-49","MEJORAMIENTO CONDICIONES DE HABITABILIDAD","ESPECIE","CC","0 - 1.500.000","0 - 1.300.000"
"1","0","0","50","50270","ACTIVO","ND","1900-01-01","2014-01-01","Hombre","META","EL DORADO","169",">65","MEJORAMIENTO CONDICIONES DE HABITABILIDAD","ESPECIE","CC","0 - 1.500.000","0 - 1.300.000"
"1","0","0","66","66318","NO ACTIVO","ND","1900-01-01","2014-01-01","Hombre","RISARALDA","GUATICA","ND","30-49","MEJORAMIENTO CONDICIONES DE HABITABILIDAD","ESPECIE","CC","0 - 1.500.000","0 - 1.300.000"
"1","0","0","13","13001","NO ACTIVO","ND","1900-01-01","2014-01-01","ND","BOLIVAR","CARTAGENA","169","50-65","MEJORAMIENTO CONDICIONES DE HABITABILIDAD","ESPECIE","CC","0 - 1.500.000","0 - 1.300.000"
"1","0","0","44","44001","ACTIVO","INDIGENA","1900-01-01","2008-01-01","Hombre","LA GUAJIRA","RIOHACHA","ND","30-49","MEJORAMIENTO CONDICIONES DE HABITABILIDAD","ESPECIE","CC","0 - 1.500.000","0 - 1.300.000"
"1","0","0","76","76520","ACTIVO","AFROCOLOMBIANO – NEGRO","1900-01-01","2008-01-01","Mujer","VALLE","PALMIRA","ND","50-65","MEJORAMIENTO CONDICIONES DE HABITABILIDAD","ESPECIE","CC","0 - 1.500.000","0 - 1.300.000"
"1","0","0","54","54810","NO ACTIVO","ND","1900-01-01","2014-01-01","ND","NORTE DE SANTANDER","TIBU","169",">65","MEJORAMIENTO CONDICIONES DE HABITABILIDAD","ESPECIE","CC","0 - 1.500.000","0 - 1.300.000"
"1","0","0","70","70001","NO ACTIVO","INDIGENA","1900-01-01","2006-01-01","Hombre","SUCRE","SINCELEJO","ND","30-49","MEJORAMIENTO CONDICIONES DE HABITABILIDAD","ESPECIE","CC","0 - 1.500.000","0 - 1.300.000"
"3","0","0","47","47189","ACTIVO","ND","1900-01-01","2014-01-01","Hombre","MAGDALENA","CIENAGA","ND","50-65","MEJORAMIENTO CONDICIONES DE HABITABILIDAD","ESPECIE","CC","0 - 1.500.000","0 - 1.300.000"
"1","0","0","76","76233","ACTIVO","ND","1900-01-01","2006-01-01","Hombre","VALLE","DAGUA","ND","30-49","MEJORAMIENTO CONDICIONES DE HABITABILIDAD","ESPECIE","CC","0 - 1.500.000","0 - 1.300.000"
"1","0","0","70","70001","NO ACTIVO","ND","1900-01-01","2007-01-01","Mujer","SUCRE","SINCELEJO","169","50-65","MEJORAMIENTO CONDICIONES DE HABITABILIDAD","ESPECIE","CC","0 - 1.500.000","0 - 1.300.000"
"1","0","0","73","73001","ACTIVO","ND","1900-01-01","2007-01-01","Hombre","TOLIMA","IBAGUE","ND","30-49","MEJORAMIENTO CONDICIONES DE HABITABILIDAD","ESPECIE","CC","0 - 1.500.000","0 - 1.300.000"
"2","0","0","50","50001","NO ACTIVO","ND","1900-01-01","2007-01-01","Mujer","META","VILLAVICENCIO","Colombia","50-65","MEJORAMIENTO CONDICIONES DE HABITABILIDAD","ESPECIE","CC","0 - 1.500.000","0 - 1.300.000"
"1","0","0","68","68320","ACTIVO","ND","1900-01-01","2014-01-01","Hombre","SANTANDER","GUADALUPE","Colombia","50-65","MEJORAMIENTO CONDICIONES DE HABITABILIDAD","ESPECIE","CC","0 - 1.500.000","0 - 1.300.000"
"4","0","0","52","52001","ACTIVO","ND","1900-01-01","2005-01-01","Mujer","NARIÑO","PASTO","Colombia","50-65","MEJORAMIENTO CONDICIONES DE HABITABILIDAD","ESPECIE","CC","0 - 1.500.000","0 - 1.300.000"
"3","0","0","86","86001","NO ACTIVO","ND","1900-01-01","2008-01-01","ND","PUTUMAYO","MOCOA","169",">65","MEJORAMIENTO CONDICIONES DE HABITABILIDAD","ESPECIE","CC","0 - 1.500.000","0 - 1.300.000"
"1","0","0","47","47605","NO ACTIVO","ND","1900-01-01","2008-01-01","Mujer","MAGDALENA","REMOLINO","169","50-65","MEJORAMIENTO CONDICIONES DE HABITABILIDAD","ESPECIE","CC","0 - 1.500.000","0 - 1.300.000"
"1","0","0","47","47189","NO ACTIVO","ND","1900-01-01","2016-01-01","Hombre","MAGDALENA","CIENAGA","169","50-65","MEJORAMIENTO CONDICIONES DE HABITABILIDAD","ESPECIE","CC","0 - 1.500.000","0 - 1.300.000"
"1","0","0","63","63302","NO ACTIVO","ND","1900-01-01","2014-01-01","Hombre","QUINDIO","GENOVA","Colombia","50-65","MEJORAMIENTO CONDICIONES DE HABITABILIDAD","ESPECIE","CC","0 - 1.500.000","0 - 1.300.000"
"1","0","0","50","50313","NO ACTIVO","ND","1900-01-01","2014-01-01","Hombre","META","GRANADA","Colombia","50-65","MEJORAMIENTO CONDICIONES DE HABITABILIDAD","ESPECIE","CC","0 - 1.500.000","0 - 1.300.000"
"1","0","0","73","73483","NO ACTIVO","INDIGENA","1900-01-01","2014-01-01","Mujer","TOLIMA","NATAGAIMA","169","50-65","MEJORAMIENTO CONDICIONES DE HABITABILIDAD","ESPECIE","CC","0 - 1.500.000","0 - 1.300.000"
"1","0","0","73","73067","ACTIVO","ND","1900-01-01","2014-01-01","Mujer","TOLIMA","ATACO","ND","50-65","MEJORAMIENTO CONDICIONES DE HABITABILIDAD","ESPECIE","CC","0 - 1.500.000","0 - 1.300.000"
"2","0","0","68","68001","ACTIVO","ND","1900-01-01","2009-01-01","Mujer","SANTANDER","BUCARAMANGA","COLOMBIA","50-65","MEJORAMIENTO CONDICIONES DE HABITABILIDAD","ESPECIE","CC","0 - 1.500.000","0 - 1.300.000"
"1","0","0","73","73067","NO ACTIVO","ND","1900-01-01","2014-01-01","Hombre","TOLIMA","ATACO","COLOMBIA",">65","MEJORAMIENTO CONDICIONES DE HABITABILIDAD","ESPECIE","CC","0 - 1.500.000","0 - 1.300.000"
"1","0","0","47","47170","ACTIVO","ND","1900-01-01","2014-01-01","Hombre","MAGDALENA","CHIVOLO","ND",">65","MEJORAMIENTO CONDICIONES DE HABITABILIDAD","ESPECIE","CC","0 - 1.500.000","0 - 1.300.000"
