"n_expediente","tiposervicio","a_o","asuntoexpediente","municipio","vereda","coordenada_x","coordenada_y","estado"
"AFAA-0007/18","Autorizaciones Aprovechamiento Forestal de Arboles Aislados","2018","Solicitud Aprovechamiento de Arboles Aislados","SOCOTA","COMEZA HOYADA",,,"Archivo Definitivo"
"AFAA-0007/19","Autorizaciones Aprovechamiento Forestal de Arboles Aislados","2019","APROVECHAMIENTO FORESTAL DE ARBOLES AISLADOS","GAMEZA","LA VILLA",,,"Concepto Emitido"
"AFAA-0008/16","Autorizaciones Aprovechamiento Forestal de Arboles Aislados","2016","Solicitud por riesgo de caida","NOBSA","CENTRO",,,"Notificación realizada"
"AFAA-0008/17","Autorizaciones Aprovechamiento Forestal de Arboles Aislados","2017","SOLICITUD APROVECHAMIENTO FORESTAL DE ARBOLES AISLADOS","TUNJA","ZONA URBANA",,,"Notificación realizada"
"AFAA-0008/18","Autorizaciones Aprovechamiento Forestal de Arboles Aislados","2018","Aprovechamiento de Arboles Aislados","SOCHA","POZO",,,"En Espera Cumplimiento Requerimientos"
"AFAA-0009/16","Autorizaciones Aprovechamiento Forestal de Arboles Aislados","2016","CONSTRUCCION","NOBSA","CENTRO",,,"Notificación realizada"
"AFAA-0009/17","Aprovechamiento Forestal Especial","2017","SOLICITUD DE APROVECHAMIENTO FORESTAL DE ARBOLES AISLADOS.","PAUNA","TOPO GRANDE","1000573","1116637","Para Notificación"
"AFAA-0009/18","Autorizaciones Aprovechamiento Forestal de Arboles Aislados","2018","Aprovechamiento de Arboles Aislados","EL ESPINO","TOBAL",,,"Para Generar Acto Administrativo"
"AFAA-0010/16","Autorizaciones Aprovechamiento Forestal de Arboles Aislados","2016","Por construcción obra zona urbana (Ampliación de vía)","SOGAMOSO","ZONA URBANA",,,"Notificación realizada"
"AFAA-0010/17","Aprovechamiento Forestal Comercial","2017","APROVECHAMIENTO FORESTAL ARBOLES AISLADOS","TUNJA","ZONA URBANA",,,"Notificación realizada"
"CAPP-0005/12","Permiso Exploración Aguas Subterraneas","2012","POZO PROFUNDO","DUITAMA","ZONA URBANA",,,"Para Visita"
"AFAA-0010/18","Autorizaciones Aprovechamiento Forestal de Arboles Aislados","2018","APROVECHAMIENTO FORESTAL DE ARBOLES AISLADOS","PAIPA","ESPERANZA",,,"Notificación realizada"
"AFAA-0011/16","Autorizaciones Aprovechamiento Forestal de Arboles Aislados","2016","TALA PARA CAMBIAR POR VEGETACION NATIVA","DUITAMA","SAN ANTONIO SUR",,,"Notificación realizada"
"AFAA-0011/17","Aprovechamiento Forestal Doméstico","2017","SOLICITUD APROVECHAMIENTO FORESTAL DE ARBOLES AISLADOS","TUNJA","PIRGUA",,,"Notificación realizada"
"AFAA-0011/18","Autorizaciones Aprovechamiento Forestal de Arboles Aislados","2018","Aprovechamiento Árboles Aislados ubicados entre cultivos miscelaneos","PAUNA","CARARE",,,"Para Seguimiento"
"AFAA-0012/16","Autorizaciones Aprovechamiento Forestal de Arboles Aislados","2016","Ampliación de Vía","PAUNA","TOPITO Y QUIBUCO",,,"Para Generar Acto Administrativo"
"AFAA-0012/17","Autorizaciones Aprovechamiento Forestal de Arboles Aislados","2017","APROVECHAMIENTO FORESTAL DE ARBOLES AISLADOS","MOTAVITA","SALVIAL",,,"Notificación realizada"
"AFAA-0012/18","Autorizaciones Aprovechamiento Forestal de Arboles Aislados","2018","Aprovechamiento Árboles Aislados ubicados entre cultivos miscelaneos","PAUNA","MIABE",,,"En Espera Cumplimiento Requerimientos"
"AFAA-0012/19","Autorizaciones Aprovechamiento Forestal de Arboles Aislados","2019","APROVECHAMIENTO FORESTAL DE ARBOLES AISLADOS","MONIQUIRA","TIERRA DE GOMEZ",,,"Concepto Emitido"
"AFAA-0013/16","Autorizaciones Aprovechamiento Forestal de Arboles Aislados","2016","APROVECHAMIENTO FORESTAL ARBOLES AISLADOS","SOGAMOSO","ZONA URBANA",,,"Para Seguimiento"
"AFAA-0013/17","Autorizaciones Aprovechamiento Forestal de Arboles Aislados","2017","APROVECHAMIENTO FORESTAL DE ARBOLES AISLADOS","PAIPA","LA BOLSA",,,"Notificación realizada"
"AFAA-0013/18","Autorizaciones Aprovechamiento Forestal de Arboles Aislados","2018","APROVECHAMIENTO FORESTAL DE ARBOLES AISLADOS","VILLA DE LEYVA","EL ROBLE",,,"Notificación realizada"
"AFAA-0014/16","Aprovechamiento Forestal Especial","2016","APROVECHAMIENTO FORESTAL ARBOLES AISLADOS","TUNJA","ZONA URBANA",,,"Concepto Emitido"
"AFAA-0014/17","Aprovechamiento Forestal Especial","2017","SOLICITUD DE AUTORIZACION DE APROVECHAMIENTO FORESTAL DE ARBOLES AISLADOS EN LAS VEREDAS SAN ANTONIO Y CENTRO URBANO","RONDON","CENTRO",,,"En Espera Cumplimiento Requerimientos"
"AFAA-0014/18","Autorizaciones Aprovechamiento Forestal de Arboles Aislados","2018","APROVECHAMIENTO FORESTAL DE ARBOLES AISLADOS","TUNJA","ZONA URBANA",,,"Notificación realizada"
"AFAA-0015/16","Aprovechamiento Forestal Especial","2016","APROVECHAMIENTO FORESTAL ARBOLES AISLADOS","TUNJA","ZONA URBANA",,,"Para Seguimiento"
"AFAA-0015/17","Autorizaciones Aprovechamiento Forestal de Arboles Aislados","2017","Aprovechamiento Forestal de Arboles Aislados","ARCABUCO","CABECERAS",,,"Notificación realizada"
"AFAA-0015/18","Autorizaciones Aprovechamiento Forestal de Arboles Aislados","2018","APROVECHAMIENTO FORESTAL DE ARBOLES AISLADOS","TUNJA","ZONA URBANA",,,"Notificación realizada"
"AFAA-0016/16","Autorizaciones Aprovechamiento Forestal de Arboles Aislados","2016","CONSORCIO GM","BERBEO","CENTRO",,,"Vigente"
"AFAA-0016/17","Autorizaciones Aprovechamiento Forestal de Arboles Aislados","2017","Aprovechamiento Forestal de Arboles Aislados","TUNJA","ZONA URBANA",,,"Notificación realizada"
"AFAA-0016/18","Autorizaciones Aprovechamiento Forestal de Arboles Aislados","2018","Aprovechamiento de arboles ubicados en potreros rastrojados.","SAN EDUARDO","SAN PABLO",,,"Vigente"
"AFAA-0017/16","Autorizaciones Aprovechamiento Forestal de Arboles Aislados","2016","T.G.I S.A E.S.P","PAEZ","YAMUNTA",,,"Para Visita"
"AFAA-0017/17","Autorizaciones Aprovechamiento Forestal de Arboles Aislados","2017","APROVECHAMIENTO FORESTAL ARBOLES AISLADOS","ARCABUCO","RUPAVITA",,,"Notificación realizada"
"AFAA-0017/18","Autorizaciones Aprovechamiento Forestal de Arboles Aislados","2018","APROVECVHAMIENTO FORESTAL DE ARBOLES AISLADOS","CHITA","LAURELAL",,,"Concepto Emitido"
"AFAA-0018/16","Autorizaciones Aprovechamiento Forestal de Arboles Aislados","2016","MUNICIPIO DE MIRAFLORES","MIRAFLORES","AYATA",,,"Notificación realizada"
"AFAA-0018/17","Autorizaciones Aprovechamiento Forestal de Arboles Aislados","2017","APROVECHAMIENTO DE ARBOLES AISLADOS","TIBASOSA","CHORRITO",,,"Notificación realizada"
"AFAA-0018/18","Autorizaciones Aprovechamiento Forestal de Arboles Aislados","2018","Aprovechamiento Árboles Aislados por Construcción Obra","PUERTO BOYACA","ZONA URBANA",,,"Para Notificación"
"AFAA-0018/19","Autorizaciones Aprovechamiento Forestal de Arboles Aislados","2019","SOLICITUD APROVECHAMIENTO FORESTAL DE ARBOLES AISLADOS","SORACA","FAITOQUE",,,"Para Visita"
"AFAA-0019/16","Autorizaciones Aprovechamiento Forestal de Arboles Aislados","2016","APROVECHAMIENTO FORESTAL ARBOLES AISLADOS","VILLA DE LEYVA","CENTRO",,,"Para Firma Acto Administrativo"
"AFAA-0019/17","Autorizaciones Aprovechamiento Forestal de Arboles Aislados","2017","APROVECHAMIENTO DE ARBOLES AISLADOS","VILLA DE LEYVA","SABANA",,,"Notificación realizada"
"AFAA-0019/18","Autorizaciones Aprovechamiento Forestal de Arboles Aislados","2018","Aprovechamiento Árboles Aislados por Construcción Obra","PUERTO BOYACA","ZONA URBANA",,,"Para Notificación"
"AFAA-0020/16","Autorizaciones Aprovechamiento Forestal de Arboles Aislados","2016","APROVECHAMIENTO FORESTAL DE ARBOLES AISLADOS","SOGAMOSO","ZONA URBANA",,,"Notificación realizada"
"AFAA-0020/18","Autorizaciones Aprovechamiento Forestal de Arboles Aislados","2018","Aprovechamiento de Arboles Aislados asociados a cultivos","PAUNA","IBAMA",,,"Para Seguimiento"
"AFAA-0021/16","Autorizaciones Aprovechamiento Forestal de Arboles Aislados","2016","APROVECHAMIENTO FORESTAL DE ARBOLES AISLADOS","AQUITANIA","TOQUILLA",,,"Notificación realizada"
"AFAA-0021/17","Autorizaciones Aprovechamiento Forestal de Arboles Aislados","2017","APROVECHAMIENTO DE ARBOLES AISLADOS","PAUNA","BOQUIPI",,,"Notificación realizada"
"AFAA-0021/18","Autorizaciones Aprovechamiento Forestal de Arboles Aislados","2018","Aprovechamiento de Arboles Aislados asociados a cultivos","PAUNA","IBAMA",,,"Para Seguimiento"
"AFAA-0022/16","Autorizaciones Aprovechamiento Forestal de Arboles Aislados","2016","APROVECHAMIENTO FORESTAL DE ARBOLES AISLADOS","TUNJA","ZONA URBANA",,,"Notificación realizada"
"AFAA-0022/17","Autorizaciones Aprovechamiento Forestal de Arboles Aislados","2017","Aprovechamiento Forestal de Arboles Aislados","OTANCHE","LA LAGUNA",,,"Notificación realizada"
"AFAA-0022/18","Autorizaciones Aprovechamiento Forestal de Arboles Aislados","2018","APROVECHAMIENTO FORESTAL DE ARBOLES AISLADOS","ARCABUCO","MONTE SUAREZ",,,"Para Generar Acto Administrativo"
"AFAA-0023/16","Autorizaciones Aprovechamiento Forestal de Arboles Aislados","2016","AUTORIZACIÓN ÁRBOLES AISLADOS","TUNJA","PIRGUA",,,"Notificación realizada"
"AFAA-0023/17","Autorizaciones Aprovechamiento Forestal de Arboles Aislados","2017","Aprovechamiento de Arboles Aislados","PAUNA","HONDA Y VOLCAN",,,"En Espera Cumplimiento Requerimientos"
"AFAA-0023/19","Autorizaciones Aprovechamiento Forestal de Arboles Aislados","2019","APROVECHAMIENTO FORESTAL DE ARBOLES AISLADOS","SORACA","ROSAL",,,"Para Visita"
"AFAA-0024/17","Autorizaciones Aprovechamiento Forestal de Arboles Aislados","2017","Solicitud Aprovechamiento de Arboles Aislados","MARIPI","CARRERA",,,"En Espera Cumplimiento Requerimientos"
"AFAA-0024/18","Autorizaciones Aprovechamiento Forestal de Arboles Aislados","2018","SOLICITUD DE AUTORIZACION DE APROVECHAMIENTO FORESTAL DE ARBOLES ASLADOS EN LA VDA CHAPACIA DE MIRAFLORES","MIRAFLORES","CHAPACIA",,,"Vigente"
"AFAA-0025/17","Autorizaciones Aprovechamiento Forestal de Arboles Aislados","2017","Aprovechamiento de Arboles Aislados","MARIPI","CARRERA",,,"En Espera Cumplimiento Requerimientos"
"AFAA-0025/18","Autorizaciones Aprovechamiento Forestal de Arboles Aislados","2018","APROVECHAMIENTO FORESTAL DE ARBOLES AISLADOS","PAIPA","RINCON DE VARGAS",,,"Notificación realizada"
"AFAA-0026/17","Autorizaciones Aprovechamiento Forestal de Arboles Aislados","2017","SOLICITUD APROVECHAMIENTO FORESTAL DE ARBOLES AISLADOS","OTANCHE","CORTADERAL",,,"Notificación realizada"
"AFAA-0026/18","Autorizaciones Aprovechamiento Forestal de Arboles Aislados","2018","APROVECHAMIENTO DE ARBOLES AISLADOS","TUNUNGUA","PEÑA BLANCA","5 44 3.08","73 36 28","Para Seguimiento"
"AFAA-0027/17","Autorizaciones Aprovechamiento Forestal de Arboles Aislados","2017","APROVECHAMIENTO DE ARBOLES AISLADOS","OTANCHE","BUENAVISTA",,,"Notificación realizada"
"AFAA-0027/18","Autorizaciones Aprovechamiento Forestal de Arboles Aislados","2018","APROVECHAMIENTO DE ARBOLES AISLADOS","DUITAMA","ZONA URBANA",,,"Notificación realizada"
"AFAA-0028/18","Autorizaciones Aprovechamiento Forestal de Arboles Aislados","2018","APROVECHAMIENTO DE ARBOLES AISLADOS","JERICO","TAPIAS",,,"Para Generar Acto Administrativo"
"AFAA-0029/17","Autorizaciones Aprovechamiento Forestal de Arboles Aislados","2017","APROVECHAMIENTO FORESTAL DE ARBOLES AISLADOS","OTANCHE","PALENQUE",,,"Notificación realizada"
"AFAA-0029/18","Autorizaciones Aprovechamiento Forestal de Arboles Aislados","2018","SOLICITUD APROVECHAMIENTO DE ARBOLES AISLADOS","PAUNA","MANOTE",,,"Notificación realizada"
"AFAA-0030/17","Autorizaciones Aprovechamiento Forestal de Arboles Aislados","2017","SOLICITUD APROVECHAMIENTO FORESTAL DE ARBOLES AISLADOS","SOGAMOSO","PANTANITOS",,,"Notificación realizada"
"AFAA-0031/17","Autorizaciones Aprovechamiento Forestal de Arboles Aislados","2017","SOLICITUD DE APROVECHAMIENTO DE ARBOLES AISLADOS","BELEN","EL BOSQUE",,,"Notificación realizada"
"AFAA-0031/18","Autorizaciones Aprovechamiento Forestal de Arboles Aislados","2018","APROVECHAMIENTO FORESTAL DE ARBOLES AISLADOS","OTANCHE","EL ROBLE",,,"Notificación realizada"
"AFAA-0032/17","Autorizaciones Aprovechamiento Forestal de Arboles Aislados","2017","Aprovechamiento de Arboles Aislados","LA UVITA","CANITAS",,,"Para Notificación"
"AFAA-0032/18","Autorizaciones Aprovechamiento Forestal de Arboles Aislados","2018","SOLICITUD APROVECHAMIENTO DE ARBOLES AISLADOS","COMBITA","SAN ONOFRE",,,"Notificación realizada"
"AFAA-0033/17","Autorizaciones Aprovechamiento Forestal de Arboles Aislados","2017","SOLICITUD DE APROVECHAMIENTO DE ARBOLES AISLADOS","OTANCHE","CORTADERAL",,,"Notificación realizada"
"AFAA-0033/18","Autorizaciones Aprovechamiento Forestal de Arboles Aislados","2018","APROVECHAMIENTO DE ARBOLES AISLADOS","PAUNA","MIABE","5°41.30´´45´","74°5.33´1´","Notificación realizada"
"AFAA-0034/17","Autorizaciones Aprovechamiento Forestal de Arboles Aislados","2017","APROVECHAMIENTO FORESTAL DE ARBOLES AISLADOS","OTANCHE","PENJAMO",,,"Para Seguimiento"
"AFAA-0034/18","Autorizaciones Aprovechamiento Forestal de Arboles Aislados","2018","APROVECHAMIENTO DE ARBOLES AISLADOS","COPER","CANTINO","5°13.65´´29´","74°41.1´´1´","Notificación realizada"
"AFAA-0035/17","Autorizaciones Aprovechamiento Forestal de Arboles Aislados","2017","APROVECHAMIENTO FORESTAL DE ARBOLES AISLADOS","OTANCHE","PALENQUE",,,"Notificación realizada"
"AFAA-0035/18","Autorizaciones Aprovechamiento Forestal de Arboles Aislados","2018","APROVECHAMIENTO DE ARBOLES AISLADOS","PAUNA","AGUSAL","5°41´38.27´´","73°57´56.04´´","Notificación realizada"
"AFAA-0036/17","Autorizaciones Aprovechamiento Forestal de Arboles Aislados","2017","APROVECHAMIENTO FORESTAL DE ARBOLES AISLADOS","SAMACA","TIBAQUIRA",,,"Notificación realizada"
"AFAA-0036/18","Autorizaciones Aprovechamiento Forestal de Arboles Aislados","2018","APROVECHAMIENTO DE ARBOLES AISLADOS","PAUNA","CARACOL","5°40´2.06´´","73°58´38.24´´","Notificación realizada"
"AFAA-0037/17","Autorizaciones Aprovechamiento Forestal de Arboles Aislados","2017","APROVECHAMIENTO FORESTAL DE ARBOLES AISLADOS","PAIPA","ESPERANZA",,,"Notificación realizada"
"AFAA-0037/18","Autorizaciones Aprovechamiento Forestal de Arboles Aislados","2018","APROVECHAMIENTO DE ARBOLES AISLADOS","MARIPI","GUAYABAL","5°25.9´35´´","74°26.6´0´´","Notificación realizada"
"AFAA-0038/17","Autorizaciones Aprovechamiento Forestal de Arboles Aislados","2017","Aprovechamiento de Arboles Aislados asociados a cultivos","MARIPI","MARIPI VIEJO",,,"Para Seguimiento"
"AFAA-0079/18","Autorizaciones Aprovechamiento Forestal de Arboles Aislados","2018","APROVECHAMIENTO FORESTAL DE ÁRBOLES AISLADOS","OTANCHE","CARTAGENA",,,"Concepto Emitido"
"AFAA-0038/18","Autorizaciones Aprovechamiento Forestal de Arboles Aislados","2018","APROVECHAMIENTO DE ARBOLES AISLADOS","SAN PABLO DE BORBUR","CALAMACO","5°38´8.15´´","74°6´52.86´´","Notificación realizada"
"AFAA-0039/17","Autorizaciones Aprovechamiento Forestal de Arboles Aislados","2017","APROVECHAMIENTO FORESTAL DE ARBOLES AISLADOS","ARCABUCO","QUEMADOS",,,"Notificación realizada"
"AFAA-0039/18","Autorizaciones Aprovechamiento Forestal de Arboles Aislados","2018","SOLICITUD APROVECHAMIENTO DE ARBOLES AISLADOS","DUITAMA","QUEBRADA DE BECERRA",,,"Notificación realizada"
"AFAA-0040/17","Autorizaciones Aprovechamiento Forestal de Arboles Aislados","2017","APROVECHAMIENTO FORESTAL DE ARBOLES AISLADOS","CHITA","LA PLAYA",,,"Notificación realizada"
"AFAA-0040/18","Autorizaciones Aprovechamiento Forestal de Arboles Aislados","2018","APROVECHAMIENTO DE ARBOLES AISLADOS","SAN PABLO DE BORBUR","CONSUELO","5°42´21.85´´","74°5´50.11´´","Notificación realizada"
"AFAA-0041/17","Autorizaciones Aprovechamiento Forestal de Arboles Aislados","2017","APROVECHAMIENTO FORESTAL DE ARBOLES AISLADOS","MOTAVITA","SALVIAL",,,"Notificación realizada"
"AFAA-0041/18","Autorizaciones Aprovechamiento Forestal de Arboles Aislados","2018","APROVECHAMIENTO DE ARBOLES AISLADOS","PAUNA","MANOTE","5°22.9´38´´","73°49.7´58´´","Notificación realizada"
"AFAA-0042/17","Autorizaciones Aprovechamiento Forestal de Arboles Aislados","2017","APROVECHAMIENTO FORESTAL DE ARBOLES AISLADOS","QUIPAMA","EL PARQUE",,,"En Espera Cumplimiento Requerimientos"
"AFAA-0042/18","Autorizaciones Aprovechamiento Forestal de Arboles Aislados","2018","APROVECHAMIENTO DE ARBOLES AISLADOS","PAUNA","TOPITO Y QUIBUCO","5°40´8.04´´","74°1´55.34´´","Para Seguimiento"
"AFAA-0043/17","Autorizaciones Aprovechamiento Forestal de Arboles Aislados","2017","SOLICITUD APROVECHAMIENTO FORESTAL DE ARBOLES AISLADOS","COPER","RESGUARDO",,,"Para Seguimiento"
"AFAA-0043/18","Autorizaciones Aprovechamiento Forestal de Arboles Aislados","2018","SOLICITUD APROVECHAMIENTO DE ARBOLES AISLADOS","TASCO","CALLE ARRIBA",,,"Notificación realizada"
"AFAA-0044/17","Autorizaciones Aprovechamiento Forestal de Arboles Aislados","2017","APROVECHAMIENTO FORESTAL DE ARBOLES AISLADOS","COPER","RESGUARDO",,,"Para Seguimiento"
"AFAA-0044/18","Autorizaciones Aprovechamiento Forestal de Arboles Aislados","2018","SOLICITUD APROVECHAMIENTO DE ARBOLES AISLADOS","PANQUEBA","FRANCO",,,"Notificación realizada"
"AFAA-0045/17","Autorizaciones Aprovechamiento Forestal de Arboles Aislados","2017","SOLICITUD APROVECHAMIENTO FORESTAL DE ARBOLES AISLADOS","PAIPA","RINCON DE VARGAS",,,"Notificación realizada"
"AFAA-0045/18","Autorizaciones Aprovechamiento Forestal de Arboles Aislados","2018","APROVECHAMIENTO DE ARBOLES AISLADOS","PAUNA","CARACOL","5°49.59´40´´","73°15.23´59´´","Para Seguimiento"
"AFAA-0046/17","Autorizaciones Aprovechamiento Forestal de Arboles Aislados","2017","SOLICITUD APROVECHAMIENTO FORESTAL DE ARBOLES AISLADOS","DUITAMA","SANTA ANA",,,"Notificación realizada"
"AFAA-0046/18","Autorizaciones Aprovechamiento Forestal de Arboles Aislados","2018","APROVECHAMIENTO DE ARBOLES AISLADOS","PAUNA","HONDA Y VOLCAN","5°54.37´38´´","73°27.35´59´´","Para Seguimiento"
"AFAA-0047/17","Autorizaciones Aprovechamiento Forestal de Arboles Aislados","2017","APROVECHAMIENTO FORESTAL DE ARBOLES AISLADOS","PAIPA","VOLCAN",,,"Notificación realizada"
"AFAA-0047/18","Autorizaciones Aprovechamiento Forestal de Arboles Aislados","2018","SOLICITUD APROVECHAMIENTO DE ARBOLES AISLADOS","PAUNA","TRAVESIA Y OTRO MUNDO",,,"Notificación realizada"
"AFAA-0048/17","Autorizaciones Aprovechamiento Forestal de Arboles Aislados","2017","APROVECHAMIENTO FORESTAL DE ARBOLES AISLADOS","OTANCHE","EL CARMEN",,,"Para Generar Acto Administrativo"
"AFAA-0048/18","Autorizaciones Aprovechamiento Forestal de Arboles Aislados","2018","APROVECHAMIENTO DE ARBOLES AISLADOS","MARIPI","SANTA ROSA","5°34´47.76´´","74°3´7.25´´","Para Seguimiento"
"AFAA-0049/17","Autorizaciones Aprovechamiento Forestal de Arboles Aislados","2017","SOLICITUD APROVECHAMIENTO FORESTAL DE ARBOLES AISLADOS","SOGAMOSO","ZONA URBANA",,,"Notificación realizada"
"AFAA-0049/18","Autorizaciones Aprovechamiento Forestal de Arboles Aislados","2018","APROVECHAMIENTO DE ARBOLES AISLADOS","BRICEÑO","TABOR","5°41´30.28´´","73°54´6.73´´","Para Seguimiento"
"AFAA-0050/17","Autorizaciones Aprovechamiento Forestal de Arboles Aislados","2017","SOLICITUD APROVECHAMIENTO FORESTAL DE ARBOLES AISLADOS","TOCA","CUNUCA",,,"Notificación realizada"
"AFAA-0050/18","Autorizaciones Aprovechamiento Forestal de Arboles Aislados","2018","APROVECHAMIENTO DE ARBOLES AISLADOS","PAUNA","HONDA Y VOLCAN","5°41.2´38´´","73°15.7´59´´","Para Seguimiento"
"AFAA-0051/17","Autorizaciones Aprovechamiento Forestal de Arboles Aislados","2017","SOLICITUD APROVECHAMIENTO FORESTAL DE ARBOLES AISLADOS","PAIPA","PENA AMARILLA",,,"Notificación realizada"
"AFAA-0051/18","Autorizaciones Aprovechamiento Forestal de Arboles Aislados","2018","SOLICITUD APROVECHAMIENTO DE ARBOLES AISLADOS","PAUNA","TRAVESIA Y OTRO MUNDO",,,"Concepto Emitido"
"AFAA-0052/17","Autorizaciones Aprovechamiento Forestal de Arboles Aislados","2017","SOLICITUD APROVECHAMIENTO FORESTAL DE ARBOLES AISLADOS","BRICEÑO","YOPOS",,,"Notificación realizada"
"AFAA-0052/18","Autorizaciones Aprovechamiento Forestal de Arboles Aislados","2018","APROVECHAMIENTO FORESTAL DE ARBOLES AISLADOS","CUCAITA","ESCALONES",,,"Notificación realizada"
"AFAA-0053/17","Autorizaciones Aprovechamiento Forestal de Arboles Aislados","2017","APROVECHAMIENTO FORESTAL DE ARBOLES AISLADOS","PAIPA","CRUZ DE MURCIA",,,"Notificación realizada"
"AFAA-0053/18","Autorizaciones Aprovechamiento Forestal de Arboles Aislados","2018","APROVECHAMIENTO FORESTAL DE ARBOLES AISLADOS","ARCABUCO","ZONA URBANA",,,"Para Emitir Concepto Técnico"
