"departamento","minicipio","nombre_de_la_sede","direcci_n","coordenadas","telefono","email","nombre_grupo_del_servicio","nombre_del_servicio"
"Valle del Cauca","CALI","CENTRO ESPECIALIZADO EN FRACTURAS Y LESIONES DEPORTIVAS","CL 44N # 3H-20","(3.4807778, -76.5215)","926649047","administracion@centrodefracturas.co; elizabethtrujillo57@yahoo.es","Consulta Externa","309-DOLOR Y CUIDADOS PALIATIVOS - NO ONCOLÓGICO"
"Valle del Cauca","CALI","CESAR MARINO FERREROSA TAMAYO","CARRERA 38 A # 5A - 100 CONSULTORIO 248 TORRE A","(3.4239444, -76.5442778)","5589632 - 5583495","cferrerosa@imbanaco.com.co","Consulta Externa","373-CIRUGÍA ONCOLÓGICA"
"Valle del Cauca","CALI","RENE FERNANDO RODRIGUEZ JURADO","CL 44 # 3H-20","(3.4807778, -76.5215)","6649047","renerodriguezmd@hotmail.com","Consulta Externa","309-DOLOR Y CUIDADOS PALIATIVOS - SI ONCOLÓGICO"
"Valle del Cauca","CALI","FUNDALIVIO LTDA","CALLE 19N # 5N-35 CS 801-706-707","(3.4605833, -76.5298056)","6607749","fundalivio@fundalivio.com","Consulta Externa","309-DOLOR Y CUIDADOS PALIATIVOS - SI ONCOLÓGICO"
"Valle del Cauca","CALI","FUNDACION VALLE DEL LILI","KR 98 # 18-49","(3.3713056, -76.52575)","3319090","habilitación@fvl.org.co","Quirúrgicos","210-CIRUGÍA ONCOLÓGICA"
"Valle del Cauca","CALI","FUNDACION VALLE DEL LILI - SEDE BETANIA","CL 50 # 118 A - 68","(3.3503611, -76.5147222)","5554111 - 3319090 ext4017 - 3319090 ext 4018","habilitacion@fcvl.org","Consulta Externa","309-DOLOR Y CUIDADOS PALIATIVOS - SI ONCOLÓGICO"
"Valle del Cauca","CALI","CLINICA DE OCCIDENTE","CALLE 18 NORTE # 5N-34","(3.4605278, -76.5301389)","6603000","clinicalidad@cdo-sa.com","Consulta Externa","373-CIRUGÍA ONCOLÓGICA"
"Valle del Cauca","CALI","CLINICA DE OCCIDENTE CENTRO DE ESPECIALISTAS","AV 5A # 19 Norte - 12","(3.4610833, -76.5297778)","6603000","clinicalidad@cdo-sa.com","Consulta Externa","309-DOLOR Y CUIDADOS PALIATIVOS - SI ONCOLÓGICO"
"Valle del Cauca","CALI","CLINICA DE OCCIDENTE CENTRO INTEGRAL DE CANCER","CL 19 N Nro. 5N 49","(3.4605833, -76.5298056)","6603000","clinicalidad@cdo-sa.com","Apoyo Diagnóstico y Complementación Terapéutica","711-RADIOTERAPIA"
"Valle del Cauca","CALI","Ana Cristina Avendaño Rojas","Calle 5 B5 38-10 consultorio 401","(3.4249444, -76.5428056)","5584394 6821000 ext 3208","anacristinaa@imbananco.com.co","Consulta Externa","336-ONCOLOGÍA CLÍNICA"
"Valle del Cauca","CALI","HOSPITAL SAN JUAN DE DIOS","CRA 4 # 17-67","(3.4549722, -76.5276944)","4892222","hsanjuandedios@hospitaldesanjuandedios.org.co","Quirúrgicos","210-CIRUGÍA ONCOLÓGICA"
"Valle del Cauca","CALI","ALVARO JAIME GUERRERO VILLOTA","CARRERA 38A # 5A-100 TORRE A CONS 247-2 CMI","(3.4239444, -76.5442778)","5584243","ajguerrerov@hotmail.com","Consulta Externa","336-ONCOLOGÍA CLÍNICA"
"Valle del Cauca","CALI","E.S.E. HOSPITAL UNIVERSITARIO DEL VALLE EVARISTO GARCIA EMPRESA SOCIAL DEL ESTADO","CALLE 5 # 36 - 08","(3.4311944, -76.5438056)","6206000 Extension 1010","direcciongeneral@huv.gov.co","Quirúrgicos","210-CIRUGÍA ONCOLÓGICA"
"Valle del Cauca","CALI","E.S.E. HOSPITAL DEPARTAMENTAL MARIO CORREA RENGIFO","CRA 78 CALLE OESTE 2A-00","(3.3872778, -76.5581389)","3180020","hmariocorrea@emcali.net.co","Quirúrgicos","217-OTRAS CIRUGÍAS - NO ONCOLÓGICO"
"Valle del Cauca","CALI","CLINICA REY DAVID","KR 34 # 7-00","(3.4268333, -76.5383333)","5185000","gestion_comercial@cosmitet.net","Consulta Externa","336-ONCOLOGÍA CLÍNICA"
"Valle del Cauca","CALI","CLINICA COLSANITAS S.A SEBASTIAN DEL BELALCAZAR","AV 4 NORTE # 7N-81","(3.4548056, -76.53725)","6607001","feerazo@colsanitas.com y mlmoreno@colsanitas.com y learias@colsanitas.com","Quirúrgicos","210-CIRUGÍA ONCOLÓGICA"
"Valle del Cauca","CALI","CLINISANITAS NORTE","AV 4 NORTE # 7N-53 PISOS 5,7 Y 8","(3.4547778, -76.5372778)","6606793/6, 6607001 Ext 5722802 y 5722701","vecardona@colsanitas.com y vcasas@colsanitas.com","Consulta Externa","379-GINECOLOGÍA ONCOLÓGICA"
"Valle del Cauca","CALI","RECUPERAR SA IPS 08","CALLE 5A No 40-15","(3.4233056, -76.54625)","4883333","admon@recuperarips.com","Apoyo Diagnóstico y Complementación Terapéutica","709-QUIMIOTERAPIA"
"Valle del Cauca","CALI","RECUPERAR S.A. IPS - 3","CL 5A # 40-21","(3.42325, -76.54625)","4883333 ext 101-102","admon@recuperarips.com,gerencia1@recuperarips.com","Quirúrgicos","210-CIRUGÍA ONCOLÓGICA"
"Valle del Cauca","CALI","RECUPERAR S.A. IPS TEQUENDAMA SEDE # 4","CRA 41 No. 5A-17","(3.4226667, -76.54625)","4883333","admon@recuperarips.com","Consulta Externa","309-DOLOR Y CUIDADOS PALIATIVOS - SI ONCOLÓGICO"
"Valle del Cauca","CARTAGO","RECUPERAR S.A. IPS","KR 3N # 15-29","(3.4226667, -76.54625)","2109163","admon@recuperarips.com,gerencia1@recuperarips.com","Consulta Externa","336-ONCOLOGÍA CLÍNICA"
"Valle del Cauca","CALI","OLGA MARCELA URREGO MELENDEZ","CARRERA 38A # 5A-100 TORRE A CONS 215","(3.4239444, -76.5442778)","5582188","marcela.urrego.pagos@imbanaco.com.co","Consulta Externa","406-HEMATOLOGÍA ONCOLÓGICA"
"Valle del Cauca","CALI","OLGA MARCELA URREGO MELENDEZ","AVENIDA 4TA NORTE # 7N - 53","(3.4547778, -76.53725)","6670084","marcela.urrego@imbanaco.com.co","Consulta Externa","336-ONCOLOGÍA CLÍNICA"
"Valle del Cauca","CALI","Clinica Esimed Cali Norte","Av 3 norte #32an - 40","(3.4697778, -76.5219167)","3166927534- 3156288330","irgutierrezm@isaludcoop.coop - irgutierrezm@esimed.com.co","Quirúrgicos","210-CIRUGÍA ONCOLÓGICA"
"Valle del Cauca","CALI","cemes cali","cll 23d #4n - 21","(3.4656389, -76.5258611)","3166927534- 3156288330","lahernandezr@esimed.com.co - irgutierrezm@isaludcoop.coop","Consulta Externa","336-ONCOLOGÍA CLÍNICA"
"Valle del Cauca","CALI","MEDINUCLEAR DEL VALLE LTDA.","KR 46 # 9C-85","(3.4146667, -76.5381667)","925131036","medinucleardelvalle@yahoo.com","Consulta Externa","383-MEDICINA NUCLEAR - SI ONCOLÓGICO"
"Valle del Cauca","CALI","MEDINUCLEAR DEL VALLE SEDE VERSALLES","CL 21N # 5B- 27","(3.4626944, -76.5301389)","926685760","medinucleardelvalle@yahoo.com","Apoyo Diagnóstico y Complementación Terapéutica","715-MEDICINA NUCLEAR - SI ONCOLÓGICO"
"Valle del Cauca","CALI","HEMATO-ONCOLOGOS S.A INSTITUTO DE ONCOLOGIA","CL 5 B 5 No. 38-10","(3.4249167, -76.5428056)","925245839","calidad@hematooncologos.com","Apoyo Diagnóstico y Complementación Terapéutica","709-QUIMIOTERAPIA"
"Valle del Cauca","TULUÁ","HEMATO ONCOLOGOS S.A.- TULUA","Calle 26 No. 32A-34","(3.4263056, -76.5371667)","2245357","calidad@hematooncologos.com","Consulta Externa","336-ONCOLOGÍA CLÍNICA"
"Valle del Cauca","CALI","INSTITUTO MEDICO CUBANO","CALLE 5B 4 # 38-59","(3.4251111, -76.5434444)","3768488 - 3183400136","imcubano@hotmail.com","Consulta Externa","309-DOLOR Y CUIDADOS PALIATIVOS - NO ONCOLÓGICO"
"Valle del Cauca","CALI","MIGUEL ANTONIO QUINTERO MORALES","Avda. 5AN #17-98 CS 209 EDIFICIO NUCLEO PROFESIONAL","(3.4604722, -76.5308611)","926666880","miguelquintero@latinmail.com","Consulta Externa","379-GINECOLOGÍA ONCOLÓGICA"
"Valle del Cauca","CALI","CLINICA MED S.A","Carrera 38 5B2-34","(3.4269167, -76.5441389)","4880909 - 5142199 - 3148944200","andrea@laclinicamed.com, servicioalcliente@laclinicamed.com; contadora@laclinicamed.com","Consulta Externa","309-DOLOR Y CUIDADOS PALIATIVOS - NO ONCOLÓGICO"
"Valle del Cauca","CALI","CLINICA MED - CDC","CALLE 5 B3 #38-44","(3.4260278, -76.5442778)","4880909 Ext. 1213 / 1205","andrea@laclinicamed.com,servicioalcliente@laclinicamed.com","Consulta Externa","309-DOLOR Y CUIDADOS PALIATIVOS - SI ONCOLÓGICO"
"Valle del Cauca","CALI","JUAN MANUEL HERRERA PARGA","KR 38A # 5A-100 TO A CS 416-3","(3.4239444, -76.5442778)","6821000 - EXT 1630","jhherrera@telesat.com.co","Consulta Externa","406-HEMATOLOGÍA ONCOLÓGICA"
"Valle del Cauca","CALI","Villalobos Triviño Francisco Javier","Calle 5 B3 No 38 - 44 Consultorio 213","(3.4260278, -76.5442778)","5142525-3108919557","francisco@laclinicamed.com","Consulta Externa","309-DOLOR Y CUIDADOS PALIATIVOS - NO ONCOLÓGICO"
"Valle del Cauca","CALI","FUNDACION ICOMSALUD IPS","CARRERA 66B No. 6-59","(3.3968611, -76.5448333)","5546457 - 3704435","coordinacionpado@icomsaludips.com","Consulta Externa","309-DOLOR Y CUIDADOS PALIATIVOS - NO ONCOLÓGICO"
"Valle del Cauca","CALI","CLINICA COLOMBIA ES","CRA 46 # 9C-85","(3.4146667, -76.5381944)","3850285","calidad@clinicacolombiaes.com","Quirúrgicos","217-OTRAS CIRUGÍAS CIRUGIA ABDOMINAL - NO ONCOLÓGICO"
"Valle del Cauca","CALI","rene alejandro linares giraldo","Cr 38 Bis No 5B2-04 - consultorio # 2","(3.4264444, -76.5452778)","3164780130 - 3112628638","renelinaresg@yahoo.com","Consulta Externa","309-DOLOR Y CUIDADOS PALIATIVOS - NO ONCOLÓGICO"
"Valle del Cauca","CALI","CARLOS ANDRES PORTILLA FIGUEROA","KR 38A #5A-100 TO A CS 247-1","(3.4239444, -76.5442778)","5141350","carlos.portilla.asistente@imbanaco.com.co","Consulta Externa","391-ONCOLOGÍA Y HEMATOLOGÍA PEDIÁTRICA"
"Valle del Cauca","CALI","CERIO IPS CIUDAD JARDÍN","CL 15 A # 103 - 20 / OFICINA 301","(3.3653333, -76.5325833)","3451598","gerencia@cerioips.com","Consulta Externa","309-DOLOR Y CUIDADOS PALIATIVOS - NO ONCOLÓGICO"
"Valle del Cauca","CALI","Asisfarma Tequendama Cali","Cra 41 No 5c -63","(3.4223056, -76.5451944)","3212056288","asistencia@asisfarma.com.co","Apoyo Diagnóstico y Complementación Terapéutica","709-QUIMIOTERAPIA"
"Valle del Cauca","CALI","ONCODERMA S.A.S.","CALLE 5B3 # 38-44 LC 1","(3.4260278, -76.5442778)","3797134","oncoderma@gmail.com","Consulta Externa","375-DERMATOLOGÍA ONCOLÓGICA"
"Valle del Cauca","CALI","OSCAR ANDRES ESCOBAR VIDARTE","CALLE 15A N°103-20 PARQUE 103 CONS. 301","(3.3653333, -76.5325833)","3003068592","neuroescobar@yahoo.com","Consulta Externa","309-DOLOR Y CUIDADOS PALIATIVOS - NO ONCOLÓGICO"
"Valle del Cauca","CALI","JOSE SAULO TORRES DELGADO","CALLE 5 D # 38 A - 35 TORRE 2 CONSUL 812","(3.4228611, -76.5426111)","3127106295","josesaulo@gmail.com","Consulta Externa","375-DERMATOLOGÍA ONCOLÓGICA"
"Valle del Cauca","CALI","CENTRO MEDICO INTEGRATIVO MANA S.A.S.","AV 7N # 25AN - 08","(3.4685833, -76.5315556)","3108211543","consultoriomedicomana@hotmail.com","Consulta Externa","336-ONCOLOGÍA CLÍNICA"
"Valle del Cauca","CALI","FRANTZ JOSE COLIMON GOMEZ","AVENIDA 4ta NORTE # 7N-53 OFICINA 604 6to PISO","(3.4547778, -76.53725)","6670084","bperez.secretaria@imbanaco.com.co","Consulta Externa","309-DOLOR Y CUIDADOS PALIATIVOS - NO ONCOLÓGICO"
"Valle del Cauca","CALI","CLINICA ESENSA","CARRERA 44 NO 9C 58","(3.4155556, -76.5379167)","3808010 EXT 2505 2000","gerencia@clinicaesensa.com","Quirúrgicos","232-CIRUGÍA DE MAMA Y TUMORES TEJIDOS BLANDOS - NO ONCOLÓGICO"
"Valle del Cauca","CALI","CLINICA NUEVA RAFAEL URIBE URIBE SAS","CALLE 25 NORTE 2BN - 17","(3.4683333, -76.5245)","032 485 0115","jaime.quintero@cnruu.com.co","Consulta Externa","309-DOLOR Y CUIDADOS PALIATIVOS - NO ONCOLÓGICO"
"Valle del Cauca","CALI","CLINICA CASTELLANA","AVENIDAD 5N Nº 21 - 86/94","(3.4625833, -76.528)","3183911583","clinicacatellana2@gmail.com","Consulta Externa","309-DOLOR Y CUIDADOS PALIATIVOS - NO ONCOLÓGICO"
"Valle del Cauca","CALI","liliana maria yepes gomez","Av 4n 7n - 53 cons 605","(3.454777, -76.53725)","6606766","lmyepesg@gmail.com","Consulta Externa","379-GINECOLOGÍA ONCOLÓGICA"
"Valle del Cauca","CALI","ORTOPEDISTAS ONCOLOGOS S.A.S","CALLE 5D # 38A-35 CONSULTORIOS 1138 - 1139 TORRE 1","(3.4228333, -76.54225)","3087674 - 3043816198 - 3187917849","ortopedistasoncologos@ecgcolombia.org","Consulta Externa","393-ORTOPEDIA ONCOLÓGICA"
"Valle del Cauca","CALI","SPORTMEDS CENTRO MÉDICO","Carrera 105 #14-125 piso 3","(3.3646389, -76.5346389)","3087784 - 3164647074","contacto@sportmeds.com.co","Consulta Externa","309-DOLOR Y CUIDADOS PALIATIVOS - NO ONCOLÓGICO"
"Valle del Cauca","CALI","PAOLA ANDREA SEDANO ZARTA","Calle 36N N° 6A-65, Edificio Pacific Mall, consultorio 906","(3.4744444, -76.5278333)","323451899 - 3135055373","paoseda27@hotmail.com","Consulta Externa","370-CIRUGÍA PLÁSTICA ONCOLÓGICA"
"Valle del Cauca","CALI","Pablo Jose Benavides Serralde","avenida 5 norte 21 86 CS 402","(3.4623611, -76.5280833)","3153537899","pjbenavides@hotmail.com","Consulta Externa","309-DOLOR Y CUIDADOS PALIATIVOS - NO ONCOLÓGICO"
"Valle del Cauca","BUENAVENTURA","CLINICA SANTA SOFIA DEL PACIFICO LTDA","CRA 47 # 04-02","(3.4183889, -76.5499444)","2421880","admonsantasofia@cosmitet.net","Quirúrgicos","210-CIRUGÍA ONCOLÓGICA"
"Valle del Cauca","GUADALAJARA DE BUGA","E.S.E. HOSPITAL DIVINO NIÑO EMPRESA SOCIAL DEL ESTADO","CRA 15 # 26 - 50","(3.9149444, -76.2967222)","2372264","planeacion@hdn.gov.co","Quirúrgicos","217-OTRAS CIRUGÍAS - NO ONCOLÓGICO"
"Valle del Cauca","GUADALAJARA DE BUGA","URGENCIAS MEDICAS SAS","CALLE 4 # 22 - 10","(3.8999167, -76.3102778)","2282246 - 2373000","urmedicas@ert.com.co","Consulta Externa","309-DOLOR Y CUIDADOS PALIATIVOS - NO ONCOLÓGICO"
"Valle del Cauca","GUADALAJARA DE BUGA","REDES IMAT AMBULANCIAS BUGA","CALLE 4 N 17 - 66","(3.8985556, -76.3056667)","2389901 - 2360330","redesimat@hotmail.com","Consulta Externa","309-DOLOR Y CUIDADOS PALIATIVOS - NO ONCOLÓGICO"
"Valle del Cauca","CARTAGO","ONCOLOGOS DEL OCCIDENTE S.A.S.","CARRERA 2a # 23 - 12","(4.7538333, -75.9270278)","922144646","DAGUIRRE@ONCOLOGOSDELOCCIDENTE.COM","Apoyo Diagnóstico y Complementación Terapéutica","709-QUIMIOTERAPIA"
"Valle del Cauca","CARTAGO","SALUD INTEGRAL VITAL VIDA SAS AGENCIA CARTAGO VALLE","CARRERA 1 #16-107","(4.7524722, -75.9188056)","2146686","saludintegral.vitalvida@hotmail.com","Consulta Externa","309-DOLOR Y CUIDADOS PALIATIVOS - NO ONCOLÓGICO"
"Valle del Cauca","CARTAGO","VILLA SALUD IPS SAS","CARRERA 62 No. 11-30","(4.6975556, -75.9261667)","3128603119 - 3128933872","villasaludips@gmail.com","Consulta Externa","309-DOLOR Y CUIDADOS PALIATIVOS - NO ONCOLÓGICO"
"Valle del Cauca","FLORIDA","CLINICA SALUD FLORIDA S.A.","CRA 19 # 10-32","(3.3259167, -76.2352778)","2642462 2642466","ipsclinicalasamericas@gmail.com","Quirúrgicos","217-OTRAS CIRUGÍAS - NO ONCOLÓGICO"
"Valle del Cauca","PALMIRA","CENTRO MEDICO DE ESPECIALISTAS CLÍNICA PALMIRA","CARRERA 31 # 31-33","(3.52925, -76.3011667)","2755557","gerencia@clinicapalmira.com","Consulta Externa","309-DOLOR Y CUIDADOS PALIATIVOS - NO ONCOLÓGICO"
"Valle del Cauca","TULUÁ","CLINICA MARIANGEL DUMIAN MEDICAL","KR 40 CL 26 LA VARIANTE","(4.0837222, -76.1858611)","31039911944","gestion.calidad@clinicamariangel.com","Apoyo Diagnóstico y Complementación Terapéutica","709-QUIMIOTERAPIA"
"Valle del Cauca","PALMIRA","A.I.C Atencion Integral en Casa S.A.S","Calle 27 No. 33 - 32","(3.52525, -76.30375)","2855726 3183121519","gerencia@atencionintegralencasa.org","Consulta Externa","309-DOLOR Y CUIDADOS PALIATIVOS - SI ONCOLÓGICO"
"Valle del Cauca","ROLDANILLO","E.S.E. HOSPITAL DEPARTAMENTAL SAN ANTONIO DE ROLDANILLO EMPRESA SOCIAL DEL ESTADO","AVENIDA SANTANDER CALLE 10 No. 10-50","(4.4071944, -76.1526111)","2295000","hdsa@hospitalroldanillo.gov.co","Quirúrgicos","217-OTRAS CIRUGÍAS - NO ONCOLÓGICO"
"Valle del Cauca","TULUÁ","GAMAGRAFIAS DEL VALLE","cr 34 #27 - 41","(4.0829444, -76.191)","922256397 - 2316068 - 3164287986","gamagrafiasdelvalleltda@yahoo.es","Apoyo Diagnóstico y Complementación Terapéutica","715-MEDICINA NUCLEAR - SI ONCOLÓGICO"
"Valle del Cauca","TULUÁ","DOLORMED CENTRO INTEGRAL EN MANEJO DE DOLOR S.A.S","Carrera 33A 24 17","(4.0856111, -76.1910556)","2257765","dolormedsas@hotmail.com","Consulta Externa","309-DOLOR Y CUIDADOS PALIATIVOS - SI ONCOLÓGICO"
"Valle del Cauca","TULUÁ","MIRIAN CAICEDO ARIAS","CALLE 25 34 37","(4.0848056, -76.1903056)","2254925 - 3153706805","consultoriomca@hotmail.com","Consulta Externa","336-ONCOLOGÍA CLÍNICA"
"Valle del Cauca","CALI","CLINICA COMFANDI TEQUENDAMA","Calle 5A # 42 -15","76 5466667
,  
(37.975997, -79.603185)","926846464","adriantorres@comfandi.com.co, marthaarango@comfandi.com.co","Consulta Externa","309-DOLOR Y CUIDADOS PALIATIVOS - NO ONCOLÓGICO"
