"objectid","plpcodigo","plpnombre","bputipo","plpdirecci","bputelefon","bpuemail","bpupagweb","plpcodloc","plpnomloc","plpcodupz","plpnomupz","plpcodsec","plpnomsec","bpunodo","plpestado","plpanio","cod","bpuclasif","point_x","point_y"
"40","18","Biblioteca Pública El Tunal Gabriel García Márquez","Mayor","CL 48B SUR 21 13","6015803070","direccion_tn@biblored.gov.co","http://www.biblored.gov.co/index.php/bibliotecas","6","Tunjuelito","UPZ42","Venecia","2410","Parque El Tunal","Nodo Gabriel García Márquez","Activo","2016","10","BibloRed","-74,12994862700","4,57217243100"
"41","722","Biblioteca Pública Usaquén Servita","Local","CL 165 7 52","6015803050 ext. 6011","direccion_us@biblored.gov.co","http://www.biblored.gov.co/index.php/bibliotecas","1","Usaquén","UPZ10","La Uribe","8503","Santa Teresa","Nodo Julio Mario Santo Domingo","Activo","2016","18","BibloRed","-74,02419901400","4,74162303700"
"42","20","Biblioteca Pública Venecia Pablo de Tarso","Barrio","DG 47A 53B 27 SUR","6015803050 ext. 6111","direccion_vn@biblored.gov.co","http://www.biblored.gov.co/index.php/bibliotecas","6","Tunjuelito","UPZ42","Venecia","2404","Venecia","Nodo Manuel Zapata Olivella","Activo","2016","3","BibloRed","-74,14097758100","4,59267911100"
"43","22","Biblioteca Pública La Giralda","Barrio","KR 104B 22J 15","6015803050 ext. 6071","direccion_gr@biblored.gov.co","http://www.biblored.gov.co/index.php/bibliotecas","9","Fontibón","UPZ75","Fontibón","6402","La Cabaña Fontibón","Nodo Virgilio Barco","Activo","2016","21","BibloRed","-74,14185520600","4,68199458600"
"44","723","Biblioteca Público Escolar La Marichuela","Público Escolar","DG 76B 1C 40 SUR","6015803050 ext. 6201","direccion_mr@biblored.gov.co","http://www.biblored.gov.co/index.php/bibliotecas","5","Usme","UPZ57","Gran Yomasa","2529","La Marichuela","Nodo Gabriel García Márquez","Activo","2016","14","BibloRed","-74,11774451600","4,51204614600"
"45","24","Biblioteca Publico Escolar de Sumapaz","Público Escolar Rural","Centro Poblado vereda La Unión, Corregimiento de San Juan","3137459116","direccion_sm@biblored.gov.co","http://www.biblored.gov.co/index.php/bibliotecas","20","Sumapaz","UPR5","Rio Sumapaz","109106","La Union","Nodo Gabriel García Márquez","Activo","2016","13","BibloRed","-74,36344601100","3,98559614400"
"46","25","Biblioteca Público Escolar Pasquilla","Público Escolar Rural","KM 5 Vía Olarte Vereda Pasquilla","3156132717","direccion_ps@biblored.gov.co","http://www.biblored.gov.co/index.php/bibliotecas","19","Ciudad Bolívar","UPR3","Rio Tunjuelo","104104","Pasquilla","Nodo Gabriel García Márquez","Activo","2017","15","BibloRed","-74,15672252800","4,44415441300"
"47","724","Biblioteca Pública El Parque","Infantil","KR 5 36 21","6015803050 ext. 6210","direccion_pq@biblored.gov.co","http://www.biblored.gov.co/index.php/bibliotecas","3","Santa Fé","UPZ91","Sagrado Corazón","8102","Parque Nacional","Nodo Virgilio Barco","Activo","2018","23","BibloRed","-74,06362705100","4,62216944200"
"48","725","Biblioteca Instituto Geográfico Agustín Codazzi","Local","KR 30 48 51","6013694000","cig@igac.gov.co","https://www.igac.gov.co/es/contenido/biblioteca","13","Teusaquillo","UPZ104","Parque Simón Bolívar-CAN","5108","Ciudad Universitaria","N.A.","Activo","N.A.","51","Publica","-74,07976361500","4,63948517100"
"49","726","Biblioteca Luis Carlos Galán Sarmiento - Biblioteca del Congreso","Local","KR 6 8  94","6013824455","biblioteca@senado.gov.co","http://www.senado.gov.co/biblioteca/index.php","17","Candelaria","UPZ94","La Candelaria","3106","Centro Administrativo","N.A.","Activo","N.A.","52","Publica","-74,07549303200","4,59576986300"
"50","727","Biblioteca Luis Ángel Arango","Mayor","CL 11 4 14","6013431224","atencionalciudadano@banrep.gov.co","https://www.banrepcultural.org/bogota/biblioteca-luis-angel-arango","17","Candelaria","UPZ94","La Candelaria","3110","La Catedral","N.A.","Activo","N.A.","53","Publica","-74,07290981400","4,59708441500"
"51","728","Biblioteca Nacional de Colombia","Mayor","CL 24 5 60","6013816464","rnbp@bibliotecanacional.gov.co","https://bibliotecanacional.gov.co/es-co","3","Santa Fé","UPZ93","Las Nieves","3102","Las Nieves","N.A.","Activo","N.A.","54","Publica","-74,06856232700","4,60954692900"
"52","729","Biblioteca especializada en Historia Política - FUGA","Local","KR 3 10 27","6014320410","atencionalciudadano@fuga.gov.co","https://fuga.gov.co/biblioteca","17","Candelaria","UPZ94","La Candelaria","3106","Centro Administrativo","N.A.","Activo","N.A.","55","Publica","-74,07230198500","4,59543732000"
"53","730","Biblioteca Cárcel Distrital","N.A.","KR 8 8C 50 SUR","6015803060","coord_cd@biblored.gov.co","https://www.biblored.gov.co/bibliotecas/biblioteca-carcel-distrital","4","San Cristóbal","UPZ33","Sosiego","1209","Modelo Sur","Nodo Carlos E Restrepo","Activo","2019","56","BibloRed","-74,08474821800","4,58563764600"
"54","731","Biblioteca Universitaria de los Andes","Universitaria","KR 1 18A 12","N.A.","N.A.","N.A.","17","Candelaria","UPZ94","La Candelaria","3103","Las Aguas","N.A.","En Incorporación","2020","57","En articulación BibloRed","-74,06553637700","4,60204062800"
"55","732","Biblioteca Universitaria Jorge Tadeo Lozano","Universitaria","KR 4 22 61","N.A.","N.A.","N.A.","3","Santa Fé","UPZ93","Las Nieves","3102","Las Nieves","N.A.","En Incorporación","2020","58","En articulación BibloRed","-74,06749110400","4,60639742100"
"56","733","Biblioteca Universitaria de la Nacional","Universitaria","KR 45 26 85","N.A.","N.A.","N.A.","13","Teusaquillo","UPZ104","Parque Simón Bolívar-CAN","5108","Ciudad Universitaria","N.A.","En Incorporación","2020","59","En articulación BibloRed","-74,08317328900","4,63532750300"
