"proceso","tipo","nombre_del_activo_de_informaci","descripci_n_observaciones","idioma","oficina_o_rea","categor_as_o_series_de","soporte_y_medio_de_registro","medio_de_conservaci_n","formato","informaci_n_disponible","confidencialidad","disponibilidad","integridad","lugar_de_consulta_o_ubicaci","nombre_del_responsable_de","frecuencia_de_generaci_n","frecuencia_actualizaci_n","fecha_de_generaci_n_de_la","estado","fundamento_constitucional","fundamento_jur_dico_de_la","excepci_n_total_o_parcial","elemento_de_captura_de_datos","clasificaci_n_datos_personales","finalidad_de_recolecci_n","normatividad_proceso","mecanismo_de_declaraci_n","observaciones"
"ACUEDUCTO","Información","Convenio 01 de 2017 EAB","Convenio entre la EAB y Mpios Sabana de Occidente para mejorar las condiciones de la prestacion del servicio de acueducto","Español","DIRECCION DE ACUEDUCTO","Convenios","Disco Duro","Documentos de Archivo-Electrónicos","PDF","Disponible","Información Pública","Alta","Alta","E:\EAMOS\AGUA EN BLOQUE EAB\CONVENIO MUNICIPIOS","Dirección de Acueducto","Unica vez","Unica vez","2019-04-27T00:00:00.000","Activo","N/A","N/A","Sin reserva","N/A","N/A","N/A","N/A","N/A","N/A"
"ACUEDUCTO","Información","Control","Base de datos con los datos de consumo y valores de compra de agua en bloque por punto y datos de caudal extraido de los pozos profundos por mes","Español","DIRECCION DE ACUEDUCTO","Documentos","Disco Duro","Documentos de Archivo-Electrónicos","XLS","Disponible","Información Pública","Alta","Alta","E:\EAMOS\AGUA EN BLOQUE EAB","Dirección de Acueducto","Mensual","Mensual","2019-04-27T00:00:00.000","Activo","N/A","N/A","Sin reserva","N/A","N/A","N/A","N/A","N/A","N/A"
"ACUEDUCTO","Información","Historico Consumos","Base de datos con los datos de consumo y valores de compra de agua en bloque de los años anteriores a 2019","Español","DIRECCION DE ACUEDUCTO","Documentos","Disco Duro","Documentos de Archivo-Electrónicos","XLS","Disponible","Información Pública","Baja","Baja","E:\EAMOS\AGUA EN BLOQUE EAB","Dirección de Acueducto","Unica vez","Unica vez","2019-04-27T00:00:00.000","Inactivo","N/A","N/A","Sin reserva","N/A","N/A","N/A","N/A","N/A","Información de Consulta"
"COMERCIAL","Información","CCU Acueducto y Alcantarillado aprobado","Contrato de Condiciones Uniformes con concepto de legalidad de la CRA","Español","DIVISIÓN COMERCIAL","Documentos","Disco Duro","Documentos de Archivo-Electrónicos","PDF","Disponible","Información Pública","Alta","Alta","E:\EAMOS\CCU","Dirección de Acueducto","Esporádica","Esporádica","2019-08-12T00:00:00.000","Activo","N/A","N/A","Sin reserva","N/A","N/A","N/A","N/A","N/A","N/A"
"ACUEDUCTO","Información","Comunicados Suspensiones 2019","Comunicados emitidos informando las suspensiones del servicio de acueducto programadas","Español","DIRECCION DE ACUEDUCTO","Documentos","Disco Duro","Documentos de Archivo-Electrónicos","DOC","Disponible","Información Pública","Media","Media","E:\EAMOS\COMUNICADOS SUSPENSIONES","Dirección de Acueducto","Esporádica","Unica vez","2019-05-30T00:00:00.000","Inactivo","N/A","N/A","Sin reserva","N/A","N/A","N/A","N/A","N/A","Información de Consulta"
"ACUEDUCTO","Información","Comunicados Suspensiones 2020","Comunicados emitidos informando las suspensiones del servicio de acueducto programadas","Español","DIRECCION DE ACUEDUCTO","Documentos","Disco Duro","Documentos de Archivo-Electrónicos","DOC","Disponible","Información Pública","Media","Media","E:\EAMOS\COMUNICADOS SUSPENSIONES","Dirección de Acueducto","Esporádica","Unica vez","2020-01-13T00:00:00.000","Activo","N/A","N/A","Sin reserva","N/A","N/A","N/A","N/A","N/A","N/A"
"ACUEDUCTO","Información","Correos Comunicados 2019","Comunicados de respuesta emitidos a los diferentes requerimientos y solicitudes correspondientes al componente tecnico del servicio de Acueducto","Español","DIRECCION DE ACUEDUCTO","Documentos","Disco Duro","Documentos de Archivo-Electrónicos","DOC y PDF","Disponible","Información Pública","Alta","Alta","E:\EAMOS\CORREOS COMUNICADOS","Dirección de Acueducto","Frecuente","Esporádica","2019-04-27T00:00:00.000","Inactivo","N/A","N/A","Sin reserva","N/A","N/A","N/A","N/A","N/A","Información de Consulta"
"ACUEDUCTO","Información","Correos Comunicados 2020","Comunicados de respuesta emitidos a los diferentes requerimientos y solicitudes correspondientes al componente tecnico del servicio de Acueducto","Español","DIRECCION DE ACUEDUCTO","Documentos","Disco Duro","Documentos de Archivo-Electrónicos","DOC y PDF","Disponible","Información Pública","Alta","Alta","E:\EAMOS\CORREOS COMUNICADOS","Dirección de Acueducto","Frecuente","Esporádica","2020-01-02T00:00:00.000","Activo","N/A","N/A","Sin reserva","N/A","N/A","N/A","N/A","N/A","N/A"
"ACUEDUCTO","Información","Disponibilidades 2019","Comunicados de respuesta emitidos a las solicitudes de Disponibilidades y/o Factibilidades para desarrollo de proyectos. Incluye refrendaciones","Español","DIRECCION DE ACUEDUCTO","Documentos","Disco Duro","Documentos de Archivo-Electrónicos","DOC","Disponible","Información Pública Clasificada","Alta","Alta","E:\EAMOS\DISPONIBILIDADES","Dirección de Acueducto","Esporádica","Semestral","2019-05-17T00:00:00.000","Activo","N/A","N/A","Reserva Parcial","N/A","N/A","N/A","N/A","N/A","N/A"
"ACUEDUCTO","Información","Disponibilidades 2020","Comunicados de respuesta emitidos a las solicitudes de Disponibilidades y/o Factibilidades para desarrollo de proyectos. Incluye refrendaciones","Español","DIRECCION DE ACUEDUCTO","Documentos","Disco Duro","Documentos de Archivo-Electrónicos","DOC","Disponible","Información Pública Clasificada","Alta","Alta","E:\EAMOS\DISPONIBILIDADES","Dirección de Acueducto","Esporádica","Esporádica","2020-02-13T00:00:00.000","Activo","N/A","N/A","Reserva Parcial","N/A","N/A","N/A","N/A","N/A","N/A"
"ACUEDUCTO","Información","Cuadro Resumen","Base de datos con los datos principales de las cuentas de energia de la infraestructura que hace parte de los servicios de acueducto y alcantarillado","Español","DIRECCION DE ACUEDUCTO","Documentos","Disco Duro","Documentos de Archivo-Electrónicos","XLS","Disponible","Información Pública","Media","Media","E:\EAMOS\ENERGIA","Dirección de Acueducto","Mensual","Mensual","2019-04-27T00:00:00.000","Activo","N/A","N/A","Sin reserva","N/A","N/A","N/A","N/A","N/A","N/A"
"ACUEDUCTO","Información","Detalle por Cuenta","Información de consumo y tarifa de energia por cada cuenta del servicio","Español","DIRECCION DE ACUEDUCTO","Documentos","Disco Duro","Documentos de Archivo-Electrónicos","XLS","Disponible","Información Pública","Media","Media","E:\EAMOS\ENERGIA\Detalle por Cuenta","Dirección de Acueducto","Mensual","Mensual","2019-04-27T00:00:00.000","Activo","N/A","N/A","Sin reserva","N/A","N/A","N/A","N/A","N/A","N/A"
"ACUEDUCTO","Información","13757 Pozo Centro","Expediente ante la CAR del Pozo Centro desde la solicitud inicial de Concesión","Español","DIRECCION DE ACUEDUCTO","Documentos","Disco Duro","Documentos de Archivo-Electrónicos","PDF","Disponible","Información Pública","Alta","Alta","E:\EAMOS\EXPEDIENTES CAR","Dirección de Acueducto","Esporádica","Esporádica","2019-10-08T00:00:00.000","Activo","N/A","N/A","Sin reserva","N/A","N/A","N/A","N/A","N/A","N/A"
"ACUEDUCTO","Información","13758 Pozo Siete Trojes","Expediente ante la CAR del Pozo Siete Trojes desde la solicitud inicial de Concesión","Español","DIRECCION DE ACUEDUCTO","Documentos","Disco Duro","Documentos de Archivo-Electrónicos","PDF","Disponible","Información Pública","Alta","Alta","E:\EAMOS\EXPEDIENTES CAR","Dirección de Acueducto","Esporádica","Esporádica","2019-10-08T00:00:00.000","Activo","N/A","N/A","Sin reserva","N/A","N/A","N/A","N/A","N/A","N/A"
"ACUEDUCTO","Información","41096 Pozos Rosales","Expediente ante la CAR de los Pozos de Rosales desde la Concesión","Español","DIRECCION DE ACUEDUCTO","Documentos","Disco Duro","Documentos de Archivo-Electrónicos","PDF","Disponible","Información Pública","Alta","Alta","E:\EAMOS\EXPEDIENTES CAR","Dirección de Acueducto","Esporádica","Esporádica","2019-10-08T00:00:00.000","Activo","N/A","N/A","Sin reserva","N/A","N/A","N/A","N/A","N/A","N/A"
"ALCANTARILLADO","Información","43183 Permiso de Ocupación de Cauce Novilleros","Expediente ante la CAR del Permiso de Ocupacion de Cauce del Canal Novilleros desde la solicitud inicial de Concesión","Español","DIRECCION DE ALCANTARILLADO","Documentos","Disco Duro","Documentos de Archivo-Electrónicos","PDF","Disponible","Información Pública","Alta","Alta","E:\EAMOS\EXPEDIENTES CAR","Dirección de Alcantarillado","Esporádica","Esporádica","2019-10-08T00:00:00.000","Activo","N/A","N/A","Sin reserva","N/A","N/A","N/A","N/A","N/A","N/A"
"ALCANTARILLADO","Información","43184 Permiso de Ocupación de Cauce Serrezuela","Expediente ante la CAR del Permiso de Ocupacion de Cauce de Serrezuela desde la solicitud inicial de Concesión","Español","DIRECCION DE ALCANTARILLADO","Documentos","Disco Duro","Documentos de Archivo-Electrónicos","PDF","Disponible","Información Pública","Alta","Alta","E:\EAMOS\EXPEDIENTES CAR","Dirección de Alcantarillado","Esporádica","Esporádica","2019-10-08T00:00:00.000","Activo","N/A","N/A","Sin reserva","N/A","N/A","N/A","N/A","N/A","N/A"
"ALCANTARILLADO","Información","Permiso de Vertimientos","Permiso de vertimientos expedido para la nueva PTAR Los Puentes","Español","DIRECCION DE ALCANTARILLADO","Documentos","Disco Duro","Documentos de Archivo-Electrónicos","PDF","Disponible","Información Pública","Alta","Alta","E:\EAMOS\EXPEDIENTES CAR","Dirección de Alcantarillado","Esporádica","Esporádica","2019-10-08T00:00:00.000","Activo","N/A","N/A","Sin reserva","N/A","N/A","N/A","N/A","N/A","N/A"
"ALCANTARILLADO","Información","PSMV","Información del tramite del Plan de Saneamiento y Manejo de vertimientos del anterior prestador","Español","DIRECCION DE ALCANTARILLADO","Documentos","Disco Duro","Documentos de Archivo-Electrónicos","PDF","Disponible","Información Pública","Alta","Alta","E:\EAMOS\EXPEDIENTES CAR","Dirección de Alcantarillado","Esporádica","Esporádica","2019-10-08T00:00:00.000","Activo","N/A","N/A","Sin reserva","N/A","N/A","N/A","N/A","N/A","Información de Consulta"
"ACUEDUCTO","Información","Indicadores EAMOS","Información de los Indicadores del servicio de alcantarillado para los periodos en los que EAMOS presto el servicio en el 2019","Español","DIRECCION DE ACUEDUCTO","Documentos","Disco Duro","Documentos de Archivo-Electrónicos","XLS","Disponible","Información Pública","Alta","Alta","E:\EAMOS\INDICADORES\2019","Dirección de Acueducto","Bimestral","Bimestral","2019-06-03T00:00:00.000","Activo","N/A","N/A","Sin reserva","N/A","N/A","N/A","N/A","N/A","N/A"
"ACUEDUCTO","Información","Mantenimientos Infraestructura 2019","Programacion anual de los mantenimientos a la infraestructura de los servicios de acueducto y alcantarillado","Español","DIRECCION DE ACUEDUCTO","Documentos","Disco Duro","Documentos de Archivo-Electrónicos","XLS","Disponible","Información Pública","Media","Media","E:\EAMOS\INFRAESTRUCTURA\MANTENIMIENTOS INFRAESTRUCTURA","Dirección de Acueducto","Anual","Esporádica","2019-04-27T00:00:00.000","Inactivo","N/A","N/A","Sin reserva","N/A","N/A","N/A","N/A","N/A","Información de Consulta"
"ACUEDUCTO","Información","Mantenimientos Infraestructura 2020","Programacion anual de los mantenimientos a la infraestructura de los servicios de acueducto y alcantarillado","Español","DIRECCION DE ACUEDUCTO","Documentos","Disco Duro","Documentos de Archivo-Electrónicos","XLS","Disponible","Información Pública","Media","Media","E:\EAMOS\INFRAESTRUCTURA\MANTENIMIENTOS INFRAESTRUCTURA","Dirección de Acueducto","Anual","Esporádica","2020-01-15T00:00:00.000","Activo","N/A","N/A","Sin reserva","N/A","N/A","N/A","N/A","N/A","N/A"
"ACUEDUCTO","Información","Inventario elementos de control Redes","Inventario de la cantidad de valvulas, hidrantes, y puntos de muestreo} con datos relevantes, entregada por el anterior prestador","Español","DIRECCION DE ACUEDUCTO","Documentos","Disco Duro","Documentos de Archivo-Electrónicos","XLS","Disponible","Información Pública","Media","Media","E:\EAMOS\INVENTARIO ELEMENTOS DE CONTROL REDES","Dirección de Acueducto","Esporádica","Esporádica","2019-05-20T00:00:00.000","Activo","N/A","N/A","Sin reserva","N/A","N/A","N/A","N/A","N/A","N/A"
"ACUEDUCTO","Información","Normatividad","Normas aplicables a la prestacion de los servicios de acueducto y alcantarillado","Español","DIRECCION DE ACUEDUCTO","Documentos","Disco Duro","Documentos de Archivo-Electrónicos","PDF","Disponible","Información Pública","Alta","Alta","E:\EAMOS\NORMATIVIDAD","Dirección de Acueducto","Esporádica","Esporádica","2019-05-20T00:00:00.000","Activo","N/A","N/A","Sin reserva","N/A","N/A","N/A","N/A","N/A","N/A"
"ACUEDUCTO","Información","Tiempos Suplementarios 2019","Reportes de tiempos suplementarios del personal operativo","Español","DIRECCION DE ACUEDUCTO","Documentos","Disco Duro","Documentos de Archivo-Electrónicos","XLS","Disponible","Información Pública","Media","Media","E:\EAMOS\PERSONAL\TIEMPOS SUPLEMENTARIOS","Dirección de Acueducto","Mensual","Mensual","2019-05-10T00:00:00.000","Activo","N/A","N/A","Sin reserva","N/A","N/A","N/A","N/A","N/A","N/A"
"ACUEDUCTO","Información","Tiempos Suplementarios 2020","Programacion anual de los mantenimientos a la infraestructura de los servicios de acueducto y alcantarillado","Español","DIRECCION DE ACUEDUCTO","Documentos","Disco Duro","Documentos de Archivo-Electrónicos","XLS","Disponible","Información Pública","Media","Media","E:\EAMOS\PERSONAL\TIEMPOS SUPLEMENTARIOS","Dirección de Acueducto","Mensual","Mensual","2020-01-05T00:00:00.000","Activo","N/A","N/A","Sin reserva","N/A","N/A","N/A","N/A","N/A","N/A"
"ACUEDUCTO","Información","Planes de Contingencia 2019","Planes de Contingencia de los servicios de acueducto y alcantarillado","Español","DIRECCION DE ACUEDUCTO","Documentos","Disco Duro","Documentos de Archivo-Electrónicos","DOC","Disponible","Información Pública","Alta","Alta","E:\EAMOS\PLANES DE CONTINGENCIA","Dirección de Acueducto","Anual","Anual","2019-12-16T00:00:00.000","Activo","N/A","N/A","Sin reserva","N/A","N/A","N/A","N/A","N/A","N/A"
"ACUEDUCTO","Información","Planes de Contingencia 2020","Planes de Contingencia de los servicios de acueducto y alcantarillado","Español","DIRECCION DE ACUEDUCTO","Documentos","Disco Duro","Documentos de Archivo-Electrónicos","DOC","Disponible","Información Pública","Alta","Alta","E:\EAMOS\PLANES DE CONTINGENCIA","Dirección de Acueducto","Anual","Anual","2020-07-17T00:00:00.000","Activo","N/A","N/A","Sin reserva","N/A","N/A","N/A","N/A","N/A","N/A"
"ACUEDUCTO","Información","Planes Maestros","Información historica de los Planes Maestros de Acueducto y Alcantarillado ejecutados por el anterior prestador de los servicios","Español","DIRECCION DE ACUEDUCTO","Documentos","Disco Duro","Documentos de Archivo-Electrónicos","DOC, PDF, XLS","Disponible","Información Pública","Media","Media","E:\EAMOS\PLANES MAESTROS","Dirección de Acueducto","Unica vez","Unica vez","2019-09-27T00:00:00.000","Inactivo","N/A","N/A","Sin reserva","N/A","N/A","N/A","N/A","N/A","Información de Consulta"
"ACUEDUCTO","Información","POIR","Documentos relacionados con el POIR tanto desarrollados por el anterior prestador como por parte de EAMOS ESP","Español","DIRECCION DE ACUEDUCTO","Documentos","Disco Duro","Documentos de Archivo-Electrónicos","DOC, PDF, XLS","Disponible","Información Pública Clasificada","Alta","Alta","E:\EAMOS\POIR","Dirección de Acueducto","Esporádica","Esporádica","2019-04-27T00:00:00.000","Activo","N/A","N/A","Reserva Parcial","N/A","N/A","N/A","N/A","N/A","N/A"
"ACUEDUCTO","Información","Planes Maestros","Información historica de los Planes Maestros de Acueducto y Alcantarillado ejecutados por el anterior prestador de los servicios","Español","DIRECCION DE ACUEDUCTO","Documentos","Disco Duro","Documentos de Archivo-Electrónicos","DOC, PDF, XLS","Disponible","Información Pública","Media","Media","E:\EAMOS\PLANES MAESTROS","Dirección de Acueducto","Unica vez","Unica vez","2019-09-27T00:00:00.000","Inactivo","N/A","N/A","Sin reserva","N/A","N/A","N/A","N/A","N/A","Información de Consulta"
"ACUEDUCTO","Información","POMCA","Informes semestrales con los soportes","Español","DIRECCION DE ACUEDUCTO","Documentos","Disco Duro","Documentos de Archivo-Electrónicos","DOC, PDF, XLS","Disponible","Información Pública","Alta","Alta","E:\EAMOS\POMCA","Dirección de Acueducto","Semestral","Semestral","2019-11-25T00:00:00.000","Activo","N/A","N/A","Sin Reserva","N/A","N/A","N/A","N/A","N/A","N/A"
"ACUEDUCTO","Información","POT","Documentos correspondientes al POT del municipio de Mosquera","Español","DIRECCION DE ACUEDUCTO","Documentos","Disco Duro","Documentos de Archivo-Electrónicos","PDF","Disponible","Información Pública","Alta","Alta","E:\EAMOS\POT","Dirección de Acueducto","Unica vez","Unica vez","2019-06-18T00:00:00.000","Inactivo","N/A","N/A","Sin reserva","N/A","N/A","N/A","N/A","N/A","Información de Consulta"
"ACUEDUCTO","Información","SENTENCIA RIO BOGOTA","Informes semestrales con los soportes","Español","DIRECCION DE ACUEDUCTO","Documentos","Disco Duro","Documentos de Archivo-Electrónicos","DOC, PDF, XLS","Disponible","Información Pública","Alta","Alta","E:\EAMOS\SENTENCIA RIO BOGOTA","Dirección de Acueducto","Semestral","Semestral","2019-10-11T00:00:00.000","Activo","N/A","N/A","Sin Reserva","N/A","N/A","N/A","N/A","N/A","N/A"
"ACUEDUCTO","Información","SSPD CONTINGENCIA","Reportes diarios a la SSPD por la Pandemia Covid-19","Español","DIRECCION DE ACUEDUCTO","Documentos","Disco Duro","Documentos de Archivo-Electrónicos","XLS","Disponible","Información Pública","Alta","Alta","E:\EAMOS\SSPD CONTINGENCIA","Dirección de Acueducto","Diaria","Diaria","2020-04-03T00:00:00.000","Activo","N/A","N/A","Sin reserva","N/A","N/A","N/A","N/A","N/A","N/A"
"ACUEDUCTO","Información","SUI EAMOS","Reportes tecnicos de Acueducto y Soportes","Español","DIRECCION DE ACUEDUCTO","Documentos","Disco Duro","Documentos de Archivo-Electrónicos","XLS","Disponible","Información Pública","Alta","Alta","E:\EAMOS\SUI EAMOS","Dirección de Acueducto","Mensual","Mensual","2020-05-21T00:00:00.000","Activo","N/A","N/A","Sin Reserva","N/A","N/A","N/A","N/A","N/A","N/A"
"Gestion Documental","Información","Libro Radicador","Descripcion correspondencia Interna y Externa","Español","GERENCIA","Solicitudes-Informes-Certificados","Disco Duro","Documento de Archivo Fisico","XLS","Disponible","Información Pública Reservada","Alta","Alta","Escritorio","Gerencia","Diaria","Diaria","2017-01-04T00:00:00.000","Activo","Gestion Documental","N/A","Reserva Total","N.A","Privada","Mantener control de la correspondencia","N/A","N/A","N/A"
"Actas de revison  previa","Información","Facturación de servicos públicos","Descripción Actas de Revisión previa","Español","FACTURACION COBRANZA Y PQR","Revisiones previas -solictudes","Disco Duro","Documento de Archivo Fisico","Programa SINFA - Base de Datos","Disponible","Información Pública Reservada","Alta","Alta","Acceso Directo - Escritorio","Facturación","Diaria","Diaria","2020-08-01T00:00:00.000","Activo","Gestion Documental","N/A","Reserva Total","N.A","Privada","Mantener control de la correspondencia","N/A","N/A","Módulo de PQR programa SINFA"
"Realización de Actas de Junta Directiva","Información","Actas de Junta Directiva","Decisiones que toma la Junta Directiva en lo que corresponde a la Empresa","Español","OFICINA DE PLANEACION","Actas","Documento Físico","Documentos de archivo - físico","DOC","DISPONIBLE","No Clasificada","Baja","Alta","Física","Jenny Carolina Barreto Rodriguez","Bimensual","No se actualiza","2020-01-10T00:00:00.000","Inactivo","Estatutos de la Empresa","N/A","Reserva total","N/A","Privado","Tomar las decisiones correspondientes a la empresa en conjunto con la Junta Directiva","Gestión Documental","Firma",
"Creación del programa de Gestión Documental","Información","Programa de Gestión Documental","Programa que contiene el cronograma de acción en cada una de las fases del ciclo vital de la gestión documental 3","Español","OFICINA DE PLANEACION","Programas","Documento Físico","Documentos de archivo - físico","DOC","DISPONIBLE","No Clasificada","Alta","Alta","Física y Electrónica","Jenny Carolina Barreto Rodriguez","Anual","Anual","2020-07-15T00:00:00.000","Activo","Normatividad de la Función Pública","Ley 594 de 2000","Sin Reserva","Página web","Público","Se debe publicar por obligatoriedad","Gestión Documental","Firma","Debe ir firmado por el Gerente"
"Creación del Diagnóstico Integral de Archivo","Información","Diagnóstico Integral de Archivo","Diagnóstico que se realiza con el objetivo de identificar las falencias fortalezas y debilidades del área","Español","OFICINA DE PLANEACION","Diagnósticos","Documento Físico","Documentos de archivo - físico","DOC","DISPONIBLE","No Clasificada","Alta","Alta","Física y Electrónica","Jenny Carolina Barreto Rodriguez","Anual","Anual","2020-07-15T00:00:00.000","Activo","Normatividad de la Función Pública","Ley 594 de 2000","Sin Reserva","Página web","Público","Se debe publicar por obligatoriedad","Gestión Documental","Firma","Debe ir firmado por el Gerente"
"Creación de la política de Gestión Documental","Información","Políticas","Brindar los lineamientos al área con el fin de establecer la ruta de acción","Español","OFICINA DE PLANEACION","Políticas","Documento Físico","Documentos de archivo - físico","DOC","DISPONIBLE","No Clasificada","Alta","Alta","Física y Electrónica","Jenny Carolina Barreto Rodriguez","Anual","Anual","2020-07-15T00:00:00.000","Activo","Normatividad de la Función Pública","Ley 594 de 2000","Sin Reserva","Página web","Público","Se debe publicar por obligatoriedad","Gestión Documental","Firma","La política cambiará conforme cambien los lineamientos establecidos por el PINAR"
