"tipomision","continente","paisrepresenta","isopaisrepresenta","ciudadubicacion","direccion","localizaci_n_misi_n","telefonos","fax","correoelectronico","paginaweb"
"CONSULADO HONORARIO","EUROPA","SUIZA","CHE","CARTAGENA","CALLE DEL CURATO NO. 38 – 82 CENTRO","(37.605651, -0.991294)","(57) (5) 6602102 – 6601770","(NO REGISTRA)","CARTAGENA@HONREP.CH","(NO REGISTRA)"
"EMBAJADA CONCURRENTE","EUROPA","SERBIA","SRB","BRASILIA","SES - AV. DAS NAÇÕES. QUADRA 803. LOTE 15","(-14.235004, -51.92528)","(+55) (61) 32237272 / 32231994","(NO REGISTRA)","EMBAIXADASERVIA@TERRA.COM.BR","(NO REGISTRA)"
"EMBAJADA CONCURRENTE","ÁFRICA","SUDAFRICA","ZAF","CARACAS","EDF ATRIUM PH-A CALLE SOROCAIMA C/O AVE VENEZUELA EL ROSAL. CHACOA","(10.491016, -66.902061)","(+58) (212) 9520026","(NO REGISTRA)","ADMINISTRATION.CARACAS@FOREIGN.GOV.ZA","(NO REGISTRA)"
"CONSULADO HONORARIO","EUROPA","UCRANIA","UKR","BOGOTÁ D.C","CARRERA 11 NO. 73 – 44 OFICINA 404","(4.598056, -74.075833)","(57) (1) 2480869 – (57) 320 8599042","(NO REGISTRA)","LUISRAMIREZBRAND@LDMCOLOMBIA.COM","(NO REGISTRA)"
"CONSULADO HONORARIO","AMÉRICA","PARAGUAY","PRY","CARTAGENA","CARRERA 2 NO. 11 – 41 OFICIA 1803","(37.605651, -0.991294)","(57) (5) 6910505 – (57)  315 7336666","(NO REGISTRA)","RAMONDELC@GMAIL.COM","(NO REGISTRA)"
"CONSULADO HONORARIO","EUROPA","CHIPRE","CYP","BOGOTÁ D.C","CARRERA 6 N° 86 - 57 APTO 702","(4.598056, -74.075833)","(57) (1) 6210227 – (57) 320 8351375","(NO REGISTRA)","E.ELIADES@YAHOO.COM","(NO REGISTRA)"
"CONSULADO HONORARIO","EUROPA","ALEMANIA","DEU","BARRANQUILLA","CARRERA 56# 80-295 APTO 3B","(10.98611, -74.77028)","(57) (5) 3287465 – 3137911883","(NO REGISTRA)","MANUELBOLLE@UISN.COM","(NO REGISTRA)"
"EMBAJADA","EUROPA","PORTUGAL","PRT","BOGOTÁ D.C","CALLE 99 # 7A-77 OFICINA 507","(4.598056, -74.075833)","(57) (1) 3072990 EXT. 801","(57) (1) 3072999","BOGOTA@MNE.PT- SARAH.SILVA@MNE.PT","HTTPS://WWW.PORTALDASCOMUNIDADES.MNE.PT/PT/REDE-CONSULAR/AMERICA/COLOMBIA"
"EMBAJADA","ASIA","IRÁN","IRN","BOGOTÁ D.C","CALLE 96 # 11A-20","(4.598056, -74.075833)","(57)(1) 2562862 - 4807485","(57) (1) 2562842","EMIRACOL@GMAIL.COM","(NO REGISTRA)"
"CONSULADO HONORARIO","EUROPA","REPUBLICA CHECA","CZE","CALI","CALLE 13 NO 27-A-05 ACOPI. YUMBO CP: 760502","(3.420556, -76.522222)","(57) (2) 6900079- 6900082 – (57) 3004123851","(NO REGISTRA)","CONSULADOCALI@GMAIL.COM -  CALI@HONORARY.MZV.CZ","(NO REGISTRA)"
"CONSULADO HONORARIO","EUROPA","AUSTRIA","AUT","BARRANQUILLA","VIA 40. NO. 64 - 198. ZONA INDUSTRIAL. LOMA NO. 3. A.A. 1317","(10.98611, -74.77028)","(57) (5) 3669800 Y 3669812","(NO REGISTRA)","OLOEWY@SEMPERTEX.COM","(NO REGISTRA)"
"CONSULADO HONORARIO","EUROPA","PAISES BAJOS","NLD","CARTAGENA","ANILLO VIAL ZONA NORTE – EDIF. MORROS EPIC – LOCAL 101","(37.605651, -0.991294)","(57) (5) 660 5610 – (5)- 6551910 -  ( 317) 440 9851","(NO REGISTRA)","MV@MERIDIAN-NAV.COM","(NO REGISTRA)"
"CONSULADO HONORARIO","EUROPA","IRLANDA","IRL","BOGOTÁ D.C","AVENIDA LAS AMÉRICAS NO. 56 – 41","(4.598056, -74.075833)","(57) (1) 4466114 – 4466115","(NO REGISTRA)","GOMEZCONSULIRLANDA@SMURFITKAPPA.COM.CO","(NO REGISTRA)"
"EMBAJADA","AMÉRICA","CHILE","CHL","BOGOTÁ D.C","CALLE 100 # 11B-46","(4.598056, -74.075833)","(57) (1) 7420136 - 7427874 - 7427875","(57) (1) 7441468","ECHILE.COLOMBIA@MINREL.GOB.CL-TBECERRA@MINREL.GOB.CL","HTTP://CHILEABROAD.GOV.CL/COLOMBIA/EN"
"EMBAJADA","AMÉRICA","COSTA RICA","CRI","BOGOTÁ D.C","CARRERA 12 # 114-37 BARRIO SANTA BÁRBARA CENTRAL","(4.598056, -74.075833)","(57) (1)  6295072 - 6295095","(57) (1) 6295037","EMBACOSTARICAENCOLOMBIA@GMAIL.COM","HTTP://WWW.EMBAJADADECOSTARICA.ORG/"
"CONSULADO HONORARIO","EUROPA","FRANCIA","FRA","CARTAGENA","PARQUE FERNÁNDEZ MADRID CASA 37 – 34 ALIANZA FRANCESA CENTRO","(37.605651, -0.991294)","(57) (5) 6600167 – (57) 301 3370977","(NO REGISTRA)","MAMILOGUILLOT@GMAIL.COM","(NO REGISTRA)"
"CONSULADO HONORARIO","EUROPA","HUNGRIA","HUN","BOGOTÁ D.C","CALLE 92 NO. 15 – 48 OFICINA 404","(4.598056, -74.075833)","(57) (1) 2560088 – (57) 311 5311128","(NO REGISTRA)","JEA.CHUNGRIA@HOTMAIL.COM","(NO REGISTRA)"
"EMBAJADA CONCURRENTE","AMÉRICA","TRINIDAD Y TOBAGO","TTO","CARACAS","QUINTA SERRANA. 4TA AVENIDA ENTRE 7MA Y 8VA TRANSVERSAL. ALTAMIRA","(10.491016, -66.902061)","(+58) (212) 2613748","(NO REGISTRA)","EMBASSYTT@CANTV.NET","(NO REGISTRA)"
"CONSULADO HONORARIO","EUROPA","BELGICA","BEL","CALI","(NO REGISTRA)","(3.420556, -76.522222)","(57) (2) 5240425 – (57) 315 5529000","(NO REGISTRA)","ERIC.VANDENHOVE@IPTOTAL.COM - CONSULADOBELGICACALI@GMAIL.COM","(NO REGISTRA)"
"CONSULADO HONORARIO","AMÉRICA","GUATEMALA","GTM","CALI","CALLE 15 NO. 32 – 234","(3.420556, -76.522222)","2800802 – 316 4811754","(NO REGISTRA)","ANSINESTERRA@FOGELANDIA.COM","(NO REGISTRA)"
"CONSULADO HONORARIO","EUROPA","SUECIA","SWE","MEDELLÍN","(NO REGISTRA)","(6.235925, -75.575137)","(NO REGISTRA)","(NO REGISTRA)","(NO REGISTRA)","(NO REGISTRA)"
"EMBAJADA","EUROPA","REPÚBLICA CHECA","CZE","BOGOTÁ D.C","CALLE 98 # 9 A -41 OFICINA 602 EDIFICIO AB PROYECTOS","(4.598056, -74.075833)","(57) (1) 7429142","(NO REGISTRA)","BOGOTA@EMBASSY.MZV.CZ","HTTP://WWW.MZV.CZ/BOGOTA"
"CONSULADO HONORARIO","EUROPA","ESPAÑA","ESP","CALI","(NO REGISTRA)","(3.420556, -76.522222)","(NO REGISTRA)","(NO REGISTRA)","(NO REGISTRA)","(NO REGISTRA)"
"CONSULADO HONORARIO","AMÉRICA","GUATEMALA","GTM","MEDELLÍN","CARERA 42 # 33 – 173 (AUTOPISTA SUR KM 9 - ITAGÜÍ)","(6.235925, -75.575137)","(574) 372 2000","(NO REGISTRA)","ANDRES.MEJIA@VICTORIA.COM.CO- MECANICOS.UNIDOS@VICTORIA.COM.CO","(NO REGISTRA)"
"EMBAJADA","AMÉRICA","ESTADOS UNIDOS","USA","BOGOTÁ D.C","CALLE 22D BIS # 47-51","(4.598056, -74.075833)","(57)(1) 2752000","(57) (1) 3152197","WEBB@STATE.GOV","HTTP://SPANISH.BOGOTA.USEMBASSY.GOV"
"CONSULADO HONORARIO","EUROPA","REPUBLICA CHECA","CZE","CARTAGENA","(NO REGISTRA)","(37.605651, -0.991294)","(NO REGISTRA)","(NO REGISTRA)","(NO REGISTRA)","(NO REGISTRA)"
"EMBAJADA","EUROPA","SUIZA","CHE","BOGOTÁ D.C","CARRERA 9 # 74-08 PISO 11","(4.598056, -74.075833)","(57) (1) 3497230 - 3497195","(57) (1) 3497195","NICOLE.PROVIDOLI@EDA.ADMIN.CH- BOG.VERTRETUNG@EDA.ADMIN.CH","HTTP://WWW.EDA.ADMIN.CH/BOGOTA"
"CONSULADO","AMÉRICA","PANAMA","PAN","BARRANQUILLA","CARRERA 57 # 72-25 EDIFICIO FINCAR OFICINAS 207-208","(10.98611, -74.77028)","(57) (5) 3601870 - (57) (5) 3601872 - (57) (5) 2316154","(NO REGISTRA)","CONSULPANBARRANCOL@HOTMAIL.COM","(NO REGISTRA)"
"CONSULADO HONORARIO","AMÉRICA","EL SALVADOR","SLV","CARTAGENA","CALLE DEL CUARTEL NO. 36 – 61 CENTRO","(37.605651, -0.991294)","(57) (5) 6600671 EXT. 1121 Y 1102 – 6640705 – 315 7313063","(NO REGISTRA)","SANTRUJI3@GMAIL.COM - IDALIDES.ARANGO@TECNAR.EDU.CO","(NO REGISTRA)"
"EMBAJADA","EUROPA","ESPAÑA","ESP","BOGOTÁ D.C","CALLE 92 NO. 12-68","(4.598056, -74.075833)","(57)(1) 5930370 - 6234405 - 6220081 - 6424006","(57) (1) 6210809 - 6555305","EMB.BOGOTA@MAEC.ES","WWW.EXTERIORES.GOB.ES/EMBAJADAS/BOGOTA/ES/PAGINAS"
"CONSULADO","ÁFRICA","ARGELIA","DZA","BOGOTÁ D.C","CARRERA 11 Nº 93-53 OFICINA 302","(4.598056, -74.075833)","(57) (1) 6350520","(57) (1) 6350531","ADMIN@EMARGELIA-COLOMBIA.ORG","(NO REGISTRA)"
"CONSULADO","AMÉRICA","ECUADOR","ECU","BOGOTÁ D.C","CALLE 89 #  13-07","(4.598056, -74.075833)","(57) (1) 2126512","(57) (1) 3175324","CECUBOG@CANCILLERIA.GOB.EC","(NO REGISTRA)"
"CONSULADO HONORARIO","EUROPA","BELGICA","BEL","MEDELLÍN","DIAGONAL 75B NO. 2ª – 120 OFICINA 308","(6.235925, -75.575137)","(57) (4) 3410516 – (57) 310 4242965","(NO REGISTRA)","GURIBE2@HOTMAIL.COM - GJUBE@YAHOO.COM.CO","(NO REGISTRA)"
"CONSULADO HONORARIO","ASIA","JAPON","JPN","CALI","CALLE 11 NO. 100 – 121 OFICINA 204","(3.420556, -76.522222)","(57) (2) 3127235 – 3970258 – (57) 318 3108602","(NO REGISTRA)","RLINCETENORIO@GMAIL.COM","(NO REGISTRA)"
"CONSULADO HONORARIO","EUROPA","PAISES BAJOS","NLD","CALI","CARRERA 39 NO. 11 – 165 YUMBO","(3.420556, -76.522222)","(57) (2) 6661663 – 6906900","(NO REGISTRA)","CONSULAATCALI@VDL.COM.CO","(NO REGISTRA)"
"CONSULADO","AMÉRICA","VENEZUELA","VEN","CARTAGENA","BOCAGRANDE CARRERRA 3 EDIFICIO CENTRO EJECUTIVO PISO 14 OFICINA 14-02","(37.605651, -0.991294)","(57) (5) 6650353 - 6650382 - 6654694 - (57) 3503076694","(57) (5) 6650449","CONVE.COCTG@MPPRE.GOB.VE","(NO REGISTRA)"
"CONSULADO","AMÉRICA","VENEZUELA","VEN","BARRANQUILLA","CARRERA 52 # 69-96 EDIFICIO CONCASA PISO 3","(10.98611, -74.77028)","(57) (5) 3682207 - 3682228","(57) (5) 3689626","CVENEZBQ@METROTEL.NET.CO","(NO REGISTRA)"
"EMBAJADA","ASIA","LIBANO","LBN","BOGOTÁ D.C","CALLE 74 # 11-88","(4.598056, -74.075833)","(57) (1) 3481781- 3481782","(NO REGISTRA)","INFO@EMBAJADADELLIBANO.ORG.CO- EMBLIBANCO@HOTMAIL.COM","HTTP://WWW.EMBAJADADELLIBANO.ORG.CO/"
"EMBAJADA","EUROPA","ALEMANIA","DEU","BOGOTÁ D.C","CALLE 110 # 9-25 PISO 11","(4.598056, -74.075833)","(57) (1) 4232600","(57) (1) 4232615","INFO@BOGOTA.DIPLO.DE- ZREG@BOGO.DIPLO.DE","HTTP://WWW.BOGOTA.DIPLO.DE/"
"CONSULADO","AMÉRICA","BOLIVIA","BOL","BOGOTÁ D.C","CARRERA 10 # 113-36 BARRIO SANTA BÁRBARA CENTRAL","(4.598056, -74.075833)","(57) (1) 6126700 - 3121316 - 6194701 EXT. 107","(NO REGISTRA)","CONSULAR@EMBAJADABOLIVIACOLOMBIA.ORG","(NO REGISTRA)"
"EMBAJADA","AMÉRICA","GUATEMALA","GTM","BOGOTÁ D.C","CALLE 86A # 13-42 PISO 6","(4.598056, -74.075833)","(57) (1) 2576133","(NO REGISTRA)","EMBCOLOMBIA@MINEX.GOB.GT","(NO REGISTRA)"
"CONSULADO HONORARIO","EUROPA","RUMANIA","ROU","MEDELLÍN","CALLE 5ª NO. 39 – 93 EDIFICIO CORFIN TORRE 1 PISO 2","(6.235925, -75.575137)","(57) (4) 2660779 – (57) 317 6372988","(NO REGISTRA)","MARYDR@PQP.COM.CO","(NO REGISTRA)"
"CONSULADO HONORARIO","EUROPA","SERBIA","SRB","BOGOTÁ D.C","CARRERA 3 NO. 92 – 92","(4.598056, -74.075833)","(57) (1) 6166321 – 6166323 – (57) 315 3310028","(NO REGISTRA)","HERNANSANIN@HOTMAIL.COM","(NO REGISTRA)"
"CONSULADO HONORARIO","EUROPA","RUMANIA","ROU","CALI","CALLE 15 NO. 29ª – 11 PARQUE LOGÍSTICO SERVICOMEX","(3.420556, -76.522222)","(57) (4) 6957070 EXT. 1104","(NO REGISTRA)","CONSULADORUMANIA@DATECSA.COM","(NO REGISTRA)"
"EMBAJADA","AMÉRICA","URUGUAY","URY","BOGOTÁ D.C","CARRERA 9 # 80-15 PISO 11","(4.598056, -74.075833)","(57) (1) 2352968 -  2351462","(57) (1) 2483734","URUCOLOMBIA@MRREE.GUB.UY","HTTP://GOO.GL/HACN0V"
"EMBAJADA","ASIA","INDIA","IND","BOGOTÁ D.C","CALLE 116 # 7-15 INTERIOR 2 OFICINA 301 TORRE CUSEZAR","(4.598056, -74.075833)","(57) (1) 6373259 - 6373279 - 6373280 - 6373289","(57) (1) 6373451-6343516","SOCIAL@EMBAJADAINDIA.ORG- CULTURAL@EMBAJADAINDIA.ORG","WWW.EMBAJADAINDIA.ORG/ES/"
"CONSULADO HONORARIO","EUROPA","ITALIA","ITA","CARTAGENA","CARRERA 3 NO. 4 -162 PISO 2","(37.605651, -0.991294)","(57) (5) 6454251","(NO REGISTRA)","CARTAGENA.ONORARIO@ESTERI.IT","(NO REGISTRA)"
"EMBAJADA CONCURRENTE","ASIA","GEORGIA","GEO","BRASILIA","SHIS QI 07 - CONJUNTO 11 - CASA 01 - LAGO SUL CEP: 71615-310","(-14.235004, -51.92528)","(+55) (61) 33661101","(NO REGISTRA)","BRAZIL.EMB@MFA.GOV.GE","(NO REGISTRA)"
"CONSULADO HONORARIO","ÁFRICA","SUDAFRICA","ZAF","BOGOTÁ D.C","CARRERA 1 NO. 110 – 12 APTO 109","(4.598056, -74.075833)","(57) (1) 2134725 – 316 7563040","(NO REGISTRA)","FREJALE@GMAIL.COM","(NO REGISTRA)"
"EMBAJADA","AMÉRICA","REPÚBLICA DOMINICANA","DOM","BOGOTÁ D.C","CARRERA 18 # 123-43 SANTA BÁRBARA","(4.598056, -74.075833)","(57) (1) 6010023 (57)(1) 7456708 (57)(1) 7456710","(NO REGISTRA)","CORRESPONDENCIA@EMBAJADADOMINICANA.CO","HTTP://WWW.EMBAJADARDCOLOMBIA.GOB.DO/"
"CONSULADO HONORARIO","ASIA","VIETNAM","VNM","BOGOTÁ D.C","CARRERA 10 NO. 96 – 25 OFICINA 404","(4.598056, -74.075833)","(57) (1) 6101398 – (57)  318 3505462","(NO REGISTRA)","CGENERALVIETNAM@GMAIL.COM","(NO REGISTRA)"
"CONSULADO","AMÉRICA","BRASIL","BRA","BOGOTÁ D.C","CALLE 93 # 14-20 PISO 8","(4.598056, -74.075833)","(57) (1) 2180800","(57)(1)5712188393","CONSULAR.BOGOTA@ITAMARATY.GOV.BR","(NO REGISTRA)"
"CONSULADO HONORARIO","AMÉRICA","PANAMA","PAN","MEDELLÍN","CALLE 10 NO. 42 – 45 OF. 266 EDIFICIO LA PLAZA. EL POBLADO","(6.235925, -75.575137)","(57) (4) 3124590","(NO REGISTRA)","PANACONSULMEDELLIN@UNE.NET.CO","(NO REGISTRA)"
"CONSULADO","EUROPA","ESPAÑA","ESP","BOGOTÁ D.C","CALLE 94A # 11A-70","(4.598056, -74.075833)","(57) (1) 6283910","(NO REGISTRA)","SE.CEAM@ATOGOB.GOC","WWW.EXTERIORES.GOB.ES/CONSULADOS/BOGOTA/ES"
"CONSULADO HONORARIO","AMÉRICA","CHILE","CHL","MEDELLÍN","CARRERA 43 A # 7- 50 OFICINA 1402","(6.235925, -75.575137)","(57) (4) 4445151 (57) 3205419205","(NO REGISTRA)","CONSULMEDELLIN@C.CHILE.ME.COM- CALIDADMOLINA@YAHOO.COM","(NO REGISTRA)"
"EMBAJADA","AMÉRICA","JAMAICA","JAM","BOGOTÁ D.C","AVENIDA 19 # 108-45 OFICINA 304","(4.598056, -74.075833)","(57) (1) 6123396 - 6123389 -  6123598","(57) (1) 6123479","PRIVATE@EMBAJADADEJAMAICACOL.COM- ELAINE.SANCHEZ@EMBAJADADEJAMAICACOL.COM","HTTP://JAMAICAEMBASSYCO.ATWEBPAGES.COM/"
"EMBAJADA","ASIA","TURQUIA","TUR","BOGOTÁ D.C","CALLE 76 # 8-47 BARRIO EL NOGAL","(4.598056, -74.075833)","(57) (1) 3210070 - 3210072 - 3210073 - 3210075","(57) (1) 3210076","EMBAJADA.BOGOTA@MFA.GOV.TR","HTTP://BOGOTA.BE.MFA.GOV.TR/DEFAULT.ASPX"
"CONSULADO HONORARIO","EUROPA","POLONIA","POL","MEDELLÍN","CALLE CIRCULAR 4 NO. 66 –B 09","(6.235925, -75.575137)","(57) (4) 3860747- (57) (4) 3860846-  (57) 311 5169240","(NO REGISTRA)","CRESTREPO@ARGOS.COM","(NO REGISTRA)"
"CONSULADO HONORARIO","ASIA","TAILANDIA","THA","BOGOTÁ D.C","CALLE 105ª BIS NO. 13 A 71 OF. 202","(4.598056, -74.075833)","(57) (1) 2151071","(NO REGISTRA)","CONSULADO100@OUTLOOK.COM","(NO REGISTRA)"
"CONSULADO HONORARIO","EUROPA","PAISES BAJOS","NLD","MEDELLÍN","CARRERA 25ª NO. 1 – 31 PARQUE EMPRESARIAL EL TESORO OFICINA 1015","(6.235925, -75.575137)","(57) (4) 43175475 - 3104269801","(NO REGISTRA)","CONSULPAISESBAJOSMED@GMAIL.COM","(NO REGISTRA)"
"CONSULADO HONORARIO","EUROPA","REPUBLICA CHECA","CZE","BARRANQUILLA","CALLE 76 NO 57 -44 L. -9","(10.98611, -74.77028)","(57) (5) 3533452  - (57)  3135460581","(NO REGISTRA)","CESAR.CAMPOB@GMAIL.COM - BARRANQUILLA@HONORARY.MZV.CZ","(NO REGISTRA)"
"CONSULADO HONORARIO","EUROPA","AUSTRIA","AUT","MEDELLÍN","CARRERA 43 A. NO. 5-50 CENTRO EMPRESARIAL DANN CARLTON OFICINA 1308","(6.235925, -75.575137)","(57) (4) 3184 220","(NO REGISTRA)","CONSULADOAUSTRIA@UNE.NET.CO","(NO REGISTRA)"
"EMBAJADA CONCURRENTE","ÁFRICA","KENIA","KEN","BRASILIA","SHIS QL 10. CONJUNTO 08. CASA 08. LAGO SUL. CEP: 71630-085","(-14.235004, -51.92528)","(+55) (61) 33640691 / 33641141","(NO REGISTRA)","KENYABRASILIA@GMAIL.COM","(NO REGISTRA)"
"CONSULADO HONORARIO","AMÉRICA","PANAMA","PAN","CALI","AVENIDA 6 NORTE NO. 25-N-58 PISO 3","(3.420556, -76.522222)","(57) (2) 4861116","(NO REGISTRA)","CONSULADO@QUIJANOSEGUROS.COM.CO IGUIRRA@GEO.NET.CO","(NO REGISTRA)"
"CONSULADO","EUROPA","RUMANIA","ROU","BOGOTÁ D.C","CARRERA 7A # 92-58","(4.598056, -74.075833)","(57) (1) 2566438 - 2566458","(57) (1) 2566158","AMBROMBOGOTA@OUTLOOK.COM","(NO REGISTRA)"
"CONSULADO HONORARIO","AMÉRICA","BRASIL","BRA","CALI","CARRERA 100 #11-60 LOCAL 230 HOGUINES TRADE CENTER","(3.420556, -76.522222)","(57) (2) 331-4619 – (57) (2) 339-3444","(NO REGISTRA)","CONSULADOHONORARIO.CALI@GMAIL.COM","(NO REGISTRA)"
"EMBAJADA","EUROPA","POLONIA","POL","BOGOTÁ D.C","CARRERA 21 BIS # 104A-15","(4.598056, -74.075833)","(57) (1) 2140400 - 2142931","(NO REGISTRA)","POLOKONS@SUPERCABLETV.NET.CO- MARTHA.ORAMAS@MSZ.GOV.PL","HTTP://BOGOTA.MSZ.GOV.PL/ES/"
"CONSULADO HONORARIO","ASIA","INDIA","IND","BARRANQUILLA","VÍA 40 N° 83-06","(10.98611, -74.77028)","(57) (5) 3732547 - 3145951080","(NO REGISTRA)","CONSULADODELAINDIA@GMAIL.COM","(NO REGISTRA)"
"CONSULADO","AMÉRICA","VENEZUELA","VEN","MEDELLÍN","CALLE 32B # 69-59 BARRIO BELÉN-ROSALES","(6.235925, -75.575137)","(57) (4) 2350359 - 3511614","(NO REGISTRA)","CONTACTO@CONSULVENEMEDELLIN.ORG","(NO REGISTRA)"
"EMBAJADA","EUROPA","AUSTRIA","AUT","BOGOTA D.C.","CARRERA 9 # 73-44 PISO 4","(0.0, 0.0)","(57) (1) 7443418  7452086 7458189","(57) (1) 3175661","BOGOTA-OB@BMEIA.GV.AT","HTTP://WWW.ADVANTAGEAUSTRIA.ORG"
"CONSULADO","EUROPA","ESPAÑA","ESP","CARTAGENA","CARRERA 36 # 2-74 PLAZA SANTO DOMINGO. CENTRO DE FORMACIÓN (CONVENTO DOMINICOS)","(37.605651, -0.991294)","(57) (5) 6640904","(NO REGISTRA)","SE.CEAM@SAIDNIEDANEGATRAC.GOC","(NO REGISTRA)"
"CONSULADO HONORARIO","AMÉRICA","MEXICO","MEX","BARRANQUILLA","CARRERA 52 NO. 80 – 160","(10.98611, -74.77028)","(57) (5) 3775439 – 3775443","(NO REGISTRA)","HMAESTREC@GMAIL.COM","(NO REGISTRA)"
"CONSULADO HONORARIO","EUROPA","FINLANDIA","FIN","MEDELLÍN","CALLE 6 NO. 32 – 39 INT 601","(6.235925, -75.575137)","(57) (4) 4445478 – (57) 301 5440784","(NO REGISTRA)","FINLANDIAENMEDELLIN@NORDICA.CO","(NO REGISTRA)"
"CONSULADO HONORARIO","AMÉRICA","PERU","PER","CALI","CALLE 101  11B - 12. CIUDAD JARDIN","(3.420556, -76.522222)","(57) (2) 5244447 - 3155002018","(NO REGISTRA)","GERENCIA@GINGENIEROS.COM.CO - GUIDO.CASTANEDA@GINGENIEROS.COM.CO","(NO REGISTRA)"
"CONSULADO HONORARIO","AMÉRICA","PARAGUAY","PRY","MEDELLÍN","CARRERA 39 NO. 13SUR – 95","(6.235925, -75.575137)","(57) (4) 3131463 – 5370211 -  (57) 311 3225031","(57) (5) 6450708","CONSULPARAGUAYMEDELLIN@UNIFLOR.COM.CO","(NO REGISTRA)"
"CONSULADO","EUROPA","ALEMANIA","DEU","BOGOTÁ D.C","CALLE 110 # 9-25 PISO 11","(4.598056, -74.075833)","(57) (1) 4232600","(57) (1) 4232622","(NO REGISTRA)","(NO REGISTRA)"
"EMBAJADA","AMÉRICA","HAITI","HTI","BOGOTÁ D.C","CARRERA 10 # 97A-13 EDIFICIO BOGOTÁ TRADE CENTER P.H. TORRE B OFICINA 2017","(4.598056, -74.075833)","(57) (1) 5203716 5200881 5207729","(NO REGISTRA)","AMB.COLOMBIE@DIPLOMATIE.HT","(NO REGISTRA)"
"EMBAJADA","ASIA","AZERBAIYÁN","AZE","BOGOTÁ D.C","CALLE 113 # 2-90","
,  
(4.598056, -74.075833)","(57) (1) 2158157","(NO REGISTRA)","R.FARZALIYEV@AEZEMBASSY.MX","(NO REGISTRA)"
