"item","expediente","empresa","direccion","telefono","correo_electronico","tramite","no_resolucion_y_fecha","descripci_n","estado","aceites_usados","gasolina","nafta","petroleo_crudo","acpm","destilado","varsol","combustoleo","gas_natural","lodos_de_producci_n_borras","aguas_de_producci_n","ar_domesticas","rs_contaminados_con","condensado","butil_caustica","hipoclorito_de_sodio","detergente_industrial","corrosivos_low_cor","yodo","anhidro_aftalico","potasa_caustica","acido_nitrico","acido_clorhidrico","cloro","cloruro_de_sodio","soda_caustica","hidrocarburo_gnc","aceite_de_palma","hipoclorito_de_sodio_1","jarabe_de_maiz","aceite_hidraulico","acido_fosforico","acido_acetico","bicarbonato_de_sodio","butanediol","hidroxido_de_calcio","carbonato_de_calcio","carbonato_de_potasio","clorato_de_potasio","cloruro_de_calcio","formiato_de_potasio","etil_glicol","hipoclorito_de_calcio","hipoclorito_de_sodio_2","nitrato_de_potasio","nitrato_de_magnesio_liquido","alcohol_etileno_normal","monoxido_de_carbono","sulfato_de_potasio","thinner","tolueno","xileno","aceite_de_motor","estopas_trapos_geomembranas","envases_de_pintura","diluyente","baterias","tonner_y_cartucho_usado_de","tubos_flourescentes","madera_contaminada_con","filtros_contaminados_con","material_contaminado_con","manguera_contaminada_con","bolsas_de_cemento","icopor_contaminado_con","pvc_contaminado_con","residuos_de_aparatos","escombros","llantas","empaques_de_quimicos","fluidos_o_tierra_contaminada","rs_ordinarios","residuos_organicos","residuos_especiales","residuos_aceitosos_aguas","jet_a1","liquido_desintegrador_m_o","salmueras_y_fluidos_salinos","residuos_de_la_produccion","residuos_de_plaguicidas","residuos_desinfectantes","pinturas_y_barnices","cal","barita","flocs","estibas_contaminadas","metales_contaminados","hidroxido_de_sodio","dioxido_de_silicio","antiespumante_base_glicol","carbon_activado","cloruro_de_potasio","silicato_de_aluminio","metano","butano","propileno","disolvente_n4","dioxido_de_azufre","dioxido_de_nitrogeno","manganato_de_potasio","aserrin","cascara_de_nuez","nitrogeno_comprimido","aga_mix","oxido_nitroso","hexafloruro_de_azufre","helio","argon_comprimido","oxigeno_comprimido","dioxido_de_carbono","nitron","propanol","isobutanol","perlita_aislamiento_termico"
"11","3.5.2.11.015.045","MUNDOPETROL S.A.S","MZ 92 CA UNO SAN LUIS BRR MANACACIAS   PTO GAITAN /META","656 5601","gerencia@transportelosteguas.com gerencia@expresolosteguas.com","PLAN DE CONTINGENCIA PARA EL TRANSPORTE","PS-GJ.1.2.6.017.1559 de 02 OCTUBRE 2017","Por medio del cual se acoge el concepto técnico No. PM.GA.3.44.17.2265 del 14 de agosto de 2017 y se aprueba el plan de contingencias para las operaciones de transporte terrestre de hidrocarburos, derivados y sustancias nocivas, a la empresa TRANSPORTES LOS TEGUAS S.A.S, identificada con Nit 900410895-9.","ACTIVO","-","x","-","x","x","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"12","3.5.2.11.015.050","PUERTO ORIENTE LOGISTICA Y TRANSPORTE SAS","CRA 10A # 35-36 BRR INDUSTRIAL","660 16 01 - 318 306 6486","mmotatooeato@puertoriente.com.co","PLAN DE CONTINGENCIA PARA EL TRANSPORTE","PS-GJ.1.2.6.017.1370 de 18 agosto de 2017 y  PS-GJ.1.2.6.017.1723 del 07 noviembre 2017, resuelve recurso de reposicion","Por medio del cual se acoge el concepto técnico No.PM.GA.3.44.17.2346 del 18 de agosto de 2017 y se aprueba el plan de contingencia para las operaciones de transporte terrestre en camión de vacío, volquetas tractocamiones, furgones de residuos industriales, a la empresa PUERTORIENTE LOGÍSTICA Y TRANSPORTE S.A.S, identificada con Nit 900722031-1.","ACTIVO","-","x","x","x","x","-","-","-","-","x","x","-","x","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"13","3.5.2.11.015.054","TRANSCAR VMT","MZ C, CASA 17 BRR BELLO HORIZONTE, VEREDA LA CRISTALINA - PTO GAITAN","315 738 9224","transcarvmt@gmail.com","PLAN DE CONTINGENCIA PARA EL TRANSPORTE","PS-GJ.1.2.6.017.2818 de 20/12/2017","Por medio del cual se acoge el concepto técnico No. PM.GA.3.44.17.3528 del 22 de noviembre de 2017 y se aprueba el plan de contingencias para el transporte de hidrocarburos, derivados y sustancias nocivas, a al empresa TRANSCAR VMT S.A.S, identificada con Nit 900745363-0","ACTIVO","-","x","x","x","x","-","-","-","-","x","x","x","x","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"14","3.5.2.11.016.001","INVERSIONES H.F.D. S.A.S","CALLE No. 7 - 28 / 2 PISO BARRIO TALUDES","683 7191 - 311 2016 6041","Hleonmeneses@yahoo.es","PLAN DE CONTINGENCIA PARA EL TRANSPORTE","PS-GJ.1.2.6.018.1537 27/07/2018","Por medio del cual se acoge el concepto técnico No. PM.GA.3.44.18.2181 del 08 de junio de 2018 y se aprueba el plan de contingencias para el transporte terrestre de hidrocarburos, derivados y líquidos en general, a favor de la empresa INVERSIONES H.F.D S.A.S identificada con Nit 900222718-7","ACTIVO","-","x","x","x","x","-","-","x","-","x","x","-","-","-","-","-","-","-","-","-","-","-","-",,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","x","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"15","3.5.2.11.016.011","PARKO SERVICES S.A.","CRA 15 # 106-65 PISO 4 BOGOTA","294 0030","General@parko.com.co","PLAN DE CONTINGENCIA PARA EL TRANSPORTE","PS-GJ.1.2.6.018.1788 16/08/2018","Por medio del cual se acoge el concepto técnico No. PM.GA.3.44.18.354 del 05 de febrero de 2018 y se aprueba el plan de contingencia, para la operación de transporte terrestre de hidrocarburos, derivados y sustancias nocivas, a la empresa PARKO SERVICES S.A, identificada con Nit 860052872-9.","ACTIVO","-","-","-","x","x","-","-","x","-","x","x","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"16","3.5.2.11.016.018","TRANSPORTES MASA LTDA","PARQUE INDUSTRIAL EL AVISO LOTE 2, KM 4 VIA PALERMO","310 586 6020","coord.administrativa@transportesmas.com hseqnacional@transportesmasa.com","PLAN DE CONTINGENCIA PARA EL TRANSPORTE","PS-GJ.1.2.6.018.0945 29/05/2018","Por medio del cual se acoge el concepto técnico No.PM.GA.3.44.18.1575 del 03 de mayo de 2018 y se aprueba el plan de contingencias para el transporte automotor terrestre de sustancias peligrosas, a la empresa TRANSPORTES MASA LTDA, identificada con Nit 900163464-8.","ACTIVO","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","x","-","-","-","-","-","-","-","x","-","-","x","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","x","-","-","-","-","-","-","-","x","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"17","3.5.2.11.016.033","SERVITRANSGUAMAL S.A.S","CRA 10 # 11-06 BARRIO CAJA AGRARIA - GUAMAL/META","311 230 3865","servitransguamal@gmail.com","PLAN DE CONTINGENCIA PARA EL TRANSPORTE","PS-GJ.1.2.6.018.0512 12/04/2018","Por medio del cual se acoge el concepto técnico No.PM.GA.3.44.18.806 del 14 de marzo de 2018 y se aprueba el plan de contingencia para el manejo y transporte de hidrocarburos, derivados y sustancias nocivas, a la empresa SERVITRANSGUAMAL S.A.S, identificada con Nit 900630779-6","ACTIVO","-","x","x","x","x","-","x","x","-","x","-","-","-","x","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","x","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"18","3.5.2.11.016.036","TRACTOCAR DEL LLANO S.A.S","CRA 27 # 15-61 ACACIAS - META","312 508 0147","ramiro.rrr@hotmail.com","PLAN DE CONTINGENCIA PARA EL TRANSPORTE","PS-GJ.1.2.6.018.1196 18/06/2018","Por medio del cual se acoge el concepto técnico No.PM.GA.3.44.18.2122 del 07 de junio de 2018 y se aprueba el plan de contingencias para el transporte de productos derivados del petróleo y otras sustancias peligrosas, a la empresa TRACTOCAR DEL LLANO S.A.S, identificado con Nit 900970325-4.","ACTIVO","-","x","x","x","x","-","-","-","-","-","-","-","-","-","-","x","x","x","x","x","x","x","X",,,"x","-","-","-","-","-","X","X","-","-","-","-","-","-","-","-","-","-","-","-","-","X",,"X",,,"X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"19","3.5.2.11.016.043","OXITRANS S.A.S.","CALLE 1 G NO. 29B -44  BOGOTA D.C","702 0387","gerencia@oxitrans.com.co","PLAN DE CONTINGENCIA PARA EL TRANSPORTE","PS-GJ.1.2.6.017.1797  18 NOVIEMBRE DE 2017","Por medio del cual se acoge el concepto técnico No. PM.GA.3.44.17.1993 del 26 julio de 2017 y se aprueba el plan de contingencias para el transporte terrestre de hidrocarburos en jurisdicción de Cormacarena, a la empresa OXITRANS S.A.S, identificada con Nit 830124817-4.","ACTIVO","-","-","-","x","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"20","3.5.2.11.017.002","SERAMLLANOS S.A.S","MZ C, CASA NO. 9 BRR VILLA MANUELA","322 395 1590","seramllanos@gmail.com","PLAN DE CONTINGENCIA PARA EL TRANSPORTE","PS-GJ.1.2.6.017.1919 21 nov 2017","Por medio del cual se acoge el concepto técnico No. PM.GA.3.44.17.2741 del 27 de septiembre de 2017 y se aprueba el plan de contingencia para las operaciones de transporte terrestre de aguas residuales domesticas, a la empresa SERVICIOS AMBIENTALES DEL LLANO S.A.S, identificada con Nit 900885839-4","ACTIVO","-","-","-","-","-","-","-","-","-","-","-","x","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"21","3.5.2.11.017.006","TRANSPORTE Y LOGISTICA PETROLERA S.A.S.","CRA 7A # 180 - 63, Modulo 0, Bodega 6, Brr San Antonio Norte","31151243381","info@tlpsasa.com mariojoya@tlpsas.com          presidencia@tipsas","PLAN DE CONTINGENCIA PARA EL TRANSPORTE","PS-GJ.1.2.6.018.0956 31/05/2018","Por medio del cual se acoge el concepto técnico No. PM.GA.3.44.18.204 del 22 de enero de 2018 y se aprueba el plan de contingencias para el transporte terrestre en vehiculos tipo cisternas de hidrocarburos, derivados y sustancias peligrosas en general, a la empresa TRANSPORTE Y LOGISTICA PETROLERA S.A.S, identificada con Nit 900449312-6.","ACTIVO","-","x","x","x","x","-","-","-","-","-","x","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","x","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"22","3.5.2.11.017.009","ARA TRANSPORTES.A.S.","CRA 7 No. 113-43 Piso 16 -  BOGOTA","321 992 7167","aragerencia1@gmail.com","PLAN DE CONTINGENCIA PARA EL TRANSPORTE","Resolucion PS-GJ.1.2.6.17.1603 del 06 de octubre 2017","Por medio del cual se acoge el concepto técnico  No. PM.GA.3.44.17.2825 del 04 de octubre de 2017 y se aprueba el plan de contingencia para el manejo y transporte de hidrocarburos, derivados y sustancias nocivas, a la empresa ARA TRANSPORTES S.A.S, identificada con NIt 900712251-2.","ACTIVO","-","x","x","x","x","-","-","-","-","-","x","x","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
