"coddanemunicipio","municipio","codigohabilitacion","nombredelprestador","clasedeprestador","direccion","telefono","email"
"320","ORITO","8632000584","IPS SERVICIO FARMACEUTICO SAN ANDRES S.A.S","IPS SERVICIO FARMACEUTICO SAN ANDRES S.A.S","Instituciones - IPS","BARRIO VERGEL CASA 8","VERGEL CASA 8"
"885","VILLAGARZÓN","8688500719","Beatriz Eugenia Giraldo Rodriguez","Beatriz Eugenia Giraldo Rodriguez","Profesional Independiente","carrera 2 N°5-07","El Centro"
"320","ORITO","8632000330","FONOCLINIC IPS S.A.S","FONOCLINIC IPS S.A.S","Instituciones - IPS","Calle 2a nº 2-07","28 de Mayo"
"749","SIBUNDOY","8600100172","UNIDAD MEDICO ASISTENCIAL DEL PUTUMAYO EMPRESA UNIPERSONAL - UNIMAP E.U.","UNIDAD MEDICO ASISTENCIAL DEL PUTUMAYO EMPRESA UNIPERSONAL - UNIMAP E.U. SEDE SIBUNDOY","Instituciones - IPS","Cra 20 Nº 16 - 62","CASTELVI"
"568","PUERTO ASÍS","8600100172","UNIDAD MEDICO ASISTENCIAL DEL PUTUMAYO EMPRESA UNIPERSONAL - UNIMAP E.U.","UNIDAD MEDICO ASISTENCIAL DEL PUTUMAYO EMPRESA UNIPERSONAL - SEDE PUERTO ASIS","Instituciones - IPS","CALLE 12 No. 24 - 14","SAN NICOLAS"
"749","SIBUNDOY","8674900753","Vanessa Reyes Muñoz","Vanessa Reyes Muñoz","Profesional Independiente","calle 16 No. 16 -72","Comercial"
"´001","MOCOA","8600100728","ATENCION INTEGRAL MEDICA AIMEDIC S.A.S","AIMEDIC S.A.S.","Instituciones - IPS","Carrera 7 N. 15-07","El Jardin"
"320","ORITO","8686500722","Maria Patricia Benavides Ortega","Maria Patricia Benavides Ortega","Profesional Independiente","cll 2a No. 2-06","Barrio 28 de mayo"
"´001","MOCOA","8600100575","IPS DISMECOL LTDA","IPS DISMECOL LTDA","Instituciones - IPS","CALLE 14 No. 10-11 AV. SAN FRANCISCO","OBRERO"
"320","ORITO","8600100217","CORPORACION MI IPS NARIÑO","IPS ORITO","Instituciones - IPS","DG 8A N° 5-364",
"571","PUERTO GUZMÁN","8688500586","San Jose Ips Putumayo SAS","San Jose IPS Putumayo SAS","Instituciones - IPS","Barrio Guayabal","Barrio Guayabal"
"569","PUERTO CAICEDO","8600100172","UNIDAD MEDICO ASISTENCIAL DEL PUTUMAYO EMPRESA UNIPERSONAL - UNIMAP E.U.","UNIDAD MEDICO ASISTENCIAL DEL PUTUMAYO EMPRESA UNIPERSONAL - UNIMAP E.U.","Instituciones - IPS","Cra 1A Nº 7 - 68","VILLA DEL RIO"
"568","PUERTO ASÍS","8656800334","CENTRO ESPECIALIZADO DE ALTA TECNOLOGIA EN IMÁGENES DIAGNOSTICAS LTDA","CENTRO ESPECIALIZADO DE ALTA TECNOLOGIA EN IMÁGENES DIAGNOSTICAS LTDA","Instituciones - IPS","CALLE 11 N. 25-16","EL CARMEN"
"749","SIBUNDOY","8674900062","ADRIANA LIZBETH CHAMORRO BUCHELI","ADRIANA LIZBETH CHAMORRO BUCHELI","Profesional Independiente","KR 14 No. 15-54","ORIENTAL"
"757","SAN MIGUEL","8675700699","WILIAN ALEXANDER PORTILLO GUEVARA","WILIAN ALEXANDER PORTILLO GUEVARA","Profesional Independiente","CRA 5 N° 2 - 27","METROPOLITANO"
"757","SAN MIGUEL","8675700779","HERIBERTO HENRIQUE DOMINGUEZ CABARCAS","HERIBERTO HENRIQUE DOMINGUEZ CABARCAS","Profesional Independiente","CARRERA 5 CALLE 6","CENTRAL"
"´001","MOCOA","8600100712","WHERLEY DARIO QUIROGA PEREZ","WHERLEY DARIO QUIROGA PEREZ","Profesional Independiente","Calle 5 No. 9-305","Avenida 17 de julio"
"´001","MOCOA","8600100171","FRANCISCA LIDA TERAN ACOSTA","OPTICA MOCOA","Profesional Independiente","CL 12 N 9-48","VILLA COLOMBIA"
"320","ORITO","8632000599","Edith Adriana Delgado Diaz","Delgado","Profesional Independiente","calle 8 N. 7a-69",
"749","SIBUNDOY","8674900685","IPS ESPAÑA ORTIZ LIMITADA","IPS ESPAÑA ORTIZ LIMITADA","Instituciones - IPS","CARRERA 18 CALLE 13 ESQUINA","BETANIA"
"568","PUERTO ASÍS","8656800763","AMBVIDA S.A.S.","AMBVIDA S.A.S.","Transporte Especial de Pacientes","CRA 24 No. 12-63","SAN NICOLAS"
"´001","MOCOA","8600100031","IVAN RAMIRO CHICO VACA","IVAN RAMIRO CHICO VACA","Profesional Independiente","Calle 12 No. 9-21","Villa Colombia"
"885","VILLAGARZÓN","8688500633","EIBAR CAMILO CHAMORRO VELASCO","EIBAR CAMILO CHAMORRO VELASCO","Profesional Independiente","BARRIO OBRERO calle 6 numero 2A-21","Juan Pablo II"
"´001","MOCOA","8600100623","NOVADEN Odontologia Especializada IPS SAS","Odontologia Especializada Dra. Andrea Castrillon IPS SAS","Instituciones - IPS","CRA. 7B No. 11C-06 PISO 1","RUMIPAMBA"
"865","VALLE DEL GUAMUEZ","8686500603","CENTRO MEDICO CRECER IPS S.A.S.","CENTRO MEDICO CRECER IPS S.A.S.","Instituciones - IPS","CARRERA 4 N 6-18","LA AMISTAD"
"568","PUERTO ASÍS","8656800653","MARIA FERNANDA HURTADO RAMIREZ","MARIA FERNANDA HURTADO RAMIREZ","Profesional Independiente","CALLE 10 ENTRE CRA 27 Y 28","BARRIO EL CARMEN"
"568","PUERTO ASÍS","8656800111","HERMILA ROSA MACHADO CORDOBA","Laboratorio clinico San Francisco de Asis","Profesional Independiente","Calle 10 No 27-02","EL CARMEN"
"´001","MOCOA","8600100787","MARTHA CECILIA VARGAS CLEVES","MARTHA CECILIA VARGAS CLEVES","Profesional Independiente","avenida san francisco calle 12 # 12-30","san francisco"
"´001","MOCOA","8600100269","ERMINDA ANTONIA ROSERO LASSO","ERMINDA ANTONIA ROSERO LASSO","Profesional Independiente","Carrera 9 N° 10-02","MODELO"
"320","ORITO","8632000180","CLAUDIA LUCIA LOPEZ BURGOS","CLAUDIA LUCIA LOPEZ BURGOS","Profesional Independiente","CALLE 4 No 11-75","LA UNION"
"749","SIBUNDOY","8674900074","LUIS CARLOS BASTIDAS VEGA","LUIS CARLOS BASTIDAS VEGA","Profesional Independiente","CL 17 N° 15 -52","CENTRO"
"´001","MOCOA","8600100702","IPS REHABILITACION INTEGRAL SANAR S.A.S","IPS REHABILITACION INTEGRAL SANAR S.A.S","Instituciones - IPS","Cra 7 N° 17B -80 MANZANA D CASA 22","Villa Nathalia"
"´001","MOCOA","8600100771","PAOLA NAYERINE CHAMORRO CHANCHI","PAOLA NAYERINE CHAMORRO CHANCHI","Profesional Independiente","CARRERA 17.CALLE 9.","BARRIO AVENIDA COLOMBIA"
"865","VALLE DEL GUAMUEZ","8686500619","EDY ELIZABETH MORA ROSERO","EDY ELIZABETH MORA ROSERO","Profesional Independiente","cra 4- calle 8 esquina Barrio las Americas 2 piso",
"320","ORITO","8632000598","MEDIC-LASER SAS","MEDIC-LASER IPS","Instituciones - IPS","CALLE 3 # 12 -52","UNION"
"´001","MOCOA","8600100733","OSCAR BERMEO NARVAEZ","OSCAR BERMEO NARVAEZ","Profesional Independiente","CALLE 14#12-49 PISO 2","AVENIDA SAN FRANCISCO"
"865","VALLE DEL GUAMUEZ","8686500260","CLINICA SAN JORGE LA HORMIGA S.A.S","CLINICA SAN JORGE LA HORMIGA S.A.S","Instituciones - IPS","CRA 6 No. 9-38","LAS ACACIAS"
"885","VILLAGARZÓN","8688500160","ROSA ELENA CHAMORRO VELASCO","ROSA ELENA CHAMORRO VELASCO","Profesional Independiente","BARRIO OBRERO CALLE 6 NUMERO 2A-21","Juan Pablo II"
"568","PUERTO ASÍS","8656800635","Unimedical del Sur","UNIMEDICAL DEL SUR SEDE PUERTO ASIS","Instituciones - IPS","cra 26 #09-74","barrio el carmen"
"´001","MOCOA","8600100373","GESTION INTEGRAL EN SALUD DEL PUTUMAYO GEINSALUD PUTUMAYO","GEINSALUD PUTUMAYO","Instituciones - IPS","CRA 8 No. 14-24","BARRIO OBRERO"
"´001","MOCOA","8600100729","IPS CLINICA DEL RONQUIDO TRANSTORNO DEL SUEÑO Y LA VOZ SAS","IPS CLINICA DEL RONQUIDO TRANSTORNO DEL SUEÑO Y LA VOZ SAS","Instituciones - IPS","CALLE 14 No. 8-16","OLIMPICO"
"320","ORITO","8632000713","JOHN WILLIAM LOPEZ JUAGIBIOY","JOHN WILLIAM LOPEZ JUAGIBIOY","Profesional Independiente","CALLE 3 No. 7-11","SIMON BOLIVAR"
"´001","MOCOA","8600100683","hernan dario jojoa rangel","hernan dario jojoa rangel","Profesional Independiente","Calle 7 Numero 4- 38","jose maria hernandez"
"865","VALLE DEL GUAMUEZ","8686500773","Juan Fernando Pineda Perez","Juan Fernando Pineda Perez","Profesional Independiente","Carrera 6 # 7 -32","La Amistad"
"´001","MOCOA","8600100256","ZAYRA ROXANNE CHAMORRO VALENCIA","ZAYRA ROXANNE CHAMORRO VALENCIA","Profesional Independiente","CALLE 14 NUMERO 12-49","AVENIDA SAN FRANCISCO"
"´001","MOCOA","8600100019","MARIA ELENA GUERRERO GOMEZ","MARIA ELENA GUERRERO GOMEZ","Profesional Independiente","CALLE 7A No. 10-11EDIFICIO MARIA ELENA","MODELO"
"568","PUERTO ASÍS","8656800774","jhonatan andres ortega cabrera","jhonatan andres ortega cabrera","Profesional Independiente","calle 10 N 22-39","centro"
"568","PUERTO ASÍS","8600100184","OPTICA FAMILIAR E.U.","OPTICA FAMILIAR E.U","Instituciones - IPS","CLL 21 N° 10-30","CENTRO"
"568","PUERTO ASÍS","8656800775","alexander wilmer ortega cabrera","alexander wilmer ortega cabrera","Profesional Independiente","CALLE 10 # 22-39","centro"
"´001","MOCOA","8600100365","ASISTENCIA MEDICA DEL SUR IPS LTDA","ASISTENCIA MEDICA DEL SUR IPS LTDA","Instituciones - IPS","CR 13 14 64 BRR OBRERO","BRR OBRERO"
"´001","MOCOA","8600100743","IVAN DARIO GONZALEZ ROA","IVAN DARIO GONZALEZ ROA","Profesional Independiente","carrera 6 no 8-29 segundo piso","Centro"
"749","SIBUNDOY","8674900063","SANDRA PATRICIA GONZALEZ VALLEJO","SANDRA PATRICIA GONZALEZ VALLEJO","Profesional Independiente","Cl 16 N° 14-45","LIBERTAD"
"´001","MOCOA","8600100299","OSCAR ORLANDO GUERRERO ENRIQUEZ","OSCAR ORLANDO GUERRERO ENRIQUEZ","Profesional Independiente","Av San Francisco Calle 14 No. 12-81 OF 204",
"865","VALLE DEL GUAMUEZ","8686500725","Oscar Arlex Cortes Bermudez","Oscar Arlex Cortes Bermudez","Profesional Independiente","Carrera 8 5-71","El Eden"
"´001","MOCOA","8600100642","Keyla Daniela Lopez Acosta","Keyla Daniela Lopez Acosta","Profesional Independiente","CALLE 11 No. 12-25 BARRIO OBRERO ETAPA 1",
"749","SIBUNDOY","8674900168","CORPOMEDICA Servicios Medicos Integrales E.U.","CORPOMEDICA Servicios Medicos Integrales E.U.","Instituciones - IPS","CL 15 No 11- 07","FRAY BARTOLOME"
"´001","MOCOA","8600100721","EMPRESA DE REMISIONES Y TRASLADOS DIVINO NIÑO S.A.S","REMISIONES Y TRASLADOS DIVINO NIÑO S.A.S","Transporte Especial de Pacientes","MANZANA E CASA 4","PRIMERO DE ENERO"
"568","PUERTO ASÍS","8656800159","MARITZA BARRERA PALOMINO","MARITZA BARRERA PALOMINO","Profesional Independiente","CL10 NUMERO 26-13",
"´001","MOCOA","8600100172","UNIDAD MEDICO ASISTENCIAL DEL PUTUMAYO EMPRESA UNIPERSONAL - UNIMAP E.U.","UNIDAD MEDICO ASISTENCIAL DEL PUTUMAYO EMPRESA UNIPERSONAL - UNIMAP E.U.","Instituciones - IPS","14 - 87","AV. COLOMBIA"
"865","VALLE DEL GUAMUEZ","8686500618","INSTITUCIÓN PRESTADORA DE SERVICIOS CENTRO INTEGRAL DE REHABILITACIÓN DEL PUTUMAYO LTDA.","INSTITUCIÓN PRESTADORA DE SERVICIOS CENTRO INTEGRAL DE REHABILITACIÓN DEL PUTUMAYO LTDA.","Instituciones - IPS","CRA 8 N 6-10","LA AMISTAD"
"568","PUERTO ASÍS","8656800314","Rina Alejandra Chicue Ortiz","Rina Alejandra Chicue Ortiz","Profesional Independiente","calle 13 mz 2","camilo torres"
"320","ORITO","8632000123","WILLIAM EDWART MONSALVE PAZ","WILLIAM MONSALVE PAZ","Profesional Independiente","Ka 12 Nº 7-95","MARCO FIDEL SUAREZ"
"´001","MOCOA","8600100184","OPTICA FAMILIAR E.U.","OPTICA FAMILIAR E.U.","Instituciones - IPS","CARRERA 14 No. 13-08","AV. SAN FRANCISCO"
"568","PUERTO ASÍS","8600100743","IVAN DARIO GONZALEZ ROA","IVAN DARIO GONZALEZ ROA","Profesional Independiente","CALLE 9 NO 24-74 calle del puerto segundo","barrio del puerto"
"´001","MOCOA","8600100197","CLINICA AYNAN LTDA","CLINICA AYNAN LTDA","Instituciones - IPS","KR 14 # 11-36","AV SAN FRANCISCO"
"749","SIBUNDOY","8674900645","REHABILITAR CIRP S.A.S","REHABILITAR CIRP S.A.S","Instituciones - IPS","Crr 16 15 60","Comercial"
"568","PUERTO ASÍS","8656800211","GENNY ELISABETH DELGADO MORALES","GENNY ELISABETH DELGADO MORALES","Profesional Independiente","Calle 9 No. 24-47","El carmen"
"749","SIBUNDOY","8674900696","I.P.S. CENTRO DE REHABILITACION INTEGRAL SAOMY S.A.S","I.P.S. CENTRO DE REHABILITACION INTEGRAL SAOMY S.A.S.","Instituciones - IPS","CALLE 16 N° 22-34","EL CEDRO"
"´001","MOCOA","8600100756","FREDY DARIO ORTIZ ORTIZ","FREDY DARIO ORTIZ ORTIZ","Profesional Independiente","CALLE 14 # 14 - 71AV SAN FRANCISCO DE MOCOA","SAN FRANCISCO"
"568","PUERTO ASÍS","8656800635","Unimedical del Sur","Unimedical del Sur","Instituciones - IPS","Kra. 26 Calle 10 # 25-23","El Carmen"
"568","PUERTO ASÍS","8656800622","MARIA MARGARITA PRIETO CERON","MARIA MARGARITA PRIETO CERON","Profesional Independiente","CALLE 15A No 31-41","EL RECREO"
"885","VILLAGARZÓN","8688500694","Yudy Liset Chamorro","Yudy Liset Chamorro","Profesional Independiente","BARRIO OBRERO CALLE 6 NUMERO 2A-21","OBRERO"
"´001","MOCOA","8600100154","LILIANA MARICEL RODRIGUEZ RENZA","LILIANA MARICEL RODRIGUEZ RENZA","Profesional Independiente","CARRERA 4 No 7 - 06","BARRIO JOSE MARIA HERNANDEZ"
"568","PUERTO ASÍS","8656800306","Lina Niño Coral","Lina Niño Coral","Profesional Independiente","Calle 10#26-43","El Carmen"
"865","VALLE DEL GUAMUEZ","8686500716","JENNIFFER JANETH LOPEZ PARRA","JENNIFFER JANETH LOPEZ PARRA","Profesional Independiente","CALLE 7 a No. 5 - 37","LA AMISTAD"
"749","SIBUNDOY","8674900390","YORMARY YANETSY LUNA BURBANO","YORMARY YANETSY LUNA BURBANO","Profesional Independiente","calle 16 N° 19 - 193 ESQUINA","El Cedro"
"´001","MOCOA","8600100372","Edgar Mauricio Rojas Rojas","Edgar Mauricio Rojas Rojas","Profesional Independiente","Crra 9 N 12-44","Avenida Colombia"
"219","COLÓN","8674900066","ASOCIACION IPS INDIGENA INGA KAMENTSA","ASOCIACION IPS INDIGENA INGA KAMENTSA","Instituciones - IPS","CARRERA 10 No. 4-43","EL CENTRO"
"568","PUERTO ASÍS","8656800711","Mayra Alexandra Vargas Escobar","Mayra Alexandra Vargas Escobar","Profesional Independiente","Carrera 25 Manzana B casa No. 6","la floresta"
"568","PUERTO ASÍS","8656800327","MELVA LIDE VILLOTA ZAMBRANO","MELVA LIDE VILLOTA ZAMBRANO","Profesional Independiente","KR 26 # 10-08","EL CARMEN"
"320","ORITO","8632000697","EDWARD FERNANDO GOMEZ FERNANDEZ","EDWARD FERNANDO GOMEZ FERNANDEZ","Profesional Independiente","CRA 10 N°6- 29","LA UNION"
"749","SIBUNDOY","8600100171","FRANCISCA LIDA TERAN ACOSTA","FRANCISCA LIDA TERAN ACOSTA","Profesional Independiente","kra 14 N. 16-30","ORIENTAL"
"´001","MOCOA","8600100259","OPTILENTES E.U.","OPTILENTES E.U.","Instituciones - IPS","KR 8 Nº 15-50","CIUDAD JARDIN"
"568","PUERTO ASÍS","8656800095","LUIS GONZALO MARIN MARIN","LUIS GONZALO MARIN MARIN","Profesional Independiente","KRA 26 N 10 30",
"568","PUERTO ASÍS","8686500722","Maria Patricia Benavides Ortega","Maria Patricia Benavides Ortega","Profesional Independiente","Calle 10 No 29-28","Salvador Allende"
"749","SIBUNDOY","8674900065","GUILLERMO HERNAN PANTOJA CEBALLOS","GUILLERMO HERNAN PANTOJA CEBALLOS","Profesional Independiente","CR 14 No. 16 - 41","LIBERTAD"
"´001","MOCOA","8600100229","CENTRO DE IMÁGENES DIAGNOSTICAS TERCER MILENIO LTDA","CENTRO DE IMÁGENES DIAGNOSTICAS TERCER MILENIO LTDA","Instituciones - IPS","CALLE 14 N 12-59","SAN FRANCISCO"
"757","SAN MIGUEL","8675700616","Olga Lucia Cuasquer Posos","Olga Lucia Cuasquer Posos","Profesional Independiente","carrera 5ta #6A-43","central"
"749","SIBUNDOY","8674900757","MARIA CAMILA RUALES CEBALLOS","MARIA CAMILA RUALES CEBALLOS","Profesional Independiente","CR 14 No. 16 - 41","LIBERTAD"
"´001","MOCOA","8600100720","CLINICA ORAL DENTIS S.A.S.","CLINICA ORAL DENTIS SEDE MOCOA","Instituciones - IPS","CALLE 14 N 11-39","AVENIDA SAN FRANCISCO"
"865","VALLE DEL GUAMUEZ","8686500698","YEIMY PATRICIA BECERRA INFANTE","YEIMY BECERRA INFANTE","Profesional Independiente","cra 7a Nº 10-01","LA ESMERALDA"
"´001","MOCOA","8600100631","Jenny Cristina Maya Hernández","Jenny Cristina Maya Hernández","Profesional Independiente","Calle 10 A # 14 - 23","Huasipanga"
"757","SAN MIGUEL","8675700769","YEIMY ANDREA RAMIREZ VELARDE","YEIMY ANDREA RAMIREZ VELARDE","Profesional Independiente","CARRERA 5 No. 1A - 46","METROPOLITANO"
"865","VALLE DEL GUAMUEZ","8600100197","CLINICA AYNAN LTDA","CLINICA AYNAN LTDA IMAGENES DIAGNOSTICAS","Instituciones - IPS","CARRERA 11 N° 8 - 45","MODELO"
"568","PUERTO ASÍS","8656800672","IPS EMERGENCIAS MEDICAS PUERTO ASIS SAS","EMERGENCIAS MEDICAS PUERTO ASIS IPS SAS","Transporte Especial de Pacientes","Carrera 29 No-9-70 Barrio Modelo","MODELO"
"568","PUERTO ASÍS","8656800202","CLINICA DE LA AMAZONIA IPS LTDA","CLÍNICA DE LA AMAZONIA IPS AGENCIA PUERTO ASÍS","Instituciones - IPS","CALLE 10 No. 25 28","EL CARMEN"
"320","ORITO","8632000621","Gina Marcela Ponce Moncayo","Gina Marcela Ponce Moncayo","Profesional Independiente","Carrera 10 N° 5 - 40","la Unión"
"885","VILLAGARZÓN","8688500228","IPS PROSVISALUD EU","IPS PROSVISALUD VILLAGARZON","Instituciones - IPS","Calle 3 numero 7-47","Barrio progreso"
"865","VALLE DEL GUAMUEZ","8600100259","OPTILENTES E.U.","OPTILENTES E.U","Instituciones - IPS","CALLE 9 N° 5-20","LAS ACACIAS"
"´001","MOCOA","8600100308","DORIS GLADYS SALAS RODRIGUEZ","DORIS GLADYS SALAS RODRIGUEZ","Profesional Independiente","AVENIDA SAN FRANCISCO CALLE 14 # 10-15","AVENIDA SAN FRANCISCO"
"´001","MOCOA","8600100081","PAOLA ANDREA FLOREZ MURIEL","PAOLA ANDREA FLOREZ MURIEL","Profesional Independiente","CRA 8 No. 15-50","CIUDAD JARDIN"
"568","PUERTO ASÍS","8656800772","SERIS IPS SAS","SERIS IPS SAS","Instituciones - IPS","CALLE 10 CRA 37 No. 10 - 25","LAS COLINAS"
"´001","MOCOA","8600100691","SOLUCIONES INTEGRALES EN GESTION OCUPACIONAL S.A.S","Medicina Integral & Laboral SAS","Instituciones - IPS","Av. San Francisco # 15-07 B/ Obrero","Obrero"
"´001","MOCOA","8600100786","MAYRA ALEJANDRA ORTEGA NARVAEZ","MAYRA ALEJANDRA ORTEGA NARVAEZ","Profesional Independiente","CLL 24#7A-19 TORRE MIGUEL ÁNGEL LOCAL 1","B/ JORGE ELIECER GAITAN"
"568","PUERTO ASÍS","8656800352","CLINICA SALUD CENTER S.A.S","CLINICA SALUD CENTER S.A.S","Instituciones - IPS","CALLE 9 No 9 - 74","EL PUERTO"
"885","VILLAGARZÓN","8688500762","MOHAMED ENRIQUE RODRIGUEZ SALCEDO","MOHAMED ENRIQUE RODRIGUEZ SALCEDO","Profesional Independiente","KRA 2 NUMERO 5-07","CENTRO"
"320","ORITO","8632000667","María Eugenia Chavez Melo","María Eugenia Chavez Melo","Profesional Independiente","Cra 10 No. 6 - 29","Unión"
"568","PUERTO ASÍS","8656800705","karen paola narvaez quiñonez","karen paola narvaez quiñonez","Profesional Independiente","Calle 11 No 23 - 69","San Nicolas"
"568","PUERTO ASÍS","8656800202","CLINICA DE LA AMAZONIA IPS LTDA","CLINICA DE LA AMAZONIA IPS LTDA","Instituciones - IPS","CL 12 27 03 BR EL RECREO","EL CARMEN"
"568","PUERTO ASÍS","8600100217","CORPORACION MI IPS NARIÑO","IPS PUERTO ASIS","Instituciones - IPS","CL 10 N°25-28","EL CARMEN"
"568","PUERTO ASÍS","8656800738","SACS CONSULTORES S.A.S PUTUMAYO","SACS CONSULTORES S.A.S","Transporte Especial de Pacientes","VEREDA TETEYE",
"749","SIBUNDOY","8674900715","CLAUDIA ROCIO ROJAS BENAVIDES","CLAUDIA ROCIO ROJAS BENAVIDES","Profesional Independiente","CLL15 19-25","CASTELVI"
"´001","MOCOA","8600100671","IPS CONSULTORIO MATERNO INFALTIL - LOS ANGELES SAS","IPS LOS ANGELES SAS","Instituciones - IPS","CL 7 13B MZ 16","JOSE MARIA HERNANDEZ"
"´001","MOCOA","8600100663","VICTOR HUGO RODRIGUEZ MUÑOZ","VICTOR HUGO RODRIGUEZ MUÑOZ","Profesional Independiente","CALLE 10 # 14-02","HUASIPANGA"
"568","PUERTO ASÍS","8656800104","WILMER CORDOBA MARIN","WILMER CORDOBA MARIN","Profesional Independiente","CL 10 NUMERO 27-40","CARMEN"
"865","VALLE DEL GUAMUEZ","8686500605","Diana Maria España Calderon","Diana Maria España Calderon","Profesional Independiente","Calle 10 No 5_12","Las acacias"
"´001","MOCOA","8600100016","DIAGNOSTICOS E.U.","DIAGNOSTICOS E.U.","Instituciones - IPS","CALLE 12 No 9 -103","VILLACOLOMBIA"
"749","SIBUNDOY","8674900151","MARIA VICTORIA HERRERA SALAS","MARIA VICTORIA HERRERA SALAS","Profesional Independiente","CRA. 14 No. 15-58 - B/ ORIENTAL","ORIENTAL"
"´001","MOCOA","8600100782","DEICY LORENA BAHOS ORDOÑEZ","DEICY LORENA BAHOS ORDOÑEZ","Profesional Independiente","CLLE 24 No. 7A - 19 Torre Miguel Angel Local 1","JORGE ELIECER GAITAN"
"865","VALLE DEL GUAMUEZ","8686500577","Luis Fernando Arteaga Silva","Luis Fernando Arteaga Silva","Profesional Independiente","CARRERA 6 N. 5 - 25.","LA AMISTAD"
"568","PUERTO ASÍS","8656800788","AURELIO FERNANDO ACOSTA SOLARTE","AURELIO FERNANDO ACOSTA SOLARTE","Profesional Independiente","CALLE 10 No.27-40","EL CARMEN"
"573","LEGUÍZAMO","8657300615","RODRIGO ANIBAL RUIZ BARON","RODRIGO ANIBAL RUIZ BARON","Profesional Independiente","carrera 2 entre calle 9 y 10","la magdalena"
"568","PUERTO ASÍS","8656800196","LUZ EMELY NARANJO OROZCO","LUZ EMELY NARANJO OROZCO","Profesional Independiente","Cra. 30 no. 28-29",
"´001","MOCOA","8600100276","SALUD TERAPIA DEL PUTUMAYO E.U","SALUD TERAPIA DEL PUTUMAYO E.U","Instituciones - IPS","CARRERA 11A No. 15 - 46","SAN FRANCISCO"
"´001","MOCOA","8600100055","ANA LUCIA LEITON REVELO","ANA LUCIA LEITON REVELO","Profesional Independiente","CALLE 7 No. 4 - 22","JOSE MARIA HERNANDEZ"
"´001","MOCOA","8600100105","CLINICA CREAR VISION LTDA","CLINICA CREAR VISION","Instituciones - IPS","KR 8 No. 17-156","VILLA NATALIA"
"´001","MOCOA","8600100613","MEGASALUD IPS SAS","MEGASALUD IPS LTDA UCI NEONATAL MOCOA","Instituciones - IPS","AV. SAN FRANCISCO CLLE 14 #7-26 HOSPITAL JOSE MA HERNANDEZ","OBRERO"
"568","PUERTO ASÍS","8656800770","TOBAR ENCISO ALLAN FREDY","TOBAR ENCISO ALLAN FREDY","Profesional Independiente","CL 9 # 24-74 cs 202","El Puerto"
"´001","MOCOA","8600100177","ANA CAROLINA VIVAS CORDOBA","ANA CAROLINA VIVAS CORDOBA","Profesional Independiente","CALLE 13 N° 8-44","OLIMPICO"
"568","PUERTO ASÍS","8656800659","JENNY ALEJANDRA QUINTERO MAZO","JENNY ALEJANDRA QUINTERO MAZO","Profesional Independiente","CARRERA 20 No 10-25","EL CENTRO"
"´001","MOCOA","8600100217","CORPORACION MI IPS NARIÑO","IPS MOCOA","Instituciones - IPS","CALLE 15 N° 7 A 40 BARRIO JARDIN","JARDIN"
