"dm_institucion_cod_institucion","nombre","ccb_nit_inst","orden","suborden","nivel_institucion","clasificacion_organica","sector","naturaleza_juridica","tipo_institucion","idmunicipio","municipio","iddepartamento","departamento","direccion","fax","email","ccb_telefono","ccb_pagina_web","longitud","latitud","estado_ins","nombre_representante","cargo_representante"
"1928","CONCEJO DE PENSILVANIA","890801137","Territorial","Municipal","No Aplica","Corporaciones administrativas","No Aplica","Concejo Municipal","No Aplica","541","PENSILVANIA","17","Caldas","Cra. 6 No. 4-06. Esquina.","8555171","concejo@pensilvania-caldas.gov.co","3103097443","http://www.pensilvania-caldas.gov.co/concejo.shtml","-75.161426","5.38211","Activa","NULL","NULL"
"3167","HOSPITAL  SAN ANTONIO  -MANZANARES","890801699","Territorial","Municipal","Descentralizado","Ejecutiva","No Aplica","Empresas Sociales del Estado","Vinculación","433","MANZANARES","17","Caldas","carrera 5a N° 8 - 66","096-8550050","hospitalSANANTONIO@hotmail.com","8550014","NO DISPONIBLE","-75.153894","5.255906","Activa","NULL","NULL"
"2578","CONCEJO DE TUQUERRES","NULL","Territorial","Municipal","No Aplica","Corporaciones administrativas","No Aplica","Concejo Municipal","No Aplica","838","TÚQUERRES","52","Nariño","Carrera 14 calle 16 Esquina - Parque Bolivar","NULL","contactenos@tuquerres-narino.gov.co","7281074","http://www.tuquerres-narino.gov.co/concejo.shtml","-77.618641","1.085739","Activa","NULL","NULL"
"0925","SENADO DE LA REPUBLICA","899999103","Nacional","No Aplica","No Aplica","Legislativa","No Aplica","Senado de la República","Otro","001","BOGOTÁ","11","Bogotá D.C","Cr. 5 No. 10-69","386306","atencionciudadanacongreso@senado.gov.co","3826325","http://www.senado.gov.co","-74.072092","4.710989","Activa","NULL","NULL"
"5848","PERSONERÍA DE QUIBDO","NULL","Territorial","Municipal","No Aplica","Organismos de control y vigilancia","No Aplica","Personeria Municipal","No Aplica","001","QUIBDÓ","27","Chocó","VACIA","NULL","NULL","(4) 672 35 45","NO DISPONIBLE","-76.649812","5.695633","Activa","NULL","NULL"
"3171","HOSPITAL  SAN ANTONIO  -TARQUÍ","891180232","Territorial","Municipal","Descentralizado","Ejecutiva","No Aplica","Empresas Sociales del Estado","Vinculación","791","TARQUI","41","Huila","calle 3a Nro. 6-40 Tarqui","098-8329189","camacuna99@yahoo.com","8329190","NO DISPONIBLE","-75.823483","2.112437","Activa","NULL","NULL"
"2008","CONCEJO DE SANTA HELENA DEL OPÓN","800099832","Territorial","Municipal","No Aplica","Corporaciones administrativas","No Aplica","Concejo Municipal","No Aplica","720","SANTA HELENA DEL OPÓN","68","Santander","Calle 4 No. 3-40 Palacio Municipal","097-7274520","alvaroclavijonieves@hotmail.com","3212020751","NO DISPONIBLE","-73.616458","6.338748","Activa","NULL","NULL"
"3259","HOSPITAL  SAN RAFAEL  -GIRARDOTA","890980727","Territorial","Municipal","Descentralizado","Ejecutiva","No Aplica","Empresas Sociales del Estado","Vinculación","308","GIRARDOTA","05","Antioquia","cra 16 Nº 11-01","NULL","sadministrativo@hospitalgirardota.com","604 4753720 ext. 115","https://hospitalgirardota.gov.co/","-75.449517","6.378322","Activa","NULL","NULL"
"1287","ALCALDÍA DE ZONA BANANERA","819003297","Territorial","Municipal","Central","Ejecutiva","No Aplica","Alcaldía","Adscripción","980","ZONA BANANERA","47","Magdalena","Casa 9,Prado Sevilla, Sevilla","5-4100743,4102914","alcaldia@zonabananera-magdalena.gov.co","(5)4203052 - 3173101009","http://www.zonabananera-magdalena.gov.co","-74.17097","10.792245","Activa","NULL","NULL"
"1186","ALCALDÍA DE TIBIRITA","800094782","Territorial","Municipal","Central","Ejecutiva","No Aplica","Alcaldía","Adscripción","807","TIBIRITA","25","Cundinamarca","Carrera 4 No. 5 - 21","091-8566027","alcalda@tibirita-cundinamarca.gov.co","3112176711","http://www.tibirita-cundinamarca.gov.co","-73.504646","5.052433","Activa","NULL","NULL"
"5338","MINISTERIO DE CIENCIA, TECNOLOGÍA E INNOVACIÓN","899999296-2","Nacional","No Aplica","Central","Ejecutiva","Ciencia, Tecnología e innovación","Ministerio","Cabeza","001","BOGOTÁ","11","Bogotá D.C","Avenida Calle 26 No. 57 - 83","6251788","atencionalciudadano@minciencias.gov.co","6258480","http://www.minciencias.gov.co/","-74.072092","4.710989","Activa","NULL","NULL"
"5294","HOSPITAL MILITAR CENTRAL","830040256-0","Nacional","No Aplica","Descentralizado","Ejecutiva","Defensa","Establecimiento Público","Adscripción","001","BOGOTÁ","11","Bogotá D.C","TRANSVERSAL 3a. No 49-00","6401715","rhumanos@hospitalmilitar.gov.co","3486868","http://www.hospitalmilitar.gov.co","-74.072092","4.710989","Activa","GALVIS DÍAZ, CLARA ESPERANZA","Director General De Entidad Descentralizada Adscrita Del Sector Defensa"
"5634","PERSONERÍA DE GUAPOTA","890204979","Territorial","Municipal","No Aplica","Organismos de control y vigilancia","No Aplica","Personeria Municipal","No Aplica","322","GUAPOTÁ","68","Santander","carrera 2 No.5-25 centro de Guapotá Santander.","097-7296211","addisoncar@hotmail.com","7296252","http://www.guapota-santander.gov.co","-73.320958","6.308152","Activa","NULL","NULL"
"6111","PROMOTORA DEL DESARROLLO DEL DISTRITO CENTRAL DE BARRANQUILLA - PROMOCENTRO S.A.","830505538","Territorial","Distrital","Descentralizado","Ejecutiva","No Aplica","Establecimiento Público","Adscripción","001","BARRANQUILLA","08","Atlántico","Carrera 46   34 - 77  Piso 3","095-3445125","promocentrosa@yahoo.com","095-3704977","NO DISPONIBLE","-74.806981","11.004107","Activa","NULL","NULL"
"2649","CONTRALORÍA DEPARTAMENTAL DEL CAQUETÁ","891190246","Territorial","Departamental","No Aplica","Organismos de control y vigilancia","No Aplica","Contraloría Departamental","No Aplica","001","FLORENCIA","18","Caquetá","Cra 13 No.15-00 Gobernación Piso 4","NULL","contactenos@cdc.gov.co","4353199","http://www.cdc.gov.co","-75.604236","1.615386","Activa","NULL","NULL"
"2972","CENTRO DE SALUD JUAN FRANCISCO BERBEO","820003929","Territorial","Municipal","Descentralizado","Ejecutiva","No Aplica","Empresas Sociales del Estado","Vinculación","090","BERBEO","15","Boyacá","Berbeo - Centro","098-7403249","eseberbeo@yahoo.com","098-7403249","NO DISPONIBLE","-73.127259","5.226974","Activa","NULL","NULL"
"5713","PERSONERÍA DE MACARAVITA","890210947","Territorial","Municipal","No Aplica","Organismos de control y vigilancia","No Aplica","Personeria Municipal","No Aplica","425","MACARAVITA","68","Santander","carrera 3 No. 3-38","097-6607668","miguelarturoblancos@gmail.com","6607668","NO DISPONIBLE","-72.59259","6.50614","Activa","NULL","NULL"
"1263","ALCALDÍA DE VILLANUEVA - SANTANDER","890206250 -1","Territorial","Municipal","Central","Ejecutiva","No Aplica","Alcaldía","Adscripción","872","VILLANUEVA","68","Santander","Carrera 15 No. 13-27","097-7166138","contactenos@villanueva-santander.gov.co
gobierno@villanueva-santander.gov.co","(7)7166138","http://www.villanueva-santander.gov.co","-73.173988","6.669466","Activa","NULL","NULL"
"4759","INSTITUTO MUNICIPAL PARA EL DEPORTE Y LA RECREACION DE MADRID","800222095","Territorial","Municipal","Descentralizado","Ejecutiva","No Aplica","Establecimiento Público","Adscripción","430","MADRID","25","Cundinamarca","Cra 7 No 8-45 coliseo cubierto","091-8251196","idr_madrid@sky.net.co","8251196","NO DISPONIBLE","-74.262757","4.733779","Activa","NULL","NULL"
"4437","HOSPITAL REGIONAL NUESTRA SEÑORA DE LOS REMEDIOS - RIOHACHA","892115009","Territorial","Distrital","Descentralizado","Ejecutiva","No Aplica","Empresas Sociales del Estado","Vinculación","001","RIOHACHA","44","La Guajira","Calle 12 Carrera 15 esquina","091-273586","esehnsrrg952@hotmail.com","7272538 - 7273312-7270053","NO DISPONIBLE","-72.916784","11.538415","Activa","NULL","NULL"
"1572","CONCEJO DE BUENAVISTA -- BUENAVISTA, BOYACÁ","891808260","Territorial","Municipal","No Aplica","Corporaciones administrativas","No Aplica","Concejo Municipal","No Aplica","109","BUENAVISTA","15","Boyacá","Calle 4 # 4-44","098-7265631","buenavistaincontaduria@yahoo.es","7266254","http://www.buenavista-boyaca.gov.co/concejo.shtml","-73.942428","5.51326","Activa","NULL","NULL"
"2653","CONTRALORÍA DEPARTAMENTAL DEL HUILA","800169790","Territorial","Departamental","No Aplica","Organismos de control y vigilancia","No Aplica","Contraloría Departamental","No Aplica","001","NEIVA","41","Huila","CARRERA 4, CALLE 8 ESQUINA  EDIFICIO GOBERNACION DEL HUILA PISO 5","(57+8) 8713114","info@contraloriahuila.gov.co","(57+8) 8713304","http://www.contraloriahuila.gov.co/","-75.2809","2.934484","Activa","NULL","NULL"
"6117","RIFAS Y JUEGOS PROMOCIONALES DEL TOLIMA","809010234","Territorial","Municipal","Descentralizado","Ejecutiva","No Aplica","Empresas Industriales y Comerciales del Estado","Vinculación","001","IBAGUÉ","73","Tolima","Carrera 2  11 - 59  Piso 2","098-2611023","info@loteriadeltolima.com","098-2631883,2617422,","http://WWW.LOTERIADELTOLIMA.COM","-75.242438","4.444676","Activa","NULL","NULL"
"5375","PERSONERÍA DE PINCHOTE","890204265","Territorial","Municipal","No Aplica","Organismos de control y vigilancia","No Aplica","Personeria Municipal","No Aplica","549","PINCHOTE","68","Santander","Carrera 5 No 4 - 13 Pinchote-Santander","097-7248788","gonzalezalba06@yahoo.es","3144139319","http://www.alcaldiadepinchote.gov.co","-73.1727","6.53247","Activa","NULL","NULL"
"0910","ALCALDÍA DE PUEBLORRICO - ANTIOQUIA","890981105","Territorial","Municipal","Central","Ejecutiva","No Aplica","Alcaldía","Adscripción","576","PUEBLORRICO","05","Antioquia","Carrera 31 Los Andes Nº 30-45","094-8428081","prical01@edatel.net.co","8498865 ext 104","http://pueblorrico-antioquia.gov.co","-75.840589","5.794161","Activa","NULL","NULL"
"1262","ALCALDÍA DE VILLANUEVA - GUAJIRA","800215191","Territorial","Municipal","Central","Ejecutiva","No Aplica","Alcaldía","Adscripción","874","VILLANUEVA","44","La Guajira","plaza principal villanueva guajira","NULL","contactenos@villanueva-guajira.gov.co","(5) 7772032","http://www.villanueva-guajira.gov.co","-72.981936","10.603721","Activa","NULL","NULL"
"8398","CONSEJO PROFESIONAL DE INGENIERÍA QUÍMICA DE COLOMBIA","860509339-8","Nacional","No Aplica","No Aplica","Entes autónomos","NULL","Órganos autónomos","No Aplica","001","BOGOTÁ","11","Bogotá D.C","Calle 99 No. 49 - 78 Oficina 305. Edificio Castellana 99 Business Center.","NULL","contacto@cpiq.org.co","8053003 - 3152577954","http://www.cpiq.gov.co","-74.072092","4.710989","Activa","NULL","NULL"
"5907","PERSONERÍA DE SAN JOSE","810001998","Territorial","Municipal","No Aplica","Organismos de control y vigilancia","No Aplica","Personeria Municipal","No Aplica","665","SAN JOSÉ","17","Caldas","carrera 2 n 6-37","096-8608563","alcaldia_sanjose@hotmail.com","8608616","http://sanjose.comunidad.com.co","-75.791461","5.081463","Activa","NULL","NULL"
"4170","EMPRESA AUTONOMA DE APARTADO","900004770","Territorial","Municipal","Descentralizado","Ejecutiva","No Aplica","Empresas de Servicios Públicos Domiciliarios - Mixtas","Vinculación","045","APARTADÓ","05","Antioquia","Cl 107 103-43","NULL","NULL","8285600","NO DISPONIBLE","-76.624692","7.882761","Activa","NULL","NULL"
"0704","ALCALDÍA DE LA PRIMAVERA","800103308","Territorial","Municipal","Central","Ejecutiva","No Aplica","Alcaldía","Adscripción","524","LA PRIMAVERA","99","Vichada","CALLE 4 Nª 8-89","098-5662739,5662738","alcaldia@laprimavera-vichada.gov.co","3204996627","NO DISPONIBLE","-70.40911","5.48885","Activa","NULL","NULL"
"6096","PERSONERÍA DE EL TABLON","814004466","Territorial","Municipal","No Aplica","Organismos de control y vigilancia","No Aplica","Personeria Municipal","No Aplica","258","EL TABLÓN DE GÓMEZ","52","Nariño","Carrera 4 3a -41 Barrio San Fransisco","(2) 7264800","personeriatablondegomez98@hotmail.com","(2) 7264800","http://www.eltablondegomez-narino.gov.co/Personeria.shtml","-77.097224","1.427619","Activa","NULL","NULL"
"3178","HOSPITAL  SAN CARLOS - SALDAÑA","890701300","Territorial","Municipal","Descentralizado","Ejecutiva","No Aplica","Empresas Sociales del Estado","Vinculación","671","SALDAÑA","73","Tolima","KM 1 Via a Purificación","098-5948888","wimode@hotmail.com","2267191- 2266052- 2266040","NO DISPONIBLE","-75.017821","3.929018","Activa","NULL","NULL"
"3008","CENTRO DE SALUD SAN BLAS - MORROA","823002856","Territorial","Municipal","Descentralizado","Ejecutiva","No Aplica","Empresas Sociales del Estado","Vinculación","473","MORROA","70","Sucre","CARRERA 7 No 10-70","(5)-2840563","esesanblasdemorroa@hotmail.es","(5)-2840563","NO DISPONIBLE","-75.307733","9.332193","Activa","NULL","NULL"
"2252","CONCEJO DE LOPEZ DE MYCAY","800051168","Territorial","Municipal","No Aplica","Corporaciones administrativas","No Aplica","Concejo Municipal","No Aplica","418","LÓPEZ","19","Cauca","Calle de las flores - Lopez de Micay","092-8405010","munlopezmicay@hotmail.com","928405010","http://lopezdemicay-cauca.gov.co/concejo.shtml","-77.145","2.5047","Activa","NULL","NULL"
"0097","ALCALDÍA DE ARACATACA","891780041","Territorial","Municipal","Central","Ejecutiva","No Aplica","Alcaldía","Adscripción","053","ARACATACA","47","Magdalena","Calle 9 No 4A-32","095-4271048","alcaldia@aracataca-magdalena.gov.co","4270727","http://www.aracataca.gov.co","-74.186103","10.591925","Activa","NULL","NULL"
"3443","HOSPITAL LOCAL DE CUBARRAL","900048040-7","Territorial","Municipal","Descentralizado","Ejecutiva","No Aplica","Empresas Sociales del Estado","Vinculación","223","CUBARRAL","50","Meta","Calle 10 N° 19-18 Barrio San Luis","097-6763355","esecubarral@hotmail.com","57-6763211","http://www.esehospital-cubarral-meta.gov.co/","-73.839793","3.794382","Activa","NULL","NULL"
"2949","EMPRESA DE SERVICIOS PUBLICOS DOMICILIARIOS DEL MUNICIPIO DE SIBATÉ","832004319-0","Territorial","Municipal","Descentralizado","Ejecutiva","No Aplica","Empresas Industriales y Comerciales del Estado","Vinculación","740","SIBATÉ","25","Cundinamarca","Calle 4 N° 6 A - 77 Barrio San Jorge - Sibaté","NULL","info@epmsibate.com","5297403","https://www.epmsibate.com/","-74.259334","4.485011","Activa","NULL","NULL"
"2981","CENTRO DE SALUD MANUEL ARTURO HIGUERA","826002864","Territorial","Municipal","Descentralizado","Ejecutiva","No Aplica","Empresas Sociales del Estado","Vinculación","723","SATIVASUR","15","Boyacá","CARRERA 3 Nº 3-15","098-7880801","contamargareth@gmail.com","7880801","NO DISPONIBLE","-72.712022","6.093447","Activa","NULL","NULL"
"6138","EMPRESA DE SERVICIOS PUBLICOS SERVILENGUPA S.A","900325136","Territorial","Municipal","Descentralizado","Ejecutiva","No Aplica","Empresas de Servicios Públicos Domiciliarios - Mixtas","Vinculación","455","MIRAFLORES","15","Boyacá","VACIA","NULL","NULL","NULL","NO DISPONIBLE","-73.143061","5.196395","Activa","NULL","NULL"
"3526","HOSPITAL REGIONAL SAN JUAN DE DIOS - SANTAFE DE ANTIOQUIA","890982264-1","Territorial","Municipal","Descentralizado","Ejecutiva","No Aplica","Empresas Sociales del Estado","Vinculación","042","SANTAFÉ DE ANTIOQUIA","05","Antioquia","CALLE 10 No. 3-24","094-8531299","comunicaciones.hdea@gmail.com 
gerencia@hospitalantioquia.com
subfinanciera@hospitalantioquia.com
subgerencia@hospitalantioquia.com","8531020- 8531114","http://www.hospitalsantafedeantioquia.com/index.php?option=com_content=featured","-75.827129","6.557179","Activa","NULL","NULL"
"6043","PERSONERÍA DE UMBITA","NULL","Territorial","Municipal","No Aplica","Organismos de control y vigilancia","No Aplica","Personeria Municipal","No Aplica","842","UMBITA","15","Boyacá","Calle 6 No. 5 - 92 Centro","(8) 7305000 extensión 12","personeria@umbita-boyaca.gov.co","(8) 7305003 extensión 23","NO DISPONIBLE","-73.456773","5.218218","Activa","NULL","NULL"
"3598","HOSPITAL SAN MARTIN DE ASTREA","824000442","Territorial","Municipal","Descentralizado","Ejecutiva","No Aplica","Empresas Sociales del Estado","Vinculación","032","ASTREA","20","Cesar","Calle 13 # 2-71 Barrio El Carmen","(5)5260258 - 5260286","sanmartinhospital@hotmail.com","(5)5260258 - 5260286","http://hospitalsanmartindeastrea.gov.co/","-73.976122","9.496125","Activa","NULL","NULL"
"4164","EMCATEL S.V.A. S.A.","805009260","Territorial","Municipal","Descentralizado","Ejecutiva","No Aplica","Empresas de Servicios Públicos Domiciliarios - Mixtas","Vinculación","001","CALI","76","Valle del Cauca","Av 2 N entre calle 10 y 11","NULL","NULL","8999999","NO DISPONIBLE","-76.531985","3.451647","Activa","NULL","NULL"
"1026","ALCALDÍA DE SAN FRANCISCO - PUTUMAYO","800102903 -6","Territorial","Municipal","Central","Ejecutiva","No Aplica","Alcaldía","Adscripción","755","SAN FRANCISCO","86","Putumayo","Calle 4 No. 3-35 Barrio  Botero","098-4271124","alcaldia@sanfrancisco-putumayo.gov.co","Telefax (098) 4271124","http://www.sanfrancisco-putumayo.gov.co","-76.875695","1.176194","Activa","NULL","NULL"
"0990","ALCALDÍA DE SALAMINA - MAGDALENA","891780053","Territorial","Municipal","Central","Ejecutiva","No Aplica","Alcaldía","Adscripción","675","SALAMINA","47","Magdalena","Calle 7 No. 2-13","095-4180017","contacto@salamina-caldas.gov.co
alcaldiasalaminamag@hotmail.com","954180017","http://www.salamina-magdalena.gov.co","-74.794526","10.491105","Activa","NULL","NULL"
"1562","CONCEJO DE BOCHALEMA","NULL","Territorial","Municipal","No Aplica","Corporaciones administrativas","No Aplica","Concejo Municipal","No Aplica","099","BOCHALEMA","54","Norte de Santander","Calle 3 No. 3 - 08 Palacio Municipal Bochalema","NULL","contactenos@bochalema-nortedesantander.gov.co","5863014","http://www.bochalema-nortedesantander.gov.co/concejo.shtml","-72.647352","7.612039","Activa","NULL","NULL"
"5955","PERSONERÍA DE SANTA ROSA -- SANTA ROSA, CAUCA","800095984","Territorial","Municipal","No Aplica","Organismos de control y vigilancia","No Aplica","Personeria Municipal","No Aplica","701","SANTA ROSA","19","Cauca","CAN - SANTA ROSA CAUCA","092-0","santarosanorte@hotmail.com","3137762728 - 3216415664","NO DISPONIBLE","-76.573617","1.703026","Activa","NULL","NULL"
"4432","HOSPITAL LASCARIO BARBOSA AVENDAÑO - ACANDÍ","891680054","Territorial","Municipal","Descentralizado","Ejecutiva","No Aplica","Empresas Sociales del Estado","Vinculación","006","ACANDÍ","27","Chocó","Calle Consistorial","094-6828031","marielita52@yahoo.com","094-6828031,6828067","NO DISPONIBLE","-77.27898","8.510109","Activa","NULL","NULL"
"1264","ALCALDÍA DE VILLAPINZÓN","899999445","Territorial","Municipal","Central","Ejecutiva","No Aplica","Alcaldía","Adscripción","873","VILLAPINZÓN","25","Cundinamarca","Carrera 5 No. 4-33","091-8565243","alcaldia@villapinzon-cundinamarca.gov.co","8565125","http://www.villapinzon-cundinamarca.gov.co","-73.594625","5.215209","Activa","NULL","NULL"
"2661","CONTRALORÍA MUNICIPAL DE DOSQUEBRADAS","800150130-4","Territorial","Municipal","No Aplica","Organismos de control y vigilancia","No Aplica","Contraloría Municipal","No Aplica","170","DOSQUEBRADAS","66","Risaralda","Avenida Simón Bolívar Número 36-44 Centro Administrativo Municipal CAM Segundo Piso Oficina 210","(096) 3227463","contraloriadosquebradas@gmail.com","3228069","http://www.contraloriadedosquebradas.gov.co/","-75.680568","4.831826","Activa","NULL","NULL"
"4342","FONDO MIXTO DE LA CULTURA Y LAS ARTES DE CALDAS","800251170","Territorial","Municipal","Descentralizado","Ejecutiva","No Aplica","Establecimiento Público","Adscripción","001","MANIZALES","17","Caldas","Calle 26  20-46","096-8842390","fondomixtodecaldas@latinmail.com","096-8842390","NO DISPONIBLE","-75.513817","5.070275","Activa","NULL","NULL"
"3509","HOSPITAL NUESTRA SEÑORA DEL CARMEN - HATO NUEVO","825000620-1","Territorial","Municipal","Descentralizado","Ejecutiva","No Aplica","Empresas Sociales del Estado","Vinculación","378","HATONUEVO","44","La Guajira","Calle 15 No 12-73 barrio los girasoles","095-7759397","hospicarmen12@hotmail.com","095-7759397","NO DISPONIBLE","-72.762546","11.066345","Activa","NULL","NULL"
"1559","CONCEJO DE BELEN ANDAQUIES","NULL","Territorial","Municipal","No Aplica","Corporaciones administrativas","No Aplica","Concejo Municipal","No Aplica","094","BELÉN DE LOS ANDAQUIES","18","Caquetá","Calle 5 No. 4-42 Centro Administrativo Municipal","NULL","concejo@belendelosandaquies-caqueta.gov.co","4316264","http://belendelosandaquies-caqueta.gov.co/concejo.shtml","-75.872318","1.420014","Activa","NULL","NULL"
"8113","INSTITUCION UNIVERSITARIA CONOCIMIENTO E INNOVACION PARA LA JUSTICIA","NULL","Nacional","No Aplica","No Aplica","Judicial","No Aplica","Establecimiento Público","Adscripción","001","BOGOTÁ","11","Bogotá D.C","VACIA","NULL","NULL","0","NULL","-74.072092","4.710989","Activa","NULL","NULL"
"1294","ASAMBLEA DEPARTAMENTAL DE BOYACÁ","800054743-8","Territorial","Departamental","No Aplica","Corporaciones administrativas","No Aplica","Asamblea Departamental","No Aplica","001","TUNJA","15","Boyacá","Calle 19 No. 9-35 Edificio Loteria de Boyacá","NULL","contactenos@asamblea-boyaca.gov.co
asambleaboyaca@hotmail.com","()7438648 7404726","http://www.asamblea-boyaca.gov.co","-73.357557","5.544642","Activa","NULL","NULL"
"0270","CORPORACION AUTONOMA REGIONAL DEL MAGDALENA","800099287","Nacional","No Aplica","No Aplica","Entes autónomos","Ambiente y Desarrollo Sostenible","Órganos autónomos","Régimen Autónomo","001","SANTA MARTA","47","Magdalena","Av. Del Libertador No. 32 - 201","(57)5 4211344","webmaster@corpamag.gov.co","(57)5 4213089","http://www.corpamag.gov.co","-74.211023","11.240355","Activa","NULL","NULL"
"0069","ALCALDÍA DE ALGECIRAS","800255101","Territorial","Municipal","Central","Ejecutiva","No Aplica","Alcaldía","Adscripción","020","ALGECIRAS","41","Huila","Carrera 5 con Calle 6 Esquina","8382558","alcaldia@algeciras-huila.gov.co","8382012 Ext. 12","http://www.algeciras-huila.gov.co","-75.315694","2.523477","Activa","NULL","NULL"
"0367","CORPORACION AUTONOMA REGIONAL DEL CAUCA","891501885-4","Nacional","No Aplica","No Aplica","Entes autónomos","Ambiente y Desarrollo Sostenible","Órganos autónomos","Régimen Autónomo","001","POPAYÁN","19","Cauca","Carrera 7  N° 1N-28 EDIFICIO EDGAR NEGRET DUEÑAS","(57)2 8203251","crc@crc.gov.co","(57)2 8203232","http://www.crc.gov.co","-76.614739","2.444814","Activa","NULL","NULL"
"1062","ALCALDÍA DE SAN ONOFRE","892200592-3","Territorial","Municipal","Central","Ejecutiva","No Aplica","Alcaldía","Adscripción","713","SAN ONOFRE","70","Sucre","CENTRO PLAZA PRINCIPAL","095-2983235","alcaldia@sanonofre-sucre.gov.co","3205009491","http://www.sanonofre-sucre.gov.co","-75.519872","9.74084","Activa","NULL","NULL"
"1841","CONCEJO DE GUAYABETAL","800094701","Territorial","Municipal","No Aplica","Corporaciones administrativas","No Aplica","Concejo Municipal","No Aplica","335","GUAYABETAL","25","Cundinamarca","Cra. 3 No 3-13","8495001","concejo@guayabetal-cundinamarca.gov.co","8495001","NO DISPONIBLE","-73.81476","4.2157","Activa","NULL","NULL"
