"pa_s","codigo_dane2","estado","actividad_economica","numero_ocupados","participacion_ocupados","variacion","a_o"
"Colombia","63","Quindío","Actividades inmobiliarias","19458","0.083","0.077","2012"
"Colombia","63","Quindío","Agricultura, pesca, ganadería, caza y silvicultura","34773","0.149","-0.055","2012"
"Colombia","63","Quindío","Comercio, hoteles y restaurantes","72018","0.308","0.039","2012"
"Colombia","63","Quindío","Construcción","15232","0.065","0.244","2012"
"Colombia","63","Quindío","Electricidad, gas y agua","1682","0.007","0.057","2012"
"Colombia","63","Quindío","Explotación de minas y canteras","628","0.003","0.14","2012"
"Colombia","63","Quindío","Industria manufacturera","22680","0.097","0.013","2012"
"Colombia","63","Quindío","Intermediación financiera","3147","0.013","0.543","2012"
"Colombia","63","Quindío","No informa","137","0.001","2.513","2012"
"Colombia","63","Quindío","Servicios comunales, sociales y personales","46229","0.198","0.078","2012"
"Colombia","63","Quindío","Transporte, almacenamiento y comunicaciones","17781","0.076","0.042","2012"
"Colombia","63","Quindío","Actividades inmobiliarias","20646","0.087","0.061","2013"
"Colombia","63","Quindío","Agricultura, pesca, ganadería, caza y silvicultura","34865","0.146","0.003","2013"
"Colombia","63","Quindío","Comercio, hoteles y restaurantes","74095","0.31","0.029","2013"
"Colombia","63","Quindío","Construcción","15080","0.063","-0.01","2013"
"Colombia","63","Quindío","Electricidad, gas y agua","1937","0.008","0.152","2013"
"Colombia","63","Quindío","Explotación de minas y canteras","621","0.003","-0.011","2013"
"Colombia","63","Quindío","Industria manufacturera","19582","0.082","-0.137","2013"
"Colombia","63","Quindío","Intermediación financiera","2731","0.011","-0.132","2013"
"Colombia","63","Quindío","No informa","160","0.001","0.168","2013"
"Colombia","63","Quindío","Servicios comunales, sociales y personales","50105","0.21","0.084","2013"
"Colombia","63","Quindío","Transporte, almacenamiento y comunicaciones","18833","0.079","0.059","2013"
"Colombia","63","Quindío","Actividades inmobiliarias","20658","0.083","0.001","2014"
"Colombia","63","Quindío","Agricultura, pesca, ganadería, caza y silvicultura","35815","0.143","0.027","2014"
"Colombia","63","Quindío","Comercio, hoteles y restaurantes","78721","0.315","0.062","2014"
"Colombia","63","Quindío","Construcción","17393","0.07","0.153","2014"
"Colombia","63","Quindío","Electricidad, gas y agua","1797","0.007","-0.072","2014"
"Colombia","63","Quindío","Explotación de minas y canteras","258","0.001","-0.585","2014"
"Colombia","63","Quindío","Industria manufacturera","20399","0.082","0.042","2014"
"Colombia","63","Quindío","Intermediación financiera","2474","0.01","-0.094","2014"
"Colombia","63","Quindío","No informa","137","0.001","-0.144","2014"
"Colombia","63","Quindío","Servicios comunales, sociales y personales","53326","0.213","0.064","2014"
"Colombia","63","Quindío","Transporte, almacenamiento y comunicaciones","19146","0.077","0.017","2014"
"Colombia","63","Quindío","Actividades inmobiliarias","21801","0.086","0.055","2015"
"Colombia","63","Quindío","Agricultura, pesca, ganadería, caza y silvicultura","36974","0.146","0.032","2015"
"Colombia","63","Quindío","Comercio, hoteles y restaurantes","81834","0.324","0.04","2015"
"Colombia","63","Quindío","Construcción","18707","0.074","0.076","2015"
"Colombia","63","Quindío","Electricidad, gas y agua","2331","0.009","0.297","2015"
"Colombia","63","Quindío","Explotación de minas y canteras","278","0.001","0.078","2015"
"Colombia","63","Quindío","Industria manufacturera","18682","0.074","-0.084","2015"
"Colombia","63","Quindío","Intermediación financiera","2783","0.011","0.125","2015"
"Colombia","63","Quindío","No informa","21","0.0","-0.847","2015"
"Colombia","63","Quindío","Servicios comunales, sociales y personales","52829","0.209","-0.009","2015"
"Colombia","63","Quindío","Transporte, almacenamiento y comunicaciones","16654","0.066","-0.13","2015"
"Colombia","63","Quindío","Actividades inmobiliarias","22608","0.088","0.037","2016"
"Colombia","63","Quindío","Agricultura, pesca, ganadería, caza y silvicultura","37740","0.147","0.021","2016"
"Colombia","63","Quindío","Comercio, hoteles y restaurantes","84797","0.329","0.036","2016"
"Colombia","63","Quindío","Construcción","20471","0.08","0.094","2016"
"Colombia","63","Quindío","Electricidad, gas y agua","2260","0.009","-0.03","2016"
"Colombia","63","Quindío","Explotación de minas y canteras","140","0.001","-0.496","2016"
"Colombia","63","Quindío","Industria manufacturera","20378","0.079","0.091","2016"
"Colombia","63","Quindío","Intermediación financiera","2578","0.01","-0.074","2016"
"Colombia","63","Quindío","No informa","0","0.0","-1.0","2016"
"Colombia","63","Quindío","Servicios comunales, sociales y personales","49504","0.192","-0.063","2016"
"Colombia","63","Quindío","Transporte, almacenamiento y comunicaciones","16964","0.066","0.019","2016"
"Colombia","63","Quindío","Actividades inmobiliarias","22588","0.087","-0.001","2017"
"Colombia","63","Quindío","Agricultura, pesca, ganadería, caza y silvicultura","37052","0.143","-0.018","2017"
"Colombia","63","Quindío","Comercio, hoteles y restaurantes","82609","0.318","-0.026","2017"
"Colombia","63","Quindío","Construcción","17518","0.067","-0.144","2017"
"Colombia","63","Quindío","Electricidad, gas y agua","1748","0.007","-0.227","2017"
"Colombia","63","Quindío","Explotación de minas y canteras","397","0.002","1.836","2017"
"Colombia","63","Quindío","Industria manufacturera","25124","0.097","0.233","2017"
"Colombia","63","Quindío","Intermediación financiera","2431","0.009","-0.057","2017"
"Colombia","63","Quindío","No informa","14","0.0","0.0","2017"
"Colombia","63","Quindío","Servicios comunales, sociales y personales","50872","0.196","0.028","2017"
"Colombia","63","Quindío","Transporte, almacenamiento y comunicaciones","19461","0.075","0.147","2017"
