"municipio","codigo_prestador","razon_social","codigo_habilitacion","codigo_municipio","nombre_de_sede","gerente","zona","direccion","barrio","telefono","fax","email","fecha_apertura","nit","dv","ese","nivel","caracter","sede_principal","horario_lunes","horario_martes","horario_miercoles","horario_jueves","horario_viernes","horario_sabado","horario_domingo"
"CORRALES","1521500682","EMPRESA SOCIAL DEL ESTADO PUESTO DE SALUD CORRALES","1521500682","01","EMPRESA SOCIAL DEL ESTADO PUESTO DE SALUD CORRALES","ANTONIO PALACIOS SALAMANCA","URBANA","CALLE 9 N° 3-31","CENTRO","3134959916 3134959411",,"saludcorrales@hotmail.com","2006-11-15T00:00:00.000","826002693","1","SI","1","MUNICIPAL","SI","08 a 18","08 a 18","08 a 18","08 a 18","08 a 18","00 a 00","00 a 00"
"COVARACHÍA","1575300332","EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN ANTONIO DE SOATA","1521800332","05","PUESTO DE SALUD DE COVARACHIA","JULIO CESAR PIÑEROS CRUZ","URBANA","CALLE 2 No. 1-21","CENTRO","098 - 2795080 EXT. 2007 CELULAR 3204937068",,"correspondencia@hospisoata.gov.co","2006-11-16T00:00:00.000","891800611","6","SI","2","DEPARTAMENTAL","NO","8 HORAS","8 HORAS","8 HORAS","8 HORAS","8 HORAS","8 HORAS",
"CUBARÁ","1522300713","HOSPITAL ESPECIAL DE CUBARA EMPRESA SOCIAL DEL ESTADO","1522300713","01","HOSPITAL ESPECIAL DE CUBARA EMPRESA SOCIAL DEL ESTADO","NANCY MILENA TOVAR SAAVEDRA","URBANA","CL 3 # 5 - 47","SAN RAFAEL","3134204942","3134204942","gerencia@hospitalcubara.gov.co","2006-11-15T00:00:00.000","826002304","1","SI","1","DEPARTAMENTAL","SI","00 a 24","00 a 24","00 a 24","00 a 24","00 a 24","00 a 24","00 a 24"
"CUCAITA","1522400390","EMPRESA SOCIAL DEL ESTADO CENTRO DE SALUD SANTA LUCIA","1522400390","01","EMPRESA SOCIAL DEL ESTADO CENTRO DE SALUD SANTA LUCIA","BLANCA LOLA ARIAS GARCIA","URBANA","CALLE 9 Numero 7-38","CENTRO","3112023299","3112023299","esecucaita@gmail.com","2011-09-02T00:00:00.000","820003388","0","SI","1","MUNICIPAL","SI","08 a 17","08 a 17","08 a 17","08 a 17","08 a 17","00 a 00","00 a 00"
"CUÍTIVA","1522600733","empresa social del estado lagosalud cuitiva","1522600733","01","ESE LAGOSALUD CUITIVA","BLANCA ROCIO SUAREZ MACIAS","URBANA","CALLE 4 CARRERA 4 ESQUINA","CENTRO","3118976861/3102605571",,"empresa.lago@yahoo.es","2011-09-12T00:00:00.000","826002609","0","SI","1","MUNICIPAL","SI","07 a 17","07 a 17","00 a 00","07 a 17","07 a 17","00 a 00","00 a 00"
"DUITAMA","1500100842","UNIDAD DE POLITICA SOCIAL, SERVICIOS DE SALUD, PSICOLOGIA Y TRABAJO SOCIAL UPTC","1523800842","02","UNIVERSIDAD PEDAGOGICA TECNOLOGICA DE COLOMBIA-UPTC-DUITAMA","JHON EWIN MOJICA SANDOVAL","URBANA","CARRERA 18 CALLE 22",,"7604100 extension 2851","7601790","john.mojica@uptc.edu.co","2006-11-15T00:00:00.000","891800330","1","NO",,"DEPARTAMENTAL","NO","8-12 Y 2-6","8-12 Y 2-6","8-12 Y 2-6","8-12 Y 2-6","8-12 Y 2-6",,
"DUITAMA","1523800664","EMPRESA SOCIAL DEL ESTADO HOSPITAL REGIONAL DE DUITAMA","1523800664","01","EMPRESA SOCIAL DEL ESTADO HOSPITAL REGIONAL DE DUITAMA","LIFAN MAURICIO CAMACHO MOLANO","URBANA","AV AMERICAS KR 35","SAUSALITO","76,262,107,626,212","7626219","gerencia@hrd.gov.co","2006-11-15T00:00:00.000","891855438","4","SI","2","DEPARTAMENTAL","SI","00 a 24","00 a 24","00 a 24","00 a 24","00 a 24","00 a 24",
"DUITAMA","1523800685","EMPRESA SOCIAL DEL ESTADO SALUD DEL TUNDAMA","1523800685","01","EMPRESA SOCIAL DEL ESTADO SALUD DEL TUNDAMA","CATHERINE VAN ARCKEN MARTINEZ","URBANA","Calle 28 # 15 -120","SAN JOSE BAJO","7601640","7629612","gerencia@saludtundama.gov.co","2006-11-14T00:00:00.000","826002601","2","SI","1","MUNICIPAL","SI","07 a 21","07 a 21","07 a 21","07 a 21","07 a 21","07 a 13","00 a 00"
"EL COCUY","1524400844","ESE HOSPITAL SAN JOSE DEL COCUY","1524400844","01","ESE HOSPITAL SAN JOSE DEL COCUY","VILLARREAL DUARTE JUAN FRANCISCO","URBANA","CALLE 6 # 11-22","SAN JOSE","7 890011","7 890011","hospitalelcocuy@hotmail.com","2011-09-15T00:00:00.000","891855719","9","SI","1","MUNICIPAL","SI","00 a 24","00 a 24","00 a 24","00 a 24","00 a 24","00 a 24","00 a 24"
"EL ESPINO","1524400844","ESE HOSPITAL SAN JOSE DEL COCUY","1524800844","02","CENTRO DE SALUD DEL ESPINO","VILLARREAL DUARTE JUAN FRANCISCO","URBANA","EL ESPINO CENTRO","CENTRO","3213991900","3213991900","hospitalelcocuy@hotmail.com","2011-09-15T00:00:00.000","891855719","9","SI","1","MUNICIPAL","NO","00 a 00","07 a 18","07 a 18","07 a 18","07 a 18","07 a 15","00 a 00"
"FIRAVITOBA","1527200385","EMPRESA SOCIAL DEL ESTADO CENTRO DE SALUD FIRAVITOBA","1527200385","01","EMPRESA SOCIAL DEL ESTADO CENTRO DE SALUD FIRAVITOBA","ELCY ROCIO MESA SOCHA","URBANA","CALLE 9 Nº 3-54","SANTA HELENA","3112338061","3112338061","esecentrodesaludfiravitoba@hotmail.com","2006-11-15T00:00:00.000","826002676","4","SI","1","MUNICIPAL","SI","07 a 05","07 a 05","07 a 05","07 a 05","07 a 05","00 a 00","00 a 00"
"FLORESTA","1527600741","ESE CENTRO DE SALUD DE FLORESTA","1527600741","01","ESE CENTRO DE SALUD FLORESTA","DIANA JOHANNA MALPICA HUMO","URBANA","Carrera 3 No. 4-10","CENTRO","3125620933","3125620933","esefloresta@yahoo.com","2006-11-15T00:00:00.000","826002164","5","SI","1","MUNICIPAL","SI","8-12m. 1-5 p.m.","8-12m. 1-5 p.m.","8-12m 1-5 p.m.","8-12m. 1-5p.m.","8a.m. a 12 m",,"8a.m. A 12m."
"GACHANTIVÁ","1529300501","E.S.E. CENTRO DE SALUD SAN ANTONIO DE PADUA","1529300501","01","ESE CENTRO DE SALUD SAN ANTONIO DE PADUA","MYRIAM ROCIO GUERRERO REINA","URBANA","CARRERA 5 N 5-44","CENTRO","3115314619 / 3232087631",,"esegachantiva@hotmail.es","2011-09-07T00:00:00.000","820003638","7","SI","1","MUNICIPAL","SI","08 a 18","08 a 18","08 a 18","08 a 18","08 a 18","08 a 12","09 a 13"
"GAMEZA","1529600199","EMPRESA SOCIAL DEL ESTADO GAMEZA MUNICIPIO SALUDABLE","1529600199","01","EMPRESA SOCIAL DEL ESTADO GAMEZA MUNICIPIO SALUDABLE","ROSALBA SOLANO CUTA","URBANA","CALLE 3 No. 5-17","SAN LAUREANO","3144438772","3144438772","gerencia@esegameza.com","2011-09-06T00:00:00.000","826001960","7","SI","1","MUNICIPAL","SI","08 a 17","08 a 17","08 a 17","08 a 17","08 a 17","00 a 00","00 a 00"
"GARAGOA","1532201084","HOSPITAL REGIONAL SEGUNDO NIVEL DE ATENCIÓN VALLE DE TENZA E.S.E.","1529901084","02","HOSPITAL DE GARAGOA","GLORIA YANETH MANRIQUE ABRIL","URBANA","KR 8 No. 6-02",,"3158373709","0","gerenciavalledetenza@gmail.com","2006-11-16T00:00:00.000","900004894","0","SI","2","DEPARTAMENTAL","NO","00 a 24","00 a 24","00 a 24","00 a 24","00 a 24","00 a 24","00 a 24"
"GUACAMAYAS","1533200584","E.S.E. HOSPITAL ANDRES GIRARDOT DE GUICAN","1531700584","02","PUESTO DE SALUD DE GUACAMAYAS","CARLOS ALBERTO CORREDOR SIACHOQUE","URBANA","CENTRO","CENTRO","3124012035",,"esehag@gmail.com","2006-11-15T00:00:00.000","891855439","1","SI","1","MUNICIPAL","NO","08 a 18","08 a 18","08 a 18","08 a 18","08 a 17","00 a 00","00 a 00"
"GUATEQUE","1532201084","HOSPITAL REGIONAL SEGUNDO NIVEL DE ATENCIÓN VALLE DE TENZA E.S.E.","1532201084","01","HOSPITAL DE GUATEQUE","GLORIA YANETH MANRIQUE ABRIL","URBANA","KM 1 VIA SUTATENZA",,"3167428521 - 3188134215","0","gerenciavalledetenza@gmail.com","2006-11-16T00:00:00.000","900004894","0","SI","2","DEPARTAMENTAL","SI","00 a 24","00 a 24","00 a 24","00 a 24","00 a 24","00 a 24","00 a 24"
"GUAYATÁ","1532201084","HOSPITAL REGIONAL SEGUNDO NIVEL DE ATENCIÓN VALLE DE TENZA E.S.E.","1532501084","03","CENTRO DE SALUD DE GUAYATA","GLORIA YANETH MANRIQUE ABRIL","URBANA","CL 7 KR 4 ESQ",,"3168325370","0","gerenciavalledetenza@gmail.com","2006-11-16T00:00:00.000","900004894","0","SI","2","DEPARTAMENTAL","NO","07 a 18","07 a 15","07 a 18","07 a 24","07 a 17","00 a 00","00 a 00"
"GÜICÁN","1533200584","E.S.E. HOSPITAL ANDRES GIRARDOT DE GUICAN","1533200584","01","E.S.E. HOSPITAL ANDRES GIRARDOT GUICAN","CARLOS ALBERTO CORREDOR SIACHOQUE","URBANA","KR 6 6 47","PARAISO","3103959059","3103959059","esehag@gmail.com","2006-11-15T00:00:00.000","891855439","1","SI","1","MUNICIPAL","SI","00 a 24","00 a 24","00 a 24","24 a 24","00 a 24","00 a 24","00 a 24"
"IZA","1536200370","EMPRESA SOCIAL DEL ESTADO CENTRO DE SALUD ""LUIS PATIÑO CAMARGO"" DEL MUNICIPIO DE IZA","1536200370","01","EMPRESA SOCIAL DEL ESTADO CENTRO DE SALUD LUIS PATIÑO CAMARGO","SONIA YOLANDA MONTAÑA SUAREZ","URBANA","CLL. 3 Nº4-124","CENTRO","3224302427","3224302427","centrosaludiza@hotmail.com","2011-09-09T00:00:00.000","826002720","0","SI","1","MUNICIPAL","SI","08 a 05","08 a 05","08 a 05","08 a 05","08 a 05","00 a 00","00 a 00"
"JENESANO","1536700064","Empresa Social del Estado Centro de Salud Jenesano","1536700064","01","Empresa Social del Estado Centro de Salud Jenesano","MADELEINE CIFUENTES MUÑOZ","URBANA","AV Los Libertadores CR 2 No 5-11","Centro","7363226","7363226","ese.jenesanoboyaca@yahoo.es","2006-11-15T00:00:00.000","820003337","5","SI","1","MUNICIPAL","SI","07 a 17","07 a 17","07 a 17","07 a 17","07 a 14","00 a 00","00 a 00"
"JERICÓ","1536800597","EMPRESA SOCIAL DEL ESTADO CENTRO DE SALUD NUESTRA SEÑORA DE LA NATIVIDAD","1536800597","01","EMPRESA SOCIAL DEL ESTADO CENTRO DE SALUD NUESTRA SEÑORA DE LA NATIVIDAD","CHARLENE RIVAS CUERVO","URBANA","CARRERA 4 No. 2-17","CENTRO","7881905","7881905","esejericoboyaca@gmail.com","2006-11-14T00:00:00.000","826001918","7","SI","1","MUNICIPAL","SI","08 a 16","07 a 16","07 a 16","07 a 16","07 a 16","07 a 19","07 a 19"
"LABRANZAGRANDE","1537700539","E.S.E. CENTRO DE SALUD MUNICIPIO DE LABRANZAGRANDE","1537700539","01","E.S.E. CENTRO DE SALUD MUNICIPIO DE LABRANZAGRANDE","DALILA ANDREA CELY CRISTANCHO","URBANA","SR CENTRO","EL PROGRESO","986349504","986349504","ese.lagrande@gmail.com","2006-11-10T00:00:00.000","826002687","5","SI","1","MUNICIPAL","SI","8AM A 1PM Y 2PM A 5PM PARA CONSULTA EXTERNA Y URGENCIAS 24 h","8AM A 1PM Y 2PM A 5PM PARA CONSULTA EXTERNA Y URGENCIAS 24 h","8AM A 1PM Y 2PM A 5PM PARA CONSULTA EXTERNA Y URGENCIAS 24 h","8AM A 1PM Y 2PM A 5PM PARA CONSULTA EXTERNA Y URGENCIAS 24 h","8AM A 1PM Y 2PM A 5PM PARA CONSULTA EXTERNA Y URGENCIAS 24 h","URGENCIAS 24 h","URGENCIAS 24 h"
"LA CAPILLA","1538000701","EMPRESA SOCIAL DEL ESTADO CENTRO DE SALUD LA CANDELARIA DE LA CAPILLA","1538000701","01","EMPRESA SOCIAL DEL ESTADO CENTRO DE SALUD LA CANDELARIA DE LA CAPILLA","JYMENA CORTES PEÑA","URBANA","CALLE 4 No 1 - 68","CENTRO","3125839488","3203463099","gerencia@eselacapilla.gov.co","2011-09-07T00:00:00.000","820003193","1","SI","1","MUNICIPAL","SI","07 a 15","08 a 18","08 a 18","08 a 18","08 a 18","00 a 00","00 a 00"
"LA UVITA","1540301014","EMPRESA SOCIAL DEL ESTADO CENTRO DE SALUD DE LA UVITA","1540301014","01","EMPRESA SOCIAL DEL ESTADO CENTRO DE SALUD DE LA UVITA","ANDREA CATALINA PINZON BOTIA","URBANA","CALLE 7 # 7-18","CENTRO","7 895077","7 895077","eselauvita@hotmail.com","2011-09-06T00:00:00.000","826002202","7","SI","1","MUNICIPAL","SI","08 a 18","08 a 18","08 a 18","08 a 18","08 a 18","00 a 00","00 a 00"
"LA VICTORIA","1517600955","EMPRESA SOCIAL DEL ESTADO HOSPITAL REGIONAL DE CHIQUINQUIRA","1540100955","05","UNIDAD BASICA DE ATENCION DEL MUNICIPIO DE LA VICTORIA","LUZ MARINA ESTUPIÑAN MERCHAN","URBANA","CENTRO-CASA DE LA CULTURA","CENTRO","3208358249","7261999","hospitalchiquinquira@yahoo.com","2015-06-23T00:00:00.000","820005389","7","SI","2","DEPARTAMENTAL","NO","08 a 17","08 a 17","08 a 17","08 a 17","08 a 17","00 a 00","08 a 12"
