"entidad","nit","email","direccion","telefono"
"INSTITUCIÓN EDUCATIVA JOSÉ ACEVEDO Y GÓMEZ","834001412","apuertaargel@gmail.com","CENTRO POBLADO LA REINERA, Arauquita - Arauca","3165306790"
"INSTITUCIÓN EDUCATIVA COLEGIO PEDRO NEL JIMÉNEZ","834001373","jaipalen1@gmail.com","PANAMA DE ARAUCA - Arauquita - Arauca","3102975073"
"INSTITUCIÓN EDUCATIVA COLEGIO GABRIEL GARCÍA MARQUEZ","834001342","edgarmillos1137@hotmail.com","Carrera 5, Numero 8-67, Arauquita - Arauca","3213707616"
"INSTITUCIÓN EDUCATIVA COLEGIO AGUSTÍN NIETO CABALLERO","834001254","william02fer@gmail.com","CENTRO POBLADO BETOYES, Tame - Arauca","3108767111"
"INSTITUCIÓN EDUCATIVA LICEO DEL LLANO","834001030","pedro2967@hotmail.com","Carrera 5 N°. 4-69, Arauquita - Arauca","3115314494"
"INSTITUCIÓN EDUCATIVA COLEGIO AGROINDUSTRIAL JOEL SIERRA","834000905","iejoelsierragonzalez@gmail.com","VEREDA LAS MALVINAS, Tame - Arauca","3134520383"
"INSTITUCIÓN EDUCATIVA COLEGIO MUNICIPAL AGROPECUARIO JOSÉ ODEL LIZARAZO - VILLAMAGA","834000890","german_enf@hotmail.com","Carrera 21, Numero 27A-25","3112235663"
"INSTITUCION EDUCATIVA JOSE MARIA CARBONELL","834000850","julio.orduz@gmail.com","CALLE 9 N. 6-16 BARRIO SAN JOSE OBRERO, Arauquita - Arauca","3134682243"
"INSTITUCIÓN EDUCATIVA COLEGIO PARMENIO BONILLA PAREDES","834000848","wilmanramirezp@hotmail.com","Vereda Puerto Nidia, Tame - Arauca","8885043"
"INSTITUCIÓN EDUCATIVA COLEGIO JUAN JACOBO ROUSSEAU","834000806","iejuanjacobo@gmail.com","CALLE 5 No. 6-42, Arauquita - Arauca","3132920337"
"INSTITUCIÓN EDUCATIVA GUSTAVO VILLA DÍAZ","834000690","ie.gustavovilla@gmail.com","Carrera 15, numero 12-97, Barrio Meridiano 70","3206242171"
"INSTITUCIÓN EDUCATIVA COLEGIO INOCENCIO CHINCÁ DE TAME","834000584","inochinca@hotmail.com","CARRERA 15 N° 11-93 BARRIO SUCRE, Tame - Arauca","3115063212"
"INSTITUCIÓN EDUCATIVA COLEGIO LA INMACULADA DE PUERTO RONDON","834000196","antonio6nov2006@yahoo.es","CARRERA 4, Numero 4-09, Puerto Rondon - Arauca","3213731554"
"INSTITUCIÓN EDUCATIVA CRISTO REY","834000185","martha.ardila420@gmail.com","Calle 18, Numero 15-105, ARAUCA, ARAUCA","3187665582"
"INSTITUCIÓN EDUCATIVA SANTA TERESITA","834000166","stateresitarauca@yahoo.es","Carrera 24, Numero 13-100","8850373"
"INSTITUCIÓN EDUCATIVA COLEGIO FROILAN FARÍAS","834000112","rectorfroilan@gmail.com","Calle 14, Numero 24-89, Tame - Arauca","3174012360"
"INSTITUCIÓN EDUCATIVA COLEGIO ALEJANDRO HUMBOLDT","834000110","cucuteo44@yahoo.es","CARRERA 12, Numero 7-32, BARRIO RAMIREZ, Fortul - Arauca","3112312575"
"INSTITUCIÓN EDUCATIVA COLEGIO JOSÉ ANTONIO GALÁN","834000055","galancravonorte@gmail.com","Carrera 5, Numero 2-32, Cravo Norte, ARAUCA","3133877910"
"INSTITUCIÓN EDUCATIVA COLEGIO DE PROMOCIÓN AGROPECUARIA DE PUERTO JORDÁN","800249645","instpromagro@hotmail.com","Vereda Puerto Jordan, Tame - Arauca","3115305047"
"INSTITUCIÓN EDUCATIVA LICEO TAME","800234047","litame@gmail.com","AVENIDA EL AEROPUERTO, Tame - Arauca","3174357610"
"INSTITUCIÓN EDUCATIVA COLEGIO NACIONAL LA FRONTERA","800222387","pedrofer888@hotmail.com","CALLE 30, Numero 27-79, Saravena - Arauca","3208021359"
"INSTITUCIÓN EDUCATIVA COLEGIO INDUSTRIAL RAFAEL POMBO","800207612","cicata@hotmail.com","CALLE 34, Numero 12-40, Saravena - Arauca","3118104843"
"INSTITUCIÓN EDUCATIVA COLEGIO AGROPECUARIO ARAUCANO","800170889","cero925@hotmail.com","Km 7 Vía Caño Limón, Vereda Mata de Gallina, Arauca - Arauca","3138160822"
"INSTITUCIÓN EDUCATIVA COLEGIO ANTONIO NARIÑO","800162681","alfonsomorenoba@hotmail.com","CARRERA 2, Numero 8-25, Saravena - Arauca","3123506601"
"INSTITUCIÓN EDUCATIVA COLEGIO JOSÉ EUSTASIO RIVERA","800153666","jeka28600@gmail.com","Carrera 17, Numero 14-109, BARRIO UNIVERSITARIO, Saravena - Arauca","3105525485"
"INSTITUCIÓN EDUCATIVA COLEGIO SIMÓN BOLIVAR","800104342","yanethosses@gmail.com","Carrera 20, Numero 29-25, ARAUCA, ARAUCA","3165562215"
"INSTITUCIÓN EDUCATIVA COLEGIO ORIENTAL FEMENINO","800103670","jorgreper75@hotmail.com","Carrera 14, Numero 14-26, Tame - Arauca","8886069"
"INSTITUCIÓN EDUCATIVA COLEGIO FRANCISCO JOSÉ DE CALDAS","800062427","caldasarauca@gmail.com","CALLE 7, Numero 11- 53, Arauca - Arauca","8852656"
"INSTITUCIÓN EDUCATIVA - CENTRO EDUCATIVO INDIGENA TUTUKANA SINAIKA","834001419","fabylica0511@hotmail.com","RESGUARDO INDIGENA PLAYAS DE BOJABA, Saravena - Arauca","3222684357"
"INSTITUCIÓN EDUCATIVA - CENTRO EDUCATIVO INDIGENA GUAHIBO MAKAGUAN","834001765","ceinmakaguan@gmail.com","RESGUARDO INDIGENA CUSAY LA COLORADA, Fortul - Arauca","3125893854"
"INSTITUCIÓN EDUCATIVA - CENTRO EDUCATIVO INDIGENA SIKUANI PLAYEROS","834001593","blanrrio@hotmail.com","VEREDA BARRANCONES-RESGUARDO INDIGENA MATECANDELA, Arauca - Arauca","3185242347"
"INSTITUCIÓN EDUCATIVA - CENTRO EDUCATIVO INDIGENA GUAHIBO BETOY","834001067","ceinbetoy92@hotmail.com","CALLE 14, Numero 17-05, Tame - Arauca","3132916033"
"INSTITUCION EDUCATIVA FILIPINAS","900155137","ceariefilipinas@gmail.com","Vereda Filipinas, Tame - Arauca","3112765299"
"INSTITUCION EDUCATIVA CEAR PANAMA","901117984","ofeliaduma@hotmail.com","Vereda Fundadores, Sede Mata de Caña, Arauquita - Arauca","3134760790"
