"year","month","month_order","department","request_type","count","date"
"2018","December","12","Police Services","PD-Criminal Activity","2","2018-12-01T00:00:00.000"
"2017","April","4","Solid Waste Management","SWM-Bin on wheels","2","2017-04-01T00:00:00.000"
"2017","June","6","Solid Waste Management","SWM-Bin on wheels","3","2017-06-01T00:00:00.000"
"2017","October","10","Street Maintenance","PW (SM)-Pot Hole in Alley","1","2017-10-01T00:00:00.000"
"2018","March","3","Drain Maintenance","PW (DM)-Drain Ditches","9","2018-03-01T00:00:00.000"
"2018","March","3","Shelby County","SC-Mayors Action Center(MIS)","3","2018-03-01T00:00:00.000"
"2019","May","5","Engineering","EN-Curb Ramp Construction","2","2019-05-01T00:00:00.000"
"2017","November","11","Engineering","EN-Curb Ramp Request","2","2017-11-01T00:00:00.000"
"2018","April","4","Solid Waste Management","SWM-Illegal Dumping","124","2018-04-01T00:00:00.000"
"2018","February","2","Animal Shelter","EX-Animal Service","76","2018-02-01T00:00:00.000"
"2019","May","5","Environmental Maintenance","EMI-Manhole Cover Problem","10","2019-05-01T00:00:00.000"
"2018","December","12","Drain Maintenance","PW (DM)-Drain Inlet Clogged","101","2018-12-01T00:00:00.000"
"2018","October","10","Engineering","EN-Curb Ramp Request","1","2018-10-01T00:00:00.000"
"2017","April","4","Shelby County","MSCCE-Miscellaneous","1","2017-04-01T00:00:00.000"
"2020","January","1","Code Enforcement","CE-Vacant Lot Code Violation","5","2020-01-01T00:00:00.000"
"2017","November","11","Solid Waste Management","SWM-Recycling Missed","418","2017-11-01T00:00:00.000"
"2017","February","2","Police Services","PD-Traffic Violations","4","2017-02-01T00:00:00.000"
"2017","November","11","Shelby County","SCHD-Exterior Conditions","7","2017-11-01T00:00:00.000"
"2019","October","10","Police Services","PD-Abandoned Vehicles","8","2019-10-01T00:00:00.000"
"2018","January","1","Solid Waste Management","SWM-Carts Out After-hours","11","2018-01-01T00:00:00.000"
"2019","May","5","Engineering","EN-Curb Ramp Request","3","2019-05-01T00:00:00.000"
"2017","November","11","Engineering","EN-New Signs","5","2017-11-01T00:00:00.000"
"2019","April","4","Drain Maintenance","PW (DM)-Drain/Ditch Maint.","16","2019-04-01T00:00:00.000"
"2017","December","12","Police Services","PD-Abandoned Vehicles","3","2017-12-01T00:00:00.000"
"2017","November","11","Engineering","EN-Construction Inspection","1","2017-11-01T00:00:00.000"
"2018","April","4","Street Maintenance","PW (SM)-Graffiti","4","2018-04-01T00:00:00.000"
"2019","December","12","Solid Waste Management","SWM-Pick-Up Extra Cart","26","2019-12-01T00:00:00.000"
"2018","January","1","Environmental Maintenance","EMI-Sewer Backup","145","2018-01-01T00:00:00.000"
"2017","November","11","Drain Maintenance","PW (DM)-Concrete Channel Lini","1","2017-11-01T00:00:00.000"
"2018","February","2","Solid Waste Management","SWM-Cart Lease Application","67","2018-02-01T00:00:00.000"
"2017","September","9","Parks and Neighborhoods","PN-Equipment","1","2017-09-01T00:00:00.000"
"2019","April","4","Engineering","EN-Maintain Signs","38","2019-04-01T00:00:00.000"
"2017","September","9","Street Maintenance","PW (SM)-Trees Trimming","24","2017-09-01T00:00:00.000"
"2018","May","5","Shelby County","MSCCE-Electrical Codes","1","2018-05-01T00:00:00.000"
"2017","May","5","Solid Waste Management","SWM-Billing for Burnt Cart","1","2017-05-01T00:00:00.000"
"2020","January","1","Fire Services","FS-Miscellaneous","1","2020-01-01T00:00:00.000"
"2018","April","4","Solid Waste Management","SWM-Solid Waste Fees","89","2018-04-01T00:00:00.000"
"2017","March","3","Fire Services","FS-Miscellaneous","1","2017-03-01T00:00:00.000"
"2017","November","11","Street Maintenance","PW (SM)-Trees Trimming","11","2017-11-01T00:00:00.000"
"2019","December","12","311","TDOT – Miscellaneous","6","2019-12-01T00:00:00.000"
"2017","September","9","Drain Maintenance","PW (DM)-Drain Inlet Repair","12","2017-09-01T00:00:00.000"
"2018","January","1","Solid Waste Management","SWM-Solid Waste Fees","61","2018-01-01T00:00:00.000"
"2017","May","5","Street Maintenance","PW (SM)-Graffiti","3","2017-05-01T00:00:00.000"
"2018","January","1","Street Maintenance","PW (SM)-Alley Debris","8","2018-01-01T00:00:00.000"
"2018","February","2","Engineering","EN-Sidewalk Inspection","15","2018-02-01T00:00:00.000"
"2017","September","9","Solid Waste Management","SWM-Illegal Dumping","46","2017-09-01T00:00:00.000"
"2017","January","1","Street Maintenance","PW (SM)-Trees in Street","13","2017-01-01T00:00:00.000"
"2017","January","1","Street Maintenance","PW (SM)-Trees Trimming","4","2017-01-01T00:00:00.000"
"2017","October","10","Police Services","PD-Quality of Life Issues","1","2017-10-01T00:00:00.000"
"2018","January","1","Code Enforcement","CE-Recreational Vehicle Illeg","1","2018-01-01T00:00:00.000"
"2018","December","12","Code Enforcement","CE-Vacant Lot Code Violation","21","2018-12-01T00:00:00.000"
"2018","April","4","Engineering","EN-New Signs","9","2018-04-01T00:00:00.000"
"2018","October","10","Parks and Neighborhoods","PN-Equipment","5","2018-10-01T00:00:00.000"
"2017","August","8","Solid Waste Management","SWM-By SWF Fee Code","1","2017-08-01T00:00:00.000"
"2017","October","10","Solid Waste Management","SWM-Leased Cart Pickup","4","2017-10-01T00:00:00.000"
"2019","July","7","Fire Services","FS-Fire Hydrants","15","2019-07-01T00:00:00.000"
"2017","September","9","Shelby County","SCHD-Dirty Dog Yard","3","2017-09-01T00:00:00.000"
"2017","August","8","General Services","GS-Median Strip Maintenance","1","2017-08-01T00:00:00.000"
"2018","March","3","Code Enforcement","CE-Accumulation of Stagnant","1","2018-03-01T00:00:00.000"
"2017","November","11","Code Enforcement","CE-Vacant Lot Code Violation","13","2017-11-01T00:00:00.000"
"2020","October","10","Shelby County","SCHD-Illegal Dumping","1","2020-10-01T00:00:00.000"
"2018","April","4","CE Commercial","COMM - Miscellaneous","10","2018-04-01T00:00:00.000"
"2017","October","10","Engineering","EN-Railroad Inspection","3","2017-10-01T00:00:00.000"
"2018","November","11","Engineering","EN-Traffic Signal Maintenance","18","2018-11-01T00:00:00.000"
"2018","November","11","Drain Maintenance","PW (DM)-Replace","1","2018-11-01T00:00:00.000"
"2020","January","1","Engineering","EN-Traffic Signal Operation","4","2020-01-01T00:00:00.000"
"2017","March","3","Grounds Maintenance","CW-Miscellaneous","1","2017-03-01T00:00:00.000"
"2018","November","11","Drain Maintenance","PW (DM)-Flooding","8","2018-11-01T00:00:00.000"
"2018","July","7","Shelby County","SCHD-Exterior Conditions","22","2018-07-01T00:00:00.000"
"2017","November","11","Engineering","EN-Speed Hump Request","10","2017-11-01T00:00:00.000"
"2017","December","12","Storm Water","PW (SW)-Storm Water","7","2017-12-01T00:00:00.000"
"2020","February","2","Engineering","EN-Curb Ramp Construction","3","2020-02-01T00:00:00.000"
"2017","December","12","Code Enforcement","CE-Junky Yard","67","2017-12-01T00:00:00.000"
"2017","March","3","Drain Maintenance","PW (DM)-Drain Ditches","8","2017-03-01T00:00:00.000"
"2019","April","4","Shelby County","MSCCE-Miscellaneous","1","2019-04-01T00:00:00.000"
"2017","July","7","Solid Waste Management","SWM-Illegal Dumping","29","2017-07-01T00:00:00.000"
"2017","October","10","Environmental Maintenance","EMI-Sewer Miscellaneous","5","2017-10-01T00:00:00.000"
"2018","March","3","Environmental Maintenance","EMI-Sewage Spill/Overflow","11","2018-03-01T00:00:00.000"
"2018","March","3","Street Maintenance","PW (SM)-Trees Trimming","10","2018-03-01T00:00:00.000"
"2017","September","9","Engineering","EN-New Markings","4","2017-09-01T00:00:00.000"
"2019","April","4","Street Maintenance","PW (SM)-Graffiti","3","2019-04-01T00:00:00.000"
"2017","April","4","Engineering","EN-Curb Ramp Construction","1","2017-04-01T00:00:00.000"
"2018","February","2","Heavy Equipment Services","PW (HE)-Street Cleaning","86","2018-02-01T00:00:00.000"
"2017","October","10","Drain Maintenance","PW (DM)-Concrete Channel Lini","4","2017-10-01T00:00:00.000"
"2017","November","11","Solid Waste Management","SWM-SWF Discount Prog.Request","17","2017-11-01T00:00:00.000"
"2017","November","11","Police Services","PD-Abandoned Vehicles","2","2017-11-01T00:00:00.000"
"2017","March","3","Police Services","PD-Criminal Activity","7","2017-03-01T00:00:00.000"
"2017","November","11","Solid Waste Management","SWM-Garbage Missed","662","2017-11-01T00:00:00.000"
"2018","March","3","Solid Waste Management","SWM-Dead Animal Collection","274","2018-03-01T00:00:00.000"
"2018","November","11","Fire Services","FS-Fire Hydrants","10","2018-11-01T00:00:00.000"
"2017","February","2","Shelby County","SCHD-Defective Plumbing","1","2017-02-01T00:00:00.000"
"2018","November","11","Street Maintenance","PW (SM)-Roadside Litter","12","2018-11-01T00:00:00.000"
"2018","January","1","Heavy Equipment Services","PW (HE)-Street Cleaning","57","2018-01-01T00:00:00.000"
"2017","July","7","Parks and Neighborhoods","PN-Mowing","10","2017-07-01T00:00:00.000"
"2017","January","1","Environmental Maintenance","EMI-Sewer Miscellaneous","4","2017-01-01T00:00:00.000"
"2018","January","1","Engineering","EN-New Signs","5","2018-01-01T00:00:00.000"
"2017","March","3","Environmental Maintenance","EMI-Sewer Odor","4","2017-03-01T00:00:00.000"
"2017","December","12","Police Services","PD-Criminal Activity","1","2017-12-01T00:00:00.000"
"2018","March","3","Solid Waste Management","SWM-Missing Cart","429","2018-03-01T00:00:00.000"
"2018","December","12","Shelby County","MSCCE-Building Codes","2","2018-12-01T00:00:00.000"
"2017","April","4","Environmental Maintenance","EMI-Sewer Odor","2","2017-04-01T00:00:00.000"
"2017","October","10","Fire Services","FS-Fire Hydrants","8","2017-10-01T00:00:00.000"
"2018","November","11","Engineering","EN-Sidewalk Inspection","9","2018-11-01T00:00:00.000"
"2018","February","2","Solid Waste Management","SWM-SWF Discount Prog.Request","16","2018-02-01T00:00:00.000"
"2018","March","3","Drain Maintenance","PW (DM)-Reset","2","2018-03-01T00:00:00.000"
"2019","February","2","Solid Waste Management","SWM-Leased Cart Delivery","1","2019-02-01T00:00:00.000"
"2018","March","3","Heavy Equipment Services","PW (HE)-Street Cleaning","83","2018-03-01T00:00:00.000"
"2018","February","2","Street Maintenance","PW (SM)-Trees in Street","5","2018-02-01T00:00:00.000"
"2019","July","7","Engineering","EN-Curb/Gutter Repair","2","2019-07-01T00:00:00.000"
"2019","April","4","Engineering","EN-Maintain Markings","4","2019-04-01T00:00:00.000"
"2018","March","3","Drain Maintenance","PW (DM)-Drain/Ditch Maint.","33","2018-03-01T00:00:00.000"
"2019","October","10","Engineering","EN-Traffic Signal Operation","7","2019-10-01T00:00:00.000"
"2019","November","11","Code Enforcement","CE-Substandard,Derelict Struc","9","2019-11-01T00:00:00.000"
"2017","December","12","Solid Waste Management","SWM-Recycle Cart Delivery","188","2017-12-01T00:00:00.000"
"2020","August","8","Grounds Maintenance","CW-Weeds Vacant Houses","217","2020-08-01T00:00:00.000"
"2017","September","9","Code Enforcement","CE-Accumulation of Stagnant","1","2017-09-01T00:00:00.000"
"2017","November","11","Solid Waste Management","SWM-Switched Cart","15","2017-11-01T00:00:00.000"
"2017","June","6","Parks and Neighborhoods","PN-Community Center","1","2017-06-01T00:00:00.000"
"2017","December","12","Solid Waste Management","SWM-New Start Garbage Request","318","2017-12-01T00:00:00.000"
"2017","November","11","Code Enforcement","CE-Weeds Occupied Property","38","2017-11-01T00:00:00.000"
"2019","January","1","Environmental Maintenance","EMI-Street Sinking","2","2019-01-01T00:00:00.000"
"2018","July","7","Code Enforcement","CE-Weeds Occupied Property","307","2018-07-01T00:00:00.000"
"2019","May","5","Street Maintenance","PW (SM)-Trees Trimming","35","2019-05-01T00:00:00.000"
"2017","January","1","Engineering","EN-Railroad Inspection","4","2017-01-01T00:00:00.000"
"2018","January","1","Street Maintenance","PW (SM)-Pot Hole in Alley","1","2018-01-01T00:00:00.000"
"2017","August","8","Street Maintenance","PW (SM)-Guardrails","1","2017-08-01T00:00:00.000"
"2017","December","12","Street Maintenance","PW (SM)-Potholes","157","2017-12-01T00:00:00.000"
"2017","January","1","Environmental Maintenance","EMI-Sewer Odor","4","2017-01-01T00:00:00.000"
"2017","December","12","Drain Maintenance","PW (DM)-Drain Inlet Clogged","56","2017-12-01T00:00:00.000"
"2019","July","7","Police Services","PD-Traffic Violations","5","2019-07-01T00:00:00.000"
"2018","March","3","Drain Maintenance","PW (DM)-Flooding","7","2018-03-01T00:00:00.000"
"2017","November","11","Solid Waste Management","SWM-Cart Lease Application","67","2017-11-01T00:00:00.000"
"2017","November","11","Environmental Maintenance","EMI-Sewage Spill/Overflow","3","2017-11-01T00:00:00.000"
"2018","September","9","Code Enforcement","CE-Vacant Lot Code Violation","18","2018-09-01T00:00:00.000"
"2018","January","1","Solid Waste Management","SWM-Dead Animal Collection","212","2018-01-01T00:00:00.000"
"2018","April","4","Heavy Equipment Services","PW (HE)-Street Cleaning","84","2018-04-01T00:00:00.000"
"2017","May","5","Engineering","EN-Curb Ramp Construction","1","2017-05-01T00:00:00.000"
"2017","July","7","Environmental Maintenance","EMI-Manhole Cover Problem","4","2017-07-01T00:00:00.000"
"2018","September","9","Grounds Maintenance","CW-Weeds Vacant Lots","401","2018-09-01T00:00:00.000"
"2017","July","7","Parks and Neighborhoods","PN-Lights in the Parks","1","2017-07-01T00:00:00.000"
"2019","April","4","Engineering","EN-Traffic Signal Maintenance","21","2019-04-01T00:00:00.000"
"2018","March","3","Engineering","EN-New Signs","4","2018-03-01T00:00:00.000"
"2019","May","5","Storm Water","PW (SW)-Storm Water","6","2019-05-01T00:00:00.000"
"2018","October","10","Police Services","PD-Traffic Violations","5","2018-10-01T00:00:00.000"
"2019","September","9","Parks and Neighborhoods","PN-Equipment","5","2019-09-01T00:00:00.000"
"2017","October","10","Solid Waste Management","SWM-Recycle Bin Request","5","2017-10-01T00:00:00.000"
"2018","March","3","Solid Waste Management","SWM-Switched Cart","8","2018-03-01T00:00:00.000"
"2018","May","5","Engineering","EN-New Markings","2","2018-05-01T00:00:00.000"
"2018","January","1","Solid Waste Management","SWM-Leased Cart Labeling","1","2018-01-01T00:00:00.000"
"2017","April","4","Drain Maintenance","PW (DM)-Reset","1","2017-04-01T00:00:00.000"
"2018","January","1","Storm Water","PW (SW)-Storm Water","3","2018-01-01T00:00:00.000"
"2020","November","11","Engineering","EN-Sidewalk Inspection","15","2020-11-01T00:00:00.000"
"2017","February","2","Environmental Maintenance","EMI-Sewage Spill/Overflow","1","2017-02-01T00:00:00.000"
"2019","May","5","Environmental Maintenance","EMI-Cave In","76","2019-05-01T00:00:00.000"
"2019","June","6","Grounds Maintenance","CW-Miscellaneous","1","2019-06-01T00:00:00.000"
"2018","February","2","Street Maintenance","PW (SM)-DM roll-in","1","2018-02-01T00:00:00.000"
"2017","October","10","Solid Waste Management","SWM-Leased Cart Labeling","1","2017-10-01T00:00:00.000"
"2020","July","7","Storm Water","PW (SW)-Storm Water","4","2020-07-01T00:00:00.000"
"2017","January","1","Street Maintenance","PW (SM)-Street Cracking/Crumbling","5","2017-01-01T00:00:00.000"
"2017","October","10","Engineering","EN-Traffic Signal Operation","4","2017-10-01T00:00:00.000"
"2018","December","12","Drain Maintenance","PW (DM)-Flooding","21","2018-12-01T00:00:00.000"
"2018","February","2","Solid Waste Management","SWM-Burnt Cart","3","2018-02-01T00:00:00.000"
"2017","December","12","Solid Waste Management","SWM-Dead Animal Collection","239","2017-12-01T00:00:00.000"
"2019","April","4","Street Maintenance","PW (SM)-Trees Trimming","19","2019-04-01T00:00:00.000"
"2018","March","3","Grounds Maintenance","CW-Weeds Vacant Houses","28","2018-03-01T00:00:00.000"
"2018","December","12","Police Services","PD-Traffic Violations","2","2018-12-01T00:00:00.000"
"2019","March","3","Shelby County","MSCCE-Miscellaneous","1","2019-03-01T00:00:00.000"
"2018","April","4","Fire Services","FS-Miscellaneous","3","2018-04-01T00:00:00.000"
"2017","November","11","Fire Services","FS-Fire Hydrants","6","2017-11-01T00:00:00.000"
"2018","July","7","Street Maintenance","PW (SM)-Right of Way Weeds","50","2018-07-01T00:00:00.000"
"2017","January","1","Fire Services","FS-Anti-Neglect","1","2017-01-01T00:00:00.000"
"2018","November","11","Engineering","EN-Maintain Signs","23","2018-11-01T00:00:00.000"
"2017","October","10","Engineering","EN-Traffic Sight Obstruction","1","2017-10-01T00:00:00.000"
"2017","August","8","City Attorney","CA-Miscellaneous/Claims","1","2017-08-01T00:00:00.000"
"2017","December","12","Solid Waste Management","SWM-SWF Discount Prog.Request","16","2017-12-01T00:00:00.000"
"2017","October","10","Shelby County","SCHD-Foul Odor","3","2017-10-01T00:00:00.000"
"2018","November","11","Fire Services","FS-Miscellaneous","3","2018-11-01T00:00:00.000"
"2017","July","7","Drain Maintenance","PW (DM)-Cavity","5","2017-07-01T00:00:00.000"
"2019","March","3","Engineering","EN-Curb Ramp Request","3","2019-03-01T00:00:00.000"
"2018","March","3","Code Enforcement","CE-Open Storage and Furnishin","2","2018-03-01T00:00:00.000"
"2017","February","2","Shelby County","SCHD-Food Establishment","3","2017-02-01T00:00:00.000"
"2017","September","9","Parks and Neighborhoods","PN-Miscellaneous","16","2017-09-01T00:00:00.000"
"2017","March","3","Engineering","EN-Traffic Sight Obstruction","2","2017-03-01T00:00:00.000"
"2018","March","3","Drain Maintenance","PW (DM)-Drain Inlet Repair","18","2018-03-01T00:00:00.000"
"2017","October","10","Solid Waste Management","SWM-Missing Cart","451","2017-10-01T00:00:00.000"
"2019","April","4","Engineering","EN-New Signs","10","2019-04-01T00:00:00.000"
"2019","June","6","Code Enforcement","CE-Open Storage and Furnishin","5","2019-06-01T00:00:00.000"
"2019","February","2","Code Enforcement","CE-Recreational Vehicle Illeg","1","2019-02-01T00:00:00.000"
"2018","March","3","Street Maintenance","PW (SM)-Alley Debris","10","2018-03-01T00:00:00.000"
"2017","September","9","Solid Waste Management","SWM-Carts Out After-hours","27","2017-09-01T00:00:00.000"
"2018","February","2","Environmental Maintenance","EMI-Sewer Odor","9","2018-02-01T00:00:00.000"
"2018","March","3","Environmental Maintenance","EMI-Sewer Miscellaneous","11","2018-03-01T00:00:00.000"
"2018","October","10","Street Maintenance","PW (SM)-Street/Pavement Inspection","42","2018-10-01T00:00:00.000"
"2017","February","2","Solid Waste Management","SWM-Missing Recycle Cart","16","2017-02-01T00:00:00.000"
"2019","October","10","Fire Services","FS-Fire Hydrants","8","2019-10-01T00:00:00.000"
"2017","October","10","Street Maintenance","PW (SM)-Roadside Litter","31","2017-10-01T00:00:00.000"
"2018","November","11","Solid Waste Management","SWM-Authorize Garbage Waiv","1","2018-11-01T00:00:00.000"
"2017","December","12","Heavy Equipment Services","PW (HE)-Street Cleaning","150","2017-12-01T00:00:00.000"
"2019","March","3","Shelby County","SCHD-Foul Odor","1","2019-03-01T00:00:00.000"
"2017","November","11","Shelby County","SCHD-Air Quality","1","2017-11-01T00:00:00.000"
"2017","September","9","Street Maintenance","PW (SM)-Alley Debris","14","2017-09-01T00:00:00.000"
"2018","March","3","Solid Waste Management","SWM-SWF Discount Prog.Request","31","2018-03-01T00:00:00.000"
"2019","July","7","Engineering","EN-Traffic Signal Operation","5","2019-07-01T00:00:00.000"
"2018","April","4","Heavy Equipment Services","PW (HE)-Dump","1","2018-04-01T00:00:00.000"
"2017","January","1","Engineering","EN-Street Improvements","1","2017-01-01T00:00:00.000"
"2019","August","8","Environmental Maintenance","EMI-Street Sinking","1","2019-08-01T00:00:00.000"
"2018","February","2","Engineering","EN-Street Improvements","2","2018-02-01T00:00:00.000"
"2017","December","12","Solid Waste Management","SWM-Contaminated Recycle Cart","77","2017-12-01T00:00:00.000"
"2017","September","9","Engineering","EN-Miscellaneous","4","2017-09-01T00:00:00.000"
"2018","February","2","Solid Waste Management","SWM-Recycle Cart Delivery","211","2018-02-01T00:00:00.000"
"2017","November","11","Engineering","EN-Railroad Inspection","1","2017-11-01T00:00:00.000"
"2018","February","2","Solid Waste Management","SWM-Recycle Cart Pickup","16","2018-02-01T00:00:00.000"
"2018","April","4","Parks and Neighborhoods","PN-Mowing","3","2018-04-01T00:00:00.000"
"2018","January","1","Shelby County","MSCCE-Sign Ordinances","1","2018-01-01T00:00:00.000"
"2017","December","12","Code Enforcement","CE-Weeds Occupied Property","8","2017-12-01T00:00:00.000"
"2019","November","11","Street Maintenance","PW (SM)-Roadside Litter","21","2019-11-01T00:00:00.000"
"2018","January","1","Police Services","PD-Abandoned Vehicles","8","2018-01-01T00:00:00.000"
"2019","May","5","Solid Waste Management","SWM-Leased Cart Delivery","1","2019-05-01T00:00:00.000"
"2018","February","2","Engineering","EN-Drainage Improvement","1","2018-02-01T00:00:00.000"
"2017","October","10","Solid Waste Management","SWM-Garbage Waiver Request","24","2017-10-01T00:00:00.000"
"2018","April","4","Environmental Maintenance","EMI-Sewer Odor","3","2018-04-01T00:00:00.000"
"2018","October","10","Engineering","EN-Curb Ramp Construction","2","2018-10-01T00:00:00.000"
"2017","June","6","Street Maintenance","PW (SM)-Guardrails","2","2017-06-01T00:00:00.000"
"2017","September","9","Flood Control","PW (FC)-Flood Control - Weeds","2","2017-09-01T00:00:00.000"
"2018","November","11","Solid Waste Management","SWM-Missing Recycle Cart","52","2018-11-01T00:00:00.000"
"2018","November","11","Street Maintenance","PW (SM)-Alley Cutting","4","2018-11-01T00:00:00.000"
"2018","November","11","311","MCSC-Miscellaneous","1","2018-11-01T00:00:00.000"
"2018","February","2","Engineering","EN-Maintain Markings","3","2018-02-01T00:00:00.000"
"2019","November","11","Environmental Maintenance","EMI-Repair Miscellaneous","2","2019-11-01T00:00:00.000"
"2017","November","11","Drain Maintenance","PW (DM)-Flooding","5","2017-11-01T00:00:00.000"
"2017","December","12","Solid Waste Management","SWM-Solid Waste Fees","55","2017-12-01T00:00:00.000"
"2017","August","8","Engineering","EN-Traffic Sign Obstruction","1","2017-08-01T00:00:00.000"
"2017","October","10","Solid Waste Management","SWM-SWF Discount Prog.Request","16","2017-10-01T00:00:00.000"
"2018","April","4","Parks and Neighborhoods","PN-Equipment","9","2018-04-01T00:00:00.000"
"2017","March","3","Solid Waste Management","SWM-Authorize Garbage Waiv","1","2017-03-01T00:00:00.000"
"2019","March","3","Flood Control","PW (FC)-Flood Control - Weeds","1","2019-03-01T00:00:00.000"
