"resource_id","resource_name","resource_url","description","archived","format","type","runtime","subject_areas","authoring_organization","intended_audiences","record_modified","resource_revised"
"L001525112","Accelerate Genomics Discovery with SRA in the Cloud","https://www.youtube.com/watch?v=PoseTXa8LU8","You will learn to best leverage the cloud to speed up research and discovery. We'll introduce you to new and existing tools and data including BigQuery, SRA Toolkit, and more. You'll hear about real workflows in the cloud, including an example of the work NCBI was able to accomplish in the cloud using SRA data and a case study from an SRA cloud customer. By the end of this webinar, you will know where to look for new cloud products from NCBI, access help information to get you started, and will have expanded your knowledge on how to run your analyses efficiently in the cloud.","false","MP4 Video","YouTube Video",,"Genetics and Molecular Biology","Training Team, NCBI","User","2020-06-17T00:00:00.000","2020-04-20T00:00:00.000"
"L00515080","AccessGUDID: Search and Download","https://www.youtube.com/watch?v=iWPkoBanBfY","This video, authored by the Food and Drug Administration, demonstrates how to search for medical device information on the AccessGUDID web site.","false","MP4 Video","Quick Tour","4","SNOMEDCT; Terminology","UMLS Team, LO/BSD/MMS","User","2018-10-22T00:00:00.000","2016-11-16T00:00:00.000"
"L00579080","Accessing the 1000 Genomes Project Data at the NCBI","https://youtu.be/5_x-IZpXwlw","The 1000 Genomes Project data now include small-scale and structural variant calls from 2,504 individuals representing 26 human populations. In this webinar you will see how to access 1000 Genomes data through the SRA, dbVar, SNP and BioProject resources, as well as through tracks on annotated human sequences in the Graphical sequence viewer and the Variation Viewer. Most important you will learn how to display, search, and download individual and genotype level data through the dedicated 1000 Genomes Browser that allows searching by chromosomal position, gene names and other genome markers.","false","MP4 Video","Webinar","32","Genetics and Molecular Biology; Bioinformatics; Developmental Biology; Immunology; Cancer","Training Team, NCBI","User","2020-05-28T00:00:00.000","2016-05-27T00:00:00.000"
"L000741112","Accessing the 1000 Genomes Project Data at the NCBI","https://www.youtube.com/watch?v=5_x-IZpXwlw&feature=youtu.be","The 1000 Genomes Project data now include small-scale and structural variant calls from 2,504 individuals representing 26 human populations. In this webinar you will see how to access 1000 Genomes data through the SRA, dbVar, SNP and BioProject resources, as well as through tracks on annotated human sequences in the Graphical sequence viewer and the Variation Viewer. Most important you will learn how to display, search, and download individual and genotype level data through the dedicated 1000 Genomes Browser that allows searching by chromosomal position, gene names and other genome markers.","false","MP4 Video","YouTube Video","33","Genetics and Molecular Biology; Bioinformatics","Training Team, NCBI","User","2020-05-27T00:00:00.000","2015-12-17T00:00:00.000"
"L002061112","Add Preprint Citations in My Bibliography","https://www.youtube.com/watch?v=VGTRQNNDbmM","Demonstrates how to add preprint citations to My Bibliography.","false","MP4 Video","YouTube Video","3","My NCBI; Preprints","NIHMS Team, NCBI","User","2021-04-28T00:00:00.000","2021-01-27T00:00:00.000"
"L000785112","Advanced Workshop on SRA and dbGaP Data Analysis","https://www.youtube.com/watch?v=iCYq0eqpP-U&feature=youtu.be","This webinar is intended for advanced users of SRA and dbGaP who have experience with RNA-Seq analysis, variant calling or metagenomic data and want to work with large genomic datasets, use cloud computing for analyzing genomic datasets and perform parallel work on genomic datasets. You will learn how to call variants from SRA and dbGaP with GATK, realign reads with HISAT2, view expression levels and variants, search SRA data rapidly, integrate with Spark and mount dbGaP to an EBS volume. You can follow this workshop in real time by using a preconfigured AMI: VDB-2.5.8.3 - ami-774d781d.","false","MP4 Video","YouTube Video","47","Terminology; Data Management; Data Science","Training Team, NCBI","User","2018-11-14T00:00:00.000","2016-04-05T00:00:00.000"
"L000939112","An Introduction to Evidence Based Practice: A Librarian's Guide - 1 - Introduction to EBP and PICO","https://youtu.be/UxVFfSrx1Sc","After completing this webinar, participants should be able to:-Explain the importance and steps of evidence-based practice-Identify the role of the librarian in teaching, practicing, and supporting evidence-based practice-Formulate a clinical question based on the scope of the requestor's problem, PICO, and question type","false","MP4 Video","Webinar","55","PubMed","Network of the National Library of Medicine","User","2020-05-28T00:00:00.000","2019-03-15T00:00:00.000"
"L000938112","An Introduction to Evidence Based Practice: A Librarian's Guide - 2 - Searching","https://youtu.be/anbTseIKrmw","After completing this class, participants should be able to:-Locate background and foreground information-Develop effective search strategies in order to find relevant evidence","false","MP4 Video","Webinar","61","PubMed","Network of the National Library of Medicine","User","2020-05-28T00:00:00.000","2019-03-15T00:00:00.000"
"L000937112","An Introduction to Evidence Based Practice: A Librarian's Guide - 3 - Appraisal and Application","https://youtu.be/kC-QDYR9E1I","After completing this class, participants should be able to:-Describe study designs and the hierarchy of evidence-Choose appropriate study design based on question type-Apply descriptive and inferential statistics to understand research findings studies","false","MP4 Video","Webinar","52","PubMed","Network of the National Library of Medicine","User","2020-05-28T00:00:00.000","2019-03-15T00:00:00.000"
"L003201112","An Introduction to NCBI Cloud Computing for Biologists","https://www.nlm.nih.gov/oet/ed/ncbi/2022_07_cloud.html","In this workshop, you will get hands-on experience with the AWS cloud environment using a combination of web-based and Linux command-line tools. his workshop is designed for experimental biologists without cloud computing experience.","false","HTML","Webinar Source Page","141","Genetics and Molecular Biology; Other; NCBI Workshops","Training Team, NCBI","User","2022-08-01T00:00:00.000","2022-08-01T00:00:00.000"
"L002806112","An Introduction to NCBI Cloud Computing for Biologists","https://www.nlm.nih.gov/oet/ed/ncbi/2021_11_cloud.html","On November 16, 2021, the NCBI Education Team provided a workshop on NCBI Cloud Computing for Biologists. Training materials from this event are available on this page.  As DNA sequencing becomes a commonplace tool in biological research, the need for accessible, scalable, and secure computational environments to process this deluge of data is growing. NCBI has partnered with leading cloud computing providers to provide tools and data to this growing industry. This workshop is designed for experimental biologists without cloud computing experience. While not required, it is most useful for researchers who do sequence-based research and who have some familiarity interacting with a Linux command-line.","false","HTML","Webinar Source Page","180","Genetics and Molecular Biology; NCBI Workshops","Training Team, NCBI","User","2022-02-18T00:00:00.000","2021-11-16T00:00:00.000"
"L002901112","An Introduction to NCBI Cloud Computing for Virologists","https://www.nlm.nih.gov/oet/ed/ncbi/2022_02_cloud.html","This workshop is designed for virologists without cloud computing experience.","false","HTML","Webinar Source Page","171","Other; NCBI Workshops","Training Team, NCBI","User; Trainer","2022-03-14T00:00:00.000","2022-03-14T00:00:00.000"
"L002521112","An Introduction to PubMed, PubMed Central and NCBI Accounts for Researchers","https://www.nlm.nih.gov/oet/ed/ncbi/2021_12_pubmed.html","On December 16, the NCBI Education Team provided the workshop: An Introduction to PubMed, PubMed Central and NCBI Accounts for Researchers. Training materials from this event are available on this page.  PubMed has over 33 million citations in the areas of biomedicine and health, and related scientific fields. However, the volume of citations in this database can make it difficult for new searchers to find relevant citations and links to full-text articles to support research projects.  This workshop was designed to provide a guided experience for novice searchers as well as provide some tips on how to use an NCBI account to more effectively use PubMed.","false","HTML","Webinar Source Page","90","My NCBI; PubMed; PubMed Central; Public Access; NCBI Workshops","Training Team, NCBI","User","2022-02-18T00:00:00.000","2021-12-16T00:00:00.000"
"L002804112","An NCBI Guide to Finding and Analyzing Metagenomic Data","https://www.nlm.nih.gov/oet/ed/ncbi/2021_10_meta.html","This workshop is designed for researchers to gain hands-on experience with accessing and analyzing metagenomic data using the various relevant resources available on the NCBI website. Additionally, some exercises in this workshop will provide experience with a Jupyter Notebook for bash- and python-based accessing and processing of this metagenomic data.","false","HTML","Webinar Source Page","97","Genetics and Molecular Biology; NCBI Workshops","Training Team, NCBI","User","2022-02-18T00:00:00.000","2021-10-26T00:00:00.000"
"L001401112","An Overview of NLM's Post-TOXNET Resources","http://app.acspubs.org/e/er?s=1913652004&lid=24583","This webinar describes where former users of TOXNET can now go for information. For example, overviews of where the databases are now located are provided by a “TOXNET Has Moved” web page and an NLM “TOXNET Update: New Locations for TOXNET Content” Technical Bulletin article. The rest of the webinar provides an overview and examples of the toxicology- and chemical safety-related information now available in PubChem. Key for former users of TOXNET is that Hazardous Substances Data Bank (HSDB) content now exists as data fields in PubChem substance records.","false","HTML","Webinar Source Page","60","Drugs and Chemicals; Toxicology","National Library of Medicine","User","2020-06-18T00:00:00.000","2020-04-02T00:00:00.000"
"L002808112","An Update on NCBI BLAST and Other Sequence Analysis Tools","https://www.nlm.nih.gov/oet/ed/ncbi/2022_01_blast.html","On January 25, 2022, the NCBI Education Team provided the workshop: An Update on NCBI BLAST and Other Sequence Analysis Tools. Training materials from this event are available on this page.  This virtual workshop highlights new displays and features and introduces best practices for use of NCBI BLAST services. You will learn when and how to use important but often misunderstood aspects of the BLAST programs, specialized services, and databases. You will explore other important sequence analysis services, including Primer BLAST, an oligonucleotide primer designer and specificity checker, and COBALT, a multiple protein sequence alignment tool. Finally, you will see brief demonstrations of standalone BLAST and related tools, including SRA-Toolkit BLAST and Magic-BLAST.","false","HTML","Webinar Source Page",,"Genetics and Molecular Biology; NCBI Workshops","Training Team, NCBI","User","2022-02-18T00:00:00.000","2022-01-25T00:00:00.000"
"L002383112","An Update to SciENcv, the Science Experts Network Curriculum Vitae","https://www.youtube.com/watch?v=eGyHX85DIcE","A minor update incorporating changes made to the NIH biosketch format for submissions beginning on or after May 25, 2021","false","MP4 Video","YouTube Video","4","Other; SciENcv","Training Team, NCBI","User; Trainer","2021-09-13T00:00:00.000","2021-08-17T00:00:00.000"
"L001821112","BLAST Results: Expect Values, Part 1","https://youtu.be/ZN3RrXAe0uM","This is a brief, basic discussion of Expect values in BLAST, the Basic Local Alignment Search Tool at NCBI, the National Center for Biotechnology Information.","false","MP4 Video","YouTube Video","3","Genetics and Molecular Biology; Bioinformatics","Training Team, NCBI","User","2020-10-02T00:00:00.000","2020-07-30T00:00:00.000"
"L001822112","BLAST Results: Expect Values, Part 2","https://www.youtube.com/watch?v=dzRq-5BrGD4","This is a brief, basic discussion of Expect values in BLAST, the Basic Local Alignment Search Tool at NCBI, the National Center for Biotechnology Information.","false","MP4 Video","YouTube Video","4","Genetics and Molecular Biology; Bioinformatics","Training Team, NCBI","User","2020-10-02T00:00:00.000","2020-07-30T00:00:00.000"
"L003230112","Basic Local Alignment Search Tool (BLAST)","https://lor.nnlm.gov/op/op.Download_Share.php?documentid=4237","A resource that finds regions of similarity between biological sequences. This brief guide to BLAST is designed to quickly orient people who do outreach and training about the resource: Who uses it, for what, and how. The guide also includes teaching examples and alternative resources.","false","PDF","Pamphlet",,"Other; Bioinformatics","National Library of Medicine","Trainer","2022-08-17T00:00:00.000","2022-08-12T00:00:00.000"
"L002681112","Beta ClinicalTrials.gov Website Tour","https://www.nlm.nih.gov/oet/ed/ct/2021_beta.html","Take a tour of the first beta release of the ClinicalTrials.gov modernization effort.","false","MP4 Video","Webinar","40","ClinicalTrials.gov","ClinicalTrials.gov Team, NCBI","User; Trainer","2022-02-18T00:00:00.000","2021-12-07T00:00:00.000"
"L001663112","Beyond an Apple a Day: Providing Consumer Health Information at Your Library","https://nnlm.gov/training/class-catalog/beyond-apple-day-providing-consumer-health-information-your-library","This hands-on class will cover the health information seeking behavior of consumers and the role of the librarian in the provision of health information for the public. Come learn about the evolution of consumer health, health literacy and the e-patient.","false","HTML","On-Demand Course","240","MedlinePlus; Consumer Health","Network of the National Library of Medicine","User","2022-02-18T00:00:00.000","2022-02-21T00:00:00.000"
"L002341112","Bioinformatics and Biology Essentials for Librarians: Databases, Tools, and Clinical Applications","https://nnlm.gov/training/class-catalog/bioinformatics-and-biology-essentials-librarians-databases-tools-and","Self paced class that reviews basic biology concepts and takes a deep dive into NCBI Molecular Biology Databases.","false","HTML","On-Demand Course",,"Genetics and Molecular Biology; Bioinformatics","Network of the National Library of Medicine","User; Trainer","2021-08-26T00:00:00.000","2021-08-24T00:00:00.000"
"L002361112","Building Reference Skills for Nursing and Allied Health Research","https://nnlm.gov/training/class-catalog/building-reference-skills-nursing-and-allied-health-research","Provides an introduction to the professions of nursing and allied health, and explores NLM databases used by health professionals such as PubMed, LactMed, MedlinePlus and DailyMed.","false","HTML","On-Demand Course",,"Consumer Health","Network of the National Library of Medicine","User; Trainer","2021-08-30T00:00:00.000","2021-08-24T00:00:00.000"
"L001801112","Building trust in preprints: recommendations for servers and other stakeholders","https://osf.io/8dn4w/","On January 20 and 21, 2020, ASAPbio, in collaboration with EMBL-EBI and Ithaka S+R, convened over 30 representatives from academia, preprint servers, publishers, funders, and standards, indexing and metadata infrastructure organisations at EMBL-EBI (Hinxton, UK) to develop a series of recommendations for best practices for posting and linking of preprints in the life sciences and ideally the broader research community. We hope that these recommendations offer guidance for new preprint platforms and projects looking to enact best practices and ultimately serve to improve the experience of using preprints for all","false","HTML","Page",,"PubMed Central; Preprints","National Library of Medicine","User","2020-09-11T00:00:00.000","2020-07-21T00:00:00.000"
"L00625080","CBRNE (Chemical, Biological, Radiological, Nuclear and Explosives): Health Information Resources","https://www.nlm.nih.gov/dis_courses/cbrne/index.html","This class provides an overview of the concepts of CBRNE, including a review of the National Library of Medicine resources and tools that provide health-related information for supporting planning, response, and recovery from the effects of these potential hazards. Registration Required; 4 MLA CEs","false","HTML","Tutorial","72","Disasters and Emergencies","Specialized Information Services","User","2020-01-02T00:00:00.000","2019-12-19T00:00:00.000"
"L00564080","CHEMM (Chemical Hazards Emergency Medical Management) Tutorial","https://youtu.be/Xq6UcfcCgvQ","A brief video tutorial on CHEMM.","false","MP4 Video","Quick Tour","3","Drugs and Chemicals; Toxicology","Network of the National Library of Medicine","User","2016-04-21T00:00:00.000","2016-05-12T00:00:00.000"
"L001664112","Caring for the Mind: Providing Mental Health Information At Your Library","https://nnlm.gov/training/class-catalog/caring-mind-providing-mental-health-information-your-library","participants will learn how to effectively provide mental health information at their libraries. Participants will learn about the best electronic resources to consult as well as ways to improve their print collections. Best approaches for handling interactions with emotional patrons will also be discussed.","false","HTML","On-Demand Course","60","MedlinePlus; Consumer Health","Network of the National Library of Medicine","Trainer","2022-02-18T00:00:00.000","2021-11-09T00:00:00.000"
"L00181080","Cataloging and Metadata Management: Using Medical Subject Headings (MeSH) in Cataloging","https://www.nlm.nih.gov/tsd/cataloging/trainingcourses/mesh/intro_010.html","An 8-module training course on cataloging with MeSH.","false","MP4 Video","Quick Tour",,"Medical Subject Headings (MeSH)","Cataloging and Metadata Management Section, LO/TSD","User","2021-02-09T00:00:00.000","2017-12-13T00:00:00.000"
"L002721112","Catching Up with PubMed","https://www.nlm.nih.gov/oet/ed/pubmed/pubmed-catchup.html","Webinar provides attendees with an update on recent changes, improvements, and developments with PubMed.","false","MP4 Video","Webinar","55","PubMed; Data Management","National Library of Medicine","User; Trainer","2022-01-14T00:00:00.000","2022-01-14T00:00:00.000"
"L00561080","ChemIDPlus®: Guide on the Side Tutorial – ChemIDPlus Part 1","https://guides.nnlm.gov/tutorial/chemidplus---part-1-revised","How to find basic chemical information using ChemIDplus.","false","HTML","Tutorial",,"Drugs and Chemicals; Toxicology","Network of the National Library of Medicine","User","2021-02-02T00:00:00.000","2017-07-07T00:00:00.000"
"L00562080","ChemIDPlus®: Guide on the Side Tutorial – ChemIDPlus Part 2","https://guides.nnlm.gov/tutorial/chemidplus---part-2-revised","How to search chemical structures in ChemIDPlus.","false","HTML","Tutorial",,"Drugs and Chemicals; Toxicology","Network of the National Library of Medicine","User","2021-02-02T00:00:00.000","2017-07-07T00:00:00.000"
"L001908112","ClinVar Submissions: Introducing Pre-Submission Validation","https://youtu.be/0W_BF84aDXA","This is a demonstration of a new feature in the ClinVar Submission Portal. Those of you who submit data files now have more control over how to deal with errors in your submitted files. You can now choose to have the data that passes pre-validation immediately sent to us.","false","MP4 Video","YouTube Video","6","Bioinformatics; Clinical Medicine","Training Team, NCBI","User","2020-12-01T00:00:00.000","2020-08-12T00:00:00.000"
"L003221112","ClinicalTrials.gov","https://lor.nnlm.gov/op/op.Download_Share.php?documentid=4233","A website and online database of clinical research studies and information about the study results. This brief guide to ClinicalTrials.gov is designed to quickly orient people who do outreach and training about the resource: Who uses it, for what, and how. The guide also includes teaching examples and alternative resources.","false","PDF","Pamphlet",,"ClinicalTrials.gov","National Library of Medicine","Trainer","2022-08-17T00:00:00.000","2022-08-12T00:00:00.000"
"L001981112","ClinicalTrials.gov Modernization Update","https://www.nlm.nih.gov/oet/ed/ct/ct-update-2021.html","On Thursday, February 18, 2021, Dr. Rebecca Williams, Acting Director of ClinicalTrials.gov provided an update on the progress of the ClinicalTrials.gov modernization effort and opportunity on how to volunteer to provide user feedback.","false","HTML","Webinar Source Page","62","ClinicalTrials.gov","ClinicalTrials.gov Team, NCBI","User","2022-02-18T00:00:00.000","2021-03-05T00:00:00.000"
"L002481112","ClinicalTrials.gov Modernization Update - October 2021","https://www.nlm.nih.gov/oet/ed/ct/ct-update-2021-10.html","On October 7, 2021, Dr. Rebecca Williams, Acting Director of ClinicalTrials.gov provided an update on the progress of the ClinicalTrials.gov modernization effort.","false","HTML","Webinar Source Page","30","ClinicalTrials.gov","ClinicalTrials.gov Team, NCBI","User","2022-02-18T00:00:00.000","2021-10-26T00:00:00.000"
"L002621112","ClinicalTrials.gov Protocol Registration and Results System (PRS) Beta Preview — December 2021","https://www.nlm.nih.gov/oet/ed/ct/2021_prs.html","A recorded demonstration presented by Heather Dobbins, PhD, lead results analyst and PRS product owner, previewing PRS Beta. PRS Beta will be released to the PRS Test system in early 2022 with an updated workflow management and give users an opportunity to explore the new PRS experience, performance of new technology, and to provide feedback to help improve future PRS Beta releases.","false","MP4 Video","Video Tutorial","9","ClinicalTrials.gov","ClinicalTrials.gov Team, NCBI","User","2022-02-18T00:00:00.000","2021-12-08T00:00:00.000"
"L00652080","ClinicalTrials.gov Results Database Train-theTrainer Workshop","https://clinicaltrials.gov/ct2/manage-recs/present#ResultsTrainTrainer","This workshop, developed for staff at National Institutes of Health (NIH) Clinical and Translational Science Award (CTSA) institutions, focused on the data entry content and format requirements of the results database and provided hands-on tutorials on PRS data entry. The materials on the Web site are from the workshops that were held in June and September 2015. ClinicalTrials.gov is considering offering more workshops, and information will be made available once the dates are confirmed.","false","MS Word","Course Materials",,"ClinicalTrials.gov","ClinicalTrials.gov Team, NCBI","Trainer","2022-02-18T00:00:00.000","2017-05-24T00:00:00.000"
"L002761112","ClinicalTrials.gov Webinar: Learn About ClinicalTrials.gov Modernization and How to Provide Input","https://www.nlm.nih.gov/oet/ed/ct/modernization.html","This webinar describes the modernization efforts, the Request for Information (RFI), and ways to share your feedback. Presented by Rebecca Williams, PharmD, MPH, Acting Director, ClinicalTrials.gov, NLM.","false","HTML","Webinar Source Page","31","ClinicalTrials.gov","ClinicalTrials.gov Team, NCBI","User; Trainer","2022-02-18T00:00:00.000","2020-01-28T00:00:00.000"
"L001101112","ClinicalTrials.gov Webinar: Updated Quality Control and Posting Procedures","https://www.nlm.nih.gov/oet/ed/ct/30_day_post.html","Beginning in January 2020, ClinicalTrials.gov is expecting to update posting procedures for submitted results information for applicable clinical trials. Consistent with 42 CFR Part 11, the National Library of Medicine (NLM) will publicly post submitted results information within 30 days of submission, regardless of whether the quality control (QC) review process is complete. This presentation from October 15, 2019 describes the updated procedures and includes a question-and-answer session with Rebecca Williams, PharmD, MPH, Acting Director, ClinicalTrials.gov, National Library of Medicine.","false","MP4 Video","Webinar","43","ClinicalTrials.gov","ClinicalTrials.gov Team, NCBI","User","2022-02-18T00:00:00.000","2019-10-18T00:00:00.000"
"L00649080","ClinicalTrials.gov for Librarians","https://nnlm.gov/training/class-catalog/clinicaltrialsgov-librarians","ClinicalTrials.gov is the openly available federal registry and results database of publicly and privately funded clinical studies conducted in the United States and around the world. ClinicalTrials.gov is a vital resource for researchers, healthcare providers, and health sciences librarians who wish to consult the entire body of evidence on any particular topic. The 4-credit self-paced course is divided into three modules that contain PowerPoint lectures, reading assignments, and discussion assignments.","false","HTML","Webinar Source Page",,"ClinicalTrials.gov","Network of the National Library of Medicine","Trainer","2022-02-18T00:00:00.000","2021-09-30T00:00:00.000"
"L001541112","Clone FTP Files: Content and Uses for Genome Assemblies","https://www.youtube.com/watch?v=VS4c0A0qOLY","This is a minor update to the video of the same name that was published in January 2017. Learn how to use clone FTP files to improve genome assemblies, detect potential structural variation, and place clones based on clone end sequences. Also see the companion video about using clone placements to interpret and improve assemblies. A link to that video is provided at the end of this video.","false","MP4 Video","YouTube Video",,"Genetics and Molecular Biology","Training Team, NCBI","User","2020-06-17T00:00:00.000","2019-04-15T00:00:00.000"
"L00609080","Cn3D","https://www.ncbi.nlm.nih.gov/Structure/CN3D/cn3dtut.shtml","Cn3D ('see in 3D') is a helper application for your web browser that allows you to view 3-dimensional structures from NCBI's Entrez Structure database. Cn3D is provided for Windows and Macintosh, and can be compiled on Unix. Cn3D simultaneously displays structure, sequence, and alignment, and now has powerful annotation and alignment editing features.","false","HTML","Tutorial",,"Genetics and Molecular Biology; Microbiology; Immunology","Training Team, NCBI","User","2020-07-01T00:00:00.000","2016-11-16T00:00:00.000"
"L00229080","Coffee Break - Tutorials for NCBI Tools","https://www.ncbi.nlm.nih.gov/books/NBK2345/?depth=1","Coffee Break is a resource at NCBI that combines reports on recent biomedical discoveries with use of NCBI tools. The result is an interactive tutorial that tells a biological story.","false","HTML","Page",,"Genetics and Molecular Biology","Training Team, NCBI","User","2019-09-05T00:00:00.000","2015-09-08T00:00:00.000"
"L000886112","Collecting Data with an Eye Towards Reuse: Common Data Elements","https://www.nlm.nih.gov/bsd/disted/video/clin_info/cdes.html","As part of the series, Clinical Information, Librarians and the NLM: from Health Data Standards to Better Health, Lisa Lang from the U.S. National Library of Medicine provides context and background for the use of common data elements in health sciences research.","false","MP4 Video","Video Tutorial","34","Data Management; Common Data Elements (CDE)","Office of Engagement and Training","User","2022-01-28T00:00:00.000","2018-10-02T00:00:00.000"
