"entity_name","fiscal_year","governmental_funds_net_pension","governmental_funds_net_pension_1","enterprise_funds_net_pension","enterprise_funds_net_pension_1","intenal_service_funds_net","intenal_service_funds_net_1","fiduciary_funds_net_pension","fiduciary_funds_net_pension_1","total_net_pension_asset","total_net_pension_liability"
"Area 4 Agency on Aging","2020",,,,,,,,,"0","0"
"Area Agency on Aging Planning and Services Area 26","2020",,,,,,,,,"0","0"
"Armona Community Services District","2020",,,,,,,,,"0","0"
"Arnold Lighting District","2020",,,,,,,,,"0","0"
"Aromas Tri-County Fire Protection District","2020",,,,,,,,,"0","0"
"Aromas Water District","2020",,,"140,939","577103",,,,,"140939","577103"
"Arrowbear Park County Water District","2020",,"134586","101,336","634698",,,,,"101336","769284"
"Arroyo Grande Cemetery District","2020",,"668000",,,,,,,"0","668000"
"Arroyo Santa Rosa Valley Basin Groundwater Sustainability Agency","2020",,,,,,,,,"0","0"
"Arroyo Verdugo Communities Joint Powers Authority","2020",,,,,,,,,"0","0"
"Arroyo Vista Community Service District","2020",,,,,,,,,"0","0"
"Artesia Cemetery District","2020",,,,,,,,,"0","0"
"Artois Community Services District","2020",,,,,,,,,"0","0"
"Artois Fire Protection District","2020",,,,,,,,,"0","0"
"Arvin Community Services District","2020",,,,,,,,,"0","0"
"Arvin-Edison Water Storage District","2020",,,,,,,,,"0","0"
"Arvin Public Financing Authority","2020",,,,,,,,,"0","0"
"Ashley Maintenance District (San Joaquin)","2020",,,,,,,,,"0","0"
"Ash Maintenance District (San Joaquin)","2020",,,,,,,,,"0","0"
"Associated Community Action Program","2020",,,,,,,,,"0","0"
"Association of Bay Area Governments","2020",,,,"16083129",,,,,"0","16083129"
"Association of California Water Agencies Joint Powers Insurance Authority","2020",,,"334,731",,,,,,"334731","0"
"Association of Monterey Bay Area Governments","2020",,"2028537",,,,,,,"0","2028537"
"Atascadero Cemetery District","2020",,"356604",,,,,,,"0","356604"
"Atascadero Public Financing Authority","2020",,,,,,,,,"0","0"
"Athens - Woodcrest - Olivita Garbage Disposal District","2020",,,,,,,,,"0","0"
"Atherton Channel Drainage District","2020",,,,,,,,,"0","0"
"Atwater Fire Protection","2020",,,,,,,,,"0","0"
"Atwater Public Financing Authority","2020",,,,,,,,,"0","0"
"Atwell Island Water District","2020",,,,,,,,,"0","0"
"Auburn Cemetery District","2020",,"370482",,,,,,,"0","370482"
"Auburn Finance Authority","2020",,,,,,,,,"0","0"
"Auburn Public Financing Authority","2020",,,,,,,,,"0","0"
"Auburn Recreation and Park District","2020",,"1077429",,,,,,,"0","1077429"
"Auburn Valley Community Services District","2020",,,,,,,,,"0","0"
"Auburn Valley Public Financing Authority","2020",,,,,,,,,"0","0"
"Audubon Hills Community Services District","2020",,,,,,,,,"0","0"
"Authority for California Cities Excess Liability (ACCEL)","2020",,,,,,,,,"0","0"
"Automated Regional Justice Information System (ARJIS)","2020",,,,"3395526",,,,,"0","3395526"
"Avena Drainage District (San Joaquin)","2020",,,,,,,,,"0","0"
"Avenal Healthcare District","2020",,,,,,,,,"0","0"
"Avenal Public Financing Authority","2020",,,,,,,,,"0","0"
"Avila Beach Community Services District","2020",,"131246",,,,,,,"0","131246"
"Azusa Public Financing Authority","2020",,,,,,,,,"0","0"
"Azusa - RMC Joint Powers Authority","2020",,,,,,,,,"0","0"
"Baker Community Services District","2020",,,,,,,,,"0","0"
"Bald Mountain Fire Protection District","2020",,,,,,,,,"0","0"
"Baldwin Hills Regional Conservation Authority","2020",,,,,,,,,"0","0"
"Baldwin Park Financing Authority","2020",,,,,,,,,"0","0"
"Baldwin Park/Monrovia School Facilities Grant Financing Authority","2020",,,,,,,,,"0","0"
"Baldwin Park Municipal Financing Authority","2020",,,,,,,,,"0","0"
"Balhan Terrace Street Lighting Maintenance District (Contra Costa)","2020",,,,,,,,,"0","0"
"Ballico Community Services District","2020",,,,,,,,,"0","0"
"Ballico-Cortez Water District","2020",,,,,,,,,"0","0"
"Bangor Cemetery District","2020",,,,,,,,,"0","0"
"Banning Library District","2020",,,,,,,,,"0","0"
"Banning Utility Authority","2020",,,,"4194667",,,,,"0","4194667"
"Banta-Carbona Irrigation District","2020",,,,,,,,,"0","0"
"Bardeen Partners Incorporated","2020",,,,,,,,,"0","0"
"Bard Resource Conservation District","2020",,,,,,,,,"0","0"
"Bardsdale Cemetery District","2020",,"26951",,,,,,,"0","26951"
"Bard Water District","2020",,,,"224578",,,,,"0","224578"
"Barstow Cemetery District","2020",,,,,,,,,"0","0"
"Barstow Fire Protection District","2020",,"12382040",,,,,,,"0","12382040"
"Barstow Heights Community Services District","2020",,,,,,,,,"0","0"
"Basin Irrigation and Drainage Authority","2020",,,,,,,,,"0","0"
"Bay Area Air Quality Management District","2020",,"76672223",,,,,,,"0","76672223"
"Bay Area Clean Water Agencies","2020",,,,,,,,,"0","0"
"Bay Area Community College Districts Joint Power Agency","2020",,,,,,,,,"0","0"
"Bay Area Headquarters Authority","2020",,,,"318510",,,,,"0","318510"
"Bay Area Housing Authority Risk Management Agency","2020",,,,,,,,,"0","0"
"Bay Area Infrastructure Financing Authority (BAIFA)","2020",,,,"452346",,,,,"0","452346"
"Bay Area Library and Information System","2020",,,,,,,,,"0","0"
"Bay Area Schools Insurance Cooperative","2020",,,,,,,,,"0","0"
"Bay Area Water Supply and Conservation Agency","2020",,,,"635503",,,,,"0","635503"
"Bay Cities Joint Powers Insurance Authority","2020",,,,,,,,,"0","0"
"Bayliss Fire Protection District","2020",,,,,,,,,"0","0"
"Bayshore Sanitary District (San Mateo)","2020",,,,,,,,,"0","0"
"Baywood Park Drainage Maintenance District (San Mateo)","2020",,,,,,,,,"0","0"
"Beach Cities Health District","2020",,"2886911",,,,,,,"0","2886911"
"Beach Erosion Authority For Clean Oceans and Nourishment","2020",,,,,,,,,"0","0"
"Beagle Street Permanent Road Division","2020",,,,,,,,,"0","0"
"Bear Creek Terrace Public Improvement and Street Lighting Maintenance (San Joaquin)","2020",,,,,,,,,"0","0"
"Beard Industrial Lighting District","2020",,,,,,,,,"0","0"
"Bear Mountain Recreation and Park District","2020",,,,,,,,,"0","0"
"Bear River Recreation and Park District","2020",,,,,,,,,"0","0"
"Bear Valley Basin Groundwater Sustainability Agency","2020",,,,,,,,,"0","0"
"Bear Valley Community Healthcare District","2020",,,,,,,,,"0","0"
"Bear Valley Community Services District","2020",,"2704905",,"1758202",,,,,"0","4463107"
"Bear Valley-Indian Valley Fire Protection District","2020",,,,,,,,,"0","0"
"Bear Valley Water District","2020",,,,,,,,,"0","0"
"Beaumont Cherry Valley Recreation and Park District","2020",,"683427",,,,,,,"0","683427"
"Beaumont-Cherry Valley Water District","2020",,,,"2328743",,,,,"0","2328743"
"Beaumont Library District","2020",,,,,,,,,"0","0"
"Beaumont Public Improvement Authority","2020",,,,,,,,,"0","0"
"Beaumont Utility Authority","2020",,,,"654682",,,,,"0","654682"
"Beckwourth County Service Area","2020",,,,,,,,,"0","0"
"Beckwourth Fire Protection District","2020",,,,,,,,,"0","0"
"Bedford-Coldwater Groundwater Sustainability Authority","2020",,,,,,,,,"0","0"
"Bel Aire Lighting Maintenance (San Mateo)","2020",,,,,,,,,"0","0"
"Bella Vista Recreation and Park District","2020",,,,,,,,,"0","0"
"Bella Vista Water District","2020",,,,"2221293",,,,,"0","2221293"
"Bell Canyon Community Services District","2020",,,,,,,,,"0","0"
"Belle Mill Cemetery District","2020",,,,,,,,,"0","0"
"Bellflower Financing Authority","2020",,,,,,,,,"0","0"
"Bellflower Public Facilities Corporation","2020",,,,,,,,,"0","0"
"Bell Gardens Financing Authority","2020",,,,,,,,,"0","0"
"Bell Gardens Joint Powers Financing Authority","2020",,,,,,,,,"0","0"
"Bell Gardens Lighting District","2020",,,,,,,,,"0","0"
"Bell Lighting District","2020",,,,,,,,,"0","0"
"Bell Public Financing Authority","2020",,,,,,,,,"0","0"
"Bel Marin Keys Community Services District","2020",,,,,,,,,"0","0"
"Belmont Fire Protection District","2020",,,,,,,,,"0","0"
"Belmont Joint Powers Financing Authority","2020",,,,,,,,,"0","0"
"Belmont Lighting District","2020",,,,,,,,,"0","0"
"Belmont-San Carlos Fire Department","2020",,"32067175",,,,,,,"0","32067175"
"Belridge Water Storage District","2020",,,,,,,,,"0","0"
"Belvedere Garbage Disposal District","2020",,,,,,,,,"0","0"
"Belvedere Public Financing Authority","2020",,,,,,,,,"0","0"
"Belvedere-Tiburon Joint Recreation Committee District","2020",,,,,,,,,"0","0"
"Belvedere-Tiburon Library Agency","2020",,"1172442",,,,,,,"0","1172442"
"Benefit & Liability Programs of California","2020",,,,,,,,,"0","0"
"Ben Lomond Fire Protection District","2020",,,,,,,,,"0","0"
"Berkeley Joint Powers Financing Authority","2020",,,,,,,,,"0","0"
"Berrenda Mesa Water District","2020",,,,"3512507",,,,,"0","3512507"
"Berry Creek Community Services District","2020",,,,,,,,,"0","0"
"Bertsch-Ocean View Community Services District","2020",,,,,,,,,"0","0"
"BETA Healthcare Group Risk Management Authority","2020",,,,"8051151",,,,,"0","8051151"
"Bethel Island Municipal Improvement District","2020",,"222616",,,,,,,"0","222616"
"Beyers Lane Community Services District","2020",,,,,,,,,"0","0"
"Bi-County Transportation Agency (BCTA)","2020",,,,,,,,,"0","0"
"Bieber Lighting District","2020",,,,,,,,,"0","0"
"Big Bear Airport District","2020",,,,"522778",,,,,"0","522778"
"Big Bear Area Regional Wastewater Agency","2020",,,,"2122006",,,,,"0","2122006"
"Big Bear City Community Services District","2020",,"82689",,"9660992",,,,,"0","9743681"
"Big Bear Fire Authority","2020",,"26644697",,,,,,,"0","26644697"
"Big Bear Lake Financing Authority","2020",,,,,,,,,"0","0"
"Big Bear Lake Fire Protection District","2020",,,,,,,,,"0","0"
"Big Bear Municipal Water District","2020",,,,"1194987",,,,,"0","1194987"
"Big Bear Valley Recreation and Park District","2020",,"1488992",,,,,,,"0","1488992"
"Big Creek Community Services District","2020",,,,,,,,,"0","0"
"Biggs-West Gridley Water District","2020",,,,"3474",,,,,"0","3474"
"Bighorn-Desert View Water Agency","2020",,,,"699595",,,,,"0","699595"
"Big Independent Cities Excess Pool Joint Powers Agreement","2020",,,,,,,,,"0","0"
"Big Lagoon Community Services District","2020",,,,,,,,,"0","0"
"Big Pine Cemetery District","2020",,,,,,,,,"0","0"
"Big Pine Community Services District","2020",,,,,,,,,"0","0"
"Big Pine Fire Protection District","2020",,,,,,,,,"0","0"
"Big Pine Lighting District","2020",,,,,,,,,"0","0"
"Big River Community Services District","2020",,,,,,,,,"0","0"
"Big Rock Community Services District","2020",,,,,,,,,"0","0"
"Big Springs Irrigation District","2020",,,,,,,,,"0","0"
"Big Valley Fire Protection District","2020",,,,,,,,,"0","0"
"Big Valley Pest Abatement District","2020",,,,,,,,,"0","0"
"Biola Community Services District","2020",,,,,,,,,"0","0"
"Birchim Community Services District","2020",,,,,,,,,"0","0"
"Bishop Fire Protection District","2020",,,,,,,,,"0","0"
"Bittner Lane Permanent Road Division District","2020",,,,,,,,,"0","0"
"Bizz Johnson Highway Interchange Joint Powers Authority","2020",,,,,,,,,"0","0"
"Black Gold Cooperative Library System","2020",,"556131",,,,,,,"0","556131"
"Blackstone Estates Permanent Road Division","2020",,,,,,,,,"0","0"
"Blanchard/Santa Paula Public Library District","2020",,"590754",,,,,,,"0","590754"
"Bloomington Recreation and Park District","2020",,"161010",,,,,,,"0","161010"
"Bloss Memorial Healthcare District","2020",,,,"5049",,,,,"0","5049"
"Blue Lake Fire Protection District","2020",,"68642",,,,,,,"0","68642"
"Blue Tent School Road Permanent Road Division","2020",,,,,,,,,"0","0"
"Bluffs Community Services District","2020",,,,,,,,,"0","0"
"Blythe Public Finance Authority","2020",,,,,,,,,"0","0"
"Bodega Bay Fire Protection District","2020",,"1370673",,,,,,,"0","1370673"
"Bodega Bay Public Utility District","2020",,,,,,,,,"0","0"
"Boggs Tract Fire Protection District","2020",,,,,,,,,"0","0"
"Boggs Tract Maintenance District (San Joaquin)","2020",,,,,,,,,"0","0"
"Bolinas Community Public Utility","2020",,,,"674926",,,,,"0","674926"
"Bolinas Fire Protection District","2020",,"222536",,,,,,,"0","222536"
"Bolinas Highlands Permanent Road Division","2020",,,,,,,,,"0","0"
"Bombay Beach Community Service District","2020",,,,,,,,,"0","0"
"Bonita Canyon Public Facilities Financing Authority","2020",,,,,,,,,"0","0"
"Bonita-Sunnyside Fire Protection District","2020",,"6134042",,,,,,,"0","6134042"
"Border Coast Regional Airport Authority","2020",,,,,,,,,"0","0"
"Boron Community Services District","2020",,,,"515710",,,,,"0","515710"
"Boronda County Sanitation District (Monterey)","2020",,,,,,,,,"0","0"
"Borrego Springs Fire Protection District","2020",,"1600013",,,,,,,"0","1600013"
"Borrego Water District","2020",,,,"891132",,,,,"0","891132"
"Boulder Creek Fire Protection District","2020",,"116190",,,,,,,"0","116190"
"Boulder Creek Recreation and Park District","2020",,,,,,,,,"0","0"
"Bowling Green Estates Maintenance (San Joaquin)","2020",,,,,,,,,"0","0"
"Bradbury Estates Community Services District","2020",,,,,,,,,"0","0"
"Branciforte Fire Protection District","2020",,"732310",,,,,,,"0","732310"
"Brannan-Andrus Levee Maintenance (Sacramento)","2020",,"25140",,,,,,,"0","25140"
"Brawley County Water District","2020",,,,,,,,,"0","0"
"Brawley Public Financing Authority","2020",,,,,,,,,"0","0"
"Brawley Public Improvement Corporation","2020",,,,,,,,,"0","0"
"Brea Community Benefit Financing Authority","2020",,,,,,,,,"0","0"
"Brea Public Financing Authority","2020",,,,,,,,,"0","0"
"Brentwood Infrastructure Financing Authority","2020",,,,,,,,,"0","0"
"Briceland Community Services District","2020",,,,,,,,,"0","0"
"Briceland Fire Protection District","2020",,,,,,,,,"0","0"
"Bridgeport Fire Protection District","2020",,,,,,,,,"0","0"
"Bridgeport Public Utility District","2020",,,,,,,,,"0","0"
"Bridgeville Fire Protection District","2020",,,,,,,,,"0","0"
"Brisbane/Guadalupe Valley Municipal Improvement District Financing Authority","2020",,,,,,,,,"0","0"
"Brisbane Public Financing Authority","2020",,,,,,,,,"0","0"
"Broadmoor Police Protection District","2020",,,,,,,,,"0","0"
"Broadview Water District","2020",,,,,,,,,"0","0"
"Brooktrails Township Community Services District","2020",,"636180",,"1291637",,,,,"0","1927817"
"Brophy Water District","2020",,,,,,,,,"0","0"
"Browns Valley Cemetery District","2020",,,,,,,,,"0","0"
"Browns Valley Irrigation District","2020",,,,"1182765",,,,,"0","1182765"
"Brownsville Cemetery District","2020",,,,,,,,,"0","0"
"Buckeye Fire Protection District","2020",,,,,,,,,"0","0"
"Buckingham Park Water District","2020",,,,,,,,,"0","0"
"Buckshot Lane EFER Permanent Road Division","2020",,,,,,,,,"0","0"
"Buena County Sanitation District (San Diego)","2020",,,,"2087301",,,,,"0","2087301"
"Buena Park Library District","2020",,"124897",,,,,,,"0","124897"
"Buena Park Public Finance Authority","2020",,,,,,,,,"0","0"
"Buena Vista Water Storage District","2020",,,,,,,,,"0","0"
"Burbank - Glendale - Pasadena Airport Authority","2020",,,,,,,,,"0","0"
"Burbank-Paradise Fire Protection District","2020",,,,,,,,,"0","0"
"Burbank Sanitary District (Santa Clara)","2020",,,,,,,,,"0","0"
"Burkett Garden Acres Maintenance District (San Joaquin)","2020",,,,,,,,,"0","0"
"Burkett Gardens Maintenance District (San Joaquin)","2020",,,,,,,,,"0","0"
"Burlingame Financing Authority","2020",,,,,,,,,"0","0"
"Burlingame Hills Sewer Maintenance District","2020",,,,,,,,,"0","0"
"Burney Basin Mosquito Abatement District","2020",,"191000",,,,,,,"0","191000"
"Burney Cemetery District","2020",,,,,,,,,"0","0"
"Burney Fire Protection District","2020",,"434000",,,,,,,"0","434000"
"Burney Water District","2020",,,,"877637",,,,,"0","877637"
"Butler-Keys Community Service District","2020",,,,,,,,,"0","0"
"Butte Choice Energy Authority","2020",,,,,,,,,"0","0"
"Butte City Community Services District","2020",,,,,,,,,"0","0"
"Butte County Air Quality Management District","2020",,"1418320",,,,,,,"0","1418320"
"Butte County Mosquito and Vector Control District","2020",,"3616550",,,,,,,"0","3616550"
"Butte County Permanent Road Division","2020",,,,,,,,,"0","0"
"Butte County Resource Conservation District","2020",,,,,,,,,"0","0"
"Butte Creek Drainage District (Butte)","2020",,,,,,,,,"0","0"
"Butte Regional Transit","2020",,,,,,,,,"0","0"
"Butterfield Lane Emergency Fire Escape Road Permanent Road Division","2020",,,,,,,,,"0","0"
"Butte Schools Self-Funded Programs","2020",,,,"308900",,,,,"0","308900"
"Butte Valley Fire Protection","2020",,,,,,,,,"0","0"
"Butte Valley Irrigation District","2020",,,,,,,,,"0","0"
"Butte Water District","2020",,,,,,,,,"0","0"
"Buttonwillow County Water District","2020",,,,,,,,,"0","0"
"Buttonwillow Recreation and Park District","2020",,"541380",,,,,,,"0","541380"
"Buzztail Community Services District","2020",,,,,,,,,"0","0"
"Byron-Bethany Irrigation District","2020",,,,"597819",,,,,"0","597819"
"Byron Bethany Joint Powers Authority","2020",,,,,,,,,"0","0"
"Byron - Brentwood - Knightsen Cemetery District","2020",,,,,,,,,"0","0"
"Byron Sanitary District (Contra Costa)","2020",,,,,,,,,"0","0"
"Cabazon County Water District","2020",,,,,,,,,"0","0"
"Cachagua Fire Protection District","2020",,,,,,,,,"0","0"
"Cacheville Community Services District","2020",,,,,,,,,"0","0"
"Cachuma Conservation Release Board","2020",,,,,,,,,"0","0"
"Cachuma Operation and Maintenance Board","2020",,,,"1893141",,,,,"0","1893141"
"Cachuma Resource Conservation District","2020",,,,,,,,,"0","0"
"Calabasas Lighting District","2020",,,,,,,,,"0","0"
"Calaveras Consolidated Fire Protection District","2020",,,,,,,,,"0","0"
"Calaveras County Air Pollution Control District","2020",,,,,,,,,"0","0"
"Calaveras County School Financing Authority","2020",,,,,,,,,"0","0"
"Calaveras County Water District","2020",,,,"5142799",,,,,"0","5142799"
