"entity_name","entity_id","fiscal_year","actuarially_determined","contributions_in_relation","contribution_deficiency_excess","covered_employee_payroll","contributions_as_a_percentage"
"Public Employees' Retirement Fund (PERF) C","12894","2020","1597137000","1971737000","-374600000","4155772000","47.45"
"Sacramento County Employees' Retirement System","7268","2020","274055000","274055000","0","1059984000","25.85"
"Sacramento Regional Transit District ATU Employees' Retirement Plan","12847","2020","9133716","8783426","350290","34174428","25.7"
"Sacramento Regional Transit District IBEW Employees' Retirement Plan","12848","2020","3426307","3230879","195428","14166689","22.81"
"Sacramento Regional Transit District Salaried Employees' Retirement Plan","7165","2020","9085497","9159513","-74016","26295215","34.83"
"San Bernardino County Employees' Retirement Association","7269","2020","467943000","467986000","-43000","1542495000","30.34"
"San Diego City Employees' Retirement System","7246","2020","375959000","378156000","-2197000","554402000","68.21"
"San Diego County Employees' Retirement Association","7270","2020","558903678","568923801","-10020123","1349433902","42.16"
"San Diego Transit Corporation Employees' Retirement Plan","7200","2020","14709528","14709528","0","25851835","56.9"
"San Francisco City and County Employees' Retirement System","7247","2020","742985000","742985000","0","3566991000","20.83"
"San Joaquin County Employees' Retirement Association","7271","2020","203058574","225528756","-22470182","453710584","49.71"
"San Joaquin Regional Transit District Contract Employees' Retirement Plan","7166","2020","2488000",,"2488000","9157000","0"
"San Luis Obispo County Pension Trust","7272","2020","57223312","48957564","8265748","200924549","24.37"
"San Mateo County Employees' Retirement Association","7273","2020","198582998","198582998","0","593295084","33.47"
"Santa Barbara County Employees' Retirement System","7274","2020","141585000","141585000","0","373129000","37.95"
"Santa Clara Valley Transportation Authority Amalgamated Transit Union Pension Plan","7167","2020","30551882","30551882","0","137584408","22.21"
"Self-Insured Schools of California Defined Benefit Plan","7183","2020","3834824","3834824","0","104235082","3.68"
"Sonoma County Employees' Retirement Association","7275","2020","63822000","63822000","0","350995000","18.18"
"Stanislaus County Employees' Retirement Association","7276","2020","92685","92685","0","300352383","0.03"
"Sunline Transit Retirement Income Plan - Bargaining Unit Personnel","7182","2020","1332533","1124838","207695","11077510","10.15"
"Sunline Transit Retirement Income Plan - Non-Bargaining Unit Personnel","7400","2020","1043456","1202242","-158786","5204655","23.1"
"Tulare County Employees' Retirement Association","7277","2020","35310000","35310000","0","283640000","12.45"
"Turlock Irrigation District Pension Plan","7187","2020","12132154","15279421","-3147267","43755672","34.92"
"University of California Retirement Plan","7211","2020","2516234000","2444025000","72209000","13056696000","18.72"
"Ventura County Employees' Retirement Association","7278","2020","214587909","214587909","0","768619000","27.92"
"West Contra Costa Healthcare District Successor Retirement Plan","8275","2020","992990","2000000","-1007010","0","0"
"AC Transit Employees' Retirement Plan","7159","2019","54239472","54723000","-483528","174000000","31.45"
"Alameda County Employees' Retirement Association","7258","2019","269684000","269684000","0","1046034000","25.78"
"Antelope Valley Hospital Medical Center Retirement Plan","7148","2019","15442859","19713038","-4270179","150221871","13.12"
"California State Teachers' Retirement System","7209","2019","10790437591","10968629405","-178191814","35805159804","30.63"
"City of Albany Police and Fire Relief Pension Fund","7219","2019","218723","218723","0","0","0"
"City of Concord Retirement System","7230","2019","2493000","2822000","-329000","0","0"
"City of Delano Employee Pension Plan","7235","2019","2068886","2312969","-244083","11263587","20.53"
"City of Emeryville Pension Plan","7221","2019","100090","0","100090","0","0"
"City of Fresno Employees' Retirement System","7232","2019","14627425","14627425","0","138395785","10.57"
"City of Fresno Fire and Police Retirement System","7231","2019","20604377","20604377","0","109803190","18.76"
"City of Irvine Safety Defined Benefit Pension Plan","7243","2019","204407","253450","-49043","385302","65.78"
"City of Los Angeles Fire and Police Pension System","7236","2019","504877399","504877399","0","1487977884","33.93"
"City of Los Angeles Water and Power Employees' Retirement Plan","7238","2019","408750192","410165124","-1414932","1028212002","39.89"
"City of Manhattan Beach Single Highest Year Retirement Plan","7240","2019","72227","72227","0","0","0"
"City of Manhattan Beach Supplemental Retirement Plan","7241","2019","27773","27773","0","0","0"
"City of Oakland Fire and Police Retirement System","7222","2019","44821000","44821000","0","0","0"
"City of Richmond Garfield Pension Plan","7229","2019","86103","102140","-16037","0","0"
"City of Richmond General Pension Plan","7227","2019","947219","812561","134658","0","0"
"City of Richmond Police and Firemen's Pension Plan","7228","2019","1389612","1270466","119146","0","0"
"City of Sacramento City Employees' Retirement System","7245","2019","5268000","7507000","-2239000","678000","1107.23"
"City of San Clemente Restated Employees' Retirement Plan","7244","2019","1507000","1507000","0","530000","284.34"
"City of San Jose Federated City Employees' Retirement System","7249","2019","173006000","173006000","0","298824000","57.9"
"City of San Jose Police and Fire Retirement Plan","7250","2019","176618000","176618000","0","218619000","80.79"
"Contra Costa County Employees' Retirement Association","7259","2019","324863103","324863103","0","850929106","38.18"
"Contra Costa Water District Retirement Plan","7172","2019","6912623","10667738","-3755115","31622147","33.74"
"East Bay Municipal Utility District Employees' Retirement System","7168","2019","71221000","71221000","0","193717000","36.77"
"Fresno County Employees' Retirement Association","7260","2019","225492000","225492000","0","423092000","53.3"
"Golden Gate Transit District Amalgamated Retirement Plan","7144","2019","7771000","5046000","2725000","23393000","21.57"
"Greater Palm Springs Convention and Visitor's Bureau Defined Benefit Pension Plan","13131","2019","477794","646954","-169160","2672577","24.21"
"Imperial County Employees' Retirement System","7261","2019","26078469","26078469","0","117036000","22.28"
"Judges' Retirement System I","7205","2019","415110000","195903000","219207000","31945000","613.25"
"Judges' Retirement System II","7206","2019","84099000","84099000","0","318827000","26.38"
"Kaweah Delta Hospital District Employees' Retirement Plan","7149","2019","3465030","11400000","-7934970","0","0"
"Kern County Employees' Retirement Association","7262","2019","229120000","229120000","0","579072000","39.57"
"Legislators' Retirement System","7207","2019","250000","250000","0","655000","38.17"
"Long Beach Public Transportation Company Retirement Plan - Contract Employees","7198","2019","4488508","4488508","0","30624000","14.66"
"Long Beach Public Transportation Company Retirement Plan -  Salaried Employees","7199","2019","1611520","3111520","-1500000","4783000","65.05"
"Los Angeles City Employees' Retirement System","7237","2019","478716953","478716953","0","2108171088","22.71"
"Los Angeles County Employees' Retirement Association","7263","2019","1668151340","1668151340","0","8370050420","19.93"
"Los Angeles County Transportation Authority AFSCME Employees' Retirement Income Plan","9235","2019","1038431","1038431","0","1398770","74.24"
"Los Angeles County Transportation Authority Maintenance Employees' Retirement System","7161","2019","29381491","29782603","-401112","167130000","17.82"
"Los Angeles County Transportation Authority Non-Contract Employees' Retirement System","7162","2019","3369029","3369029","0","3091883","108.96"
"Los Angeles County Transportation Authority SMART - TD Retirement","7163","2019","21079480","21079480","0","208174477","10.13"
"Los Angeles County Transportation Authority Transportation Communication - Union Employees' Retirement System","7160","2019","7752562","7752562","0","47235246","16.41"
"Marin County Employees' Retirement Association","7264","2019","78738814","78738814","0","253964938","31"
"Mendocino County Employees' Retirement Association","7265","2019","23702064","23702064","0","68254197","0"
"Merced County Employees' Retirement Association","7266","2019","66586464","66586464","0","131365778","50.69"
"Modesto Irrigation District Basic Retirement Plan","7186","2019","12825186","12882571","-57385","41165803","31.29"
"Orange County Employees' Retirement System","7267","2019","556728000","580905000","-24177000","1718798000","33.8"
"Public Agency Retirement System Defined Benefit Plans","7215","2019","886002","886002","0","0","0"
"Public Employees' Retirement Fund (PERF) A","12892","2019","0","0","0","0","0"
"Public Employees' Retirement Fund (PERF) B","12893","2019","2501770000","2501770000","0","13819881000","18.1"
"Public Employees' Retirement Fund (PERF) C","12894","2019","1333559000","1333559000","0","3949226000","33.77"
"Sacramento County Employees' Retirement System","7268","2019","240238000","240238000","0","1017885000","23.6"
"Sacramento Regional Transit District ATU Employees' Retirement Plan","12847","2019","8553307","8553307","0","30125788","28.39"
"Sacramento Regional Transit District IBEW Employees' Retirement Plan","12848","2019","3299013","3299013","0","13300633","0"
"Sacramento Regional Transit District Salaried Employees' Retirement Plan","7165","2019","8503815","8503815","0","22220418","0"
"San Bernardino County Employees' Retirement Association","7269","2019","446295000","446295000","0","1477131000","30.21"
"San Diego City Employees' Retirement System","7246","2019","346540270","348583000","-2042730","523071000","66.64"
"San Diego County Employees' Retirement Association","7270","2019","518528610","532360532","-13831922","1276239000","41.71"
"San Diego Transit Corporation Employees' Retirement Plan","7200","2019","13633181","13633181","0","27154461","50.21"
"San Francisco City and County Employees' Retirement System","7247","2019","645056000","645056000","0","3375447000","19.11"
"San Joaquin County Employees' Retirement Association","7271","2019","188322653","208757572","-20434919","436763447","47.8"
"San Joaquin Regional Transit District Contract Employees' Retirement Plan","7166","2019","2367000","2367000","0","9539000","24.81"
"San Luis Obispo County Pension Trust","7272","2019","51375341","46243596","5131745","199288713","23.2"
"San Mateo County Employees' Retirement Association","7273","2019","194830054","245498411","-50668357","554734196","44.26"
"Santa Barbara County Employees' Retirement System","7274","2019","133708000","133708000","0","355417000","37.62"
"Santa Clara Valley Transportation Authority Amalgamated Transit Union Pension Plan","7167","2019","32282788","32282788","0","133749054","24.14"
"Self-Insured Schools of California Defined Benefit Plan","7183","2019","2848719","3764379","-915660","101739973","3.7"
"Sonoma County Employees' Retirement Association","7275","2019","67425000","67425000","0","355558000","18.96"
"Stanislaus County Employees' Retirement Association","7276","2019","88589381","88589381","0","281979654","31.42"
"Sunline Transit Retirement Income Plan - Bargaining Unit Personnel","7182","2019","1271919","1335432","-63513","10495187","12.72"
"Sunline Transit Retirement Income Plan - Non-Bargaining Unit Personnel","7400","2019","979399","1163831","-184432","4842573","24.03"
"Tulare County Employees' Retirement Association","7277","2019","33494000","33494000","0","264218000","12.68"
"Turlock Irrigation District Pension Plan","7187","2019","23272552","30558482","-7285930","39391971","77.58"
"University of California Retirement Plan","7211","2019","2742671000","2408650000","334021000","12168209000","19.79"
"Ventura County Employees' Retirement Association","7278","2019","199932498","199932498","0","754657000","26.49"
"West Contra Costa Healthcare District Successor Retirement Plan","8275","2019","858475","1000000","-141525","0","0"
"AC Transit Employees' Retirement Plan","7159","2018","51689045","52369000","-679955","167786000","31.21"
"Alameda County Employees' Retirement Association","7258","2018","247064000","247064000","0","995178000","24.83"
"Antelope Valley Hospital Medical Center Retirement Plan","7148","2018","16292095","18559927","-2267832","142333031","13.04"
"California State Teachers' Retirement System","7209","2018","9576575797","7663334508","1913241288","34752828628","22.05"
"City of Alameda Police and Fire Pension 1079 and 1082","7218","2018","1440401",,"1440401","0","0"
"City of Albany Police and Fire Relief Pension Fund","7219","2018","218723","218723","0","9649389","2.27"
"City of Berkeley Safety Members' Pension Fund","7220","2018",,,,"0",
"City of Concord Retirement System","7230","2018","2715000","5885064","-3170064","0","0"
"City of Delano Employee Pension Plan","7235","2018","2136180","2120753","15427","10751866","19.72"
"City of El Cerrito Employees' Pension Trust Fund","7225","2018","115129",,"115129","0","0"
"City of Emeryville Pension Plan","7221","2018","0","0","0","0","0"
"City of Eureka Fire and Police Retirement System","7233","2018",,,,"0",
"City of Fresno Employees' Retirement System","7232","2018","14608659","14608659","0","128461461","11.37"
"City of Fresno Fire and Police Retirement System","7231","2018","19696957","19696957","0","103934234","18.95"
"City of Irvine Safety Defined Benefit Pension Plan","7243","2018","184376","184377","-1","373044","49.43"
"City of Los Angeles Fire and Police Pension System","7236","2018","459631946","460966593","-1334647","1451995822","31.75"
"City of Los Angeles Water and Power Employees' Retirement Plan","7238","2018","425512236","433412569","-7900333","953635670","45.45"
"City of Manhattan Beach Single Highest Year Retirement Plan","7240","2018",,,,"0",
"City of Manhattan Beach Supplemental Retirement Plan","7241","2018",,,,"0",
"City of Oakland Fire and Police Retirement System","7222","2018","44860000","44860000","0","0","0"
"City of Pasadena Fire and Police Retirement System","7239","2018",,,,"0",
"City of Piedmont Police and Fire Pension Plan","7224","2018",,,,"0",
"City of Richmond Garfield Pension Plan","7229","2018","86103","102140","-16037","0","0"
"City of Richmond General Pension Plan","7227","2018","947219","814594","132625","0","0"
"City of Richmond Police and Firemen's Pension Plan","7228","2018","1389612","1270466","119146","0","0"
"City of Sacramento City Employees' Retirement System","7245","2018","8645000","8645000","0","921000","938.65"
"City of San Clemente Restated Employees' Retirement Plan","7244","2018","1206000","1206000","0","520000","231.92"
"City of San Jose Federated City Employees' Retirement System","7249","2018","156770000","156770000","0","290504000","53.96"
"City of San Jose Police and Fire Retirement Plan","7250","2018","157712000","157712000","0","203164000","77.63"
"City of Santa Barbara Police and Fire Pension Fund","7248","2018",,"120000","-120000","0","0"
"Contra Costa County Employees' Retirement Association","7259","2018","314512561","314512561","0","809960088","39"
"Contra Costa Water District Retirement Plan","7172","2018","6795535","7163859","-368324","29553189","24.24"
"Desert Hospital Retirement Protection Plan","7398","2018","288378","0","288378","0","0"
"East Bay Municipal Utility District Employees' Retirement System","7168","2018","67096000","67096000","0","182032000","36.86"
"Fresno County Employees' Retirement Association","7260","2018","210535000","210535000","0","403018000","52.24"
"Golden Gate Transit District Amalgamated Retirement Plan","7144","2018","8095000","4583000","3512000","22875000","20.03"
"Imperial County Employees' Retirement System","7261","2018","21014523","21014523","0","112994000","18.6"
"Judges' Retirement System I","7205","2018","438156000","199241000","238915000","35507000","561.13"
"Judges' Retirement System II","7206","2018","79699000","79699000","0","299396000","26.62"
"Kaweah Delta Hospital District Employees' Retirement Plan","7149","2018","5817650","11400000","-5582350","0","0"
"Kern County Employees' Retirement Association","7262","2018","242534000","242534000","0","576729000","42.05"
"Legislators' Retirement System","7207","2018","20000","467000","-447000","1242000","37.6"
"Long Beach Public Transportation Company Retirement Plan - Contract Employees","7198","2018","4054711","4054711","0","31094000","13.04"
"Long Beach Public Transportation Company Retirement Plan -  Salaried Employees","7199","2018","1602155","2602155","-1000000","4859000","53.55"
"Los Angeles City Employees' Retirement System","7237","2018","450195254","450338254","-143000","2057565478","21.89"
"Los Angeles County Employees' Retirement Association","7263","2018","1564284417","1564284417","0","7957981294","20"
"Los Angeles County Transportation Authority AFSCME Employees' Retirement Income Plan","9235","2018","1378281","1378281","0","1546568","89.12"
"Los Angeles County Transportation Authority Maintenance Employees' Retirement System","7161","2018","26623778","27157168","-533390","152397000","17.82"
"Los Angeles County Transportation Authority Non-Contract Employees' Retirement System","7162","2018","4194881","4194881","0","3171908","132.25"
"Los Angeles County Transportation Authority SMART - TD Retirement","7163","2018","21466787","21466787","0","198718395","10.8"
"Los Angeles County Transportation Authority Transportation Communication - Union Employees' Retirement System","7160","2018","6218202","6218202","0","42497100","14.63"
"Marin County Employees' Retirement Association","7264","2018","78754476","78754476","0","248532086","31.69"
"Mendocino County Employees' Retirement Association","7265","2018","20430644","20430644","0","64340578","31.75"
"Merced County Employees' Retirement Association","7266","2018","64757288","64757288","0","126705902","51.11"
"Modesto Irrigation District Basic Retirement Plan","7186","2018","12825186","13154936","-329750","41274329","31.87"
"Orange County Employees' Retirement System","7267","2018","536726000","572104000","-35378000","1678322000","34.09"
"Public Agency Retirement System Defined Benefit Plans","7215","2018","886002","886002","0","0","0"
"Public Employees' Retirement Fund (PERF) A","12892","2018","0","0","0","0","0"
"Public Employees' Retirement Fund (PERF) B","12893","2018","2048531000","2048531000","0","13252995000","15.46"
"Public Employees' Retirement Fund (PERF) C","12894","2018","1182686000","1182686000","0","3793609000","31.18"
"Sacramento County Employees' Retirement System","7268","2018","198331000","198331000","0","985375000","20"
"Sacramento Regional Transit District ATU Employees' Retirement Plan","12847","2018","7863420","7863420","0","31575118","24.9"
"Sacramento Regional Transit District IBEW Employees' Retirement Plan","12848","2018","3195912","3195912","0","13137945","24.33"
"Sacramento Regional Transit District Salaried Employees' Retirement Plan","7165","2018","7669178","7669178","0","24283580","31.58"
"San Bernardino County Employees' Retirement Association","7269","2018","378667309","378667309","0","1406470000","26.92"
"San Diego City Employees' Retirement System","7246","2018","347616000","349447000","-1831000","514906000","67.87"
"San Diego County Employees' Retirement Association","7270","2018","520733439","520733439","0","1232104786","42.26"
"San Diego Transit Corporation Employees' Retirement Plan","7200","2018","13020223","13020223","0","29686976","43.86"
"San Francisco City and County Employees' Retirement System","7247","2018","619067000","619067000","0","3221544000","19.22"
"San Joaquin County Employees' Retirement Association","7271","2018","179824882","200051742","-20226860","425886951","46.97"
"San Joaquin Regional Transit District Contract Employees' Retirement Plan","7166","2018","1934000","1934000","0","8122000","23.81"
"San Luis Obispo County Pension Trust","7272","2018","48203242","42340904","5862338","192735874","21.97"
"San Mateo County Employees' Retirement Association","7273","2018","179626584","207256713","-27630129","535937622","38.67"
"Santa Barbara County Employees' Retirement System","7274","2018","131374000","131374000","0","344512000","38.13"
"Santa Clara Valley Transportation Authority Amalgamated Transit Union Pension Plan","7167","2018","28523868","28523868","0","139288447","20.48"
"Self-Insured Schools of California Defined Benefit Plan","7183","2018","3232857","3659535","-426678","98906351","3.7"
"Sonoma County Employees' Retirement Association","7275","2018","63822000","63822000","0","345631000","18.47"
"Stanislaus County Employees' Retirement Association","7276","2018","76966471","76966471","0","268009042","28.72"
"Sunline Transit Retirement Income Plan - Bargaining Unit Personnel","7182","2018","1276570","1242117","34453","9937276","12.5"
"Sunline Transit Retirement Income Plan - Non-Bargaining Unit Personnel","7400","2018","1088228","1195281","-107053","4939705","24.2"
"Tulare County Employees' Retirement Association","7277","2018","36263000","36263000","0","256048706","14.16"
"Turlock Irrigation District Pension Plan","7187","2018","13372259","50279241","-36906982","36365502","138.26"
"University of California Retirement Plan","7211","2018","2669169000","2504874000","164295000","11923489000","21.01"
"Ventura County Employees' Retirement Association","7278","2018","197682857","197682857","0","736994000","26.82"
"West Contra Costa Healthcare District Successor Retirement Plan","8275","2018","0","1000000","-1000000","0","0"
"AC Transit Employees' Retirement Plan","7159","2017","48479456","48479456","0","150234000","32.27"
"Alameda County Employees' Retirement Association","7258","2017","241729000","241729000","0","947568000","0"
"Antelope Valley Hospital Medical Center Retirement Plan","7148","2017","13875355","14741814","-866459","150657227","9.79"
"Arvin Edison Water Storage District Employees' Pension Plan","7180","2017",,,,"3190420",
"California Public Employees' Retirement System","7208","2017","2626767000","2626767000","0","16275273000","16"
"California State Teachers' Retirement System","7209","2017","7959025741","6651465000","1307560741","34125906884","19"
"City of Alameda Police and Fire Pension 1079 and 1082","7218","2017",,,"0","0","0"
"City of Albany Police and Fire Relief Pension Fund","7219","2017","218723","218723","0","0","0"
"City of Bakersfield Firemen's Disability and Retirement System","7234","2017",,,,"0",
"City of Berkeley Safety Members' Pension Fund","7220","2017","0","0","0","0","0"
"City of Concord Retirement System","7230","2017","2715000","2845258","-130258","0","0"
"City of Delano Employee Pension Plan","7235","2017","2729207","3654709","-925502","10130191","33.99"
"City of El Cerrito Employees' Pension Trust Fund","7225","2017","123148","123148","0","0","0"
"City of Emeryville Pension Plan","7221","2017",,,"0","0","0"
"City of Eureka Fire and Police Retirement System","7233","2017",,,,"0",
"City of Fresno Employees' Retirement System","7232","2017","15205360","15205360","0","119006918",
"City of Fresno Fire and Police Retirement System","7231","2017","18543308","18543308","0","97368618","19.04"
"City of Irvine Safety Defined Benefit Pension Plan","7243","2017","88276","91834","-3558","351166","26.15"
"City of Los Angeles Fire and Police Pension System","7236","2017","454308852","454308852","0","1397244974","33"
"City of Los Angeles Water and Power Employees' Retirement Plan","7238","2017","403780319","391717359","12062960","892332196","44"
"City of Manhattan Beach Single Highest Year Retirement Plan","7240","2017","0","0","0","0","0"
"City of Manhattan Beach Supplemental Retirement Plan","7241","2017",,,"0","1","0"
"City of Oakland Fire and Police Retirement System","7222","2017",,,"0","0","0"
"City of Pasadena Fire and Police Retirement System","7239","2017",,,"0","0","0"
"City of Piedmont Police and Fire Pension Plan","7224","2017",,,"0","0","0"
"City of Pittsburg Miscellaneous Employees' Retirement System 1962","7226","2017","3077","3077","0","0","0"
"City of Richmond Garfield Pension Plan","7229","2017","78987","102140","-23153","0","0"
"City of Richmond General Pension Plan","7227","2017","750016","73592","676424","0","0"
"City of Richmond Police and Firemen's Pension Plan","7228","2017","1270466","1270466","0","0","0"
"City of Sacramento City Employees' Retirement System","7245","2017","8645000","8645000","0","1049044","824.08"
"City of San Clemente Restated Employees' Retirement Plan","7244","2017","1188000","1188000","0","488000","243.44"
"City of San Jose Federated City Employees' Retirement System","7249","2017","138483000","138483000","0","271153000","51.07"
"City of San Jose Police and Fire Retirement Plan","7250","2017","136957000","136957000","0","188177000","72.78"
"City of Santa Barbara Police and Fire Pension Fund","7248","2017",,"120000","-120000","0","0"
"Contra Costa County Employees' Retirement Association","7259","2017","307457143","307457143","0","755138882","41"
"Contra Costa Water District Retirement Plan","7172","2017","6502000","7075304","-573304","28065323","25.21"
"Desert Hospital Retirement Protection Plan","7398","2017","928460","3400000","-2471540","0","0"
"East Bay Municipal Utility District Employees' Retirement System","7168","2017","65218000","65218000","0","174586000","0"
"Fresno County Employees' Retirement Association","7260","2017","198472000","198472000","0","386345000","1"
"Golden Gate Transit District Amalgamated Retirement Plan","7144","2017","6666000","3967000","2699000","22713000","18.05"
"Imperial County Employees' Retirement System","7261","2017","21000000","21000000","0","114539000","18.33"
"Judges' Retirement System I","7205","2017","448636000","204475000","244161000","39413000","518.8"
"Judges' Retirement System II","7206","2017","67102000","67102000","0","291097000","23.05"
"Kaweah Delta Hospital District Employees' Retirement Plan","7149","2017","6879390","9000000","-2120610","0","0"
"Kern County Employees' Retirement Association","7262","2017","224351000","224351000","0","546671000","41.04"
"Legislators' Retirement System","7207","2017","0","516000","-516000","1360000","37.94"
"Long Beach Public Transportation Company Retirement Plan - Contract Employees","7198","2017","6018860","6018860","0","31258000","19.26"
"Long Beach Public Transportation Company Retirement Plan -  Salaried Employees","7199","2017","2030220","3130220","-1100000","6843000","45.74"
"Los Angeles City Employees' Retirement System","7237","2017","453356059","453356059","0","1973048633","0"
"Los Angeles County Employees' Retirement Association","7263","2017","1392812667","1392812667","0","7637031557",
"Los Angeles County Transportation Authority AFSCME Employees' Retirement Income Plan","9235","2017","1574797","1574797","0","2198826","71.62"
"Los Angeles County Transportation Authority Maintenance Employees' Retirement System","7161","2017","25066222","25422884","-356662","142665000","17.82"
"Los Angeles County Transportation Authority Non-Contract Employees' Retirement System","7162","2017","4565358","4565358","0","3447137","132.44"
"Los Angeles County Transportation Authority SMART - TD Retirement","7163","2017","22011433","22011433","0","192342001","11.44"
"Los Angeles County Transportation Authority Transportation Communication - Union Employees' Retirement System","7160","2017","5956685","5956685","0","39763754","14.98"
"Marin County Employees' Retirement Association","7264","2017","77502945","77502945","0","242045311","32.02"
