"named_place","location_description","location_type","year","name_origin","latitude","longitude","location"
"Blackmud Creek Neighbourhood ","Ellerslie Road south to 25 Avenue SW, 107 Street to 111 Street","Neighbourhood","1999","Please see Blackmud Creek.","53.419201","-113.513939","(53.419201, -113.513939)"
"Blackmud Creek Ravine ","Along the course of Blackmud Creek","Ravine",,"Please see Blackmud Creek.","53.446711","-113.523273","(53.446711, -113.523273)"
"Blue Quill","23 Avenue to 34 Avenue, 111 Street west to Whitemud Ravine","Neighbourhood","1974","This subdivision was named in honour of Cree Chief Blue Quill of Saddle Lake Indian Reserve, which was established in 1889. Chief Blue Quill traded in Edmonton in the late 1890s. Blue Quill subdivision was named first, followed by the neighbourhood later in 1974. Also Blue Quill Neighbourhood (1974); Blue Quill Crescent (1987); Blue Quill Estates (1987); Blue Quill Park (1984); and Blue Quill Point (1987).","53.457802","-113.527608","(53.457802, -113.527608)"
"Blue Quill ","23 Avenue to 34 Avenue, 111 Street west to Whitemud Ravine","Subdivision","1974","Please see Blue Quill Neighbourhood","53.460868","-113.530569","(53.460868, -113.530569)"
"Blue Quill Crescent","East of 123 Street, south of 23 Avenue","Road","1987","Please see Blue Quill Neighbourhood","53.460255","-113.539538","(53.460255, -113.539538)"
"Blue Quill Estates","23 Avenue to 29A Avenue, 119 Street west to Whitemud Park","Neighbourhood","1987","Please see Blue Quill Neighbourhood","53.457521","-113.54265","(53.457521, -113.54265)"
"Blue Quill Park","11304 25 Avenue","Park","1984","Please see Blue Quill Neighbourhood","53.458454","-113.524368","(53.458454, -113.524368)"
"Blue Quill Point","North of 29A Avenue, west of 124 Street","Road","1987","Please see Blue Quill Neighbourhood","53.460626","-113.545482","(53.460626, -113.545482)"
"Decoteau Trail","From 80 Avenue to 87 Avenue east of 184 Street","Walkway","1971","Please see Decoteau Way","53.514567","-113.639746","(53.514567, -113.639746)"
"Meyokumin","Mill Woods Road South north to 23 Avenue, 50 Street to 66 Street","Neighbourhood","1974","Meyokumin is said to be a form of the Cree word meaning “good water.”","53.451797","-113.429332","(53.451797, -113.429332)"
"Meyonohk","23 Avenue to 28 Avenue, Mill Woods Road west to 91 Street","Neighbourhood","1972","This neighbourhood name comes from the Cree word miyonohk, which means “in a good spot.”","53.45356","-113.461497","(53.45356, -113.461497)"
"Calgary Trail","South from Saskatchewan Drive to city limits, west of Gateway Boulevard","Road","2000","The road has a rich and storied history beginning in 1873. That was the year when the Rev. John McDougall and his brother, David, cleared a trail from Fort Edmonton to the mission at Morley, about 80 kilometres west of Calgary. The trail followed, in part, older trails blazed by Aboriginal people and early traders of European descent. When Fort Calgary was established in 1875, the NWMP completed the southern leg of this trail from the Lone Pine Stopping House, near Bowden, to Calgary. After the 1883 arrival of the Canadian Pacific Railway in Calgary, the Calgary-Edmonton Trail became a busy supply route with regular mail and stagecoach services. The use of the Trail declined after the completion of the Calgary and Edmonton Railway in 1891. Since the advent of the automobile, however, the “Trail” has become the most heavily travelled highway in Alberta. Calgary Trail Southbound, connecting Edmonton to Calgary via Highway 2, was renamed Calgary Trail in 2000 because a southbound identifier was considered no longer necessary after Calgary Trail Northbound was renamed, also in 2000, Gateway Boulevard.","53.493369","-113.497653","(53.493369, -113.497653)"
"Calgary Trail North ","Whitemud Drive north to 63 Avenue, CP railway tracks west to Calgary Trail","Neighbourhood","1984","Please see Calgary Trail","53.489782","-113.493469","(53.489782, -113.493469)"
"Calgary Trail South ","23 Avenue north to Whitemud Drive, CP railway tracks west to Calgary Trail","Neighbourhood","1984","Please see Calgary Trail","53.484751","-113.493555","(53.484751, -113.493555)"
"Capilano","106 Avenue north to Capilano Park, 43 Street west to Hardisty Drive","Neighbourhood","1956","The Capilano neighbourhood in the Hardisty subdivision was likely named after the Capilano River, Capilano River Canyon and the Capilano Suspension Bridge in North Vancouver, B.C. Capilano is an adaptation of a Salish word that means “the people of Kiap.” It was also the hereditary name of the Chief of the Squamish, Central Coast Salish who traditionally lived in what is today North Vancouver. Edmonton’s Capilano was an existing subdivision name dating back to the early part of the twentieth century. It was subdivided in 1910, but remained mostly farmland until the 1950s. Capilano was annexed to Edmonton in 1954.","53.557136","-113.419054","(53.557136, -113.419054)"
"Capilano Bridge","Spanning the North Saskatechwan River at Wayne Gretzky Drive","Bridge","1967","Please see Capilano","53.556231","-113.438838","(53.556231, -113.438838)"
"Capilano Community Park","10810 54 Street","Park","1987","Please see Capilano","53.555912","-113.423002","(53.555912, -113.423002)"
"Capilano Crescent","Connects with 109 Avenue; northwest of 56 Street","Road","1956","Please see Capilano","53.55929","-113.427444","(53.55929, -113.427444)"
"Capilano Park","10988 50 Street","Park","1964","Please see Capilano","53.55943","-113.420684","(53.55943, -113.420684)"
"Capilano Ravine","Separating the Capilano and Forest Heights neighbourhoods; 106 Avenue and 74 Street","Ravine",,"Please see Capilano","53.54405","-113.44505","(53.54405, -113.44505)"
"Capilano Street","106 Avenue northwest to 65 Street","Road","1956","Please see Capilano","53.553796","-113.423538","(53.553796, -113.423538)"
"Carlson Close","South of Rabbit Hill Road, west of Carter Crest Road","Road","1990","Nellie Mildred Carlson (b. 1927) was the first president of the Alberta group Indian Rights for Indian Women. She was born on the Saddle Lake Indian Reserve. After moving to Edmonton, Carlson lobbied the federal government to revise the Indian Act so that Aboriginal women who married non-Aboriginal or MŽtis men could retain their First Nation status. With the successful passage of Bill C-31, enacted in 1985, Aboriginal women regained band membership. Carlson was the recipient of the 1988 Persons Award.","53.466527","-113.580093","(53.466527, -113.580093)"
"Carlton","153 Avenue to 167 Avenue, 133 Street to 142 Street","Neighbourhood","1998","This neighbourhood is named after Fort Carlton. Throughout The Palisades area, neighbourhoods are named after fur trade forts, posts or houses. Fort Carlton, located near the junction of the North and South Saskatchewan Rivers, was established as a Hudson Bay Company fur trade and provision post in 1798. Its strategic location made it a focal point for western trade and commerce. In the 1870s, the Métis, displaced from their lands around Winnipeg and Red River, Manitoba, followed the buffalo west and settled near the fort. A North West Mounted Police detachment was later dispatched to the fort to keep it secure. In 1885 the detachment was ordered to leave Fort Carlton and help quell the North-West Rebellion (the Métis and Aboriginal uprising). The fort was later destroyed in a series of fires: the first fire was started by accident; two others were set by the rebels.","53.620081","-113.559408","(53.620081, -113.559408)"
"Decoteau Way ","From Griesbach School Road to Valour Way","Road","2007","Sgt. Alex Wuttunee Decoteau (1887-1917) was an Olympic athlete and Canada’s first Aboriginal police officer. Born on the Red Pheasant Reserve, near Battleford, in present-day Saskatchewan, Decoteau was the only Albertan on the Canadian team that competed in the 1912 Olympic Games in Stockholm, Sweden. Between 1909 and 1916 Decoteau won nearly every track event in Alberta. In 1911 Decoteau was hired as a police officer by the City of Edmonton. As well as being the first Aboriginal person to hold such a post in Canada, Decoteau is said to have been the country’s first motorcycle policeman. By 1916, when he took leave from the police force to enlist in the Canadian Army, he had reached the rank of sergeant. He continued to run, even while stationed in England. After winning a one-mile race in Salisbury, England, Decoteau was presented with a gold pocket watch by King George V. The watch, taken from the King’s own waistcoat, was a last-minute replacement for a misplaced trophy. Decoteau would never see Canada again. He was hit by a sniper’s bullet and tragically died at the Battle of Passchendaele on October 30, 1917. The German who shot Decoteau stole the gold pocket watch. Days later, the sniper was killed by Decoteau’s fellow soldiers and the watch returned to Decoteau’s mother in Canada. Decoteau was buried at Ypres, northern France. In 1985 friends and relatives of the famed runner held a belated Cree burial service for Decoteau at his birthplace of Red Pheasant Reserve. Band council members, Aboriginal veterans and family members walked to a sacred burial ground where singers chanted a burial song to guide the spirit of the long-dead Decoteau home. With them was a ten-member honour guard from the Edmonton Police Service and Canadian Army personnel. Decoteau was inducted into the City of Edmonton Sports Hall of Fame in 1967, and the Alberta Sports Hall of Fame in 2001. Decoteau Trail, in the Aldergrove neighbourhood, is one of a number of trail names approved between 1969 and 1971.","53.605722","-113.493233","(53.605722, -113.493233)"
"Meyokumin Park","5811 19A Avenue","Park","1987","Please see Meyokumin.","53.448807","-113.428001","(53.448807, -113.428001)"
"Meyonohk Park","1840 Lakewood Road","Park","1972","Please see Meyonohk.","53.455304","-113.454963","(53.455304, -113.454963)"
"Dr. Anne Anderson Park","10515 162 Street","Park","1985","Anne Anderson (1906-1997) pioneered the teaching of the Cree language in western Canada. A Métis elder once described Anderson as “the heart of the [Métis] Nation.” In her long and active life, Anderson was a nurse, a teacher and the author of more than 90 books on Métis history and culture and the Cree language. Apart from her language tapes, Anderson was probably best known for her Cree dictionary. She also researched and documented traditional herbal remedies.  Anderson was one of ten children born to Elizabeth “Betsy” Callihou and William Joseph Gairdner on the river lot they farmed east of St. Albert. Her parents were of Cree, French and Scottish descent. Anderson attended school to Grade 10 and then worked on the family farm. After marrying and having two children, she moved to Edmonton in the mid-1940s and became a nurses’ aide.  After 15 years of nursing, Anderson began what was to be her most important work – the preservation of the Cree language. Recalling the dying words of her convent-raised mother, Anderson set out to record and teach the Cree language. She founded Cree Productions, which published Cree dictionaries and instructional materials. She also served on the Alberta Cultural Heritage Council. She initiated Cree classes at schools and centres across Canada and lectured at the University of Alberta, Grant MacEwan Community College, Fairview College, the Charles Camsell Hospital and Fort Saskatchewan Correctional Facility.  Anderson received the Native Council of Canada Award, an honorary Doctorate of Laws from the University of Alberta and the Order of Canada. Among her many books were The First Métis…A New Nation which documented the history of the Métis in Alberta. Anderson died at the age of 91. The Dr. Anne Anderson Park is in the Britannia neighbourhood and has an area of 0.07 hectares. The park features a bronze sculpture of a buffalo.","53.549028","-113.600113","(53.549028, -113.600113)"
"Namo","Mill Woods Road South north to 23 Avenue, 66 Street west to Mill Woods Road","Neighbourhood","1972","This neighbourhood is in the Knottwood subdivision of the Mill Woods area. Ekota is a Cree word meaning “special place”.","53.449625","-113.444588","(53.449625, -113.444588)"
"Ekota Crescent","West of 66 Street, north of Mill Woods Road, south of 17 Avenue","Road","1973","Please see Ekota","53.447286","-113.437378","(53.447286, -113.437378)"
"Ekota Park","1415 Knottwood Road North","Park","1983","Please see Ekota","53.450097","-113.442078","(53.450097, -113.442078)"
"Ermineskin","23 Avenue to 30 Avenue, Calgary Trail west to 111 Street","Neighbourhood","1975","Chief Ermineskin of Hobbema was the Cree chief who headed the group located in the Ermineskin Indian Reserve No. 138, established in the 1880s, just south of Wetaskiwin at Bear Hills. The members of the group were among those who signed Treaty No. 6. This neighbourhood follows the Aboriginal naming theme of the Kaskitayo area in which it is located.","53.457087","-113.511193","(53.457087, -113.511193)"
"Ermineskin","23 Avenue to 34 Avenue, Calgary Trail west to 111 Avenue","Subdivision","1975","Please see Ermineskin","53.455336","-113.505914","(53.455336, -113.505914)"
"Ermineskin Park","10704 25 Avenue","Park","1990","Please see Ermineskin","53.459719","-113.50379","(53.459719, -113.50379)"
"Ermineskin Trail","From 178 Street to 184 Street north of 89 Avenue","Walkway","1971","Please see Ermineskin","53.642017","-113.497846","(53.642017, -113.497846)"
"Fort Hill","106A Street north of 87 Avenue","Road","1973","This road was previously known as Old Fort Hill Road and may have originated at the turn of the nineteenth century, when Aboriginal people travelled down the south bank of the North Saskatchewan River to cross the river and trade at Fort Edmonton. In 1875, John Walter built a house directly across the river from where Fort Edmonton then stood. This road ran through his property and led to the ferry he operated, transporting passengers and cargo across the river.","53.525131","-113.50688","(53.525131, -113.50688)"
"Fort Road","115 Avenue and 86 Street northeast to 227 Avenue NE and 17 Street NE","Road","1962","The original Fort Road was little more than a dirt track. It was part of the fur trade trail system stretching east to Lower Fort Garry (Winnipeg). Known as the Carlton Trail after Fort Carlton, located midway along the route, it was established in the mid-1800s. By the 1880s, Fort Road had gained importance as the trail connecting the booming communities of Fort Saskatchewan and Fort Edmonton. The journey was considered a difficult one, with lengthy diversions to avoid swamps and other hazards. In 1883, a resting place for weary travellers, known as the Halfway House, was built northeast of Fort Edmonton. Fort Road was a crucial link between the two forts and traffic was heavy: on just one morning in 1905, 175 teams were said to be on the trail. The route was gravelled in 1926 and oiled in 1930. It has also been known as Fort Saskatchewan Road, Fort Saskatchewan Trail and Fort Trail. Fort Road, as it is now known, originally wound its way from Jasper Avenue through northeast Edmonton to Fort Saskatchewan. One of the earliest published references to its existence is an 1884 report in the Edmonton Bulletin newspaper in which the roadway was referred to as the “old” Fort Saskatchewan Trail. Fort Saskatchewan is located about 35 kilometres northeast of Edmonton. The North West Mounted Police established Fort Saskatchewan in 1875, making it the force’s second post (the first was Fort Macleod) and the first in the region. When the national transcontinental railway was first surveyed in the 1870s, a more northerly route was being considered. For a time it was thought that Fort Saskatchewan would become the major centre in the vicinity, much to the displeasure of Fort Edmonton. In an attempt to ensure Canadian sovereignty north of the 49th Parallel, another path was chosen, and in 1883 the Canadian Pacific Railway’s route took it through Calgary to the south. Fort Saskatchewan became a town in 1904 and a city in 1985.","53.583156","-113.447614","(53.583156, -113.447614)"
"Garneau","Whyte Avenue and University Avenue north to Saskatchewan Drive, 107 Street to 112 Street","Neighbourhood",,"Laurent Garneau (1840-1921) was of Métis descent and is believed to have been born in Michigan. He later moved to the Red River Colony in Manitoba, and in 1869 took part in the Red River uprising under Louis Riel, which led to the formation of Manitoba in 1870. By 1874 he had moved west to Fort Edmonton and by 1883 had been granted River Lot 7 in the Edmonton Settlement, on the south side of the North Saskatchewan River. He was active in local affairs and politics. After 1901, Garneau moved to St. Paul. His property, known as “The Garneau,” became part of the Town of Strathcona, and later, in 1912, part of Edmonton. The part of Garneau south of Whyte Avenue was part of a subdivision formerly known as Strathcona Place.","53.520257","-113.516793","(53.520257, -113.516793)"
"Garneau Park","10943 84 Avenue","Park","1984","Please see Garneau","53.519645","-113.512974","(53.519645, -113.512974)"
"Maskepetoon Park","10915 29A Avenue","Park","1983","Chief Maskepetoon (c. 1810-1869) of the Cree nation tried to win peace with the Blackfoot nation by entering into a pact to end warfare between the two peoples. In about 1850 a peace treaty was concluded between the Cree and Blackfoot. A number of parks and neighbourhoods in this area are named for Aboriginal leaders. The Maskepetoon Park is in the Ermineskin neighbourhood and has an area of 0.6 hectares.","53.460805","-113.513483","(53.460805, -113.513483)"
"Wakina Drive","Connecting with Wanyandi Road, south of Wolf Willow Road","Road","1977","Wakina is a variation of the Cree word meaning “to bend.” Wakina Drive is a scenic roadway that curves along the Wolf Willow Ravine.","53.502119","-113.607752","(53.502119, -113.607752)"
"Hudson’s Bay Reserve","North Saskatchewan River north to 118 Avenue, 97 Street to 121 Street [gone]","Subdivision",,"In 1870 the Hudson’s Bay Company (HBC) sold Rupert’s Land to the Dominion of Canada. For 200 years the company had been absolute lords and proprietors of the vast territory. A deed of surrender, under which the HBC agreed to relinquish its claim to Rupert’s Land, was negotiated between the government of Canada and the HBC in 1869. The terms of this agreement allowed the HBC to retain parcels of land around each of its posts. These lands became known as Hudson’s Bay Reserves. The HBC claimed 3000 acres (1,214 hectares) surrounding Fort Edmonton. The property was bounded by present-day 101 Street in the east, 121 Street on the west, 118 Avenue on the north and the North Saskatchewan River to the south. In addition to land, the HBC received £300,000, and title to one-twentieth of all farmland within the territory, some 2.8 million hectares of land in all. The Hudson’s Bay Reserve was eventually sold to settlers, the first lots being put up for sale by the HBC as early as 1883. On May 13, 1912, the company sold the remainder of its substantial Edmonton properties by public lottery. Despite attempts to keep the location secret, more than 2,000 people lined up for the sale; the HBC received $3.4 million from the sale of some 1,500 lots. The excitement surrounding the release of the Hudson’s Bay Reserve lots marked the peak of the land boom. A year later the overheated land market crashed; the recession that followed lasted until the mid-1920s.","53.547448","-113.500013","(53.547448, -113.500013)"
"Kainai Park","11714 32A Avenue","Park","1982","Names in the Kaskitayo area are in honour of Aboriginal culture. Kainai is a Blackfoot word meaning “many chiefs.” The Kainai Chieftainship is bestowed by the Blood (of the Blackfoot Nation) upon distinguished persons in recognition of their work with Aboriginal people. This honour may be held by only 40 living persons at a time. Edward, the Prince of Wales, was the first to receive the Kainai Chieftainship in 1919, and Charles, the present Prince of Wales, has also been honoured and bears the name of Chief Red Crow. The Kainai Park is in the Sweet Grass neighbourhood and has an area of 0.39 hectares.","53.465228","-113.53684","(53.465228, -113.53684)"
"Kameyosek","28 Avenue to 34 Avenue, 66 Street west to Mill Woods Road","Neighbourhood","1972","Kameyosek is said to be the Cree word for “the beautiful.”","53.463257","-113.441455","(53.463257, -113.441455)"
"Kameyosek Park","260 Lakewood Road North","Park","1987","Please see Kameyosek","53.461111","-113.444395","(53.461111, -113.444395)"
"Kaskitayo","10 Avenue and Blackmud Creek north to 34 Avenue, Calgary Trail west to Whitemud Creek","Area","1970","Originally spelled “Kaskiteeo,” this name is derived from the Cree word, noted by J. B. Tyrrell in the 1870s as kas-ki-tee-oo-asiki, meaning “blackmud creek.” Subdivisions and neighbourhoods in this area have an Aboriginal naming theme.","53.453279","-113.514733","(53.453279, -113.514733)"
"Kaskitayo Park","1921 111 Street","Park","1980","Please see Kaskitayo","53.449344","-113.510206","(53.449344, -113.510206)"
"Keheewin","17 Avenue to 23 Avenue, Calgary Trail west to 111 Street","Neighbourhood","1978","Some of the neighbourhood names in the Kaskitayo area honour Aboriginal leaders. Keheewin was a Cree chief. His name means “Eagle.” Chief Keheewin signed the Treaty No. 6 in 1876. He died in 1887 at Onion Lake, Saskatchewan; the Kehewin First Nation, located south of Bonnyville, bears his name.","53.449152","-113.498597","(53.449152, -113.498597)"
"Keheewin Park","10710 19 Avenue","Park","2001","Please see Keheewin","53.449586","-113.503318","(53.449586, -113.503318)"
"Kennedale Creek/Hermitage","East end of city near 40 Street [gone]","Creek","1972","Kennedale Creek, also known as the 2nd Rat Creek, was one of the city’s longest streams. The sand and gravel deposits you see in the ravine today are ancient sediment beds that have been mined to build some of the city’s taller buildings. Archaeologists have discovered 14 prehistoric sites in the Hermitage Park/Kennedale Ravine Area. They are the remains of nomadic cultures that lived on the plains thousands of years ago. The bone fragments found here suggest the nomads came to this site to hunt bison and other animals. The ravine site was first settled in 1875 by Rev. Cannon William Newton, who was forced to build his church and hospital on this site because he could not get along with officials at Fort Edmonton, 14 kilometres to the west. The Anglican minister called it the Hermitage because of its remote location, and the name stuck. The lilac rows he planted can still be seen today. The demise of the creek came early on when the city set up its first municipal dump along the banks of the stream. Today, only a tiny section of the stream near the North Saskatchewan River still flows for part of the year.","53.584965","-113.371782","(53.584965, -113.371782)"
"Keyano Park","12963 119 Street","Park","1978","The Calder neighbourhood held a contest to name this park, choosing Keyano, which means “sharing” in Cree; proponents of the name gave the meaning as “Unity.” The community believed the name was appropriate for commemorating the Commonwealth Games being held in Edmonton in 1978. Keyano was also the name given to the games’ mascot, the Commonwealth Bear. The Keyano Park is in the Calder neighbourhood and has an area of 1.01 hectares.","53.589684","-113.52823","(53.589684, -113.52823)"
"Kikino Trail","From 77 Avenue to 87 Avenue at 117 Street","Walkway","1969","The name of this trail, a major walkway in the Thorncliff neighbourhood, reflects the theme of most of Edmonton’s walkways, which are named for prominent Aboriginal people or have a relationship with Aboriginal heritage. Kikino is said to be the Cree word for “our home.” Kikino Trail is one of a number of trail names approved between 1969 and 1971.","53.521623","-113.5325","(53.521623, -113.5325)"
"Kinokamau Lake","North of Yellowhead Trail, west of 170 Street, east of 184 Street","Lake","1958","This name has been in use since 1895. While its origin is not recorded, the name is taken from the Cree word kinokamâw, which means “a long lake.”","53.581525","-113.62509","(53.581525, -113.62509)"
"Menisa","10 Avenue north to Mill Woods Road, 66 Street to 80 Street","Neighbourhood","1972","Menisa is a form of the Cree word mînis for berry.
","53.444283","-113.452978","(53.444283, -113.452978)"
"Menisa Park","943 Knottwood Road South","Park","1984","Please see Menisa","53.443094","-113.446755","(53.443094, -113.446755)"
"Mill Woods","10 Avenue north to Whitemud Drive, 34 Street to 91 Street","Area","1970","Mill Creek flows through the northeastern corner of the area, which was once woodland. This area was originally part of the Papaschase Indian Reserve. Many of the neighbourhood names in the Mill Woods area are Cree in origin and reflect the area’s history.","53.461686","-113.434267","(53.461686, -113.434267)"
"Mill Woods Park ","23 Avenue to 28 Avenue, 66 Street west to Mill Woods Road","Neighbourhood","1980","Please see Mill Woods","53.456678","-113.441906","(53.456678, -113.441906)"
"Mill Woods Park ","7004 23 Avenue","Park","1980","Please see Mill Woods","53.455042","-113.438172","(53.455042, -113.438172)"
"Mill Woods Road ","East of 91 Street off 39 Avenue, south to Mill Woods Road South","Road","1973","Please see Mill Woods","53.466617","-113.450489","(53.466617, -113.450489)"
"Mill Woods Road East","East of 48A Street, south of 38 Avenue, intersecting with Mill Woods Road South at 16A Avenue","Road","1973","Please see Mill Woods","53.451311","-113.409419","(53.451311, -113.409419)"
"Mill Woods Road South","South of 17 Avenue, joining Mill Woods Road and Mill Woods Road East","Road","1973","Please see Mill Woods","53.451311","-113.409419","(53.451311, -113.409419)"
"Mill Woods Town Centre ","23 Avenue to 28 Avenue, 50 Street to 66 Street","Neighbourhood","1978","Please see Mill Woods","53.45494","-113.429289","(53.45494, -113.429289)"
"Mistatim Industrial","CN railway tracks north to city limits, 149 Street and St. Albert Trail west to CN railway tracks","Neighbourhood","1982","The literal translation of mistatim from the Cree language is “big dog,” but it means “horse.” From the 1870s, a lake in this area was called Horse Lake; the name was changed to Mistatim Lake in 1904. The name was officially rescinded in 1995 after the lake disappeared. A remnant of Mistatim Lake is now part of the Edcon Cement Plant.","53.591817","-113.581896","(53.591817, -113.581896)"
"Miwasin Park","12415 131A Avenue","Park","1978","The Cree word miwasin means “it is attractive” or “it looks very fine.” A neighbourhood naming contest chose the word, said by its supporters to mean “quiet place,” as the park name. Miwasin Park is in the Calder neighbourhood and has an area of 0.4 hectares.","53.59169","-113.537393","(53.59169, -113.537393)"
"Morin Industrial","Stony Plan Road north to 105 Avenue, 178 Street to 184 Street","Neighbourhood","1975","Alexis Morin (1870-1971) was chief of the Enoch Band Stony Plain Indian Reserve, in the Winterburn area, for 19 years and a band councillor for 25 years. Morin was born in Edmonton and was one of the first to move to the reserve near Winterburn.","53.545765","-113.635411","(53.545765, -113.635411)"
"Muchias Park","3524 25 Avenue","Park","1983","John “Henry” Collins Mathias (1853-1939) was born at Lac Ste. Anne and worked at Fort Edmonton as a water hauler. Of Métis descent, Collins was known by the nickname Muchias. “Muchias” may have been an incorrect rendering of his actual name, Mathias. In the 1870s he settled across the North Saskatchewan River from Fort Edmonton, and worked first for Richard Hardisty, Hudson’s Bay Company factor at Fort Edmonton. He later became a labourer and handyman for John Walter. Mathias, a dwarf, was a skilled archer and a strong swimmer.  His purpose-built house was across the road from the Walter home. The doors of Mathias’ house were only four feet high and the furniture was built in miniature to accommodate its owner’s small size. As reported in the original recommendation to the City Council for the naming of this park, Muchias’ “life was spent beside the river, and each day he brought several barrels of water on his stone-boat to the families living in the Fort Edmonton stockade….He was a powerful swimmer and was reputed for swimming the river when it was in full flood. In his spare time he watched the children play, and one day saved an Indian child from drowning.”  Mathias lived beside the North Saskatchewan River for more than 40 years. He died at the age of 86. His distinctive house was torn down in 1950. The Muchias Park is in the Bisset neighbourhood and has an area of 0.41 hectares","53.455732","-113.397081","(53.455732, -113.397081)"
