"name","description","feature","year","classification","latitude","longitude","location"
"Breckenridge Greens","Gavin Breckenridge Sr. (1870-1946) was a pioneer dairy farmer. News of the Klondike Gold Rush prompted the Ontario-born Breckenridge to travel west to join a group of gold seekers. He arrived in Edmonton in 1898 and found employment in a coal mine. Breckenridge soon discovered, however, that there was an urgent need for milk in the growing community and helped found Edmonton's first dairy farm.","Neighbourhood","1990","Commemorative (local)","53.5160728","-113.6847356","POINT (-113.6847356 53.5160728)"
"Springfield","This name is likely descriptive.","Subdivision","1969",,"53.5146244","-113.6224122","POINT (-113.6224122 53.5146244)"
"Zoie Gardner Park","Violet ""Zoie"" Gardner (1918-1998) cared for hundreds of homeless children, largely at her own expense, and was a member
of the Order of Canada. Gardner was born in Manchester, England, and came to Canada with her parents when she was only a year old. The family homesteaded near Grande Prairie and later moved to Edmonton, where her father worked as a janitor
at the legislative buildings. Gardner was the eldest of 11 children and left school after completing Grade 8 to work.

By the mid-1960s, Gardner was said to have a heart bigger than the 13-room house she called home in the Calder area of
north Edmonton. It was here that she shared her life with handicapped and hard-to-place foster children. In the early
years, Gardner supported herself and the children who lived with her by working as a dressmaker. At one point there were
24 children under her roof. Some stayed for only a few days while others remained with her for more than 20 years; the
average stay was ten years.

For her contribution to Edmonton’s children, Gardner was honoured as the Outstanding Citizen of 1961 by the Junior
Chamber of Commerce. In 1966 the welfare department paid Gardner two dollars a day for each child under her care. While
the sum was a marked increase from the sixteen cents a day she had received 25 years earlier, she told local media that
she was struggling to make her monthly mortgage payments. In the late 1960s the Edmonton Rotary Club took over the
mortgage and by the 1970s Gardner had taken on a second house.

In 1971 she received a citation from the Edmonton Foster Parents’ Association recognizing her 30 years as a foster
parent. Gardner, who loved opera, was also a long-serving volunteer for the Edmonton Opera Society, providing snacks for
performers during rehearsals. The American singer Harry Belafonte was said to always ask for Gardner when he visited
Edmonton.

Gardner died at the age of 80 in July of 1998, just three months after receiving the Order of Canada. The Zoie Gardner
Park is in the Balwin neighbourhood and has an area of 0.85 ha.","Park","1987",,"53.5854867","-113.4495297","POINT (-113.4495297 53.5854867)"
"Grand View Park","This park is in the Grandview Heights neighbourhood and has an area of 0.74 ha. See Grandview Heights neighbourhood.","Park","1984",,"53.4989727","-113.5455951","POINT (-113.5455951 53.4989727)"
"Riverdale Park","This park is in the unsubdivided portion of River Lot 18, in the Riverdale neighbourhood, and has an area of 2.62 ha. See Riverdale.","Park","1983",,"53.541449","-113.4721333","POINT (-113.4721333 53.541449)"
"Edmonton Grads Park","Dr. James Naismith (1861-1939), the Canadian-born inventor of basketball, said of the Edmonton Commercial Graduates
Basketball Club: “The Grads have the greatest team that ever stepped out ona basketball floor.” The players of the
legendary Grads were all alumnae of McDougall Commercial High School. In the 25-year career of the Grads, the team won
an unparalleled 502 of 522 games. These wins included 21 Western Canadian championships, and every Canadian championship
from 1922 to 1940. The Edmonton Grads disbanded in 1940, in part because the team’s gymnasium had been taken over by the
British Commonwealth Air Training Plan as part of the war effort.

On the international level, the team won so regularly that the international Underwood Trophy was given to them for
permanent possession in 1940. The Grads participated in four Olympic exhibition tournaments from 1924 to 1936, in Paris,
Amsterdam, Los Angeles and Berlin. The team won all 27 of its Olympic matches. Remarkably, only 38 women played with the
Grads throughout the team’s illustrious 25-year history. In addition to bringing Edmonton great fame and honour, the
Grads helped dispel the common belief that involvement in competitive sports was somehow dangerous or unhealthy for
young women.

The team’s coach was J. Percy Page (1887-1973), who came to McDougall Commercial High School as a teacher in 1912. Page
and his assistant, Bill Tate, devel- oped a farm system to hone the skills of promising basketball players. After the
Grads disbanded, Page ran successfully for the Alberta Legislative Assembly first as an Independent (1940, 1944), then
as a Conservative (1952, 1955). After being defeated in the 1959 election, Page was appointed lieutenant-governor of the
Province of Alberta, a post he held until 1966.

The 1987 film ""Shooting Stars: The Amazing Story of the Edmonton Grads"" was directed by the local filmmaker and
broadcaster Allan Stein. The Edmonton Grads Park is located in the Inglewood neighbourhood.","Park","1989",,"53.5557381","-113.5313788","POINT (-113.5313788 53.5557381)"
"Terra Losa","Vittorio ""Victor"" Losa (1905-1987) was born in Italy and came to Edmonton in the 1920s as a professional watchmaker. He ran a jewellery store and trained people in the art of watchmaking. In 1931, Losa was nominated as a Royal Consul by the Italian monarchy and helped Italian immigrants settle in Edmonton. He held this position until 1939. Losa retired from the jewellery business  in 1964.","Neighbourhood","1978",,"53.5350154","-113.6216337","POINT (-113.6216337 53.5350154)"
"Maple Ridge Industrial","This neighbourhood was named after the nearby Maple Ridge Mobile Home Park. The area was annexed to the City of Edmonton on January 1, 1982.","Neighbourhood","CU",,"53.4951599","-113.3518628","POINT (-113.3518628 53.4951599)"
"Mill Creek Ravine","See Mill Creek.","Ravine","CU",,"53.5141815","-113.4715152","POINT (-113.4715152 53.5141815)"
"Earl Samis Park","Earl L. Samis (1895-1970) supported the development of Edmonton's sports programs for more than 40 years. Samis was born near Edmonton and was a school teacher before joining the civil service. His contribution to sports began in 1918 when he became involved with the Edmonton Eskimos, the Canadian Football League team. For his outstanding contributions to hockey, soccer, baseball and football, Samis was inducted into the City of Edmonton Sports Hall of Fame in 1963. He was also honoured by the Edmonton Sportswriters and Sportscasters Association as Edmonton Sportsman of the Year in 1967, and received awards from the National Recreation Association and the Canadian Amateur Hockey Association. The Earl Samis Park is in the Capilano neighbourhood and has an area of 1.23 ha.","Park","1982",,"53.544389","-113.4909267","POINT (-113.4909267 53.544389)"
"Hughes Road","Katherine Hughes (1877-1925) was Alberta's first provincial archivist. Hughes was born in Prince Edward Island and came to Edmonton in the early 1900s. Starting in 1906, she worked as a journalist at the Edmonton Bulletin. She was appointed provincial archivist in 1908. Hughes was the author of several books, including Father Lacombe: The Black-Robe Voyageur.","Road","1975",,"53.5804289","-113.3913346","POINT (-113.3913346 53.5804289)"
"Potter Greens Drive","See Potter Greens.","Road","1990",,"53.5189716","-113.6672344","POINT (-113.6672344 53.5189716)"
"Coronation Park","The City bought this land in 1906, but it lay undeveloped for many years. Initially called Westmount Park, or West End City Park, the name was changed in 1953 to mark the coronation of Queen Elizabeth II. An elm tree was planted in the 35.41-ha. Woodcroft neighbourhood park to mark its official naming and dedication.","Park","1953",,"53.5619739","-113.561112","POINT (-113.561112 53.5619739)"
"Meadowlark Park","This neighbourhood was once part of the Town of Jasper Place, which was annexed to the City of Edmonton in 1964. Development of the Meadowlark Park neighbourhood began in the late 1950s. The western meadowlark is common to central and southern Alberta during the summertime. The bird's distinctive song has been called ""the voice of Alberta's grasslands.","Neighbourhood","CU",,"53.5254775","-113.5987217","POINT (-113.5987217 53.5254775)"
"W.E. Werner Park","William E. Werner (1877-1964) was an alderman and life-time member of the South Side Businessmen's Association. Ontario-born Werner was the brother of pioneer hardware merchant J.A. Werner and came to Edmonton in 1913. He established Werner's Hardware on the south side, which he ran until his retirement in 1945. Werner served as an alderman in 1925 and 1926 and was a president of the South Side Businessmen's Association and a life-time member of the Masonic Order. The W.E. Werner Park is directly east of J.A. Werner Park in the Greenfield neighbourhood and has an area of 0.66 ha.","Park","1984",,"53.4681557","-113.5260796","POINT (-113.5260796 53.4681557)"
"Hagmann Estate Industrial","This neighbourhood is part of the land that was farmed by John Hagmann at the turn of the 20th century. In 1898, John Hagmann, a real estate businessman, bought 145 acres (58.7 ha.) from the Hudson's Bay Company for $10 an acre. In 1912, he sold his property for the remarkable sum of $850,000. With the collapse of the speculative land boom in 1913, however, it is unlikely that Hagmann ever received the total amount. The west corner of the Hagmann estate was leased by the Edmonton Airplane Company; the Edmonton City Centre Airport is now situated on this tract of land.","Neighbourhood","CU",,"53.5818238","-113.5449233","POINT (-113.5449233 53.5818238)"
"Grandisle Road","Grandisle Road was originally named River Valley Street. See Grandisle Point.","Road","1982",,"53.4370642","-113.6570554","POINT (-113.6570554 53.4370642)"
"Richards Crescent","W. Clarence Richards (1897-1963) was a teacher at the Victoria Composite High School for 35 years. He was born in Ontario and moved to Alberta before WWI. After serving in the war, Richards founded the Edmonton Kinsmen Club in 1920. He graduated from the University of Alberta and joined the teaching staff at Victoria Composite High School in 1926. Richards established night school classes and correspondence courses and published teacher support materials. In 1951, he was named Citizen of the Year by the Junior Chamber of Commerce. Richards retired in 1961.","Road","1979",,"53.4761802","-113.5885823","POINT (-113.5885823 53.4761802)"
"Ogilvie Ridge","James H. Ogilvie (1893-1977) was a WWI veteran, politician and, for 57 years, an Edmonton lawyer. Born in Nova Scotia, he came to Alberta in 1914 and enrolled at the University of Alberta that same year. After interrupting his studies to serve in the war, he was called to the bar in 1920. Ogilvie served as an alderman from 1932 to 1948, ran for mayor in 1934 and acted as deputy mayor in 1939. In 1947 he was appointed King's Counsel.","Neighbourhood","1979",,"53.4636183","-113.565867","POINT (-113.565867 53.4636183)"
"Gordon Drynan Park","Gordon Drynan (1901-1982) was a dedicated volunteer who worked in support of physically handicapped children. Born in Ontario, Drynan moved to Alberta and began working with Canadian National Railways in 1919. He joined the Shriners in 1949, becoming the charity organization's transportation coordinator. Drynan provided transport to train stations, bus depots and airports for thousands of children from Alberta and British Columbia en route to and from treatment at the Shriners' Hospital for Crippled Children in Winnipeg. In 1974 the Edmonton Junior Chamber of Commerce recognized his contributions by naming him the Citizen of the Year. The Gordon Drynan Park is in the Britannia Youngstown neighbourhood and has an area of 1.21 ha.","Park","1985",,"53.5458693","-113.6099738","POINT (-113.6099738 53.5458693)"
"Clareview Road","This winding road was named for the Clareview subdivision in which it is located. See Clareview.","Road","1976",,"53.5913247","-113.3831538","POINT (-113.3831538 53.5913247)"
"Nellie McClung Park","Nellie McClung (1873-1951) was a temperance reformer, suffragist, author and legislator. Born in Ontario and raised in Manitoba, McClung became a school teacher. In 1908 she published Sowing Seeds in Danny, the first of her 16 books. McClung moved to Edmonton in 1914 and was a lifelong activist for suffrage, prohibition and other legal reforms. She served as an MLA from 1921 to 1926. She was also a member of the ""Famous five,"" the group that campaigned for the right of women to sit in the Canadian Senate. This landmark case was won before the Privy Council of England in 1929. The Nellie McClung Park is located north of the Strathcona neighbourhood and has an area of  9.26 ha.","Park","1991",,"53.5276673","-113.4885188","POINT (-113.4885188 53.5276673)"
"A.J. Cressey Place","A.J. ""Jack"" Cressey (1928-1994) was a prominent member of the Edmonton business community and served as chairman of the Edmonton Chamber of Commerce in 1990. Born in Saskatchewan, he served in the Royal Canadian Navy and graduated from university before moving to Edmonton. Cressey became a dynamic, high-profile member of the oil industry, working in Alberta and around the world constructing oil pipelines. He was chairman of Edmonton Power from 1992 until his death.","Road","1994","Commemorative (local business man)","53.544389","-113.4909267","POINT (-113.4909267 53.544389)"
"Silver Heights Park","This park is in the Strathearn neighbourhood and has an area of 1.03 ha. In the early 1900s this neighbourhood was known as Silver Heights. The origin of the name Silver Heights is not recorded.","Park","1984",,"53.5324108","-113.4648084","POINT (-113.4648084 53.5324108)"
"Lambert Court","Federal politician Marcel Lambert (1919-2000) served in WWII and was taken prisoner by German forces at Dieppe. After Lambert's tank broke down during the assault on the beaches of Dieppe, he and his crew were captured by German troops and spent the next three years as prisoners of war. After the war, Lambert, a Rhodes scholar, went on to have a successful political career. He served as member of parliament for Edmonton-West from 1957 to 1984, as Speaker of the House from 1962 to 1963, as minister for veterans affairs in 1963 and was named to the National Transportation Agency in 1985.","Road","1999",,"53.454777","-113.571049","POINT (-113.571049 53.454777)"
"Hector Place","Sir James Hector (1834-1907) was a surgeon and geologist with the famed Palliser Expedition, the scientific exploration of the Rocky Mountains and prairies that set out in 1857. On the expedition, Hector's horse kicked him and rendered him unconscious for several hours; Kicking Horse Pass, 60 km northwest of Banff, is named for this incident. During the expedition, Hector stopped several times at Fort Edmonton. After completing his expedition service in 1860, Hector was appointed geologist to the New Zealand government in 1865. He retired in 1903.","Road","1974",,"53.456756","-113.602568","POINT (-113.602568 53.456756)"
"Jefferys Crescent","Charles W. Jefferys (1869-1951) was a talented painter, lithographer and illustrator. Born in England, he moved to Ontario with his parents in 1879. Before beginning his career as an illustrator, Jefferys apprenticed with a lithographer and worked for the New York Herald. He painted and drew illustrations depicting Canadian history, including early explorers and pioneers. In addition to lecturing, teaching and writing, Jefferys received commissions to paint murals and to design a medal and a stamp.","Road","1980",,"53.4859247","-113.4123505","POINT (-113.4123505 53.4859247)"
"Twin Brooks Drive","See Twin Brooks.","Road","1990",,"53.444087","-113.523301","POINT (-113.523301 53.444087)"
"Beverly Bridge","Named for its proximity to what was once the Town of Beverly, this bridge was opened in 1972, and handles eastbound traffic on the Yellowhead Trail. Adjacent to it are two other bridges: the railway bridge, which was built in 1907 by the Grand Trunk Pacific Railway, and the Clover Bar Bridge, which handles westbound traffic. See Beverly.","Bridge","1972","Commemorative (Railway Station)","53.544389","-113.4909267","POINT (-113.4909267 53.544389)"
"Robertson Close","Kenneth Robertson (1915-1992) was an active member of Edmonton's volunteer community for more than 45 years. From 1963 until 1992, he was vice-president of the Edmonton Opera company. In addition, he served on the board of EFFORT, an organization dedicated to supporting the arts in Edmonton, and on the Winspear Foundation, which contributed to such causes as a hot lunch program for underprivileged children and to providing inner city housing. For 30 years, Robertson was an employee of Edmonton Motors, retiring as general manager.","Road","2001",,"53.4208618","-113.5293569","POINT (-113.5293569 53.4208618)"
"Star Blanket Park","Chief Ahchacoosahcootakoopit ""Star Blanket""  (b. 1840) was a member of the file Hills Crees, who lived northeast of Fort Qu'Appelle in the District of Saskatchewan. Star Blanket fought many battles with the Blackfoot and the Sioux and eventually became a chief. He reluctantly signed Treaty No. 4 at Fort Qu'Appelle on September 15, 1874, but refused to be confined on a reserve. In an attempt to retain his freedom, he and his followers made their way west to the Cypress Hills where they continued to live a traditional lifestyle. After four years, however, the dwindling supply of buffalo forced Star Blanket and his people to move on to the file Hills Reserve. To his dismay, reserve life provided little comfort and his people were still hungry. Although sympathetic with the Riel uprising, Chief Star Blanket was determined to honour the peace agreement. He confronted Maj.-Gen. Middleton at Duck Lake and was assured that no harm would come to his people if they remained on the reserve. However, shortly after, a report to the contrary prompted Star Blanket and his band to set out for Fort Qu'Appelle, unaware that they were heading straight into the line of fire of Middleton's Canadian militia troops. In order to avoid a slaughter, the North West Mounted Police were requested to intervene, at which time they arrested Star Blanket and jailed him at Regina. He was released two weeks later. The Star Blanket Park is in the Bisset neighbourhood and has an area of 2.13 ha.","Park","1983",,"53.4575277","-113.4007625","POINT (-113.4007625 53.4575277)"
"Frank and Etta Wild Park","North Dakota-born Frank (1881-1944) and Etta (1892-1971) Wild were early settlers in the area now known as Winterburn Industrial. The Wilds, married in 1914, came to Alberta and settled their land in 1915. The Frank and Etta Wild Park is in the Terra Losa neighbourhood and has an area of 5.4 ha.","Park","1996",,"53.544389","-113.4909267","POINT (-113.4909267 53.544389)"
"Ormsby Wynd","See Ormsby Place.","Road","1986",,"53.5025318","-113.6538107","POINT (-113.6538107 53.5025318)"
"Butterworth Way","See Butterworth Drive.","Road","1986","Commemorative (local)","53.4814796","-113.5621696","POINT (-113.5621696 53.4814796)"
"Strathcona Industrial Park","See Strathcona.","Neighbourhood","1973",,"53.4753459","-113.4751706","POINT (-113.4751706 53.4753459)"
"Haliburton Crescent","See Haliburton Close.","Road","1999",,"53.456764","-113.59974","POINT (-113.59974 53.456764)"
"Saskatchewan Drive","Saskatchewan Drive follows the top of the south bank of the North Saskatchewan River and has existed since Strathcona (South Edmonton) was first developed. From the turn of the 20th century, the road was known as Saskatchewan Avenue. Between 1914 and 1915, however, the name was changed to Saskatchewan Drive.","Road","CU",,"53.5238741","-113.5116005","POINT (-113.5116005 53.5238741)"
"High Level Bridge","The High Level Bridge was designed by P.M. Motley, a bridge engineer for the Canadian Pacific Railway, and constructed between 1910 and 1913 at a cost of $2 million. The 8,000-ton steel bridge, held together by 1.4 million rivets, was the first in Canada to carry four different modes of traffic-rail, streetcar, automobile and pedestrian. The first passenger train, seven cars long with 200 passengers, crossed the bridge from Strathcona to Edmonton on June 2, 1913. The High Level Bridge is approximately 0.8 km long and stands 46.3 metres above the mean river level. The construction of the High Level Bridge was a significant engineering achievement for the time and remains a distinctive city landmark. For Alberta's 75th anniversary in 1980, local artist Peter Lewis created the Great Divide Waterfall, which cascades off the bridge's upper deck on special occasions during the summer months, including Canada Day on July 1.","Bridge","CU",,"53.5264802","-113.5043994","POINT (-113.5043994 53.5264802)"
"Kulawy Drive Point","See Kulawy Drive North.","Road","1991",,"53.4748023","-113.408878","POINT (-113.408878 53.4748023)"
"Parsons Industrial","Sidney Parsons (1893-1955) was a WWI veteran and the mayor of Edmonton from 1950 to 1951. He was born in England and moved to New Jersey in the early 1900s. Parsons came to Edmonton in 1910 and worked as a bricklayer and contractor before serving as an alderman from 1937 to 1949.","Neighbourhood","1973",,"53.4576128","-113.4779121","POINT (-113.4779121 53.4576128)"
"William Hawrelak Park","William Hawrelak (1915-1975) was born in Wasel, Alberta, and moved to Edmonton in 1945. He served as mayor from 1951 to 1959, 1963 to 1965 and was re-elected in 1974. Hawrelak resigned in 1959 due to a provincial inquiry into land sales in which he was involved. The City sued Hawrelak for $266,000; he settled out of court, paying only $100,000 and his legal fees. The citizens re-elected him as mayor in 1963 but just two years later he was forced, once again, to resign after a Supreme Court of Alberta ruling on some of his real estate holdings and transactions. Hawrelak was a 40 per cent owner of SunAlta Builders Ltd., and the transaction to sell land to the City of Edmonton was completed while he was in office. The City sued Hawrelak in a civil suit for $80,117. The Supreme Court of Canada, however, upheld an appeal filed by the mayor in March 1975. He was elected mayor for the final time in 1974 and died from a heart attack the following year. He was given a civic funeral, including a lying-in-state period in the City Council chambers. More than 10,000 people paid their respects to the late mayor who, despite his legal problems, had remained popular with Edmontonians. In 1976 Mayfair Park was renamed in Hawrelak's honour. As mayor, he had campaigned for funding to develop what had been a gravel pit south of the Mayfair Golf Course into a park. William Hawrelak Park is located west of the Windsor Park neighbourhood, on the south side of the North Saskatchewan River, west of Groat Road, and has an area of 58.52 ha.","Park","1976",,"53.5280704","-113.5481126","POINT (-113.5481126 53.5280704)"
"Blue Quill","This subdivision was named in honour of Cree Chief Blue Quill of Saddle Lake Indian Reserve, which was established in 1889. Chief Blue Quill traded in Edmonton in the late 1890s. Blue Quill subdivision was named first, followed by the neighbourhood later in 1974.","Subdivision","1974","Commemorative (local)","53.4573777","-113.5271719","POINT (-113.5271719 53.4573777)"
"John G. Niddrie Park","John G. Niddrie (1887-1972) was a teacher and principal for more than 50 years. He was born in Manitoba and moved to Alberta as a child in 1889. His family helped to build the first school in Eagle Valley, Alberta: Niddrie would later teach at this very school. In 1917 he began teaching in Edmonton and in 1921 graduated from the University of Alberta. The John G. Niddrie Park is in the Westmount neighbourhood and has an area of 0.06 ha.","Park","1988",,"53.558802","-113.5415185","POINT (-113.5415185 53.558802)"
"Jones Crescent","This road may have been named after either Maria Anne Jones, who came to Edmonton in 1910, or Douglas Bonnell Jones, who arrived here a decade later. English-born Maria Anne Jones (d. 1960) lived in Edmonton for 50 years and, with her husband, ran the James and Jones' fish Market. She continued to work at the market after her husband's death in 1925 and did not retire until 1956. Douglas Bonnell Jones was born in Nova Scotia in 1898 and came to Edmonton in 1920, where he attended the University of Alberta. Upon graduating, Jones went to work for the Hayward Lumber Company, where he soon became superintendent. Jones left the company in 1931 and established the Western Canada Subscription Agencies and Western Canada News (also known as the Palace of Sweets).","Road","CU",,"53.4862099","-113.4066022","POINT (-113.4066022 53.4862099)"
"Kiniski Gardens","Polish-born Julia Kiniski (1899-1969) was a colourful and determined Edmonton politician who was credited with breathing
new life into Edmonton civic politics. After ten failed attempts, Kiniski was elected as an alderwoman in October 1963.
She was only the third woman to win a seat on City Council. As president of the Civic Rights Protective Association,
Kiniski campaigned against wasteful city spending during the two-decade-long domination of municipal affairs by
politicians connected to the Civil Government Association.

Kiniski emigrated from Poland to Chipman, Alberta, with her family in 1912 and married at the age of 16. She left school
after completing Grade 7; as an adult, she attended extension courses in psychology and philosophy at the University of
Alberta. She and her husband moved to Edmonton in 1936.

Between 1945 and 1962, in the course of her ten unsuccessful runs for office, “Big Julie,’ as she was known, became an
accomplished, albeit unconventional, speaker. Her 1963 victory was said to have reinvigorated public interest in City
Council. While Kiniski’s outspoken criticism of city spending did not make her popular with civic administrators, her
defence of the “little people” captured the public’s imagination. A local radio personality, Jerry Forbes, recorded a
song about her set to the tune of “Hello Dolly.” By 1968, in her last election, Kiniski had so greatly increased her
share of the votes that she led all other candidates by a clear margin.

After her election in 1963 she was re-elected three times (1964, 1966, 1968) and served until her death from a heart
attack in 1969 at the age of 70. Kiniski was the mother of six children, including the professional wrestler Gene
Kiniski. During the late 1910s, the southern portion of Kiniski Gardens was known as Edmonton Market Gardens.","Neighbourhood","1976",,"53.4748427","-113.4017258","POINT (-113.4017258 53.4748427)"
"Twin Brooks Bend","See Twin Brooks.","Road","1990",,"53.4490721","-113.5340913","POINT (-113.5340913 53.4490721)"
"Castle Downs","Castle Downs was the developer's second choice of name for this area. The original choice, Athabasca Downs, was rejected by the City. Subdivisions and neighbourhoods, as well as many parks and roads in the Castle Downs area are named for famous castles. The original northern limit of Castle Downs was 174 Avenue. In 1977 the Castle Downs Extension area was created, extending the northern boundary to the proposed outer ring road. In 1982, the Extension area became part of Castle Downs.","Area","1971","Commemorative (After the Castle Downs area of Cornwall, Englad)?","53.6141653","-113.5166046","POINT (-113.5166046 53.6141653)"
"Danbury Boulevard","Danbury Boulevard is named after the small town of Danbury in the County of Essex in southeastern England. Names in the Donsdale neighbourhood conform to the theme of celebrating Edmonton's connection with Britain.","Road","1997",,"53.4878853","-113.6318269","POINT (-113.6318269 53.4878853)"
"Reeves Crest","English-born Gladys Reeves (1891-1974) was an early Edmonton photographer. She arrived in Edmonton in 1904 and within a year had begun working for the prominent photographer Ernest Brown. Between 1920 and 1950, she ran her own photographic studio. Reeves and Brown were responsible for taking many of the photographs of early Edmonton and its pioneers. She was the first woman to be appointed as the president of the Edmonton Horticultural Society.","Road","1988",,"53.4742099","-113.5878343","POINT (-113.5878343 53.4742099)"
