"branchid","name","roomname","capacity","rates","afterhours","additionalinfo","contactphone","postal_code","location_1"
"EPLMEA","Meadows Branch","Program Room","20","$15/half day $30/full day (not for profit organization)$100/half day $175/full day (for profit organization)","N","http://www.epl.ca/room-rentals/","780-442-7472","T6T 0X1","2704-17 Street
,  
(53.467536, -113.36887)"
"EPLMLW","Mill Woods Branch","Program Room","50 theatre style or 25 conference style","$15/half day $30/full day (not for profit organization)$100/half day $175/full day (for profit organization)","N","http://www.epl.ca/room-rentals/","780-496-1821","T6K 4B5","601 Mill Woods Town Centre, 2331 - 66 Street
,  
(53.4554447, -113.4343797)"
"EPLMNA","Stanley A. Milner Library (Downtown)","Centennial Room","60 theatre style","$15/half day $30/full day (not for profit organization)$250/half day $450/full day (for profit organization)","Y","http://www.epl.ca/room-rentals/","780-496-7080","T5J 2V4","7 Sir Winston Churchill Square
,  
(53.543202, -113.489606)"
"EPLMNA","Stanley A. Milner Library (Downtown)","Edmonton Room","150 theatre style","$35/half day $70/full day (not for profit organization)$350/half day $700/full day (for profit organization)","Y","http://www.epl.ca/room-rentals/","780-496-7080","T5J 2V4","7 Sir Winston Churchill Square
,  
(53.543202, -113.489606)"
"EPLMNA","Stanley A. Milner Library (Downtown)","Library Theatre","247 theatre seats","$70/half day $140/full day (not for profit organization)$400/half day $800/full day (for profit organization)","Y","http://www.epl.ca/room-rentals/","780-496-7080","T5J 2V4","7 Sir Winston Churchill Square
,  
(53.543202, -113.489606)"
"EPLMNA","Stanley A. Milner Library (Downtown)","Room No. 7 - 6th Floor","60 theatre style","$15/half day $30/full day (not for profit organization)$250/half day $450/full day (for profit organization)","Y","http://www.epl.ca/room-rentals/","780-496-7080","T5J 2V4","7 Sir Winston Churchill Square
,  
(53.543202, -113.489606)"
"EPLRIV","Riverbend Branch","Program Room","40 theatre style","$15/half day $30/full day (not for profit organization)$100/half day $175/full day (for profit organization)","N","http://www.epl.ca/room-rentals/","780-944-5311","T6R 2X2","460 Riverbend Square, Rabbit Hill Road & Terwillegar Drive
,  
(53.4683942, -113.5837689)"
"EPLSPW","Sprucewood Branch","Program Room","30 theatre style or 24 conference style","$15/half day $30/full day (not for profit organization)$250/half day $450/full day (for profit organization)","N","http://www.epl.ca/room-rentals/","780-496-7043","T5G 1L5","11555 - 95 Street
,  
(53.5666547, -113.4871741)"
"EPLSTR","Strathcona Branch","Program Room","70","$15/half day $30/full day (not for profit organization)$250/half day $450/full day (for profit organization)","N","http://www.epl.ca/room-rentals/","780-496-1828","T6E 4E9","8331 - 104 Street
,  
(53.5194554, -113.4974797)"
"EPLSTR","Strathcona Branch","Meeting Room","8","$15/half day $30/full day (not for profit organization)$100/half day $175/full day (for profit organization)","N","http://www.epl.ca/room-rentals/","780-496-1828","T6E 4E9","8331 - 104 Street
,  
(53.5194554, -113.4974797)"
"EPLWMC","Whitemud Crossing Branch","Meeting Room","120 theatre style","$15/half day $30/full day (not for profit organization)$100/half day $175/full day (for profit organization)","N","http://www.epl.ca/room-rentals/","780-496-3592","T6J 6L7","145 Whitemud Crossing Shopping Centre, 4211 - 106 Street
,  
(53.4794861, -113.5041223)"
"EPLWOO","Woodcroft Branch","Program Room","40 theatre style","$15/half day $30/full day (not for profit organization)$100/half day $175/full day (for profit organization)","N","http://www.epl.ca/room-rentals/","780-496-6891","T5M 2Y5","13420 - 114 Avenue
,  
(53.5637555, -113.5538643)"
