"building_number","public_asset_name","address","known_asbestos","asbestos_management_plan_in_place","latitude","longitude","location","geometry_point"
"799","Rundle Park - Paddleboat Building","2903 - 113 Avenue NW","No","Yes","53.5662584","-113.3871508","
,  
(53.5662584, -113.3871508)","POINT (-113.3871508 53.5662584)"
"875","Edmonton Valley Zoo #37 - Elephant Shelter","13315 - Buena Vista Road NW","No","Yes","53.5109217","-113.5564743","
,  
(53.5109217, -113.5564743)","POINT (-113.5564743 53.5109217)"
"73","Davies - Municipal Fleet Maintenance Garage","8733-58 Avenue NW","Yes","Yes","53.493316","-113.460177","
,  
(53.493316, -113.460177)","POINT (-113.460177 53.493316)"
"362","Beechmount Cemetery Maintenance Building","12420 - 104 Street NW","No","Yes","53.5801302","-113.4991063","
,  
(53.5801302, -113.4991063)","POINT (-113.4991063 53.5801302)"
"435","Davies - Modular Office","8725 - 58 Avenue NW","No","Yes","53.4922488","-113.4586412","
,  
(53.4922488, -113.4586412)","POINT (-113.4586412 53.4922488)"
"470","Fort Edmonton Building #3 - Rowand House","6601 - 148 Street NW 1846 Fort","No","Yes","53.5660463","-113.4714522","
,  
(53.5660463, -113.4714522)","POINT (-113.4714522 53.5660463)"
"130","Jasper Place Leisure Centre","9200-163 Street NW","No","Yes","53.526942","-113.603675","
,  
(53.526942, -113.603675)","POINT (-113.603675 53.526942)"
"613","Lewis Farms Transit Centre","8630 - 199 Street NW","No","Yes","53.521198","-113.667915","
,  
(53.521198, -113.667915)","POINT (-113.667915 53.521198)"
"79","Eastgate Building","9504 - 49 Street","No","Yes","53.5346325999999","-113.4154326","
,  
(53.5346325999999, -113.4154326)","POINT (-113.4154326 53.5346325999999)"
"396","Churchill Square South Pavilion - Leased","9918 - 102 Avenue NW","No","Yes","53.543644","-113.48967","
,  
(53.543644, -113.48967)","POINT (-113.48967 53.543644)"
"541","Fort Edmonton Building #84 - Motordrome","6601 - 148 Street NW 1920 St.","No","Yes","53.5852417","-113.5742684","
,  
(53.5852417, -113.5742684)","POINT (-113.5742684 53.5852417)"
"604","Kennedale Reuse Building","5355 - 127 Avenue NW","No","Yes","53.5846802","-113.4242247","
,  
(53.5846802, -113.4242247)","POINT (-113.4242247 53.5846802)"
"698","Rainbow Valley - West Cook Shelter","13204 - 45 Avenue NW","No","Yes","53.4814061","-113.5537004","
,  
(53.4814061, -113.5537004)","POINT (-113.5537004 53.4814061)"
"910","Waste Management - Contractor Lunch Trailer","250 Aurum Road NE #800 Q1","No","Yes","53.5900851","-113.340218","
,  
(53.5900851, -113.340218)","POINT (-113.340218 53.5900851)"
"426","Commercial Leased Building","10045 - 156 Street NW","No","Yes","53.5400596","-113.5894248","
,  
(53.5400596, -113.5894248)","POINT (-113.5894248 53.5400596)"
"341","Clareview LRT Substation","6090-137 Avenue NW","No","Yes","53.5999578","-113.4357558","
,  
(53.5999578, -113.4357558)","POINT (-113.4357558 53.5999578)"
"893","Waste Management - Control Centre/Administration","250 Aurum Road NE #100","No","Yes","53.5900851","-113.340218","
,  
(53.5900851, -113.340218)","POINT (-113.340218 53.5900851)"
"136","Kenilworth Arena","8313-68A Street NW","Yes","Yes","53.5195444","-113.4321826","
,  
(53.5195444, -113.4321826)","POINT (-113.4321826 53.5195444)"
"547","Fort Edmonton Building #92 - Gas Storage Shed","6601 - 148 Street NW","No","Yes","53.5132248","-113.5755126","
,  
(53.5132248, -113.5755126)","POINT (-113.5755126 53.5132248)"
"546","Fort Edmonton Building #91 - Foundation House Garage 2","6601 - 148 Street NW","No","Yes","53.5132248","-113.5755126","
,  
(53.5132248, -113.5755126)","POINT (-113.5755126 53.5132248)"
"243","University LRT Station","100 University Station","No","Yes","53.5232189","-113.5263186","
,  
(53.5232189, -113.5263186)","POINT (-113.5263186 53.5232189)"
"809","Southeast Transit Yard - Stores","5404 - 59 Avenue NW","No","Yes","53.4973059999999","-113.420918","
,  
(53.4973059999999, -113.420918)","POINT (-113.420918 53.4973059999999)"
"828","Strathcona Public Washroom","10270 - 82 Avenue NW","No","Yes","53.5183082","-113.4947282","
,  
(53.5183082, -113.4947282)","POINT (-113.4947282 53.5183082)"
"102","Fire Station No.20","2303-105 Street NW","Yes","Yes","53.454379","-113.500765","
,  
(53.454379, -113.500765)","POINT (-113.500765 53.454379)"
"639","Mill Woods Library","2610 Hewes Way NW","No","Yes","53.4565997","-113.4274009","
,  
(53.4565997, -113.4274009)","POINT (-113.4274009 53.4565997)"
"502","Fort Edmonton Building #36 - Ottewell House","6601 - 148 Street NW 1885 St.","No","Yes","53.5852417","-113.5742684","
,  
(53.5852417, -113.5742684)","POINT (-113.5742684 53.5852417)"
"814","Southwest Transit Yard - Equipment Storage","6611 - Gateway Boulevard NW","No","Yes","53.5032329999999","-113.493316","
,  
(53.5032329999999, -113.493316)","POINT (-113.493316 53.5032329999999)"
"117","Glengarry Arena","13340-85 Street NW","Yes","Yes","53.5945265999999","-113.4725948","
,  
(53.5945265999999, -113.4725948)","POINT (-113.4725948 53.5945265999999)"
"290","Gold Bar Park - Office/Shop","10975 50Street NW","Yes","Yes","53.5612751","-113.4185404","
,  
(53.5612751, -113.4185404)","POINT (-113.4185404 53.5612751)"
"566","Gateway Park Maintenance Garage","2404 - Gateway Park Road SW","No","Yes","53.4130489","-113.4981267","
,  
(53.4130489, -113.4981267)","POINT (-113.4981267 53.4130489)"
"310","Biotechnology Business Development Centre","2011 94 Street","Yes","Yes","53.4511729","-113.4716718","
,  
(53.4511729, -113.4716718)","POINT (-113.4716718 53.4511729)"
"210","Rundle Park - Family Recreation Centre","2903-113 Avenue NW","Yes","Yes","53.5662584","-113.3871508","
,  
(53.5662584, -113.3871508)","POINT (-113.3871508 53.5662584)"
"579","Highlands Transit Washroom","11137 - 61 Street NW","No","Yes","53.566117","-113.431612","
,  
(53.566117, -113.431612)","POINT (-113.431612 53.566117)"
"154","Mill Creek Pool","9555-84 Avenue NW","Yes","Yes","53.5196167999999","-113.4740396","
,  
(53.5196167999999, -113.4740396)","POINT (-113.4740396 53.5196167999999)"
"449","Ellerslie Fleet and Facility Services Building","2415 - 101 Street SW","No","Yes","53.411171","-113.490845","
,  
(53.411171, -113.490845)","POINT (-113.490845 53.411171)"
"462","Fire Station No.30","15850 50 Street NW","No","Yes","53.6198032","-113.4169725","
,  
(53.6198032, -113.4169725)","POINT (-113.4169725 53.6198032)"
"482","Fort Edmonton Building #15 - Clerks Quarters","6601 - 148 Street NW 1846 Fort","No","Yes","53.5660463","-113.4714522","
,  
(53.5660463, -113.4714522)","POINT (-113.4714522 53.5660463)"
"858","Edmonton Valley Zoo #17 - Porcupine Exhibit","13315 - Buena Vista Road NW","No","Yes","53.5109217","-113.5564743","
,  
(53.5109217, -113.5564743)","POINT (-113.5564743 53.5109217)"
"600","Kennedale Waste Operations","12806 - 58 Street NW","No","Yes","53.58458","-113.431272","
,  
(53.58458, -113.431272)","POINT (-113.431272 53.58458)"
"170","Prince Of Wales Armoury","10440-108 Avenue NW","No","Yes","53.5540882","-113.5001215","
,  
(53.5540882, -113.5001215)","POINT (-113.5001215 53.5540882)"
"155","Mill Woods Rec Centre Arena","7207-28 Avenue NW","Yes","Yes","53.4566882","-113.4444916","
,  
(53.4566882, -113.4444916)","POINT (-113.4444916 53.4566882)"
"410","Commercial Leased Building","10310/30 - 83 Avenue NW","No","Yes","53.5194525","-113.495884","
,  
(53.5194525, -113.495884)","POINT (-113.495884 53.5194525)"
"551","Fort Edmonton Building #97 - Sub-Station","6601 - 148 Street NW","No","Yes","53.5132248","-113.5755126","
,  
(53.5132248, -113.5755126)","POINT (-113.5755126 53.5132248)"
"239","Telus World of Science","11211 - 142 Street NW","Yes","Yes","53.5612133","-113.5640156","
,  
(53.5612133, -113.5640156)","POINT (-113.5640156 53.5612133)"
"140","Kennedale Drainage Offices/Shops","12810-58 Street NW","Yes","Yes","53.5855798","-113.4336731","
,  
(53.5855798, -113.4336731)","POINT (-113.4336731 53.5855798)"
"863","Edmonton Valley Zoo #24 - Paddle Boat Booth","13315 - Buena Vista Road NW","No","Yes","53.5109217","-113.5564743","
,  
(53.5109217, -113.5564743)","POINT (-113.5564743 53.5109217)"
"306","Commercial Leased Building","11410 Kingsway Ave NW","No","Yes","53.5647858","-113.517572","
,  
(53.5647858, -113.517572)","POINT (-113.517572 53.5647858)"
"534","Fort Edmonton Building #75 - St. Michael's Church","6601 - 148 Street NW 1905 St.","No","Yes","53.5852417","-113.5742684","
,  
(53.5852417, -113.5742684)","POINT (-113.5742684 53.5852417)"
"674","North Division Police Station","14203 - 50 Street NW","No","Yes","53.60509","-113.4172695","
,  
(53.60509, -113.4172695)","POINT (-113.4172695 53.60509)"
"67","Coronation Maintenance Garage","14323-115 Avenue NW","Yes","Yes","53.565104","-113.568646","
,  
(53.565104, -113.568646)","POINT (-113.568646 53.565104)"
"880","Edmonton Valley Zoo #43 - Education Centre","13315 - Buena Vista Road NW","No","Yes","53.5109217","-113.5564743","
,  
(53.5109217, -113.5564743)","POINT (-113.5564743 53.5109217)"
"915","Waste Management - Maintenance Tent","250 Aurum Road NE #350A","No","Yes","53.5900851","-113.340218","
,  
(53.5900851, -113.340218)","POINT (-113.340218 53.5900851)"
"85","Emergency Response Station No.42","10565-105 Street","Yes","Yes","53.5498163","-113.5009984","
,  
(53.5498163, -113.5009984)","POINT (-113.5009984 53.5498163)"
"506","Fort Edmonton Building #40 - Ottewell Pig Shelter","6601 - 148 Street NW 1885 St.","No","Yes","53.5852417","-113.5742684","
,  
(53.5852417, -113.5742684)","POINT (-113.5742684 53.5852417)"
"519","Fort Edmonton Building #56 - Henderson Barn","6601 - 148 Street NW 1905 St.","No","Yes","53.5852417","-113.5742684","
,  
(53.5852417, -113.5742684)","POINT (-113.5742684 53.5852417)"
"333","Coronation Grandstand/Maintenance Office","13811 114 Avenue NW","Yes","Yes","53.5638448","-113.5604336","
,  
(53.5638448, -113.5604336)","POINT (-113.5604336 53.5638448)"
"818","South Campus Transit Centre","115 Street & 66 Avenue","No","Yes","53.50298","-113.528896","
,  
(53.50298, -113.528896)","POINT (-113.528896 53.50298)"
"626","McKernan/Belgravia LRT Station","100 McKernan/Belgravia LRT Station","No","Yes","53.51272","-113.526195","
,  
(53.51272, -113.526195)","POINT (-113.526195 53.51272)"
"254","Edmonton Valley Zoo #38 - Elephant Building/Exhibit","13315-Beuna Vista Road NW","No","Yes","53.5109217","-113.5564743","
,  
(53.5109217, -113.5564743)","POINT (-113.5564743 53.5109217)"
"852","Edmonton Valley Zoo #8 - Quonset Hut North","13315 - Buena Vista Road NW","No","Yes","53.5109217","-113.5564743","
,  
(53.5109217, -113.5564743)","POINT (-113.5564743 53.5109217)"
"935","William Hawrelak Service Yard - Heritage Garage","9330 - Groat Road NW","No","Yes","53.5271128","-113.5475244","
,  
(53.5271128, -113.5475244)","POINT (-113.5475244 53.5271128)"
"318","Fort Edmonton Building #77 - Mellon Farm House","7000 - 143 Street","No","Yes","53.5033505","-113.5713762","
,  
(53.5033505, -113.5713762)","POINT (-113.5713762 53.5033505)"
"150","Stanley Milner Library Parkade","7 Sir Winston Churchill Square","Yes","Yes","53.542897","-113.4897586","
,  
(53.542897, -113.4897586)","POINT (-113.4897586 53.542897)"
"584","Jackie Parker Park Pavilion","4540 - 50 Street NW","No","Yes","53.4823785","-113.4185142","
,  
(53.4823785, -113.4185142)","POINT (-113.4185142 53.4823785)"
"214","Russ Barnes Arena","6725-121 Avenue NW","Yes","Yes","53.5748018","-113.4459348","
,  
(53.5748018, -113.4459348)","POINT (-113.4459348 53.5748018)"
"902","Waste Management - Blue and White Tent Storage","250 Aurum Road NE #350A","No","Yes","53.5900851","-113.340218","
,  
(53.5900851, -113.340218)","POINT (-113.340218 53.5900851)"
"443","Strathcona Eco Station - Fuel Pumps","5150 - 99 Street NW","No","Yes","53.4885319","-113.487664","
,  
(53.4885319, -113.487664)","POINT (-113.487664 53.4885319)"
"578","Highlands Park Washroom/Storage","6112 - 113 Avenue NW","No","Yes","53.567849","-113.433899","
,  
(53.567849, -113.433899)","POINT (-113.433899 53.567849)"
"487","Fort Edmonton Building #20 - Bellrose School","6601 - 148 Street NW 1885 Street","No","Yes","53.5852417","-113.5742684","
,  
(53.5852417, -113.5742684)","POINT (-113.5742684 53.5852417)"
"116","George S. Hughes Arena","10525-72 Avenue NW","Yes","Yes","53.508121","-113.501881","
,  
(53.508121, -113.501881)","POINT (-113.501881 53.508121)"
"374","Callingwood Park Pavilion","17710 - 69 Avenue NW","No","Yes","53.5064754","-113.6270333","
,  
(53.5064754, -113.6270333)","POINT (-113.6270333 53.5064754)"
"612","Leger Transit Centre","15204 - 23 Avenue NW","No","Yes","53.4551078","-113.5802705","
,  
(53.4551078, -113.5802705)","POINT (-113.5802705 53.4551078)"
"244","Edmonton Valley Zoo #1 - Saito Centre","13315-Beuna Vista Road NW","No","Yes","53.5109217","-113.5564743","
,  
(53.5109217, -113.5564743)","POINT (-113.5564743 53.5109217)"
"478","Fort Edmonton Building #11 - Ice House","6601 - 148 Street NW 1846 Fort","No","Yes","53.5660463","-113.4714522","
,  
(53.5660463, -113.4714522)","POINT (-113.4714522 53.5660463)"
"18","Bonnie Doon Health Centre","8314-88 Avenue NW","Yes","Yes","53.523636","-113.4571016","
,  
(53.523636, -113.4571016)","POINT (-113.4571016 53.523636)"
"414","Commercial Leased Building","10542 - 105 Street NW Suite 10548 & 10550","No","Yes",,,,
"161","Northwest Transit Yard - Fuelling Facility","14402-114 Avenue NW","No","Yes","53.5639841","-113.5720468","
,  
(53.5639841, -113.5720468)","POINT (-113.5720468 53.5639841)"
"360","Animal Care and Control Centre (ACCC)","13550 - 163 Street NW","No","Yes","53.5982512","-113.6026663","
,  
(53.5982512, -113.6026663)","POINT (-113.6026663 53.5982512)"
"642","Muttart Conservatory Storage","9681 - 98 Avenue NW","No","Yes","53.5378915999999","-113.4769671","
,  
(53.5378915999999, -113.4769671)","POINT (-113.4769671 53.5378915999999)"
"659","Northeast Transit Yard - Pavement Garage","13025 - 56 Street NW","No","Yes","53.5909093","-113.4255384","
,  
(53.5909093, -113.4255384)","POINT (-113.4255384 53.5909093)"
"263","Westwood Site - Pest Management","12304-107 Street NW","Yes","Yes","53.5781895999999","-113.5059906","
,  
(53.5781895999999, -113.5059906)","POINT (-113.5059906 53.5781895999999)"
"299","Davies - DATS Wash Facility","5610 86 Street","No","Yes","53.49231","-113.455438","
,  
(53.49231, -113.455438)","POINT (-113.455438 53.49231)"
"884","Edmonton Valley Zoo #47 - Trout Filtration Building","13315 - Buena Vista Road NW","No","Yes","53.5109217","-113.5564743","
,  
(53.5109217, -113.5564743)","POINT (-113.5564743 53.5109217)"
"607","Kinsmen Service Garage","9100 - Walterdale Hill NW","No","Yes","53.5261857","-113.5065533","
,  
(53.5261857, -113.5065533)","POINT (-113.5065533 53.5261857)"
"483","Fort Edmonton Building #16 - Columbia House/Washroom","6601 - 148 Street NW 1846 Fort","No","Yes","53.5660463","-113.4714522","
,  
(53.5660463, -113.4714522)","POINT (-113.4714522 53.5660463)"
"538","Fort Edmonton Building #80 - AGT Telephone Exchange","6601 - 148 Street NW 1920 St.","No","Yes","53.5852417","-113.5742684","
,  
(53.5852417, -113.5742684)","POINT (-113.5742684 53.5852417)"
"919","Westwood Cold Storage Garage","12304 - 107 Street NW","No","Yes","53.5781895999999","-113.5059906","
,  
(53.5781895999999, -113.5059906)","POINT (-113.5059906 53.5781895999999)"
"355","Ambulance Station No.32","5874 - 111 Street NW","No","Yes","53.4964468","-113.5172859","
,  
(53.4964468, -113.5172859)","POINT (-113.5172859 53.4964468)"
"943","Winspear Centre Pedway","Churchill to Winspear Centre","No","Yes","53.543705","-113.4886189","
,  
(53.543705, -113.4886189)","POINT (-113.4886189 53.543705)"
"405","Clareview Library","3804 - 139 Avenue NW","No","Yes","53.601831","-113.402669","
,  
(53.601831, -113.402669)","POINT (-113.402669 53.601831)"
"569","Glengarry Day Care","13315 - 89 Street NW Day Care (Portion of GLE102)","No","Yes",,,,
"652","Northern Lights Cemetary Maintenance Garage","15203 - Campbell Road NW","No","Yes","53.6120807","-113.5842967","
,  
(53.6120807, -113.5842967)","POINT (-113.5842967 53.6120807)"
"62","Commercial Leased Building","10629-95 Street NW","Yes","Yes","53.5520175","-113.4822023","
,  
(53.5520175, -113.4822023)","POINT (-113.4822023 53.5520175)"
"387","Central Roadway Maintenance Yard - De-Icing Dome","10517 - 95 Street NW","No","Yes","53.5510275","-113.4794218","
,  
(53.5510275, -113.4794218)","POINT (-113.4794218 53.5510275)"
"80","Strathcona Eco Station","5150-99 Street NW","Yes","Yes","53.4885319","-113.487664","
,  
(53.4885319, -113.487664)","POINT (-113.487664 53.4885319)"
"701","Rainbow Valley Campground - Office","13204 - 45 Avenue NW","No","Yes","53.4814061","-113.5537004","
,  
(53.4814061, -113.5537004)","POINT (-113.5537004 53.4814061)"
"510","Fort Edmonton Building #44 - Lauder's Barn","6601 - 148 Street NW 1885 St.","No","Yes","53.5852417","-113.5742684","
,  
(53.5852417, -113.5742684)","POINT (-113.5742684 53.5852417)"
"867","Edmonton Valley Zoo #28 - Caotimundi Pit","13315 - Buena Vista Road NW","No","Yes","53.5109217","-113.5564743","
,  
(53.5109217, -113.5564743)","POINT (-113.5564743 53.5109217)"
"29","Central Lions Recreation Centre","11113-113 Street NW","Yes","Yes","53.5601525","-113.5148912","
,  
(53.5601525, -113.5148912)","POINT (-113.5148912 53.5601525)"
"515","Fort Edmonton Building #50 - Peter Erasmus House","6601 - 148 Street NW 1885 St.","No","Yes","53.5852417","-113.5742684","
,  
(53.5852417, -113.5742684)","POINT (-113.5742684 53.5852417)"
"647","Northeast Transit Yard - Administrative Office","13003 - 56 Street NW","No","Yes","53.5899839999999","-113.426539","
,  
(53.5899839999999, -113.426539)","POINT (-113.426539 53.5899839999999)"
"898","Waste Management - Equipment Storage","250 Aurum Road NE #1100","No","Yes","53.5900851","-113.340218","
,  
(53.5900851, -113.340218)","POINT (-113.340218 53.5900851)"
"108","Fort Edmonton Building #70 - Ukrainian Bookstore","7000 - 143 Street","No","Yes","53.5033505","-113.5713762","
,  
(53.5033505, -113.5713762)","POINT (-113.5713762 53.5033505)"
"559","Fortieth Avenue LRT Substation","3841 - 111 Street NW","No","Yes","53.4740934","-113.516165","
,  
(53.4740934, -113.516165)","POINT (-113.516165 53.4740934)"
"439","Dawson Park Amenity Building","104 Avenue & 90 Street","No","Yes",,,,
"248","Edmonton Valley Zoo #13 - Old Concession (Candy Shack)","13315-Beuna Vista Road NW","Yes","Yes","53.5109217","-113.5564743","
,  
(53.5109217, -113.5564743)","POINT (-113.5564743 53.5109217)"
"931","William Hawrelak Park #5 - Playground Washroom","9330 - Graot Road NW","No","Yes","53.5271128","-113.5475244","
,  
(53.5271128, -113.5475244)","POINT (-113.5475244 53.5271128)"
"366","Bonnie Doon Tennis Courts Building","8636 - 81 Street NW","No","Yes","53.52334","-113.452663","
,  
(53.52334, -113.452663)","POINT (-113.452663 53.52334)"
"454","Ferrier Transit Tent","8620 - 58 Avenue NW 3 Tent Structures","No","Yes",,,,
"618","Louise McKinney Park - Greenroom Building","9621 Grierson Hill Road NW","No","Yes","53.5421477","-113.4821565","
,  
(53.5421477, -113.4821565)","POINT (-113.4821565 53.5421477)"
"92","Fire Station No.8","12503-128 Street NW","Yes","Yes","53.581259","-113.542592","
,  
(53.581259, -113.542592)","POINT (-113.542592 53.581259)"
"558","Fort Edmonton Building #104 - McNeil Hangar","6601 - 148 Street NW","No","Yes","53.5132248","-113.5755126","
,  
(53.5132248, -113.5755126)","POINT (-113.5755126 53.5132248)"
"34","Century Place Parkade","9803-102A Avenue NW","Yes","Yes","53.5443499999999","-113.487901","
,  
(53.5443499999999, -113.487901)","POINT (-113.487901 53.5443499999999)"
"93","Fire Station No.9","5604-50 Street NW","No","Yes","53.4937179999999","-113.418955","
,  
(53.4937179999999, -113.418955)","POINT (-113.418955 53.4937179999999)"
"573","Government Centre Pedway","Grandin to Gov Centre Pedway","No","Yes","53.5367641","-113.5103813","
,  
(53.5367641, -113.5103813)","POINT (-113.5103813 53.5367641)"
"75","DL Macdonald LRT Garage","13310-50A Street NW","Yes","Yes","53.5951633","-113.4200682","
,  
(53.5951633, -113.4200682)","POINT (-113.4200682 53.5951633)"
"392","Century Park LRT Station","100 Century Park","No","Yes","53.542865","-113.881399","
,  
(53.542865, -113.881399)","POINT (-113.881399 53.542865)"
"592","John Walter 1875 House","9180 Walterdale Hill NW","No","Yes","53.5276607","-113.5037136","
,  
(53.5276607, -113.5037136)","POINT (-113.5037136 53.5276607)"
"119","Glengarry Tennis Court Building","13340-85 Street NW","Yes","Yes","53.5945265999999","-113.4725948","
,  
(53.5945265999999, -113.4725948)","POINT (-113.4725948 53.5945265999999)"
"418","Commercial Leased Building","8219 Argyll Road","No","Yes","53.5026856","-113.4530577","
,  
(53.5026856, -113.4530577)","POINT (-113.4530577 53.5026856)"
"694","Queen Elizabeth Park Washroom","90 Avenue & 104 Street","No","Yes","53.524375","-113.49714","
,  
(53.524375, -113.49714)","POINT (-113.49714 53.524375)"
"803","Rundle Golf Course - Pumphouse","2903 - 113 Avenue NW","No","Yes","53.5662584","-113.3871508","
,  
(53.5662584, -113.3871508)","POINT (-113.3871508 53.5662584)"
"474","Fort Edmonton Building #7 - Meat House","6601 - 148 Street NW 1846 Fort","No","Yes","53.5660463","-113.4714522","
,  
(53.5660463, -113.4714522)","POINT (-113.4714522 53.5660463)"
"349","Airport Building #1 - ERRA Field Ops","12000 - 109 Street NW Buldg #3","No","Yes",,,,
"469","Fort Edmonton Building #2 - Harness Shed","6601 - 148 Street NW 1846 Fort","No","Yes","53.5660463","-113.4714522","
,  
(53.5660463, -113.4714522)","POINT (-113.4714522 53.5660463)"
"25","Cambridge/Frank Oliver Pedway","Central Station to McCauley Pl","Yes","Yes",,,,
"453","Engineered Services Building","11004 - 190 Street NW","No","Yes","53.557182","-113.65043","
,  
(53.557182, -113.65043)","POINT (-113.65043 53.557182)"
"382","Central LRT Transit Information","Jasper Avenue & 100A Street","No","Yes",,,,
"617","Louise McKinney Park - Riverfront East Plaza","9731 Grierson Hill Road","No","Yes","53.5408854","-113.4827849","
,  
(53.5408854, -113.4827849)","POINT (-113.4827849 53.5408854)"
"131","Jasper Place ANNEX","9200-163 Street NW","Yes","Yes","53.526942","-113.603675","
,  
(53.526942, -113.603675)","POINT (-113.603675 53.526942)"
"397","City Hall Parkade","1 Sir Winston Churchill Square","No","Yes","53.5456493","-113.490263","
,  
(53.5456493, -113.490263)","POINT (-113.490263 53.5456493)"
"247","Edmonton Valley Zoo #12 - Main Concession (Peanut Gallery)","13315-Beuna Vista Road NW","Yes","Yes","53.5109217","-113.5564743","
,  
(53.5109217, -113.5564743)","POINT (-113.5564743 53.5109217)"
"542","Fort Edmonton Building #85 - Teamsters Office/Garage","6601 - 148 Street NW 1920 St.","No","Yes","53.5852417","-113.5742684","
,  
(53.5852417, -113.5742684)","POINT (-113.5742684 53.5852417)"
"76","Donnan Arena","9105-80 Avenue NW","Yes","Yes","53.5160608","-113.4686205","
,  
(53.5160608, -113.4686205)","POINT (-113.4686205 53.5160608)"
"699","Rainbow Valley - West Washroom","13204 - 45 Avenue NW","No","Yes","53.4814061","-113.5537004","
,  
(53.4814061, -113.5537004)","POINT (-113.5537004 53.4814061)"
