"title","date_and_time","begins","ends","city_or_town","neighbourhood_id","neighbourhood","where","cost","event_category","event_type","event_link","event_venue","event_id","where_to_purchase_tickets","tickets_phone","category_calendar","web_link","public_engagement_category","short_description","project_name","additional_information","notes_1","notes_2"
"Fall Filmmakers Panel","Saturday, September 17, 2022, 10:30am - 3:30pm","2022-09-17T09:30:00.000","2022-09-17T15:30:00.000","Edmonton",,,"NAIT 11762 106 Street, Edmonton","Free","Education,Other","COE Events","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d162178480","NAIT","162178480","https://www.eventbrite.ca/e/fall-filmmakers-panel-tickets-406406913017","780-919-0803","City of Edmonton|Other","https://www.eventbrite.ca/e/fall-filmmakers-panel-tickets-406406913017",,"A unique opportunity for aspiring and emerging filmmakers to learn from, and network with, an impressive panel of professional filmmakers.",,,"The Edmonton Short Film Festival invites you to immerse yourself in this free educational and networking opportunity to make valuable connections as you advance in your filmmaking journey.At this live event, the accredited panel of filmmaking professionals will share knowledge earned from first-hand experiences and reveal their best advice for breaking into the film industry.",
"Celebrate Alberta Day in Sir Winston Churchill Square!","Saturday, September 3, 2022, 1 - 4pm","2022-09-03T12:00:00.000","2022-09-03T16:00:00.000","Edmonton","1090","Downtown","Sir Winston Churchill Square and City Hall Plaza","FREE!","Family / Children,Festivals,Performing Arts / Culture","COE Events","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d162153011","Sir Winston Churchill Square","162153011",,,"Churchill Square","https://www.edmonton.ca/AlbertaDay",,"Celebrate Alberta Day with free family fun in Sir Winston Churchill Square and the City Hall Plaza!",,"<strong>Getting There:</strong>Sir Winston Churchill Square, City Hall Plaza, and the Alberta Legislature grounds are easily accessible by bus and LRT. Plan your trip by visiting <a href=""https://www.edmonton.ca/edmonton-transit-system-ets?utm_source=virtualaddress&amp;utm_campaign=transit"" target=""_blank"">edmonton.ca/transit</a>, calling 311 or by using real-time tools like Transit app or Google Maps.","<strong>Celebrate Alberta Day in Sir Winston Churchill Square!</strong>Join the <em>Alberta Day</em> celebration in Sir Winston Churchill Square and the City Hall Plaza on Saturday, September 3 from 1 to 4 p.m. This <strong>free </strong>family-friendly event will offer activities and entertainment for people of all ages.The Edmonton Arts Council will be on hand with games and activities including table tennis, large format chess and checkers, snakes and ladders and giant Lego.Free ice cream will be given out while supplies last. Food trucks will be on-site for those wishing to purchase other tasty treats.Bring your sunscreen and beach towel and enjoy an end of summer splash in the City Hall fountain.Finish the day with a spectacular fireworks show from the Alberta Legislature grounds at 9:30 p.m. Visit <a href=""https://www.alberta.ca/alberta-day.aspx"" target=""_blank"">alberta.ca/alberta-day</a> for more <em>Alberta Day</em> fun!",
"In-Person Ladies Learning Code: Webmaking w/ HTML&CSS","Saturday, September 17, 2022, 12 - 2:30pm","2022-09-17T11:00:00.000","2022-09-17T14:30:00.000","Edmonton","1090","Downtown","Canadian Western Bank Place, 10303 Jasper Ave, 16th Floor, Suite 1650, Edmonton, AB T5J3N6",,"Education,Other","COE Events","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d162144680","Other","162144680","https://www.eventbrite.ca/e/in-person-ladies-learning-code-webmaking-w-htmlcss18-edmonton25hrs-tickets-408809328707",,"City of Edmonton|Other","https://www.eventbrite.ca/e/in-person-ladies-learning-code-webmaking-w-htmlcss18-edmonton25hrs-tickets-408809328707",,"Join us for our first in-person event since March 2020! Looking to get your feet wet when it comes to coding? Then this is the workshop for you.",,,"Please join us for our first in-person experience since March of 2020!Why learn HTML &amp; CSS? If you are looking to get your feet wet when it comes to coding, then this is the workshop for you. HTML and CSS are the backbone of all websites, and knowledge of them is a necessity if you are interested in things like web development, creating marketing emails, or even blogging! The web without HTML and CSS would be a world without colourful, pretty websites, not to mention the web applications we all use daily. It&rsquo;s easy to learn, and was designed so that everyone - even non-programmers - can do it. No fancy programs are needed, just a web browser! This workshop is designed to be a hands-on experience. During the session, you&rsquo;ll learn:Basic techniques and concepts that are translatable to other programming languagesThe building blocks of how HTML and CSS work together to create richer online experiencesHow to create a website with images and a CSS-defined layoutWhat resources are available if you&rsquo;d like to continue learning at home (and we think you will)Who is this for?Our Ladies Learning Code workshops offer female-identified and male-identified, trans, and non-binary adults hands-on, project-based learning experiences that are designed to give beginners the skills and confidence they need to become digital creators.Prerequisites:None! This workshop is designed for beginners.What&#39;s Included:An awesome lead instructor and industry mentors! And for this workshop, the mentors and instructors will be coming from CGI, the Information Technology and business consulting firm!Requirements:You must bring your own laptop for which you have administrative permissions.Please remember to bring your own power cord. A mouse can come in handy too!You may be required to download some free software. After you sign up we will email detailed instructions.We strive to host inclusive, accessible experiences that enable all individuals to engage fully. To request an accommodation or for inquires about accessibility, please contact accessibility@canadalearningcode.ca",
"Comedy Pants: Live in Edmonton!","Saturday, September 10, 2022, 7 - 8:30pm","2022-09-10T18:00:00.000","2022-09-10T20:30:00.000","Edmonton","5480","Strathcona","Grindstone Theatre","$20-25","Concerts / Performances","COE Events","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d162087631","Other","162087631","https://www.showpass.com/comedypants-september10/","780.244.9076","City of Edmonton|Concerts / Performances","https://www.grindstonetheatre.ca/calendar",,"A one-of-a-kind comedy showcase featuring some of the best stand-up and sketch performances in Canada",,,"Hosted by Alistair Ogden (CBC Comedy, Halifax Comedy Fest) this one-of-a-kind comedy showcase comes to Edmonton for the very first time!Featuring some of the best stand-up and sketch performances in Canada, Comedy Pants is the Vancouver comedy scene's hidden gem, and now - for one night only - it's Edmonton's too.Join us at the wonderful Grindstone Theatre - an exceptional indie venue just off of Whyte Ave. Lineup TBA.This show is expected to sell out, so get your Early Bird tickets ASAP.",
"Laurier Heights Art Group - 28th Annual Art Show and Sale","Sunday, September 25, 2022, 1:30 - 4:30pm","2022-09-25T12:30:00.000","2022-09-25T16:30:00.000","Edmonton","3270","Laurier Heights","Laurier Heights Community Hall, 14405 -- 85 Ave NW T5N 0K7","Free","Exhibits,Non-Profit Fundraiser,Trade Shows,Other","COE Events","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d162070513","Other","162070513","Free, no tickets",,"City of Edmonton|Trade Shows",,,"28th Annual Art Show and Sale",,"The Laurier Heights Art Group is holding their annual open house and art show at the Laurier Heights Community Hall at 14405 – 85 Ave NW (north of 80 Ave on 144 St) on Sunday, September 25th from 1:30 to 4:30 PM. Everyone is invited to come to view our artwork and meet old friends and neighbours over coffee and cake in our Community Hall.This year we are also offering a wall of Sunflower paintings for sale. All proceeds will goto the Ukrainian Canadian Congress of Alberta.",,
"On the Trail of a Keystone Species - The Ecological Buffalo by Wes Olson","Friday, September 9, 2022, 7 - 9pm","2022-09-09T18:00:00.000","2022-09-09T21:00:00.000","Sherwood Park",,,"Picture This framing and gallery 959 Ordze Road, Sherwood Park, AB, T8A 4L7","$25","Education,Environment,Non-Profit Fundraiser","COE Events","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d162068705","Other","162068705","https://www.eventbrite.ca/e/on-the-trail-of-a-keystone-species-the-ecological-buffalo-by-wes-olson-tickets-380557978157",,"City of Edmonton|Concerts / Performances","https://www.eventbrite.ca/e/on-the-trail-of-a-keystone-species-the-ecological-buffalo-by-wes-olson-tickets-380557978157",,"Join us at Picture This! For an informative talk by Bison expert and artist Wes Olson.",,"https://www.picturethisgallery.com/art/the-ecological-buffalo/","Enjoy an informative talk by acclaimed artist and Bison expert Wes Olson in person, followed by an art show, signing and personalizing session. As well, meet the surprise guest coming in from the Beaverhill Bird Observatory!Come learn about the history of this keystone species!7:00 pm - Doors open7:15 pm - Introduction7:30 pm - Talk by Wes Olson: On the Trail of a Keystone Species8:30 pm - Book signingA portion of the proceeds will go to the Beaverhill Bird Observatory.",
"Candlelight: Romantic Jazz Special ft. Frank Sinatra, Michael Buble and more","Saturday, September 24, 2022, 8:15 - 9:15pm","2022-09-24T19:15:00.000","2022-09-24T21:15:00.000","Edmonton",,,"The Pioneers Cabin, 9430 Scona Road NW, Edmonton, AB, T6E 3W2",,"Concerts / Performances","COE Events","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d162035452","Other","162035452","https://feverup.com/m/110512",,"City of Edmonton|Concerts / Performances","https://feverup.com/m/110512",,"A talented Edmonton jazz quartet performing romantic jazz favorites from Frank Sinatra, Michael Buble and more",,,,
"Open Cockpit Day at the Alberta Aviation Museum","Saturday, September 10, 2022, 10am - 4pm","2022-09-10T09:00:00.000","2022-09-10T16:00:00.000","Edmonton","1170","Prince Rupert","Alberta Aviation Museum (11410 Kingsway NW)","$20/adults, $17/students/seniors, $15.50/youth 13-17, $14.50/children 6-12. Children 5 and under are free.","Conventions / Conferences,Festivals,Museums / Attractions,Trade Shows","COE Events","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d162033101","Other","162033101","www.albertaaviationmuseum.com","780-451-1175","City of Edmonton|Exhibits","http://www.albertaaviationmuseum.com",,"The Alberta Aviation Museum presents its ever-popular Open Cockpit Day this Fall.",,,"Join in on the celebration at the museum’s authentic WWII air hangar and receive a full, unique aviation experience. It’s the one day of the year where people and families of all ages can experience unique and rare historical aircraft up-close and personal in the pilot’s seat!  Take in amiskwaciy Academy’s ê-pimihâyahk (we are all flying together) exhibit and learn about sustainability and the biology of flight at the YEG Honeycomb Resident Beehives. Check out and interact with an exciting line-up of fire trucks, service transports, and military vehicles.  Engage in family programming and exhilarating flight-simulators.  Special guests include members of the Edmonton Flying club, 504 Blatchford Field Air Cadets, Vets Canada and more!Of course, no Open Cockpit is complete without the first-hand experience of sitting in the captain’s seat of a historical aircraft.  This special celebration will see the museum open almost a dozen of its aircraft to the public.  Whether it is to capture the perfect photo for your newsfeeds, or to channel your inner fighter-pilot, there is an aircraft opportunity for everyone!Catch a Glimpse of Some of our Participating Aircraft:•	Noorduyn Norseman IV•	Lockheed TF-104G Starfighter•	Fleet Model 80 Canuck•	Beechcraft Expeditor 3NM (Model 18)•	Canadair CT-133 Silver Star Mk.3AT•	Bell 47G•	Piper PA-18 Super Cub•	de Havilland DH.82C Tiger MothFood trucks, photo booths, and family scavenger hunts with prizes will also be available throughout the day.",
"Electric & Hydrogen Vehicle Expo","Saturday, September 24, 10am - Sunday, September 25, 2022, 6pm","2022-09-24T09:00:00.000","2022-09-25T18:00:00.000","Edmonton",,,"Edmonton EXPO Centre, 7515 118 Ave NW, Edmonton, AB T5B 0J2","$0.00","Education,Exhibits,Free / Budget,Trade Shows","COE Events","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d162030631","Edmonton EXPO Centre","162030631","www.edmontonevexpo.ca",,"City of Edmonton|Exhibits","http://www.edmontonevexpo.ca",,"A free, experiential public event on sustainable transportation.",,,"Organized by the City of Edmonton with a financial contribution from Natural Resources Canada, this event is designed to give residents an opportunity to experience zero emission vehicles including battery electric passenger vehicles, hydrogen and electric buses, e-bikes, e-scooters and more. Visitors will have the opportunity to see and test drive zero emission vehicles, learn from industry experts at the Change for Climate Education Stage and visit interactive booths to learn all about zero emission vehicles and their charging infrastructure. Various Edmonton auto dealers will be in attendance with  their latest electric vehicles (EV) models, along with members of the Electric Vehicle Owners Association of Alberta (EVAA) who are excited to show off their cars and talk about their own real-world experience.Don’t miss Ontario's own Plug’n Drive who will be in attendance with their Mobile Electric Vehicle Education Trailer (MEET). MEET is equipped with informational displays, interactive learning tools and some of the latest EV models from leading manufacturers for test drives. Reservations for the MEET test drives are available through EdmontonEVExpo.ca.In Edmonton transportation is responsible for 30% of greenhouse gas emissions and 42% of energy use. Reducing emissions from transportation through the wide adoption of zero emissions vehicles is essential to meet our climate goals as well as improving air quality.",
"Engage Edmonton Pop-Up Event","Saturday, September 17, 2022, 11am - 5pm","2022-09-17T10:00:00.000","2022-09-17T17:00:00.000","Edmonton",,,"Londonderry Mall",,"Public Meeting or similar event","Public Engagement","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d162015746",,"162015746",,,"Public Engagement|External","https://www.edmonton.ca/engageedmonton","In Person Engagement",,"District Planning, Zoning Bylaw Renewal Initiative, Mass Transit, River Valley Planning Modernization, National Urban Parks Initiative","&nbsp;","Join City staff to chat about 5 major City projects: District Planning, Zoning Bylaw Renewal Initiative, Mass Transit, National Urban Park Initiative and River Valley Planning Modernization.",
"Engage Edmonton Pop-Up Event","Saturday, September 10, 2022, 10am - 9pm","2022-09-10T09:00:00.000","2022-09-10T21:00:00.000","Edmonton",,,"West Edmonton Mall",,"Public Meeting or similar event","Public Engagement","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d162015742",,"162015742",,,"Public Engagement|External","https://www.edmonton.ca/engageedmonton","In Person Engagement",,"District Planning, Zoning Bylaw Renewal Initiative, Mass Transit, River Valley Planning Modernization, National Urban Parks Initiative","&nbsp;","Join City staff to chat about 5 major City projects: District Planning, Zoning Bylaw Renewal Initiative, Mass Transit, National Urban Park Initiative and River Valley Planning Modernization.",
"The Arctic: Our Last Great Wilderness in IMAX!","Saturday, September 17, 2022, 11 - 11:45am","2022-09-17T10:00:00.000","2022-09-17T11:45:00.000","Edmonton",,,"TELUS World of Science - Edmonton (IMAX Theatre), 11211 142 St NW, Edmonton AB Canada, T5M 4A1",,"Concerts / Performances,Education","COE Events","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d161983272","TELUS World of Science","161983272","https://www.onlinebookings.edmontonscience.com/default.aspx?tagid=334&_ga=2.171657952.1981464149.1661180842-576532563.1647361443&_gac=1.61873630.1658932045.Cj0KCQjwxIOXBhCrARIsAL1QFCa73ik7t0vYAM1s6EVUk5ccn1SiuFncue5Vk9SdMTNJpTV5r4aLezkaAsgxEALw_wcB","780-451-3344","City of Edmonton|Concerts / Performances","https://telusworldofscienceedmonton.ca/explore/experiences/the-arctic/",,"Embark on a cinematic journey to a world untouched by time in The Arctic: Our Last Great Wilderness in IMAX!",,,"Imagine a place that is vast, wild and untouched, where some of the world’s greatest wildlife spectacles unfold. The Arctic National Wildlife refuge, situated in the northeastern corner of Alaska, is the wildest place left in North America. A symbol of wilderness for the world. No one has truly ever seen it. The Arctic: Our Last Great Wilderness will feature the first-ever cinematic account of this little-known land where people can experience a world untouched by time.Take a journey to a place in the far north of Alaska that is vast, wild, and magical – where one of earth’s greatest natural spectacles unfolds. Journey with National Geographic Photographer Florian Schulz on his five-year quest to film one of the longest animal migrations on earth and experience intimate encounters with polar bears, musk oxen, wolves, grizzlies, golden eagles and more.",
"Cheryl's Run","Saturday, September 24, 2022, 9:30am - 12:30pm","2022-09-24T08:30:00.000","2022-09-24T12:30:00.000","Edmonton","3270","Laurier Heights","Laurier Park, Edmonton","$40 adults / $20 Children","Non-Profit Fundraiser,Run / Walk","COE Events","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d161974350","Laurier Park","161974350","Tickets are available through the Running Room Event Website which is linked to our website: https://www.cherylsrun.com","780-918-9152","City of Edmonton|Non-Profit Fundraiser","https://www.cherylsrun.com",,"Family Run/Walk in support of The Stollery Awasisak Program",,"Top Fundraiser for the Stollery Awasisak Indigenous program will win a trip for two to Yellowknife to hunt the Northern lights courtesy of Canadian North Airlines, The Explorer Hotel, and North Star Adventures","Register to  Run/Walk 5K or challenge yourself to our 10K Run.  Register the kids for our fun Obstacle Run.  All registrants receive Cookies by George at the finish line, Purple Perogy Lunch and are entered to win other fabulous prizes like a laptop computer, birthday party package from Hide n Seek and more!  The 1st 100 kids receive passes to Hide n Seek and all participants registered by Sept 5 are guaranteed a t-shirt and some other cool swag.",
"Transmission Meditation","Monday, September 12, 2022, 7 - 8:30pm","2022-09-12T18:00:00.000","2022-09-12T20:30:00.000","Edmonton","5480","Strathcona","Le Soleil at Roots on Whyte Rm 201, 8135 - 102 St","Free","Other","COE Events","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d161954374","Old Strathcona","161954374","Tickets are not required.  Drop in is fine",,"City of Edmonton|Other","http://www.share-international.ca",,"Can one person truly help a world in transition? Here’s a once a month opportunity to learn about this meditation & to experience it.",,,"Can one person truly help a world in transition?More than you think! Here’s a once a month opportunity to learn about this meditation & to experience it. Transmission Meditation provides a unique opportunity to  work directly with the Masters of Wisdom in stepping down and  distributing the new Aquarian energies during this period of  global transformation. This dynamic group practice is simple  to perform and requires no previous experience in meditation. You are invited to make this vibrant service a part of your life!",
"Cocktails & Jerk Festival","Saturday, September 3, 2022, 1 - 9pm","2022-09-03T12:00:00.000","2022-09-03T21:00:00.000","Edmonton","1090","Downtown","Dr. Wilbert McIntyre Park, 8331 104 St NW, Edmonton, Alberta","FREE","Family / Children,Festivals,Other","COE Events","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d161947687","Other","161947687",,,"City of Edmonton|Festivals","https://www.cocktailsnjerk.ca/",,"A Caribbean themed food event where some of the region's most popular street foods and tropical cocktail beverages will be showcased.",,,"Cocktails and Jerk Festival is a Caribbean themed food event by Summerfield Events Inc., where some of the region's most popular street foods and tropical cocktail beverages (both alcoholic and non-alcoholic) will be showcased. The event will happen on September 3rd and 4th, 2022 from 1pm to 9pm each day at Dr. Wilbert McIntyre Park, 8331 104 St NW, Edmonton. Parking is available, both free and paid.",
"Soraya Hafez School Outdoor Movie Night and Carnival Fundraiser","Saturday, September 17, 2022, 4 - 10pm","2022-09-17T15:00:00.000","2022-09-17T22:00:00.000","Edmonton",,"McConachie Area","980 McConachie Boulevard NW, Edmonton Alberta??T5Y 3N3","30$ per family for movie and 1$ per ticket for Carnival activities","Family / Children,Non-Profit Fundraiser,Other","COE Events","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d161925718","Other","161925718","Buy tickets on eventbrite!",,"City of Edmonton|Concerts / Performances","https://www.eventbrite.ca/e/soraya-hafez-school-outdoor-movie-and-carnival-tickets-402185526737",,"Fundraising Movie Night and Carnival",,,"Come join us for fun and fundraising! Soraya Hafez School and the Playground Committee are hosting a family carnival with games, crafts, and animal fun, and more! Followed by an outdoor screening of Sing 2.Tickets for carnival activities can be purchased on site or through Eventbrite.Activities are $1-$2 (1 ticket = $1)There are also many free activities.Tickets for the movie may be purchased through Eventbrite for early bird family admission.A concession will be available serving snacks, burgers, hot dogs, and refreshments. Gluten free and vegetarian options will be available. Concession is cash only but tickets for activities will be honored as cash at the concessionThis event is sure to be an amazing way to meet your neighbors and build lasting memories with your family, all while helping us raise funds to build a community park!",
"Victoria Promenade Digital Engagement","Ongoing through Friday, September 30, 2022, 11:55pm","2022-08-18T11:00:00.000","2022-09-30T23:55:00.000","Edmonton",,,,,"Public Meeting or similar event","Public Engagement","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d161913312",,"161913312",,,"Public Engagement|External","https://engaged.edmonton.ca/victoria-promenade","Digital Engagement",,"Victoria Promenade",,"The goal of the 2022 Victoria Promenade Project is to create a safe and accessible space for people of all ages and abilities, to walk, bike and roll.Share your experience with the new bike lanes.<a href=""https://engaged.edmonton.ca/victoria-promenade"" target=""_blank""><strong>Visit our Engaged Edmonton page.</strong></a>",
