"policy_number","url","policy_title","policy_date","prepared_by","supercedes","reference","policy_statement","fme_rejection_code"
"C433D","Policy Link (https://www.edmonton.ca/city_government/documents/PoliciesDirectives/C433D.pdf)","Determination of Assessable Roadway-Related Local Improvements","2001-11-13","Transportation and Streets Department","C433C, C433B, C433A","City Council 2001 12 18City Council 1998 02 17City Council 1991 02 26City Council 1989 09 26Municipal Taxation ActCouncil Minutes, 1984 11 27","Construction will be assessed as roadway-related local improvements in accordance with criteria outlined in the attached procedures and the Municipal Government Act, SA 1994, c. M-26.1 (MGA)",
"C435","Policy Link (http://www.edmonton.ca/city_government/documents/PoliciesDirectives/C435.pdf)","The Identification and Acquisition of Land for Social Housing","1987-09-08","Social Services","C115","City Council 1987 09 08The Alberta Mortgage and Housing Corp. ActThe National Housing Act (Canada)","The City of Edmonton will identify the need for sites and will negotiate for the acquisition of sites for family social housing in all new residential neighbourhoods to provide an area of net residential land sufficient to provide family social housing for 5% of the population of that residential neighbourhood at appropriate densities subject to City Council approval. The City of Edmonton Will identify the need for sites and will negotiate for the acquisition of sites for social housing in developed neighbourhoods and for sites for non-family social housing in new neighbourhoods as required subject to City Council approval.",
"C436","Policy Link (http://www.edmonton.ca/city_government/documents/PoliciesDirectives/C436.pdf)","Site Selection Guidelines for Senior Citizen and Family Social Housing","1987-09-08","Social Services","C113","City Council 1987 09 08The General Municipal Plan","The City of Edmonton will utilize the attached guidelines when Planning and sites for Senior Citizen and Family Social Housing Projects.",
"C437","Policy Link (http://www.edmonton.ca/city_government/documents/PoliciesDirectives/C437.pdf)","The Lease or Sale of City-Owned Land for Social Housing Development","1987-09-08","Social Services","C112","National Housing Act (Canada)City Council 1987 09 08M.G.A. (Alta)Alta. Mortgage & Housing ActSenior-Citizens Housing Act (Alta)","The City of Edmonton will make available City-Owned and for social housing development in the following manner through lease or sale to facilitate occupancy by an appropriate mix of income groups, life cycle stages and lifestyles in the specific development: i. Leases to Alberta Mortgage and Housing Corporation Land will be leased on the basis of the land value at the price by which the City acquired or may acquire it with the approval of Alberta Mortgage and Housing Corporation, at a rate of return not to exceed the Alberta Municipal Finance Corporation lending rate at the time the lease is entered into. ii. Leases to the City of Edmonton Non-Profit Housing Corporation Land will be leased for an up-front payment of cost, including carrying charges, plus local improvements, or 50% of market value, plus local improvements, whichever is greater iii. Leases to Social Housing Agencies Excluding Alberta Mortgage and Housing Corporation and the City of Edmonton Non-Profit Housing Corporation. Land will be leased at 50% of market value plus servicing costs on an up-front basis except where the book value of the site exceed 50% of its market value; in which case, the site will be leased at book value plus servicing costs on an up-front basis and an annual amount equal to taxes. iv. Sales to the City of Edmonton Non-Profit Housing Corporation Land will be sold at 50% of market value plus servicing costs on an up-front basis except where the book value of the site exceeds 50% of its market value, in which case, the site will be sold at book value plus servicing costs on an up-front basis. These sales will be made with a guarantee, to the satisfaction of Executive Committee, That should the Corporation dissolve, the City be granted first right of refusal to purchase the sites back, at cost, if the sites are not developed by the Corporation. v. Sales to Social Housing Agencies Excluding the City of Edmonton Non-Profit Housing Corporation Land will be sold at market value.",
"C438","Policy Link (https://www.edmonton.ca/city_government/documents/PoliciesDirectives/C438.pdf)","Social Housing Capital and Operating Subsidy Agreements","1987-09-08","Social Services","New","City Council 1987 09 08Alta. Mortgage & Housing Corp. ActSenior-Citizens Housing Act (Alta)National Housing Act (Canada)","The City of Edmonton will enter into social housing capital and operating subsidy agreements with Alberta Mortgage and Housing Corporation, Canada Mortgage and Housing Corporation, The Edmonton Housing Authority, The Greater Edmonton Foundation and Third Sector Social Housing Agencies for the development and/or management of Social Housing.",
"C448","Policy Link (http://www.edmonton.ca/city_government/documents/PoliciesDirectives/C448.pdf)","The City of Edmonton Archives","1988-09-21","Parks and Recreation","New","City Council 1988 10 11City Council 1971 04 06","The City of Edmonton will provide a planned program for the acquisition, preservation and provision of access to historical records: - of the Corporation - of City Officials - of City Sponsored Organizations and Events - of Organizations connected with the City - from public and private collections relating to the history of the city when deposited by the owners.",
"C450B","Policy Link (https://www.edmonton.ca/city_government/documents/PoliciesDirectives/C450B.pdf)","Policy to Encourage the Designation and Rehabilitation of Municipal Historic Resources in Edmonton","2008-09-03","Planning and Development","C450A","City Council 1988 October 25Historical Resources Act RSA 2000","Historic Resources are integral in providing a sense of identity and place both for tourists and more importantly, for local citizens. Historic buildings and streetscapes in Edmonton provide a tangible connection to the past and serve as a testament to the passage of time, reminding us of our collective history. This policy provides guidelines for the identification, management, protection and promotion of historic resource to enhance the quality of Edmontonâ€™s environment for the benefit of present and future generations.",
"C451G","Policy Link (http://www.edmonton.ca/city_government/documents/PoliciesDirectives/C451G.pdf)","Edmonton Transit System Fare Policy","2015-03-18","Transportation Services","C451","City Council 2010 01 10City Council 2010 01 20City Council 2007 05 08City Council 1992 12 16City Council 1991 12 03City Council 1990 12 11City Council 1989 02 14","Bylaw 8353 requires individuals to pay a fare and show proof of payment when using transit services delivered by the Edmonton Transit System. The fare structure establishes the payment options and fees to be paid by transit users. â— A multi-year transit fare structure shall be included and approved as part of the budget submission as per the Cityâ€™s Multi-year Budgeting Policy.",
"C453","Policy Link (http://www.edmonton.ca/city_government/documents/PoliciesDirectives/C453.pdf)","Street Cleaning â€“ C.B.D. and Selected Strip Commercial Areas","1989-02-14","Transportation Department","C147","City Council 1989 04 25City Council 1980 03 12","The frequency of Street Cleaning Services to roadways and lanes in the central business district shall be five times weekly during the cleaning season. The frequency of Street Cleaning Service to roadways abutting selected strip commercial areas be five times weekly during the cleaning season.",
"C454","Policy Link (http://www.edmonton.ca/city_government/documents/PoliciesDirectives/C454.pdf)","Creation and Transfer of School Sites to School Boards","1989-03-28","Parks and Recreation","1046","City Council 1989 06 06Comm. Ref 16792, 1977 12 07Joint Use Agreement â€“ City Council 1976 06 26Bylaw 5769","The City of Edmonton shall transfer to the Edmonton Public and Catholic School Boards those lands to be used for school buildings and association sports fields upon approval from the provincial government for school construction. All outstanding land acquisition costs, municipal improvements costs, and associated carrying charges (being the responsibility of the school boards), will be invoiced to the school boards in compliance with the joint use agreement with the school boards. The costs for subdivision and redistricting of school and park sites will be shared with the school boards.",
"C456A","Policy Link (http://www.edmonton.ca/city_government/documents/PoliciesDirectives/C456A.pdf)","Corporate Tree Management","2010-03-24","Asset Management and Public Works","C456","City Council 28 November 1989Community Standards Bylaw 14600Parkland Bylaw 2202Traffic Bylaw 5590Natural Area Systems Policy C531North Saskatchewan River Valley ARPNatural Connections Strategic PlanIntegrated Pest Management C501Urban Parks Management Plan","Trees are the longest living organisms on earth. Trees help purify the air we breath, contribute to urban biodiversity, provide wildlife habitat, beautify and enrich our lives throughout the year, sequester carbon and provide a sense of well-being in our urban environment. Therefore, these valuable assets require our dedicated stewardship. Edmontonâ€™s tree canopy, including all ornamental trees and natural treed areas on City property (with the exception of land which is under the jurisdiction of senior orders of government), will be procured, maintained, protected and preserved by the City. Where damage to or loss of City trees occurs, as a result of not complying with the City Guidelines, equitable compensation for that loss will be recovered from the civic or private entity causing the damage or loss and applied to future tree replacements. Work on City trees will be in accordance with the applicable bylaws and policies referenced above concerning boulevards, utility lots, and City trees on any public place and City properties (with the exception of land which is under the jurisdiction of senior orders of government) within Edmonton.",
"C458C","Policy Link (http://www.edmonton.ca/city_government/documents/PoliciesDirectives/C458C.pdf)","Percent for Art to Provide and Encourage Art in Public Areas","2010-03-02","Edmonton Arts Council","C458B","City Council 16 January 1990City Council 14 April 1992City Council 22 August 2007","Public Art is considered to be a key component to the attractiveness and identity of a city; it demonstrates the character of communities; investment in the arts strengthens the local economy; and support for the arts is a reflection of a progressive municipality. The City of Edmonton will dedicate 1% of qualifying construction budgets to cover the costs of implementing City Policy C458C. The Edmonton Arts Council will; in accordance with Master Plan for Public Art (MAP) and City Policies C547, C548, C549; direct the accession, de-accession and administration of public art projects resulting from City Policy C458C. Approved public art will be displayed within or in close proximity to publicly accessible municipal property.",
"C459","Policy Link (https://www.edmonton.ca/city_government/documents/PoliciesDirectives/C459.pdf)","Statuary Policy","1990-01-10","Parks & Recreation","New","City Council 1990 04 24","That all commemorative and non-commemorative statues and their location be reviewed by an Ad Hoc Committee of qualified appointees prior to City Council accepting the gift and its placement on civic property. That when an area of civic property has been named after an individual or theme, first consideration be given to placing related statues at that site. That the City recognize the contribution of Edmontonâ€™s past and present leaders by limiting* commemorative statues in the civic precinct to statues which are related directly to Edmontonâ€™s history, events or people (unless areas exist within the precinct which are named for individuals or themes).",
"C462B","Policy Link (http://www.edmonton.ca/city_government/documents/PoliciesDirectives/C462B.pdf)","Business Revitalization Zone Establishment and Operation","2007-03-06","Planning and Development Department","C462A","C462A City Council 1996 05 07C462 City Council 1992 07 14","The Business Revitalization Zone structure is a mechanism for organizing business interests, resources and opinions within a commercial district comprised of a diversity of business types and numbers. The City encourages and will facilitate the efforts of a business community to improve and promote its economic and physical well-being through the creation of a Business Revitalization Zone Association.",
"C463","Policy Link (http://www.edmonton.ca/city_government/documents/PoliciesDirectives/C463.pdf)","Accessibility to City of Edmonton Owned and Occupied Buildings","1992-07-31","Public Works Department","New","City Council 1992 08 25","The City of Edmonton, as an employer and provider of public services, is committed to providing access to all City of Edmonton owned and occupied buildings. The City of Edmonton is committed that all persons will have reasonable access to City of Edmonton owned and occupied buildings. Reasonable access should be provided to all persons, including persons with disabilities. This applies whether a person is an employee, citizen, visitor, official or other.",
"C464","Policy Link (https://www.edmonton.ca/city_government/documents/PoliciesDirectives/C464.pdf)","Clean-Up of Dangerous Goods","1991-12-18","Dangerous Goods Review Committee","New","City Council 1992 04 28Bylaw 9635 â€“ Cost RecoveryPolicy C457A â€“ Peacetime Emergency PlanTransportation of Dangerous Goods Control Act","Clean-up of Dangerous goods resulting from third party spills in the City of Edmonton will be managed in a coordinated fashion by the Fire Department in order to minimize any adverse effects on life, health, property or the environment. The City will attempt to recover costs associated with the clean-up of Dangerous Goods.",
"C466","Policy Link (http://www.edmonton.ca/city_government/documents/PoliciesDirectives/C466.pdf)","Integration of Persons with Disabilities","1993-03-04","Advisory Board on Services for Persons with Disabilities","New","City Council 1993 03 23","The City of Edmonton shall: - promote full integration of persons with disabilities into the community through information, education and provision of necessary City services; - seek input from persons with disabilities in ensuring civic services meet their needs; - ensure that persons with disabilities have the right to access services provided by the City through special provisions or subsidies as required by persons with disabilities.- ensure persons with disabilities have access to employment opportunities with the City corporation; - where appropriate for employee and employer, modify facilities and/or work schedules or conditions for qualified individuals; - ensure that the administration is made aware of the potential for employment opportunities for persons with disabilities.",
"C468A","Policy Link (http://www.edmonton.ca/city_government/documents/PoliciesDirectives/C468A.pdf)","Policy to Govern the Use of Funds from the Sale of Surplus School Sites","2014-09-10","Sustainable Development","C468","City Council 1994 05 10","Residual funds received from any sale of a surplus school site will be credited to the Funds in Lieu Reserve Account for use by Sustainable Development, in consultation with the affected neighbourhood and other neighbourhoods within the larger plan area through the Capital Priorities Plan Residual funds will be disbursed to the geographic areas which generated the funds in the following order: - firstly within the neighbourhood level plan area. - secondly to adjacent neighbourhoods within the larger plan area. - thirdly to other neighbourhoods or the district park within the larger plan area. Within the geographic areas, funds will be disbursed in the following order: - to retire outstanding debt incurred from the acquisition and servicing of the school site, including accrued interest to the date of receipt of funds from the sale. - to acquire required neighbourhood school land and/or park land including environmentally sensitive natural areas. - to develop parks to the Parks and Recreation Department minimum level of service. - to develop parks to shared level of service, based on assessed program needs.",
"C469A","Policy Link (http://www.edmonton.ca/city_government/documents/PoliciesDirectives/C469A.pdf)","Ward Boundary Design Policy","2009-01-28","Corporate Services Department","C469","City Council 11 October 1994","Clear, distinct and easily identifiable ward boundaries are essential to the municipal election process. Ward boundary design should also respect the democratic principle of â€œone-person, one-voteâ€ by striving to keep ward populations substantially equal.",
"C471C","Policy Link (http://www.edmonton.ca/city_government/documents/PoliciesDirectives/C471C.pdf)","Policy for Siting Telecommunications Facilities","2013-01-14","Sustainable Development Department","C471B","City Council 1997 07 15 C471ACity Council 1998 07 07 C471ACity Council 2006 05 09 C471B","The City of Edmonton requires a facility siting and public consultation process to be conducted by a Proponent, as contemplated by Industry Canada, prior to the endorsement of site(s) for Telecommunications Facilities. This Policy shall apply to proposed Telecommunication Facilities located within the City of Edmonton. This Policy does not apply to Telecommunication Facilities placed within road right-ofways or Provincial Transportation Utility Corridors (TUC).",
"C474","Policy Link (https://www.edmonton.ca/city_government/documents/PoliciesDirectives/C474.pdf)","Lost and Found","1998-07-15","Corporate Services Department, Law Branch","New","City Council 1998 09 15","Section 610 of the Municipal Government Act (M.G.A) authorizes a Municipality to retain lost or unclaimed property coming into its possession. If the lost or unclaimed property is not claimed within 30 days, the Municipality may dispose of it by Public Auction or as City Council directs.",
"C477A","Policy Link (http://www.edmonton.ca/city_government/documents/PoliciesDirectives/C477A.pdf)","Facility Name Sale","2007-02-06","Community Services Department","C477","City Council 1999 11 15","Selling the name of a City of Edmonton facility to an external organization or corporation provides a means of generating new revenues and alternative resources to assist in the construction, support and/or provision of City of Edmonton facilities. While the City of Edmonton will not actively seek proposals for existing facilities, the City of Edmonton may proactively pursue name sale opportunities for new recreation facilities and for elements of current and future facilities. In the event the City does need to consider proposals, name sale agreements shall be established in a manner that safeguards the Cityâ€™s assets and interests, that enhances access and fairness, and that results in the optimal balance of overall benefits to the City and the community. The Naming Committee and Edmonton Historical Board shall be consulted regarding proposed names. A corporation or external organization may become the namesake of a new municipal facility or elements of an existing or future municipal facility as recognition for its financial support, where such support is mutually beneficial to the City, corporation or external organization and community, and consistent with all aspects of existing city guidelines, bylaws and policies. City facilities must be link only with external organizations that are compatible with, complementary to, and reflective of the Cityâ€™s values and mandated. The Cityâ€™s profile and responsibility as owner/operator of the facility must be ensured through the agreement with the external organization or corporation. Concept approval for Administration to explore a name sale opportunity with a potential partner must be obtained from City Council. A Naming Rights Agreement may not compromise the Cityâ€™s ability to carry out its functions fully and impartially. The granting of Naming Rights will not entitle a Naming Entity to preferential treatment by the City outside of the Naming Rights Agreement. The City will not relinquish any aspect of its right to manage and control a Civic Facility through a Naming Rights Agreement.",
