"companyname","address1","address2","city","state","zipcode","website","contact1","phone1","fax1","email1","contracttitle","mwbecertified","vetservdisabled","delawarevendor","contracturl","expiredate","geocoded_location","awarded_vendor","count"
"Eastern Lift Truck Company, Inc.","549 East Linwood Avenue",,"Maple Shade","NJ","08052","www.easternlifttruck.com","Scott Hanson","888-684-6810","302-877-4076","shanson@easternlifttruck.com","Forklifts","N","N","N","http://mmp.delaware.gov/Contracts/Details/4578","2022-09-30T00:00:00.000","549 East Linwood Avenue
Maple Shade, NJ 08052
(39.960125, -74.991633)","Y","1"
"National Mentor Healthcare, LLC (DE Mentor)","28417 Dupont Blvd",,"Millsboro","DE","19966",,"Mary Fazio","302-236-5486",,"mary.fazio@thementornetwork.com","Vocational Rehabilitation Supported Employment Services","N","N","Y","http://mmp.delaware.gov/Contracts/Details/4717","2022-09-30T00:00:00.000","28417 Dupont Blvd
Millsboro, DE 19966
(38.588665, -75.300058)","Y","1"
"Easterseals of Delaware & Maryland Eastern Shore","61 Corporate Circle",,"New Castle","DE","19720",,"Jane Schuler","302-324-4444",,"jschuler@esdel.org","Vocational Rehabilitation Supported Employment Services","N","N","Y","http://mmp.delaware.gov/Contracts/Details/4717","2022-09-30T00:00:00.000","61 Corporate Circle
New Castle, DE 19720
(39.684479, -75.615246)","Y","1"
"Training For Results","19 Lambson Lane",,"New Castle","DE","19720",,"Tanya Powell","302-298-9811",,"tanyapowell@trainingforresultsonline.com","Vocational Rehabilitation Supported Employment Services","N","N","Y","http://mmp.delaware.gov/Contracts/Details/4717","2022-09-30T00:00:00.000","19 Lambson Lane
New Castle, DE 19720
(39.70431, -75.548246)","Y","1"
"Allies, Inc","1262 Whitehorse ? Hamilton Square Road",,"Hamilton","NJ","08690",,"Beth Lopez","609-509-0641",,"blopez@alliesnj.org","Vocational Rehabilitation Supported Employment Services","N","N","N","http://mmp.delaware.gov/Contracts/Details/4717","2022-09-30T00:00:00.000","1262 Whitehorse ? Hamilton Square Road
Hamilton, NJ 08690
(40.207383, -74.685855)","Y","1"
"Elwyn","321 East 11th Street",,"Wilmington","DE","19801",,"Junika Stone - Woodall","302-657-5587",,"junika_stone-woodall@elwyn.org","Vocational Rehabilitation Supported Employment Services","N","N","Y","http://mmp.delaware.gov/Contracts/Details/4717","2022-09-30T00:00:00.000","321 East 11th Street
Wilmington, DE 19801
(39.74509, -75.543815)","Y","1"
"Delmarva Two-Way Radio, Inc.","H-1 West Ocean City Business Park","12636 Sunset Avenue","Ocean City","MD","21842","www.facebook.com/DTWRadio/","Milt Warren","800-372-3461","410-213-7718","milt.warren@delmarvatwoway.com","Public Safety Communications Equipment ? Hand Held Radios","N","Y","Y","http://mmp.delaware.gov/Contracts/Details/4680","2022-09-30T00:00:00.000",,"Y","1"
"Delmarva Communications","113 J & M Drive",,"New Castle","DE","19720",,"Mike Napier","302-324-1230",,"m.napier@delmarva.com","Public Safety Communications Equipment ? Hand Held Radios","N","N","Y","http://mmp.delaware.gov/Contracts/Details/4680","2022-09-30T00:00:00.000",,"Y","1"
"Autism Power Of Delaware","924 Old Harmony Road","Suite 201","Newark","DE","19713",,"Katina Demetriou","302-224-6020",,"katina.demetriou@delautism.org","Vocational Rehabilitation Supported Employment Services","N","N","Y","http://mmp.delaware.gov/Contracts/Details/4717","2022-09-30T00:00:00.000","924 Old Harmony Road
Newark, DE 19713
(39.68935, -75.684229)","Y","1"
"Community Integrated Services","18 West Main Street",,"Middletown","DE","19709",,"Sandra Hanley","302-376-8259",,"sandi.hanley@cisworks.org","Vocational Rehabilitation Supported Employment Services","N","N","Y","http://mmp.delaware.gov/Contracts/Details/4717","2022-09-30T00:00:00.000","18 West Main Street
Middletown, DE 19709
(39.449641, -75.717542)","Y","1"
"Fed Cap Rehabilitation Services, Inc","241 Old Churchmans Road",,"New Castle","DE","19720",,"Brandt Emory","302-757-5587",,"bemory@fedcap.org","Vocational Rehabilitation Supported Employment Services","N","N","Y","http://mmp.delaware.gov/Contracts/Details/4717","2022-09-30T00:00:00.000","241 Old Churchmans Road
New Castle, DE 19720
(39.681767, -75.627429)","Y","1"
"Heartwood","24085 Snug Harbor Circle",,"Seaford","DE","19973",,"David Raymond","302-629-9002",,"heartwoodcorp@comcast.net","Vocational Rehabilitation Supported Employment Services","N","N","Y","http://mmp.delaware.gov/Contracts/Details/4717","2022-09-30T00:00:00.000","24085 Snug Harbor Circle
Seaford, DE 19973
(38.657555, -75.572583)","Y","1"
"The Arc of Delaware","2 Augustine Street Suite",,"Wilmington","DE","19804",,"Susannah Eaton - Ryan","302-996-9400",,"seaton-ryan@thearcofdelaware.org","Vocational Rehabilitation Supported Employment Services","N","N","Y","http://mmp.delaware.gov/Contracts/Details/4717","2022-09-30T00:00:00.000","2 Augustine Street Suite
Wilmington, DE 19804
(39.714103, -75.605783)","Y","1"
"Thrive Real Life Independence, LLC","108 Patriot Dr.","Suite A","Middletown,","DE","19804",,"Yvonne Coleman","302-261-2139",,"yvonne.coleman@thriverli.com","Vocational Rehabilitation Supported Employment Services","N","N","Y","http://mmp.delaware.gov/Contracts/Details/4717","2022-09-30T00:00:00.000","108 Patriot Dr.
Middletown,, DE 19804
(39.437464, -75.748052)","Y","1"
"Salvation Army","P.O. Box 1304","East Dupont Hwy","Millsboro","DE","19966",,"Christy Cugno","302-381-9163",,"christy.cugno@use.salvationarmy.org","Vocational Rehabilitation Supported Employment Services","N","N","Y","http://mmp.delaware.gov/Contracts/Details/4717","2022-09-30T00:00:00.000",,"Y","1"
"Service Source Delaware","13 Reads Way",,"New Castle,","DE","19720",,"Cindy Sterling","302-765-1232",,"cindy.sterling@servicesource.org","Vocational Rehabilitation Supported Employment Services","N","N","Y","http://mmp.delaware.gov/Contracts/Details/4717","2022-09-30T00:00:00.000","13 Reads Way
New Castle,, DE 19720
(39.689431, -75.610706)","Y","1"
"St. Johns Community","901 D Street SW","Suite 800","Washington","DC","20024",,"Laura Strmel","302-250-2505",,"lstrmel@sjcs.org","Vocational Rehabilitation Supported Employment Services","N","N","N","http://mmp.delaware.gov/Contracts/Details/4717","2022-09-30T00:00:00.000","901 D Street SW
Washington, DC 20024
(38.884852, -77.024689)","Y","1"
"JTM Provisions Co., Inc.","200 Sales Dr.",,"Harrison","OH","45030","www.jtmfoodgroup.com","Brian Hofmeier","800-626-2308, Ext 148","513-367-3508","brianhofmeier@jtmfoodgroup.com","Commodity Beef Processsing Frozen Ground Beef","N","N","N","http://mmp.delaware.gov/Contracts/Details/3144","2022-09-30T00:00:00.000","200 Sales Dr.
Harrison, OH 45030
(39.248908, -84.810238)","Y","1"
"Delaware Center for Justice, Inc.","100 West 10th Street",,"Wilmington","DE","19801","www.dcjustice.org","David Bever","302-658-7174",,"dbever@dcjustice.org","Transitional Reentry Services","N","N","Y","http://mmp.delaware.gov/Contracts/Details/3443","2022-09-30T00:00:00.000","100 West 10th Street
Wilmington, DE 19801
(39.745925, -75.548694)","Y","1"
"Aireco Supply, Inc.","9 West Aylesbury Road","Suite E","Timonium","MD","21093","www.mmcontrols.net","Jean Chelton","410-252-1221","410-252-5918","jchelton@aireco.com","HVAC Components, Parts and Filters","N","N","Y","http://mmp.delaware.gov/Contracts/Details/4188","2022-09-30T00:00:00.000","9 West Aylesbury Road
Timonium, MD 21093
(39.433409, -76.62611)","Y","1"
"Tri-Dim Filter","P.O. Box 466",,"Louisa","VA","23093",,"Jeff Cross","800-458-9835 Ext 3803","856-786-5095","j.cross@tridim.com","HVAC Components, Parts and Filters","N","N","N","http://mmp.delaware.gov/Contracts/Details/4188","2022-09-30T00:00:00.000",,"Y","1"
"Eastern Shore Coffee & Water","31404 Old Ocean City Road",,"Salisbury","MD","21804","www.easternshorecoffee.com","Troy Cash","410-749-4494, Ext. 1001","877-265-9962","tcash@easternshorecoffee.com","Coffee, Tea and Juice","N","N","N","http://mmp.delaware.gov/Contracts/Details/456","2022-09-30T00:00:00.000","31404 Old Ocean City Road
Salisbury, MD 21804
(38.377398, -75.523371)","Y","1"
"Interstate Gourmet Coffee Roasters","43 Norfolk Ave.",,"South Easton","MA","02375","www.bostonsbestcoffee.com","Michele Silva","508-238-8393, Ext. 123","508-238-6835","cofroast@aol.com","Coffee, Tea and Juice","N","N","N","http://mmp.delaware.gov/Contracts/Details/456","2022-09-30T00:00:00.000","43 Norfolk Ave.
South Easton, MA 02375
(42.046073, -71.076912)","Y","1"
"Catholic Charities, Inc.","2601 West 4th Street",,"Wilmington","DE","19805","https://www.ccwilm.org/","Donna Forrest, DEAP Manager","302-257-1600",,"dforrest@ccwilm.org","Low-Income Home Energy Assistance Program, Delaware Energy Assistance Program","N","N","Y","http://mmp.delaware.gov/Contracts/Details/986","2022-09-30T00:00:00.000","2601 West 4th Street
Wilmington, DE 19805
(39.75194, -75.579574)","Y","1"
"Strive","1121 Thatcher St.","Suite C","Wilmington","DE","19802",,"Belle Kolclanes","360-335-9729",,"belle@striveleadership.org","Employment and Training Third Party Partner","N","N","Y","http://mmp.delaware.gov/Contracts/Details/5448","2022-09-30T00:00:00.000","1121 Thatcher St.
Wilmington, DE 19802
(39.74239, -75.535793)","Y","1"
"American Institutes for Research","1000 Thomas Jefferson Street NW",,"Washington","DC","20007-3835","www.air.org","Nilve da Silva, D. Contracts Officer","202-403-5086","855-459-6213","NdaSilva@air.org","Multi-Tiered System of Academic Support (MTSS)","N","N","N","http://mmp.delaware.gov/Contracts/Details/3875","2022-09-30T00:00:00.000","1000 Thomas Jefferson Street NW
Washington, DC 20007-3835
(38.902842, -77.060122)","Y","1"
"Fame Inc","2005 Baynard Boulevard",,"Wilmington","DE","19802",,"Don Baker","302-777-3254",,"dbaker@fameinc.org","Employment and Training Third Party Partner","N","N","Y","http://mmp.delaware.gov/Contracts/Details/5448","2022-09-30T00:00:00.000","2005 Baynard Boulevard
Wilmington, DE 19802
(39.757089, -75.545037)","Y","1"
"Corporate Interiors, Inc.","223 Lisa Dr.",,"New Castle","DE","19720","www.corporate-interiors.com","Tinker Navarro","302-356-1032","302-323-9100","tnavarro@corporate-interiors.com","Interior Flooring","Y","N","Y","http://mmp.delaware.gov/Contracts/Details/3103","2022-09-30T00:00:00.000","223 Lisa Dr.
New Castle, DE 19720
(39.658719, -75.605491)","Y","1"
"Flooring Solutions, Inc.","P.O. Box 30000",,"Wilmington","DE","19805","www.flooringsolutions.us","Dominic A Marra, Sr.","302-655-80001, Ext. 222","302-655-7213","dmarra@flooringsolutions.us","Interior Flooring","N","N","Y","http://mmp.delaware.gov/Contracts/Details/3103","2022-09-30T00:00:00.000",,"Y","1"
"SHI International Corp","290 Davidson Ave",,"Somerset","NJ","08873","www.shi.com","Arthur Troisi","610-420-2100",,"Arthur_Troisi@SHI.com","Software Value-Added Reseller","Y","N","N","http://mmp.delaware.gov/Contracts/Details/823","2022-09-30T00:00:00.000","290 Davidson Ave
Somerset, NJ 08873
(40.532467, -74.528662)","Y","1"
"Insight Public Sector, Inc.","6820 S. Harl Ave.",,"Tempe","AZ","85283","www.ips.insight.com","Dennis Westerfield","800-467-4448, Ext. 1715","480-760-7366","teamwesterfield@insight.com","Software Value-Added Reseller","N","N","N","http://mmp.delaware.gov/Contracts/Details/823","2022-09-30T00:00:00.000","6820 S. Harl Ave.
Tempe, AZ 85283
(33.357223, -111.966487)","Y","1"
"Trafcon Industries, Inc.","81 Texaco Rd",,"Mechanicsburg","PA","17050-2623","www.trafcon.com","Mark MacSkimming","717-691-8007","717-697-0813","mark@trafcon.com","Traffic Control Equipment","N","N","N","http://mmp.delaware.gov/Contracts/Details/3713","2022-09-30T00:00:00.000","81 Texaco Rd
Mechanicsburg, PA 17050-2623
(40.226012, -77.042462)","Y","1"
"CDW Government , LLC","625 West Adams Street",,"Chicago","IL","60661","www.cdwg.com","John Armijo","619-358-8651","312-705-9437","john.armijo@cdwg.com","Software Value-Added Reseller","N","N","N","http://mmp.delaware.gov/Contracts/Details/823","2022-09-30T00:00:00.000","625 West Adams Street
Chicago, IL 60661
(41.879275, -87.643599)","Y","1"
"Rumsey Electric Co, Inc.","77 McCullough Drive","Suite 12","New Castle","DE","19720","www.rumsey.com","Lynda Lambert","302-421-3903","302-429-6268","llambert@rumsey.com","Electrical Supply, Lamps and Ballasts","N","N","Y","http://mmp.delaware.gov/Contracts/Details/3624","2022-09-30T00:00:00.000","77 McCullough Drive
New Castle, DE 19720
(39.692384, -75.567375)","Y","1"
"Brandywine Counseling and Community Services, Inc.","2713 Lancaster Avenue",,"Wilmington","DE","19805-5220","www.brandywinecounseling.org","Lynn M Fahey PhD","302-225-9269",,"lfahey@brandwinecounseling.org","Drug Court Diversion Services","N","N","Y","http://mmp.delaware.gov/Contracts/Details/1202","2022-09-30T00:00:00.000","2713 Lancaster Avenue
Wilmington, DE 19805-5220
(39.750227, -75.582884)","Y","1"
"Cheer, Inc.","546 South Bedford St",,"Georgetown","DE","19947","www.cheerde.com","Deborah Joseph","302-854-9555","302-856-5451","djoseph@cheerde.com","Personal Care Service","N","N","Y","http://mmp.delaware.gov/Contracts/Details/5397","2022-09-30T00:00:00.000","546 South Bedford St
Georgetown, DE 19947
(38.665686, -75.378147)","Y","1"
"DEDC LLC","315 South Chapel Street",,"Newark","DE","19711","www.dedc-eng.com","Howard Krinsky","302-738-7172","302-738-7175","hkrinsky@dedc-eng.com","DNG_SRM_AE, DANG Statewide Sustainment, Restoration and Modernization Program","N","N","Y","http://mmp.delaware.gov/Contracts/Details/5191","2022-09-30T00:00:00.000","315 South Chapel Street
Newark, DE 19711
(39.673726, -75.742758)","Y","1"
"Goodwill Delaware & Delaware County","300 East Lea Boulevard",,"Wilmington","DE","19802","www.goodwillde.org","Tracey Mulveny","302-765-1232","302-741-2104","tmulveny@goodwillde.org","Pre-Employment Transition Services (PRE-ETS)","N","N","Y","http://mmp.delaware.gov/Contracts/Details/5427","2022-09-30T00:00:00.000","300 East Lea Boulevard
Wilmington, DE 19802
(39.756386, -75.51754)","Y","1"
"Jewish Family Services of Delaware","99 Passmore Road",,"Wilmington","DE","19803","https://www.jfsdelaware.org/","Regina Alonzo","302-478-9411 (111)",,"RAlonzo@jfsdelaware.org","Supplemental Nutrition Assist Program (SNAP) Outreach","N","N","Y","http://mmp.delaware.gov/Contracts/Details/5247","2022-09-30T00:00:00.000","99 Passmore Road
Wilmington, DE 19803
(39.811797, -75.551947)","Y","1"
"Food Bank of Delaware Inc","222 Lake Drive",,"Newark","DE","19702","www.fbd.org","Anna McDermott","302-444-8125",,"AMcDermott@fbd.org","Pre-Employment Transition Services (PRE-ETS)","N","N","Y","http://mmp.delaware.gov/Contracts/Details/5427","2022-09-30T00:00:00.000","222 Lake Drive
Newark, DE 19702
(39.613473, -75.753418)","Y","1"
"American Technologies, Inc.","7 Chelsea Parkway","Suite 708","Boothwyn","PA","19061","www.atirestoration.com","Mike Reagle","610-686-8130","610-494-5177","mike.reagle@atirestoration.com","Fire and Water Damage Remediation Services","N","N","N","http://mmp.delaware.gov/Contracts/Details/924","2022-09-30T00:00:00.000","7 Chelsea Parkway
Boothwyn, PA 19061
(39.851492, -75.447786)","Y","1"
"Environmental Services, Inc.","461 New Churchmans Road",,"New Castle","DE","19720","www.esi-green.com","Nelson A. Constanza","302-322-8946, Ext. 113","302-322-2894","nconstanza@countygrp.com","Fire and Water Damage Remediation Services","N","N","Y","http://mmp.delaware.gov/Contracts/Details/924","2022-09-30T00:00:00.000","461 New Churchmans Road
New Castle, DE 19720
(39.669466, -75.613866)","Y","1"
"Tri-State Carpet Inc","2 South Poplar Street",,"Wilmington","DE","19801","www.tristatecpt.com","Thomas Hicken","302-654-8193, Ext.150","302-654-6918","thicken@tristatecpt.com","Interior Flooring","N","N","Y","http://mmp.delaware.gov/Contracts/Details/3103","2022-09-30T00:00:00.000","2 South Poplar Street
Wilmington, DE 19801
(39.736289, -75.548977)","Y","1"
"Parker Consulting LLC","P.O. Box 261",,"Denton","MD","21629","https://parker.consulting/","Samantha Parker","410-829-5699",,"samantha@parker.consulting","Project Coordination Services","N","N","N","http://mmp.delaware.gov/Contracts/Details/1275","2022-09-30T00:00:00.000",,"Y","1"
"WESCO Distribution, Inc.","5 Germay Drive",,"Wilmington","DE","19804","www.wesco.com","Joe McHugh","302-655-9611","302-655-9635","JMcHugh@wesco.com","Electrical Supply, Lamps and Ballasts","N","N","Y","http://mmp.delaware.gov/Contracts/Details/3624","2022-09-30T00:00:00.000","5 Germay Drive
Wilmington, DE 19804
(39.730964, -75.57863)","Y","1"
"Advanced Power Control, Inc","126 Sandy Drive",,"Newark","DE","18713","www.albireoenergy.com","Park Beaudett","302-368-0443 ext. 240","302-368-5764","pbeaudett@albireoenergy.com","Building Automation Services","N","N","Y","http://mmp.delaware.gov/Contracts/Details/811","2022-09-30T00:00:00.000","126 Sandy Drive
Newark, DE 18713
(39.658351, -75.773042)","Y","1"
"Modern Controls Inc","7 Bellecor Drive",,"New Castle","DE","19720","www.moderncontrols.com","William Schatzman","302-325-6800","302-325-6808","bshatzman@moderncontrols.com","Building Automation Services","N","N","Y","http://mmp.delaware.gov/Contracts/Details/811","2022-09-30T00:00:00.000","7 Bellecor Drive
New Castle, DE 19720
(39.693893, -75.59554)","Y","1"
"Radius Systems  LLC","101 Ponds Edge Drive","Suite 201","Chadds Ford","PA","19317","www.radiussystemsllc.com","Michael Helm","610-388-9940 ext. 224","610-388-9945","mhelm@radiussystemsllc.com","Building Automation Services","N","N","Y","http://mmp.delaware.gov/Contracts/Details/811","2022-09-30T00:00:00.000","101 Ponds Edge Drive
Chadds Ford, PA 19317
(39.873134, -75.623215)","Y","1"
"DiRAD Technologies, Inc.","9 Corporate Drive",,"Clifton Park","NY","12065","www.dirad.com","Lisa Wissert","519-438-6000","518-982-0182","Lisa.wissert@dirad.com","Telecommunications Systems and Services","Y","N","N","http://mmp.delaware.gov/Contracts/Details/3659","2022-09-30T00:00:00.000","9 Corporate Drive
Clifton Park, NY 12065
(42.84629, -73.758307)","Y","1"
"Info Solutions, LLC","12 Penns Way",,"New Castle","DE","19720","www.infosolutionsllc.com","William Riley","302-373-6909",,"Wriley@infosolutionsllc.com","Telecommunications Systems and Services","N","N","Y","http://mmp.delaware.gov/Contracts/Details/3659","2022-09-30T00:00:00.000","12 Penns Way
New Castle, DE 19720
(39.683208, -75.61079)","Y","1"
"MTM Technologies, Inc.","1675A South State St.",,"Dover","DE","19901","www.mtm.com","Michael Carey","302-670-7000",,"mcarey@atsg.net","Telecommunications Systems and Services","N","N","Y","http://mmp.delaware.gov/Contracts/Details/3659","2022-09-30T00:00:00.000","1675A South State St.
Dover, DE 19901
(39.128542, -75.518502)","Y","1"
"Netstream Technology, Inc.","26 Sheffield Manor Dr.",,"Newark","DE","19711","www.netstreamtechinc.com","Michael Olivere","302-525-4867",,"molivere@netstreamtechinc.com","Telecommunications Systems and Services","N","N","Y","http://mmp.delaware.gov/Contracts/Details/3659","2022-09-30T00:00:00.000","26 Sheffield Manor Dr.
Newark, DE 19711
(39.698139, -75.691786)","Y","1"
"Arugie Enterprises Corp","612 S. Colonial Ave","Suite A","Wilmington","DE","19805",,"Joseph Ruggieri","302-225-2000","302-335-2010","sales@whyarg.com","Telecommunications Systems and Services","N","Y","Y","http://mmp.delaware.gov/Contracts/Details/3659","2022-09-30T00:00:00.000","612 S. Colonial Ave
Wilmington, DE 19805
(39.743077, -75.586864)","Y","1"
"NCS Pearson Inc.","5601 Green Valley Dr Ste 220",,"Minneapolis","MN","55437-1187","http://www.pearsonassessments.com/","Llana Williams","719-338-9754",,"llana.williams@pearson.com","Next Generation Science Assessment System for Delaware Learners Phase II","N","N","N","http://mmp.delaware.gov/Contracts/Details/3673","2022-09-30T00:00:00.000","5601 Green Valley Dr Ste 220
Minneapolis, MN 55437-1187
(44.858582, -93.353794)","Y","1"
"Hilyard's Inc.","1616 Newport Gap Pike",,"Wilmington","DE","19808","www.hilyards.com","Michael Hilyard","302-995-2201","302-995-2277","mhilyard@hilyards.com","Telecommunications Systems and Services","N","N","Y","http://mmp.delaware.gov/Contracts/Details/3659","2022-09-30T00:00:00.000","1616 Newport Gap Pike
Wilmington, DE 19808
(39.731192, -75.625224)","Y","1"
"MH Miles Company, CPA, PC","1945 Mason Hill Road","Suite 200","Decatur","GA","30033","www.MHMILES.com","Monica Miles","404-633-4555","404-728-9937","mmiles@mhm-cpa.com","Child and Adult Food Program Administrative Reviews","N","N","N","http://mmp.delaware.gov/Contracts/Details/3717","2022-09-30T00:00:00.000","1945 Mason Hill Road
Decatur, GA 30033
(33.807043, -84.310295)","Y","1"
"Lakeshore Equipment Company dba Lakeshore Learning Materials","2695 East Dominguez Street",,"Carson","CA","90895","www.lakeshorelearning.com","Rafael Muro","800-421-5354, Ext. 2653","310-537-7990","biddept@lakeshorelearning.com","Art and Instructional School Supplies","N","N","N","http://mmp.delaware.gov/Contracts/Details/3703","2022-09-30T00:00:00.000","2695 East Dominguez Street
Carson, CA 90895
(33.8392, -118.22)","Y","1"
"United Way of Delaware","625 North Orange Street",,"Wilmington","DE","19801","http://www.uwde.org/","Michelle Taylor","302-573-3722","302-573-2420","mtaylor@uwde.org","Employment and Training Third Party Partner","N","N","Y","http://mmp.delaware.gov/Contracts/Details/5448","2022-09-30T00:00:00.000","625 North Orange Street
Wilmington, DE 19801
(39.743065, -75.551124)","Y","1"
"MSC Industrial Supply Co.","401 East Marsh Lane","Unit 2","Newport","DE","19804","www.mscdirect.com","NewCastle Delaware Branch","302-322-5441","302-328-7024","ezrinr@mscdirect.com","Electrical Supply, Lamps and Ballasts","N","N","Y","http://mmp.delaware.gov/Contracts/Details/3624","2022-09-30T00:00:00.000","401 East Marsh Lane
Newport, DE 19804
(39.713562, -75.596088)","Y","1"
"United Electric Supply Co., Inc.","10 Bellecor Dr.",,"New Castle","DE","19720","www.unitedelectric.com","Jim Petka","302-322-3333, Ext. 231","302-324-3333","jpetka@unitedelectric.com","Electrical Supply, Lamps and Ballasts","N","N","Y","http://mmp.delaware.gov/Contracts/Details/3624","2022-09-30T00:00:00.000","10 Bellecor Dr.
New Castle, DE 19720
(39.694464, -75.595176)","Y","1"
"Bayshore Transportation System Inc DBA Bayshore Office Moving","910 Dawson Drive",,"Newark","DE","19713","www.bayshoreteam.com","Bobby Vandenbraak","302-690-1728","302-444-8004","bobbyv@bayshoreteam.com","Professional Moving Services","Y","N","Y","http://mmp.delaware.gov/Contracts/Details/3660","2022-09-30T00:00:00.000","910 Dawson Drive
Newark, DE 19713
(39.652918, -75.724156)","Y","1"
"Delaware Moving & Storage","214 Bear-Christiana Road",,"Bear","DE","19701",,"James Hopkins","302-322-0311 Ext: 100","302-323-0669","jd@delawaremovingandstorage.com","Professional Moving Services","N","N","Y","http://mmp.delaware.gov/Contracts/Details/3660","2022-09-30T00:00:00.000","214 Bear-Christiana Road
Bear, DE 19701
(39.656651, -75.654669)","Y","1"
"Hopkins and Sons Inc.","1 Bellecor Drive",,"New Castle","DE","19720","www.hopkinsandsons.com","Mark Pitrizzi","302-322-5421","302-322-9911","markp@hopkinsandsons.com","Professional Moving Services","N","N","Y","http://mmp.delaware.gov/Contracts/Details/3660","2022-09-30T00:00:00.000","1 Bellecor Drive
New Castle, DE 19720
(39.692664, -75.596354)","Y","1"
"Quiah Group, Inc.","11317 Aristotle Drive","Suite 310","Fairfax","VA","22030","https://quiahgroup.com","Rosetta Quiah","202-427-5998","571-775-3498","rquiah@quiahgroup.com","Contract Compliance Audits and Cost Recovery Services","Y","N","N","http://mmp.delaware.gov/Contracts/Details/4700","2022-09-30T00:00:00.000","11317 Aristotle Drive
Fairfax, VA 22030
(38.862054, -77.338749)","Y","1"
