"fiscal_year","department","division","amount"
"2017","DEPT OF LABOR","OSHA/BLS","575196.25"
"2017","DEPT OF LABOR","UNEMPLOYMENT INSURANCE","33210406.58"
"2017","DEPT OF LABOR","VOCATIONAL REHABILITATION SVCS","19023454.98"
"2017","DEPT OF NATRL RES AND ENV CONT","AIR QUALITY","6457132.27"
"2017","DEPT OF NATRL RES AND ENV CONT","COASTAL PROGRAMS","2852289.19"
"2017","DEPT OF NATRL RES AND ENV CONT","COMMUNITY SERVICES","1462790.79"
"2017","DEPT OF NATRL RES AND ENV CONT","ENERGY AND CLIMATE","17145557.05"
"2017","DEPT OF NATRL RES AND ENV CONT","FINANCIAL SERVICES","35679562.00"
"2017","DEPT OF NATRL RES AND ENV CONT","FISCAL MANAGEMENT","2803095.76"
"2017","DEPT OF NATRL RES AND ENV CONT","FISH AND WILDLIFE","21482770.85"
"2017","DEPT OF NATRL RES AND ENV CONT","INFORMATION TECHNOLOGY","1478808.23"
"2017","DEPT OF NATRL RES AND ENV CONT","OFFICE OF THE SECRETARY","7815945.38"
"2017","DEPT OF NATRL RES AND ENV CONT","PARKS AND RECREATION","45098609.26"
"2017","DEPT OF NATRL RES AND ENV CONT","WASTE AND HAZARDOUS SUBSTANCES","20497758.17"
"2017","DEPT OF NATRL RES AND ENV CONT","WATER","9014555.27"
"2017","DEPT OF NATRL RES AND ENV CONT","WATERSHED STEWARDSHIP","31826421.94"
"2017","DEPT OF SAFETY & HOMELAND SEC","ADMINISTRATION","17617118.13"
"2017","DEPT OF SAFETY & HOMELAND SEC","AVIATION","5967518.58"
"2017","DEPT OF SAFETY & HOMELAND SEC","BLDG MAINTENANCE & CONSTR","378934.24"
"2017","DEPT OF SAFETY & HOMELAND SEC","CAPITOL POLICE","7941979.02"
"2017","DEPT OF SAFETY & HOMELAND SEC","COMMUNICATION","7537325.79"
"2017","DEPT OF SAFETY & HOMELAND SEC","COMMUNICATIONS","8483876.68"
"2017","DEPT OF SAFETY & HOMELAND SEC","COMMUNITY RELATIONS","1869393.83"
"2017","DEPT OF SAFETY & HOMELAND SEC","CRIMINAL INVESTIGATION","32195561.18"
"2017","DEPT OF SAFETY & HOMELAND SEC","DEMA","7613640.88"
"2017","DEPT OF SAFETY & HOMELAND SEC","DEVELOP DISABILITIES COUNCIL","555632.50"
"2017","DEPT OF SAFETY & HOMELAND SEC","DIVISION OF FORENSIC SCIENCE","6411772.46"
"2017","DEPT OF SAFETY & HOMELAND SEC","DIVISION OF GAMING ENFORCEMENT","2232305.83"
"2017","DEPT OF SAFETY & HOMELAND SEC","DIV OF ALCOHOL & TOBAC ENFORCE","1879780.50"
"2017","DEPT OF SAFETY & HOMELAND SEC","HIGHWAY SAFETY","5305901.80"
"2017","DEPT OF SAFETY & HOMELAND SEC","OFFICE OF ABC COMMISSIONER","478434.47"
"2017","DEPT OF SAFETY & HOMELAND SEC","PATROL","51678278.54"
"2017","DEPT OF SAFETY & HOMELAND SEC","SPECIAL INVESTIGATION","10166368.49"
"2017","DEPT OF SAFETY & HOMELAND SEC","STATE POLICE-EXECUTIVE","9582194.09"
"2017","DEPT OF SAFETY & HOMELAND SEC","STATE POLICE TRAFFIC","3524839.51"
"2017","DEPT OF SAFETY & HOMELAND SEC","STATE POLICE TRAINING","2531777.69"
"2017","DEPT OF SAFETY & HOMELAND SEC","STATE POLICE TRANSPORTATION","9872639.06"
"2017","DEPT OF SAFETY & HOMELAND SEC","ST. BUREAU OF IDENTIFICATION","4431917.35"
"2017","DEPT OF SAFETY & HOMELAND SEC","ST COUNCIL PERSON W/DISIB","217670.01"
"2017","DEPT OF STATE","ADMINISTRATION","4733288.09"
"2017","DEPT OF STATE","ARTS, OFFICE OF THE DIRECTOR","4335903.44"
"2017","DEPT OF STATE","CORPORATIONS","35446214.05"
"2017","DEPT OF STATE","DELAWARE PUBLIC ARCHIVES","2456701.13"
"2017","DEPT OF STATE","DEL COMM. OF  VETERANS AFFAIRS","4118211.07"
"2017","DEPT OF STATE","EMPLOYMENT RELATIONS BOARDS","367021.74"
"2017","DEPT OF STATE","GOVERNMENT INFORMATION CENTER","2011472.29"
"2017","DEPT OF STATE","HUMAN RELATIONS/COMM FOR WOMEN","741773.46"
"2017","DEPT OF STATE","LIBRARIES","17806789.55"
"2017","DEPT OF STATE","OFFICE OF THE DIRECTOR","5878510.40"
"2017","DEPT OF STATE","PROFESSIONAL REGULATION","5189493.68"
"2017","DEPT OF STATE","PUBLIC ADVOCATE","1032550.47"
"2017","DEPT OF STATE","PUBLIC INTEGRITY COMMISSION","204276.53"
"2017","DEPT OF STATE","PUBLIC SERVICE COMMISSION","4257054.68"
"2017","DEPT OF STATE","STATE BANKING COMMISSION","4936925.73"
"2017","DEPT OF STATE","VETERANS HOME","16799647.25"
"2017","DEPT OF TECHNOLOGY & INFORMATI","APPLICATIONS DELIVERY","9477812.24"
"2017","DEPT OF TECHNOLOGY & INFORMATI","CHIEF INFORMATION OFFICER","950101.43"
"2017","DEPT OF TECHNOLOGY & INFORMATI","CHIEF OPERATING OFFICER","11597403.10"
"2017","DEPT OF TECHNOLOGY & INFORMATI","CHIEF SECURITY OFFICER","1285723.67"
"2017","DEPT OF TECHNOLOGY & INFORMATI","CHIEF TECHNOLOGY OFFICER","1370305.27"
"2017","DEPT OF TECHNOLOGY & INFORMATI","CONTROLLER'S OFFICE","2485601.69"
"2017","DEPT OF TECHNOLOGY & INFORMATI","CUSTOMER ENGAGEMENT TEAM","1947778.87"
"2017","DEPT OF TECHNOLOGY & INFORMATI","DATA CENTER AND OPERATIONS","26176887.53"
"2017","DEPT OF TECHNOLOGY & INFORMATI","ENTERPRISE SOLUTIONS","5115838.35"
"2017","DEPT OF TECHNOLOGY & INFORMATI","SENIOR PROJECT MANAGEMENT TEAM","2407964.93"
"2017","DEPT OF TECHNOLOGY & INFORMATI","SYSTEMS ENGINEERING","3467894.26"
"2017","DEPT OF TECHNOLOGY & INFORMATI","TELECOMMUNICATIONS","9644147.57"
"2017","DEPT OF TRANSPORTATION","ADMINISTRATION","22937293.66"
"2017","DEPT OF TRANSPORTATION","CAPITAL PROJECT COST CENTER","573548936.14"
"2017","DEPT OF TRANSPORTATION","COMMUNITY RELATIONS","769578.52"
"2017","DEPT OF TRANSPORTATION","DEL TRANSPORTATION AUTHORITY","88314482.26"
"2017","DEPT OF TRANSPORTATION","E MOTOR FUEL TAXADMINISTRATION","249.82"
"2017","DEPT OF TRANSPORTATION","ENGINEERING SUPPORT","5682063.30"
"2017","DEPT OF TRANSPORTATION","FINANCE","9553196.25"
"2017","DEPT OF TRANSPORTATION","HUMAN RESOURCES","1781209.82"
"2017","DEPT OF TRANSPORTATION","MAINTENANCE DISTRICTS","64951453.85"
"2017","DEPT OF TRANSPORTATION","OFFICE OF THE SECRETARY","2763417.24"
"2017","DEPT OF TRANSPORTATION","PLANNING","6235351.52"
"2017","DEPT OF TRANSPORTATION","TECHNOLOGY AND INNOVATION","15824845.62"
"2017","DEPT OF TRANSPORTATION","TOLL ADMINISTRATION","17181310.41"
"2017","DEPT OF TRANSPORTATION","TRAFFIC","12950709.66"
"2017","EXECUTIVE","ADMINISTRATION","1669093.98"
"2017","EXECUTIVE","BUDGET ADMINISTRATION","11630630.16"
"2017","EXECUTIVE","CONTINGENCIES & ONE TIME ITEMS","71745926.71"
"2017","EXECUTIVE","CONTRACTING","1953504.21"
"2017","EXECUTIVE","CRIMINAL JUSTICE COUNCIL","9962005.40"
"2017","EXECUTIVE","DEDO - OFFICE OF THE DIRECTOR","1146425.48"
"2017","EXECUTIVE","DE JUSTICE INFORMATION SYSTEMS","3395923.66"
"2017","EXECUTIVE","DELAWARE SURPLUS SERVICES","449916.98"
"2017","EXECUTIVE","DELAWARE TOURISM OFFICE","2679901.47"
"2017","EXECUTIVE","DEL ECONOMIC DEVELOPMENT AUTH.","68110402.25"
"2017","EXECUTIVE","FACILITIES MANAGEMENT","60762898.03"
"2017","EXECUTIVE","FLEET MANAGEMENT","15901733.59"
"2017","EXECUTIVE","FOOD DISTRIBUTION","1278825.24"
"2017","EXECUTIVE","HUMAN RESOURCE OPERATIONS","4261326.22"
"2017","EXECUTIVE","INSURANCE COVERAGE OFFICE","42695096.71"
"2017","EXECUTIVE","MAIL/COURIER SERVICES","2426493.19"
"2017","EXECUTIVE","OFFICE OF THE GOVERNOR","2674763.00"
"2017","EXECUTIVE","PENSIONS","314751418.36"
"2017","EXECUTIVE","PHRST","3195288.66"
"2017","EXECUTIVE","STAFF DEVELOPMENT & TRAINING","1067148.90"
"2017","EXECUTIVE","STATE HOUSING AUTHORITY","28804350.59"
"2017","EXECUTIVE","STATEWIDE BENEFITS","847881512.88"
"2017","EXECUTIVE","STATISTICAL ANALYSIS CENTER","753072.49"
"2017","FIRE PREVENTION COMMISSION","OFFICE O/T STATE FIRE MARSHAL","4207453.53"
"2017","FIRE PREVENTION COMMISSION","STATE FIRE PREVENTION COMM.","2354713.87"
"2017","FIRE PREVENTION COMMISSION","STATE FIRE SCHOOL","3934791.01"
"2017","HIGHER EDUCATION","DEL GEOLOGICAL SURVEY","1966500"
"2017","HIGHER EDUCATION","DEL STATE UNIV-OPERATIONS","81738707.32"
"2017","HIGHER EDUCATION","DIVME","279900"
"2017","HIGHER EDUCATION","DTCC - OFFICE OF THE PRESIDENT","45366917.31"
"2017","HIGHER EDUCATION","DTCC - STANTON CAMPUS","40872796.05"
"2017","HIGHER EDUCATION","DTCC - TERRY CAMPUS","31860231.52"
"2017","HIGHER EDUCATION","OWENS CAMPUS","46067538.22"
"2017","HIGHER EDUCATION","SPONSORED PROG & RESEARCH","13176643.62"
"2017","HIGHER EDUCATION","UNIVERSITY OF DELAWARE","127917637.98"
"2017","HIGHER EDUCATION","WILMINGTON CAMPUS","32147848.62"
"2017","JUDICIAL","CENTRAL SERVICES ACCOUNT","31766.89"
"2017","JUDICIAL","CHILD DEATH REVIEW COMMISSION","505611.29"
"2017","JUDICIAL","CHILD PLACEMENT REVIEW BOARD","620882.84"
"2017","JUDICIAL","COURT OF CHANCERY","5668005.91"
"2017","JUDICIAL","COURT OF COMMON PLEAS","12026606.18"
"2017","JUDICIAL","DE NURSING HOME RES QA COMMISS","84023.07"
"2017","JUDICIAL","FAMILY COURT","26676191.51"
"2017","JUDICIAL","INFORMATION TECHNOLOGY","4847283.96"
"2017","JUDICIAL","JUD/SUPREME COURT","4661912.74"
"2017","JUDICIAL","JUSTICE OF THE PEACE COURT","23771254.37"
"2017","JUDICIAL","LAW LIBRARIES","473819.53"
"2017","JUDICIAL","OFC OF ST COURT ADMINISTRATOR","7087349.57"
"2017","JUDICIAL","OFC OF ST COURT COLLECT ENFORC","1748678.86"
"2017","JUDICIAL","OFFICE OF THE CHILD ADVOCATE","1718350.39"
"2017","JUDICIAL","OFFICE OF THE PUBLIC GUARDIAN","743826.53"
"2017","JUDICIAL","REG-ARMS OF THE COURT","1224198.41"
"2017","JUDICIAL","SUPERIOR COURT","31916304.59"
"2017","LEGAL","OFFICE OF ATTORNEY GENERAL","53669094.62"
"2017","LEGAL","OFFICE OF CONFLICTS COUNSEL","7352872.99"
"2017","LEGAL","PUBLIC DEFENDER","17852054.45"
"2017","LEGISLATIVE BRANCH","CODE REVISORS","79271.36"
"2017","LEGISLATIVE BRANCH","COMMISSION ON INTERSTATE COOP","717513.78"
"2017","LEGISLATIVE BRANCH","COMM. ON UNIFORM STATE LAWS","46937.88"
"2017","LEGISLATIVE BRANCH","DIVISION OF RESEARCH","1636895.91"
"2017","LEGISLATIVE BRANCH","GENERAL ASSEMBLY, HOUSE","6391384.60"
"2017","LEGISLATIVE BRANCH","GENERAL ASSEMBLY, SENATE","4284525.94"
"2017","LEGISLATIVE BRANCH","OFFICE OF CONTROLLER GENERAL","6430946.47"
"2017","OTHER ELECTIVE OFFICES","ADMINISTRATION","115193503.74"
"2017","OTHER ELECTIVE OFFICES","AUDITOR OF ACCOUNTS","3769409.00"
"2017","OTHER ELECTIVE OFFICES","BUR. OF EXAM, REHAB & GUARANTY","22501533.22"
"2017","OTHER ELECTIVE OFFICES","DEBT MANAGEMENT","523607.85"
"2017","OTHER ELECTIVE OFFICES","LIEUTENANT GOVERNOR","300937.81"
"2017","OTHER ELECTIVE OFFICES","REFUNDS & GRANTS","47757801.68"
"2017","OTHER ELECTIVE OFFICES","REGULATORY ACTIVITIES","1493964.57"
"2017","SVS FR CHILDREN,YOUTH,FAMILIES","24 HOUR TREATMENT","21600121.54"
"2017","SVS FR CHILDREN,YOUTH,FAMILIES","COMMUNITY SERVICES","18364962.45"
"2017","SVS FR CHILDREN,YOUTH,FAMILIES","DSCYF-OFFICE OF THE SECRETARY","1464331.02"
"2017","SVS FR CHILDREN,YOUTH,FAMILIES","EDUCATION SERVICES","6987929.09"
"2017","SVS FR CHILDREN,YOUTH,FAMILIES","FACILITIES MANAGEMENT","3395070.44"
"2017","SVS FR CHILDREN,YOUTH,FAMILIES","FISCAL SERVICES","2778688.49"
"2017","SVS FR CHILDREN,YOUTH,FAMILIES","HUMAN RESOURCES","1429697.01"
"2017","SVS FR CHILDREN,YOUTH,FAMILIES","INTAKE/INVESTIGATION","11198862.29"
"2017","SVS FR CHILDREN,YOUTH,FAMILIES","INTERVENTION/TREATMENT","45282083.98"
"2017","SVS FR CHILDREN,YOUTH,FAMILIES","MANAGED CARE ORGANIZATION","12338808.96"
"2017","SVS FR CHILDREN,YOUTH,FAMILIES","MANAGEMENT INFORMATION SYSTEMS","16413244.64"
"2017","SVS FR CHILDREN,YOUTH,FAMILIES","OFFICE OF THE DIRECTOR","8569522.75"
"2017","SVS FR CHILDREN,YOUTH,FAMILIES","OFFICE O/T DIRECTOR","3823005.98"
"2017","SVS FR CHILDREN,YOUTH,FAMILIES","PERIODIC TREATMENT","17232277.66"
"2017","SVS FR CHILDREN,YOUTH,FAMILIES","PREVENTION/EARLY INTERVENTION","10642173.50"
"2017","SVS FR CHILDREN,YOUTH,FAMILIES","SECURE CARE","25398505.22"
"2018","ADVISORY COUNC EXCEPTNL CITIZN","ADVSRY CNCL FOR EXCEP CITIZENS","285765.37"
"2018","DELAWARE NATIONAL GUARD","DELAWARE NATIONAL GUARD","28209412.70"
"2018","DEPARTMENT OF HUMAN RESOURCES","DIVISION OF DIVERSITY AND INCL","205388.03"
"2018","DEPARTMENT OF HUMAN RESOURCES","DIVISION OF LABOR RELATIONS AN","718614.78"
"2018","DEPARTMENT OF HUMAN RESOURCES","DIVISION OF PERSONNEL MANAGEME","2268500.08"
"2018","DEPARTMENT OF HUMAN RESOURCES","DIVISION OF STATEWIDE BENEFITS","795141379.80"
"2018","DEPARTMENT OF HUMAN RESOURCES","INSUR COVERAGE OFFICE OF M & B","48611760.28"
"2018","DEPARTMENT OF HUMAN RESOURCES","OFFICE OF THE SECRETARY","1010477.86"
"2018","DEPARTMENT OF HUMAN RESOURCES","OFFICE OF WOMEN'S ADVANCEMENT","176393.10"
"2018","DEPARTMENT OF HUMAN RESOURCES","STAFF DEVELOPMENT AND TRAINING","936759.54"
"2018","DEPT OF AGRICULTURE","ADMINISTRATION","2640991.77"
"2018","DEPT OF AGRICULTURE","AG LANDSPRESERVATIONFOUNDATION","3977570.45"
"2018","DEPT OF AGRICULTURE","AGRICULTURE COMPLIANCE","545865.24"
"2018","DEPT OF AGRICULTURE","ANIMAL HEALTH","1008513.27"
"2018","DEPT OF AGRICULTURE","FOOD PRODUCTS INSPECTION","1864223.50"
