"industry","sector","subsector","industry_group","_4_digit_naics","business_to_remain_open","notes"
"Trade, Transportation, and Utilities","Transportation and Warehousing","Air Transportation","Scheduled Air Transportation","4811","true","null"
"Trade, Transportation, and Utilities","Transportation and Warehousing","Air Transportation","Nonscheduled Air Transportation","4812","true","null"
"Trade, Transportation, and Utilities","Transportation and Warehousing","Rail Transportation","null","4821","true","null"
"Trade, Transportation, and Utilities","Transportation and Warehousing","Water Transportation","Deep Sea, Coastal, and Great Lakes Water Transportation","4831","true","null"
"Trade, Transportation, and Utilities","Transportation and Warehousing","Water Transportation","Inland Water Transportation","4832","true","null"
"Trade, Transportation, and Utilities","Transportation and Warehousing","Truck Transportation","General Freight Trucking","4841","true","null"
"Trade, Transportation, and Utilities","Transportation and Warehousing","Truck Transportation","Specialized Freight Trucking","4842","true","null"
"Trade, Transportation, and Utilities","Transportation and Warehousing","Transit and Ground Passenger Transportation","Urban Transit Systems","4851","true","null"
"Trade, Transportation, and Utilities","Transportation and Warehousing","Transit and Ground Passenger Transportation","Interurban and Rural Bus Transportation","4852","true","null"
"Trade, Transportation, and Utilities","Transportation and Warehousing","Transit and Ground Passenger Transportation","Taxi and Limousine Service","4853","true","null"
"Trade, Transportation, and Utilities","Transportation and Warehousing","Transit and Ground Passenger Transportation","School and Employee Bus Transportation","4854","true","null"
"Trade, Transportation, and Utilities","Transportation and Warehousing","Transit and Ground Passenger Transportation","Charter Bus Industry","4855","false","null"
"Trade, Transportation, and Utilities","Transportation and Warehousing","Transit and Ground Passenger Transportation","Other Transit and Ground Passenger Transportation","4859","true","null"
"Trade, Transportation, and Utilities","Transportation and Warehousing","Pipeline Transportation","Pipeline Transportation of Crude Oail","4861","true","null"
"Trade, Transportation, and Utilities","Transportation and Warehousing","Pipeline Transportation","Pipeline Transportation of Natural Gas","4862","true","null"
"Trade, Transportation, and Utilities","Transportation and Warehousing","Pipeline Transportation","Other Pipeline Transportation","4869","true","null"
"Trade, Transportation, and Utilities","Transportation and Warehousing","Scenic and Sightseeing Transportation","Scenic and Sightseeing Transportation, Land","4871","false","null"
"Trade, Transportation, and Utilities","Transportation and Warehousing","Scenic and Sightseeing Transportation","Scenic and Sightseeing Transportation, Water","4872","false","null"
"Trade, Transportation, and Utilities","Transportation and Warehousing","Scenic and Sightseeing Transportation","Scenic and Sightseeing Transportation, Other","4879","false","null"
"Trade, Transportation, and Utilities","Transportation and Warehousing","Support Activities for Transportation","Support Activities for Air Transportation","4881","true","null"
"Trade, Transportation, and Utilities","Transportation and Warehousing","Support Activities for Transportation","Support Activities for Rail Transportation","4882","true","null"
"Trade, Transportation, and Utilities","Transportation and Warehousing","Support Activities for Transportation","Support Activities for Water Transportation","4883","true","null"
"Trade, Transportation, and Utilities","Transportation and Warehousing","Support Activities for Transportation","Support Activites for Road Transportation","4884","true","null"
"Trade, Transportation, and Utilities","Transportation and Warehousing","Support Activities for Transportation","Freight Transportation Arrangement","4885","true","null"
"Trade, Transportation, and Utilities","Transportation and Warehousing","Support Activities for Transportation","Other Support Activities for Transportation","4889","true","null"
"Trade, Transportation, and Utilities","Transportation and Warehousing","Postal Service","null","4911","true","null"
"Trade, Transportation, and Utilities","Transportation and Warehousing","Couriers and Messengers","Couriers","4921","true","null"
"Trade, Transportation, and Utilities","Transportation and Warehousing","Couriers and Messengers","Local Messengers and Local Delivery","4922","true","null"
"Trade, Transportation, and Utilities","Transportation and Warehousing","Warehousing and Storage","null","4931","true","null"
"Information","Information","Publishing Industries (except Internet)","Newspaper, Periodical, Book, and Directory Publishers","5111","true","null"
"Information","Information","Publishing Industries (except Internet)","Software Publishers","5112","false","Permitted to work from home only"
"Information","Information","Motion Picture and Sound Recording Industries","Motion Picture and Video Industries","5121","false","null"
"Information","Information","Motion Picture and Sound Recording Industries","Sound Recording Industries","5122","false","null"
"Information","Information","Broadcasting (except Internet)","Radio and Television Broadcasting","5151","true","null"
"Information","Information","Broadcasting (except Internet)","Cable and Other Subscription Programming","5152","false","null"
"Information","Information","Telecommunications","Wired and Wireless Telecommunications Carriers","5173","true","null"
"Information","Information","Telecommunications","Satellite Telecommunications","5174","true","null"
"Information","Information","Telecommunications","Other Telecommunications","5179","true","null"
"Information","Information","Data Processing, Hosting, and Related Services","null","5182","true","null"
"Information","Information","Other Information Services","null","5191","false","Permitted to work from home"
"Financial Activities","Finance and Insurance","Monetary Authorities - Central Bank","null","5211","true","null"
"Financial Activities","Finance and Insurance","Credit Intermediation and Related Activities","Depository Credit Intermediation","5221","true","null"
"Financial Activities","Finance and Insurance","Credit Intermediation and Related Activities","Nondepository Credit Intermediation","5222","true","With the exception of pawnshops, which are designated nonessential but may transact via appointment, no more than two appointments per hour."
"Financial Activities","Finance and Insurance","Credit Intermediation and Related Activities","Activities Related to Credit Intermediation","5223","true","null"
"Financial Activities","Finance and Insurance","Securities, Commodity Contracts, and Other Financial Investments and  Related Activities","Securities and Commodity Contracts Intermediation and Brokerage","5231","true","null"
"Financial Activities","Finance and Insurance","Securities, Commodity Contracts, and Other Financial Investments and  Related Activities","Securities and Commodity Exchanges","5232","true","null"
"Financial Activities","Finance and Insurance","Securities, Commodity Contracts, and Other Financial Investments and  Related Activities","Other Financial Investment Activities","5239","true","null"
"Financial Activities","Finance and Insurance","Insurance Carriers and Related Activities","Insurance Carriers","5241","true","null"
"Financial Activities","Finance and Insurance","Insurance Carriers and Related Activities","Agencies, Brokerages, and Other Insurance Related Activities","5242","true","null"
"Financial Activities","Finance and Insurance","Funds, Trusts, and Other Financial Activities","Insurance and Employee Benefit Funds","5251","true","null"
"Financial Activities","Finance and Insurance","Funds, Trusts, and Other Financial Activities","Other Investment Pools and Funds","5259","true","null"
"Financial Activities","Real Estate and Rental and Leasing","Real Estate","Lessors of Real Estate","5311","false","Permitted to work from home and can do showings but no open houses, can do what is necessary to complete sales in final stages prior to state of emergency."
"Financial Activities","Real Estate and Rental and Leasing","Real Estate","Offices of Real Estate Agents and Brokers","5312","false","Permitted to work from home and can do showings but no open houses, can do what is necessary to complete sales in final stages prior to state of emergency."
"Financial Activities","Real Estate and Rental and Leasing","Real Estate","Activities Related to Real Estate","5313","true","null"
"Financial Activities","Real Estate and Rental and Leasing","Rental and Leasing Services","Automotive Equipment Rental and Leasing","5321","true","null"
"Financial Activities","Real Estate and Rental and Leasing","Rental and Leasing Services","Consumer Goods Rental","5322","false","null"
"Financial Activities","Real Estate and Rental and Leasing","Rental and Leasing Services","General Rental Centers","5323","true","null"
"Financial Activities","Real Estate and Rental and Leasing","Rental and Leasing Services","Commercial and Industrial Machinery and Equipment Rental and Leasing","5324","true","null"
"Financial Activities","Real Estate and Rental and Leasing","Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)","null","5331","false","Permitted to work from home"
