"permitnumber","projectname","owneroperator","project_location","datereceived","projecttype","delegateagency","permitstatuscode","latitude","longitude","estimatedarea","constructcounty","geocoded_location"
"2335","YMCA of Delaware","Young Men's Christian Association of Delaware","Western Branch YMCA 2000 Kirkwood Hwy","2007-02-08T00:00:00.000","Other","New Castle County Department of Land Use","Closed","39.705278","-75.685833","10.01","New Castle","(39.705278, -75.685833)"
"2722","5500 Anderby Hall Road LLC","5500 Anderby Hall Road LLC","North Side of Willow Grove Road","2008-01-24T00:00:00.000","Commercial","Kent Conservation District","Closed","39.044444","-75.695833","16.20","Kent","(39.044444, -75.695833)"
"2409","Welsh Hill Preserve","Empire Construction Company","Pencader Hundred, near the intersection of Welsh Tract Rd and Ironside Road","2007-04-10T00:00:00.000","Residential","New Castle County Department of Land Use","Closed","39.637778","-75.771111","19.30","New Castle","(39.637778, -75.771111)"
"1829","Seaford Sports Complex-Phase 3-Soccer Fields & Parking Lot Expansion","City of Seaford","ross Business Park","2005-11-21T00:00:00.000","Municipal","Sussex Conservation District","Closed","38.654167","-75.616667","11.30","Sussex","(38.654167, -75.616667)"
"1034","Independent Newspapers Inc.","Independent Newspapers","South side Galaxy Dr 400 ft west of Starlifter Ave","2004-01-28T00:00:00.000","Commercial","Kent Conservation District","Closed","39.140833","-75.471944","4.75","Kent","(39.140833, -75.471944)"
"3632","SR 1/I-95 INTERCHANGE - CHRISTIANA MALL ROAD","Delaware Department of Transportation","CHRISTIANA MALL ROAD","2011-01-26T00:00:00.000","DelDOT","Delaware (State of) Department of Transportation - Highway Operations Field Serv","Closed","39.678611","-75.506944","18.30","New Castle","(39.678611, -75.506944)"
"4253","CRODA SITE SECURITY IMPROVEMENTS","CRODA","315 CHERRY LANE","2013-05-10T00:00:00.000","Industrial","DE DNREC - Watershed Stewardship","Closed","39.689167","-75.541944","1.60","New Castle","(39.689167, -75.541944)"
"5120","STONE BROOK","DEWSON CONSTRUCTION COMPANY","EAST SIDE OF KENNETT PIKE BETWEEN SUNNYSIDE AND BROOK VALLEY ROAD","2016-03-10T00:00:00.000","Residential","New Castle County Department of Land Use","Active","39.783333","-75.600000","3.30",,"(39.783333, -75.6)"
"0148","Twin Spans Industrial Park Entrance","Newport Crossing","East Side Rt 9, 900 ft. north of 6th Street","2002-01-16T00:00:00.000","Industrial","New Castle Conservation District","Closed","39.670833","-75.561111","0.20","New Castle","(39.670833, -75.561111)"
"3695","Cedar Creek Boat Ramp Facility Reconstruction","Delaware Department of Natural Resources Fish & Wildlife","Near Slaughter Beach","2011-04-21T00:00:00.000","State","DE DNREC - Watershed Stewardship","Closed","38.939353","-75.321628","6.75","Sussex","(38.939353, -75.321628)"
"3465","Dagsboro Volunteer Fire Department","Dagsboro Volunteer Fire Department Inc","Southeast of the intersection of Clayton St. & Railroad Ave.","2010-06-08T00:00:00.000","Other","Sussex Conservation District","Closed","38.545833","-75.245833","4.64","Sussex","(38.545833, -75.245833)"
"2733","Willow Grove Mill Townhouse Development","WILLOW GROVE TH, LLC","Route 229 & Gloucester Boulevard","2008-02-01T00:00:00.000","Residential","Middletown (Town Of)","Closed","39.448611","-75.688611","27.00",,"(39.448611, -75.688611)"
"0992","Shone Lumber","JS Georgetown LLC (Shone Lumber)","Route 113 and Bramall Avenue","2003-12-08T00:00:00.000","Commercial","Sussex Conservation District","Closed","38.694722","-75.397500","1.50","Sussex","(38.694722, -75.3975)"
"1714","Cascades","SIOBAIN VI LLC","South Side of Airport Rd, US Route 113","2005-08-30T00:00:00.000","Residential","Kent Conservation District","Closed","38.926667","-75.442500","16.10","Kent","(38.926667, -75.4425)"
"2401","Artesian Water Company","Artesian Water Company","668 Churchman's Road","2007-04-02T00:00:00.000","Commercial","New Castle County Department of Land Use","Closed","39.689167","-75.636944","4.31","New Castle","(39.689167, -75.636944)"
"3469","Units 3 & 4 Air Quality Control System Upgrade-Phase 2","NRG INDIAN RIVER POWER LLC","Indian River Power Generating Station","2010-06-15T00:00:00.000","Utility","DE DNREC - Watershed Stewardship","Closed","38.584167","-75.224722","41.30","Sussex","(38.584167, -75.224722)"
"1783","Goddard School","HDC, Inc","614 Pulaski Hwy","2005-10-18T00:00:00.000","Commercial","New Castle County Department of Land Use","Closed","39.644167","-75.633889","1.22","New Castle","(39.644167, -75.633889)"
"1592","Eastern Shore Environmental Transfer Station","Eastern Shore Environmental Inc","US Route 13","2005-05-10T00:00:00.000","Commercial","Kent Conservation District","Active","38.858889","-75.579167","17.10",,"(38.858889, -75.579167)"
"6418","Delaware Coastal Airport - Construct GA Apron - Expansion Phase II","Sussex County","21553 Rudder Lane","2021-03-24T11:21:00.000","County","Sussex Conservation District","Active","38.690739","-75.363539","4.70","Sussex","(38.690739, -75.363539)"
"2771","Norino Property LLC","Balsamo-Norino Properties LLC","21-23 Atlantic Avenue","2008-03-03T00:00:00.000","Commercial","Sussex Conservation District","Active","38.911389","-75.150000","3.79",,"(38.911389, -75.15)"
"3734","136 ELKTON ROAD","ELKTON PLAZA ASSOCIATES","ELKTON ROAD AND BEVERLY ROAD","2011-06-14T00:00:00.000","Commercial","City Of Newark","Closed","39.679444","-75.760833","1.40",,"(39.679444, -75.760833)"
"2673","Bible Fellowship Church of Newark, Inc.","Bible Fellowship Church of Newark","South Side of Old Baltimore Pike, 1640' east of Delaware Rt. 72","2007-11-27T00:00:00.000","Commercial","New Castle County Department of Land Use","Closed","39.642533","-75.724794","7.50","New Castle","(39.642533, -75.724794)"
"6442","Patriot Village Phase III","Patriots Village Homes","1506 S Hancock Ave.","2021-04-21T09:45:00.000","Residential","Kent Conservation District","Active","39.171620","-75.497060","7.50","Kent","(39.17162, -75.49706)"
"2055","Middletown High School Athletic Fields","Appoquinimink School District","MIDDLETOWN","2006-05-24T00:00:00.000","Other","DE DNREC - Watershed Stewardship","Closed","39.448889","-75.691667","30.00","New Castle","(39.448889, -75.691667)"
"5005","ST. GEORGES TAX DITCH MAINTENANCE DIPOUT","ST. GEORGES TAX DITCH","A PORTION OF THE MAIN AND PRONG 1","2015-11-12T00:00:00.000","State","DE DNREC - Watershed Stewardship","Closed","38.557800","-75.149100","23.00","Sussex","(38.5578, -75.1491)"
"5323","PETERSBURG TAX DITCH MAINTENANCE DIPOUT","PETERSBURG TAX DITCH","MAIN CHANNEL FROM STA. 0+00 TO ITS INTERSECTION WI","2016-10-27T00:00:00.000","Tax Ditch/Maintenance","DE DNREC - Watershed Stewardship","Closed","39.047685","-75.656043","24.30","Kent","(39.047685, -75.656043)"
"0178","North Street, Mifflin Rd to West Street","Delaware Department of Transportation","Null","2002-02-12T00:00:00.000","DelDOT","Delaware (State of) Department of Transportation - Highway Operations Field Serv","Closed","39.150000","-75.541667",,"Kent","(39.15, -75.541667)"
"4393","GARDEN CREATION & CARE INC","GARDEN CREATION & CARE INC","ANGOLA ROAD","2013-10-10T00:00:00.000","Commercial","Sussex Conservation District","Closed","38.680000","-75.180000","0.73","Sussex","(38.68, -75.18)"
"1370","Cedar Creek Landing Campground","Country Life Homes","Southwest side of SCR #216A, where it meets SCR 217","2004-11-04T00:00:00.000","Other","Sussex Conservation District","Closed","38.879722","-75.366667","31.16","Sussex","(38.879722, -75.366667)"
"2920","Delaware Interstate Ind. Park - Lot 37","Merit Mechanical Co., Inc.","39 Albe Drive","2008-07-29T00:00:00.000","Industrial","New Castle County Department of Land Use","Active","39.650000","-75.715278","1.50",,"(39.65, -75.715278)"
"6144","Red Lion Mini Storage Lot 2","Reybold Venture Group XX LLC","960 Red Lion Road","2020-02-06T10:43:00.000","Commercial","New Castle County Department of Land Use","Active","39.615534","-75.647592","5.50","New Castle","(39.615534, -75.647592)"
"3580","WILMINGTON UNIVERSITY -GYMNASIUM AND SPORTS FACILITY","WILMINGTON UNIVERSITY","WESTBOUND RT 40","2010-11-16T00:00:00.000","Industrial","New Castle County Department of Land Use","Closed","39.627222","-75.676944","10.20","New Castle","(39.627222, -75.676944)"
"6455","Channel Pointe (FKA Bishops Pointe)","Carl M. Freeman Communities","Lighthouse Road and Bennett Ave.","2021-05-13T07:32:00.000","Residential","Sussex Conservation District","Active","38.455399","-75.066150","29.63","Sussex","(38.455399, -75.06615)"
"0685","Mifflin Meadows, Residential Community","Delaware Solid Waste Authority","Peach Tree Run Road","2003-05-05T00:00:00.000","State","DE DNREC - Watershed Stewardship","Closed","39.100000","-75.566667","2.01","Kent","(39.1, -75.566667)"
"2050","The Shoppes at Camden Town Center","CAMDEN 1214 LLC","WALMART DRIVE","2006-06-13T00:00:00.000","Commercial","Kent Conservation District","Closed","39.099722","-75.547222","10.00","Kent","(39.099722, -75.547222)"
"2536","Wal-Mart - Middletown Road Imrprovements #3802.00","Folster, Timothy","Intersection of US Rt 301 and Merrimac Avenue","2007-07-10T00:00:00.000","Commercial","Middletown (Town Of)","Closed","39.445833","-75.737333","15.10","New Castle","(39.445833, -75.737333)"
"0944","Georgetown WWTP & Irrigation Facility Expansion","Town of Georgetown","Cabbage Corner Rd (County Rd 318) and Treatment Plant Rd","2003-10-29T00:00:00.000","Municipal","Sussex Conservation District","Closed","38.683333","-75.350000","34.80","Sussex","(38.683333, -75.35)"
"1253","St. Georges Technical High School","New Castle County Vocational School District","555 Hyetts Corner Road","2004-07-15T00:00:00.000","State","DE DNREC - Watershed Stewardship","Closed","39.525556","-75.665556","26.00","New Castle","(39.525556, -75.665556)"
"4883","SUSSEX ACADEMY ATHLETIC FACILITIES EXPANSION","SUSSEX ACADEMY FOUNDATION, INC.","NEAR INTERSECTION OF RT 9 AND AIRPORT RD","2015-06-05T00:00:00.000","Other","Sussex Conservation District","Active","38.694540","-75.369230","50.00",,"(38.69454, -75.36923)"
"4226","DELSTAR TECHNOLIGIES INC","DELSTAR TECHOLOGIES INC","601 INDUSTRIAL DRIVE","2013-03-28T00:00:00.000","Industrial","Middletown (Town Of)","Closed","39.445478","-75.721212","2.50","New Castle","(39.445478, -75.721212)"
"5993","T201612001 Cedar Lane Rd & Marl Pit Rd. Int. Imp.","Delaware Department of Transportation","Cedar Lane Rd","2019-05-29T11:42:00.000","DelDOT","Delaware (State of) Department of Transportation - Highway Operations Field Serv","Closed","39.477500","-75.703055","8.00","New Castle","(39.4775, -75.703055)"
"1990","Lands of 447 Trust","Church Branch LLC","Town of Middletown","2006-04-26T00:00:00.000","Industrial","Middletown (Town Of)","Closed","39.458333","-75.733333","6.14","New Castle","(39.458333, -75.733333)"
"2189","SR 141, Kirkwood Highway to Faulkland Rd.","Delaware Department of Transportation","SR 141, Kirkwood Highway to Faulkland Rd.","2006-09-27T00:00:00.000","DelDOT","Delaware (State of) Department of Transportation - Highway Operations Field Serv","Closed","39.743889","-75.612778","35.70","New Castle","(39.743889, -75.612778)"
"4872","THE ESTATES AT ST ANNES PHASE 6-8","ST. ANNES DEVELOPMENT ASSOCIATES, LLC.","ST ANNES CHURCH ROAD","2015-05-29T00:00:00.000","Residential","Middletown (Town Of)","Active","39.250620","-75.440010","78.66",,"(39.25062, -75.44001)"
"4043","THE SUMMIT AT HOCKESSIN (A.K.A. VANTAGE POINT)","VANTAGE POINT RETIREMENT LIVING INC","WEST SIDE OF LIMESTONE ROAD NORTH OF RT 72","2012-08-14T00:00:00.000","Commercial","New Castle County Department of Land Use","Closed","39.753889","-75.704167","13.40","New Castle","(39.753889, -75.704167)"
"1380","Laureltowne","Laurel Towne, LLC","880 ft north east of Autumn Moon Lane (County Rd 369)","2004-11-09T00:00:00.000","Residential","Kent Conservation District","Closed","39.064444","-75.507778","50.20","Kent","(39.064444, -75.507778)"
"4750","NEWDALE ACRES","LIBORIO ELLENDALE, LLC.","SOUTH OF ELLENDALE ON WEST SIDE OF OLD STATE ROAD","2014-11-24T00:00:00.000","Residential","Sussex Conservation District","Active","38.801000","-75.432500","107.80",,"(38.801, -75.4325)"
"6168","Big Oyster Site Expansion","JeffKat, LLC","1007 Kings Hwy","2020-03-09T08:13:00.000","County","Sussex Conservation District","Active","38.760000","-75.144700","2.10","Sussex","(38.76, -75.1447)"
"2877","Kohl West SWM Pond","Kohl West","US Route 301 and Old Levels Road","2008-06-16T00:00:00.000","Commercial","Middletown (Town Of)","Closed","39.441667","-75.741667","4.00","New Castle","(39.441667, -75.741667)"
"1248","SR 141 Ronald McDonald House Privacy Wall","Delaware Department of Transportation","SR 141","2004-07-15T00:00:00.000","DelDOT","Delaware (State of) Department of Transportation - Highway Operations Field Serv","Closed","39.783333","-75.554167","0.50","New Castle","(39.783333, -75.554167)"
"5092","CHIQUITA LAFARGE SITE - PORT OF WILMINGTON","DIAMOND STATE PORT CORPORATION","CHIQUITA LEASE LOT A","2016-02-10T00:00:00.000","Industrial","DE DNREC - Watershed Stewardship","Closed","39.425728","-75.311523","5.40","New Castle","(39.425728, -75.311523)"
"6213","Sussex Academy of Arts and Sciences Solar Project","Constellation Solar MC, LLC","21150 Airport Road","2020-05-26T15:44:00.000","Commercial","Sussex Conservation District","Closed","38.695485","-75.368483","3.13","Sussex","(38.695485, -75.368483)"
"1082","The Estates at St. Annes (Phase 1)","St Annes Development Co","Levels Road and St. Annes Church Road","2004-03-15T00:00:00.000","Residential","Middletown (Town Of)","Closed","39.421111","-75.731667","67.00","New Castle","(39.421111, -75.731667)"
"6059","DuPont Plaza","Rojan DD 15, LLC","747 N DuPont Highway","2019-09-06T09:08:00.000","Commercial","Kent Conservation District","Active","39.180840","-75.527340","14.00","Kent","(39.18084, -75.52734)"
"5903","OUTER BANKS NORTH AND SOUTH","EDGE MARINE LLC","SOUTH SIDE OF JIMTOWN ROAD AND ROBINSONVILLE ROAD","2018-11-20T00:00:00.000","Residential","Sussex Conservation District","Closed","38.727800","-75.183100","22.57",,"(38.7278, -75.1831)"
"3972","WESLEY COLLEGE STREETSCAPE","WESLEY COLLEGE","BRADFORD & CECIL STREETS","2012-05-07T00:00:00.000","Other","Kent Conservation District","Closed","39.163056","-75.527500","3.83","Kent","(39.163056, -75.5275)"
"0425","Lingo Creek Apartments","Long Neck Shores Associates LLC","1.5 Miles Southwest of SCR24 & SCR23","2002-09-09T00:00:00.000","Residential","Sussex Conservation District","Closed","38.627500","-75.175833","1.90","Sussex","(38.6275, -75.175833)"
"0408","US 113, Seabury Avenue Safety Improvement","Delaware Department of Transportation","US 113, Seabury Avenue","2002-08-26T00:00:00.000","DelDOT","Delaware (State of) Department of Transportation - Highway Operations Field Serv","Closed","38.898611","-75.439722","0.06","Sussex","(38.898611, -75.439722)"
"0319","Staybridge Suites","Chapman Hospitality/CR","White Clay Creek Hundred Intersection of Chapman Rd & Rt 273","2002-06-18T00:00:00.000","Commercial","New Castle County Department of Land Use","Closed","39.666667","-75.670833","3.50","New Castle","(39.666667, -75.670833)"
"0870","Woodbrook Professional Center","Woodbrook Development, LLC","West Side of Governors Avenue","2003-09-29T00:00:00.000","Commercial","Kent Conservation District","Closed","39.140556","-75.526667","4.50","Kent","(39.140556, -75.526667)"
"2821","Nino's Pizza","Primos Realty of Camden","South Red haven Lane (Longacre Village)","2008-04-14T00:00:00.000","Commercial","Kent Conservation District","Closed","39.146667","-75.916667","1.10","Kent","(39.146667, -75.916667)"
"5457","COOL SPRING MINI STORAGE","COOL SPRING STORAGE CENTER INC.","ROUTE 9 AT THE INTERSECTION OF BREAKWATER ACRES LANE","2017-04-18T00:00:00.000","Commercial","Sussex Conservation District","Active","38.727900","-75.265100","9.50",,"(38.7279, -75.2651)"
"6162","Capstone Sales Center","Capstone Office, LLC","28855 Lewes-Georgetown Highway","2020-02-25T14:43:00.000","Commercial","Sussex Conservation District","Active","38.735142","-75.237098","1.50","Sussex","(38.735142, -75.237098)"
"0850","Rehabilitation of Bridges I715 I715A and I715D on SR 273","Delaware Department of Transportation","SR 273","2003-09-09T00:00:00.000","DelDOT","New Castle Conservation District","Closed","39.670833","-75.675000","0.80","New Castle","(39.670833, -75.675)"
"3288","4681 North Market Street","Medori Enterprises","4681 North Market Street","2009-10-08T00:00:00.000","Commercial","New Castle County Department of Land Use","Active","39.763611","-75.516667","1.00",,"(39.763611, -75.516667)"
"3748","City of Newark Water Supply Reservoir",,"240 Old Papermill Road",,"Municipal",,"Closed","39.692758","-75.737835","79.59","New Castle","(39.692758, -75.737835)"
"0031","Seafarer Village Shops","Pine Acres",,"2001-09-27T00:00:00.000","Commercial","Sussex Conservation District","Closed","38.630000","-75.172500","1.70","Sussex","(38.63, -75.1725)"
"2671","Safe Haven Animal Hospital","Safe Haven Animal Sanctuary","Along Shingle Point Road between Deer Run Lane and Briarwood Rd.","2007-11-21T00:00:00.000","Commercial","Sussex Conservation District","Closed","38.724653","-75.338525","5.67","Sussex","(38.724653, -75.338525)"
"3342","BR 1-777 & 1-203, Scour Countermeasures","Delaware Department of Transportation","Hockesson","2010-01-13T00:00:00.000","DelDOT","Delaware (State of) Department of Transportation - Highway Operations Field Serv","Closed","39.767500","-75.690000","0.90","New Castle","(39.7675, -75.69)"
"4336","BETTS PROPERTIES LLC","BETTS PROPERTIES LLC","863 OLD BALTIMORE PIKE","2013-08-05T00:00:00.000","Commercial","New Castle County Department of Land Use","Closed","39.641667","-75.729167","1.00","New Castle","(39.641667, -75.729167)"
"4062","PROPOSED WATER MAIN - LYNNWOOD VILLAGE TO ILC","ARTESIAN WATER COMPANY","MIDSTATE ROAD AND CARPENTER BRIDGE ROAD","2012-09-11T00:00:00.000","Utility","Kent Conservation District","Closed","39.011389","-75.489167","2.97","Kent","(39.011389, -75.489167)"
"4858","CJ PINES","CJ PINES","NORTHWEST CORNER RTE 26 AND WOODLAND AVENUE","2015-05-11T00:00:00.000","Commercial","Sussex Conservation District","Closed","38.545556","-75.097778","3.40",,"(38.545556, -75.097778)"
"2930","Solitude on Whites Creek","TAC BEACON I, LLC.","Clubhouse Road (SCR 351)","2008-08-13T00:00:00.000","Residential","Sussex Conservation District","Active","38.550000","-75.100000","40.00",,"(38.55, -75.1)"
"4745","HENRY C. JOHNSON TAX DITCH MAINTENANCE DIPOUT","HENRY C. JOHNSON TAX DITCH","A PORTION OF THE MAIN","2014-11-20T00:00:00.000","State","DE DNREC - Watershed Stewardship","Closed","38.475100","-75.131700","6.78","Sussex","(38.4751, -75.1317)"
