"business_name","trade_name","category","current_license_valid_from","current_license_valid_to","address_1","address_2","city","state","zip","country","license_number","geocoded_location"
"PICHE MARK","PICHE CONCESSIONS","RETAILER  TRANSIENT 10-DAY","2020-01-01T00:00:00.000","2022-12-31T00:00:00.000","8 WALKER RD",,"WARE","MA","010829366","UNITED STATES","2014100329","
WARE, MA 010829366
(42.268695, -72.265569)"
"SMITH & WESSON SALES COMPANY","SMITH & WESSON SALES COMPANY","WHOLESALER","2022-01-01T00:00:00.000","2022-12-31T00:00:00.000","2100 ROOSEVELT AVE",,"SPRINGFIELD","MA","011041698","UNITED STATES","1998209724","
SPRINGFIELD, MA 011041698
(42.143305, -72.551079)"
"PREFERE MELAMINES LLC","PREFERE MELAMINES LLC","WHOLESALER","2022-01-01T00:00:00.000","2022-12-31T00:00:00.000","730 WORCESTER ST # B",,"INDIAN ORCH","MA","011511022","UNITED STATES","2013600542","
INDIAN ORCH, MA 011511022
(42.15268, -72.506493)"
"G A BLANCO & SONS INC","G A BLANCO & SONS INC","WHOLESALER","2022-01-01T00:00:00.000","2022-12-31T00:00:00.000","PO BOX 149","4 RT 71","GT BARRINGTON","MA","012300149","UNITED STATES","1993103744","4 RT 71
GT BARRINGTON, MA 012300149
(42.178724, -73.389537)"
"OCWEN BUSINESS SOLUTIONS INC","OCWEN BUSINESS SOLUTIONS INC","MERCANTILE AGENCY OR COLLECTIONS AGENCY","2020-01-01T00:00:00.000","2022-12-31T00:00:00.000","HARBOR DRIVE MALL OF ASIA COMPLE","TWO E COM CENTER","PASAY CITY",,"01300","PHILIPPINES","2016101591",
"YANKEE CANDLE COMPANY INC THE","YANKEE CANDLE COMPANY INC THE","WHOLESALER","2021-01-01T00:00:00.000","2023-12-31T00:00:00.000","PO BOX 110",,"S DEERFIELD","MA","013730110","UNITED STATES","2003103394","
S DEERFIELD, MA 013730110
(42.472606, -72.61502)"
"ALL STATES ASPHALT, INC.","ALL STATES ASPHALT, INC.","NON-RESIDENT CONTRACTOR","2022-01-01T00:00:00.000","2024-12-31T00:00:00.000","325 AMHERST RD",,"SUNDERLAND","MA","013759311","UNITED STATES","2006601934","
SUNDERLAND, MA 013759311
(42.450192, -72.560719)"
"JUDD WIRE INC","JUDD WIRE INC","WHOLESALER","2022-01-01T00:00:00.000","2024-12-31T00:00:00.000","124 TURNPIKE RD",,"TURNERS FALLS","MA","013762699","UNITED STATES","1995116773","
TURNERS FALLS, MA 013762699
(42.588796, -72.558209)"
"RESOURCE MANAGEMENT, INC","RESOURCE MANAGEMENT, INC","GENERAL SERVICES","2020-01-01T00:00:00.000","2022-12-31T00:00:00.000","281 MAIN ST STE 5",,"FITCHBURG","MA","014204371","UNITED STATES","2001108292","
FITCHBURG, MA 014204371
(42.581998, -71.796224)"
"MY JOYFUL WELLNESS","MY JOYFUL WELLNESS","GENERAL SERVICES","2022-03-01T00:00:00.000","2022-12-31T00:00:00.000","43 GROTON RD",,"SHIRLEY","MA","014642307","UNITED STATES","2022701609","
SHIRLEY, MA 014642307
(42.600574, -71.628767)"
"KEY ENGINEERING AND SERVICE INC","KEY ENGINEERING AND SERVICE INC","PROFESSIONAL ENGINEER","2020-01-01T00:00:00.000","2022-12-31T00:00:00.000","PO BOX 261",,"AUBURN","MA","015010261","UNITED STATES","2015603293","
AUBURN, MA 015010261
(42.200338, -71.840764)"
"KEVIN J. COBB & ASSOCIATES INC","QUEST ENERGY SOLUTIONS","BROKER","2021-01-01T00:00:00.000","2023-12-31T00:00:00.000","203 SOUTHBRIDGE ST STE 2",,"AUBURN","MA","015012549","UNITED STATES","2010604734","
AUBURN, MA 015012549
(42.200338, -71.840764)"
"PRIORITY FUNDING LLC","PRIORITY FUNDING LLC","FINANCE OR SMALL LOAN AGENCY","2022-01-01T00:00:00.000","2022-12-31T00:00:00.000","292 MAIN ST STE G1",,"NORTHBOROUGH","MA","015321667","UNITED STATES","2014603090","
NORTHBOROUGH, MA 015321667
(42.324697, -71.628174)"
"DARIO DESIGNS INC","DARIO DESIGNS INC","ARCHITECT","2020-01-01T00:00:00.000","2022-12-31T00:00:00.000","318 MAIN ST STE 210",,"NORTHBOROUGH","MA","015323609","UNITED STATES","2010605817","
NORTHBOROUGH, MA 015323609
(42.329125, -71.616775)"
"NASH CONTRACTING INC","NASH CONTRACTING INC","NON-RESIDENT CONTRACTOR","2020-01-01T00:00:00.000","2022-12-31T00:00:00.000","209 N MAIN ST STE 1",,"N BROOKFIELD","MA","015351500","UNITED STATES","2011604909","
N BROOKFIELD, MA 015351500
(42.270122, -72.085536)"
"WILSON LANGUAGE TRAINING CORP","WILSON LANGUAGE TRAINING CORP","WHOLESALER","2022-01-01T00:00:00.000","2024-12-31T00:00:00.000","47 OLD WEBSTER RD",,"OXFORD","MA","015402705","UNITED STATES","2010602458","
OXFORD, MA 015402705
(42.078251, -71.882125)"
"DEXTER-RUSSELL INC","DEXTER-RUSSELL INC","WHOLESALER","2022-01-01T00:00:00.000","2022-12-31T00:00:00.000","44 RIVER ST",,"SOUTHBRIDGE","MA","015501834","UNITED STATES","2009602021","
SOUTHBRIDGE, MA 015501834
(42.082516, -72.038816)"
"THE SPENCER BREWERY, LLC","SPENCER BREWERY","ALCOHOL MANUFACTURER","2022-01-01T00:00:00.000","2024-12-31T00:00:00.000","167 N SPENCER RD",,"SPENCER","MA","015621232","UNITED STATES","2019602062","
SPENCER, MA 015621232
(42.290085, -72.001756)"
"MALVERN INSTRUMENTS INC","MALVERN INSTRUMENTS INC","RETAILER  GENERAL","2020-01-01T00:00:00.000","2022-12-31T00:00:00.000","117 FLANDERS RD STE 110",,"WESTBOROUGH","MA","015811071","UNITED STATES","2006202018","
WESTBOROUGH, MA 015811071
(42.275938, -71.578527)"
"MORMAX BEVERAGE CORP","BJ'S LIQUORS","RETAILER  ALCOHOL - OFF PREMISE","2021-01-01T00:00:00.000","2023-12-31T00:00:00.000","25 RESEARCH DR",,"WESTBOROUGH","MA","015813680","UNITED STATES","1994108212","
WESTBOROUGH, MA 015813680
(42.268231, -71.612232)"
"UMS CHESAPEAKE LITHOTRIPSY, LLC","UMS CHESAPEAKE LITHOTRIPSY, LLC","GENERAL SERVICES","2020-01-01T00:00:00.000","2022-12-31T00:00:00.000","1700 W PARK DR STE 410",,"WESTBOROUGH","MA","015813915","UNITED STATES","2012602288","
WESTBOROUGH, MA 015813915
(42.268231, -71.612232)"
"UMS LITHOTRIPSY SERVICES OF KENT","UMS LITHOTRIPSY SERVICES OF KENT","GENERAL SERVICES","2020-01-01T00:00:00.000","2022-12-31T00:00:00.000","1700 W PARK DR STE 410",,"WESTBOROUGH","MA","015813915","UNITED STATES","2017601865","
WESTBOROUGH, MA 015813915
(42.268231, -71.612232)"
"NORESCO LLC","NORESCO LLC","NON-RESIDENT CONTRACTOR","2022-01-01T00:00:00.000","2024-12-31T00:00:00.000","1 RESEARCH DR STE 400C",,"WESTBOROUGH","MA","015813963","UNITED STATES","2015101824","
WESTBOROUGH, MA 015813963
(42.287613, -71.582305)"
"CENTAGE CORPORATION","CENTAGE CORPORATION","RETAILER  GENERAL","2022-01-01T00:00:00.000","2022-12-31T00:00:00.000","330 COCHITUATE RD UNIT 807",,"FRAMINGHAM","MA","017010005","UNITED STATES","2022700496","
FRAMINGHAM, MA 017010005
(42.318402, -71.428628)"
"AMERESCO INC","AMERESCO INC","NON-RESIDENT CONTRACTOR","2020-01-01T00:00:00.000","2022-12-31T00:00:00.000","111 SPEEN ST STE 410",,"FRAMINGHAM","MA","017012090","UNITED STATES","2002107829","
FRAMINGHAM, MA 017012090
(42.318402, -71.428628)"
"HOMEGOODS INC","HOMEGOODS #258","RETAILER  GENERAL","2022-01-01T00:00:00.000","2022-12-31T00:00:00.000","770 COCHITUATE RD","CORPORATE TAX DEPARTMENT","FRAMINGHAM","MA","017014666","UNITED STATES","2009106969",
"STAPLES CONTRACT&COMMERCIAL,INC","STAPLES CONTRACT&COMMERCIAL,INC","WHOLESALER","2022-01-01T00:00:00.000","2022-12-31T00:00:00.000","500 STAPLES DR - TAXES & LICENSE",,"FRAMINGHAM","MA","01702","UNITED STATES","2010103738","
FRAMINGHAM, MA 01702
(42.283923, -71.430483)"
"QUILL CORPORATION","QUILL CORPORATION","DRAYPERSON OR MOVER","2022-01-01T00:00:00.000","2022-12-31T00:00:00.000","500 STAPLES DR",,"FRAMINGHAM","MA","017024478","UNITED STATES","2002110681","
FRAMINGHAM, MA 017024478
(42.291713, -71.490323)"
"RESEARCH FOR BETTER TEACHING","RESEARCH FOR BETTER TEACHING","GENERAL SERVICES","2022-01-01T00:00:00.000","2022-12-31T00:00:00.000","526 MAIN ST",,"ACTON","MA","017203301","UNITED STATES","2018605769","
ACTON, MA 017203301
(42.492452, -71.425339)"
"HYDRO-ENVIRNMENTL TECHNLGIES INC","HYDRO-ENVIRNMENTL TECHNLGIES INC","GENERAL SERVICES","2022-01-01T00:00:00.000","2022-12-31T00:00:00.000","54 NONSET PATH",,"ACTON","MA","017203418","UNITED STATES","1996106110","
ACTON, MA 017203418
(42.521719, -71.426605)"
"GEOCOMP CORPORATION","GEOCOMP CORPORATION","GENERAL SERVICES","2022-01-01T00:00:00.000","2024-12-31T00:00:00.000","125 NAGOG PARK STE 105",,"ACTON","MA","017203451","UNITED STATES","2007601746","
ACTON, MA 017203451
(42.520832, -71.418093)"
"ASPEN TECHNOLOGY INC","ASPEN TECHNOLOGY INC","GENERAL SERVICES","2021-01-01T00:00:00.000","2023-12-31T00:00:00.000","20 CROSBY DR",,"BEDFORD","MA","017301402","UNITED STATES","2001100037","
BEDFORD, MA 017301402
(42.504491, -71.241881)"
"CONTINENTAL RESOURCES INC","CONTINENTAL RESOURCES INC","GENERAL SERVICES","2020-01-01T00:00:00.000","2022-12-31T00:00:00.000","175 MIDDLESEX TPKE STE 1",,"BEDFORD","MA","017301469","UNITED STATES","2012102677","
BEDFORD, MA 017301469
(42.497394, -71.273763)"
"CONTINENTAL RESOURCES INC","CONTINENTAL RESOURCES INC","WHOLESALER","2020-01-01T00:00:00.000","2022-12-31T00:00:00.000","175 MIDDLESEX TPKE STE 1",,"BEDFORD","MA","017301469","UNITED STATES","2012603426","
BEDFORD, MA 017301469
(42.497394, -71.273763)"
"CONTINENTAL RESOURCES INC","CONTINENTAL RESOURCES INC","RETAILER  GENERAL","2020-01-01T00:00:00.000","2022-12-31T00:00:00.000","175 MIDDLESEX TPKE STE 1",,"BEDFORD","MA","017301469","UNITED STATES","2012102678","
BEDFORD, MA 017301469
(42.497394, -71.273763)"
"CONTINENTAL RESOURCES INC","CONTINENTAL RESOURCES INC","LESSOR OF TANGIBLE PERSONAL PROPERTY","2020-01-01T00:00:00.000","2022-12-31T00:00:00.000","175 MIDDLESEX TPKE STE 1",,"BEDFORD","MA","017301469","UNITED STATES","2012603427","
BEDFORD, MA 017301469
(42.497394, -71.273763)"
"FUTURE ELECTRONICS CORP","FUTURE ELECTRONICS CORP","WHOLESALER","2021-01-01T00:00:00.000","2023-12-31T00:00:00.000","41 MAIN ST",,"BOLTON","MA","017401134","UNITED STATES","2008200766","
BOLTON, MA 017401134
(42.4423, -71.560492)"
"MOMENTUM FUEL COMPANY LLC","MOMENTUM FUEL COMPANY LLC","WHOLESALER  PETROLEUM PRODUCT","2022-01-01T00:00:00.000","2022-12-31T00:00:00.000","350 CAMPUS DRIVE",,"MARLBOROUGH","MA","01752","UNITED STATES","2020710646","
MARLBOROUGH, MA 01752
(42.350514, -71.549825)"
"BOSTON SCIENTIFIC CORPORATION","BOSTON SCIENTIFIC CORPORATION","WHOLESALER","2022-01-01T00:00:00.000","2024-12-31T00:00:00.000","300 BOSTON SCIENTIFIC WAY",,"MARLBOROUGH","MA","017521291","UNITED STATES","2003103119","
MARLBOROUGH, MA 017521291
(42.350514, -71.549825)"
"CELT CORPORATION","CELT CORPORATION","GENERAL SERVICES","2022-01-01T00:00:00.000","2024-12-31T00:00:00.000","65 BOSTON POST RD W STE 190",,"MARLBOROUGH","MA","017521854","UNITED STATES","2009603788","
MARLBOROUGH, MA 017521854
(42.340659, -71.58245)"
"RESOURCESOFT, INC.","RESOURCESOFT, INC.","GENERAL SERVICES","2022-01-01T00:00:00.000","2022-12-31T00:00:00.000","33 BOSTON POST RD W STE 230",,"MARLBOROUGH","MA","017521870","UNITED STATES","2021896003","
MARLBOROUGH, MA 017521870
(42.34029, -71.583807)"
"HOLOGIC INC","HOLOGIC INC","WHOLESALER","2020-01-01T00:00:00.000","2022-12-31T00:00:00.000","250 CAMPUS DR",,"MARLBOROUGH","MA","017523020","UNITED STATES","2009106513","
MARLBOROUGH, MA 017523020
(42.350514, -71.549825)"
"HOLOGIC MA LLC","HOLOGIC MA LLC","RETAILER  GENERAL","2022-01-01T00:00:00.000","2024-12-31T00:00:00.000","250 CAMPUS DR",,"MARLBOROUGH","MA","017523020","UNITED STATES","2012601886","
MARLBOROUGH, MA 017523020
(42.350514, -71.549825)"
"GEN PROBE SALES & SERVICE INC","GEN PROBE SALES & SERVICE INC","GENERAL SERVICES","2020-01-01T00:00:00.000","2022-12-31T00:00:00.000","250 CAMPUS DR",,"MARLBOROUGH","MA","017523020","UNITED STATES","2009105285","
MARLBOROUGH, MA 017523020
(42.350514, -71.549825)"
"KEN'S FOODS A MASS BUSINESS TRUS","KEN'S FOODS A MASS BUSINESS TRUS","FOOD PROCESSOR WHOLESALER","2020-01-01T00:00:00.000","2022-12-31T00:00:00.000","1 DANGELO DR","1 D'ANGELO DR","MARLBOROUGH","MA","017523066","UNITED STATES","2016101909","1 D'ANGELO DR
MARLBOROUGH, MA 017523066
(42.316123, -71.581194)"
"RILEY POWER INC","RILEY POWER INC","NON-RESIDENT CONTRACTOR","2022-01-01T00:00:00.000","2022-12-31T00:00:00.000","26 FOREST ST STE 300",,"MARLBOROUGH","MA","017523068","UNITED STATES","1989000100","
MARLBOROUGH, MA 017523068
(42.350514, -71.549825)"
"RILEY POWER INC","RILEY POWER INC","WHOLESALER","2021-01-01T00:00:00.000","2023-12-31T00:00:00.000","26 FOREST ST STE 300",,"MARLBOROUGH","MA","017523068","UNITED STATES","1989000101","
MARLBOROUGH, MA 017523068
(42.350514, -71.549825)"
"ELECTRONIC ENVIRONMENTS CORP","ELECTRONIC ENVIRONMENTS CORP","NON-RESIDENT CONTRACTOR","2022-01-01T00:00:00.000","2022-12-31T00:00:00.000","410 FOREST ST",,"MARLBOROUGH","MA","017524172","UNITED STATES","2001105182","
MARLBOROUGH, MA 017524172
(42.350514, -71.549825)"
"ELECTRONIC ENVIRONMENTS CORP","ELECTRONIC ENVIRONMENTS CORP","GENERAL SERVICES","2022-01-01T00:00:00.000","2022-12-31T00:00:00.000","410 FOREST ST",,"MARLBOROUGH","MA","017524172","UNITED STATES","2007217753","
MARLBOROUGH, MA 017524172
(42.350514, -71.549825)"
"OPTOS INC","OPTOS INC","LESSOR OF TANGIBLE PERSONAL PROPERTY","2022-01-01T00:00:00.000","2024-12-31T00:00:00.000","500 NICKERSON RD STE 201",,"MARLBOROUGH","MA","017524637","UNITED STATES","2003102024","
MARLBOROUGH, MA 017524637
(42.350514, -71.549825)"
"NEW ENGLAND CREDIT UNION SERV LL","NEW ENGLAND CREDIT UNION SERV LL","GENERAL SERVICES","2020-01-01T00:00:00.000","2022-12-31T00:00:00.000","845 DONALD LYNCH BLVD",,"MARLBOROUGH","MA","017524704","UNITED STATES","2016604638","
MARLBOROUGH, MA 017524704
(42.350514, -71.549825)"
"CANDELA CORPORATION","CANDELA CORPORATION","WHOLESALER","2022-01-01T00:00:00.000","2022-12-31T00:00:00.000","251 LOCKE DR",,"MARLBOROUGH","MA","017527220","UNITED STATES","2017608899","
MARLBOROUGH, MA 017527220
(42.352199, -71.583392)"
"GE HEALTHCARE BIO-SCIENCES CORP.","GE HEALTHCARE BIO-SCIENCES CORP.","WHOLESALER","2020-01-01T00:00:00.000","2022-12-31T00:00:00.000","251 LOCKE DR",,"MARLBOROUGH","MA","017527220","UNITED STATES","2012103050","
MARLBOROUGH, MA 017527220
(42.352199, -71.583392)"
"STRATUS TECHNOLOGIES, INC.","STRATUS TECHNOLOGIES, INC.","GENERAL SERVICES","2022-01-01T00:00:00.000","2024-12-31T00:00:00.000","5 MILL AND MAIN PL STE 500",,"MAYNARD","MA","017542660","UNITED STATES","2021878666","
MAYNARD, MA 017542660
(42.431074, -71.454584)"
"BARKER STEEL MID-ATLANTIC LLC","BARKER STEEL MID-ATLANTIC LLC","NON-RESIDENT CONTRACTOR","2022-01-01T00:00:00.000","2024-12-31T00:00:00.000","55 SUMNER ST STE 1",,"MILFORD","MA","017571679","UNITED STATES","2014602421","
MILFORD, MA 017571679
(42.153635, -71.522703)"
"BARKER STEEL LLC","BARKER STEEL LLC","MANUFACTURER","2022-01-01T00:00:00.000","2024-12-31T00:00:00.000","55 SUMNER ST STE 1",,"MILFORD","MA","017571679","UNITED STATES","2008201196","
MILFORD, MA 017571679
(42.153635, -71.522703)"
"BARKER STEEL MID-ATLANTIC LLC","BARKER STEEL MID-ATLANTIC LLC","WHOLESALER","2022-01-01T00:00:00.000","2024-12-31T00:00:00.000","55 SUMNER ST STE 1",,"MILFORD","MA","017571679","UNITED STATES","2009106695","
MILFORD, MA 017571679
(42.153635, -71.522703)"
"MILFORD STORAGE 18 MA LLC","SECURE SELF STORAGE","GENERAL SERVICES","2020-01-01T00:00:00.000","2022-12-31T00:00:00.000","202 E MAIN ST","SECURE SELF STORAGE","MILFORD","MA","017572808","UNITED STATES","2016606042",
"MILFORD STORAGE 18 MA LLC","SECURE SELF STORAGE","GENERAL SERVICES","2022-01-01T00:00:00.000","2022-12-31T00:00:00.000","202 E MAIN ST","SECURE SELF STORAGE","MILFORD","MA","017572808","UNITED STATES","2016606042",
"WATERS CORPORATION","WATERS CORPORATION","WHOLESALER","2022-01-01T00:00:00.000","2024-12-31T00:00:00.000","34 MAPLE ST",,"MILFORD","MA","017573696","UNITED STATES","1995109696","
MILFORD, MA 017573696
(42.136801, -71.482803)"
"NAFEESA CONSULTING, LLC","NAFEESA CONSULTING, LLC","GENERAL SERVICES","2022-01-01T00:00:00.000","2022-12-31T00:00:00.000","3 SUPERIOR DR APT 402",,"NATICK","MA","017601778","UNITED STATES","2006602308","
NATICK, MA 017601778
(42.288202, -71.353458)"
"GLEESON POWERS INC","GLEESON POWERS INC","NON-RESIDENT CONTRACTOR","2022-01-01T00:00:00.000","2024-12-31T00:00:00.000","10 SOUTHVILLE RD STE 1",,"SOUTHBOROUGH","MA","017724029","UNITED STATES","2013602095","
SOUTHBOROUGH, MA 017724029
(42.29521, -71.532406)"
"METHODS MACHINE TOOLS INC","METHODS MACHINE TOOLS INC","RETAILER  GENERAL","2022-01-01T00:00:00.000","2022-12-31T00:00:00.000","65 UNION AVE",,"SUDBURY","MA","017762277","UNITED STATES","2018609556","
SUDBURY, MA 017762277
(42.366075, -71.42049)"
"CONNESION SYSTEMS & ENGINEERING","CONNESION SYSTEMS & ENGINEERING","GENERAL SERVICES","2020-01-01T00:00:00.000","2022-12-31T00:00:00.000","490 BOSTON POST RD",,"SUDBURY","MA","017763367","UNITED STATES","2007219595","
SUDBURY, MA 017763367
(42.359945, -71.428077)"
"RANDSTAD US LLC","RANDSTAD US LLC","GENERAL SERVICES","2020-01-01T00:00:00.000","2022-12-31T00:00:00.000","150 PRESIDENTIAL WAY STE 300",,"WOBURN","MA","018011150","UNITED STATES","2002107637","
WOBURN, MA 018011150
(42.486916, -71.153397)"
"RANDSTAD NORTH AMERICA INC","RANDSTAD NORTH AMERICA INC","GENERAL SERVICES","2021-01-01T00:00:00.000","2023-12-31T00:00:00.000","150 PRESIDENTIAL WAY STE 300",,"WOBURN","MA","018011150","UNITED STATES","2001101525","
WOBURN, MA 018011150
(42.486916, -71.153397)"
"RANDSTAD PROFESSIONALS US LLC","ACCOUNT PROS HRI VEDIOR PROF SVC","GENERAL SERVICES","2021-01-01T00:00:00.000","2023-12-31T00:00:00.000","150 PRESIDENTIAL WAY STE 300",,"WOBURN","MA","018011150","UNITED STATES","2008207806","
WOBURN, MA 018011150
(42.486916, -71.153397)"
"RANDSTAD HR SOLUTIONS OF DEL LLC","RANDSTAD HR SOLUTIONS OF DEL LLC","GENERAL SERVICES","2021-01-01T00:00:00.000","2023-12-31T00:00:00.000","150 PRESIDENTIAL WAY STE 300",,"WOBURN","MA","018011150","UNITED STATES","2002103760","
WOBURN, MA 018011150
(42.486916, -71.153397)"
"RANDSTAD GENERAL PARTNER (US)LLC","RANDSTAD GENERAL PARTNER (US)LLC","GENERAL SERVICES","2021-01-01T00:00:00.000","2023-12-31T00:00:00.000","150 PRESIDENTIAL WAY STE 300",,"WOBURN","MA","018011150","UNITED STATES","2001101534","
WOBURN, MA 018011150
(42.486916, -71.153397)"
"RANDSTAD TECHNOLOGIES LLC","RANDSTAD TECHNOLOGIES LLC","GENERAL SERVICES","2021-01-01T00:00:00.000","2023-12-31T00:00:00.000","150 PRESIDENTIAL WAY STE 300",,"WOBURN","MA","018011150","UNITED STATES","2008207908","
WOBURN, MA 018011150
(42.486916, -71.153397)"
"NEW ENGLAND LEAD BURNING CO INC","NEW ENGLAND LEAD BURNING CO INC","NON-RESIDENT CONTRACTOR","2022-01-01T00:00:00.000","2022-12-31T00:00:00.000","3D GILL ST",,"WOBURN","MA","018011720","UNITED STATES","1989000094","
WOBURN, MA 018011720
(42.507607, -71.145223)"
"KRAFT POWER CORPORATION I D","KRAFT POWER CORPORATION I D","GENERAL SERVICES","2022-01-01T00:00:00.000","2022-12-31T00:00:00.000","199 WILDWOOD AVE",,"WOBURN","MA","018012024","UNITED STATES","2020102523","
WOBURN, MA 018012024
(42.48954, -71.135855)"
"NEW ENGLAND LABORATORY CASEWORK CO INC","NEW ENGLAND LABORATORY CASEWORK CO INC","NON-RESIDENT CONTRACTOR","2022-01-01T00:00:00.000","2022-12-31T00:00:00.000","3 ARROW DR","CO INC","WOBURN","MA","018012039","UNITED STATES","2005210809",
"GEI CONSULTANTS INC","GEI CONSULTANTS INC","PROFESSIONAL ENGINEER","2021-01-01T00:00:00.000","2023-12-31T00:00:00.000","400 UNICORN PARK DR STE 8",,"WOBURN","MA","018013341","UNITED STATES","1997113702","
WOBURN, MA 018013341
(42.483883, -71.114732)"
"AMERICAN TOWER CORPORATION","AMERICAN TOWER CORPORATION","COMMERICAL LESSOR","2022-01-01T00:00:00.000","2022-12-31T00:00:00.000","10 PRESIDENTIAL WAY STE 100",,"WOBURN","MA","018015118","UNITED STATES","2017600565","
WOBURN, MA 018015118
(42.486916, -71.153397)"
"RECEIVABLE MANAGEMENT CORP","RECEIVABLE MANAGEMENT CORP","MERCANTILE AGENCY OR COLLECTIONS AGENCY","2020-01-01T00:00:00.000","2022-12-31T00:00:00.000","400 W CUMMINGS PARK STE 4450",,"WOBURN","MA","018016594","UNITED STATES","2002107516","
WOBURN, MA 018016594
(42.486916, -71.153397)"
"DAFT AERO LLC","DAFT AERO LLC","GENERAL SERVICES","2022-07-01T00:00:00.000","2022-12-31T00:00:00.000","16 CAREY AVE",,"BURLINGTON","MA","018032845","UNITED STATES","2022707148","
BURLINGTON, MA 018032845
(42.510525, -71.211136)"
"ENVIRO BUSINESS INC","E B I CONSULTING","PROFESSIONAL ENGINEER","2020-01-01T00:00:00.000","2022-12-31T00:00:00.000","21 B ST",,"BURLINGTON","MA","018033485","UNITED STATES","2009105211","
BURLINGTON, MA 018033485
(42.498036, -71.223669)"
"FOUNTAINHEAD FOODSERVICE GROUP INC","FOUNTAINHEAD FOODSERVICE GROUP INC","FOOD PROCESSOR WHOLESALER","2022-01-01T00:00:00.000","2022-12-31T00:00:00.000","127 CAMBRIDGE ST",,"BURLINGTON","MA","018033773","UNITED STATES","2021885591","
BURLINGTON, MA 018033773
(42.503638, -71.202536)"
"GENESIS HR SOLUTIONS INC","GENESIS HR SOLUTIONS INC","GENERAL SERVICES","2020-01-01T00:00:00.000","2022-12-31T00:00:00.000","30 CORPORATE DR STE 100",,"BURLINGTON","MA","018034252","UNITED STATES","2004210260","
BURLINGTON, MA 018034252
(42.496868, -71.192867)"
