"the_geom","objectid_1","objectid","ftype","name","pic_url","thumb_url","sh_descr","descr_1","descr_2","location","season","vendor","website","lat","long"
"POINT (-75.610401999868 38.744731999869)","50","87","Farm Stands","Sayre Baldwin Farm","https://delawaregrown.com/wp-content/uploads/sites/160/2019/04/Delaware-Grown_eggplant.jpg","https://delawaregrown.com/wp-content/uploads/sites/160/2019/04/Delaware-Grown_eggplant-tb.jpg","Visit us at our Farm Market in picturesque Bridgeville, Delaware! The majority of our products are grown right here at our farm. ","Open 9 am to 5 pm Daily",,"8100 Seashore Highway, Bridgeville",,"Learn more: 302-470-1730","http://www.sayrebaldwinfarms.com/","38.744732","-75.610402"
"POINT (-75.075149999743 38.696118000305)","171","197","Breweries","Dewey Beer Co.","https://delawaregrown.com/wp-content/uploads/sites/160/2020/04/Delaware-Grown-Breweries-Medium-20-of-12.jpg","https://delawaregrown.com/wp-content/uploads/sites/160/2020/04/Delaware-Grown-Breweries-Thumbnail-20-of-12.jpg",,"Hours: Noon to 9 pm Sunday through Friday","Noon to 10 pm Saturday","2100 Coastal Hwy, Dewey Beach",,"Learn more: 302-227-1182","https://deweybeerco.com/","38.696118","-75.07515"
"POINT (-75.490180999892 39.804921999825)","58","72","Farm Stands","Marini Produce","https://delawaregrown.com/wp-content/uploads/sites/160/2020/04/Delaware-Grown-Farmer-Markets-Stands-Large-4-of-585.jpg","https://delawaregrown.com/wp-content/uploads/sites/160/2020/04/Delaware-Grown-Farmer-Markets-Stands-Thumbnail-4-of-585.jpg","Locally owned and operated for more than 50 years in the Brandywine Hundred","Open 7 days a week - 8 am to 6 pm","Covid-19 Update: Online ordering with delivery & pickup options","2121 Veale Road, Wilmington",,"Learn more: 302-475-5754","https://www.mariniproduce.com/","39.804922","-75.490181"
"POINT (-75.635289999986 38.819555000305)","177","157","Christmas Tree Growers","Don's Tree Farm","https://delawaregrown.com/wp-content/uploads/sites/160/2019/04/Christmas-Tree-Samples-15-of-20.jpg","https://delawaregrown.com/wp-content/uploads/sites/160/2019/04/Christmas-Tree-Samples-Thumbnails-15-of-20.jpg",,,,"6396 Hickman Road, Greenwood",,"Learn more: 302-349-0555","http://donstreefarm.com/","38.819555","-75.63529"
"POINT (-75.502728000332 38.701356000118)","74","36","Farm Stands","Elmers Market","https://delawaregrown.com/wp-content/uploads/sites/160/2019/04/Placeholder-DG-1-of-1.jpg","https://delawaregrown.com/wp-content/uploads/sites/160/2019/04/Placeholder-DG-thumbnail-1-of-1.jpg","Fresh fruit and vegetables, gift shop and garden center.","Open 9 am to 5 pm daily",,"13257 Seashore Hwy, Georgetown",,"Learn more: 302-337-8388","https://www.facebook.com/elmersmarket/","38.701356","-75.502728"
"POINT (-75.618277999783 38.574716999967)","35","57","Farm Stands","Jeff's Greenhouses","https://delawaregrown.com/wp-content/uploads/sites/160/2019/04/Placeholder-DG-1-of-1.jpg","https://delawaregrown.com/wp-content/uploads/sites/160/2019/04/Placeholder-DG-thumbnail-1-of-1.jpg",,,,"7781 Main Street, Bethel",,"Learn more: 800-875-3420","https://www.facebook.com/Jeffs-Greenhouses-and-Gift-Shop-414744588563427/","38.574717","-75.618278"
"POINT (-75.638723999704 39.158937000025)","128","126","U-Pick","Bobola Farm","https://delawaregrown.com/wp-content/uploads/sites/160/2019/04/Placeholder-DG-1-of-1.jpg","https://delawaregrown.com/wp-content/uploads/sites/160/2019/04/Placeholder-DG-thumbnail-1-of-1.jpg","U-Pick strawberries in May & June; pumpkins in the fall",,,"5268 Forrest Ave., Dover",,"Learn more: 302-492-3367",,"39.158937","-75.638724"
"POINT (-75.56501599995 39.828177999882)","127","125","U-Pick","Ramsey's Farm","https://delawaregrown.com/wp-content/uploads/sites/160/2019/04/Pumpkin-Pile-1-of-1.jpg","https://delawaregrown.com/wp-content/uploads/sites/160/2019/04/Pumpkin-Pile-1-of-1.jpg","U-Pick pumpkins and squash","Open weekends from late September through October",,"330 Ramsey Road, Wilmington",,"Learn more: 302-540-4680","http://ramseysfarm.com/index.asp","39.828178","-75.565016"
"POINT (-75.597539999783 38.750047000262)","142","140","U-Pick","T.S. Smith & Sons","https://delawaregrown.com/wp-content/uploads/sites/160/2019/04/Placeholder-DG-1-of-1.jpg","https://delawaregrown.com/wp-content/uploads/sites/160/2019/04/Placeholder-DG-thumbnail-1-of-1.jpg","U-Pick peaches, nectarines, apples and pumpkins",,,"8887 Redden Road, Bridgeville",,"Learn more: 302-337-8271","http://www.tssmithandsons.com/","38.750047","-75.59754"
"POINT (-75.743201000246 39.685010999723)","14","7","Farmers Markets","Co-Op Farmers' Market","https://delawaregrown.com/wp-content/uploads/sites/160/2019/04/Farmers-Market-Set-3-48-of-436.jpg","https://delawaregrown.com/wp-content/uploads/sites/160/2019/04/Farmers-Market-Set-3-48-of-436_tb.jpg","Sundays 9:30 am to 2 pm","This market features local farmers and is hosted by the Newark Natural Foods Cooperative","Accepts EBT cards (SNAP benefits) and FMNP coupons","Newark Shopping Center, 209 Main Street, Newark","Open May 2 - November 21, 2021","Vendor information: 302-368-5894 or catherine@newark.coop","https://www.newark.coop/farmers-market","39.685011","-75.743201"
"POINT (-75.720648999854 39.120155000285)","102","145","Christmas Tree Growers","Berry Patch Christmas Tree Farm","https://delawaregrown.com/wp-content/uploads/sites/160/2019/04/Christmas-Tree-Samples-8-of-20.jpg","https://delawaregrown.com/wp-content/uploads/sites/160/2019/04/Christmas-Tree-Samples-Thumbnails-8-of-20.jpg",,,,"1835 Halltown Road, Hartley",,"Learn more: 302-352-3397","http://www.delawarechristmastreegrowersassn.com/farms.php?farm_id=38","39.120155","-75.720649"
"POINT (-75.132380999944 38.490474999982)","73","35","Farm Stands","East View Farms","https://delawaregrown.com/wp-content/uploads/sites/160/2019/04/Placeholder-DG-1-of-1.jpg","https://delawaregrown.com/wp-content/uploads/sites/160/2019/04/Placeholder-DG-thumbnail-1-of-1.jpg","We only sell what we grow. Guaranteed.",,,"36144 Bayard Road, Frankford",,"Learn more: 302-436-4605","https://eastviewfarmsde.com/","38.490475","-75.132381"
"POINT (-75.751400000201 39.665811999867)","181","161","Creameries","UDairy Creamery - Newark","https://delawaregrown.com/wp-content/uploads/sites/160/2019/04/Icecream-Samples-5-of-7.jpg","https://delawaregrown.com/wp-content/uploads/sites/160/2019/04/Icecream-Samples-Thumbnails-5-of-7.jpg",,"Monday through Friday-  9 am to 10 pm","Weekends - 11 am to 10 pm","531 South College Ave., Newark",,"Learn more: 302-831-2486","http://canr.udel.edu/udairycreamery/","39.665812","-75.7514"
"POINT (-75.249637999657 38.720909000161)","43","65","Farm Stands","Lavender Fields at Warrington Manor","https://delawaregrown.com/wp-content/uploads/sites/160/2019/04/Placeholder-DG-1-of-1.jpg","https://delawaregrown.com/wp-content/uploads/sites/160/2019/04/Placeholder-DG-thumbnail-1-of-1.jpg","Delaware's premier lavender farm","Open 10 am to 4 pm every day April through December; closed Sundays January through March",,"18864 Cool Springs Road, Milton",,"Learn more: 302-684-1514","http://lavenderfieldsde.com/","38.720909","-75.249638"
"POINT (-75.679326999842 38.614645000092)","96","103","Farm Stands","Woodland Harvest Farm","https://delawaregrown.com/wp-content/uploads/sites/160/2019/04/Placeholder-DG-1-of-1.jpg","https://delawaregrown.com/wp-content/uploads/sites/160/2019/04/Placeholder-DG-thumbnail-1-of-1.jpg","Our goal is to reconnect people to the source of their food.",,"Produce availabe by pre-order only","4091 Woodland Ferry Road, Seaford",,"Learn more; 302-629-2686","https://woodlandharvestfarm.square.site/","38.614645","-75.679327"
"POINT (-75.725670000184 39.411123000142)","77","39","Farm Stands","Fairview Sod Farm","https://delawaregrown.com/wp-content/uploads/sites/160/2019/02/Strawberries.jpg","https://delawaregrown.com/wp-content/uploads/sites/160/2020/05/strawberries-thumbnail.jpg","Strawberries in season and sod year round","Strawberry hours: Mondays, Tuesday & Thursday - 7 am to noon; Wednesday & Friday - 7 am to 7 p.m; Saturday & Sunday - 7 am to 2 pm",,"380 Green Giant Road, Townsend",,"Learn more: 302-378-0611","http://www.fairviewsodfarm.com/index.html","39.411123","-75.72567"
"POINT (-75.089079999682 38.467759000163)","70","84","Farm Stands","Produce 54 Market","https://delawaregrown.com/wp-content/uploads/sites/160/2020/04/Delaware-Grown-Farmer-Markets-Stands-Large-430-of-585.jpg","https://delawaregrown.com/wp-content/uploads/sites/160/2020/04/Delaware-Grown-Farmer-Markets-Stands-Thumbnail-430-of-585.jpg","Locally grown produce.",,,"37103 Lighthouse Road, Selbyville",,"Learn more: Produce54@outlook.com","https://www.facebook.com/produce54/","38.467759","-75.08908"
"POINT (-75.548484000146 39.238637999707)","80","42","Farm Stands","Ficner's Farm","https://delawaregrown.com/wp-content/uploads/sites/160/2020/04/Delaware-Grown-Farmer-Markets-Stands-Large-516-of-585.jpg","https://delawaregrown.com/wp-content/uploads/sites/160/2020/04/Delaware-Grown-Farmer-Markets-Stands-Thumbnail-516-of-585.jpg","We grow fresh vegetables including sweet corn, tomatoes, squash, string beans and fall crops on 40 acres.","Open from July to Thanksgiving 10 am to 5 p.m Monday, Wednesday - Saturday & 10 am to 2 pm Sunday. Closed  Tuesdays",,"1911 Fast Landing Road, Dover",,"Learn more: 302-674-4677","https://www.ficnerfarm.com/","39.238638","-75.548484"
"POINT (-75.615130000295 39.546769000228)","101","144","Christmas Tree Growers","McCarthy Tree Farm","https://delawaregrown.com/wp-content/uploads/sites/160/2019/04/Christmas-Tree-Samples-6-of-20.jpg","https://delawaregrown.com/wp-content/uploads/sites/160/2019/04/Christmas-Tree-Samples-Thumbnails-6-of-20.jpg",,,,"1061 Dutch Neck Road, Middletown",,"Learn more: 302-836-3171","http://www.mccarthytreefarm.com/","39.546769","-75.61513"
"POINT (-75.575205000025 38.716442999894)","76","38","Farm Stands","Evans Farm Produce","https://delawaregrown.com/wp-content/uploads/sites/160/2019/04/Placeholder-DG-1-of-1.jpg","https://delawaregrown.com/wp-content/uploads/sites/160/2019/04/Placeholder-DG-thumbnail-1-of-1.jpg","We have an incredible selection of local fruits, vegetables, meats, dairy and other locally produced goods.","Four ways to shop: In store, online, drive-thru or call ahead","Open 8 am to 8 pm daily","9843 Seashore Hwy, Bridgeville",,"Learn more: 302-337-9843 or 302-337-8444","http://www.evansfarmsproduce.com/","38.716443","-75.575205"
"POINT (-75.571577000138 39.120711999695)","97","104","CSAs","Fifer Orchards","https://delawaregrown.com/wp-content/uploads/sites/160/2019/04/Placeholder-DG-1-of-1.jpg","https://delawaregrown.com/wp-content/uploads/sites/160/2019/04/Placeholder-DG-thumbnail-1-of-1.jpg","Choice of 11 weekly pickup sites","Camden-Wyoming, Dover, Milford","Dewey Beach, Lewes, Milsboro, Gerogetown","Smyrna, Newark, Middletown",,"Learn more: 302-697-2141","https://www.fiferorchards.com/delmarva-box-csa-program/","39.120712","-75.571577"
"POINT (-75.310828000181 38.769876000219)","22","15","Farmers Markets","Milton Farmers' Market","https://delawaregrown.com/wp-content/uploads/sites/160/2019/04/Delaware-Grown_strawberries.jpg","https://delawaregrown.com/wp-content/uploads/sites/160/2019/04/Delaware-Grown_strawberries-tb.jpg","Closed until further notice due to COVID-19","Locally grown produce, meat, fish, cheese, baked goods, jellies, sauces, crafts & ready-to-eat foods","Accepts FMNP coupons","Dogfish Head Brewery, Village Center Blvd., Milton",,"Vendor information: 302-329-9566 or pnicholson5@hotmail.com","http://www.miltondefarmersmarket.org/","38.769876","-75.310828"
"POINT (-75.725076999807 39.249534999733)","72","34","Farm Stands","Dulin Produce","https://delawaregrown.com/wp-content/uploads/sites/160/2019/04/Placeholder-DG-1-of-1.jpg","https://delawaregrown.com/wp-content/uploads/sites/160/2019/04/Placeholder-DG-thumbnail-1-of-1.jpg","Farm fresh, local produce and meat grown by the Dulin family","9 am to 4 pm weekends",,"938 Blackiston Church Road, Clayton",,"Learn more:302-535-6888","https://www.facebook.com/dulinproduce","39.249535","-75.725077"
"POINT (-75.634053999902 39.730609999726)","165","191","Breweries","Bellefonte Brewing C.","https://delawaregrown.com/wp-content/uploads/sites/160/2020/04/Delaware-Grown-Breweries-Medium-22-of-12.jpg","https://delawaregrown.com/wp-content/uploads/sites/160/2020/04/Delaware-Grown-Breweries-Thumbnail-22-of-12.jpg",,"Hours: 5-11 pm Monday through Thursday; 3 pm to Midnight, Friday","Noon to Midnight Saturday; Noon to 7 pm Sunday","3605 Old Capitol Trail Unit C8, Wilmington",,"Learn more: 302-407-6765","https://www.bellefontebrewingco.com/","39.73061","-75.634054"
"POINT (-75.545697000333 38.801614999727)","60","74","Farm Stands","Mendoza Family Market","https://delawaregrown.com/wp-content/uploads/sites/160/2020/04/Delaware-Grown-Farmer-Markets-Stands-Large-480-of-585.jpg","https://delawaregrown.com/wp-content/uploads/sites/160/2020/04/Delaware-Grown-Farmer-Markets-Stands-Thumbnail-480-of-585.jpg","Our Mission: To provide the highest quality product at the most affordable prices.",,,"10967 Beach Hwy, Greenwood",,"Learn more: 302-258-4147","https://www.facebook.com/pages/Mendozas-Family-Market/1758477277754390","38.801615","-75.545697"
"POINT (-75.560900000167 39.733615000006)","157","183","Breweries","Iron Hill Brewery","https://delawaregrown.com/wp-content/uploads/sites/160/2020/04/Delaware-Grown-Breweries-Medium-6-of-16.jpg","https://delawaregrown.com/wp-content/uploads/sites/160/2020/04/Delaware-Grown-Breweries-Thumbnail-6-of-16.jpg",,"Hours: 11 am to 11 p, Sunday through Wednesday","11 am to Midnight Friday and Saturday","620 Justison St., Wilmington",,"Learn more: 302-472-2739","https://www.ironhillbrewery.com/","39.733615","-75.5609"
"POINT (-75.722029999704 39.08749299976)","131","129","U-Pick","Shiloh Lea Farm","https://delawaregrown.com/wp-content/uploads/sites/160/2019/04/Placeholder-DG-1-of-1.jpg","https://delawaregrown.com/wp-content/uploads/sites/160/2019/04/Placeholder-DG-thumbnail-1-of-1.jpg","U-Pick blueberries","Open 7 am to 6 pm Monday through Friday & 7 am to noon Saturdays",,"3716 Mahan Corner Road, Marydel",,"Learn more: 302-492-3789",,"39.087493","-75.72203"
"POINT (-75.1469300002 38.772859999886)","19","12","Farmers Markets","Historic Lewes Farmers' Market","https://delawaregrown.com/wp-content/uploads/sites/160/2019/04/HLFM_fruit-1.jpg","https://delawaregrown.com/wp-content/uploads/sites/160/2019/04/HLFM_fruit-tb-1.jpg","Saturdays 8 am to noon","Locally grown fresh produce, eggs, baked goods, meats, fish, cut flowers & herbs","Accepts EBT cards (SNAP benefits) and FMNP coupons","George H.P. Smith Park, Dupont & Johnson Ave, Lewes","Open May 1 - September 25, 2021","Vendor Information: 302-644-1436 or info@historiclewesfarmersmarket.org","http://www.historiclewesfarmersmarket.org/","38.77286","-75.14693"
"POINT (-75.18967400007 38.747354000327)","24","17","Farmers Markets","Nassau Valley Vineyards Farmers' Market","https://delawaregrown.com/wp-content/uploads/sites/160/2019/04/Delaware-Grown_root-vegetables.jpg","https://delawaregrown.com/wp-content/uploads/sites/160/2019/04/Delaware-Grown_root-vegetables-tb.jpg","Sundays Noon to 3 pm","Locally grown produce and more",,"Nassau Valley Vineyards and Winery, 32165 Winery Way, Lewes","Open May 16 - October 17, 2021","Vendor information: 302-249-7878 or pat@patcoluzzi.com","https://www.facebook.com/nassauvalleysummerfarmersmarket/","38.747354","-75.189674"
"POINT (-75.610739999977 39.658742999806)","91","53","Farm Stands","Hazeye Farms","https://delawaregrown.com/wp-content/uploads/sites/160/2020/04/Delaware-Grown-Farmer-Markets-Stands-Large-351-of-585.jpg","https://delawaregrown.com/wp-content/uploads/sites/160/2020/04/Delaware-Grown-Farmer-Markets-Stands-Thumbnail-351-of-585.jpg","Local farm market open from Easter through Halloween and from Thanksgiving to Christmas","Open daily 9 am to 8 p.m.","Selling local produce, honey, Amish jellies and jams, pickles, baked goods, plants and Amish made outdoor crafts","160 S. DuPont Highway, New Castle",,"Learn more: 302-750-0786","https://www.hazeyefarms.com/produce","39.658743","-75.61074"
"POINT (-75.760444000428 39.465499000007)","82","44","Farm Stands","Filasky's Produce","https://delawaregrown.com/wp-content/uploads/sites/160/2020/04/Delaware-Grown-Farmer-Markets-Stands-Large-17-of-585.jpg","https://delawaregrown.com/wp-content/uploads/sites/160/2020/04/Delaware-Grown-Farmer-Markets-Stands-Thumbnail-17-of-585.jpg","Urban farm producing fruits and vegetables"," Call ahead for curbside pickup",,"1343 Bunker Hill Road, Middletown","Open 9 am to 5 pm from late April through Thanksgiving","Learn more: 302-378-2754","https://www.facebook.com/FilaskysProduce/","39.465499","-75.760444"
"POINT (-75.453205999641 38.955950000214)","62","76","Farm Stands","Mule Run Meats","https://delawaregrown.com/wp-content/uploads/sites/160/2020/04/Delaware-Grown-Farmer-Markets-Stands-Large-355-of-585.jpg","https://delawaregrown.com/wp-content/uploads/sites/160/2020/04/Delaware-Grown-Farmer-Markets-Stands-Thumbnail-355-of-585.jpg","Featuring farm-raised beef and goat. You will also find other meats, poultry, seafood and much more.","Open 9 am to 6 pm Friday, 9 am to 2 pm Saturday and noon to 6 pm Monday and Tuesday",,"1931 Bowman Road, Milford",,"Learn more: 302-242-2281","https://www.facebook.com/pages/category/Farmers-Market/Mule-Run-Meats-1631789680412971/","38.95595","-75.453206"
"POINT (-75.109242999746 38.716181000155)","156","182","Breweries","Iron Hill Brewery","https://delawaregrown.com/wp-content/uploads/sites/160/2020/04/Delaware-Grown-Breweries-Medium-8-of-16.jpg","https://delawaregrown.com/wp-content/uploads/sites/160/2020/04/Delaware-Grown-Breweries-Thumbnail-8-of-16.jpg",,"Hours: 11 am to 11 p, Sunday through Wednesday","11 am to Midnight Friday and Saturday","19815 Coastal Hwy, Rehoboth Beach",,"Learn more: 302-260-8000","https://www.ironhillbrewery.com/","38.716181","-75.109243"
"POINT (-75.312183000091 38.638379999677)","83","45","Farm Stands","Flying Squirrel Garden","https://delawaregrown.com/wp-content/uploads/sites/160/2020/04/Delaware-Grown-Farmer-Markets-Stands-Large-520-of-585.jpg","https://delawaregrown.com/wp-content/uploads/sites/160/2020/04/Delaware-Grown-Farmer-Markets-Stands-Thumbnail-520-of-585.jpg","All naturally-grown produce",,,"24660 Zoar Road, Georgetown",,"Learn more: 302-339-7297","https://www.facebook.com/Flying-squirrel-garden-113621123624725/","38.63838","-75.312183"
"POINT (-75.105065999863 38.712783000176)","168","194","Breweries","Thompson Island Brewing Co.","https://delawaregrown.com/wp-content/uploads/sites/160/2020/04/Delaware-Grown-Breweries-Medium-25-of-12.jpg","https://delawaregrown.com/wp-content/uploads/sites/160/2020/04/Delaware-Grown-Breweries-Thumbnail-25-of-12.jpg",,"Hours: 11:30 am to 9 pm Sunday through Thursday","11:30 am to 1 am Friday & Saturday","30133 Veterans Hwy, Rehoboth Beach",,"Learn more: 302-309-9887","https://thompsonislandbrewing.com/","38.712783","-75.105066"
"POINT (-75.291265999992 38.591748000332)","23","16","Farmers Markets","Millsboro Farmers' Market","https://delawaregrown.com/wp-content/uploads/sites/160/2020/04/Delaware-Grown-Farmer-Markets-Stands-Large-499-of-585.jpg","https://delawaregrown.com/wp-content/uploads/sites/160/2020/04/Delaware-Grown-Farmer-Markets-Stands-Thumbnail-499-of-585.jpg","Saturdays 8 am to noon","Locally grown produce",,"Town Center Parking Lot, 322 Wilson Highway","Open May 15 - September 25, 2021","Vendor information: michellet@millsboro.org or (302) 245-0440","https://www.millsboro.org/shopcontent.asp?type=Events","38.591748","-75.291266"
"POINT (-75.220001000094 38.540390000037)","66","80","Farm Stands","Parsons Farm Produce","https://delawaregrown.com/wp-content/uploads/sites/160/2019/04/Placeholder-DG-1-of-1.jpg","https://delawaregrown.com/wp-content/uploads/sites/160/2019/04/Placeholder-DG-thumbnail-1-of-1.jpg","A unique experience for the whole family","Open 9 am to 6 pm daily",,"3081 Armory Road, Dagsboro",,"Learn more: 302-732-3336","https://www.facebook.com/ParsonsFarmsProduce/","38.54039","-75.220001"
"POINT (-75.687897000416 39.255274999984)","103","146","Christmas Tree Growers","Cardinal Woods Farms","https://delawaregrown.com/wp-content/uploads/sites/160/2019/04/Christmas-Tree-Samples-7-of-20.jpg","https://delawaregrown.com/wp-content/uploads/sites/160/2019/04/Christmas-Tree-Samples-Thumbnails-7-of-20.jpg",,,,"2480 Blackiston Road, Clayton",,"Learn more: 302-4239382","http://www.cardinalwoods.net/","39.255275","-75.687897"
"POINT (-75.583721999997 38.569424000037)","88","50","Farm Stands","Givens Produce","https://delawaregrown.com/wp-content/uploads/sites/160/2019/04/Placeholder-DG-1-of-1.jpg","https://delawaregrown.com/wp-content/uploads/sites/160/2019/04/Placeholder-DG-thumbnail-1-of-1.jpg",,,,"8947 Woodland Ferry Road, Laurel",,"Learn more: 302-228-4640","https://www.facebook.com/givensproduce/","38.569424","-75.583722"
"POINT (-75.40189499957 38.894353000192)","92","54","Farm Stands","Helmick's Homestead","https://delawaregrown.com/wp-content/uploads/sites/160/2020/04/Delaware-Grown-Farmer-Markets-Stands-Large-521-of-585.jpg","https://delawaregrown.com/wp-content/uploads/sites/160/2020/04/Delaware-Grown-Farmer-Markets-Stands-Thumbnail-521-of-585.jpg","Veteran Grown Goodness","Offering salad mix and seasonal vegetables","Order through webside for home delivery","Milford area",,"Learn more: 302-265-6804","https://www.helmickshomestead.com/","38.894353","-75.401895"
"POINT (-75.642673999806 39.301678999958)","8","1","Farmers Markets","Asbury Church Farmers' Market","https://delawaregrown.com/wp-content/uploads/sites/160/2019/04/Farmers-Market-Set-3-15-of-436.jpg","https://delawaregrown.com/wp-content/uploads/sites/160/2019/04/Farmers-Market-Set-3-15-of-436_tb.jpg","Saturdays 9 am to 1 pm","Locally grown produce, meats,eggs & baked goods","Accepts FMNP coupons","West Glenwood Ave. (next to Glenwood Cemetery), Smyrna","Open May 22 - September 4, 2021","Vendor Information: 302-653-8415 or asburychurchfarmersmarket@gmail.com","https://www.facebook.com/Asbury-Church-Farmers-Market-2077482435854703/","39.301679","-75.642674"
