"geography","race","gender","year","percent_employed"
"United States","Black or African American","Male","1980","59.79"
"United States","Black or African American","Male","2016","59.68"
"United States","Hispanic or Latino","Male","1980","72.84"
"United States","Black or African American","Male","1990","59.25"
"United States","Black or African American","Male","2000","55.38"
"United States","Hispanic or Latino","Male","1990","71.24"
"United States","Hispanic or Latino","Male","2000","65.15"
"United States","Hispanic or Latino","Male","2016","74.51"
"United States","Hispanic or Latino","Female","1980","47.85"
"United States","Hispanic or Latino","Female","1990","52.66"
"United States","Hispanic or Latino","Female","2000","51.21"
"United States","Hispanic or Latino","Female","2016","59.88"
"Weak City Metros","White, not Hispanic","Male","1980","83"
"Weak City Metros","White, not Hispanic","Male","1990","81"
"Weak City Metros","White, not Hispanic","Male","2000","79"
"Weak City Metros","White, not Hispanic","Male","2016","76"
"Weak City Metros","White, not Hispanic","Female","1980","58"
"Weak City Metros","White, not Hispanic","Female","1990","66"
"Weak City Metros","White, not Hispanic","Female","2000","68"
"Weak City Metros","White, not Hispanic","Female","2016","69"
"Weak City Metros","Black or African American","Male","1990","59"
"Weak City Metros","Black or African American","Male","2000","55"
"Weak City Metros","Black or African American","Male","2016","59"
"Weak City Metros","Black or African American","Female","1980","51"
"Weak City Metros","Black or African American","Female","1990","57"
"Weak City Metros","Black or African American","Female","2000","59"
"Weak City Metros","Black or African American","Female","2016","64"
"Weak City Metros","Black or African American","Male","1980","59"
"Weak City Metros","Hispanic or Latino","Female","2000","50"
"Weak City Metros","Hispanic or Latino","Male","1980","75"
"Weak City Metros","Hispanic or Latino","Male","1990","73"
"Weak City Metros","Hispanic or Latino","Male","2000","64"
"Weak City Metros","Hispanic or Latino","Male","2016","74"
"Weak City Metros","Hispanic or Latino","Female","1980","49"
"Weak City Metros","Hispanic or Latino","Female","1990","52"
"Weak City Metros","Hispanic or Latino","Female","2016","59"
