"fiscal_year","fiscal_month","check_date","org","org_desc","object","object_desc","fund","fund_desc","payee","amount","payment_id","check_status","check_number","inv_number","char_code","char_code_desc","payment_type","vendor_no","goal_category"
"2018","11","2018-08-16T00:00:00.000","404515","STREET & ALLEY REPAIR","6277","MAINTENANCE OF INFRASTRUCTURE","100","GENERAL","LOWES COMPANIES, INC.","119.6","234544","CLEARED",,"64952-8/15/18","62","CONTRACTUAL SERVICES","PRINT","2665",
"2021","6","2021-03-18T00:00:00.000","114000","FACILITY MAINTENANCE","6274","MAINTENANCE OF BUILDINGS","100","GENERAL","BERGER ENGINEERING  COMPANY","145","355537","CLEARED",,"S32820","62","CONTRACTUAL SERVICES","EFT","5383",
"2017","7","2017-04-10T00:00:00.000","2802121","POLICE CONTRIBUTIONS/DONATIONS","8910","SUPPLIES","280","CONTRIBUTIONS AND DONATIONS","CITY OF MESQUITE","39.36","169680","CLEARED",,"03095","61","SUPPLIES","PRINT","490",
"2016","4","2016-01-19T00:00:00.000","100","GENERAL","1100","INVENTORY - GENERAL WAREHOUSE","100","GENERAL","AUTONATION CHEVROLET","342.6","111704","CLEARED",,"4683201",,"BALANCE SHEET ACCOUNT","PRINT","6004",
"2019","9","2019-06-27T00:00:00.000","502000","LIBRARY CENTRAL","6156","AUDIOVISUAL SUPPLIES","100","GENERAL","BAKER & TAYLOR","10.79","275569","CLEARED",,"H36336620","61","SUPPLIES","EFT","4387",
"2017","7","2017-05-02T00:00:00.000","404515","STREET & ALLEY REPAIR","6290","OTHER CONTRACTUAL SERVICES","100","GENERAL","OLDCASTLE MATERIALS TEXAS, INC.","367.47","172551","CLEARED",,"200573822","62","CONTRACTUAL SERVICES","PRINT","1926",
"2019","11","2019-08-20T00:00:00.000","402506","DRAINAGE UTILITY OPERATIONS","6208","LEGAL SERVICES/COURT COSTS","5000","DRAIN UTILITY DIST OPERATING","EMPLOYEE EXPENSE","12.47","283131","CLEARED",,"283131","62","CONTRACTUAL SERVICES","PRINT","999998",
"2018","4","2018-01-11T00:00:00.000","114000","FACILITY MAINTENANCE","6274","MAINTENANCE OF BUILDINGS","100","GENERAL","GARLAND/DBS, INC","1140","205371","CLEARED",,"42785226292","62","CONTRACTUAL SERVICES","PRINT","1446",
"2016","2","2015-11-24T00:00:00.000","201000","FIRE OPERATIONS","6163","DIESEL FUEL","100","GENERAL","MARTIN EAGLE OIL COMPANY, INC","1289.34","105805","CLEARED",,"751550","61","SUPPLIES","EFT","2764",
"2018","8","2018-05-24T00:00:00.000","405000","EQUIPMENT SERVICES","6170","MOTOR VEHICLE PARTS","100","GENERAL","AUTONATION FORT WORTH MOTORS","386.8","222512","CLEARED",,"4886796","61","SUPPLIES","PRINT","4641",
"2019","5","2019-02-12T00:00:00.000","701000","RESERVE APPROPRIATION","6208","LEGAL SERVICES/COURT COSTS","100","GENERAL","BARNES & THORNBURG LLP","465","257552","CLEARED",,"2193416","62","CONTRACTUAL SERVICES","PRINT","7185",
"2016","11","2016-08-26T00:00:00.000","212000","POLICE CRIMINAL INVESTIGATION","6103","FOOD OR CONCESSIONS","100","GENERAL","EMPLOYEE EXPENSE","17.82","140847","CLEARED",,"1571","61","SUPPLIES","PRINT","999998",
"2020","11","2020-08-25T00:00:00.000","100","GENERAL","1103","INVENTORY - AUTO WAREHOUSE","100","GENERAL","GENUINE PARTS CO.","120.4","329065","CLEARED",,"4044-458687",,"BALANCE SHEET ACCOUNT","EFT","3165",
"2019","4","2019-01-03T00:00:00.000","212000","POLICE CRIMINAL INVESTIGATION","6101","OFFICE SUPPLIES","100","GENERAL","STAPLES CONTRACT & COMMERCIAL, INC","72.06","252758","CLEARED",,"3399772412","61","SUPPLIES","EFT","4343",
"2019","10","2019-08-06T00:00:00.000","100","GENERAL","1103","INVENTORY - AUTO WAREHOUSE","100","GENERAL","GENUINE PARTS CO.","7.4","280779","CLEARED",,"4044-378221",,"BALANCE SHEET ACCOUNT","EFT","3165",
"2020","7","2020-04-14T00:00:00.000","20347020","2018 C.O. CAP PROJ FIRE","8940","MAJOR CAPITAL OUTLAY","2034","2018 C.O. CAPITAL PROJECTS","PEAK METHODS INC.","5592.7","313221","CLEARED",,"55580","64","CAPITAL OUTLAY-MAJOR","PRINT","7232",
"2016","9","2016-06-28T00:00:00.000","200000","FIRE ADMINISTRATION","6101","OFFICE SUPPLIES","100","GENERAL","STAPLES CONTRACT & COMMERCIAL, INC","-22.55","133601","CLEARED",,"3306154074","61","SUPPLIES","EFT","4343",
"2019","2","2018-11-27T00:00:00.000","201000","FIRE OPERATIONS","6104","CLOTHING/UNIFORM EXPENSE","100","GENERAL","GT DISTRIBUTORS, INC.","454.2","247699","CLEARED",,"INV0684776","61","SUPPLIES","EFT","1425",
"2017","10","2017-07-13T00:00:00.000","204000","FIRE TRAINING","6104","CLOTHING/UNIFORM EXPENSE","100","GENERAL","GALLS, LLC","134.35","182385","CLEARED",,"7875039","61","SUPPLIES","EFT","1434",
"2019","12","2019-09-17T00:00:00.000","100","GENERAL","1103","INVENTORY - AUTO WAREHOUSE","100","GENERAL","AUTOZONE, INC.","24.99","286291","CLEARED",,"1533996173",,"BALANCE SHEET ACCOUNT","PRINT","3601",
"2018","5","2018-02-27T00:00:00.000","100","GENERAL","1100","INVENTORY - GENERAL WAREHOUSE","100","GENERAL","ADVANCE STORES CO., INC.","2672.14","211415","CLEARED",,"14865-157459",,"BALANCE SHEET ACCOUNT","PRINT","8417",
"2021","10","2021-07-29T00:00:00.000","100","GENERAL","1103","INVENTORY - AUTO WAREHOUSE","100","GENERAL","MIDWEST MOTOR SUPPLY CO. INC.","199.06","372059","CLEARED",,"9039275",,"BALANCE SHEET ACCOUNT","PRINT","2970",
"2018","9","2018-06-28T00:00:00.000","145000","SELF INSURANCE GROUP MEDICAL","6259","RETIREES MEDICARE SUPPL PREMS","6000","GROUP MEDICAL INSURANCE","GAC","45891.3","227367","CLEARED",,"July 2018 Rx","62","CONTRACTUAL SERVICES","EFT","1410",
"2021","4","2021-01-26T00:00:00.000","114000","FACILITY MAINTENANCE","6274","MAINTENANCE OF BUILDINGS","100","GENERAL","COUNTRY GLASS & MIRROR INC.","940","349124","CLEARED",,"29182","62","CONTRACTUAL SERVICES","PRINT","684",
"2021","7","2021-04-27T00:00:00.000","40257040","W/S 2020 REV BONDS PUB WKS","8940","MAJOR CAPITAL OUTLAY","4025","WATER SEWER 2020 REV BONDS","S.J. LOUIS CONSTRUCTION OF TEXAS, LTD","197429.84","359976","CLEARED",,"2020-012 Est. 5","64","CAPITAL OUTLAY-MAJOR","PRINT","10265",
"2021","2","2020-11-19T00:00:00.000","111000","ECONOMIC DEVELOPMENT","6232","MEMBERSHIPS/DUES/SUBS","100","GENERAL","N A I O P -NORTH TEXAS","550","339824","CLEARED",,"2021Dues","62","CONTRACTUAL SERVICES","PRINT","3164",
"2019","10","2019-07-30T00:00:00.000","608671","TOWN EAST POOL","6080","OTHER PERSONAL SERVICES","100","GENERAL","BERNETTE ERVIN","148.5","279764","CLEARED",,"July252019","60","PERSONAL SERVICES","PRINT","6478",
"2018","1","2017-11-02T00:00:00.000","602610","GOLF COURSE","6232","MEMBERSHIPS/DUES/SUBS","5600","GOLF COURSE","CHARTER COMMUNICATIONS HOLDINGS, LLC","176.37","195969","CLEARED",,"1971915100617","62","CONTRACTUAL SERVICES","PRINT","8237",
"2017","3","2016-12-16T00:00:00.000","140000","HUMAN RESOURCES ADMIN","6232","MEMBERSHIPS/DUES/SUBS","100","GENERAL","ISCEBS","325","154121","CLEARED",,"14353664","62","CONTRACTUAL SERVICES","PRINT","2119",
"2020","6","2020-03-12T00:00:00.000","605624","EVANS COMMUNITY CENTER","6080","OTHER PERSONAL SERVICES","100","GENERAL","BALL EMPOWERMENT, LLC","1521.75","309671","CLEARED",,"Mar032020","60","PERSONAL SERVICES","PRINT","7179",
"2019","9","2019-06-18T00:00:00.000","20347020","2018 C.O. CAP PROJ FIRE","8940","MAJOR CAPITAL OUTLAY","2034","2018 C.O. CAPITAL PROJECTS","SEDALCO, INC.","309281.92","273561","CLEARED",,"10978","64","CAPITAL OUTLAY-MAJOR","PRINT","9408",
"2016","5","2016-02-25T00:00:00.000","152203","CENTRAL COPY","6216","RENT AND LEASE PAYMENTS","100","GENERAL","KONICA MINOLTA BUSINESS SOLUTIONS","367.59","118530","CLEARED",,"238152395","62","CONTRACTUAL SERVICES","EFT","2433",
"2016","6","2016-03-31T00:00:00.000","502000","LIBRARY CENTRAL","6101","OFFICE SUPPLIES","100","GENERAL","BRODART COMPANY","114","124006","CLEARED",,"430428","61","SUPPLIES","EFT","79",
"2016","3","2015-12-03T00:00:00.000","114000","FACILITY MAINTENANCE","6274","MAINTENANCE OF BUILDINGS","100","GENERAL","BERGER ENGINEERING  COMPANY","2433.33","107158","CLEARED",,"M29455","62","CONTRACTUAL SERVICES","EFT","5383",
"2021","10","2021-07-20T00:00:00.000","153216","MUNICIPAL COURT","6290","OTHER CONTRACTUAL SERVICES","100","GENERAL","COURTS REFUND","6","371008","CLEARED",,"JP0629210016","62","CONTRACTUAL SERVICES","PRINT","999994",
"2017","4","2017-01-24T00:00:00.000","405000","EQUIPMENT SERVICES","6170","MOTOR VEHICLE PARTS","100","GENERAL","AUTONATION CHEVROLET","139.12","158584","CLEARED",,"4764177","61","SUPPLIES","PRINT","6004",
"2019","5","2019-02-05T00:00:00.000","405000","EQUIPMENT SERVICES","6170","MOTOR VEHICLE PARTS","100","GENERAL","GENUINE PARTS CO.","-153.25","256606","CLEARED",,"4044-324100","61","SUPPLIES","EFT","3165",
"2020","5","2020-02-11T00:00:00.000","602610","GOLF COURSE","6233","ELECTRICITY","5600","GOLF COURSE","GEXA ENERGY LP","3123.55","304336","CLEARED",,"29763403-4","62","CONTRACTUAL SERVICES","PRINT","6276",
"2018","4","2018-01-18T00:00:00.000","153216","MUNICIPAL COURT","6290","OTHER CONTRACTUAL SERVICES","100","GENERAL","COURTS REFUND","6","205879","CLEARED",,"JP0104180032","62","CONTRACTUAL SERVICES","PRINT","999994",
"2020","8","2020-05-14T00:00:00.000","214000","POLICE TECHNICAL SERVICES","6107","CHEM/MED/LAB SUPPLIES","100","GENERAL","ARROWHEAD SCIENTIFIC INC","127.63","316923","CLEARED",,"126488","61","SUPPLIES","EFT","1105",
"2019","8","2019-06-11T00:00:00.000","151200","WAREHOUSE","6106","JANITORIAL SUPPLIES","100","GENERAL","UNIFIRST HOLDINGS,INC.","4","272483","CLEARED",,"828 3787646","61","SUPPLIES","EFT","4917",
"2018","10","2018-07-10T00:00:00.000","271000","ENVIRONMENTAL CODE INSPECTION","6290","OTHER CONTRACTUAL SERVICES","100","GENERAL","DALTEXPRO FACILITY SERVICES, LLC","11192.06","229046","CLEARED",,"DaltexPro-06302018","62","CONTRACTUAL SERVICES","EFT","8323",
"2018","3","2017-12-12T00:00:00.000","114000","FACILITY MAINTENANCE","6274","MAINTENANCE OF BUILDINGS","100","GENERAL","D F W AUTOMATIC DOORS INC.","143","201411","CLEARED",,"11628","62","CONTRACTUAL SERVICES","PRINT","785",
"2019","10","2019-08-06T00:00:00.000","153216","MUNICIPAL COURT","6290","OTHER CONTRACTUAL SERVICES","100","GENERAL","COURTS REFUND","6","280736","CLEARED",,"JP0725190028","62","CONTRACTUAL SERVICES","PRINT","999994",
"2017","6","2017-03-16T00:00:00.000","502000","LIBRARY CENTRAL","6155","BOOK SUPPLIES","100","GENERAL","INGRAM LIBRARY SERVICES, INC","798.99","166127","CLEARED",,"97590279","61","SUPPLIES","EFT","2058",
"2021","12","2021-09-14T00:00:00.000","4025","WATER SEWER 2020 REV BONDS","2020","RETAINAGE PAYABLE","4025","WATER SEWER 2020 REV BONDS","PM CONSTRUCTION & REHAB LLC","21838.89","379791","CLEARED",,"RT379791",,"BALANCE SHEET ACCOUNT","PRINT","3560",
"2021","5","2021-02-25T00:00:00.000","100","GENERAL","1103","INVENTORY - AUTO WAREHOUSE","100","GENERAL","SW INTERNATL TRUCKS INC.","-570","351359","CLEARED",,"01P105369",,"BALANCE SHEET ACCOUNT","PRINT","4270",
"2016","4","2016-01-07T00:00:00.000","403510","RESIDENTIAL WASTE COLLECTION","6104","CLOTHING/UNIFORM EXPENSE","100","GENERAL","UNIFIRST HOLDINGS,INC.","203.64","111263","CLEARED",,"8283342165","61","SUPPLIES","EFT","4917",
"2020","6","2020-03-12T00:00:00.000","201000","FIRE OPERATIONS","6109","MISCELLANEOUS SUPPLIES","100","GENERAL","UNIFIRST HOLDINGS,INC.","7.5","309473","CLEARED",,"828 3873147","61","SUPPLIES","EFT","4917",
"2021","7","2021-04-20T00:00:00.000","202000","EMERGENCY MEDICAL SERVICE","6244","TRAVEL AND TRAINING","100","GENERAL","CITY OF MESQUITE","152","359795","CLEARED",,"08347","62","CONTRACTUAL SERVICES","PRINT","490",
"2017","12","2017-09-14T00:00:00.000","153216","MUNICIPAL COURT","6290","OTHER CONTRACTUAL SERVICES","100","GENERAL","COURTS REFUND","6","190081","CLEARED",,"JP0907170031","62","CONTRACTUAL SERVICES","PRINT","999994",
"2016","7","2016-04-19T00:00:00.000","100","GENERAL","2039","A/P STATE SALES TAX","100","GENERAL","COMPTROLLER PUBLIC ACCTS","589.78","126422","CLEARED",,"04192016",,"BALANCE SHEET ACCOUNT","WIRE","612",
"2021","9","2021-07-08T00:00:00.000","201000","FIRE OPERATIONS","6109","MISCELLANEOUS SUPPLIES","100","GENERAL","UNIFIRST HOLDINGS,INC.","7.5","368593","CLEARED",,"8284009313","61","SUPPLIES","EFT","4917",
"2020","6","2020-04-02T00:00:00.000","214000","POLICE TECHNICAL SERVICES","6275","MAINTENANCE OF EQUIPMENT","100","GENERAL","SIGNATURE SERVICES CORP","332.5","312344","CLEARED",,"22000660","62","CONTRACTUAL SERVICES","PRINT","4146",
"2020","6","2020-03-03T00:00:00.000","151200","WAREHOUSE","6104","CLOTHING/UNIFORM EXPENSE","100","GENERAL","UNIFIRST HOLDINGS,INC.","19.03","308215","CLEARED",,"828 3871106","61","SUPPLIES","EFT","4917",
"2021","6","2021-04-06T00:00:00.000","100","GENERAL","2101","A/P DUE TO OTHER CITY CRT COLL","100","GENERAL","CITY OF BALCH SPRINGS","760.2","357054","CLEARED",,"Z2010572",,"BALANCE SHEET ACCOUNT","PRINT","403",
"2020","5","2020-02-11T00:00:00.000","5003","DRAINAGE UTILITY CASH PROJECTS","2020","RETAINAGE PAYABLE","5003","DRAIN UTILITY DIST CASH PROJ","MCMAHON CONTRACTING LP","2075.71","304516","CLEARED",,"RT304516",,"BALANCE SHEET ACCOUNT","PRINT","8883",
"2019","7","2019-05-09T00:00:00.000","153216","MUNICIPAL COURT","6290","OTHER CONTRACTUAL SERVICES","100","GENERAL","COURTS REFUND","6","269083","CLEARED",,"JP0418190005","62","CONTRACTUAL SERVICES","PRINT","999994",
"2020","2","2019-11-12T00:00:00.000","120000","CITY SECRETARY","6213","ADVERTISING","100","GENERAL","DAILY COMMERCIAL RECORD, INC","133.45","293419","CLEARED",,"674656","62","CONTRACTUAL SERVICES","EFT","800",
"2016","12","2016-09-20T00:00:00.000","900000","MUNICIPAL AIRPORT OPERATION","6108","SMALL TOOLS AND EQUIP","5500","AIRPORT OPERATING","ATLANTA ATTACHMENT COMPANY","248.41","143718","CLEARED",,"528884","61","SUPPLIES","PRINT","6855",
"2016","10","2016-07-19T00:00:00.000","100","GENERAL","1100","INVENTORY - GENERAL WAREHOUSE","100","GENERAL","GENUINE PARTS CO.","-44.5","135543","CLEARED",,"092302",,"BALANCE SHEET ACCOUNT","EFT","3165",
"2017","3","2016-12-22T00:00:00.000","201000","FIRE OPERATIONS","6104","CLOTHING/UNIFORM EXPENSE","100","GENERAL","GALLS, LLC","52.5","154959","CLEARED",,"6558760","61","SUPPLIES","EFT","1434",
"2021","11","2021-08-17T00:00:00.000","100","GENERAL","2101","A/P DUE TO OTHER CITY CRT COLL","100","GENERAL","CITY OF DALLAS","2776.5","375562","CLEARED",,"Z2010301",,"BALANCE SHEET ACCOUNT","PRINT","413",
"2019","5","2019-02-26T00:00:00.000","112000","COMMUNICATIONS AND MARKETING","6200","PROFESSIONAL SERVICES","100","GENERAL","SWAGIT PRODUCTIONS, LLC","1735","259182","CLEARED",,"12317","62","CONTRACTUAL SERVICES","PRINT","4430",
"2021","12","2021-09-30T00:00:00.000","100","GENERAL","1103","INVENTORY - AUTO WAREHOUSE","100","GENERAL","GENUINE PARTS CO.","281.54","382451","CLEARED",,"4044-555630",,"BALANCE SHEET ACCOUNT","EFT","3165",
"2021","11","2021-08-23T00:00:00.000","153218","UTILITY BILLING","6290","OTHER CONTRACTUAL SERVICES","4000","WATER SEWER OPERATING","UTILITY REFUND","200","376245","CLEARED",,"Account 100368","62","CONTRACTUAL SERVICES","PRINT","999993",
"2019","4","2019-01-10T00:00:00.000","200000","FIRE ADMINISTRATION","4325","MISC FIRE PERMITS","100","GENERAL","MISC VENDOR","200","253347","CLEARED",,"17354","43","LICEN, PERMIT & FEES","STALE DATED","999996",
"2021","4","2021-01-14T00:00:00.000","202000","EMERGENCY MEDICAL SERVICE","6120","AMBULANCE SUPPLIES","100","GENERAL","BOUND TREE MEDICAL LLC","116.7","347908","CLEARED",,"83900671","61","SUPPLIES","PRINT","5715",
"2021","6","2021-03-18T00:00:00.000","100","GENERAL","1103","INVENTORY - AUTO WAREHOUSE","100","GENERAL","GENUINE PARTS CO.","74.49","355428","CLEARED",,"4044-506093",,"BALANCE SHEET ACCOUNT","EFT","3165",
"2021","3","2020-12-10T00:00:00.000","100","GENERAL","1103","INVENTORY - AUTO WAREHOUSE","100","GENERAL","GENUINE PARTS CO.","222.22","344161","CLEARED",,"4044-485375",,"BALANCE SHEET ACCOUNT","EFT","3165",
"2019","5","2019-02-14T00:00:00.000","604000","RECREATION SERVICES ADMIN","6106","JANITORIAL SUPPLIES","100","GENERAL","UNIFIRST HOLDINGS,INC.","8.6","258194","CLEARED",,"8283729546","61","SUPPLIES","EFT","4917",
"2017","7","2017-04-10T00:00:00.000","404515","STREET & ALLEY REPAIR","6277","MAINTENANCE OF INFRASTRUCTURE","100","GENERAL","HD SUPPLY CONST SUPPLY, LTD","354","169610","CLEARED",,"10006803278","62","CONTRACTUAL SERVICES","EFT","1661",
"2016","5","2016-03-01T00:00:00.000","405000","EQUIPMENT SERVICES","6170","MOTOR VEHICLE PARTS","100","GENERAL","HERCO EQUIPMENT","496.59","119095","CLEARED",,"27941","61","SUPPLIES","EFT","1785",
"2021","7","2021-05-04T00:00:00.000","153216","MUNICIPAL COURT","6232","MEMBERSHIPS/DUES/SUBS","100","GENERAL","EMPLOYEE EXPENSE","240","362125","CLEARED",,"362125","62","CONTRACTUAL SERVICES","PRINT","999998",
"2021","4","2021-01-07T00:00:00.000","100","GENERAL","1103","INVENTORY - AUTO WAREHOUSE","100","GENERAL","CUMMINS SOUTHERN PLAINS, LLC","4.45","347423","CLEARED",,"95-12497",,"BALANCE SHEET ACCOUNT","EFT","7202",
"2020","5","2020-02-25T00:00:00.000","202000","EMERGENCY MEDICAL SERVICE","6244","TRAVEL AND TRAINING","100","GENERAL","CITY OF MESQUITE","39.05","306539","CLEARED",,"08292","62","CONTRACTUAL SERVICES","PRINT","490",
"2018","11","2018-08-07T00:00:00.000","900000","MUNICIPAL AIRPORT OPERATION","4693","FUEL SALES - AV FUEL CREDITS","5500","AIRPORT OPERATING","AVFUEL CORPORATION","-155.46","232959","CLEARED",,"11028282","46","CHARGES FOR SERVICE","EFT","3606",
"2020","10","2020-07-14T00:00:00.000","20327040","2017 C.O. CAP PROJ PUB WKS","8940","MAJOR CAPITAL OUTLAY","2032","2017 C.O. CAPITAL PROJECTS","MICHAEL D. BOYD SR.","8472.49","324184","CLEARED",,"2019-100 Est 7","64","CAPITAL OUTLAY-MAJOR","EFT","8960",
"2019","9","2019-07-03T00:00:00.000","608671","TOWN EAST POOL","6080","OTHER PERSONAL SERVICES","100","GENERAL","REBECCA JO WILLIAMS","653.62","276433","CLEARED",,"June272019","60","PERSONAL SERVICES","PRINT","5209",
"2016","10","2016-07-21T00:00:00.000","141000","RISK MANAGEMENT","6103","FOOD OR CONCESSIONS","100","GENERAL","CITY OF MESQUITE","45.66","136680","CLEARED",,"10056","61","SUPPLIES","PRINT","490",
"2016","4","2016-01-26T00:00:00.000","114000","FACILITY MAINTENANCE","6274","MAINTENANCE OF BUILDINGS","100","GENERAL","BLUE TARP FINANCIAL","2.96","112733","CLEARED",,"40059678","62","CONTRACTUAL SERVICES","PRINT","5700",
"2016","8","2016-05-19T00:00:00.000","403510","RESIDENTIAL WASTE COLLECTION","6080","OTHER PERSONAL SERVICES","100","GENERAL","RESULTS STAFFING INC","2036.85","128759","CLEARED",,"21617884","60","PERSONAL SERVICES","PRINT","6468",
"2019","10","2019-07-25T00:00:00.000","410534","WASTEWATER COLLECTION","6290","OTHER CONTRACTUAL SERVICES","4000","WATER SEWER OPERATING","SOUTHWEST CRUSHING, LLC","1708.43","279156","CLEARED",,"33984","62","CONTRACTUAL SERVICES","PRINT","4263",
"2018","6","2018-03-29T00:00:00.000","20267040","2014 C.O. CAP PROJ PUB WKS","8940","MAJOR CAPITAL OUTLAY","2026","2014 C.O. CAPITAL PROJECTS","TEXAS STERLING CONSTRUCTION CO.","33593.4","214773","CLEARED",,"2017-008 Est. 10","64","CAPITAL OUTLAY-MAJOR","PRINT","8356",
"2016","9","2016-06-16T00:00:00.000","212000","POLICE CRIMINAL INVESTIGATION","6290","OTHER CONTRACTUAL SERVICES","100","GENERAL","SOUTHWESTERN BELL TELEPHONE COMPANY","90.24","132300","CLEARED",,"144736470.06-16","62","CONTRACTUAL SERVICES","PRINT","4283",
"2020","8","2020-05-19T00:00:00.000","201000","FIRE OPERATIONS","6104","CLOTHING/UNIFORM EXPENSE","100","GENERAL","GALLS PARENT HOLDINGS, LLC","14.96","317351","CLEARED",,"015671145","61","SUPPLIES","EFT","9245",
"2018","3","2017-12-07T00:00:00.000","405000","EQUIPMENT SERVICES","6170","MOTOR VEHICLE PARTS","100","GENERAL","GENUINE PARTS CO.","12.51","201036","CLEARED",,"4044-242341","61","SUPPLIES","EFT","3165",
"2017","6","2017-03-30T00:00:00.000","4000","WATER SEWER OPERATING","2208","DEPOSITS - W&S CONTRACTORS","4000","WATER SEWER OPERATING","UTILITY REFUND","50","167170","CLEARED",,"49162",,"BALANCE SHEET ACCOUNT","STALE DATED","999993",
"2019","12","2019-09-24T00:00:00.000","214000","POLICE TECHNICAL SERVICES","6276","MAINT OF FURNITURE & FIXTURES","100","GENERAL","VERIZON WIRELESS SERVICES, LLC","37.99","287010","CLEARED",,"9837913584","62","CONTRACTUAL SERVICES","PRINT","7147",
"2019","10","2019-07-23T00:00:00.000","4000","WATER SEWER OPERATING","1070","A/R UTILITY BILLING SYSTEM","4000","WATER SEWER OPERATING","A/R REFUNDS","9.86","279064","CLEARED",,"279064",,"BALANCE SHEET ACCOUNT","PRINT","999997",
"2016","5","2016-02-03T00:00:00.000","153218","UTILITY BILLING","6218","CREDIT CARD CHARGES","4000","WATER SEWER OPERATING","TAX REFUNDS","1.75","115640","CLEARED",,"UV0201161311","62","CONTRACTUAL SERVICES","STALE DATED","999991",
"2018","4","2018-02-13T00:00:00.000","606651","CHRISTMAS IN THE PARK","6109","MISCELLANEOUS SUPPLIES","100","GENERAL","ATRIUM HOTELS, LP","118.65","209978","CLEARED",,"33803","61","SUPPLIES","PRINT","5738",
"2021","10","2021-07-27T00:00:00.000","153218","UTILITY BILLING","6214","POSTAGE","4000","WATER SEWER OPERATING","INFOSEND, INC.","19030.25","371323","CLEARED",,"194001","62","CONTRACTUAL SERVICES","PRINT","6745",
"2016","9","2016-06-23T00:00:00.000","140000","HUMAN RESOURCES ADMIN","6200","PROFESSIONAL SERVICES","100","GENERAL","AMERICAN DRIVING RECORDS, INC.","201.24","133250","CLEARED",,"R19970516","62","CONTRACTUAL SERVICES","PRINT","1467",
"2016","10","2016-07-26T00:00:00.000","212000","POLICE CRIMINAL INVESTIGATION","6216","RENT AND LEASE PAYMENTS","100","GENERAL","TRANSUNION RISK & ALTERNATIVE","234.66","135811","CLEARED",,"206826 June 2016","62","CONTRACTUAL SERVICES","PRINT","6173",
"2017","4","2017-01-31T00:00:00.000","603000","TENNIS","4644","TENNIS PRO SHOP SALES","100","GENERAL","COMPTROLLER PUBLIC ACCTS","52.28","160483","CLEARED",,"01182017","46","CHARGES FOR SERVICE","WIRE","612",
"2020","10","2020-08-04T00:00:00.000","608672","VANSTON POOL","6233","ELECTRICITY","100","GENERAL","GEXA ENERGY LP","896.1","326020","CLEARED",,"31273668-4","62","CONTRACTUAL SERVICES","PRINT","6276",
"2018","11","2018-08-16T00:00:00.000","4000","WATER SEWER OPERATING","1070","A/R UTILITY BILLING SYSTEM","4000","WATER SEWER OPERATING","A/R REFUNDS","2318.34","234470","CLEARED",,"234470",,"BALANCE SHEET ACCOUNT","PRINT","999997",
