"market_name","address","location","landmarks","market_season","days_open","hours_open","snap_match","wic_farmers_market_nutrition","senior_farmers_market","website","notes_for_updates","pa_snap_ed_agents_2017","market_manager","market_phone","market_email"
"Christiansburg Farmers Market","53 W Main St, Christiansburg, VA 24073","Christiansburg","Christiansburg Recreation Center Parking Lot","May 20th - October 28th","Thursday","3PM - 7PM","Yes (up to $20)","No","No","http://www.christiansburg.org/index.aspx?nid=876","https://www.facebook.com/ChristiansburgFarmersMarket/",,"Casey Jenkins","540-382-2349","farmersmarket@christiansburg.org"
"Culpeper Downtown Farmer's Market","318 S West St, Culpeper, VA 22701","Culpeper","Culpeper Baptist Church Parking Lot","May 1st - October 30th","Saturday","7:30AM - 12PM","Yes (Up to $25)","No","No","http://www.culpeperdowntown.com/farmers-market.html","https://www.facebook.com/CulpeperFarmersMarket/",,"Melissa Vesuna","540-825-4416","crievents@culpeperdowntown.com"
"Dale City Farmers Market","14050 Gemini Way Dale City, VA 22192","Dale City","Located in Dale City Commuter Lot between Center Plaza Shopping Center and the Comcast Building on Dale Blvd.","Year Round","Sunday","(April - Nov) 8AM - 1PM; (Dec-March) 10AM-1PM","Yes (Up to $20)","No","No","http://dalecitymarket.com/","https://m.facebook.com/profile.php?id=151150921583465",,"Kim Dorman","703-792-8667 OR (703) 670-7112 OR (703) 792-6000","kdorman@pwcgov.org OR communications@pwcgov.org"
"Danville Farmers' Market","629 Craghead Street Danville, VA 24541","Danville","Danville Community Market","January - March, May - October","Wednesday, Saturday","Saturdays (Jan - Mar) 9AM - 1PM    Saturdays (May - Oct) 7:30AM - 12PM
Wednesdays (July - Aug) 1PM - 6PM","Yes (Up to $25)","Yes","Yes","https://www.danvilleva.gov/2041/Danville-Farmers-Market","Office Hours: Monday - Friday 8AM-5PM https://www.facebook.com/groups/2594702254103187/",,"Kenneth Porzio","(434) 797-8961","porziks@danvilleva.gov"
"Dorey Farmers Market, Inc.","2999 Darbytown Rd, Henrico, VA 23231 - 6010","Henrico","Adjacent to the Dairy Barn at Dorey Park","June-October","Saturday","9AM-12PM","Yes (no limit)","No","No","https://www.doreyparkfarmersmarket.org/","Updated June 2021",,"Cappie Montgomery","(804) 314-9739","cappie@doreyparkfarmersmarket.org"
"Downtown South Boston Farmers Market","300 Broad Street, South Boston, VA 24592","South Boston","parking lot behind distinct impressons and across from True Value","March-August (summer months)","Saturday (Mar-May), Monday - Saturday (June-Aug)","7:30 am - until sold out","No","No","Yes","https://www.downtownsobo.com/?link=farmers_market","Updated July 2020","PA, Maria Traynham, did cooking demos, two market tours for outreach to SNAP clients, and provided transportation for SNAP clients to get to the market. Area Coordinator, Anne-Carter Carrington, did the Central District Farmers Market Project","Megan Throckmorton-Harris","336-504-8398","dtsbfm.mm@gmail.com"
"FRESHFARM Arlington Farmers Market","1400 North Courthouse Road Arlington, VA 22201","Arlington","Courthouse Parking Lot","Year Round","Saturday","8AM – 12PM (April–Dec.); 9AM – 12PM (Jan. – March)","Yes (Unlimited!!)","Yes (Matched up to $10)","Yes (Matched up to $10)","www.freshfarm.org/markets/arlington","Chelsea Roseberry is the Virginia Market Operations Manager for all FRESHFARM markets in Virginia.",,"Chelsea Roseberry","202-362-8889","chelsea@freshfarm.org OR hello@freshfarm.org"
"FRESHFARM Ballston Market","901 North Taylor St, Ballston, Arlington, VA 22203","Arlington","Located in Welburn Square","April 1st - November 18th","Thursday","3PM - 7PM","Yes (Unlimited!!)","Yes (Matched up to $10)","Yes (Matched up to $10)","http://freshfarm.org/ballston.html","Chelsea Roseberry is the Virginia Market Operations Manager for all FRESHFARM markets in Virginia.",,"Chelsea Roseberry","202-362-8889","chelsea@freshfarm.org OR hello@freshfarm.org"
"FRESHFARM Chantilly Farmers Market - NO LONGER IN OPERATION","3460 Centreville Road, Chantilly, VA 20151","Chantilly","Located at St. Veronica's Church","May - November","Thursday","3:30PM - 7PM","Yes (Up to $20)","Yes","Yes","http://www.community-foodworks.org/chantilly/","This market is no longer in operation.",,"Chelsea Roseberry","202-362-8889","chelsea@freshfarm.org OR hello@freshfarm.org"
"FRESHFARM Crystal City Market","2121 Crystal Drive, Arlington, VA 22202","Arlington","North side of the Crystal City Courtyard Green (nearest metro is Crystal City: blue line)","April 6th - November 23rd","Tuesday","3PM - 7PM","Yes (Unlimited!!)","Yes (Matched up to $10)","Yes (Matched up to $10)","http://www.freshfarmmarkets.org/crystal-city.html","Chelsea Roseberry is the Virginia Market Operations Manager for all FRESHFARM markets in Virginia.",,"Chelsea Roseberry","202-362-8889","chelsea@freshfarm.org OR hello@freshfarm.org"
"Goochland Farmers Market","1889 Sandy Hook Road Goochland, VA  23063","Goochland","one block south of Fairgrounds Road, across from the County’s Athletic Field & Parking Lot","May - September","Tuesday","4:00PM - 6:30PM","Yes (Up to $25)","No","No","https://rvagriculture.org/goochland-farmers-market/","Updated June 2021",,"Kim Usry","804-314-9141","manager@rvagriculture.org"
"FRESHFARM Gainesville Farmers Market","13710 Mileston CT, Gainesville, VA","Gainesville","United Methodist Church","April-November","Sunday","10AM-2PM","Yes (no limit)","Yes","Yes","www.freshfarm.org/markets/gainesville","Updated June 2021",,"Chelsea Roseberry (VA Market Operations Manager); Nick Stavely (Farmers Market Program Manager - oversees food access programs)","202-827-5437","chelsea@freshfarm.org"
"FRESHFARM Mosaic Market","2910 District Ave, Fairfax, VA 22031 - 2282","Fairfax","On District Avenue between Merrifield Town Center and Penny Lane","Year Round","Sunday & Thursday","Sundays 9AM - 2PM (10AM-2PM Jan-Mar); Thursdays 3PM - 7PM (Thursdays ONLY July-Oct)","Yes (no limit)","Yes","Yes","www.freshfarm.org/markets/mosaic (see also https://www.freshfarm.org/markets/mosaic-thurs)","Updated June 2021",,"Chelsea Roseberry (VA Market Operations Manager); Nick Stavely (Farmers Market Program Manager - oversees food access programs)","(202)-362-8889","hello@freshfarm.org"
"FRESHFARM Oakton Farmers Market","2854 Hunter Mill Rd, Oakton VA 22124","Oakton","Unity of Fairfax Church","January 2 - December 18","Saturday","9AM-1PM","Yes","Yes","Yes","http://www.community-foodworks.org/oakton","Updated June 2021","Chelsea Roseberry","(703) 376-1170","chelsea@freshfarm.org",
"FRESHFARM Reston Farmers Market","11900 Lawyers Road, Reston, VA 20191","Reston","St. Johns Neuman Catholic Church","April 7th - December 29th","Wednesday","3PM - 7PM (And 2PM-6PM Jan-Mar)","Yes (No limit)","Yes","Yes","https://www.freshfarm.org/markets/reston","Updated June 2021","Chelsea Roseberry","(703) 376-1170","chelsea@freshfarm.org",
"FRESHFARM Rosslyn Market","1800 N. Lynn Street, Arlington, VA 22209","Arlington","Located in Central Place Plaza","May 5th - October 27th","Wednesday","3PM - 7PM","Yes (Unlimited!!)","Yes (Matched up to $10)","Yes (Matched up to $10)","http://freshfarm.org/rosslyn.html","Chelsea Roseberry is the Virginia Market Operations Manager for all FRESHFARM markets in Virginia.",,"Chelsea Roseberry","202-362-8889","chelsea@freshfarm.org OR hello@freshfarm.org"
"FRESHFARM Springfield Farmers Market","6699 Spring Mall Rd Springfield, VA 22150","Springfield",,"May - September","Saturday","10AM - 2PM","Yes (No limit)","Yes","Yes","https://www.freshfarm.org/markets/springfield","Updated June 2021",,"varies (VA contact is Chelsea Roseberry)","202-362-8889","chelsea@freshfarm.org"
"Farmers Market at Southern Towers","5021 Seminary Road Alexandria, VA 22311","Alexandria",,"Year Round","Saturday, Sunday","Saturday 9AM - 7PM; Sunday 9AM - 7PM","does not have the SNAP machine working (will match up to $20)","No","No","https://www.facebook.com/Farmers-Market-at-Southern-Towers-546507742102681/",,,"Jim Nicholson, Justin Avery, Braxton Nicholson","(443) 822-3512","farmersmarketmdva@aol.com"
"Farmers in the Park","300 Meade Avenue, Charlottesville, VA 22902","Charlottesville","Located in Meade Park","May 19th - September 29th, October 6th - October 27th","Wednesday","May - September: 3PM - 7PM, October: 3PM - 6PM","Yes (Up to $10)","No","No","https://www.charlottesville.gov/619/Charlottesville-City-Markets","https://www.facebook.com/farmersinthepark/?ref=page_internal",,"Justin McKenzie","434-970-3371","citymarket@charlottesville.org"
"Farmville Farmers Market","213 North Street Farmville, VA 23901","Farmville","Old Farmville Tobacco Warehouse","April - October","Saturday","9AM - 1PM","No","No","Yes (some vendors)","https://www.facebook.com/Farmville-Community-Marketplace-311953375630777/ https://farmvilleva.com/community/calendar/events/farmers-market/","Updated June 2021","SNAP Ed Agent, Pauline Stokes, assisted with outreach by putting the VCE FNP marketing brochures  in DSS offices,( Prince Edward and Cumberland),  I put brochures and flyers of dates and time of Food Demos and  Nutrition Education  in FACES  Food Bank bag","Bob Stratton","(434) 610-0404","bob@stratmoorefarms.com"
"Floyd Farmers Market","205 South Locust Street Floyd, VA 24091","Floyd","Under community pavilion","May - November","Saturday & Thursday","Saturdays 9AM-1PM; Thursdays 4PM-8PM","Yes (no limit)","No","No","https://floydfarmersmarket.org/","Updated June 2021",,"Melissa Branks","(540)-835-4732","marketmanager@sustainfloyd.org"
"Forest Farmers Market","15583 Forest Road Forest, VA 24551","Forest","Behind the library","April - October","Saturday","8AM-12PM","Yes (Up to $20)","No","No","http://www.forestfarmersmarket.com/","Updated June 2021","FCS Agent, Susan Prillaman, did cooking demos, SNAP and market promotion, received grant for ""Kids Cook at the Market"" program at Bedford FM. Area Coordinator, Anne-Carter Carrington, did the Central District Farmers Market Project.","Dorothy McIntyre","(434)-665-5475","forestfarmersmarket221@gmail.com"
"Fredericksburg City Mary Washington Healthcare Farmers Market","1001 Sam Perry Blvd, Fredericksburg, VA 22401","Fredericksburg","Mary Washington Hospital","April-September","2nd and 4th Fridays","11:30AM-5PM","Yes (Up to $30)","Yes","No","https://www.thefarmersmarket.co/","Updated June 2021",,"Pam Nimeth","(540) 372-1086","pam.nimeth@mwhc.com"
"Fredericksburg Farmers Market at Hurkamp Park","900 Prince Edward Street, Fredericksburg, VA 22401","Fredericksburg","Hurkamp Park","April-December","Saturday (Apr-Oct), Friday (Apr-Sept), Wednesday-Friday (Oct-Dec)","7AM - 2PM (Sat, Apr-Oct), 7AM-2PM (Mon-Thurs, Apr-Sept), 8AM-1PM (Wed-Fri, Oct-Dec)","Yes (Up to $30)","No","No","www.fxbgfarmersmarket.com","Updated June 2021","PA, Mary Belman, and Master Food volunteer did samples of berries. PA, LaWanda Wright, did cooking demos, SNAP outreach, nutrition education, and food preservation.","Paula Meredith","(540) 372-1086","marketmanager@fredericksburgva.gov"
"Fries Farmers Market","336 Firehouse Drive, Fries, VA 24330","Fries","At Fries Town Park (will be in Market Pavilion once construction is completed)","June - October","Sunday","1PM - 4PM","No","No","No","https://www.facebook.com/friesfarmersmarket/","Updated July 2020",,"Nancy Sawyers","(276) 233-1104","friesfarmersmarket336@gmail.com"
"Galax Farmers Market","206 North Main St, Galax, VA 24333","Galax","Corner of Washington and Main Street","June - mid-October","Saturday","8AM - 12PM","No","No","No","www.visitgalax.com/project/galax-farmers-market/","Updated July 2020",,"Cindy Rowe","(276) 238-3234","info@visitgalax.com"
"Glade Road Growing (Farm Stand)","2351 Glade Road, Blacksburg, VA 24060","Blacksburg",,"Year Round","Walk-up service available Tuesdays 9am-5pm. Online preorders packed daily, with self-serve pickup 24/7.","Walk-up service available Tuesdays 9am-5pm. Online preorders packed daily, with self-serve pickup 24/7.","Yes (SNAP customers can preorder through online farm market.
SNAP beneficiaries should enter the coupon code ""snap"" at checkout. This will bring your online order checkout to $0 and they’ll run your EBT card at pick-up.)","No","No","https://gladeroadgrowing.com/product-category/grg-farm-market-order/","Updated June 2021",,"Jason Pall & Sally Walker","540-808-0672","farm@gladeroadgrowing.com"
"LEAP Mobile Market, Morningside Manor","1020 13th St SE","Roanoke",,"May-October","Wednesday","1:30-2:15PM","Yes (up to $30)","Yes","Yes","https://leapforlocalfood.org/markets/mobile/","Updated July 2020",,"Katie Struble","540-492-5311","markets@leapforlocalfood.org"
"Grandin Village Farmers Market (LEAP, Inc.)","2080 Westover Avenue SW Roanoke, VA 24015","Roanoke","raised parking lot behind CoLab","April-November","Saturday","8AM - 12PM","Yes (up to $30)","Yes (Up to $30)","No (but does double up to $30 for Medicaid shoppers)","https://leapforlocalfood.org/markets/grandin/","Connie","540-632-1360","markets@leapforlocalfood.org",,
"Halifax Farmers Market","209 South Main Street Halifax, VA 24558","Halifax","Halifax Courthouse Historic District","Year Round","Saturday","8AM - 1PM","Yes (no limit, participates in VFM)","Yes","Yes","https://www.facebook.com/townofhalifaxfarmersmarket/","Updated June 2021","PA, Maria Traynham, did cooking demos, two market tours for outreach to SNAP clients, provided transportation for SNAP clients to get to the market, started an annual even called a Family Nutrition 5K Fun Run/Walk. Area Coordinator, Anne-Carter Carrington","Denise Barksdale","434-476-2343","townoffice@townofhalifax.com"
"Harrisonburg Farmers Market","Physical: 228 South Liberty Street, Harrisonburg, VA 22801; Mailing: PO Box 669, Harrisonburg, VA 22803","Harrisonburg","Turner Pavilion, Municipal Parking Lot","Year Round","Tuesday, Saturday","Summer Market: April-Thanksgiving, Tuesdays & Saturdays 8AM - 1PM; Holiday Market: first 3 Saturdays of December 9AM-1PM; Winter Market: Jan-Mar, Saturdays 9AM - 1PM","Yes (currently matching with no limit, subject to change)","No","Yes","http://www.harrisonburgfarmersmarket.com/","Updated June 2021","SNAP Ed Agent, Morgan Martindell, did cooking demos and SNAP outreach","Halee Jones","540-476-3377","Hburgfarmersmarket@gmail.com."
"Herndon Farmers Market","765 Lynn Street, Herndon, VA 20170","Herndon","outside the Herndon Municipal Center, by the Red Caboose","April - November","Thursday","8AM - 12:30PM","No","No","No","https://www.fairfaxcounty.gov/parks/farmersmarkets/herndon","Updated June 2021",,"Pamela Smith","(703) 642-0128","Julia.Deupree@fairfaxcounty.gov"
"Highland Farmers Market","61 Highland Center Drive Monterey, VA 24465","Monterey","pavilion directly in front of The Highland Center","May - October","Friday","3:30PM - 6PM","Yes (Up to $25)","No","Yes","http://thehighlandcenter.org/farmers-market/","Updated June 2021","Mary Parham","(540) 468-1922","farmersmarket@thehighlandcenter.org",
"Historic Roanoke City Market","213 Market Street Roanoke, VA 24011","Roanoke","Campbell St. Market Square","May -September","Saturday","11AM - 2PM","Yes (Up to $20)","No","No","https://www.downtownroanoke.org/explore/farmers-market","Eric Pendleton","(540) 342-2028 Ext 15","ericp@downtownroanoke.org",,
"Hopewell Farmers Market","238 East Broadway Avenue Hopewell, VA 23860","Hopewell","East Broadway Avenue and Library St. intersection; Guncotton Coffee and Gallery patio","May - October","Thursday","5PM - 7PM","Yes","No","No","https://hopewellfarmersmarket.luluslocalfood.com/","Updated June 2021",,"Hopewell Downtown Partnership (looking to hire dedicated manager)","(804) 571-1068","heather@hopewelldowntown.com"
"Independence Farmers Market","100 East Main Street Independence, VA 24348; Online Pick-up: Office at 108 Courthouse Street, Independence, Virginia","Independence","the intersection of Hwy 58 and Hwy 21; Independence Town Park","2nd Friday in May - 2nd Friday in October (online year-round)","Friday; Wednesdays","Fridays 9AM -1PM; Wednesday Online Pickup 4PM-6PM","Yes (Up to $25)","Yes","Yes","https://independencefarmersmarket.org/","Updated June 2021","SNAP Ed Agent, Sharon Rice, partnered with Appalachian Sustainable Development and did cooking demos.","Michelle Pridgen","(276) 768-0597","independencefarmersmarket@gmail.com"
"King George Farmers Market","8246 Dahlgren Rd King George, Virginia","King George","King George Middle School","April - October","Saturday","8AM - 12PM","Yes (Up to $30)","No","No","https://www.facebook.com/KingGeorgeFarmersMarket/","Updated July 2020","LaWanda Wright did cooking demos, SNAP outreach, nutrition education, food preservation",,"(540) 775-3062","kgfarmersmarket@gmail.com"
"LEAP Mobile Market Brand Hardin-Sims Head Start Center","702 Shenandoah Ave. NW","Roanoke",,"May-November","Wednesday","3-3:45PM","Yes (up to $30)","Yes","No (but does double up to $30 for Medicaid shoppers)","https://leapforlocalfood.org/markets/","Connie","540-632-1360","markets@leapforlocalfood.org",,
"LEAP Mobile Market Downtown Library","706 S Jefferson St. SE","Roanoke",,"May-November","Friday","2:30-4:15PM","Yes (up to $30)","Yes","No (but does double up to $30 for Medicaid shoppers)","https://leapforlocalfood.org/markets/","Connie","540-632-1360","markets@leapforlocalfood.org",,
"LEAP Mobile Market Ferncliff North Apartments","3533 Ferncliff Ave. NW","Roanoke",,"May-November","Wednesday","11:30AM-12:30PM","Yes (up to $30)","Yes","No (but does double up to $30 for Medicaid shoppers)","https://leapforlocalfood.org/markets/","Connie","540-632-1360","markets@leapforlocalfood.org",,
"LEAP Mobile Market Morningside Manor","1021 13th St. SE","Roanoke",,"May-November","Friday","1-2PM","Yes (up to $30)","Yes","No (but does double up to $30 for Medicaid shoppers)","https://leapforlocalfood.org/markets/","Connie","540-632-1360","markets@leapforlocalfood.org",,
"LEAP Mobile Market New Horizons Healthcare","3716 Melrose Ave. NW","Roanoke",,"May-November","Wednesday","4:15-5:15PM","Yes (up to $30)","Yes","No (but does double up to $30 for Medicaid shoppers)","https://leapforlocalfood.org/markets/","Connie","540-632-1360","markets@leapforlocalfood.org",,
"LEAP Mobile Market Old Southwest","441 Mountain Ave. SW","Roanoke",,"May-November","Friday","11:30AM-12:30PM","Yes (up to $30)","Yes","No (but does double up to $30 for Medicaid shoppers)","https://leapforlocalfood.org/markets/","Connie","540-632-1360","markets@leapforlocalfood.org",,
"LEAP Mobile Market West End Farmers Market","1210 Patterson Ave. SW","Roanoke",,"Year round","Tuesday","3-6PM","Yes (up to $30)","Yes","No (but does double up to $30 for Medicaid shoppers)","https://leapforlocalfood.org/markets/","Connie","540-632-1360","markets@leapforlocalfood.org",,
"LEAP Mobile Market Westwood Village","748 Westwood Blvd. NW","Roanoke",,"May-November","Thursday","3-4:30PM","Yes (up to $30)","Yes","No (but does double up to $30 for Medicaid shoppers)","https://leapforlocalfood.org/markets/","Connie","540-632-1360","markets@leapforlocalfood.org",,
"LEAP Mobile Market, Civic Mall (Dept. of Social Services)","1510 Williamson Rd NE","Roanoke","behind building","May-November","Friday","4:30-5:30PM","Yes (up to $30)","Yes (Up to $30)","No (but does double up to $30 for Medicaid shoppers)","https://leapforlocalfood.org/markets/mobile/","Connie","540-632-1360","markets@leapforlocalfood.org",,
"LEAP Mobile Market, Elm Manor","32 Elm Ave, SW","Roanoke",,"May-November","Thursday","1:30-2:30PM","Yes (up to $30)","Yes","No (but does double up to $30 for Medicaid shoppers)","https://leapforlocalfood.org/markets/mobile/","Connie","540-632-1360","markets@leapforlocalfood.org",,
"LEAP Mobile Market, Melrose Towers","3038 Melrose Ave NW","Roanoke",,"May-November","Wednesday","1-2:30PM","Yes (up to $30)","Yes","No (but does double up to $30 for Medicaid shoppers)","https://leapforlocalfood.org/markets/mobile/","Connie","540-632-1360","markets@leapforlocalfood.org",,
"LEAP Mobile Market, West End Community Market","1210 Patterson Avenue SW, Roanoke 24016","Roanoke","covered pavilion behind Freedom First Credit Union","Year Round","Tuesday","3PM - 6PM","Yes (Up to $30)","Yes (Up to $30)","No","https://leapforlocalfood.org/markets/westend/","Updated July 2020",,"Connie Kenny Smith","540-492-5311","markets@leapforlocalfood.org"
"LEAP Mobile Market, Westwood Village","748 Westwood Blvd, NW","Roanoke",,"May-October","Friday","2PM-3:30PM","Yes (up to $30)","Yes","Yes","https://leapforlocalfood.org/markets/mobile/","Updated July 2020",,"Katie Struble","540-492-5311","markets@leapforlocalfood.org"
"LEAP Online Marketplace","Pick up at 1210 Patterson Ave. SW","Roanoke","LEAPforLocalFood.LulusLocalFood.com","Year round","Pick up Tuesday","Pick up 3-6PM","Yes (up to $30)","Yes","No (but does double up to $30 for Medicaid shoppers)","LEAPforLocalFood.LulusLocalFood.com","Connie","(540)339-6531","markets@leapforlocalfood.org",,
"Lakeside Farmers Market","6110 Lakeside Avenue Henrico, VA 23228","Henrico",,"Year Round","Saturday, Wednesday","Saturday 8AM - 12PM,  Wednesday 9AM - 2PM","Yes (Up to $5)","No","No","http://www.lakesidefarmersmarket.net/","Updated June 2021","SNAP Ed Agent, Ann Vargo, did a special Family Fun Day, SNAP promotion and marketing, and food demos","Peter Francisco","(804) 262-6593","peter.francisco@verizon.net"
"Lebanon Farmers Market","137 Highland Dr Lebanon, VA 24266","Lebanon","next to the Russell County Extension Office on Highway 127 in Russell Springs, across from the Mighty Dollar Store.","May-October","Wednesday, Saturday","Wednesday 10AM-2PM, Friday 8AM-1PM","Yes (Up to $20)","No","Yes","https://www.facebook.com/lebanonfarmersmarketva/","Updated June 2021 - ""Russell County Health Coalition Healthy Kids Bucks Program"" Each child from 0-18 will recieve $5.00 worth of Healhy Kids Bucks to spend on farmers market fresh produce!",,,,
"Leesburg Farmers Market","30 Catoctin Cir SE, Leesburg, VA 20175","Leesburg","Virginia Village Shopping Center","May-Sept & Year Round (for the Saturday market)","Wednesday (May-Sept Market), Saturday (Year Round)","4-7PM (Wed), 8AM-12PM (Sat, May-Oct), 9AM-12PM (Sat, Nov-April)","Yes","No","No","http://loudounfarmersmarkets.org/markets/leesburg-market","Updated June 2021",,"(540) 454-8089","info@loudounfarmersmarkets.org",
"Lexington (Virginia) Farmers Market","McCrum's Lot S Jefferson Street Lexington, VA 24450","Lexington","Lexington Presbyterian Church","Year Round","Wednesday","May-Oct: 8AM - 12:30PM Nov-April: 9AM - 1PM","Yes (No limit)","No","No","https://lexvafm.wixsite.com/2018?fbclid=IwAR015yLzqgAx2r7klviEr7fSd-o-zKp8cI8sWJtIFI4B8Zq2sbIr1t8mDpw","Updated June 2021","Mitch Wapner","540-460-2516","mitch@paradoxfarm.org - lexvafm@gmail.com",
"Long Family Market","610 Commuter Lot, Stafford VA","Stafford","Drive ahead to the Big Blue Water Tower and it is on the left","April-November","Sunday","8AM-1PM","Yes","No","No","https://www.longfamilymarkets.com/","Updated June 2021",,"Robin Long","540-602-8541","longfamilymarkets@gmail.com"
"Long Family Sunday Market","163 Staffordboro Blvd. Stafford, VA  22556","Stafford","Staffordboro (610) commuter lot","April - November","Sunday","8AM-1PM","Yes (Up to $10, increasing as much as funds allow towards the end of the season.)","No","No","https://www.longfamilymarkets.com/","Updated June 2021",,"Robin L Long","540-602-8541","longfamilymarkets@gmail.com"
"Lorton Farmers Market","8990 Lorton Station Blvd., Lorton, VA 22079","Lorton","VRE parking lot","May 2nd - November 21st","Sunday","9AM - 1PM","Yes (Up to $20)","No","No","https://www.fairfaxcounty.gov/parks/farmersmarkets/lorton","Updated June 2021","Pamela Smith, Community Horticulture Supervisor","703-642-0128","pamela.smith2@fairfaxcounty.gov",
