"market_name","address","location","landmarks","market_season","days_open","hours_open","snap_match","wic_farmers_market_nutrition","senior_farmers_market","website","notes_for_updates","pa_snap_ed_agents_2017","market_manager","market_phone","market_email"
"Catawba Valley Farmers' Market (LEAP, Inc.)","4965 Catawba Creek Road Catawba, VA 24070","Catawba",,"May - October","Thursday","3:30 PM - 7PM","No","No","No","https://www.facebook.com/Catawba-Valley-Farmers-Market-129469157077509/info/?tab=page_info","Updated July 2020","PA, Deborah Barton, worked with Tonya Pickett and did cooking demos each week and SNAP outreach",,"540-864-5913","catawbafarmersmarket@outlook.com"
"Charlottesville City Farmers Market","100 East Water Street Charlottesville, VA 22902","Charlottesville",,"April - December","Saturday","8AM-12PM (Apr-Sept), 8AM-1PM (Oct-Dec)","Yes (Up to $10)","Yes","No","https://www.charlottesvillecitymarket.com/","Updated July 2020",,,"434-970-3371",
"Christiansburg Farmers Market","Hickok Street NW Christiansburg, VA 24073","Christiansburg",,"May-October","Thursday","3PM - 7PM","Yes (up to $10)","No","No","http://www.christiansburg.org/index.aspx?nid=876","Updated July 2020",,"Casey Jenkins","540-382-6128 ext 1199","market@christiansburg.org"
"Culpeper Downtown Farmer's Market","254 East Davis Street Culpeper, VA 22701","Culpeper","Parking lot adjacent to Train Depot","April - November","Saturday","7:30AM - 12PM","Yes (Up to $25)","No","Yes","http://www.culpeperdowntown.com/farmers-market.html","Updated July 2020","Georgette Mosley conducted “I’m SOW Healthy!” which is a series of hands-on, cooking activities for children throughout the summer months at the farmer’s market. She created and began the program in 2014; this will be her 5th season partnering with the ma",,"540-825-4416","crievents@culpeperdowntown.com"
"Dale City Farmers Market","14090 Gemini Way Dale City, VA 22193","Dale City","VDOT Commuter Lot (off Dale Blvd.)","Year Round","Sunday","(April - Nov) 8AM - 1PM; (Dec-March) 10AM-1PM","Yes (Up to $20)","No","No","http://dalecitymarket.com/","Updated July 2020","PA Anita Eggleton worked with this market","Kim Dorman","703-792-8667","kdorman@pwcgov.org"
"Danville Farmers' Market","629 Craghead Street Danville, VA 24541","Danville","Danville Community Market","May - October","Wednesday, Saturday","Saturdays (May - Oct) 7:30AM - 12PM
Wednesdays (July - Aug) 3PM - 6PM
Saturdays (Jan - Mar 18) 9AM - 1PM","Yes (Up to $25)","Yes","Yes","https://www.danvilleva.gov/2041/Danville-Farmers-Market","Updated July 2020","PA, Morgan Farmer, did cooking demos and SNAP outreach through information on double bucks program. SNAP Ed agent, Alani Adkins, provided marketing materials. Area Coordinator, Anne-Carter Carrington, did the Central District Farmers Market Project","Kenny Porzio - Program Coordinator","(434) 797-8961","porziks@danvilleva.gov"
"Dorey Farmers Market, Inc.","2999 Darbytown Rd, Henrico, VA 23231 - 6010","Henrico","Adjacent to the Dairy Barn at Dorey Park","June-October","Saturday","9:00-1:00","Yes(up to $10)","No","No","https://www.doreyparkfarmersmarket.org/","Updated July 2020",,"Cappie Montgomery","(804) 314-9739",
"Downtown South Boston Farmers Market","300 Broad Street, South Boston, VA 24592","South Boston","parking lot behind distinct impressons and across from True Value","March-August (summer months)","Saturday (Mar-May), Monday - Saturday (June-Aug)","7:30 am - until sold out","No","No","Yes","https://www.downtownsobo.com/?link=farmers_market","Updated July 2020","PA, Maria Traynham, did cooking demos, two market tours for outreach to SNAP clients, and provided transportation for SNAP clients to get to the market. Area Coordinator, Anne-Carter Carrington, did the Central District Farmers Market Project","Megan Throckmorton-Harris","336-504-8398","dtsbfm.mm@gmail.com"
"FRESHFARM Arlington Farmers Market","1400 North Courthouse Road Arlington, VA 22201","Arlington",,"Year Round","Saturday","8AM – 12PM (April–Dec.); 9AM – 12PM (Jan. – March)","Yes (Up to $20)","No","Yes","http://www.community-foodworks.org/arlington","Updated July 2020",,"Nick Stavely","202-827-5437","markets@cfwdc.org"
"FRESHFARM Ballston Market","901 North Taylor St, Ballston, Arlington, VA 22203","Arlington","Located in Welburn Square","April - November","Thursday","3PM - 7PM","Yes (Up to $10)","Yes","Yes","http://freshfarm.org/ballston.html","Updated July 2020",,"Pierre Grahn","202-362-8889","hello@freshfarm.org"
"FRESHFARM Chantilly Farmers Market","3460 Centreville Road, Chantilly, VA 20151","Chantilly","Located at St. Veronica's Church","May - November","Thursday","3:30PM - 7PM","Yes (Up to $20)","Yes","Yes","http://www.community-foodworks.org/chantilly/","Updated July 2020",,"Nick Stavely","202-827-5437","markets@cfwdc.org"
"FRESHFARM Crystal City Market","2011 Crystal Drive, Arlington, VA 22202","Arlington","North side of the Crystal City Courtyard Green (nearest metro is Crystal City: blue line)","May - October","Tuesday","3PM - 7PM","Yes (Up to $10)","Yes","Yes","http://www.freshfarmmarkets.org/crystal-city.html","Updated July 2020",,"Caitlin Tuttle","202-362-8889","hello@freshfarm.org"
"FRESHFARM Gainesville Farmers Market","13710 Mileston CT, Gainesville, VA","Gainesville","United Methodist Church","April-November","Sunday","10AM-2PM","Yes","No","No","http://www.community-foodworks.org/gainsville","Updated July 2020",,"Nick Stavely","202-827-5437","markets@cfwdc.org"
"FRESHFARM Mosaic Market","2910 District Ave, Fairfax, VA 22031 - 2282","Fairfax","On District Avenue between Merrifield Town Center and Penny Lane","Year Round","Sunday","9:30-2:30 (10:30-2:30 Jan- March)","Yes (Up to $10)","Yes","Yes","https://freshfarm.org/mosaic.html","Updated July 2020",,,"(202)-362-8889","hello@freshfarm.org"
"FRESHFARM Oakton Farmers Market","2854 Hunter Mill Rd, Oakton VA 22124","Oakton","Unity of Fairfax Church","Year Round","Saturday","9AM-1PM","Yes (Up to $20)","No","No","http://www.community-foodworks.org/oakton","Updated July 2020",,"Nick Stavely","202-827-5437","markets@cfwdc.org"
"FRESHFARM Reston Farmers Market","11900 Lawyers Road, Reston, VA 20191","Reston","Located at St. Johns Neuman Catholic Church","April - November","Wednesday","3PM - 6PM","Yes (No limit)","No","No","https://www.freshfarm.org/markets/reston","Updated July 2020",,"varies (VA contact is Chelsea Roseberry)","202-362-8889","chelsea@freshfarm.org"
"FRESHFARM Rosslyn Market","1800 N. Lynn Street, Arlington, VA 22209","Arlington","Located in Central Place Plaza","May - September","Wednesday","3PM - 7PM","Yes (Up to $10)","Yes","Yes","http://freshfarm.org/rosslyn.html","Updated July 2020",,"Caitlin Tuttle","202-362-8889","hello@freshfarm.org"
"FRESHFARM Springfield Farmers Market","6699 Spring Mall Rd Springfield, VA 22150","Springfield",,"May - September","Saturday","10AM - 2PM","Yes (No limit)","Yes","Yes","https://www.freshfarm.org/markets/springfield","Updated July 2020",,"varies (VA contact is Chelsea Roseberry)","202-362-8889","chelsea@freshfarm.org"
"Farmers Market at Southern Towers","5021 Seminary Road Alexandria, VA 22311","Alexandria",,"year round","Saturday, Sunday","Saturday 9AM - 7PM; Sunday 9AM - 7PM","does not have the SNAP machine working (will mathc up to $20)","No","No","https://www.facebook.com/Farmers-Market-at-Southern-Towers-546507742102681/","Updated July 2020",,"Jim Nicholson","(443) 822-3512",
"Farmers in the Park","300 Meade St, Charlottesville, VA 22902","Charlottesville",,"May - October","Wednesday","3PM - 7PM","Yes (Up to $10)","No","No","https://www.facebook.com/farmersinthepark/?ref=page_internal","Updated July 2020",,,"434-970-3371",
"Farmville Farmers Market","213 North Street Farmville, VA 23901","Farmville","Old Farmville Tobacco Warehouse","April - October","Saturday","9AM - 1PM","Yes (No limit)","No","Yes (some vendors)","https://www.facebook.com/Farmville-Community-Marketplace-311953375630777/ https://farmvilleva.com/community/calendar/events/farmers-market/","Updated July 2020","SNAP Ed Agent, Pauline Stokes, assisted with outreach by putting the VCE FNP marketing brochures  in DSS offices,( Prince Edward and Cumberland),  I put brochures and flyers of dates and time of Food Demos and  Nutrition Education  in FACES  Food Bank bag","Bob Stratton","(434) 610-0404","bob@stratmoorefarms.com"
"Floyd Farmers Market","205 South Locust Street Floyd, VA 24091","Floyd","Under community pavilion","May - November","Saturday","9AM - 1PM","Yes (Up to $25)","No","No","https://floydfarmersmarket.org/","Updated July 2020",,,"540-745-7333","farmersmarketfloyd@gmail.com"
"Forest Farmers Market","15583 Forest Road Forest, VA 24551","Forest","Behind the library","April - October","Saturday","8AM - 12PM","Yes (Up to $20)","No","No","http://www.forestfarmersmarket.com/","Updated July 2020","FCS Agent, Susan Prillaman, did cooking demos, SNAP and market promotion, received grant for ""Kids Cook at the Market"" program at Bedford FM. Area Coordinator, Anne-Carter Carrington, did the Central District Farmers Market Project.",,,
"Fredericksburg City Mary Washington Healthcare Farmers Market","1001 Sam Perry Blvd, Fredericksburg, VA 22401","Fredericksburg","Mary Washington Hospital","May-September","2nd and 4th Fridays","11:30AM-5PM","Yes (Up to $30)","Yes","No","https://www.thefarmersmarket.co/","Updated July 2020",,"Nancy Milroy and Mary Mclntosh","(540) 372-1086","marketmanager@fredericksburgva.gov"
"Fries Farmers Market","336 Firehouse Drive, Fries, VA 24330","Fries","At Fries Town Park","June - October","Sunday","1PM - 4PM","No","No","No","https://www.facebook.com/friesfarmersmarket/","Updated July 2020",,"Cindy Rowe","(276) 238-3234","friesfarmersmarket336@gmail.com"
"Galax Farmers Market","206 North Main St, Galax, VA 24333","Galax","Corner of Washington and Main Street","June - October","Saturday","8AM - 12PM","No","No","No","http://www.galaxfarmersmarket.com/","Updated July 2020",,"Cindy Rowe","(276) 238-3234","friesfarmersmarket336@gmail.com"
"Glade Road Growing (Farm Stand)","2351 Glade Road, Blacksburg, VA 24060","Blacksburg",,"Year Round","Pick up is self-serve 24/7","Pick up is self-serve 24/7","Yes","No","No","https://gladeroadgrowing.com/product-category/grg-farm-market-order/","Updated Dec 2020",,"Jason Pall & Sally Walker","540-808-0672","farm@gladeroadgrowing.com"
"Goochland Fairgrounds Farmers Market","1889 Sandy Hook Road Goochland, VA  23063","Goochland","one block south of Fairgrounds Road, across from the County’s Athletic Field & Parking Lot","May - September","Tuesday","3:30PM - 7:00PM","Yes ($25)","No","No","http://www.rvagriculture.org/goochland-fairgrounds-farmers-market/","Updated July 2020",,"Kim Usry","804-314-9141","mktmgr@rvagriculture.org"
"Grandin Farmers Market (LEAP, Inc.)","2080 Westover Avenue SW Roanoke, VA 24015","Roanoke","raised parking lot behind CoLab, or inside CoLab during winter","Year Round","April-November: Saturdays, December-March: every 3rd Saturday","8AM - 12PM (Apr-Nov), 10AM-1PM (Dec-Mar)","Yes (up to $30)","Yes (Up to $30)","No (but does double up to $30 for Medicaid shoppers)","https://leapforlocalfood.org/markets/grandin/","Updated July 2020",,,"540-492-5311","markets@leapforlocalfood.org"
"Halifax Farmers Market","209 South Main Street Halifax, VA 24558","Halifax","Halifax Courthouse Historic District","Year Round","Saturday","8AM - 1PM","Yes (Up to $5)","Yes","Yes","https://www.facebook.com/pg/townofhalifaxfarmersmarket/posts/?ref=page_internal","Updated July 2020","PA, Maria Traynham, did cooking demos, two market tours for outreach to SNAP clients, provided transportation for SNAP clients to get to the market, started an annual even called a Family Nutrition 5K Fun Run/Walk. Area Coordinator, Anne-Carter Carrington","Denise Barksdale","434-476-2343","townoffice@townofhalifax.com"
"Harrisonburg Farmers Market","228 South Liberty Street, Harrisonburg, VA 22801","Harrisonburg","Municipal Parking Lot","Year Round","Tuesday, Saturday","April-Thanksgiving Tuesday and Satuday 8AM - 1PM
Dec-Mar Saturday 9AM - 1PM","Yes (Up to $20)","No","No","http://www.harrisonburgfarmersmarket.com/","Updated July 2020","SNAP Ed Agent, Morgan Martindell, did cooking demos and SNAP outreach","Josie Showalter","540-476-3377","hbfarmersmarket@gmail.com"
"Herndon Farmers Market","777 Lynn Street Herndon, VA 20170","Herndon","Old Town Herndon, 700 Block of Lynn St., By the Red Caboose","April - November","Thursday","8AM - 12:30PM","Yes (Up to $20)","No","No","http://www.fairfaxcounty.gov/parks/farmersmarkets/","Updated July 2020",,"Julia Deupree","(703) 642-0128","Julia.Deupree@fairfaxcounty.gov"
"Highland Farmers Market","61 Highland Center Drive Monterey, VA 24465","Monterey","pavilion directly in front of The Highland Center","May - October","Friday","3:30PM - 6PM","Yes (Up to $25)","No","Yes","http://thehighlandcenter.org/farmers-market/","Updated July 2020",,,,"farmersmarket@htcnet.org"
"Historic Roanoke City Market","213 Market Street Roanoke, VA 24011","Roanoke","Campbell St. Market Square","Year Round","Sunday - Saturday","8AM - 5PM","Yes (Up to $10)","No","No","https://www.downtownroanoke.org/explore/farmers-market","Updated July 2020",,"Eric Pendleton","(540) 342-2028 Ext 15","ericp@downtownroanoke.org"
"Hopewell Farmers Market","238 East Broadway Avenue Hopewell, VA 23860","Hopewell","East Broadway Avenue and Library St. Intersection & inside Guncotton Coffee and Gallery","Indoor May - December; Open Air Market (varies) June, July, & October 2019","3rd Thursday of month","Indoor 5PM - 7PM, Outdoor 5PM-8:30PM","Yes","No","No","https://hopewelldowntown.com/market/","Updated July 2020",,,,
"Hurkamp Park Farmers Market","900 Prince Edward Street Fredericksburg, VA 22401","Fredericksburg","Hurkamp Park","April-December","Saturday (Apr-Oct), Friday (Apr-Sept), Wednesday-Friday (Oct-Dec)","7AM - 2PM (Sat, Apr-Oct), 7AM-2PM (Mon-Thurs, Apr-Sept), 8AM-1PM (Wed-Fri, Oct-Dec)","Yes (Up to $30)","No","No","https://www.thefarmersmarket.co/","Updated July 2020","PA, Mary Belman, and Master Food volunteer did samples of berries. PA, LaWanda Wright, did cooking demos, SNAP outreach, nutrition education, and food preservation.","Nancy Milroy and Mary Mclntosh","(540) 372-1086","marketmanager@fredericksburgva.gov"
"Independence Farmers Market","100 East Main Street Independence, VA 24348; Online Pick-up: Office at 108 Courthouse Street, Independence, Virginia","Independence","the intersection of Hwy 58 and Hwy 21; Independence Town Park","May - October (online year-round)","Friday; Wednesdays","Fridays 9AM -1PM; Wednesday Online Pickup 4PM-6PM","Yes (Up to $25)","No","Yes","https://independencefarmersmarket.org/","Updated July 2020","SNAP Ed Agent, Sharon Rice, partnered with Appalachian Sustainable Development and did cooking demos.","Michelle","(276) 768-0597","independencefarmersmarket@gmail.com"
"King George Farmers Market","8246 Dahlgren Rd King George, Virginia","King George","King George Middle School","April - October","Saturday","8AM - 12PM","Yes (Up to $30)","No","No","https://www.facebook.com/KingGeorgeFarmersMarket/","Updated July 2020","LaWanda Wright did cooking demos, SNAP outreach, nutrition education, food preservation",,"(540) 775-3062","kgfarmersmarket@gmail.com"
"LEAP Mobile Market, Civic Mall (Dept. of Social Services)","1510 Williamson Rd NE","Roanoke",,"May-October","Wednesday","12:30PM - 2PM","Yes (up to $30)","Yes (Up to $30)","No (but does double up to $30 for Medicaid shoppers)","https://leapforlocalfood.org/markets/mobile/","Updated July 2020",,"Katie Struble","540-492-5311","markets@leapforlocalfood.org"
"LEAP Mobile Market, Elm Manor","32 Elm Ave, SW","Roanoke",,"May-October","Friday","12:30PM-1:30PM","Yes (up to $30)","Yes","Yes","https://leapforlocalfood.org/markets/mobile/","Updated July 2020",,"Katie Struble","540-492-5311","markets@leapforlocalfood.org"
"LEAP Mobile Market, Jamestown Place","1533 Pike Ln, SE","Roanoke",,"May-October","Friday","11AM-12PM","Yes (up to $30)","Yes","Yes","https://leapforlocalfood.org/markets/mobile/","Updated July 2020",,"Katie Struble","540-492-5311","markets@leapforlocalfood.org"
"LEAP Mobile Market, Melrose Towers","3038 Melrose Ave NW","Roanoke",,"May-October","Tuesday","2-3PM","Yes (up to $30)","Yes","Yes","https://leapforlocalfood.org/markets/mobile/","Updated July 2020",,"Katie Struble","540-492-5311","markets@leapforlocalfood.org"
"LEAP Mobile Market, Morningside Manor","1020 13th St SE","Roanoke",,"May-October","Wednesday","1:30-2:15PM","Yes (up to $30)","Yes","Yes","https://leapforlocalfood.org/markets/mobile/","Updated July 2020",,"Katie Struble","540-492-5311","markets@leapforlocalfood.org"
"LEAP Mobile Market, West End Community Market","1210 Patterson Avenue SW, Roanoke 24016","Roanoke","covered pavilion behind Freedom First Credit Union","Year Round","Tuesday","3PM - 6PM","Yes (Up to $30)","Yes (Up to $30)","No","https://leapforlocalfood.org/markets/westend/","Updated July 2020",,"Connie Kenny Smith","540-492-5311","markets@leapforlocalfood.org"
"LEAP Mobile Market, Westwood Village","748 Westwood Blvd, NW","Roanoke",,"May-October","Friday","2PM-3:30PM","Yes (up to $30)","Yes","Yes","https://leapforlocalfood.org/markets/mobile/","Updated July 2020",,"Katie Struble","540-492-5311","markets@leapforlocalfood.org"
"Lakeside Farmers Market","6110 Lakeside Avenue Henrico, VA 23228","Henrico",,"Year Round","Saturday, Wednesday","Saturday 8AM - 12PM,  Wednesday 9AM - 2PM","Yes (Up to $5)","No","No","http://www.lakesidefarmersmarket.net/","Updated July 2020","SNAP Ed Agent, Ann Vargo, did a special Family Fun Day, SNAP promotion and marketing, and food demos","Peter Francisco","(804) 262-6593","peter.francisco@verizon.net"
"Lebanon Farmers Market","137 Highland Dr Lebanon, VA 24266","Lebanon","next to the Russell County Extension Office on Highway 127 in Russell Springs, across from the Mighty Dollar Store.","May-October","Wednesday, Saturday","Wednesday 10AM-2PM, Friday 8AM-1PM","Yes (Up to $20)","No","Yes","https://www.facebook.com/lebanonfarmersmarketva/","Updated July 2020","SNAP Ed Agent, Sharon Rice, partnered with Appalachian Sustainable Development and did cooking demos. Also partnered with Donna Meade (FCS Agent in Russell County), and provided the Healthy Bucks Program in July and August.",,,
"Leesburg Farmers Market","20 Catoctin Cir SE, Leesburg, VA 20175","Leesburg","Virginia Village Shopping Center","Year Round","Wednesday (May-Sept), Saturday (Year Round)","4-7PM (Wed), 8AM-12PM (Sat, May-Oct), 9AM-12PM (Nov-April)","Yes","No","No","http://loudounfarmersmarkets.org/markets/leesburg-market","Updated July 2020",,,"(540) 454-8089","info@loudounfarmersmarkets.org"
"Lexington Farmers Market","McCrum's Lot S Jefferson Street Lexington, VA 24450","Lexington","Summer: McCrum parking lot behind Southern Inn  Winter: Indoors at the Lexington Presbyterian Church","Year Round","Wednesday","May-Oct: 8AM - 12:30PM Aov-April: 9AM - 1PM","Yes (No limit)","No","No","https://www.facebook.com/pg/LexVAFM/about/","Updated July 2020",,"Mitch Wapner","540-463-9234","paradoxfarm@earthlink.net"
"Long Family Saturday Market","627 Warrenton Road, Fredericksburg, VA","Fredericksburg",,"April-November","Saturday","8AM-12PM","Yes","No","No","https://www.longfamilymarkets.com/","Updated July 2020",,"Elizabeth Long","540-602-8541","longfamilymarkets@gmail.com"
"Long Family Sunday Market","163 Staffordboro Blvd. Stafford, VA  22556","Stafford","Staffordboro (610) commuter lot","April - November","Sunday","9AM-12PM","Yes (No limit)","No","No","https://www.longfamilymarkets.com/","Updated July 2020",,"Robin L Long","540-602-8541","longfamilymarkets@gmail.com"
"Lorton Farmers Market","8990 Lorton Station Boulevard Lorton, VA 22079","Lorton","VRE parking lot","May - November","Sunday","9AM - 1PM","Yes (Up to $20)","No","No","http://www.fairfaxcounty.gov/parks/farmersmarkets/lortonmkt.htm","Updated July 2020",,,,
"Lynchburg Community Farmers Market","1219 Main Street Lynchburg, VA 24504","Lynchburg","at the cornor of 12th st. and Main st.","Year Round (Saturday) and seasonal (Wednesday)","Wednesday, Saturday","Wednesday 10AM - 2PM, Saturday 7AM - 2PM","Yes (Up to $25)","No","No","http://lynchburgcommunitymarket.com/","Updated July 2020","PA, Jeanell Smith, Grant funded by the Virginia Department of Health, worked in collaboration with the Central Virginia Health District, VCE & Lynchburg Community Market with the “We Got the Beet” program.  Twice weekly adult and children’s programs provi",,,
"Manakin Market","68 Broad Street Road Manakin Sabot, VA 23103","Manakin Sabot","5 min west of Short Pump","May - October","Saturday","9AM - 1PM","Yes (Up to $25)","No","No","https://rvagriculture.org/manakin-market/","Updated July 2020",,"Kim Usry","804-314-9141","mktmgr@rvagriculture.org"
"Manassas Farmers Market","9201 Center Street, Manassas, VA 20110 (Harris Pavilion)","Manassas","Thursday - Harris Pavilion, Saturday - Prince William commuter Parking Lot across the street from Bladwin ES","Saturday market is year round Thursday market April-mid November","Thursday, Saturday","8 am - 1 pm","Yes (Up to $30)","no","No","http://visitmanassas.org/the-farmers-market/","Updated July 2020","Anita Eggleton's intern did cooking demos and SNAP outreach",,"703-361-6599","melissa@historicmanassasinc.org"
"Marion Regional Farmers Market","Corner of East Cherry Street and South Chestnut Street Marion, VA 24354","Marion","Town Square Parking Lot","May - October Winter market: January-April","Saturday Winter market: second Saturday of every month","8AM - 12PM Winter market: 10 am - 12 pm","Yes (Up to $25)","No","Yes (starts in July)","http://www.marionva.org/farmers-market","Updated July 2020","SNAP Ed Agent, Sharon Rice, partnered with Appalachian Sustainable Development and did cooking demos.","Leslie Vanover","(276) 620-1300","nlvfarmers06@gmail.com"
"Market @ Second Stage","194 Second Street, Amherst, VA 24521","Amherst","Under the big oak tree in the parking lot of second stage","May - October","Thursday","3:30 - 6:30PM","Yes (Up to $30)","No","No","https://secondstreetfarmmarket.org/","Updated July 2020","PA, Dottie Rucker, assisted them in receiving SNAP, demos, tastings, set-up with table of recipes, etc. Area Coordinator, Anne-Carter Carrington, did the Central District Farmers Market Project","Crystal Ungar","(330) 814-1476","market@secondstageamherst.org"
"Martinsville Uptown Farmer's Market","65 West Main Street Martinsville, VA 24112","Martinsville",,"April - November","Wednesday, Saturday","Saturdays (April 13 - November 19) 8AM - 12PM
Wednesdays (July 3 - September 25) 8AM - 12PM","Yes ($20)","some vendors accept WIC","Yes","http://martinsvilleuptown.com/farmers-market.cfm","Updated July 2020","Area Coordinator, Anne-Carter Carrington, did the Central District Farmers Market Project",,"(276) 632-5688",
"Mineral Farmers Market","81 Louisa Avenue Mineral, VA 23117","Mineral",,"May - October, MIni market June - Aug.","Saturday Mini market on Tuesday","Saturday: 8AM - 1PM Tuesday: 4 pm - 6:30 pm","No","Yes","No","http://www.mineralmarket.org/","Updated July 2020",,"Becky Vigon","(540) 854-7626","Becky@MineralMarket.org"
"Mount Vernon Farmers Market","2501 Sherwood Hall Lane Alexandria, VA 22306","Alexandria","Library parking lot","May - December","Wednesday","8AM - 12PM","Yes (Up to $10)","No","No","https://www.fairfaxcounty.gov/parks/farmersmarkets/mccutcheon-mount-vernon","Updated July 2020",,"Julia Deupree","703-642-0128","Julia.Deupree@fairfaxcounty.gov"
"North Augusta Farmers' Market","18 Government Center Lane Verona, VA 24482","Verona","Government Center Market Dock","May-October","Wednesday","11AM - 3PM","Yes (Up to $25) as of 6/8/20, temporarily unlimited match","Yes","Yes","https://www.projectgrows.org/food-access/our-markets/","Updated July 2020","SNAP Ed Agent, Morgan Martindell, did SNAP outreach","Megan Townley","503-929-2525","megan@projectgrows.org"
"Norton Farmers Market","815 Park Avenue SW Norton, VA 24273","Norton","Farmers Market Building","June - September","Tuesday","4PM - 6PM","Yes (Up to $25)","Yes","Yes","http://www.nortonva.gov/farmersmarket","Updated July 2020",,,"(276) 679-0754","farmersmarket@nortonva.com"
"Old Town Alexandria Farmers Market","301 King Street Alexandria, VA 22314","Alexandria","Market Square","Year Round","Saturday","7AM - 12PM","Yes (Up to $20)","No","No","https://www.alexandriava.gov/OldTownFarmersMarket","Updated July 2020",,,"(703)746-HELP","VisitAlexandriaVA.com"
"On the Square Farmers Market","1314 E Grace St, Richmond, VA 23219 - 2028","Richmond",,"May-September","Friday","11AM-1PM","Yes (Up to $25)","No","No","https://www.facebook.com/OnTheSquareVAFarmersMarket/","Updated July 2020",,"Lisa Dearden","(804) 314-9141","Manager@rvagriculture.org"
"Our Health Healthy Living Event","329 N Cameron St Winchester, VA 22601","Winchester",,"June - September","3rd Tuesday of the month","10AM-2PM","No","No","No",,"Updated July 2020",,"Mary Falu","540-536-1600","mfalu@valleyhealthlink.com"
"Pearisburg Farmers Market","1410 Wenonah Ave Pearisburg, VA 24134","Pearisburg",,"May - October","2nd Thursday & 1st Saturday of month","Thursday 5 pm - 7:30 pm , Saturday 8:30AM - 12PM","Yes (Up to $10)","No","No","http://pearisburg.org/219/Pearisburg-Community-Market","Updated July 2020",,"Hope Harrell","540-921-1222",
