"sid","title","funding_amount","detailed_reporting_category","description","use_of_evidence_program_evaluation","performance_report_mandatory_and_optional_indicators_"
"29701","Mystic Aquarium","355206","2.35 - Aid to Tourism Travel or Hospitality","Funding provided to mitigate financial hardship as this entity experience negative economic impacts from the pandemic specifically revenue loss.  Specifically, this revenue loss was due to declines in admission and ticket sales as well as decreased revenue from their programs and lowered memberships and subscriptions during the course of the pandemic.",,
"29702","Music Haven","200000","2.34 - Assistance to Impacted Nonprofit Organizations Impacted or Disproportionately Impacted","Funding provided to mitigate financial hardship as this entity experienced negative economic impacts from the pandemic, specifically revenue loss.  This revenue loss was due to declines in admission and ticket sales for concerts fee-based workshops and fundraisers.  Due to limited concert capacity ticket sales declined and other in person workshops and events were cancelled which decreased program revenue as well.",,"Number of non-profits served: 1"
"29703","Norwalk Symphony","100000","2.34 - Assistance to Impacted Nonprofit Organizations Impacted or Disproportionately Impacted","Funding provided to mitigate financial hardship as this entity experience negative economic impacts from the pandemic, specifically revenue loss. This revenue loss was due to declines in admission and ticket sales as well as decreased revenue from their programs and services. This entity was unable to present live music performances during the pandemic and is still performing at limited capacity which creates a gap in ticket sales and reduces this entity's revenue.",,"Number of non-profits served: 1"
"29704","Riverfront Recapture","500000","6.1 - Provision of Government Services","Funding provided to mitigate financial hardship as this entity experienced negative economic impacts from the pandemic. The nonprofit leads the effort to revitalize the banks of the Connecticut River in Hartford and East Hartford. This nonprofit also maintains the parks coordinates and hosts events and provides opportunities for recreation and outdoor adventures.",,
"29705","Connecticut Main Street Center","700000","2.30 - Technical Assistance Counseling or Business Planning","Funding is utilized by this entity to provide technical assistance counseling or other services to assist with business planning needs that responds to the negative economic impacts of COVID-19.  This funding is anticipated to help businesses who were affected by quarantines, changing safety regulations, and evolving customer behaviors by providing an education series that focuses on how communities' Main Streets and businesses can survive and thrive during this new time.","The National Main Street Center conducts research to document Main Street programs' economic revitalization efforts by annually collecting statistical information on the preservation, revitalization, and economic activities in local Main Street programs throughout the country.","Number of small businesses served: 56"
"29706","Middletown Downtown Business District","200000","2.31 - Rehabilitation of Commercial Properties or Other Improvements","The seven walkable blocks of Main Street are home to nearly 200 independent businesses.  Some of the businesses include museums, The Library Studio, the Inn at Middletown, restaurants and coffee shops, Amato’s Toy and Hobby, Middlesex Music Academy, Farmers Market, etc. This project will reinvigorate the downtown store fronts that suffered as a result of the pandemic.",,"Number of small businesses served: 200"
"29707","CRDA Economic Support for Venues","7500000","6.1 - Provision of Government Services","Funding used to mitigate significant decline in revenue at the Connecticut Convention Center the XL Center and Pratt and Whitney Stadium due to the loss of revenue from events in just FY 2022 as a result of the COVID-19 pandemic.  Specifically, this is due to the cancellation of events and capacity restrictions on events once they were able to resume.",,
"29708","Working Cities Challenge","2000000","2.10 - Assistance to Unemployed or Underemployed Workers (eg job training subsidized employment employment supports or incentives)","A grant competition that supports collaborative community-wide leadership and promotes ambitious initiatives to improve the lives of low-income people in Connecticut's small and mid-size cities.  The initiatives extend over a three-year period and aim to spur workforce development and job creation. Each initiative team receives technical assistance and shares best practices with a community of experts and like-minded groups and organizations.  Funding will be split evenly among all five participating communities.","The Connecticut Working Cities Challenge has undergone an independent evaluation. The program is further supported by evidence through the Boston Fed's New England collaborative: Working Places.

https://www.bostonfed.org/workingplaces/cities-challenge/connecticut.aspx","Number of workers enrolled in sectoral job training programs: 26
Number of workers completing sectoral job training programs: To be determined
Number of people participating in summer youth employment programs: 21
Hartford
Number of peer outreach specialists: 5
Participants in Young Legends Leadership Academy: 21
Gender: Female (57%); Male (43%)
Race: American Indian (5%); Black (33%); LatinX (33%) Multiracial (5%); White (10%); Other (14%)
Participants in Workforce Solutions Data – Manufacturing Mentorship Program: 26
Gender: Female (35%); Male (65%)
Race: Black (69%); White (8%); Other (23%)
Ethnicity: Hispanic (23%); not Hispanic (77%)
Age: 16-17 (4%); 18-24 (77%); 25-30 (19%)
Household Size: HH of 1 (42%); HH of 2 (15%); HH of 3 (23%); HH of 4 (5%); HH of 5 (12%)
Household Income: $0-$21K (46%); $21-42K (8%); $42-49K (4%); 49K+ (8%); Unknown (35%)
31% participants were public benefit recipients
15% participants had a criminal background
Waterbury
Program participants completing training programs, including ESL Classes, GED, First Aid/CPR, and Childcare Provider Certification: 96 households (266 individuals)
Demographic data on households:
Race: Caucasian (87%); African American (13%)
Ethnicity: Hispanic (58%); Other (42%)
Gender: Female (71%); Male (29%)
Household size: Single (14%); HH of 2 (26%); HH of 3 (35%); HH of 4 (20%); HH of 5+ (5%)"
"29709","Charter Oak Temple Restoration Association","200000","2.34 - Assistance to Impacted Nonprofit Organizations Impacted or Disproportionately Impacted","Funding provided to mitigate financial hardship as this entity experience negative economic impacts from the pandemic.",,"Number of non-profits served: 1"
"29710","West Haven Veterans Museum","50000","2.34 - Assistance to Impacted Nonprofit Organizations Impacted or Disproportionately Impacted","Funding to provide financial assistance due to loss of revenue. The primary source for this entity's operating revenues is donations. Due to museum closure this entity faced revenue loss. In addition, this entity needed to create a storage area to store PPE as they were cited by a building inspector due to their space being unsuitable for all the products procured.",,"Number of non-profits served: 1"
"29711","VFW Rocky Hill","30000","2.34 - Assistance to Impacted Nonprofit Organizations Impacted or Disproportionately Impacted","Funding provided to mitigate financial hardship as this entity experience negative economic impacts from the pandemic.",,"Number of non-profits served: 1"
"29712","Playhouse on Park","30000","2.34 - Assistance to Impacted Nonprofit Organizations Impacted or Disproportionately Impacted","Performing arts theater in West Hartford offering contemporary plays and musicals plays comedy and children's shows. Specifically, they provide quality entertainment at affordable costs offer educational and outreach opportunities through visiting and resident artists and educators, and embrace and provide opportunities for professional emerging and community artists. The funds will be used to support increased costs and revenue losses due to COVID-19.",,"Number of non-profits served: 1"
"29714","East Hartford Little League","50000","2.34 - Assistance to Impacted Nonprofit Organizations Impacted or Disproportionately Impacted","Funding will be provided to mitigate financial hardship as this entity experience negative economic impacts from the pandemic and support program engagement for disproportionately impacted families.",,"Number of non-profits served: 1"
"29715","Hartford YMCA","1000000","2.34 - Assistance to Impacted Nonprofit Organizations Impacted or Disproportionately Impacted","Funding provided to mitigate financial hardship as this entity experience negative economic impacts from the pandemic, specifically revenue loss. This revenue loss was due to declines in admission and ticket sales as well as decreased revenue from their programs and lowered memberships and subscriptions during the course of the pandemic.",,"Number of non-profits served: 1"
"29716","ESF/Dream Camp of Hartford","100000","2.34 - Assistance to Impacted Nonprofit Organizations Impacted or Disproportionately Impacted","Funding will be provided to mitigate financial hardship as this entity experience negative economic impacts from the pandemic or support program engagement for disproportionately impacted families.",,"Number of non-profits served: 1"
"29717","Beta Iota Boule Foundation -Youth Services","100000","2.34 - Assistance to Impacted Nonprofit Organizations Impacted or Disproportionately Impacted","Funding will be provided to mitigate financial hardship as this entity experience negative economic impacts from the pandemic or support program engagement for disproportionately impacted families.",,"Number of non-profits served: 1"
"29718","Legacy Foundation of Hartford","850000","2.34 - Assistance to Impacted Nonprofit Organizations Impacted or Disproportionately Impacted","Funds would be provided to The Legacy Foundation of Hartford to address the impact of COVID-19 on the children support by their scholarly program. Funding will go towards transportation for excursions supplies for programming and materials to help make indoor and outdoor sessions safer for all involved such as a pop-up tent and air purifiers. With the support of this funding The Legacy Foundation will support scholars build back their academic social and emotional development while continuing to provide opportunities for building healthy habits and personal growth.",,"Number of non-profits served: 1"
"29719","Connecticut Center for Advanced Technologies","1000000","2.10 - Assistance to Unemployed or Underemployed Workers (eg job training subsidized employment employment supports or incentives)","In collaboration with regional sector partners in high-demand manufacturing and technology industries, initiatives will focus on unemployed and underemployed workers considering career changes into manufacturing and expanding the recruitment training and retention of a diverse and highly skilled workforce. CCAT staffing will also support the wind alternative energy and battery companies in Connecticut in planning for opportunities post COVID.","The project is currently underway and will report on evidence in a final report at the end of the project.","Number of workers enrolled in sectoral job training programs: TBD
Number of workers completing sectoral job training programs: TBD
Number of people participating in summer youth employment programs: TBD"
"29720","Middlesex YMCA","50000","2.34 - Assistance to Impacted Nonprofit Organizations Impacted or Disproportionately Impacted","These funds would be used for the upgrade of the HVAC system in the gym and basement of the YMCA. This is where Emergency Childcare and Distance Learning classrooms were housed and the programs took place. This is also the area that is used for Vacation Day programs, Summer Enrichment Camp Preschool programs, Teen Programs, and a variety of other children and adult programs throughout the year. The upgrade was necessary to adequately filter the air to eliminate the COVID-19 virus and improve ventilation to improve the health and safety of members and those who visit the Y.",,"Number of non-profits served: 1"
"29721","Shatterproof","100000","2.34 - Assistance to Impacted Nonprofit Organizations Impacted or Disproportionately Impacted","Funding provided to mitigate financial hardship as this entity experienced negative economic impacts from the pandemic, including revenue loss, operating challenges, and increased costs.",,"Number of non-profits served: 1"
"29722","Summer Experience at Connecticut's Top Venues","14705221","2.35 - Aid to Tourism Travel or Hospitality","Provides for free museum access for children with one adult family member to promote the states summer learning objectives as well as marketing of the free museum access program.",,"Anecdotal evidence of an increase in visitors due to the program compared to the previous summer (2020):
o “Especially considering the long closure and our limited hours, the attendance in July was a staggering success.”
o “We welcomed many more people from our immediate community than we have done in the past.”
o “While our general attendance for regular tour entry to the Museum has not included large numbers of children or families including children, we saw a marked increase in both categories. These visitors in several cases became members, attended our special events days and summer programs for children.”
o “Our 2021 summer increase of children is a 750% growth and our increase of adults is a 1,150% growth… Overall, this program proved to be an extremely helpful boost to our 2021 publicity.  Moreover, the boost extended into the fall season… because word of mouth grew into November, and some families just couldn't visit until the summer was over.”"
"29722a","Summer Experience at Connecticut's Top Venues","294779","6.1 - Provision of Government Services","Provides for free museum access for children with one adult family member to promote the states summer learning objectives as well as marketing of the free museum access program.",,
"29723","Statewide Marketing","7107000","2.35 - Aid to Tourism Travel or Hospitality","Funding is anticipated to support the financial hardship of disproportionately impacted businesses as a direct result of the negative economic impacts from the pandemic such as hospitality and tourism venues. Technical assistance to include year round multicultural multilingual tourism campaigns driving economic recovery in the tourism and hospitality sectors that continue to experience economic decline due to COVID-19.",,"The program is in early development stages and has provided prospective performance indicators that it will track over the lifetime of the project, including:
• Visits to CT attractions
• Increased hotel occupancy
• Increase in business travel, conferences, business-related events
• Brand Awareness via data capturing
• Media Impressions (paid/earned)
• Website Visits
• Social Media Engagement
• Increased visitation to Statewide in person events"
"29725","CT Hospitality Industry Support","30000000","2.35 - Aid to Tourism Travel or Hospitality","Funding provided to mitigate financial hardship as this entity experience negative economic impacts from the pandemic, specifically revenue loss. This revenue loss was due to declines in utilization resulting from capacity restrictions use and other public health guidelines or from periods of closure due to the pandemic.",,"Number of businesses to receive support: To be determined"
"29726","Regulatory Modernization","1000000","6.1 - Provision of Government Services","Invest in a modernized regulatory and licensing infrastructure for ease of access making it easier to start and run a business in Connecticut.",,
"29727","Historic Wooster Square Association","500000","2.22 - Strong Healthy Communities: Neighborhood Features that Promote Health and Safety","Funding will support neighborhood safety feature improvements and park enhancements in the disproportionately impacted community of New Haven.",,
"29728","Humane Commission/Animal Shelter of New Haven","500000","6.1 - Provision of Government Services","Funding provided to mitigate financial hardship as this entity experience negative economic impacts from the pandemic, specifically revenue loss. The Humane Commission addresses policy issues regarding animal welfare at the Robin I Kroogman New Haven Animal Shelter and throughout the City of New Haven.  The New Haven Humane Commission is appointed by the Mayor to provide animal welfare oversight including the authority to adopt such rules and regulations that in its judgment are required for the operation of the animal shelter and related activities and for the proper care and treatment of animals within the city limits.",,
"29729","Ball and Sockets – Cheshire","200000","6.1 - Provision of Government Services","Provide funding to support alterations and improvements to the Ball and Socket project, an arts and entertainment center designed to promote economic development and a walkable downtown in the town of Cheshire.",,
"29730","Junta for Progressive Action","750000","2.34 - Assistance to Impacted Nonprofit Organizations Impacted or Disproportionately Impacted","Funding will be provided to mitigate financial hardship as this entity experience negative economic impacts from the pandemic or support program engagement for disproportionately impacted families",,"Number of non-profits served: 1"
"29732","Right to Read","25720000","2.25 - Addressing Educational Disparities: Academic Social and Emotional Services","Funds will support the Center for Literacy Research and Success housed with the Department of Education. The Center will provide intensive supports for reading and literacy programs in Connecticut's Alliance Districts, the 33 lowest performing districts statewide, and general oversight to reading and literacy programs statewide. SDE will incorporate evidence-based standards into this work.","The program is in early development stages and will provide detail on its use of evidence and/or program evaluation plans in future reports.","The program is in early development stages and will provide performance metrics in future reports."
"29733","Faith Acts Priority School Districts","10000000","2.24 - Addressing Educational Disparities: Aid to High-Poverty Districts","Funds will be distributed to Connecticut's Priority Districts according to a needs-based formula in order to support activities related to improving student achievement enhanced educational opportunity and early reading intervention programs. Priority districts are a collection of 15 of the state’s neediest districts as determined by measures enshrined in the state’s education statutes.",,"The program is in early development stages and will provide performance metrics in future reports."
"29734","CT Writing Project","159500","6.1 - Provision of Government Services","The Connecticut State Department of Education is still in the preliminary phases of scoping out this project. The CT Writing Project is an affiliate of the National Writing Project dedicated to improving students' writing by strengthening the teaching of writing, providing professional development programs for classroom teachers, and expanding the professional roles of teachers.",,
"29735","Ascend Mentoring – Windsor","300000","2.25 - Addressing Educational Disparities: Academic Social and Emotional Services","The Connecticut State Department of Education is still in the preliminary phases of scoping out this project. Ascend mentoring is an organization that serves children ages 12-18 in Windsor Public Schools with three areas of focus: employment services; mental health resources; and financial planning. Windsor is a high need district which serves 4,421 Free and Reduced Lunch Students.","The program is in early development stages and will provide detail on its use of evidence and/or program evaluation plans in future reports.","The program is in early development stages and will provide performance metrics in future reports."
"29736","Women in Manufacturing - Platt Tech Regional Vocational Technical School","130000","6.1 - Provision of Government Services","The State Department of Education is still in the preliminary phases of scoping out this project. Funds are anticipated to support manufacturing programming at Platt Tech in Milford Connecticut however exact uses are still being determined in order to comply with federal guidance.",,
"29737","Elevate Bridgeport","400000","2.25 - Addressing Educational Disparities: Academic Social and Emotional Services","The State Department of Education is still in the preliminary stages of scoping out this project. The intended recipient, Elevate Bridgeport, is an organization that provides additional elective classes, mentoring, extra-curricular activities, and college and career preparation for students in Bridgeport, one of Connecticut's highest need districts.","The program is in early development stages and will provide detail on its use of evidence and/or program evaluation plans in future reports.","The program is in early development stages and has provided prospective performance indicators that it will track over the lifetime of the project, including:
• Output Metrics:
Curriculum Assessment tools; Student Assessment Tools; Number of mentors trained; Number of youths referred by teachers, guidance counselors, and community service agencies; The frequency, type, duration, and intensity of mentoring contacts; The number of mentoring sessions that occurred; Program participation rates; Pre/Post parent, teacher, and student survey assessing scope of services and program effectiveness; School-wide data, including: attendance, suspension rates, graduation rates, promotion, student matriculations, student GPA, high school credit acquisition
• Outcome Metrics
o Decreased rates of Chronic Absenteeism; In-School and Out of School Suspensions;  High School Drop Out Rate
o Increased rates of Student Engagement;  High-School Graduation; School Attendance; Parent Engagement; Self-confidence; Acquisition of graduation requirements
o Improved functioning in family and community
o Develop transferable skills that will prepare Elevate Bridgeport participants for postsecondary education, trade school, or the military.
o Increased enrollment in post-secondary education, trade school, or military.
o Increased skills as a results of cross-age mentoring between high school students and middle/elementary school students. Skills will focus on the following areas:  Accountability, Responsibility, Public Speaking Skills, Role-Modeling, Time Management Skills, Leadership Skill Development"
"29738","Grant to RHAM Manufacturing Program","22000","6.1 - Provision of Government Services","The State Department of Education is still in the preliminary phases of scoping out this project. Funds are anticipated to support manufacturing programming at Regional Hebron, Andover, and Marlborough High School, however exact uses are still being determined in order to comply with federal guidance.",,
"29739","East Hartford Youth Services","200000","2.25 - Addressing Educational Disparities: Academic Social and Emotional Services","The State Department of Education is still in the preliminary stages of scoping out this project. The intended recipient, East Hartford Youth Services, is a Municipal Agency dedicated to providing community support counseling services and other services to youth in East Hartford.","The program is in early development stages and will provide detail on its use of evidence and/or program evaluation plans in future reports.","The program is in early development stages and will provide performance metrics in future reports."
"29740","Student Achievement Through Opportunity","100000","6.1 - Provision of Government Services","The Connecticut State Department of Education is still in the preliminary phases of scoping out this project working with the intended recipient to determine an eligible use of funds.",,
"29741","Summer Camp Scholarships for Families","3500000","To be determined","Funding provided to support summer camp scholarships for families. Project scoping and development currently underway.",,
"29742","New Haven Local Little League","500000","6.1 - Provision of Government Services","The State Department of Education is still in the preliminary stages of scoping out this project. Funds will likely be operationalized to either provide economic support to the New Haven little league in proportion to its revenue loss or to provide enhanced programming for students in this high need local educational agency.",,
"29743","Hamden Before and After School Programming","400000","2.24 - Addressing Educational Disparities: Aid to High-Poverty Districts","The State Department of Education is still in the preliminary stages of scoping out this project. Funds will support before and after school programming in Hamden Connecticut, a high need district that serves 4,371 Free and Reduced Price Lunch Students. Hamden is also an alliance district, one of the state's 33 lowest performing districts.",,"The program is in early development stages and will provide performance metrics in future reports."
"29744","Hamden Pre-K Programming","100000","2.24 - Addressing Educational Disparities: Aid to High-Poverty Districts","The State Department of Education is still in the preliminary stages of scoping out this project. Funds will support Pre-K Programming in Hamden Connecticut, a high need district that serves 4,371 Free and Reduced Price Lunch Students. Hamden is also an alliance district, one of the State's 33 lowest performing districts.",,"The program is in early development stages and will provide performance metrics in future reports."
"29746","Swimming Lessons to DEEP","1500000","6.1 - Provision of Government Services","The Department of Energy and Environmental Protection will utilize funds to provide free swim lessons for children of families with limited financial ability to improve access to outdoor recreation. Lessons will be provided by community organizations.",,
"29747","Health and Safety Barriers to Housing Remediation","7000000","6.1 - Provision of Government Services","The funds would be invested into retrofit programs making homes healthier for people working and learning from home. At least 30% of homes have health and safety barriers such as asbestos and mold that threaten health of residents, and prevent weatherization upgrades such as insulation and efficiency measures that provide critical energy savings. Weatherization services include core weatherstripping, sealing services, and add-on attic and wall insulation.",,
"29748","Efficient Energy Retrofit for Housing","7000000","6.1 - Provision of Government Services","The funds will provide energy efficiency retrofits and access to renewable energy resources as well as solar storage to reduce energy costs and pollution and promote equity and environmental justice for people working and learning from home.",,
"29749","Quinnipiac Avenue Canoe Launch","250000","2.22 - Strong Healthy Communities: Neighborhood Features that Promote Health and Safety","The funds will be used to improve the Quinnipiac Avenue Canoe Launch to provide improved recreation for a qualified census tract community.",,
"29750","Downtown Evening Soup Kitchen","200000","2.34 - Assistance to Impacted Nonprofit Organizations Impacted or Disproportionately Impacted","Downtown Evening Soup Kitchen (DESK) serves people who are experiencing homelessness or living in poverty by providing food assistance and services including nightly dinners, a weekly food pantry, and a drop-in resource center in downtown New Haven. Funding was requested for an HVAC system and an elevator that goes from the soup kitchen to the health clinic upstairs. Specifically, the elevator will allow for ADA compliance and client access to the second floor medical clinic operated by Cornell Scott Hill Health Center (CSHHC) from the first floor Drop-in Center. This center was opened in April 2021 in response to increased utilization of DESK's programs.  The target population is for unhoused persons of whom the Greater New Haven Coordinated Access Network has seen a marked increase since the start of the pandemic and for whom they expect to see continual increase with the end of the eviction moratorium as well as those who are unstably and/or recently housed and availing themselves of Cornell Scotts Homeless Healthcare Department essentially as their primary care. The purpose of the elevator is to facilitate access to the second floor medical facilities. The medical facilities will enable low-barrier onsite medical care for people experiencing unsheltered homelessness including COVID-19 testing and vaccination administration. Along with other basic needs provisions like food and immediate refuge the presence of the medical facility serves as a draw for the hundreds of individuals experiencing homelessness in New Haven who consider the CSHHC Homeless Healthcare team to be their primary care.  As a result, the medical services offer an opportunity to connect these clients to housing services and get them off the street where they are at risk of a variety of adverse health conditions and infectious disease including COVID-19.",,"Number of non-profits served: 1"
